* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 29, 2023 1:00:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7A Supernova L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 88.241 171.4594
20.507813 88.247 171.3300
20.874023 88.260 171.0347
21.240234 88.266 170.8542
21.606445 88.270 170.7670
21.972656 88.276 170.6594
22.338867 88.283 170.4709
22.705078 88.289 170.1917
23.071289 88.290 169.8483
23.437500 88.286 169.4828
23.803711 88.277 169.1302
24.169922 88.264 168.8028
24.536133 88.249 168.4868
24.902344 88.233 168.1553
25.268555 88.215 167.7857
25.634766 88.195 167.3720
26.000977 88.177 166.9264
26.367188 88.164 166.4756
26.733399 88.156 166.0516
27.099610 88.155 165.6794
27.465821 88.157 165.3672
27.832032 88.161 165.1051
28.198243 88.161 164.8696
28.564454 88.153 164.6320
28.930665 88.138 164.3676
29.296876 88.116 164.0637
29.663087 88.090 163.7230
30.029298 88.065 163.3580
30.395509 88.044 162.9831
30.761720 88.031 162.6112
31.127931 88.026 162.2529
31.494142 88.025 161.9169
31.860353 88.024 161.6085
32.226563 88.022 161.3282
32.592774 88.015 161.0697
32.958985 88.005 160.8228
33.325196 87.993 160.5757
33.691407 87.979 160.3187
34.057618 87.966 160.0473
34.423829 87.956 159.7638
34.790040 87.947 159.4748
35.156251 87.940 159.1863
35.522462 87.933 158.9009
35.888673 87.924 158.6186
36.254884 87.911 158.3400
36.621095 87.895 158.0673
36.987306 87.876 157.8023
37.353517 87.857 157.5436
37.719728 87.837 157.2864
38.085939 87.820 157.0257
38.452150 87.805 156.7600
38.818361 87.790 156.4908
39.184572 87.776 156.2211
39.550783 87.762 155.9535
39.916994 87.747 155.6903
40.283205 87.732 155.4331
40.649416 87.716 155.1826
41.015627 87.699 154.9393
41.381838 87.682 154.7025
41.748049 87.666 154.4689
42.114260 87.651 154.2335
42.480471 87.637 153.9925
42.846682 87.623 153.7460
43.212893 87.609 153.4985
43.579103 87.593 153.2569
43.945314 87.577 153.0271
44.311525 87.560 152.8111
44.677736 87.544 152.6058
45.043947 87.528 152.4052
45.410158 87.512 152.2036
45.776369 87.495 151.9988
46.142580 87.478 151.7919
46.508791 87.459 151.5864
46.875002 87.441 151.3849
47.241213 87.422 151.1878
47.607424 87.404 150.9926
47.973635 87.388 150.7955
48.339846 87.373 150.5942
48.706057 87.359 150.3883
49.072268 87.345 150.1791
49.438479 87.330 149.9684
49.804690 87.315 149.7570
50.170901 87.300 149.5448
50.537112 87.283 149.3314
50.903323 87.266 149.1182
51.269534 87.248 148.9086
51.635745 87.228 148.7068
52.001956 87.209 148.5155
52.368167 87.190 148.3340
52.734378 87.173 148.1578
53.100589 87.158 147.9807
53.466800 87.144 147.7971
53.833011 87.129 147.6046
54.199222 87.114 147.4036
54.565432 87.098 147.1973
54.931643 87.081 146.9897
55.297854 87.064 146.7844
55.664065 87.046 146.5846
56.030276 87.028 146.3926
56.396487 87.010 146.2092
56.762698 86.992 146.0339
57.128909 86.974 145.8650
57.495120 86.956 145.7005
57.861331 86.939 145.5378
58.227542 86.924 145.3741
58.593753 86.911 145.2059
58.959964 86.899 145.0300
59.326175 86.887 144.8441
59.692386 86.874 144.6489
60.058597 86.860 144.4477
60.424808 86.842 144.2465
60.791019 86.823 144.0516
61.157230 86.801 143.8678
61.523441 86.779 143.6961
61.889652 86.758 143.5341
62.255863 86.737 143.3768
62.622074 86.718 143.2198
62.988285 86.699 143.0606
63.354496 86.681 142.9003
63.720707 86.663 142.7419
64.086918 86.645 142.5885
64.453129 86.628 142.4405
64.819340 86.612 142.2954
65.185551 86.597 142.1490
65.551762 86.582 141.9971
65.917972 86.567 141.8381
66.284183 86.552 141.6730
66.650394 86.535 141.5048
67.016605 86.518 141.3367
67.382816 86.500 141.1713
67.749027 86.481 141.0090
68.115238 86.463 140.8489
68.481449 86.445 140.6898
68.847660 86.428 140.5313
69.213871 86.410 140.3746
69.580082 86.393 140.2218
69.946293 86.376 140.0750
70.312504 86.360 139.9346
70.678715 86.345 139.7995
71.044926 86.331 139.6669
71.411137 86.316 139.5341
71.777348 86.302 139.3989
72.143559 86.287 139.2603
72.509770 86.271 139.1181
72.875981 86.254 138.9724
73.242192 86.238 138.8239
73.608403 86.221 138.6738
73.974614 86.205 138.5235
74.340825 86.189 138.3752
74.707036 86.173 138.2304
75.073247 86.158 138.0900
75.439458 86.143 137.9534
75.805669 86.128 137.8193
76.171880 86.112 137.6862
76.538091 86.096 137.5528
76.904301 86.080 137.4187
77.270512 86.063 137.2842
77.636723 86.046 137.1504
78.002934 86.028 137.0186
78.369145 86.011 136.8901
78.735356 85.994 136.7660
79.101567 85.977 136.6466
79.467778 85.960 136.5310
79.833989 85.944 136.4176
80.200200 85.928 136.3037
80.566411 85.913 136.1870
80.932622 85.897 136.0653
81.298833 85.882 135.9378
81.665044 85.867 135.8049
82.031255 85.852 135.6680
82.397466 85.836 135.5293
82.763677 85.821 135.3912
83.129888 85.806 135.2556
83.496099 85.791 135.1237
83.862310 85.776 134.9959
84.228521 85.762 134.8715
84.594732 85.747 134.7498
84.960943 85.733 134.6299
85.327154 85.718 134.5111
85.693365 85.704 134.3929
86.059576 85.689 134.2753
86.425787 85.674 134.1582
86.791998 85.659 134.0419
87.158209 85.644 133.9268
87.524420 85.629 133.8131
87.890631 85.614 133.7007
88.256841 85.599 133.5894
88.623052 85.584 133.4788
88.989263 85.568 133.3686
89.355474 85.552 133.2583
89.721685 85.535 133.1480
90.087896 85.519 133.0380
90.454107 85.502 132.9285
90.820318 85.486 132.8198
91.186529 85.470 132.7117
91.552740 85.455 132.6040
91.918951 85.440 132.4958
92.285162 85.426 132.3869
92.651373 85.412 132.2769
93.017584 85.398 132.1660
93.383795 85.384 132.0549
93.750006 85.370 131.9439
94.116217 85.355 131.8335
94.482428 85.341 131.7236
94.848639 85.326 131.6139
95.214850 85.311 131.5043
95.581061 85.297 131.3946
95.947272 85.282 131.2848
96.313483 85.267 131.1750
96.679694 85.252 131.0654
97.045905 85.237 130.9561
97.412116 85.223 130.8473
97.778327 85.208 130.7391
98.144538 85.194 130.6316
98.510749 85.180 130.5249
98.876960 85.167 130.4189
99.243170 85.153 130.3137
99.609381 85.139 130.2092
99.975592 85.125 130.1055
100.341803 85.111 130.0028
100.708014 85.097 129.9012
101.074225 85.083 129.8009
101.440436 85.069 129.7021
101.806647 85.055 129.6049
102.172858 85.042 129.5091
102.539069 85.028 129.4146
102.905280 85.015 129.3212
103.271491 85.001 129.2285
103.637702 84.987 129.1364
104.003913 84.973 129.0445
104.370124 84.959 128.9524
104.736335 84.945 128.8600
105.102546 84.930 128.7671
105.468757 84.916 128.6736
105.834968 84.901 128.5797
106.201179 84.887 128.4857
106.567390 84.872 128.3920
106.933601 84.858 128.2990
107.299812 84.844 128.2068
107.666023 84.830 128.1156
108.032234 84.817 128.0255
108.398445 84.803 127.9365
108.764656 84.790 127.8485
109.130867 84.777 127.7614
109.497078 84.764 127.6753
109.863289 84.750 127.5898
110.229500 84.737 127.5046
110.595710 84.723 127.4193
110.961921 84.709 127.3336
111.328132 84.695 127.2471
111.694343 84.681 127.1599
112.060554 84.667 127.0720
112.426765 84.654 126.9835
112.792976 84.640 126.8949
113.159187 84.626 126.8064
113.525398 84.613 126.7185
113.891609 84.599 126.6313
114.257820 84.585 126.5454
114.624031 84.570 126.4610
114.990242 84.556 126.3784
115.356453 84.541 126.2978
115.722664 84.525 126.2193
116.088875 84.510 126.1431
116.455086 84.494 126.0692
116.821297 84.479 125.9976
117.187508 84.464 125.9281
117.553719 84.450 125.8605
117.919930 84.437 125.7947
118.286141 84.425 125.7304
118.652352 84.414 125.6672
119.018563 84.404 125.6049
119.384774 84.394 125.5434
119.750985 84.385 125.4827
120.117196 84.375 125.4227
120.483407 84.365 125.3634
120.849618 84.355 125.3049
121.215829 84.344 125.2473
121.582040 84.333 125.1907
121.948250 84.322 125.1351
122.314461 84.311 125.0804
122.680672 84.299 125.0266
123.046883 84.288 124.9737
123.413094 84.277 124.9214
123.779305 84.265 124.8699
124.145516 84.254 124.8192
124.511727 84.242 124.7692
124.877938 84.231 124.7200
125.244149 84.219 124.6716
125.610360 84.208 124.6241
125.976571 84.196 124.5773
126.342782 84.185 124.5313
126.708993 84.174 124.4861
127.075204 84.162 124.4417
127.441415 84.151 124.3979
127.807626 84.140 124.3548
128.173837 84.128 124.3123
128.540048 84.117 124.2703
128.906259 84.106 124.2288
129.272470 84.095 124.1878
129.638681 84.083 124.1471
130.004892 84.072 124.1068
130.371103 84.061 124.0668
130.737314 84.050 124.0273
131.103525 84.039 123.9884
131.469736 84.028 123.9502
131.835947 84.017 123.9127
132.202158 84.006 123.8762
132.568369 83.995 123.8406
132.934579 83.985 123.8059
133.300790 83.974 123.7720
133.667001 83.963 123.7389
134.033212 83.953 123.7063
134.399423 83.942 123.6740
134.765634 83.932 123.6420
135.131845 83.921 123.6102
135.498056 83.910 123.5784
135.864267 83.899 123.5468
136.230478 83.889 123.5155
136.596689 83.878 123.4846
136.962900 83.867 123.4542
137.329111 83.856 123.4244
137.695322 83.845 123.3953
138.061533 83.835 123.3668
138.427744 83.824 123.3389
138.793955 83.814 123.3112
139.160166 83.803 123.2837
139.526377 83.793 123.2560
139.892588 83.783 123.2281
140.258799 83.773 123.1996
140.625010 83.763 123.1707
140.991221 83.752 123.1414
141.357432 83.742 123.1119
141.723643 83.731 123.0822
142.089854 83.721 123.0527
142.456065 83.710 123.0235
142.822276 83.700 122.9947
143.188487 83.689 122.9663
143.554698 83.679 122.9383
143.920909 83.668 122.9105
144.287119 83.658 122.8827
144.653330 83.648 122.8549
145.019541 83.638 122.8267
145.385752 83.628 122.7983
145.751963 83.618 122.7694
146.118174 83.608 122.7403
146.484385 83.598 122.7110
146.850596 83.588 122.6817
147.216807 83.578 122.6527
147.583018 83.567 122.6241
147.949229 83.557 122.5960
148.315440 83.547 122.5686
148.681651 83.536 122.5418
149.047862 83.526 122.5157
149.414073 83.515 122.4903
149.780284 83.505 122.4655
150.146495 83.495 122.4413
150.512706 83.485 122.4175
150.878917 83.475 122.3943
151.245128 83.465 122.3714
151.611339 83.455 122.3489
151.977550 83.445 122.3267
152.343761 83.435 122.3047
152.709972 83.425 122.2829
153.076183 83.415 122.2611
153.442394 83.406 122.2392
153.808605 83.396 122.2171
154.174816 83.386 122.1948
154.541027 83.376 122.1723
154.907238 83.366 122.1495
155.273448 83.355 122.1265
155.639659 83.345 122.1035
156.005870 83.335 122.0803
156.372081 83.325 122.0573
156.738292 83.315 122.0343
157.104503 83.304 122.0115
157.470714 83.294 121.9889
157.836925 83.284 121.9667
158.203136 83.275 121.9448
158.569347 83.265 121.9234
158.935558 83.256 121.9026
159.301769 83.247 121.8824
159.667980 83.238 121.8628
160.034191 83.229 121.8438
160.400402 83.221 121.8254
160.766613 83.212 121.8073
161.132824 83.204 121.7894
161.499035 83.196 121.7715
161.865246 83.188 121.7534
162.231457 83.180 121.7351
162.597668 83.172 121.7165
162.963879 83.164 121.6975
163.330090 83.155 121.6784
163.696301 83.147 121.6592
164.062512 83.139 121.6402
164.428723 83.130 121.6216
164.794934 83.122 121.6035
165.161145 83.113 121.5862
165.527356 83.105 121.5695
165.893567 83.096 121.5536
166.259778 83.087 121.5382
166.625988 83.078 121.5234
166.992199 83.070 121.5088
167.358410 83.061 121.4945
167.724621 83.052 121.4803
168.090832 83.043 121.4662
168.457043 83.034 121.4522
168.823254 83.025 121.4384
169.189465 83.016 121.4249
169.555676 83.007 121.4119
169.921887 82.998 121.3997
170.288098 82.990 121.3884
170.654309 82.981 121.3782
171.020520 82.972 121.3692
171.386731 82.963 121.3616
171.752942 82.954 121.3554
172.119153 82.945 121.3504
172.485364 82.936 121.3467
172.851575 82.927 121.3440
