* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 29, 2023 12:57:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7A Supernova R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 87.179 159.9956
20.507813 87.193 159.7916
20.874023 87.228 159.2841
21.240234 87.264 158.8510
21.606445 87.289 158.4999
21.972656 87.300 158.1612
22.338867 87.295 157.8298
22.705078 87.281 157.5132
23.071289 87.268 157.1983
23.437500 87.264 156.8543
23.803711 87.271 156.4538
24.169922 87.284 155.9972
24.536133 87.295 155.5177
24.902344 87.301 155.0650
25.268555 87.299 154.6779
25.634766 87.292 154.3622
26.000977 87.283 154.0876
26.367188 87.273 153.8079
26.733399 87.259 153.4874
27.099610 87.240 153.1149
27.465821 87.215 152.7016
27.832032 87.187 152.2686
28.198243 87.159 151.8339
28.564454 87.136 151.4045
28.930665 87.118 150.9778
29.296876 87.107 150.5484
29.663087 87.100 150.1152
30.029298 87.093 149.6808
30.395509 87.085 149.2480
30.761720 87.073 148.8196
31.127931 87.059 148.3982
31.494142 87.044 147.9852
31.860353 87.028 147.5793
32.226563 87.014 147.1760
32.592774 87.001 146.7695
32.958985 86.990 146.3575
33.325196 86.980 145.9429
33.691407 86.969 145.5321
34.057618 86.957 145.1312
34.423829 86.945 144.7438
34.790040 86.933 144.3688
35.156251 86.921 144.0017
35.522462 86.907 143.6366
35.888673 86.892 143.2708
36.254884 86.875 142.9066
36.621095 86.857 142.5490
36.987306 86.838 142.2007
37.353517 86.819 141.8594
37.719728 86.802 141.5183
38.085939 86.785 141.1715
38.452150 86.769 140.8176
38.818361 86.752 140.4590
39.184572 86.734 140.0984
39.550783 86.716 139.7374
39.916994 86.698 139.3773
40.283205 86.681 139.0190
40.649416 86.663 138.6646
41.015627 86.644 138.3165
41.381838 86.625 137.9764
41.748049 86.607 137.6429
42.114260 86.589 137.3122
42.480471 86.572 136.9805
42.846682 86.555 136.6466
43.212893 86.538 136.3120
43.579103 86.521 135.9796
43.945314 86.504 135.6508
44.311525 86.488 135.3259
44.677736 86.472 135.0033
45.043947 86.454 134.6821
45.410158 86.436 134.3628
45.776369 86.416 134.0482
46.142580 86.395 133.7414
46.508791 86.374 133.4435
46.875002 86.352 133.1538
47.241213 86.332 132.8690
47.607424 86.313 132.5854
47.973635 86.295 132.2994
48.339846 86.279 132.0087
48.706057 86.264 131.7125
49.072268 86.249 131.4112
49.438479 86.234 131.1064
49.804690 86.218 130.8009
50.170901 86.201 130.4978
50.537112 86.184 130.1996
50.903323 86.165 129.9073
51.269534 86.147 129.6200
51.635745 86.129 129.3354
52.001956 86.111 129.0509
52.368167 86.093 128.7651
52.734378 86.075 128.4781
53.100589 86.058 128.1916
53.466800 86.040 127.9074
53.833011 86.023 127.6262
54.199222 86.005 127.3476
54.565432 85.988 127.0700
54.931643 85.972 126.7914
55.297854 85.955 126.5109
55.664065 85.939 126.2293
56.030276 85.921 125.9487
56.396487 85.903 125.6715
56.762698 85.883 125.3991
57.128909 85.863 125.1316
57.495120 85.843 124.8685
57.861331 85.823 124.6085
58.227542 85.804 124.3501
58.593753 85.786 124.0919
58.959964 85.769 123.8327
59.326175 85.752 123.5723
59.692386 85.735 123.3110
60.058597 85.717 123.0492
60.424808 85.698 122.7878
60.791019 85.678 122.5270
61.157230 85.658 122.2669
61.523441 85.638 122.0070
61.889652 85.618 121.7469
62.255863 85.599 121.4860
62.622074 85.580 121.2239
62.988285 85.562 120.9611
63.354496 85.545 120.6988
63.720707 85.529 120.4389
64.086918 85.512 120.1837
64.453129 85.496 119.9342
64.819340 85.479 119.6907
65.185551 85.463 119.4519
65.551762 85.445 119.2161
65.917972 85.428 118.9811
66.284183 85.410 118.7448
66.650394 85.393 118.5059
67.016605 85.375 118.2644
67.382816 85.357 118.0214
67.749027 85.339 117.7788
68.115238 85.321 117.5381
68.481449 85.304 117.2994
68.847660 85.286 117.0616
69.213871 85.270 116.8231
69.580082 85.253 116.5828
69.946293 85.236 116.3405
70.312504 85.220 116.0970
70.678715 85.203 115.8534
71.044926 85.187 115.6108
71.411137 85.171 115.3697
71.777348 85.156 115.1305
72.143559 85.140 114.8931
72.509770 85.124 114.6568
72.875981 85.109 114.4204
73.242192 85.092 114.1825
73.608403 85.076 113.9418
73.974614 85.059 113.6978
74.340825 85.042 113.4515
74.707036 85.023 113.2050
75.073247 85.005 112.9611
75.439458 84.987 112.7218
75.805669 84.969 112.4882
76.171880 84.951 112.2599
76.538091 84.934 112.0355
76.904301 84.916 111.8134
77.270512 84.899 111.5924
77.636723 84.882 111.3717
78.002934 84.864 111.1510
78.369145 84.847 110.9303
78.735356 84.830 110.7099
79.101567 84.812 110.4901
79.467778 84.796 110.2711
79.833989 84.779 110.0532
80.200200 84.763 109.8365
80.566411 84.746 109.6204
80.932622 84.730 109.4045
81.298833 84.714 109.1881
81.665044 84.698 108.9709
82.031255 84.681 108.7531
82.397466 84.665 108.5354
82.763677 84.649 108.3190
83.129888 84.632 108.1047
83.496099 84.617 107.8932
83.862310 84.601 107.6845
84.228521 84.586 107.4788
84.594732 84.571 107.2756
84.960943 84.556 107.0745
85.327154 84.541 106.8750
85.693365 84.526 106.6764
86.059576 84.510 106.4782
86.425787 84.495 106.2802
86.791998 84.479 106.0828
87.158209 84.463 105.8866
87.524420 84.448 105.6921
87.890631 84.433 105.4995
88.256841 84.419 105.3086
88.623052 84.405 105.1193
88.989263 84.392 104.9317
89.355474 84.379 104.7465
89.721685 84.366 104.5645
90.087896 84.352 104.3867
90.454107 84.338 104.2132
90.820318 84.324 104.0436
91.186529 84.310 103.8767
91.552740 84.296 103.7110
91.918951 84.282 103.5450
92.285162 84.267 103.3779
92.651373 84.253 103.2093
93.017584 84.238 103.0392
93.383795 84.224 102.8681
93.750006 84.209 102.6963
94.116217 84.195 102.5239
94.482428 84.181 102.3511
94.848639 84.167 102.1776
95.214850 84.152 102.0035
95.581061 84.138 101.8291
95.947272 84.124 101.6546
96.313483 84.110 101.4805
96.679694 84.096 101.3068
97.045905 84.082 101.1334
97.412116 84.068 100.9598
97.778327 84.055 100.7855
98.144538 84.042 100.6102
98.510749 84.029 100.4339
98.876960 84.016 100.2571
99.243170 84.002 100.0805
99.609381 83.989 99.9050
99.975592 83.975 99.7312
100.341803 83.961 99.5595
100.708014 83.948 99.3901
101.074225 83.934 99.2231
101.440436 83.921 99.0583
101.806647 83.907 98.8957
102.172858 83.894 98.7350
102.539069 83.880 98.5758
102.905280 83.866 98.4177
103.271491 83.852 98.2603
103.637702 83.837 98.1032
104.003913 83.823 97.9464
104.370124 83.807 97.7895
104.736335 83.792 97.6327
105.102546 83.777 97.4759
105.468757 83.762 97.3190
105.834968 83.747 97.1621
106.201179 83.732 97.0052
106.567390 83.718 96.8485
106.933601 83.704 96.6922
107.299812 83.690 96.5364
107.666023 83.677 96.3814
108.032234 83.664 96.2270
108.398445 83.652 96.0733
108.764656 83.639 95.9202
109.130867 83.628 95.7677
109.497078 83.616 95.6157
109.863289 83.603 95.4641
110.229500 83.591 95.3130
110.595710 83.579 95.1625
110.961921 83.566 95.0124
111.328132 83.553 94.8628
111.694343 83.540 94.7138
112.060554 83.527 94.5653
112.426765 83.513 94.4173
112.792976 83.501 94.2694
113.159187 83.488 94.1216
113.525398 83.475 93.9735
113.891609 83.462 93.8250
114.257820 83.449 93.6763
114.624031 83.436 93.5274
114.990242 83.422 93.3788
115.356453 83.408 93.2309
115.722664 83.394 93.0840
116.088875 83.379 92.9387
116.455086 83.364 92.7954
116.821297 83.349 92.6544
117.187508 83.334 92.5159
117.553719 83.321 92.3800
117.919930 83.308 92.2465
118.286141 83.297 92.1153
118.652352 83.286 91.9857
119.018563 83.277 91.8576
119.384774 83.268 91.7303
119.750985 83.259 91.6038
120.117196 83.250 91.4780
120.483407 83.241 91.3527
120.849618 83.231 91.2280
121.215829 83.221 91.1041
121.582040 83.211 90.9809
121.948250 83.200 90.8586
122.314461 83.189 90.7370
122.680672 83.178 90.6162
123.046883 83.167 90.4961
123.413094 83.155 90.3768
123.779305 83.144 90.2583
124.145516 83.133 90.1407
124.511727 83.122 90.0241
124.877938 83.110 89.9085
125.244149 83.099 89.7935
125.610360 83.087 89.6790
125.976571 83.076 89.5646
126.342782 83.064 89.4500
126.708993 83.053 89.3348
127.075204 83.042 89.2191
127.441415 83.030 89.1028
127.807626 83.019 88.9861
128.173837 83.008 88.8694
128.540048 82.998 88.7531
128.906259 82.987 88.6377
129.272470 82.977 88.5237
129.638681 82.966 88.4116
130.004892 82.955 88.3016
130.371103 82.945 88.1939
130.737314 82.934 88.0884
131.103525 82.923 87.9847
131.469736 82.912 87.8827
131.835947 82.902 87.7816
132.202158 82.891 87.6813
132.568369 82.880 87.5812
132.934579 82.870 87.4813
133.300790 82.860 87.3814
133.667001 82.849 87.2815
134.033212 82.839 87.1819
134.399423 82.829 87.0827
134.765634 82.820 86.9839
135.131845 82.810 86.8856
135.498056 82.800 86.7878
135.864267 82.790 86.6905
136.230478 82.781 86.5933
136.596689 82.771 86.4961
136.962900 82.762 86.3987
137.329111 82.753 86.3009
137.695322 82.743 86.2025
138.061533 82.734 86.1035
138.427744 82.725 86.0040
138.793955 82.716 85.9038
139.160166 82.707 85.8032
139.526377 82.698 85.7023
139.892588 82.689 85.6012
140.258799 82.680 85.5001
140.625010 82.671 85.3990
140.991221 82.661 85.2982
141.357432 82.652 85.1978
141.723643 82.643 85.0979
142.089854 82.633 84.9987
142.456065 82.624 84.9001
142.822276 82.614 84.8021
143.188487 82.605 84.7045
143.554698 82.595 84.6071
143.920909 82.586 84.5096
144.287119 82.576 84.4117
144.653330 82.567 84.3132
145.019541 82.557 84.2140
145.385752 82.548 84.1141
145.751963 82.538 84.0135
146.118174 82.528 83.9125
146.484385 82.518 83.8112
146.850596 82.508 83.7101
147.216807 82.497 83.6094
147.583018 82.487 83.5094
147.949229 82.477 83.4103
148.315440 82.466 83.3122
148.681651 82.456 83.2152
149.047862 82.446 83.1193
149.414073 82.436 83.0245
149.780284 82.426 82.9305
150.146495 82.417 82.8375
150.512706 82.407 82.7451
150.878917 82.398 82.6534
151.245128 82.389 82.5622
151.611339 82.380 82.4713
151.977550 82.371 82.3805
152.343761 82.361 82.2897
152.709972 82.352 82.1986
153.076183 82.343 82.1071
153.442394 82.334 82.0148
153.808605 82.324 81.9218
154.174816 82.315 81.8280
154.541027 82.306 81.7335
154.907238 82.296 81.6383
155.273448 82.287 81.5425
155.639659 82.278 81.4464
156.005870 82.268 81.3499
156.372081 82.259 81.2532
156.738292 82.250 81.1562
157.104503 82.240 81.0589
157.470714 82.231 80.9613
157.836925 82.222 80.8633
158.203136 82.213 80.7648
158.569347 82.204 80.6660
158.935558 82.195 80.5669
159.301769 82.186 80.4676
159.667980 82.178 80.3684
160.034191 82.169 80.2695
160.400402 82.161 80.1710
160.766613 82.153 80.0730
161.132824 82.145 79.9757
161.499035 82.137 79.8791
161.865246 82.130 79.7831
162.231457 82.122 79.6877
162.597668 82.115 79.5928
162.963879 82.107 79.4985
163.330090 82.100 79.4049
163.696301 82.092 79.3121
164.062512 82.084 79.2205
164.428723 82.077 79.1301
164.794934 82.069 79.0413
165.161145 82.061 78.9541
165.527356 82.052 78.8686
165.893567 82.044 78.7848
166.259778 82.036 78.7023
166.625988 82.027 78.6210
166.992199 82.019 78.5405
167.358410 82.010 78.4604
167.724621 82.001 78.3806
168.090832 81.993 78.3009
168.457043 81.984 78.2210
168.823254 81.976 78.1409
169.189465 81.968 78.0608
169.555676 81.959 77.9805
169.921887 81.951 77.9003
170.288098 81.943 77.8203
170.654309 81.935 77.7404
171.020520 81.927 77.6608
171.386731 81.919 77.5815
171.752942 81.911 77.5026
172.119153 81.904 77.4240
172.485364 81.896 77.3457
172.851575 81.888 77.2677
