* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 13, 2023 6:59:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7Hz Zero L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 96.558 29.9360
20.507813 96.618 29.2615
20.874023 96.741 27.5179
21.240234 96.773 26.0282
21.606445 96.714 25.2929
21.972656 96.627 25.3931
22.338867 96.563 26.0826
22.705078 96.529 26.8856
23.071289 96.495 27.4244
23.437500 96.434 27.6165
23.803711 96.355 27.5518
24.169922 96.301 27.2337
24.536133 96.311 26.4744
24.902344 96.367 25.0725
25.268555 96.405 23.1165
25.634766 96.360 21.1291
26.000977 96.214 19.8930
26.367188 96.030 20.0130
26.733399 95.921 21.4624
27.099610 95.978 23.4939
27.465821 96.175 25.0917
27.832032 96.396 25.6257
28.198243 96.530 25.1628
28.564454 96.530 24.2647
28.930665 96.428 23.5399
29.296876 96.301 23.2885
29.663087 96.223 23.4161
30.029298 96.220 23.6116
30.395509 96.265 23.6222
30.761720 96.309 23.4139
31.127931 96.321 23.1282
31.494142 96.296 22.9275
31.860353 96.252 22.8753
32.226563 96.208 22.9225
32.592774 96.177 22.9714
32.958985 96.163 22.9456
33.325196 96.162 22.8190
33.691407 96.168 22.6049
34.057618 96.174 22.3386
34.423829 96.170 22.0681
34.790040 96.153 21.8467
35.156251 96.124 21.7142
35.522462 96.089 21.6749
35.888673 96.058 21.6948
36.254884 96.033 21.7251
36.621095 96.015 21.7348
36.987306 96.002 21.7280
37.353517 95.992 21.7312
37.719728 95.984 21.7681
38.085939 95.975 21.8458
38.452150 95.963 21.9604
38.818361 95.946 22.1096
39.184572 95.922 22.2910
39.550783 95.897 22.4881
39.916994 95.873 22.6607
40.283205 95.852 22.7581
40.649416 95.829 22.7502
41.015627 95.801 22.6502
41.381838 95.767 22.5100
41.748049 95.733 22.3891
42.114260 95.708 22.3230
42.480471 95.698 22.3115
42.846682 95.705 22.3308
43.212893 95.718 22.3543
43.579103 95.726 22.3683
43.945314 95.716 22.3766
44.311525 95.680 22.4008
44.677736 95.620 22.4708
45.043947 95.549 22.6057
45.410158 95.487 22.7875
45.776369 95.456 22.9524
46.142580 95.462 23.0217
46.508791 95.490 22.9663
46.875002 95.516 22.8555
47.241213 95.518 22.8367
47.607424 95.491 23.0360
47.973635 95.445 23.4452
48.339846 95.394 23.8903
48.706057 95.340 24.1301
49.072268 95.280 24.0285
49.438479 95.217 23.6659
49.804690 95.184 23.2859
50.170901 95.239 23.0999
50.537112 95.435 23.1009
50.903323 95.763 23.0459
51.269534 96.143 22.6393
51.635745 96.463 21.7803
52.001956 96.635 20.6893
52.368167 96.616 19.8249
52.734378 96.418 19.6422
53.100589 96.100 20.3380
53.466800 95.749 21.7311
53.833011 95.448 23.3553
54.199222 95.241 24.7102
54.565432 95.119 25.5061
54.931643 95.045 25.7560
55.297854 94.989 25.6862
55.664065 94.932 25.5649
56.030276 94.873 25.5697
56.396487 94.811 25.7509
56.762698 94.746 26.0668
57.128909 94.676 26.4357
57.495120 94.604 26.7707
57.861331 94.535 26.9997
58.227542 94.472 27.0850
58.593753 94.419 27.0441
58.959964 94.375 26.9520
59.326175 94.343 26.9119
59.692386 94.327 27.0024
60.058597 94.331 27.2367
60.424808 94.347 27.5634
60.791019 94.362 27.9139
61.157230 94.356 28.2632
61.523441 94.318 28.6586
61.889652 94.250 29.1927
62.255863 94.174 29.9369
62.622074 94.121 30.8809
62.988285 94.119 31.9204
63.354496 94.179 32.9025
63.720707 94.290 33.6968
64.086918 94.427 34.2428
64.453129 94.561 34.5489
64.819340 94.672 34.6565
65.185551 94.746 34.6061
65.551762 94.775 34.4323
65.917972 94.756 34.1856
66.284183 94.697 33.9480
66.650394 94.618 33.8199
67.016605 94.550 33.8741
67.382816 94.526 34.1106
67.749027 94.567 34.4479
68.115238 94.670 34.7617
68.481449 94.807 34.9493
68.847660 94.941 34.9751
69.213871 95.040 34.8713
69.580082 95.086 34.7008
69.946293 95.075 34.5140
70.312504 95.012 34.3289
70.678715 94.908 34.1433
71.044926 94.773 33.9608
71.411137 94.621 33.8065
71.777348 94.466 33.7195
72.143559 94.321 33.7293
72.509770 94.197 33.8345
72.875981 94.102 34.0007
73.242192 94.033 34.1774
73.608403 93.983 34.3247
73.974614 93.944 34.4325
74.340825 93.908 34.5235
74.707036 93.873 34.6415
75.073247 93.841 34.8329
75.439458 93.815 35.1279
75.805669 93.798 35.5286
76.171880 93.793 36.0059
76.538091 93.800 36.5033
76.904301 93.814 36.9478
77.270512 93.832 37.2645
77.636723 93.847 37.3945
78.002934 93.853 37.3107
78.369145 93.846 37.0304
78.735356 93.821 36.6183
79.101567 93.781 36.1772
79.467778 93.731 35.8259
79.833989 93.680 35.6704
80.200200 93.640 35.7764
80.566411 93.620 36.1559
80.932622 93.623 36.7735
81.298833 93.641 37.5688
81.665044 93.662 38.4851
82.031255 93.674 39.4856
82.397466 93.666 40.5510
82.763677 93.640 41.6570
83.129888 93.603 42.7506
83.496099 93.565 43.7417
83.862310 93.534 44.5232
84.228521 93.511 45.0123
84.594732 93.491 45.1921
84.960943 93.464 45.1293
85.327154 93.423 44.9549
85.693365 93.365 44.8187
86.059576 93.297 44.8381
86.425787 93.228 45.0677
86.791998 93.170 45.4947
87.158209 93.136 46.0559
87.524420 93.138 46.6575
87.890631 93.186 47.1914
88.256841 93.280 47.5489
88.623052 93.411 47.6429
88.989263 93.557 47.4382
89.355474 93.689 46.9782
89.721685 93.779 46.3888
90.087896 93.810 45.8468
90.454107 93.778 45.5216
90.820318 93.693 45.5139
91.186529 93.572 45.8222
91.552740 93.438 46.3519
91.918951 93.308 46.9626
92.285162 93.191 47.5270
92.651373 93.092 47.9737
93.017584 93.008 48.2974
93.383795 92.938 48.5404
93.750006 92.882 48.7603
94.116217 92.838 49.0027
94.482428 92.805 49.2894
94.848639 92.783 49.6184
95.214850 92.769 49.9730
95.581061 92.761 50.3310
95.947272 92.760 50.6716
96.313483 92.764 50.9800
96.679694 92.774 51.2492
97.045905 92.789 51.4803
97.412116 92.805 51.6805
97.778327 92.821 51.8600
98.144538 92.832 52.0286
98.510749 92.835 52.1940
98.876960 92.829 52.3613
99.243170 92.811 52.5342
99.609381 92.782 52.7168
99.975592 92.742 52.9140
100.341803 92.695 53.1316
100.708014 92.643 53.3747
101.074225 92.588 53.6472
101.440436 92.534 53.9499
101.806647 92.483 54.2804
102.172858 92.436 54.6331
102.539069 92.396 54.9994
102.905280 92.364 55.3679
103.271491 92.342 55.7251
103.637702 92.330 56.0567
104.003913 92.329 56.3507
104.370124 92.338 56.5998
104.736335 92.354 56.8041
105.102546 92.376 56.9724
105.468757 92.398 57.1210
105.834968 92.418 57.2704
106.201179 92.432 57.4413
106.567390 92.437 57.6502
106.933601 92.432 57.9057
107.299812 92.416 58.2065
107.666023 92.389 58.5416
108.032234 92.354 58.8921
108.398445 92.314 59.2353
108.764656 92.271 59.5507
109.130867 92.228 59.8246
109.497078 92.188 60.0542
109.863289 92.153 60.2472
110.229500 92.125 60.4192
110.595710 92.105 60.5877
110.961921 92.094 60.7658
111.328132 92.093 60.9577
111.694343 92.102 61.1561
112.060554 92.121 61.3439
112.426765 92.148 61.4993
112.792976 92.182 61.6022
113.159187 92.219 61.6413
113.525398 92.255 61.6196
113.891609 92.285 61.5561
114.257820 92.306 61.4839
114.624031 92.314 61.4429
114.990242 92.308 61.4714
115.356453 92.288 61.5971
115.722664 92.255 61.8309
116.088875 92.212 62.1655
116.455086 92.159 62.5784
116.821297 92.099 63.0389
117.187508 92.032 63.5150
117.553719 91.957 63.9795
117.919930 91.874 64.4130
118.286141 91.785 64.8026
118.652352 91.691 65.1403
119.018563 91.595 65.4190
119.384774 91.504 65.6320
119.750985 91.425 65.7730
120.117196 91.365 65.8392
120.483407 91.333 65.8342
120.849618 91.336 65.7697
121.215829 91.379 65.6651
121.582040 91.462 65.5448
121.948250 91.579 65.4351
122.314461 91.722 65.3607
122.680672 91.878 65.3439
123.046883 92.031 65.4045
123.413094 92.168 65.5599
123.779305 92.278 65.8242
124.145516 92.353 66.2055
124.511727 92.390 66.7024
124.877938 92.390 67.3002
125.244149 92.357 67.9706
125.610360 92.298 68.6743
125.976571 92.220 69.3675
126.342782 92.128 70.0100
126.708993 92.030 70.5715
127.075204 91.931 71.0367
127.441415 91.832 71.4052
127.807626 91.737 71.6888
128.173837 91.647 71.9071
128.540048 91.565 72.0830
128.906259 91.489 72.2395
129.272470 91.423 72.3978
129.638681 91.365 72.5768
130.004892 91.317 72.7928
130.371103 91.279 73.0577
130.737314 91.252 73.3778
131.103525 91.237 73.7511
131.469736 91.232 74.1665
131.835947 91.239 74.6044
132.202158 91.254 75.0394
132.568369 91.277 75.4453
132.934579 91.304 75.8008
133.300790 91.335 76.0946
133.667001 91.369 76.3266
134.033212 91.405 76.5076
134.399423 91.445 76.6549
134.765634 91.490 76.7865
135.131845 91.543 76.9169
135.498056 91.602 77.0540
135.864267 91.665 77.1994
136.230478 91.730 77.3515
136.596689 91.790 77.5093
136.962900 91.841 77.6760
137.329111 91.878 77.8606
137.695322 91.899 78.0775
138.061533 91.901 78.3431
138.427744 91.887 78.6715
138.793955 91.859 79.0700
139.160166 91.823 79.5350
139.526377 91.784 80.0512
139.892588 91.748 80.5921
140.258799 91.720 81.1245
140.625010 91.704 81.6138
140.991221 91.702 82.0306
141.357432 91.714 82.3553
141.723643 91.738 82.5823
142.089854 91.769 82.7201
142.456065 91.803 82.7898
142.822276 91.836 82.8210
143.188487 91.864 82.8458
143.554698 91.882 82.8932
143.920909 91.891 82.9837
144.287119 91.888 83.1260
144.653330 91.874 83.3158
145.019541 91.851 83.5384
145.385752 91.819 83.7721
145.751963 91.779 83.9937
146.118174 91.731 84.1835
146.484385 91.675 84.3286
146.850596 91.612 84.4246
147.216807 91.541 84.4749
147.583018 91.465 84.4886
147.949229 91.384 84.4780
148.315440 91.302 84.4561
148.681651 91.222 84.4339
149.047862 91.149 84.4196
149.414073 91.086 84.4165
149.780284 91.036 84.4230
150.146495 91.000 84.4316
150.512706 90.977 84.4290
150.878917 90.966 84.3968
151.245128 90.962 84.3135
151.611339 90.961 84.1567
151.977550 90.957 83.9068
152.343761 90.949 83.5522
152.709972 90.932 83.0940
153.076183 90.906 82.5503
153.442394 90.873 81.9590
153.808605 90.837 81.3757
154.174816 90.801 80.8689
154.541027 90.771 80.5095
154.907238 90.754 80.3600
155.273448 90.754 80.4623
155.639659 90.772 80.8306
156.005870 90.808 81.4481
156.372081 90.859 82.2711
156.738292 90.919 83.2363
157.104503 90.981 84.2718
157.470714 91.039 85.3080
157.836925 91.089 86.2862
158.203136 91.127 87.1647
158.569347 91.153 87.9206
158.935558 91.167 88.5493
159.301769 91.171 89.0607
159.667980 91.168 89.4742
160.034191 91.160 89.8138
160.400402 91.150 90.1033
160.766613 91.140 90.3631
161.132824 91.132 90.6084
161.499035 91.125 90.8489
161.865246 91.121 91.0895
162.231457 91.119 91.3320
162.597668 91.120 91.5755
162.963879 91.124 91.8187
163.330090 91.132 92.0602
163.696301 91.142 92.2988
164.062512 91.156 92.5345
164.428723 91.172 92.7678
164.794934 91.189 92.9997
165.161145 91.208 93.2320
165.527356 91.226 93.4660
165.893567 91.242 93.7025
166.259778 91.257 93.9414
166.625988 91.270 94.1809
166.992199 91.282 94.4181
167.358410 91.293 94.6487
167.724621 91.307 94.8682
168.090832 91.326 95.0727
168.457043 91.353 95.2599
168.823254 91.390 95.4298
169.189465 91.440 95.5845
169.555676 91.503 95.7284
169.921887 91.578 95.8667
170.288098 91.662 96.0039
170.654309 91.749 96.1427
171.020520 91.836 96.2824
171.386731 91.915 96.4184
171.752942 91.982 96.5429
172.119153 92.032 96.6454
172.485364 92.060 96.7155
172.851575 92.066 96.7448
