* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 3, 24 6:32:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: APP2 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 24.390 -31.6995
0.368865 24.361 -31.6623
0.371538 24.319 -31.6076
0.374230 24.267 -31.5409
0.376942 24.208 -31.4670
0.379673 24.145 -31.3895
0.382424 24.079 -31.3105
0.385196 24.011 -31.2316
0.387987 23.942 -31.1535
0.390798 23.871 -31.0766
0.393630 23.801 -31.0012
0.396483 23.729 -30.9272
0.399356 23.657 -30.8547
0.402250 23.584 -30.7835
0.405165 23.511 -30.7137
0.408101 23.437 -30.6450
0.411058 23.363 -30.5774
0.414037 23.288 -30.5108
0.417037 23.213 -30.4450
0.420059 23.137 -30.3799
0.423103 23.061 -30.3152
0.426169 22.984 -30.2508
0.429257 22.906 -30.1866
0.432368 22.828 -30.1223
0.435501 22.750 -30.0577
0.438656 22.670 -29.9926
0.441835 22.591 -29.9267
0.445037 22.510 -29.8598
0.448262 22.429 -29.7915
0.451510 22.348 -29.7215
0.454782 22.265 -29.6495
0.458077 22.183 -29.5752
0.461397 22.099 -29.4980
0.464740 22.015 -29.4177
0.468108 21.931 -29.3336
0.471500 21.846 -29.2454
0.474917 21.760 -29.1523
0.478358 21.674 -29.0539
0.481825 21.587 -28.9495
0.485316 21.499 -28.8382
0.488833 21.411 -28.7195
0.492375 21.322 -28.5923
0.495943 21.232 -28.4557
0.499537 21.142 -28.3088
0.503157 21.051 -28.1504
0.506803 20.960 -27.9792
0.510475 20.867 -27.7939
0.514175 20.775 -27.5931
0.517900 20.681 -27.3749
0.521653 20.587 -27.1377
0.525434 20.492 -26.8795
0.529241 20.396 -26.5979
0.533076 20.300 -26.2906
0.536939 20.203 -25.9548
0.540830 20.106 -25.5876
0.544749 20.007 -25.1855
0.548696 19.908 -24.7449
0.552673 19.808 -24.2615
0.556677 19.708 -23.7308
0.560711 19.607 -23.1476
0.564774 19.505 -22.5061
0.568867 19.402 -21.7998
0.572989 19.299 -21.0217
0.577141 19.194 -20.1637
0.581324 19.089 -19.2168
0.585536 18.984 -18.1713
0.589779 18.877 -17.0161
0.594053 18.770 -15.7393
0.598358 18.662 -14.3277
0.602694 18.553 -12.7671
0.607061 18.443 -11.0427
0.611460 18.333 -9.1386
0.615891 18.222 -7.0391
0.620354 18.110 -4.7290
0.624849 17.997 -2.1949
0.629377 17.884 0.5738
0.633938 17.769 3.5829
0.638532 17.654 6.8315
0.643159 17.538 10.3093
0.647819 17.421 13.9960
0.652514 17.303 17.8589
0.657242 17.184 21.8540
0.662005 17.065 25.9269
0.666802 16.945 30.0167
0.671634 16.823 34.0605
0.676501 16.701 37.9982
0.681403 16.579 41.7771
0.686341 16.455 45.3546
0.691314 16.331 48.7005
0.696324 16.207 51.7963
0.701370 16.084 54.6344
0.706452 15.964 57.2162
0.711571 15.848 59.5508
0.716728 15.742 61.6526
0.721921 15.651 63.5408
0.727153 15.585 65.2378
0.732422 15.551 66.7682
0.737729 15.555 68.1570
0.743075 15.597 69.4264
0.748460 15.672 70.5950
0.753883 15.775 71.6763
0.759346 15.900 72.6806
0.764849 16.044 73.6152
0.770391 16.205 74.4859
0.775974 16.382 75.2971
0.781597 16.573 76.0526
0.787261 16.778 76.7556
0.792966 16.997 77.4091
0.798712 17.230 78.0157
0.804500 17.476 78.5777
0.810329 17.734 79.0973
0.816201 18.006 79.5765
0.822116 18.290 80.0172
0.828073 18.585 80.4210
0.834074 18.893 80.7896
0.840118 19.212 81.1245
0.846206 19.542 81.4268
0.852338 19.883 81.6979
0.858514 20.235 81.9389
0.864735 20.596 82.1508
0.871001 20.967 82.3346
0.877313 21.347 82.4912
0.883670 21.735 82.6214
0.890074 22.132 82.7258
0.896524 22.536 82.8053
0.903020 22.947 82.8605
0.909564 23.365 82.8918
0.916155 23.788 82.8998
0.922794 24.216 82.8850
0.929481 24.649 82.8479
0.936216 25.086 82.7887
0.943000 25.526 82.7079
0.949834 25.968 82.6058
0.956717 26.412 82.4826
0.963649 26.856 82.3386
0.970632 27.301 82.1740
0.977666 27.744 81.9891
0.984750 28.186 81.7839
0.991886 28.624 81.5586
0.999074 29.059 81.3134
1.006314 29.489 81.0484
1.013606 29.914 80.7636
1.020951 30.331 80.4592
1.028349 30.741 80.1351
1.035801 31.142 79.7916
1.043307 31.532 79.4287
1.050867 31.912 79.0466
1.058482 32.279 78.6456
1.066152 32.633 78.2262
1.073878 32.974 77.7891
1.081660 33.302 77.3358
1.089498 33.616 76.8681
1.097393 33.918 76.3887
1.105345 34.208 75.9006
1.113355 34.488 75.4072
1.121423 34.760 74.9111
1.129549 35.025 74.4144
1.137734 35.282 73.9184
1.145979 35.533 73.4240
1.154283 35.778 72.9314
1.162647 36.016 72.4411
1.171072 36.249 71.9529
1.179558 36.476 71.4668
1.188106 36.698 70.9828
1.196715 36.915 70.5006
1.205387 37.126 70.0200
1.214122 37.333 69.5408
1.222920 37.534 69.0627
1.231782 37.732 68.5855
1.240708 37.925 68.1089
1.249699 38.114 67.6326
1.258754 38.299 67.1562
1.267876 38.481 66.6795
1.277063 38.659 66.2021
1.286318 38.834 65.7237
1.295639 39.007 65.2439
1.305027 39.178 64.7623
1.314484 39.346 64.2786
1.324009 39.513 63.7924
1.333604 39.679 63.3033
1.343268 39.843 62.8109
1.353002 40.008 62.3148
1.362806 40.172 61.8145
1.372681 40.337 61.3098
1.382628 40.503 60.8002
1.392647 40.670 60.2852
1.402739 40.838 59.7646
1.412904 41.009 59.2380
1.423142 41.183 58.7052
1.433455 41.359 58.1663
1.443843 41.538 57.6214
1.454305 41.719 57.0710
1.464844 41.902 56.5163
1.475459 42.086 55.9585
1.486150 42.271 55.3988
1.496920 42.455 54.8384
1.507767 42.638 54.2780
1.518693 42.819 53.7182
1.529698 43.000 53.1591
1.540783 43.178 52.6009
1.551948 43.356 52.0433
1.563194 43.532 51.4864
1.574521 43.706 50.9297
1.585931 43.879 50.3731
1.597423 44.051 49.8164
1.608999 44.222 49.2591
1.620658 44.391 48.7010
1.632402 44.559 48.1417
1.644232 44.727 47.5809
1.656146 44.893 47.0182
1.668147 45.058 46.4532
1.680235 45.223 45.8855
1.692411 45.387 45.3147
1.704675 45.551 44.7403
1.717028 45.714 44.1620
1.729470 45.877 43.5793
1.742003 46.040 42.9917
1.754626 46.203 42.3988
1.767341 46.365 41.8002
1.780147 46.528 41.1955
1.793047 46.691 40.5844
1.806040 46.854 39.9668
1.819128 47.017 39.3427
1.832310 47.180 38.7123
1.845587 47.342 38.0763
1.858961 47.504 37.4352
1.872432 47.665 36.7899
1.886001 47.825 36.1411
1.899667 47.984 35.4894
1.913433 48.142 34.8354
1.927299 48.299 34.1796
1.941265 48.455 33.5224
1.955332 48.610 32.8642
1.969501 48.764 32.2052
1.983773 48.917 31.5456
1.998148 49.070 30.8857
2.012627 49.221 30.2254
2.027212 49.372 29.5649
2.041902 49.522 28.9042
2.056698 49.671 28.2432
2.071602 49.820 27.5818
2.086614 49.969 26.9198
2.101734 50.117 26.2571
2.116964 50.265 25.5935
2.132304 50.412 24.9285
2.147756 50.559 24.2618
2.163320 50.706 23.5929
2.178996 50.852 22.9215
2.194786 50.998 22.2469
2.210690 51.143 21.5688
2.226710 51.288 20.8869
2.242845 51.432 20.2013
2.259098 51.575 19.5122
2.275468 51.717 18.8201
2.291957 51.858 18.1254
2.308566 51.998 17.4286
2.325295 52.137 16.7304
2.342145 52.275 16.0312
2.359117 52.412 15.3314
2.376212 52.549 14.6316
2.393431 52.684 13.9321
2.410775 52.819 13.2331
2.428244 52.954 12.5350
2.445840 53.087 11.8379
2.463564 53.221 11.1418
2.481416 53.353 10.4468
2.499397 53.485 9.7528
2.517509 53.617 9.0594
2.535752 53.748 8.3661
2.554127 53.879 7.6722
2.572635 54.009 6.9769
2.591277 54.138 6.2795
2.610055 54.266 5.5793
2.628968 54.394 4.8763
2.648019 54.520 4.1707
2.667208 54.645 3.4628
2.686535 54.770 2.7533
2.706003 54.893 2.0428
2.725612 55.016 1.3319
2.745363 55.137 0.6214
2.765257 55.258 -0.0881
2.785295 55.379 -0.7962
2.805478 55.498 -1.5021
2.825808 55.617 -2.2056
2.846285 55.736 -2.9064
2.866910 55.854 -3.6042
2.887685 55.971 -4.2994
2.908611 56.088 -4.9924
2.929688 56.204 -5.6839
2.950917 56.319 -6.3748
2.972301 56.434 -7.0659
2.993839 56.547 -7.7579
3.015534 56.660 -8.4507
3.037386 56.772 -9.1442
3.059396 56.882 -9.8380
3.081565 56.992 -10.5315
3.103896 57.102 -11.2241
3.126388 57.210 -11.9150
3.149043 57.318 -12.6036
3.171862 57.425 -13.2892
3.194847 57.532 -13.9713
3.217998 57.638 -14.6496
3.241317 57.744 -15.3237
3.264805 57.849 -15.9939
3.288463 57.954 -16.6605
3.312293 58.058 -17.3242
3.336295 58.162 -17.9858
3.360471 58.264 -18.6458
3.384822 58.366 -19.3045
3.409350 58.468 -19.9620
3.434056 58.568 -20.6180
3.458940 58.668 -21.2722
3.484005 58.768 -21.9241
3.509252 58.867 -22.5732
3.534681 58.965 -23.2191
3.560295 59.064 -23.8611
3.586094 59.162 -24.4990
3.612081 59.260 -25.1324
3.638255 59.357 -25.7615
3.664620 59.454 -26.3863
3.691175 59.551 -27.0073
3.717923 59.648 -27.6249
3.744864 59.744 -28.2395
3.772001 59.840 -28.8513
3.799335 59.936 -29.4606
3.826866 60.031 -30.0672
3.854597 60.126 -30.6711
3.882529 60.221 -31.2722
3.910664 60.315 -31.8704
3.939002 60.410 -32.4654
3.967546 60.505 -33.0572
3.996296 60.600 -33.6457
4.025255 60.695 -34.2308
4.054423 60.790 -34.8126
4.083804 60.885 -35.3913
4.113396 60.980 -35.9671
4.143204 61.075 -36.5403
4.173227 61.170 -37.1112
4.203468 61.265 -37.6802
4.233928 61.360 -38.2474
4.264609 61.455 -38.8132
4.295512 61.551 -39.3778
4.326639 61.646 -39.9413
4.357992 61.742 -40.5037
4.389572 61.839 -41.0652
4.421380 61.935 -41.6256
4.453419 62.032 -42.1849
4.485691 62.129 -42.7433
4.518196 62.226 -43.3009
4.550936 62.323 -43.8582
4.583914 62.421 -44.4154
4.617131 62.519 -44.9731
4.650589 62.617 -45.5317
4.684289 62.715 -46.0915
4.718233 62.814 -46.6529
4.752424 62.912 -47.2158
4.786862 63.011 -47.7805
4.821549 63.110 -48.3467
4.856488 63.209 -48.9145
4.891680 63.309 -49.4840
4.927127 63.408 -50.0553
4.962831 63.508 -50.6288
4.998794 63.607 -51.2046
5.035017 63.707 -51.7831
5.071503 63.806 -52.3646
5.108253 63.905 -52.9494
5.145270 64.005 -53.5375
5.182555 64.104 -54.1290
5.220110 64.203 -54.7239
5.257937 64.302 -55.3219
5.296038 64.401 -55.9230
5.334415 64.499 -56.5272
5.373071 64.597 -57.1343
5.412006 64.695 -57.7444
5.451224 64.793 -58.3577
5.490725 64.890 -58.9743
5.530514 64.986 -59.5942
5.570590 65.082 -60.2176
5.610957 65.178 -60.8443
5.651616 65.273 -61.4739
5.692570 65.367 -62.1062
5.733821 65.461 -62.7407
5.775370 65.554 -63.3773
5.817221 65.647 -64.0157
5.859375 65.739 -64.6559
5.901834 65.830 -65.2982
5.944602 65.921 -65.9425
5.987679 66.011 -66.5886
6.031068 66.100 -67.2362
6.074771 66.188 -67.8848
6.118792 66.276 -68.5339
6.163131 66.363 -69.1831
6.207792 66.449 -69.8322
6.252776 66.534 -70.4813
6.298086 66.619 -71.1303
6.343725 66.703 -71.7793
6.389694 66.786 -72.4279
6.435996 66.868 -73.0759
6.482634 66.950 -73.7228
6.529610 67.031 -74.3683
6.576926 67.112 -75.0120
6.624585 67.192 -75.6540
6.672590 67.271 -76.2944
6.720942 67.350 -76.9331
