* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 3, 24 6:33:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: APP2 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 24.036 -156.5722
0.368865 24.064 -156.8326
0.371538 24.106 -157.2214
0.374230 24.157 -157.7074
0.376942 24.215 -158.2632
0.379673 24.278 -158.8688
0.382424 24.342 -159.5106
0.385196 24.409 -160.1801
0.387987 24.476 -160.8721
0.390798 24.544 -161.5835
0.393630 24.613 -162.3125
0.396483 24.683 -163.0577
0.399356 24.753 -163.8184
0.402250 24.823 -164.5938
0.405165 24.895 -165.3833
0.408101 24.966 -166.1861
0.411058 25.038 -167.0018
0.414037 25.111 -167.8295
0.417037 25.184 -168.6688
0.420059 25.258 -169.5188
0.423103 25.332 -170.3789
0.426169 25.407 -171.2483
0.429257 25.482 -172.1263
0.432368 25.558 -173.0123
0.435501 25.635 -173.9053
0.438656 25.712 -174.8048
0.441835 25.789 -175.7099
0.445037 25.867 -176.6199
0.448262 25.946 -177.5342
0.451510 26.025 -178.4520
0.454782 26.105 -179.3727
0.458077 26.186 179.7043
0.461397 26.267 178.7798
0.464740 26.348 177.8542
0.468108 26.430 176.9283
0.471500 26.513 176.0023
0.474917 26.597 175.0769
0.478358 26.681 174.1525
0.481825 26.765 173.2294
0.485316 26.850 172.3081
0.488833 26.936 171.3888
0.492375 27.023 170.4719
0.495943 27.110 169.5575
0.499537 27.197 168.6459
0.503157 27.286 167.7371
0.506803 27.375 166.8314
0.510475 27.464 165.9287
0.514175 27.555 165.0292
0.517900 27.646 164.1327
0.521653 27.737 163.2392
0.525434 27.829 162.3487
0.529241 27.922 161.4610
0.533076 28.016 160.5760
0.536939 28.110 159.6935
0.540830 28.205 158.8132
0.544749 28.301 157.9351
0.548696 28.397 157.0587
0.552673 28.494 156.1837
0.556677 28.592 155.3100
0.560711 28.690 154.4371
0.564774 28.790 153.5647
0.568867 28.889 152.6924
0.572989 28.990 151.8198
0.577141 29.091 150.9466
0.581324 29.194 150.0723
0.585536 29.296 149.1966
0.589779 29.400 148.3188
0.594053 29.504 147.4387
0.598358 29.609 146.5558
0.602694 29.715 145.6696
0.607061 29.822 144.7796
0.611460 29.929 143.8854
0.615891 30.037 142.9865
0.620354 30.146 142.0825
0.624849 30.256 141.1729
0.629377 30.367 140.2571
0.633938 30.478 139.3348
0.638532 30.590 138.4055
0.643159 30.703 137.4688
0.647819 30.817 136.5242
0.652514 30.931 135.5713
0.657242 31.047 134.6096
0.662005 31.163 133.6389
0.666802 31.280 132.6586
0.671634 31.398 131.6685
0.676501 31.517 130.6681
0.681403 31.637 129.6573
0.686341 31.757 128.6357
0.691314 31.879 127.6031
0.696324 32.001 126.5594
0.701370 32.125 125.5046
0.706452 32.250 124.4390
0.711571 32.376 123.3631
0.716728 32.504 122.2779
0.721921 32.634 121.1854
0.727153 32.767 120.0882
0.732422 32.903 118.9903
0.737729 33.043 117.8962
0.743075 33.187 116.8106
0.748460 33.334 115.7376
0.753883 33.484 114.6802
0.759346 33.637 113.6406
0.764849 33.792 112.6201
0.770391 33.951 111.6193
0.775974 34.111 110.6388
0.781597 34.274 109.6785
0.787261 34.439 108.7384
0.792966 34.607 107.8181
0.798712 34.777 106.9171
0.804500 34.949 106.0351
0.810329 35.123 105.1714
0.816201 35.300 104.3254
0.822116 35.478 103.4963
0.828073 35.659 102.6835
0.834074 35.842 101.8861
0.840118 36.027 101.1033
0.846206 36.214 100.3344
0.852338 36.402 99.5785
0.858514 36.593 98.8348
0.864735 36.786 98.1024
0.871001 36.980 97.3804
0.877313 37.176 96.6681
0.883670 37.373 95.9646
0.890074 37.572 95.2691
0.896524 37.773 94.5807
0.903020 37.975 93.8987
0.909564 38.178 93.2222
0.916155 38.383 92.5505
0.922794 38.588 91.8829
0.929481 38.795 91.2185
0.936216 39.003 90.5566
0.943000 39.212 89.8966
0.949834 39.421 89.2377
0.956717 39.631 88.5792
0.963649 39.842 87.9205
0.970632 40.053 87.2609
0.977666 40.265 86.5998
0.984750 40.477 85.9365
0.991886 40.689 85.2705
0.999074 40.900 84.6012
1.006314 41.112 83.9280
1.013606 41.323 83.2503
1.020951 41.534 82.5676
1.028349 41.744 81.8795
1.035801 41.953 81.1853
1.043307 42.161 80.4848
1.050867 42.368 79.7774
1.058482 42.574 79.0631
1.066152 42.778 78.3417
1.073878 42.981 77.6134
1.081660 43.182 76.8789
1.089498 43.382 76.1394
1.097393 43.580 75.3966
1.105345 43.777 74.6528
1.113355 43.973 73.9105
1.121423 44.168 73.1719
1.129549 44.362 72.4385
1.137734 44.555 71.7116
1.145979 44.747 70.9919
1.154283 44.939 70.2796
1.162647 45.130 69.5751
1.171072 45.320 68.8783
1.179558 45.509 68.1891
1.188106 45.698 67.5075
1.196715 45.887 66.8333
1.205387 46.075 66.1660
1.214122 46.262 65.5056
1.222920 46.448 64.8516
1.231782 46.634 64.2037
1.240708 46.820 63.5615
1.249699 47.005 62.9247
1.258754 47.189 62.2928
1.267876 47.374 61.6655
1.277063 47.557 61.0421
1.286318 47.740 60.4224
1.295639 47.923 59.8058
1.305027 48.106 59.1918
1.314484 48.288 58.5800
1.324009 48.470 57.9700
1.333604 48.652 57.3610
1.343268 48.833 56.7528
1.353002 49.015 56.1447
1.362806 49.196 55.5363
1.372681 49.377 54.9271
1.382628 49.559 54.3165
1.392647 49.740 53.7041
1.402739 49.921 53.0895
1.412904 50.103 52.4722
1.423142 50.285 51.8519
1.433455 50.466 51.2287
1.443843 50.648 50.6026
1.454305 50.830 49.9742
1.464844 51.012 49.3444
1.475459 51.193 48.7145
1.486150 51.374 48.0856
1.496920 51.554 47.4588
1.507767 51.733 46.8349
1.518693 51.911 46.2142
1.529698 52.088 45.5968
1.540783 52.265 44.9828
1.551948 52.440 44.3719
1.563194 52.615 43.7639
1.574521 52.789 43.1586
1.585931 52.961 42.5554
1.597423 53.134 41.9541
1.608999 53.305 41.3543
1.620658 53.476 40.7556
1.632402 53.646 40.1576
1.644232 53.815 39.5597
1.656146 53.984 38.9616
1.668147 54.152 38.3628
1.680235 54.320 37.7629
1.692411 54.487 37.1613
1.704675 54.654 36.5576
1.717028 54.821 35.9513
1.729470 54.987 35.3419
1.742003 55.153 34.7289
1.754626 55.320 34.1119
1.767341 55.486 33.4904
1.780147 55.652 32.8640
1.793047 55.818 32.2325
1.806040 55.984 31.5958
1.819128 56.149 30.9539
1.832310 56.315 30.3073
1.845587 56.480 29.6565
1.858961 56.644 29.0025
1.872432 56.808 28.3460
1.886001 56.971 27.6876
1.899667 57.133 27.0281
1.913433 57.294 26.3678
1.927299 57.454 25.7072
1.941265 57.614 25.0464
1.955332 57.772 24.3859
1.969501 57.930 23.7256
1.983773 58.087 23.0657
1.998148 58.243 22.4063
2.012627 58.399 21.7473
2.027212 58.554 21.0888
2.041902 58.708 20.4305
2.056698 58.862 19.7725
2.071602 59.015 19.1144
2.086614 59.168 18.4561
2.101734 59.321 17.7974
2.116964 59.473 17.1378
2.132304 59.625 16.4772
2.147756 59.777 15.8151
2.163320 59.928 15.1511
2.178996 60.079 14.4851
2.194786 60.230 13.8165
2.210690 60.380 13.1452
2.226710 60.530 12.4712
2.242845 60.679 11.7946
2.259098 60.826 11.1157
2.275468 60.973 10.4350
2.291957 61.120 9.7527
2.308566 61.265 9.0693
2.325295 61.409 8.3852
2.342145 61.553 7.7007
2.359117 61.695 7.0161
2.376212 61.837 6.3317
2.393431 61.979 5.6476
2.410775 62.120 4.9641
2.428244 62.260 4.2812
2.445840 62.399 3.5990
2.463564 62.538 2.9174
2.481416 62.677 2.2364
2.499397 62.815 1.5558
2.517509 62.953 0.8752
2.535752 63.091 0.1943
2.554127 63.228 -0.4873
2.572635 63.364 -1.1703
2.591277 63.500 -1.8552
2.610055 63.635 -2.5422
2.628968 63.769 -3.2314
2.648019 63.902 -3.9226
2.667208 64.034 -4.6155
2.686535 64.166 -5.3095
2.706003 64.296 -6.0044
2.725612 64.426 -6.6996
2.745363 64.555 -7.3947
2.765257 64.684 -8.0892
2.785295 64.812 -8.7830
2.805478 64.939 -9.4756
2.825808 65.066 -10.1668
2.846285 65.192 -10.8566
2.866910 65.318 -11.5448
2.887685 65.443 -12.2318
2.908611 65.568 -12.9177
2.929688 65.692 -13.6033
2.950917 65.816 -14.2891
2.972301 65.939 -14.9756
2.993839 66.062 -15.6632
3.015534 66.183 -16.3519
3.037386 66.304 -17.0415
3.059396 66.424 -17.7318
3.081565 66.543 -18.4224
3.103896 66.661 -19.1128
3.126388 66.779 -19.8026
3.149043 66.896 -20.4914
3.171862 67.013 -21.1788
3.194847 67.129 -21.8647
3.217998 67.245 -22.5487
3.241317 67.361 -23.2309
3.264805 67.476 -23.9114
3.288463 67.590 -24.5905
3.312293 67.705 -25.2686
3.336295 67.818 -25.9464
3.360471 67.931 -26.6241
3.384822 68.044 -27.3021
3.409350 68.155 -27.9803
3.434056 68.266 -28.6584
3.458940 68.377 -29.3363
3.484005 68.487 -30.0137
3.509252 68.596 -30.6903
3.534681 68.705 -31.3658
3.560295 68.814 -32.0400
3.586094 68.922 -32.7128
3.612081 69.031 -33.3840
3.638255 69.138 -34.0538
3.664620 69.246 -34.7224
3.691175 69.353 -35.3903
3.717923 69.460 -36.0576
3.744864 69.566 -36.7247
3.772001 69.672 -37.3917
3.799335 69.777 -38.0586
3.826866 69.882 -38.7253
3.854597 69.986 -39.3917
3.882529 70.090 -40.0577
3.910664 70.194 -40.7231
3.939002 70.298 -41.3881
3.967546 70.401 -42.0524
3.996296 70.504 -42.7161
4.025255 70.607 -43.3796
4.054423 70.709 -44.0429
4.083804 70.811 -44.7063
4.113396 70.913 -45.3700
4.143204 71.015 -46.0341
4.173227 71.116 -46.6984
4.203468 71.217 -47.3632
4.233928 71.317 -48.0283
4.264609 71.418 -48.6937
4.295512 71.518 -49.3596
4.326639 71.617 -50.0258
4.357992 71.717 -50.6924
4.389572 71.816 -51.3599
4.421380 71.914 -52.0281
4.453419 72.013 -52.6975
4.485691 72.111 -53.3682
4.518196 72.209 -54.0399
4.550936 72.306 -54.7128
4.583914 72.403 -55.3867
4.617131 72.500 -56.0616
4.650589 72.596 -56.7374
4.684289 72.692 -57.4141
4.718233 72.787 -58.0918
4.752424 72.882 -58.7708
4.786862 72.977 -59.4512
4.821549 73.071 -60.1332
4.856488 73.164 -60.8170
4.891680 73.257 -61.5024
4.927127 73.350 -62.1893
4.962831 73.442 -62.8774
4.998794 73.534 -63.5664
5.035017 73.625 -64.2563
5.071503 73.715 -64.9470
5.108253 73.805 -65.6385
5.145270 73.895 -66.3312
5.182555 73.984 -67.0253
5.220110 74.072 -67.7208
5.257937 74.160 -68.4176
5.296038 74.246 -69.1156
5.334415 74.333 -69.8143
5.373071 74.419 -70.5134
5.412006 74.504 -71.2126
5.451224 74.588 -71.9119
5.490725 74.672 -72.6111
5.530514 74.755 -73.3107
5.570590 74.838 -74.0107
5.610957 74.920 -74.7112
5.651616 75.001 -75.4120
5.692570 75.081 -76.1128
5.733821 75.161 -76.8134
5.775370 75.241 -77.5131
5.817221 75.319 -78.2121
5.859375 75.397 -78.9102
5.901834 75.475 -79.6075
5.944602 75.552 -80.3043
5.987679 75.628 -81.0006
6.031068 75.704 -81.6964
6.074771 75.780 -82.3913
6.118792 75.854 -83.0852
6.163131 75.929 -83.7780
6.207792 76.003 -84.4694
6.252776 76.076 -85.1596
6.298086 76.149 -85.8488
6.343725 76.222 -86.5370
6.389694 76.294 -87.2245
6.435996 76.366 -87.9110
6.482634 76.437 -88.5967
6.529610 76.508 -89.2814
6.576926 76.579 -89.9652
6.624585 76.649 -90.6483
6.672590 76.720 -91.3307
6.720942 76.790 -92.0126
6.769645 76.859 -92.6941
6.818700 76.929 -93.3754
