* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 5, 24 1:27:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aoshida E20 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 44.403 -10.4961
0.368865 44.412 -10.4441
0.371538 44.424 -10.3670
0.374230 44.440 -10.2716
0.376942 44.458 -10.1636
0.379673 44.477 -10.0473
0.382424 44.497 -9.9256
0.385196 44.518 -9.8000
0.387987 44.539 -9.6717
0.390798 44.560 -9.5409
0.393630 44.581 -9.4081
0.396483 44.603 -9.2734
0.399356 44.624 -9.1367
0.402250 44.646 -8.9980
0.405165 44.668 -8.8573
0.408101 44.690 -8.7145
0.411058 44.713 -8.5696
0.414037 44.735 -8.4226
0.417037 44.758 -8.2732
0.420059 44.781 -8.1216
0.423103 44.804 -7.9675
0.426169 44.827 -7.8110
0.429257 44.850 -7.6520
0.432368 44.874 -7.4903
0.435501 44.897 -7.3260
0.438656 44.921 -7.1589
0.441835 44.945 -6.9890
0.445037 44.970 -6.8161
0.448262 44.994 -6.6403
0.451510 45.018 -6.4615
0.454782 45.043 -6.2795
0.458077 45.068 -6.0943
0.461397 45.093 -5.9059
0.464740 45.118 -5.7141
0.468108 45.144 -5.5188
0.471500 45.169 -5.3201
0.474917 45.195 -5.1178
0.478358 45.221 -4.9118
0.481825 45.247 -4.7021
0.485316 45.274 -4.4886
0.488833 45.300 -4.2712
0.492375 45.327 -4.0499
0.495943 45.354 -3.8246
0.499537 45.381 -3.5952
0.503157 45.409 -3.3617
0.506803 45.436 -3.1240
0.510475 45.464 -2.8821
0.514175 45.492 -2.6359
0.517900 45.520 -2.3853
0.521653 45.548 -2.1304
0.525434 45.577 -1.8710
0.529241 45.606 -1.6072
0.533076 45.635 -1.3389
0.536939 45.664 -1.0661
0.540830 45.693 -0.7888
0.544749 45.723 -0.5069
0.548696 45.753 -0.2205
0.552673 45.783 0.0704
0.556677 45.813 0.3659
0.560711 45.843 0.6658
0.564774 45.874 0.9702
0.568867 45.905 1.2790
0.572989 45.936 1.5922
0.577141 45.968 1.9097
0.581324 45.999 2.2315
0.585536 46.031 2.5575
0.589779 46.063 2.8875
0.594053 46.095 3.2214
0.598358 46.128 3.5593
0.602694 46.161 3.9008
0.607061 46.194 4.2460
0.611460 46.227 4.5946
0.615891 46.260 4.9464
0.620354 46.294 5.3014
0.624849 46.328 5.6592
0.629377 46.362 6.0198
0.633938 46.397 6.3828
0.638532 46.431 6.7481
0.643159 46.466 7.1154
0.647819 46.502 7.4845
0.652514 46.537 7.8551
0.657242 46.573 8.2270
0.662005 46.609 8.5998
0.666802 46.645 8.9732
0.671634 46.681 9.3470
0.676501 46.718 9.7209
0.681403 46.755 10.0945
0.686341 46.793 10.4676
0.691314 46.831 10.8398
0.696324 46.869 11.2108
0.701370 46.908 11.5804
0.706452 46.948 11.9483
0.711571 46.989 12.3143
0.716728 47.033 12.6785
0.721921 47.081 13.0411
0.727153 47.133 13.4023
0.732422 47.192 13.7630
0.737729 47.258 14.1238
0.743075 47.332 14.4857
0.748460 47.411 14.8491
0.753883 47.496 15.2144
0.759346 47.585 15.5814
0.764849 47.678 15.9501
0.770391 47.775 16.3200
0.775974 47.874 16.6906
0.781597 47.977 17.0616
0.787261 48.083 17.4323
0.792966 48.191 17.8023
0.798712 48.303 18.1709
0.804500 48.417 18.5377
0.810329 48.534 18.9022
0.816201 48.653 19.2637
0.822116 48.776 19.6217
0.828073 48.901 19.9758
0.834074 49.029 20.3255
0.840118 49.159 20.6702
0.846206 49.292 21.0094
0.852338 49.427 21.3427
0.858514 49.565 21.6695
0.864735 49.706 21.9896
0.871001 49.848 22.3023
0.877313 49.993 22.6073
0.883670 50.140 22.9041
0.890074 50.290 23.1924
0.896524 50.441 23.4717
0.903020 50.594 23.7417
0.909564 50.750 24.0020
0.916155 50.907 24.2523
0.922794 51.066 24.4923
0.929481 51.226 24.7215
0.936216 51.388 24.9398
0.943000 51.552 25.1469
0.949834 51.716 25.3424
0.956717 51.882 25.5262
0.963649 52.049 25.6979
0.970632 52.217 25.8574
0.977666 52.386 26.0044
0.984750 52.556 26.1387
0.991886 52.726 26.2603
0.999074 52.896 26.3688
1.006314 53.067 26.4642
1.013606 53.237 26.5462
1.020951 53.408 26.6149
1.028349 53.578 26.6701
1.035801 53.748 26.7116
1.043307 53.918 26.7396
1.050867 54.086 26.7540
1.058482 54.254 26.7550
1.066152 54.420 26.7428
1.073878 54.585 26.7180
1.081660 54.750 26.6814
1.089498 54.913 26.6345
1.097393 55.075 26.5789
1.105345 55.237 26.5169
1.113355 55.399 26.4504
1.121423 55.561 26.3811
1.129549 55.723 26.3101
1.137734 55.886 26.2379
1.145979 56.050 26.1648
1.154283 56.214 26.0905
1.162647 56.379 26.0148
1.171072 56.545 25.9375
1.179558 56.711 25.8580
1.188106 56.878 25.7762
1.196715 57.045 25.6915
1.205387 57.214 25.6036
1.214122 57.382 25.5120
1.222920 57.551 25.4165
1.231782 57.721 25.3167
1.240708 57.891 25.2123
1.249699 58.062 25.1028
1.258754 58.233 24.9880
1.267876 58.404 24.8676
1.277063 58.576 24.7413
1.286318 58.748 24.6087
1.295639 58.921 24.4696
1.305027 59.093 24.3237
1.314484 59.266 24.1707
1.324009 59.439 24.0104
1.333604 59.612 23.8424
1.343268 59.785 23.6666
1.353002 59.958 23.4826
1.362806 60.131 23.2903
1.372681 60.304 23.0893
1.382628 60.477 22.8795
1.392647 60.649 22.6606
1.402739 60.822 22.4326
1.412904 60.994 22.1952
1.423142 61.165 21.9487
1.433455 61.337 21.6932
1.443843 61.507 21.4292
1.454305 61.678 21.1577
1.464844 61.847 20.8800
1.475459 62.016 20.5974
1.486150 62.185 20.3116
1.496920 62.353 20.0236
1.507767 62.520 19.7343
1.518693 62.687 19.4438
1.529698 62.853 19.1524
1.540783 63.018 18.8600
1.551948 63.183 18.5662
1.563194 63.348 18.2707
1.574521 63.511 17.9734
1.585931 63.675 17.6738
1.597423 63.837 17.3715
1.608999 64.000 17.0662
1.620658 64.161 16.7576
1.632402 64.323 16.4452
1.644232 64.484 16.1288
1.656146 64.644 15.8079
1.668147 64.804 15.4822
1.680235 64.964 15.1513
1.692411 65.124 14.8150
1.704675 65.283 14.4728
1.717028 65.442 14.1243
1.729470 65.601 13.7694
1.742003 65.759 13.4075
1.754626 65.918 13.0385
1.767341 66.076 12.6620
1.780147 66.234 12.2779
1.793047 66.392 11.8861
1.806040 66.550 11.4868
1.819128 66.707 11.0802
1.832310 66.865 10.6671
1.845587 67.022 10.2482
1.858961 67.178 9.8244
1.872432 67.334 9.3965
1.886001 67.488 8.9652
1.899667 67.642 8.5308
1.913433 67.796 8.0937
1.927299 67.948 7.6542
1.941265 68.100 7.2123
1.955332 68.251 6.7681
1.969501 68.401 6.3217
1.983773 68.551 5.8730
1.998148 68.700 5.4220
2.012627 68.848 4.9688
2.027212 68.996 4.5131
2.041902 69.143 4.0549
2.056698 69.290 3.5940
2.071602 69.436 3.1304
2.086614 69.582 2.6637
2.101734 69.728 2.1939
2.116964 69.873 1.7207
2.132304 70.017 1.2438
2.147756 70.162 0.7631
2.163320 70.306 0.2783
2.178996 70.450 -0.2107
2.194786 70.593 -0.7040
2.210690 70.736 -1.2017
2.226710 70.878 -1.7036
2.242845 71.019 -2.2094
2.259098 71.160 -2.7189
2.275468 71.299 -3.2317
2.291957 71.438 -3.7475
2.308566 71.576 -4.2659
2.325295 71.712 -4.7866
2.342145 71.849 -5.3093
2.359117 71.984 -5.8338
2.376212 72.119 -6.3599
2.393431 72.252 -6.8874
2.410775 72.386 -7.4161
2.428244 72.518 -7.9459
2.445840 72.650 -8.4768
2.463564 72.782 -9.0088
2.481416 72.913 -9.5419
2.499397 73.043 -10.0762
2.517509 73.173 -10.6119
2.535752 73.303 -11.1494
2.554127 73.432 -11.6891
2.572635 73.560 -12.2313
2.591277 73.688 -12.7765
2.610055 73.814 -13.3249
2.628968 73.940 -13.8765
2.648019 74.065 -14.4311
2.667208 74.189 -14.9883
2.686535 74.312 -15.5479
2.706003 74.434 -16.1092
2.725612 74.555 -16.6719
2.745363 74.676 -17.2355
2.765257 74.795 -17.7997
2.785295 74.914 -18.3639
2.805478 75.033 -18.9279
2.825808 75.150 -19.4915
2.846285 75.267 -20.0544
2.866910 75.384 -20.6166
2.887685 75.500 -21.1782
2.908611 75.615 -21.7396
2.929688 75.730 -22.3012
2.950917 75.844 -22.8637
2.972301 75.957 -23.4277
2.993839 76.070 -23.9933
3.015534 76.181 -24.5607
3.037386 76.291 -25.1296
3.059396 76.401 -25.6998
3.081565 76.510 -26.2708
3.103896 76.618 -26.8420
3.126388 76.725 -27.4131
3.149043 76.831 -27.9835
3.171862 76.937 -28.5527
3.194847 77.042 -29.1204
3.217998 77.147 -29.6863
3.241317 77.251 -30.2504
3.264805 77.355 -30.8126
3.288463 77.458 -31.3734
3.312293 77.560 -31.9332
3.336295 77.662 -32.4926
3.360471 77.763 -33.0520
3.384822 77.863 -33.6116
3.409350 77.962 -34.1713
3.434056 78.061 -34.7310
3.458940 78.158 -35.2904
3.484005 78.255 -35.8490
3.509252 78.352 -36.4064
3.534681 78.448 -36.9623
3.560295 78.543 -37.5162
3.586094 78.639 -38.0680
3.612081 78.733 -38.6175
3.638255 78.827 -39.1647
3.664620 78.921 -39.7099
3.691175 79.015 -40.2534
3.717923 79.107 -40.7957
3.744864 79.199 -41.3369
3.772001 79.291 -41.8773
3.799335 79.382 -42.4168
3.826866 79.472 -42.9553
3.854597 79.562 -43.4927
3.882529 79.652 -44.0287
3.910664 79.741 -44.5631
3.939002 79.830 -45.0958
3.967546 79.918 -45.6266
3.996296 80.007 -46.1556
4.025255 80.095 -46.6827
4.054423 80.182 -47.2083
4.083804 80.269 -47.7325
4.113396 80.356 -48.2556
4.143204 80.443 -48.7776
4.173227 80.529 -49.2987
4.203468 80.615 -49.8189
4.233928 80.700 -50.3382
4.264609 80.786 -50.8566
4.295512 80.871 -51.3741
4.326639 80.955 -51.8906
4.357992 81.040 -52.4063
4.389572 81.124 -52.9212
4.421380 81.208 -53.4354
4.453419 81.292 -53.9491
4.485691 81.376 -54.4624
4.518196 81.459 -54.9753
4.550936 81.542 -55.4880
4.583914 81.625 -56.0005
4.617131 81.707 -56.5128
4.650589 81.789 -57.0250
4.684289 81.871 -57.5371
4.718233 81.953 -58.0493
4.752424 82.034 -58.5617
4.786862 82.115 -59.0743
4.821549 82.196 -59.5873
4.856488 82.277 -60.1008
4.891680 82.357 -60.6148
4.927127 82.437 -61.1292
4.962831 82.517 -61.6439
4.998794 82.596 -62.1591
5.035017 82.675 -62.6745
5.071503 82.753 -63.1904
5.108253 82.831 -63.7068
5.145270 82.909 -64.2237
5.182555 82.986 -64.7414
5.220110 83.063 -65.2599
5.257937 83.140 -65.7792
5.296038 83.216 -66.2990
5.334415 83.292 -66.8193
5.373071 83.367 -67.3399
5.412006 83.441 -67.8606
5.451224 83.516 -68.3814
5.490725 83.589 -68.9024
5.530514 83.663 -69.4237
5.570590 83.735 -69.9453
5.610957 83.808 -70.4672
5.651616 83.879 -70.9894
5.692570 83.950 -71.5116
5.733821 84.021 -72.0336
5.775370 84.091 -72.5551
5.817221 84.161 -73.0761
5.859375 84.230 -73.5965
5.901834 84.299 -74.1164
5.944602 84.367 -74.6359
5.987679 84.434 -75.1549
6.031068 84.501 -75.6734
6.074771 84.568 -76.1913
6.118792 84.634 -76.7082
6.163131 84.700 -77.2241
6.207792 84.765 -77.7388
6.252776 84.830 -78.2525
6.298086 84.894 -78.7651
6.343725 84.958 -79.2768
6.389694 85.022 -79.7875
6.435996 85.085 -80.2971
6.482634 85.147 -80.8058
6.529610 85.210 -81.3133
6.576926 85.272 -81.8196
6.624585 85.334 -82.3249
6.672590 85.395 -82.8292
