* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 5, 24 1:26:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aoshida E20 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 38.294 -12.8551
0.368865 38.302 -12.7912
0.371538 38.314 -12.6966
0.374230 38.328 -12.5795
0.376942 38.345 -12.4472
0.379673 38.362 -12.3048
0.382424 38.380 -12.1558
0.385196 38.399 -12.0023
0.387987 38.418 -11.8455
0.390798 38.437 -11.6859
0.393630 38.457 -11.5240
0.396483 38.476 -11.3598
0.399356 38.496 -11.1933
0.402250 38.516 -11.0245
0.405165 38.536 -10.8533
0.408101 38.556 -10.6797
0.411058 38.577 -10.5035
0.414037 38.597 -10.3247
0.417037 38.618 -10.1431
0.420059 38.639 -9.9587
0.423103 38.660 -9.7713
0.426169 38.681 -9.5809
0.429257 38.702 -9.3873
0.432368 38.723 -9.1905
0.435501 38.745 -8.9903
0.438656 38.767 -8.7865
0.441835 38.789 -8.5792
0.445037 38.811 -8.3682
0.448262 38.833 -8.1532
0.451510 38.855 -7.9344
0.454782 38.878 -7.7114
0.458077 38.900 -7.4843
0.461397 38.923 -7.2528
0.464740 38.946 -7.0169
0.468108 38.970 -6.7764
0.471500 38.993 -6.5312
0.474917 39.016 -6.2811
0.478358 39.040 -6.0262
0.481825 39.064 -5.7662
0.485316 39.088 -5.5010
0.488833 39.112 -5.2305
0.492375 39.137 -4.9547
0.495943 39.161 -4.6732
0.499537 39.186 -4.3862
0.503157 39.211 -4.0934
0.506803 39.236 -3.7948
0.510475 39.261 -3.4902
0.514175 39.287 -3.1795
0.517900 39.312 -2.8628
0.521653 39.338 -2.5398
0.525434 39.364 -2.2106
0.529241 39.390 -1.8749
0.533076 39.417 -1.5329
0.536939 39.443 -1.1845
0.540830 39.470 -0.8295
0.544749 39.497 -0.4680
0.548696 39.524 -0.0999
0.552673 39.552 0.2747
0.556677 39.579 0.6558
0.560711 39.607 1.0434
0.564774 39.635 1.4375
0.568867 39.663 1.8381
0.572989 39.692 2.2449
0.577141 39.720 2.6581
0.581324 39.749 3.0773
0.585536 39.778 3.5026
0.589779 39.807 3.9338
0.594053 39.837 4.3707
0.598358 39.866 4.8130
0.602694 39.896 5.2607
0.607061 39.926 5.7135
0.611460 39.956 6.1711
0.615891 39.987 6.6332
0.620354 40.018 7.0996
0.624849 40.049 7.5699
0.629377 40.080 8.0439
0.633938 40.111 8.5210
0.638532 40.143 9.0010
0.643159 40.175 9.4835
0.647819 40.207 9.9681
0.652514 40.239 10.4542
0.657242 40.272 10.9415
0.662005 40.304 11.4295
0.666802 40.337 11.9177
0.671634 40.371 12.4057
0.676501 40.404 12.8929
0.681403 40.438 13.3789
0.686341 40.472 13.8631
0.691314 40.507 14.3450
0.696324 40.542 14.8242
0.701370 40.578 15.3003
0.706452 40.615 15.7727
0.711571 40.653 16.2414
0.716728 40.695 16.7060
0.721921 40.741 17.1668
0.727153 40.793 17.6241
0.732422 40.852 18.0788
0.737729 40.921 18.5316
0.743075 40.999 18.9835
0.748460 41.084 19.4351
0.753883 41.175 19.8869
0.759346 41.272 20.3386
0.764849 41.373 20.7901
0.770391 41.479 21.2409
0.775974 41.588 21.6905
0.781597 41.701 22.1383
0.787261 41.818 22.5838
0.792966 41.938 23.0262
0.798712 42.062 23.4651
0.804500 42.189 23.8998
0.810329 42.319 24.3297
0.816201 42.453 24.7542
0.822116 42.590 25.1728
0.828073 42.730 25.5848
0.834074 42.874 25.9899
0.840118 43.020 26.3873
0.846206 43.170 26.7767
0.852338 43.322 27.1576
0.858514 43.478 27.5294
0.864735 43.636 27.8917
0.871001 43.797 28.2441
0.877313 43.961 28.5862
0.883670 44.127 28.9175
0.890074 44.296 29.2378
0.896524 44.467 29.5466
0.903020 44.641 29.8436
0.909564 44.817 30.1286
0.916155 44.995 30.4011
0.922794 45.174 30.6609
0.929481 45.356 30.9077
0.936216 45.539 31.1414
0.943000 45.724 31.3616
0.949834 45.910 31.5682
0.956717 46.098 31.7610
0.963649 46.286 31.9398
0.970632 46.476 32.1044
0.977666 46.666 32.2547
0.984750 46.857 32.3906
0.991886 47.048 32.5119
0.999074 47.239 32.6186
1.006314 47.431 32.7105
1.013606 47.622 32.7877
1.020951 47.812 32.8499
1.028349 48.002 32.8973
1.035801 48.192 32.9298
1.043307 48.380 32.9474
1.050867 48.566 32.9503
1.058482 48.751 32.9386
1.066152 48.935 32.9128
1.073878 49.116 32.8734
1.081660 49.296 32.8214
1.089498 49.474 32.7583
1.097393 49.650 32.6859
1.105345 49.826 32.6066
1.113355 50.001 32.5225
1.121423 50.175 32.4353
1.129549 50.349 32.3463
1.137734 50.524 32.2559
1.145979 50.699 32.1645
1.154283 50.874 32.0720
1.162647 51.050 31.9780
1.171072 51.225 31.8824
1.179558 51.402 31.7848
1.188106 51.578 31.6848
1.196715 51.755 31.5821
1.205387 51.932 31.4762
1.214122 52.109 31.3669
1.222920 52.286 31.2537
1.231782 52.464 31.1364
1.240708 52.642 31.0147
1.249699 52.820 30.8881
1.258754 52.998 30.7565
1.267876 53.177 30.6195
1.277063 53.355 30.4769
1.286318 53.534 30.3283
1.295639 53.712 30.1735
1.305027 53.891 30.0123
1.314484 54.070 29.8442
1.324009 54.248 29.6693
1.333604 54.427 29.4870
1.343268 54.606 29.2973
1.353002 54.784 29.0999
1.362806 54.962 28.8945
1.372681 55.141 28.6809
1.382628 55.319 28.4589
1.392647 55.497 28.2284
1.402739 55.674 27.9891
1.412904 55.852 27.7410
1.423142 56.029 27.4842
1.433455 56.205 27.2189
1.443843 56.382 26.9456
1.454305 56.557 26.6651
1.464844 56.733 26.3788
1.475459 56.907 26.0880
1.486150 57.081 25.7942
1.496920 57.254 25.4985
1.507767 57.426 25.2016
1.518693 57.598 24.9039
1.529698 57.769 24.6054
1.540783 57.938 24.3060
1.551948 58.108 24.0056
1.563194 58.276 23.7038
1.574521 58.444 23.4004
1.585931 58.611 23.0950
1.597423 58.777 22.7873
1.608999 58.942 22.4770
1.620658 59.107 22.1637
1.632402 59.272 21.8471
1.644232 59.436 21.5268
1.656146 59.599 21.2026
1.668147 59.762 20.8740
1.680235 59.924 20.5408
1.692411 60.087 20.2026
1.704675 60.248 19.8591
1.717028 60.410 19.5100
1.729470 60.571 19.1549
1.742003 60.732 18.7935
1.754626 60.893 18.4257
1.767341 61.053 18.0510
1.780147 61.214 17.6694
1.793047 61.374 17.2808
1.806040 61.535 16.8853
1.819128 61.695 16.4832
1.832310 61.855 16.0751
1.845587 62.014 15.6618
1.858961 62.173 15.2440
1.872432 62.331 14.8225
1.886001 62.488 14.3979
1.899667 62.645 13.9705
1.913433 62.800 13.5408
1.927299 62.955 13.1090
1.941265 63.109 12.6751
1.955332 63.261 12.2393
1.969501 63.414 11.8017
1.983773 63.565 11.3622
1.998148 63.716 10.9208
2.012627 63.866 10.4775
2.027212 64.015 10.0324
2.041902 64.164 9.5851
2.056698 64.313 9.1358
2.071602 64.461 8.6842
2.086614 64.608 8.2302
2.101734 64.755 7.7737
2.116964 64.902 7.3144
2.132304 65.048 6.8521
2.147756 65.194 6.3867
2.163320 65.340 5.9180
2.178996 65.485 5.4458
2.194786 65.630 4.9699
2.210690 65.774 4.4904
2.226710 65.918 4.0073
2.242845 66.061 3.5208
2.259098 66.203 3.0313
2.275468 66.344 2.5389
2.291957 66.484 2.0441
2.308566 66.623 1.5471
2.325295 66.762 1.0483
2.342145 66.899 0.5478
2.359117 67.036 0.0461
2.376212 67.172 -0.4568
2.393431 67.308 -0.9606
2.410775 67.442 -1.4652
2.428244 67.576 -1.9704
2.445840 67.710 -2.4762
2.463564 67.843 -2.9825
2.481416 67.975 -3.4894
2.499397 68.107 -3.9968
2.517509 68.239 -4.5051
2.535752 68.370 -5.0145
2.554127 68.500 -5.5252
2.572635 68.630 -6.0378
2.591277 68.759 -6.5526
2.610055 68.888 -7.0698
2.628968 69.015 -7.5895
2.648019 69.142 -8.1115
2.667208 69.268 -8.6355
2.686535 69.392 -9.1611
2.706003 69.516 -9.6879
2.725612 69.639 -10.2156
2.745363 69.761 -10.7437
2.765257 69.883 -11.2719
2.785295 70.004 -11.7998
2.805478 70.124 -12.3270
2.825808 70.244 -12.8534
2.846285 70.363 -13.3787
2.866910 70.482 -13.9028
2.887685 70.600 -14.4260
2.908611 70.718 -14.9483
2.929688 70.835 -15.4703
2.950917 70.951 -15.9924
2.972301 71.067 -16.5151
2.993839 71.182 -17.0388
3.015534 71.295 -17.5634
3.037386 71.409 -18.0888
3.059396 71.521 -18.6148
3.081565 71.632 -19.1409
3.103896 71.743 -19.6669
3.126388 71.853 -20.1923
3.149043 71.963 -20.7166
3.171862 72.072 -21.2395
3.194847 72.180 -21.7607
3.217998 72.288 -22.2800
3.241317 72.395 -22.7972
3.264805 72.503 -23.3124
3.288463 72.609 -23.8259
3.312293 72.715 -24.3379
3.336295 72.821 -24.8490
3.360471 72.926 -25.3595
3.384822 73.030 -25.8696
3.409350 73.133 -26.3792
3.434056 73.236 -26.8883
3.458940 73.338 -27.3966
3.484005 73.440 -27.9039
3.509252 73.541 -28.4098
3.534681 73.642 -28.9142
3.560295 73.742 -29.4167
3.586094 73.842 -29.9172
3.612081 73.942 -30.4156
3.638255 74.041 -30.9118
3.664620 74.140 -31.4061
3.691175 74.239 -31.8986
3.717923 74.337 -32.3897
3.744864 74.435 -32.8796
3.772001 74.532 -33.3684
3.799335 74.629 -33.8562
3.826866 74.725 -34.3428
3.854597 74.821 -34.8283
3.882529 74.917 -35.3126
3.910664 75.013 -35.7956
3.939002 75.108 -36.2772
3.967546 75.203 -36.7575
3.996296 75.298 -37.2362
4.025255 75.392 -37.7137
4.054423 75.487 -38.1899
4.083804 75.581 -38.6650
4.113396 75.675 -39.1391
4.143204 75.769 -39.6124
4.173227 75.862 -40.0849
4.203468 75.955 -40.5568
4.233928 76.048 -41.0281
4.264609 76.140 -41.4988
4.295512 76.233 -41.9690
4.326639 76.325 -42.4387
4.357992 76.417 -42.9081
4.389572 76.509 -43.3772
4.421380 76.601 -43.8461
4.453419 76.692 -44.3149
4.485691 76.783 -44.7836
4.518196 76.874 -45.2523
4.550936 76.965 -45.7211
4.583914 77.056 -46.1899
4.617131 77.146 -46.6588
4.650589 77.236 -47.1279
4.684289 77.326 -47.5972
4.718233 77.415 -48.0668
4.752424 77.504 -48.5368
4.786862 77.593 -49.0074
4.821549 77.682 -49.4786
4.856488 77.770 -49.9505
4.891680 77.859 -50.4229
4.927127 77.946 -50.8959
4.962831 78.034 -51.3693
4.998794 78.121 -51.8431
5.035017 78.207 -52.3173
5.071503 78.294 -52.7918
5.108253 78.380 -53.2668
5.145270 78.465 -53.7422
5.182555 78.551 -54.2183
5.220110 78.635 -54.6950
5.257937 78.720 -55.1724
5.296038 78.804 -55.6501
5.334415 78.887 -56.1281
5.373071 78.970 -56.6063
5.412006 79.053 -57.0843
5.451224 79.135 -57.5622
5.490725 79.217 -58.0400
5.530514 79.298 -58.5178
5.570590 79.379 -58.9956
5.610957 79.459 -59.4735
5.651616 79.539 -59.9513
5.692570 79.619 -60.4288
5.733821 79.698 -60.9060
5.775370 79.776 -61.3825
5.817221 79.854 -61.8583
5.859375 79.932 -62.3333
5.901834 80.009 -62.8076
5.944602 80.086 -63.2813
5.987679 80.163 -63.7544
6.031068 80.239 -64.2269
6.074771 80.314 -64.6985
6.118792 80.390 -65.1693
6.163131 80.465 -65.6392
6.207792 80.539 -66.1079
6.252776 80.614 -66.5757
6.298086 80.687 -67.0426
6.343725 80.761 -67.5086
6.389694 80.834 -67.9738
6.435996 80.907 -68.4381
6.482634 80.980 -68.9017
6.529610 81.052 -69.3644
6.576926 81.124 -69.8263
6.624585 81.196 -70.2874
6.672590 81.268 -70.7479
