* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 20, 24 5:57:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audio Hekili R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 103.960 179.6715
20.287556 103.963 179.7159
20.434568 103.966 179.7278
20.582645 103.971 179.7103
20.731796 103.975 179.6652
20.882027 103.979 179.5941
21.033346 103.983 179.4960
21.185762 103.986 179.3668
21.339283 103.988 179.2161
21.493916 103.989 179.0470
21.649670 103.990 178.8636
21.806553 103.990 178.6706
21.964573 103.990 178.4735
22.123737 103.990 178.2707
22.284056 103.990 178.0722
22.445536 103.992 177.8847
22.608185 103.994 177.7118
22.772013 103.999 177.5563
22.937029 104.004 177.4197
23.103241 104.012 177.2976
23.270657 104.020 177.1912
23.439285 104.030 177.1017
23.609137 104.041 177.0268
23.780218 104.051 176.9636
23.952539 104.061 176.9086
24.126110 104.069 176.8527
24.300938 104.076 176.7961
24.477032 104.082 176.7375
24.654402 104.085 176.6741
24.833057 104.085 176.6033
25.013008 104.084 176.5228
25.194263 104.080 176.4251
25.376831 104.075 176.3163
25.560722 104.067 176.1966
25.745945 104.059 176.0670
25.932510 104.050 175.9292
26.120428 104.041 175.7807
26.309708 104.032 175.6262
26.500359 104.023 175.4714
26.692390 104.015 175.3191
26.885815 104.009 175.1718
27.080641 104.003 175.0291
27.276878 103.998 174.8909
27.474539 103.995 174.7616
27.673630 103.992 174.6408
27.874165 103.990 174.5274
28.076153 103.988 174.4174
28.279604 103.986 174.3075
28.484529 103.984 174.1986
28.690941 103.982 174.0886
28.898848 103.980 173.9756
29.108261 103.976 173.8557
29.319191 103.973 173.7284
29.531651 103.969 173.5960
29.745649 103.965 173.4590
29.961199 103.961 173.3181
30.178310 103.958 173.1706
30.396996 103.956 173.0208
30.617264 103.954 172.8708
30.839128 103.953 172.7215
31.062601 103.953 172.5726
31.287693 103.953 172.4229
31.514416 103.953 172.2765
31.742783 103.953 172.1341
31.972803 103.953 171.9964
32.204491 103.951 171.8608
32.437859 103.949 171.7308
32.672916 103.945 171.6069
32.909679 103.940 171.4890
33.148155 103.934 171.3735
33.388359 103.928 171.2606
33.630306 103.921 171.1506
33.874004 103.914 171.0423
34.119469 103.908 170.9323
34.366711 103.901 170.8193
34.615746 103.895 170.7044
34.866585 103.890 170.5871
35.119244 103.885 170.4653
35.373734 103.882 170.3385
35.630066 103.879 170.2085
35.888256 103.876 170.0755
36.148315 103.873 169.9375
36.410259 103.871 169.7956
36.674103 103.868 169.6530
36.939857 103.865 169.5108
37.207539 103.861 169.3685
37.477161 103.855 169.2280
37.748737 103.850 169.0903
38.022282 103.843 168.9550
38.297806 103.836 168.8179
38.575329 103.829 168.6814
38.854862 103.821 168.5444
39.136421 103.814 168.4054
39.420021 103.806 168.2641
39.705673 103.799 168.1221
39.993397 103.791 167.9803
40.283207 103.784 167.8372
40.575115 103.778 167.6965
40.869141 103.771 167.5585
41.165295 103.765 167.4212
41.463596 103.759 167.2845
41.764057 103.753 167.1492
42.066696 103.747 167.0143
42.371529 103.740 166.8785
42.678570 103.732 166.7428
42.987835 103.724 166.6071
43.299343 103.715 166.4688
43.613110 103.706 166.3302
43.929150 103.696 166.1912
44.247478 103.685 166.0488
44.568115 103.675 165.9049
44.891075 103.664 165.7606
45.216373 103.653 165.6161
45.544029 103.642 165.4730
45.874062 103.632 165.3324
46.206486 103.622 165.1921
46.541317 103.613 165.0508
46.878574 103.605 164.9071
47.218277 103.597 164.7577
47.560440 103.589 164.6033
47.905083 103.580 164.4467
48.252224 103.570 164.2897
48.601879 103.560 164.1359
48.954067 103.549 163.9873
49.308807 103.538 163.8430
49.666119 103.527 163.7022
50.026020 103.516 163.5637
50.388531 103.504 163.4248
50.753666 103.493 163.2884
51.121449 103.480 163.1544
51.491894 103.468 163.0215
51.865025 103.455 162.8895
52.240860 103.443 162.7548
52.619419 103.431 162.6158
53.000721 103.419 162.4721
53.384785 103.407 162.3226
53.771633 103.394 162.1706
54.161285 103.381 162.0173
54.553761 103.368 161.8631
54.949081 103.356 161.7091
55.347263 103.342 161.5542
55.748333 103.329 161.4005
56.152309 103.315 161.2496
56.559212 103.301 161.1027
56.969063 103.287 160.9610
57.381886 103.272 160.8208
57.797699 103.258 160.6821
58.216526 103.243 160.5422
58.638386 103.228 160.3989
59.063305 103.213 160.2511
59.491302 103.197 160.0987
59.922401 103.181 159.9451
60.356625 103.164 159.7909
60.793995 103.148 159.6384
61.234531 103.132 159.4871
61.678261 103.116 159.3358
62.125206 103.100 159.1830
62.575390 103.084 159.0268
63.028835 103.068 158.8661
63.485569 103.051 158.7003
63.945610 103.033 158.5343
64.408989 103.015 158.3710
64.875725 102.996 158.2148
65.345840 102.977 158.0662
65.819366 102.959 157.9238
66.296318 102.940 157.7831
66.776726 102.922 157.6421
67.260620 102.902 157.5013
67.748016 102.883 157.3617
68.238945 102.862 157.2234
68.733429 102.842 157.0893
69.231499 102.823 156.9633
69.733177 102.803 156.8457
70.238495 102.785 156.7323
70.747475 102.766 156.6154
71.260139 102.747 156.4846
71.776520 102.727 156.3342
72.296638 102.705 156.1653
72.820526 102.681 155.9837
73.348213 102.658 155.7966
73.879723 102.635 155.6109
74.415085 102.612 155.4299
74.954330 102.590 155.2589
75.497482 102.567 155.0998
76.044571 102.544 154.9512
76.595619 102.520 154.8080
77.150665 102.495 154.6647
77.709732 102.470 154.5177
78.272850 102.445 154.3670
78.840050 102.421 154.2144
79.411354 102.397 154.0630
79.986801 102.374 153.9138
80.566422 102.350 153.7668
81.150238 102.325 153.6224
81.738289 102.299 153.4803
82.330597 102.273 153.3378
82.927200 102.246 153.1940
83.528122 102.219 153.0505
84.133400 102.192 152.9060
84.743065 102.165 152.7599
85.357147 102.138 152.6143
85.975677 102.112 152.4710
86.598694 102.085 152.3335
87.226227 102.058 152.1994
87.858307 102.031 152.0670
88.494965 102.002 151.9371
89.136238 101.973 151.8074
89.782158 101.943 151.6768
90.432755 101.913 151.5436
91.088066 101.883 151.4083
91.748131 101.851 151.2721
92.412979 101.820 151.1335
93.082642 101.788 150.9930
93.757156 101.756 150.8506
94.436562 101.725 150.7092
95.120888 101.694 150.5704
95.810173 101.662 150.4355
96.504456 101.631 150.3067
97.203766 101.600 150.1814
97.908142 101.568 150.0561
98.617622 101.536 149.9338
99.332245 101.503 149.8125
100.052048 101.471 149.6907
100.777069 101.438 149.5654
101.507339 101.404 149.4393
102.242905 101.369 149.3126
102.983795 101.333 149.1865
103.730057 101.296 149.0599
104.481728 101.259 148.9392
105.238846 101.222 148.8250
106.001450 101.186 148.7160
106.769577 101.149 148.6075
107.543274 101.111 148.5012
108.322578 101.073 148.3958
109.107529 101.033 148.2881
109.898170 100.993 148.1709
110.694534 100.953 148.0438
111.496674 100.914 147.9103
112.304626 100.874 147.7747
113.118431 100.835 147.6416
113.938133 100.796 147.5154
114.763779 100.760 147.3970
115.595406 100.726 147.2872
116.433060 100.699 147.1720
117.276779 100.678 147.0285
118.126617 100.659 146.8334
118.982613 100.636 146.5701
119.844810 100.597 146.2652
120.713257 100.538 145.9889
121.587997 100.460 145.8415
122.469070 100.377 145.8979
123.356529 100.305 146.1569
124.250420 100.257 146.5517
125.150787 100.237 146.9841
126.057678 100.242 147.3456
126.971146 100.258 147.5464
127.891228 100.269 147.5792
128.817978 100.261 147.5587
129.751450 100.238 147.6258
130.691681 100.214 147.8106
131.638733 100.197 147.9865
132.592636 100.178 148.0014
133.553452 100.140 147.8383
134.521240 100.077 147.6186
135.496033 100.000 147.4691
136.477890 99.924 147.4276
137.466858 99.862 147.4545
138.462997 99.815 147.4839
139.466354 99.779 147.4704
140.476990 99.745 147.4064
141.494949 99.706 147.3056
142.520279 99.663 147.1879
143.553040 99.618 147.0669
144.593277 99.574 146.9492
145.641052 99.533 146.8398
146.696426 99.494 146.7393
147.759445 99.456 146.6473
148.830170 99.419 146.5592
149.908661 99.382 146.4760
150.994965 99.344 146.4012
152.089142 99.305 146.3344
153.191238 99.265 146.2816
154.301331 99.224 146.2410
155.419464 99.183 146.2051
156.545700 99.141 146.1722
157.680099 99.097 146.1399
158.822708 99.051 146.1064
159.973602 99.002 146.0766
161.132843 98.951 146.0485
162.300476 98.901 146.0252
163.476578 98.851 146.0084
164.661194 98.801 145.9971
165.854401 98.752 145.9899
167.056244 98.702 145.9877
168.266800 98.653 145.9870
169.486130 98.604 145.9901
170.714294 98.555 145.9992
171.951355 98.506 146.0142
173.197388 98.458 146.0360
174.452454 98.410 146.0633
175.716614 98.361 146.0951
176.989929 98.313 146.1339
178.272476 98.264 146.1760
179.564316 98.215 146.2248
180.865509 98.167 146.2829
182.176132 98.118 146.3404
183.496262 98.070 146.4042
184.825958 98.021 146.4709
186.165283 97.973 146.5418
187.514313 97.925 146.6194
188.873123 97.876 146.7006
190.241776 97.828 146.7945
191.620346 97.779 146.8883
193.008911 97.731 146.9913
194.407532 97.683 147.0894
195.816284 97.636 147.1959
197.235245 97.588 147.3026
198.664490 97.541 147.4116
200.104095 97.495 147.5243
201.554138 97.448 147.6406
203.014679 97.402 147.7608
204.485809 97.355 147.8844
205.967590 97.308 148.0125
207.460114 97.260 148.1430
208.963455 97.213 148.2809
210.477692 97.166 148.4222
212.002899 97.119 148.5662
213.539154 97.072 148.7137
215.086548 97.026 148.8641
216.645157 96.981 149.0208
218.215057 96.936 149.1756
219.796341 96.893 149.3310
221.389069 96.850 149.4897
222.993347 96.808 149.6488
224.609253 96.767 149.8109
226.236862 96.728 149.9789
227.876266 96.690 150.1574
229.527557 96.653 150.3523
231.190811 96.616 150.5638
232.866119 96.578 150.7889
234.553558 96.537 151.0109
236.253235 96.495 151.2262
237.965225 96.454 151.4313
239.689621 96.414 151.6292
241.426514 96.375 151.8362
243.175995 96.337 152.0574
244.938141 96.298 152.2893
246.713058 96.260 152.5247
248.500839 96.222 152.7646
250.301575 96.185 153.0040
252.115356 96.149 153.2496
253.942291 96.114 153.5056
255.782455 96.079 153.7679
257.635956 96.047 154.0368
259.502899 96.015 154.3006
261.383362 95.984 154.5603
263.277466 95.953 154.8280
265.185272 95.922 155.1012
267.106903 95.891 155.3888
269.042480 95.860 155.6926
270.992065 95.830 156.0205
272.955780 95.803 156.3687
274.933716 95.779 156.7359
276.925995 95.759 157.1222
278.932709 95.743 157.5135
280.953979 95.733 157.9081
282.989899 95.729 158.2953
285.040558 95.730 158.6491
287.106079 95.734 158.9595
289.186554 95.742 159.2192
291.282104 95.750 159.4319
293.392853 95.757 159.6067
295.518890 95.761 159.7576
297.660339 95.764 159.8927
299.817322 95.765 160.0209
301.989929 95.763 160.1516
304.178284 95.761 160.2810
306.382477 95.756 160.4090
308.602661 95.751 160.5379
310.838928 95.744 160.6663
313.091400 95.735 160.7937
315.360199 95.724 160.9220
317.645416 95.712 161.0472
319.947205 95.699 161.1745
322.265686 95.686 161.3016
324.600952 95.671 161.4323
326.953156 95.656 161.5698
329.322388 95.641 161.7110
331.708801 95.626 161.8561
334.112488 95.611 162.0062
336.533600 95.597 162.1621
338.972260 95.582 162.3212
341.428589 95.568 162.4839
343.902710 95.554 162.6485
346.394775 95.540 162.8176
348.904907 95.527 162.9899
351.433228 95.514 163.1692
353.979858 95.502 163.3493
356.544952 95.490 163.5317
359.128632 95.478 163.7145
361.731018 95.466 163.8954
364.352264 95.455 164.0766
366.992523 95.444 164.2554
369.651917 95.433 164.4380
372.330566 95.424 164.6129
375.028625 95.414 164.7955
377.746246 95.405 164.9745
380.483551 95.397 165.1553
383.240692 95.389 165.3330
386.017822 95.381 165.5106
388.815063 95.374 165.6903
391.632568 95.366 165.8636
394.470490 95.359 166.0374
397.328979 95.352 166.2099
400.208191 95.345 166.3785
403.108276 95.338 166.5513
406.029358 95.332 166.7197
408.971619 95.325 166.8851
