* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 11, 25 3:19:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Binary Dynaquattro L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 47.949 -100.2686
0.368865 47.975 -100.3766
0.371538 48.013 -100.5367
0.374230 48.060 -100.7345
0.376942 48.112 -100.9579
0.379673 48.169 -101.1981
0.382424 48.227 -101.4490
0.385196 48.288 -101.7071
0.387987 48.349 -101.9703
0.390798 48.411 -102.2374
0.393630 48.473 -102.5077
0.396483 48.536 -102.7808
0.399356 48.600 -103.0566
0.402250 48.664 -103.3348
0.405165 48.728 -103.6155
0.408101 48.793 -103.8985
0.411058 48.859 -104.1837
0.414037 48.924 -104.4711
0.417037 48.991 -104.7607
0.420059 49.058 -105.0523
0.423103 49.125 -105.3460
0.426169 49.193 -105.6417
0.429257 49.261 -105.9393
0.432368 49.330 -106.2388
0.435501 49.399 -106.5401
0.438656 49.469 -106.8431
0.441835 49.540 -107.1478
0.445037 49.610 -107.4542
0.448262 49.682 -107.7623
0.451510 49.754 -108.0718
0.454782 49.826 -108.3829
0.458077 49.899 -108.6954
0.461397 49.972 -109.0093
0.464740 50.046 -109.3246
0.468108 50.121 -109.6412
0.471500 50.196 -109.9591
0.474917 50.271 -110.2782
0.478358 50.348 -110.5985
0.481825 50.424 -110.9199
0.485316 50.502 -111.2425
0.488833 50.579 -111.5662
0.492375 50.658 -111.8909
0.495943 50.737 -112.2166
0.499537 50.816 -112.5433
0.503157 50.896 -112.8710
0.506803 50.977 -113.1996
0.510475 51.058 -113.5292
0.514175 51.140 -113.8597
0.517900 51.223 -114.1910
0.521653 51.306 -114.5233
0.525434 51.389 -114.8564
0.529241 51.474 -115.1903
0.533076 51.558 -115.5251
0.536939 51.644 -115.8608
0.540830 51.730 -116.1973
0.544749 51.817 -116.5346
0.548696 51.904 -116.8728
0.552673 51.992 -117.2119
0.556677 52.081 -117.5519
0.560711 52.170 -117.8927
0.564774 52.260 -118.2345
0.568867 52.351 -118.5771
0.572989 52.442 -118.9207
0.577141 52.534 -119.2653
0.581324 52.626 -119.6109
0.585536 52.720 -119.9575
0.589779 52.813 -120.3051
0.594053 52.908 -120.6539
0.598358 53.003 -121.0037
0.602694 53.099 -121.3548
0.607061 53.196 -121.7070
0.611460 53.293 -122.0606
0.615891 53.391 -122.4154
0.620354 53.490 -122.7716
0.624849 53.590 -123.1292
0.629377 53.690 -123.4882
0.633938 53.791 -123.8488
0.638532 53.893 -124.2110
0.643159 53.995 -124.5748
0.647819 54.098 -124.9404
0.652514 54.202 -125.3077
0.657242 54.307 -125.6769
0.662005 54.412 -126.0480
0.666802 54.518 -126.4212
0.671634 54.625 -126.7964
0.676501 54.733 -127.1738
0.681403 54.842 -127.5534
0.686341 54.951 -127.9353
0.691314 55.061 -128.3197
0.696324 55.172 -128.7065
0.701370 55.283 -129.0958
0.706452 55.395 -129.4877
0.711571 55.507 -129.8821
0.716728 55.619 -130.2788
0.721921 55.731 -130.6776
0.727153 55.843 -131.0782
0.732422 55.953 -131.4797
0.737729 56.061 -131.8815
0.743075 56.168 -132.2828
0.748460 56.274 -132.6829
0.753883 56.380 -133.0813
0.759346 56.485 -133.4777
0.764849 56.590 -133.8719
0.770391 56.695 -134.2638
0.775974 56.801 -134.6534
0.781597 56.907 -135.0406
0.787261 57.012 -135.4254
0.792966 57.118 -135.8080
0.798712 57.225 -136.1883
0.804500 57.331 -136.5664
0.810329 57.438 -136.9424
0.816201 57.545 -137.3164
0.822116 57.652 -137.6884
0.828073 57.760 -138.0585
0.834074 57.868 -138.4268
0.840118 57.976 -138.7934
0.846206 58.084 -139.1584
0.852338 58.193 -139.5219
0.858514 58.302 -139.8841
0.864735 58.411 -140.2449
0.871001 58.520 -140.6047
0.877313 58.630 -140.9633
0.883670 58.739 -141.3212
0.890074 58.850 -141.6782
0.896524 58.960 -142.0346
0.903020 59.071 -142.3904
0.909564 59.182 -142.7460
0.916155 59.293 -143.1013
0.922794 59.404 -143.4565
0.929481 59.516 -143.8118
0.936216 59.628 -144.1673
0.943000 59.741 -144.5232
0.949834 59.854 -144.8797
0.956717 59.967 -145.2368
0.963649 60.080 -145.5947
0.970632 60.194 -145.9537
0.977666 60.308 -146.3139
0.984750 60.422 -146.6754
0.991886 60.536 -147.0384
0.999074 60.651 -147.4031
1.006314 60.767 -147.7697
1.013606 60.882 -148.1383
1.020951 60.999 -148.5091
1.028349 61.115 -148.8823
1.035801 61.232 -149.2580
1.043307 61.349 -149.6365
1.050867 61.467 -150.0178
1.058482 61.585 -150.4021
1.066152 61.703 -150.7896
1.073878 61.822 -151.1800
1.081660 61.941 -151.5735
1.089498 62.061 -151.9697
1.097393 62.181 -152.3681
1.105345 62.301 -152.7682
1.113355 62.421 -153.1694
1.121423 62.542 -153.5712
1.129549 62.662 -153.9730
1.137734 62.783 -154.3746
1.145979 62.904 -154.7758
1.154283 63.025 -155.1767
1.162647 63.146 -155.5770
1.171072 63.267 -155.9768
1.179558 63.389 -156.3762
1.188106 63.510 -156.7751
1.196715 63.631 -157.1736
1.205387 63.753 -157.5717
1.214122 63.874 -157.9696
1.222920 63.996 -158.3672
1.231782 64.118 -158.7645
1.240708 64.240 -159.1618
1.249699 64.362 -159.5590
1.258754 64.484 -159.9562
1.267876 64.606 -160.3535
1.277063 64.729 -160.7510
1.286318 64.851 -161.1487
1.295639 64.974 -161.5468
1.305027 65.097 -161.9454
1.314484 65.220 -162.3445
1.324009 65.343 -162.7442
1.333604 65.467 -163.1446
1.343268 65.590 -163.5459
1.353002 65.714 -163.9482
1.362806 65.838 -164.3515
1.372681 65.962 -164.7561
1.382628 66.087 -165.1618
1.392647 66.212 -165.5690
1.402739 66.337 -165.9777
1.412904 66.462 -166.3879
1.423142 66.588 -166.7997
1.433455 66.713 -167.2131
1.443843 66.840 -167.6278
1.454305 66.966 -168.0435
1.464844 67.092 -168.4599
1.475459 67.219 -168.8765
1.486150 67.345 -169.2926
1.496920 67.472 -169.7079
1.507767 67.599 -170.1223
1.518693 67.725 -170.5355
1.529698 67.852 -170.9476
1.540783 67.978 -171.3589
1.551948 68.105 -171.7694
1.563194 68.231 -172.1794
1.574521 68.357 -172.5890
1.585931 68.483 -172.9987
1.597423 68.610 -173.4085
1.608999 68.736 -173.8189
1.620658 68.862 -174.2300
1.632402 68.988 -174.6421
1.644232 69.114 -175.0555
1.656146 69.240 -175.4704
1.668147 69.366 -175.8873
1.680235 69.492 -176.3063
1.692411 69.618 -176.7277
1.704675 69.744 -177.1519
1.717028 69.870 -177.5792
1.729470 69.996 -178.0097
1.742003 70.122 -178.4439
1.754626 70.248 -178.8820
1.767341 70.374 -179.3242
1.780147 70.501 -179.7708
1.793047 70.627 179.7781
1.806040 70.754 179.3224
1.819128 70.880 178.8624
1.832310 71.007 178.3981
1.845587 71.133 177.9302
1.858961 71.260 177.4592
1.872432 71.386 176.9853
1.886001 71.512 176.5091
1.899667 71.638 176.0309
1.913433 71.763 175.5508
1.927299 71.888 175.0690
1.941265 72.013 174.5857
1.955332 72.138 174.1009
1.969501 72.262 173.6147
1.983773 72.387 173.1270
1.998148 72.511 172.6380
2.012627 72.635 172.1476
2.027212 72.758 171.6557
2.041902 72.882 171.1623
2.056698 73.005 170.6673
2.071602 73.128 170.1706
2.086614 73.251 169.6721
2.101734 73.374 169.1717
2.116964 73.497 168.6692
2.132304 73.619 168.1645
2.147756 73.742 167.6573
2.163320 73.864 167.1474
2.178996 73.987 166.6348
2.194786 74.109 166.1193
2.210690 74.230 165.6007
2.226710 74.352 165.0792
2.242845 74.473 164.5547
2.259098 74.594 164.0275
2.275468 74.714 163.4979
2.291957 74.834 162.9659
2.308566 74.953 162.4319
2.325295 75.072 161.8961
2.342145 75.191 161.3586
2.359117 75.309 160.8197
2.376212 75.426 160.2795
2.393431 75.544 159.7380
2.410775 75.661 159.1956
2.428244 75.778 158.6520
2.445840 75.894 158.1075
2.463564 76.010 157.5620
2.481416 76.126 157.0154
2.499397 76.241 156.4677
2.517509 76.356 155.9187
2.535752 76.471 155.3680
2.554127 76.586 154.8154
2.572635 76.700 154.2605
2.591277 76.813 153.7030
2.610055 76.926 153.1426
2.628968 77.039 152.5794
2.648019 77.151 152.0135
2.667208 77.262 151.4451
2.686535 77.373 150.8746
2.706003 77.483 150.3023
2.725612 77.593 149.7285
2.745363 77.702 149.1537
2.765257 77.810 148.5781
2.785295 77.918 148.0019
2.805478 78.026 147.4255
2.825808 78.133 146.8491
2.846285 78.240 146.2726
2.866910 78.346 145.6962
2.887685 78.452 145.1197
2.908611 78.557 144.5427
2.929688 78.662 143.9649
2.950917 78.767 143.3856
2.972301 78.871 142.8045
2.993839 78.974 142.2212
3.015534 79.076 141.6357
3.037386 79.178 141.0483
3.059396 79.279 140.4593
3.081565 79.379 139.8691
3.103896 79.479 139.2782
3.126388 79.578 138.6870
3.149043 79.677 138.0960
3.171862 79.775 137.5057
3.194847 79.873 136.9164
3.217998 79.970 136.3283
3.241317 80.067 135.7415
3.264805 80.163 135.1560
3.288463 80.259 134.5714
3.312293 80.354 133.9872
3.336295 80.449 133.4029
3.360471 80.543 132.8180
3.384822 80.636 132.2325
3.409350 80.729 131.6464
3.434056 80.821 131.0598
3.458940 80.912 130.4731
3.484005 81.003 129.8867
3.509252 81.094 129.3010
3.534681 81.184 128.7164
3.560295 81.273 128.1332
3.586094 81.362 127.5518
3.612081 81.451 126.9721
3.638255 81.539 126.3942
3.664620 81.627 125.8177
3.691175 81.714 125.2424
3.717923 81.801 124.6678
3.744864 81.888 124.0937
3.772001 81.974 123.5199
3.799335 82.059 122.9465
3.826866 82.144 122.3737
3.854597 82.228 121.8016
3.882529 82.312 121.2305
3.910664 82.396 120.6607
3.939002 82.479 120.0924
3.967546 82.563 119.5257
3.996296 82.646 118.9607
4.025255 82.728 118.3972
4.054423 82.811 117.8352
4.083804 82.893 117.2743
4.113396 82.975 116.7142
4.143204 83.056 116.1549
4.173227 83.137 115.5963
4.203468 83.218 115.0382
4.233928 83.298 114.4807
4.264609 83.378 113.9238
4.295512 83.458 113.3675
4.326639 83.538 112.8118
4.357992 83.618 112.2566
4.389572 83.697 111.7019
4.421380 83.777 111.1475
4.453419 83.856 110.5933
4.485691 83.935 110.0392
4.518196 84.013 109.4849
4.550936 84.091 108.9305
4.583914 84.170 108.3760
4.617131 84.247 107.8212
4.650589 84.325 107.2660
4.684289 84.402 106.7103
4.718233 84.479 106.1541
4.752424 84.556 105.5971
4.786862 84.633 105.0393
4.821549 84.709 104.4805
4.856488 84.785 103.9205
4.891680 84.860 103.3596
4.927127 84.936 102.7976
4.962831 85.010 102.2347
4.998794 85.085 101.6709
5.035017 85.159 101.1063
5.071503 85.232 100.5407
5.108253 85.305 99.9742
5.145270 85.378 99.4063
5.182555 85.450 98.8370
5.220110 85.521 98.2663
5.257937 85.592 97.6943
5.296038 85.663 97.1212
5.334415 85.732 96.5473
5.373071 85.802 95.9731
5.412006 85.870 95.3987
5.451224 85.938 94.8242
5.490725 86.005 94.2496
5.530514 86.071 93.6748
5.570590 86.137 93.0995
5.610957 86.201 92.5240
5.651616 86.265 91.9484
5.692570 86.329 91.3732
5.733821 86.391 90.7990
5.775370 86.453 90.2262
5.817221 86.514 89.6552
5.859375 86.574 89.0859
5.901834 86.634 88.5185
5.944602 86.693 87.9528
5.987679 86.751 87.3887
6.031068 86.808 86.8267
6.074771 86.865 86.2669
6.118792 86.921 85.7099
6.163131 86.976 85.1559
6.207792 87.031 84.6054
6.252776 87.085 84.0583
6.298086 87.139 83.5145
6.343725 87.193 82.9740
6.389694 87.245 82.4366
6.435996 87.298 81.9023
6.482634 87.350 81.3712
6.529610 87.402 80.8433
6.576926 87.454 80.3186
6.624585 87.506 79.7971
