* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 11, 25 3:21:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Binary Dynaquattro R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 51.596 -43.3705
0.368865 51.603 -43.4663
0.371538 51.615 -43.6092
0.374230 51.629 -43.7873
0.376942 51.644 -43.9907
0.379673 51.661 -44.2120
0.382424 51.679 -44.4462
0.385196 51.697 -44.6903
0.387987 51.715 -44.9427
0.390798 51.734 -45.2024
0.393630 51.753 -45.4690
0.396483 51.772 -45.7421
0.399356 51.791 -46.0217
0.402250 51.810 -46.3079
0.405165 51.830 -46.6005
0.408101 51.849 -46.8998
0.411058 51.869 -47.2056
0.414037 51.889 -47.5181
0.417037 51.909 -47.8374
0.420059 51.929 -48.1634
0.423103 51.950 -48.4963
0.426169 51.970 -48.8360
0.429257 51.991 -49.1827
0.432368 52.011 -49.5364
0.435501 52.032 -49.8971
0.438656 52.053 -50.2648
0.441835 52.074 -50.6397
0.445037 52.096 -51.0217
0.448262 52.117 -51.4109
0.451510 52.139 -51.8073
0.454782 52.161 -52.2109
0.458077 52.183 -52.6218
0.461397 52.205 -53.0401
0.464740 52.227 -53.4656
0.468108 52.250 -53.8985
0.471500 52.272 -54.3388
0.474917 52.295 -54.7865
0.478358 52.318 -55.2415
0.481825 52.341 -55.7039
0.485316 52.365 -56.1738
0.488833 52.388 -56.6511
0.492375 52.412 -57.1357
0.495943 52.435 -57.6278
0.499537 52.459 -58.1272
0.503157 52.484 -58.6341
0.506803 52.508 -59.1483
0.510475 52.532 -59.6699
0.514175 52.557 -60.1988
0.517900 52.582 -60.7350
0.521653 52.607 -61.2786
0.525434 52.632 -61.8293
0.529241 52.658 -62.3873
0.533076 52.683 -62.9525
0.536939 52.709 -63.5249
0.540830 52.735 -64.1043
0.544749 52.761 -64.6909
0.548696 52.787 -65.2844
0.552673 52.814 -65.8849
0.556677 52.841 -66.4924
0.560711 52.867 -67.1067
0.564774 52.895 -67.7278
0.568867 52.922 -68.3557
0.572989 52.949 -68.9902
0.577141 52.977 -69.6314
0.581324 53.005 -70.2792
0.585536 53.033 -70.9335
0.589779 53.061 -71.5942
0.594053 53.090 -72.2613
0.598358 53.119 -72.9348
0.602694 53.148 -73.6144
0.607061 53.177 -74.3003
0.611460 53.206 -74.9922
0.615891 53.236 -75.6902
0.620354 53.265 -76.3942
0.624849 53.295 -77.1041
0.629377 53.326 -77.8199
0.633938 53.356 -78.5414
0.638532 53.387 -79.2687
0.643159 53.418 -80.0017
0.647819 53.449 -80.7402
0.652514 53.480 -81.4843
0.657242 53.511 -82.2339
0.662005 53.543 -82.9890
0.666802 53.575 -83.7495
0.671634 53.608 -84.5153
0.676501 53.640 -85.2865
0.681403 53.673 -86.0629
0.686341 53.706 -86.8445
0.691314 53.739 -87.6314
0.696324 53.773 -88.4234
0.701370 53.807 -89.2205
0.706452 53.842 -90.0227
0.711571 53.878 -90.8299
0.716728 53.916 -91.6418
0.721921 53.957 -92.4583
0.727153 54.001 -93.2789
0.732422 54.051 -94.1032
0.737729 54.105 -94.9303
0.743075 54.165 -95.7595
0.748460 54.230 -96.5900
0.753883 54.298 -97.4209
0.759346 54.370 -98.2515
0.764849 54.444 -99.0814
0.770391 54.521 -99.9098
0.775974 54.600 -100.7363
0.781597 54.682 -101.5603
0.787261 54.766 -102.3816
0.792966 54.852 -103.1997
0.798712 54.940 -104.0142
0.804500 55.030 -104.8249
0.810329 55.122 -105.6313
0.816201 55.216 -106.4332
0.822116 55.313 -107.2305
0.828073 55.411 -108.0229
0.834074 55.511 -108.8102
0.840118 55.613 -109.5922
0.846206 55.718 -110.3689
0.852338 55.824 -111.1401
0.858514 55.932 -111.9059
0.864735 56.041 -112.6660
0.871001 56.153 -113.4206
0.877313 56.266 -114.1697
0.883670 56.381 -114.9133
0.890074 56.498 -115.6514
0.896524 56.616 -116.3841
0.903020 56.736 -117.1115
0.909564 56.858 -117.8337
0.916155 56.980 -118.5510
0.922794 57.105 -119.2633
0.929481 57.230 -119.9709
0.936216 57.357 -120.6740
0.943000 57.485 -121.3728
0.949834 57.614 -122.0675
0.956717 57.744 -122.7582
0.963649 57.875 -123.4453
0.970632 58.007 -124.1290
0.977666 58.140 -124.8095
0.984750 58.273 -125.4871
0.991886 58.407 -126.1621
0.999074 58.541 -126.8347
1.006314 58.676 -127.5053
1.013606 58.811 -128.1741
1.020951 58.946 -128.8414
1.028349 59.081 -129.5075
1.035801 59.216 -130.1727
1.043307 59.351 -130.8373
1.050867 59.486 -131.5016
1.058482 59.620 -132.1658
1.066152 59.754 -132.8300
1.073878 59.887 -133.4945
1.081660 60.019 -134.1590
1.089498 60.151 -134.8232
1.097393 60.283 -135.4868
1.105345 60.415 -136.1488
1.113355 60.547 -136.8085
1.121423 60.679 -137.4650
1.129549 60.812 -138.1179
1.137734 60.946 -138.7666
1.145979 61.080 -139.4110
1.154283 61.216 -140.0508
1.162647 61.352 -140.6859
1.171072 61.489 -141.3165
1.179558 61.626 -141.9424
1.188106 61.765 -142.5637
1.196715 61.904 -143.1805
1.205387 62.044 -143.7929
1.214122 62.185 -144.4010
1.222920 62.326 -145.0049
1.231782 62.468 -145.6046
1.240708 62.611 -146.2005
1.249699 62.754 -146.7926
1.258754 62.898 -147.3811
1.267876 63.042 -147.9662
1.277063 63.187 -148.5480
1.286318 63.332 -149.1268
1.295639 63.477 -149.7028
1.305027 63.624 -150.2761
1.314484 63.770 -150.8470
1.324009 63.917 -151.4157
1.333604 64.064 -151.9825
1.343268 64.211 -152.5475
1.353002 64.358 -153.1110
1.362806 64.506 -153.6733
1.372681 64.653 -154.2345
1.382628 64.801 -154.7951
1.392647 64.948 -155.3551
1.402739 65.096 -155.9147
1.412904 65.243 -156.4743
1.423142 65.390 -157.0339
1.433455 65.537 -157.5936
1.443843 65.683 -158.1531
1.454305 65.830 -158.7124
1.464844 65.976 -159.2708
1.475459 66.121 -159.8277
1.486150 66.267 -160.3824
1.496920 66.412 -160.9345
1.507767 66.557 -161.4836
1.518693 66.702 -162.0295
1.529698 66.847 -162.5724
1.540783 66.991 -163.1123
1.551948 67.135 -163.6494
1.563194 67.280 -164.1840
1.574521 67.423 -164.7164
1.585931 67.567 -165.2467
1.597423 67.711 -165.7754
1.608999 67.854 -166.3028
1.620658 67.997 -166.8291
1.632402 68.140 -167.3548
1.644232 68.283 -167.8803
1.656146 68.426 -168.4057
1.668147 68.568 -168.9317
1.680235 68.711 -169.4584
1.692411 68.853 -169.9863
1.704675 68.995 -170.5157
1.717028 69.137 -171.0471
1.729470 69.279 -171.5809
1.742003 69.421 -172.1174
1.754626 69.563 -172.6570
1.767341 69.705 -173.2001
1.780147 69.847 -173.7470
1.793047 69.989 -174.2978
1.806040 70.130 -174.8528
1.819128 70.272 -175.4120
1.832310 70.413 -175.9749
1.845587 70.554 -176.5413
1.858961 70.695 -177.1106
1.872432 70.835 -177.6823
1.886001 70.974 -178.2558
1.899667 71.114 -178.8308
1.913433 71.252 -179.4070
1.927299 71.391 -179.9841
1.941265 71.528 179.4381
1.955332 71.665 178.8598
1.969501 71.802 178.2811
1.983773 71.939 177.7021
1.998148 72.075 177.1228
2.012627 72.210 176.5433
2.027212 72.345 175.9634
2.041902 72.480 175.3833
2.056698 72.614 174.8028
2.071602 72.748 174.2217
2.086614 72.882 173.6400
2.101734 73.016 173.0576
2.116964 73.149 172.4741
2.132304 73.282 171.8893
2.147756 73.414 171.3030
2.163320 73.547 170.7149
2.178996 73.679 170.1246
2.194786 73.811 169.5319
2.210690 73.942 168.9364
2.226710 74.073 168.3381
2.242845 74.203 167.7370
2.259098 74.332 167.1332
2.275468 74.461 166.5271
2.291957 74.589 165.9189
2.308566 74.717 165.3091
2.325295 74.844 164.6979
2.342145 74.970 164.0857
2.359117 75.095 163.4727
2.376212 75.220 162.8593
2.393431 75.345 162.2455
2.410775 75.469 161.6317
2.428244 75.592 161.0179
2.445840 75.715 160.4043
2.463564 75.837 159.7908
2.481416 75.959 159.1775
2.499397 76.080 158.5642
2.517509 76.201 157.9506
2.535752 76.322 157.3364
2.554127 76.442 156.7211
2.572635 76.561 156.1040
2.591277 76.680 155.4846
2.610055 76.798 154.8625
2.628968 76.915 154.2377
2.648019 77.032 153.6103
2.667208 77.147 152.9805
2.686535 77.262 152.3489
2.706003 77.376 151.7160
2.725612 77.489 151.0821
2.745363 77.602 150.4479
2.765257 77.714 149.8137
2.785295 77.825 149.1800
2.805478 77.935 148.5471
2.825808 78.045 147.9153
2.846285 78.154 147.2849
2.866910 78.263 146.6559
2.887685 78.372 146.0280
2.908611 78.479 145.4009
2.929688 78.586 144.7740
2.950917 78.693 144.1465
2.972301 78.798 143.5177
2.993839 78.903 142.8872
3.015534 79.007 142.2549
3.037386 79.109 141.6212
3.059396 79.211 140.9862
3.081565 79.313 140.3507
3.103896 79.413 139.7151
3.126388 79.513 139.0802
3.149043 79.612 138.4464
3.171862 79.710 137.8143
3.194847 79.808 137.1845
3.217998 79.905 136.5572
3.241317 80.002 135.9326
3.264805 80.098 135.3107
3.288463 80.194 134.6909
3.312293 80.289 134.0727
3.336295 80.383 133.4554
3.360471 80.476 132.8384
3.384822 80.569 132.2216
3.409350 80.661 131.6049
3.434056 80.752 130.9885
3.458940 80.842 130.3728
3.484005 80.932 129.7582
3.509252 81.021 129.1454
3.534681 81.109 128.5347
3.560295 81.197 127.9265
3.586094 81.285 127.3212
3.612081 81.372 126.7191
3.638255 81.459 126.1199
3.664620 81.545 125.5236
3.691175 81.631 124.9296
3.717923 81.717 124.3376
3.744864 81.801 123.7470
3.772001 81.886 123.1578
3.799335 81.969 122.5700
3.826866 82.052 121.9836
3.854597 82.135 121.3989
3.882529 82.217 120.8160
3.910664 82.299 120.2354
3.939002 82.381 119.6570
3.967546 82.463 119.0813
3.996296 82.544 118.5081
4.025255 82.625 117.9375
4.054423 82.706 117.3693
4.083804 82.786 116.8032
4.113396 82.867 116.2389
4.143204 82.947 115.6763
4.173227 83.026 115.1151
4.203468 83.106 114.5551
4.233928 83.185 113.9964
4.264609 83.264 113.4388
4.295512 83.343 112.8822
4.326639 83.422 112.3266
4.357992 83.501 111.7719
4.389572 83.579 111.2181
4.421380 83.658 110.6650
4.453419 83.736 110.1125
4.485691 83.815 109.5605
4.518196 83.893 109.0089
4.550936 83.971 108.4575
4.583914 84.049 107.9060
4.617131 84.126 107.3542
4.650589 84.204 106.8021
4.684289 84.281 106.2493
4.718233 84.359 105.6956
4.752424 84.436 105.1409
4.786862 84.512 104.5851
4.821549 84.589 104.0280
4.856488 84.666 103.4697
4.891680 84.742 102.9100
4.927127 84.818 102.3490
4.962831 84.894 101.7867
4.998794 84.969 101.2229
5.035017 85.044 100.6576
5.071503 85.118 100.0907
5.108253 85.192 99.5219
5.145270 85.266 98.9509
5.182555 85.339 98.3778
5.220110 85.412 97.8024
5.257937 85.484 97.2249
5.296038 85.556 96.6454
5.334415 85.626 96.0644
5.373071 85.697 95.4821
5.412006 85.766 94.8985
5.451224 85.835 94.3138
5.490725 85.903 93.7279
5.530514 85.971 93.1405
5.570590 86.037 92.5516
5.610957 86.103 91.9613
5.651616 86.168 91.3698
5.692570 86.232 90.7777
5.733821 86.295 90.1855
5.775370 86.357 89.5938
5.817221 86.419 89.0026
5.859375 86.479 88.4123
5.901834 86.539 87.8225
5.944602 86.597 87.2333
5.987679 86.655 86.6448
6.031068 86.712 86.0573
6.074771 86.767 85.4714
6.118792 86.822 84.8875
6.163131 86.876 84.3061
6.207792 86.930 83.7277
6.252776 86.982 83.1521
6.298086 87.034 82.5794
6.343725 87.084 82.0095
6.389694 87.134 81.4426
6.435996 87.184 80.8788
6.482634 87.232 80.3185
6.529610 87.280 79.7621
6.576926 87.328 79.2096
