* Measurement data measured by REW V5.30.4
* Source: EXCL: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), 0, volume: 0.360
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 19, 24 2:37:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Binary x Gizaudio Chopin L
* Smoothing: 1/3 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 91.811 -142.3642
20.287556 91.815 -142.5014
20.434568 91.820 -142.6652
20.582645 91.827 -142.8540
20.731796 91.834 -143.0661
20.882027 91.841 -143.2996
21.033346 91.850 -143.5526
21.185762 91.859 -143.8232
21.339283 91.869 -144.1092
21.493916 91.880 -144.4088
21.649670 91.892 -144.7200
21.806553 91.904 -145.0413
21.964573 91.917 -145.3710
22.123737 91.931 -145.7077
22.284056 91.945 -146.0503
22.445536 91.959 -146.3978
22.608185 91.974 -146.7496
22.772013 91.989 -147.1051
22.937029 92.005 -147.4639
23.103241 92.020 -147.8259
23.270657 92.036 -148.1911
23.439285 92.052 -148.5597
23.609137 92.067 -148.9317
23.780218 92.083 -149.3075
23.952539 92.098 -149.6872
24.126110 92.113 -150.0712
24.300938 92.127 -150.4596
24.477032 92.142 -150.8525
24.654402 92.155 -151.2500
24.833057 92.169 -151.6521
25.013008 92.182 -152.0586
25.194263 92.194 -152.4693
25.376831 92.206 -152.8838
25.560722 92.217 -153.3019
25.745945 92.228 -153.7229
25.932510 92.238 -154.1463
26.120428 92.248 -154.5717
26.309708 92.257 -154.9983
26.500359 92.266 -155.4254
26.692390 92.274 -155.8526
26.885815 92.281 -156.2793
27.080641 92.288 -156.7047
27.276878 92.294 -157.1285
27.474539 92.299 -157.5503
27.673630 92.304 -157.9696
27.874165 92.308 -158.3862
28.076153 92.312 -158.7999
28.279604 92.315 -159.2104
28.484529 92.318 -159.6176
28.690941 92.321 -160.0215
28.898848 92.323 -160.4220
29.108261 92.325 -160.8190
29.319191 92.327 -161.2127
29.531651 92.329 -161.6030
29.745649 92.331 -161.9899
29.961199 92.333 -162.3736
30.178310 92.335 -162.7541
30.396996 92.338 -163.1316
30.617264 92.340 -163.5061
30.839128 92.343 -163.8779
31.062601 92.347 -164.2471
31.287693 92.350 -164.6141
31.514416 92.355 -164.9790
31.742783 92.359 -165.3424
31.972803 92.365 -165.7046
32.204491 92.370 -166.0662
32.437859 92.377 -166.4279
32.672916 92.384 -166.7903
32.909679 92.391 -167.1542
33.148155 92.399 -167.5202
33.388359 92.408 -167.8889
33.630306 92.417 -168.2609
33.874004 92.426 -168.6366
34.119469 92.435 -169.0162
34.366711 92.444 -169.3998
34.615746 92.453 -169.7873
34.866585 92.462 -170.1786
35.119244 92.470 -170.5734
35.373734 92.478 -170.9713
35.630066 92.485 -171.3718
35.888256 92.492 -171.7744
36.148315 92.497 -172.1786
36.410259 92.502 -172.5840
36.674103 92.506 -172.9900
36.939857 92.509 -173.3963
37.207539 92.511 -173.8025
37.477161 92.512 -174.2082
37.748737 92.512 -174.6133
38.022282 92.511 -175.0174
38.297806 92.509 -175.4203
38.575329 92.507 -175.8217
38.854862 92.503 -176.2215
39.136421 92.498 -176.6194
39.420021 92.493 -177.0153
39.705673 92.487 -177.4091
39.993397 92.480 -177.8007
40.283207 92.472 -178.1901
40.575115 92.464 -178.5774
40.869141 92.455 -178.9627
41.165295 92.446 -179.3461
41.463596 92.436 -179.7276
41.764057 92.425 179.8925
42.066696 92.414 179.5143
42.371529 92.402 179.1376
42.678570 92.390 178.7623
42.987835 92.378 178.3884
43.299343 92.365 178.0159
43.613110 92.351 177.6447
43.929150 92.337 177.2747
44.247478 92.323 176.9059
44.568115 92.308 176.5382
44.891075 92.293 176.1716
45.216373 92.278 175.8060
45.544029 92.263 175.4414
45.874062 92.247 175.0777
46.206486 92.231 174.7148
46.541317 92.214 174.3528
46.878574 92.198 173.9914
47.218277 92.181 173.6307
47.560440 92.164 173.2706
47.905083 92.147 172.9109
48.252224 92.129 172.5516
48.601879 92.112 172.1925
48.954067 92.094 171.8336
49.308807 92.076 171.4746
49.666119 92.057 171.1157
50.026020 92.038 170.7568
50.388531 92.019 170.3978
50.753666 92.000 170.0388
51.121449 91.980 169.6800
51.491894 91.959 169.3214
51.865025 91.939 168.9632
52.240860 91.918 168.6055
52.619419 91.896 168.2484
53.000721 91.874 167.8922
53.384785 91.852 167.5368
53.771633 91.829 167.1826
54.161285 91.806 166.8294
54.553761 91.783 166.4775
54.949081 91.759 166.1269
55.347263 91.735 165.7778
55.748333 91.710 165.4301
56.152309 91.685 165.0840
56.559212 91.660 164.7396
56.969063 91.634 164.3969
57.381886 91.607 164.0561
57.797699 91.580 163.7172
58.216526 91.553 163.3802
58.638386 91.524 163.0453
59.063305 91.496 162.7123
59.491302 91.467 162.3813
59.922401 91.437 162.0523
60.356625 91.407 161.7251
60.793995 91.376 161.3997
61.234531 91.345 161.0761
61.678261 91.313 160.7542
62.125206 91.281 160.4339
62.575390 91.248 160.1152
63.028835 91.215 159.7981
63.485569 91.181 159.4825
63.945610 91.147 159.1686
64.408989 91.113 158.8562
64.875725 91.078 158.5454
65.345840 91.042 158.2363
65.819366 91.007 157.9288
66.296318 90.971 157.6231
66.776726 90.934 157.3190
67.260620 90.897 157.0167
67.748016 90.860 156.7162
68.238945 90.822 156.4174
68.733429 90.784 156.1204
69.231499 90.746 155.8253
69.733177 90.707 155.5320
70.238495 90.668 155.2406
70.747475 90.629 154.9512
71.260139 90.589 154.6638
71.776520 90.549 154.3785
72.296638 90.509 154.0954
72.820526 90.468 153.8145
73.348213 90.427 153.5357
73.879723 90.385 153.2592
74.415085 90.343 152.9849
74.954330 90.301 152.7129
75.497482 90.259 152.4432
76.044571 90.216 152.1758
76.595619 90.172 151.9107
77.150665 90.129 151.6480
77.709732 90.084 151.3876
78.272850 90.040 151.1296
78.840050 89.995 150.8740
79.411354 89.950 150.6208
79.986801 89.904 150.3701
80.566422 89.858 150.1219
81.150238 89.811 149.8762
81.738289 89.764 149.6331
82.330597 89.717 149.3926
82.927200 89.669 149.1548
83.528122 89.621 148.9198
84.133400 89.573 148.6877
84.743065 89.524 148.4584
85.357147 89.475 148.2320
85.975677 89.425 148.0086
86.598694 89.375 147.7882
87.226227 89.325 147.5709
87.858307 89.275 147.3567
88.494965 89.224 147.1456
89.136238 89.173 146.9376
89.782158 89.121 146.7328
90.432755 89.069 146.5313
91.088066 89.017 146.3330
91.748131 88.964 146.1379
92.412979 88.911 145.9461
93.082642 88.858 145.7576
93.757156 88.805 145.5724
94.436562 88.751 145.3906
95.120888 88.697 145.2122
95.810173 88.642 145.0371
96.504456 88.588 144.8655
97.203766 88.533 144.6973
97.908142 88.477 144.5327
98.617622 88.422 144.3715
99.332245 88.366 144.2140
100.052048 88.310 144.0601
100.777069 88.253 143.9099
101.507339 88.196 143.7634
102.242905 88.140 143.6208
102.983795 88.082 143.4820
103.730057 88.025 143.3471
104.481728 87.967 143.2163
105.238846 87.910 143.0895
106.001450 87.852 142.9668
106.769577 87.793 142.8483
107.543274 87.735 142.7340
108.322578 87.676 142.6240
109.107529 87.618 142.5182
109.898170 87.559 142.4169
110.694534 87.500 142.3198
111.496674 87.441 142.2271
112.304626 87.381 142.1387
113.118431 87.322 142.0546
113.938133 87.262 141.9747
114.763779 87.202 141.8991
115.595406 87.142 141.8277
116.433060 87.081 141.7603
117.276779 87.021 141.6971
118.126617 86.960 141.6379
118.982613 86.899 141.5828
119.844810 86.838 141.5317
120.713257 86.776 141.4847
121.587997 86.715 141.4419
122.469070 86.652 141.4033
123.356529 86.590 141.3691
124.250420 86.527 141.3395
125.150787 86.464 141.3146
126.057678 86.400 141.2948
126.971146 86.336 141.2802
127.891228 86.272 141.2712
128.817978 86.207 141.2681
129.751450 86.142 141.2712
130.691681 86.077 141.2810
131.638733 86.011 141.2977
132.592636 85.945 141.3217
133.553452 85.878 141.3536
134.521240 85.812 141.3937
135.496033 85.745 141.4424
136.477890 85.678 141.5004
137.466858 85.611 141.5679
138.462997 85.544 141.6455
139.466354 85.476 141.7337
140.476990 85.409 141.8328
141.494949 85.343 141.9434
142.520279 85.276 142.0656
143.553040 85.210 142.1998
144.593277 85.145 142.3461
145.641052 85.080 142.5046
146.696426 85.017 142.6752
147.759445 84.954 142.8573
148.830170 84.893 143.0506
149.908661 84.833 143.2542
150.994965 84.775 143.4672
152.089142 84.719 143.6880
153.191238 84.665 143.9154
154.301331 84.613 144.1475
155.419464 84.563 144.3824
156.545700 84.516 144.6180
157.680099 84.470 144.8524
158.822708 84.427 145.0834
159.973602 84.386 145.3093
161.132843 84.347 145.5284
162.300476 84.310 145.7394
163.476578 84.274 145.9412
164.661194 84.239 146.1333
165.854401 84.205 146.3156
167.056244 84.172 146.4881
168.266800 84.139 146.6515
169.486130 84.106 146.8065
170.714294 84.074 146.9540
171.951355 84.041 147.0954
173.197388 84.008 147.2316
174.452454 83.975 147.3641
175.716614 83.941 147.4938
176.989929 83.906 147.6221
178.272476 83.871 147.7498
179.564316 83.836 147.8780
180.865509 83.800 148.0074
182.176132 83.764 148.1389
183.496262 83.727 148.2730
184.825958 83.690 148.4103
186.165283 83.652 148.5511
187.514313 83.614 148.6960
188.873123 83.576 148.8450
190.241776 83.539 148.9985
191.620346 83.500 149.1566
193.008911 83.462 149.3193
194.407532 83.425 149.4868
195.816284 83.387 149.6591
197.235245 83.349 149.8361
198.664490 83.312 150.0177
200.104095 83.275 150.2040
201.554138 83.238 150.3948
203.014679 83.201 150.5899
204.485809 83.165 150.7892
205.967590 83.130 150.9926
207.460114 83.095 151.1998
208.963455 83.060 151.4107
210.477692 83.026 151.6250
212.002899 82.993 151.8426
213.539154 82.961 152.0631
215.086548 82.929 152.2865
216.645157 82.897 152.5124
218.215057 82.867 152.7407
219.796341 82.837 152.9711
221.389069 82.808 153.2034
222.993347 82.780 153.4374
224.609253 82.753 153.6730
226.236862 82.726 153.9099
227.876266 82.700 154.1478
229.527557 82.675 154.3867
231.190811 82.651 154.6263
232.866119 82.628 154.8665
234.553558 82.605 155.1069
236.253235 82.583 155.3476
237.965225 82.562 155.5883
239.689621 82.542 155.8287
241.426514 82.523 156.0689
243.175995 82.504 156.3087
244.938141 82.486 156.5479
246.713058 82.469 156.7863
248.500839 82.452 157.0240
250.301575 82.436 157.2607
252.115356 82.421 157.4965
253.942291 82.406 157.7313
255.782455 82.392 157.9648
257.635956 82.379 158.1971
259.502899 82.366 158.4281
261.383362 82.353 158.6577
263.277466 82.342 158.8859
265.185272 82.331 159.1127
267.106903 82.320 159.3378
269.042480 82.310 159.5614
270.992065 82.300 159.7834
272.955780 82.291 160.0037
274.933716 82.283 160.2224
276.925995 82.275 160.4393
278.932709 82.267 160.6544
280.953979 82.260 160.8678
282.989899 82.254 161.0794
285.040558 82.247 161.2891
287.106079 82.242 161.4970
289.186554 82.236 161.7031
291.282104 82.231 161.9072
293.392853 82.227 162.1094
295.518890 82.222 162.3098
297.660339 82.219 162.5083
299.817322 82.215 162.7049
301.989929 82.212 162.8997
304.178284 82.209 163.0926
306.382477 82.207 163.2837
308.602661 82.205 163.4731
310.838928 82.203 163.6607
313.091400 82.202 163.8466
315.360199 82.201 164.0308
317.645416 82.200 164.2134
319.947205 82.199 164.3944
322.265686 82.199 164.5739
324.600952 82.199 164.7517
326.953156 82.199 164.9279
329.322388 82.200 165.1026
331.708801 82.201 165.2758
334.112488 82.202 165.4473
336.533600 82.203 165.6172
338.972260 82.205 165.7854
341.428589 82.207 165.9519
343.902710 82.209 166.1168
346.394775 82.211 166.2798
348.904907 82.214 166.4409
351.433228 82.217 166.6002
353.979858 82.220 166.7575
356.544952 82.224 166.9127
359.128632 82.228 167.0659
361.731018 82.232 167.2168
364.352264 82.236 167.3655
366.992523 82.241 167.5120
369.651917 82.246 167.6561
372.330566 82.251 167.7979
375.028625 82.256 167.9373
377.746246 82.261 168.0742
380.483551 82.267 168.2089
383.240692 82.273 168.3411
386.017822 82.279 168.4711
