* Measurement data measured by REW V5.30.4
* Source: EXCL: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), 0, volume: 0.360
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 19, 24 2:38:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Binary x Gizaudio Chopin R
* Smoothing: 1/3 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 91.550 -140.5737
20.287556 91.553 -140.7363
20.434568 91.556 -140.9306
20.582645 91.560 -141.1550
20.731796 91.565 -141.4075
20.882027 91.571 -141.6861
21.033346 91.578 -141.9889
21.185762 91.586 -142.3134
21.339283 91.595 -142.6576
21.493916 91.606 -143.0193
21.649670 91.619 -143.3962
21.806553 91.633 -143.7863
21.964573 91.649 -144.1875
22.123737 91.666 -144.5978
22.284056 91.686 -145.0153
22.445536 91.707 -145.4381
22.608185 91.730 -145.8641
22.772013 91.755 -146.2916
22.937029 91.781 -146.7186
23.103241 91.809 -147.1433
23.270657 91.838 -147.5637
23.439285 91.868 -147.9781
23.609137 91.899 -148.3848
23.780218 91.931 -148.7824
23.952539 91.963 -149.1697
24.126110 91.995 -149.5457
24.300938 92.028 -149.9099
24.477032 92.061 -150.2619
24.654402 92.093 -150.6021
24.833057 92.125 -150.9308
25.013008 92.156 -151.2488
25.194263 92.187 -151.5574
25.376831 92.217 -151.8578
25.560722 92.245 -152.1515
25.745945 92.272 -152.4400
25.932510 92.297 -152.7249
26.120428 92.321 -153.0078
26.309708 92.342 -153.2902
26.500359 92.362 -153.5734
26.692390 92.379 -153.8589
26.885815 92.395 -154.1479
27.080641 92.408 -154.4415
27.276878 92.420 -154.7405
27.474539 92.430 -155.0459
27.673630 92.439 -155.3582
27.874165 92.446 -155.6779
28.076153 92.452 -156.0051
28.279604 92.457 -156.3398
28.484529 92.461 -156.6819
28.690941 92.463 -157.0308
28.898848 92.466 -157.3858
29.108261 92.467 -157.7463
29.319191 92.469 -158.1114
29.531651 92.470 -158.4801
29.745649 92.470 -158.8516
29.961199 92.471 -159.2252
30.178310 92.471 -159.6000
30.396996 92.471 -159.9756
30.617264 92.472 -160.3514
30.839128 92.473 -160.7272
31.062601 92.474 -161.1027
31.287693 92.476 -161.4778
31.514416 92.478 -161.8525
31.742783 92.480 -162.2268
31.972803 92.483 -162.6006
32.204491 92.487 -162.9740
32.437859 92.491 -163.3469
32.672916 92.495 -163.7196
32.909679 92.501 -164.0919
33.148155 92.507 -164.4641
33.388359 92.513 -164.8363
33.630306 92.520 -165.2086
33.874004 92.527 -165.5813
34.119469 92.535 -165.9546
34.366711 92.543 -166.3288
34.615746 92.551 -166.7039
34.866585 92.559 -167.0804
35.119244 92.567 -167.4583
35.373734 92.575 -167.8378
35.630066 92.583 -168.2189
35.888256 92.590 -168.6017
36.148315 92.597 -168.9863
36.410259 92.603 -169.3727
36.674103 92.609 -169.7607
36.939857 92.614 -170.1503
37.207539 92.619 -170.5415
37.477161 92.623 -170.9341
37.748737 92.626 -171.3280
38.022282 92.628 -171.7231
38.297806 92.630 -172.1193
38.575329 92.630 -172.5165
38.854862 92.630 -172.9146
39.136421 92.630 -173.3136
39.420021 92.628 -173.7134
39.705673 92.626 -174.1139
39.993397 92.623 -174.5151
40.283207 92.619 -174.9169
40.575115 92.615 -175.3191
40.869141 92.610 -175.7216
41.165295 92.605 -176.1241
41.463596 92.599 -176.5265
41.764057 92.592 -176.9285
42.066696 92.585 -177.3299
42.371529 92.578 -177.7306
42.678570 92.570 -178.1303
42.987835 92.561 -178.5291
43.299343 92.552 -178.9267
43.613110 92.543 -179.3231
43.929150 92.533 -179.7183
44.247478 92.522 179.8878
44.568115 92.511 179.4951
44.891075 92.500 179.1039
45.216373 92.488 178.7140
45.544029 92.475 178.3255
45.874062 92.462 177.9384
46.206486 92.449 177.5526
46.541317 92.435 177.1683
46.878574 92.421 176.7853
47.218277 92.406 176.4037
47.560440 92.391 176.0233
47.905083 92.375 175.6443
48.252224 92.359 175.2665
48.601879 92.343 174.8898
48.954067 92.327 174.5141
49.308807 92.310 174.1394
49.666119 92.293 173.7656
50.026020 92.275 173.3924
50.388531 92.257 173.0198
50.753666 92.239 172.6479
51.121449 92.221 172.2764
51.491894 92.202 171.9053
51.865025 92.183 171.5347
52.240860 92.164 171.1646
52.619419 92.144 170.7952
53.000721 92.124 170.4265
53.384785 92.104 170.0586
53.771633 92.083 169.6918
54.161285 92.063 169.3261
54.553761 92.042 168.9617
54.949081 92.020 168.5988
55.347263 91.998 168.2374
55.748333 91.976 167.8775
56.152309 91.953 167.5193
56.559212 91.930 167.1626
56.969063 91.907 166.8076
57.381886 91.883 166.4542
57.797699 91.858 166.1023
58.216526 91.833 165.7520
58.638386 91.808 165.4033
59.063305 91.783 165.0561
59.491302 91.756 164.7105
59.922401 91.730 164.3664
60.356625 91.703 164.0238
60.793995 91.676 163.6827
61.234531 91.648 163.3432
61.678261 91.620 163.0051
62.125206 91.592 162.6686
62.575390 91.563 162.3336
63.028835 91.534 162.0001
63.485569 91.504 161.6681
63.945610 91.474 161.3377
64.408989 91.444 161.0088
64.875725 91.414 160.6814
65.345840 91.383 160.3556
65.819366 91.351 160.0312
66.296318 91.319 159.7083
66.776726 91.287 159.3869
67.260620 91.255 159.0670
67.748016 91.222 158.7485
68.238945 91.189 158.4316
68.733429 91.155 158.1161
69.231499 91.121 157.8022
69.733177 91.086 157.4898
70.238495 91.051 157.1790
70.747475 91.016 156.8698
71.260139 90.980 156.5621
71.776520 90.944 156.2562
72.296638 90.907 155.9518
72.820526 90.870 155.6492
73.348213 90.833 155.3482
73.879723 90.795 155.0490
74.415085 90.757 154.7515
74.954330 90.718 154.4559
75.497482 90.679 154.1620
76.044571 90.640 153.8701
76.595619 90.600 153.5801
77.150665 90.559 153.2922
77.709732 90.519 153.0062
78.272850 90.478 152.7223
78.840050 90.436 152.4405
79.411354 90.394 152.1609
79.986801 90.352 151.8834
80.566422 90.309 151.6081
81.150238 90.266 151.3350
81.738289 90.223 151.0641
82.330597 90.179 150.7956
82.927200 90.135 150.5293
83.528122 90.090 150.2653
84.133400 90.045 150.0037
84.743065 90.000 149.7445
85.357147 89.954 149.4877
85.975677 89.908 149.2332
86.598694 89.862 148.9813
87.226227 89.815 148.7320
87.858307 89.768 148.4852
88.494965 89.720 148.2410
89.136238 89.672 147.9995
89.782158 89.624 147.7607
90.432755 89.575 147.5246
91.088066 89.526 147.2913
91.748131 89.476 147.0609
92.412979 89.426 146.8333
93.082642 89.375 146.6086
93.757156 89.325 146.3868
94.436562 89.273 146.1681
95.120888 89.222 145.9523
95.810173 89.170 145.7397
96.504456 89.118 145.5303
97.203766 89.065 145.3242
97.908142 89.012 145.1213
98.617622 88.959 144.9218
99.332245 88.905 144.7257
100.052048 88.851 144.5331
100.777069 88.797 144.3440
101.507339 88.742 144.1584
102.242905 88.687 143.9763
102.983795 88.631 143.7979
103.730057 88.575 143.6230
104.481728 88.519 143.4517
105.238846 88.462 143.2839
106.001450 88.405 143.1198
106.769577 88.348 142.9592
107.543274 88.290 142.8022
108.322578 88.232 142.6487
109.107529 88.174 142.4988
109.898170 88.115 142.3525
110.694534 88.056 142.2099
111.496674 87.996 142.0708
112.304626 87.936 141.9354
113.118431 87.876 141.8036
113.938133 87.816 141.6754
114.763779 87.755 141.5507
115.595406 87.694 141.4297
116.433060 87.633 141.3123
117.276779 87.571 141.1986
118.126617 87.509 141.0886
118.982613 87.447 140.9822
119.844810 87.385 140.8797
120.713257 87.323 140.7810
121.587997 87.260 140.6863
122.469070 87.197 140.5956
123.356529 87.134 140.5090
124.250420 87.070 140.4266
125.150787 87.006 140.3486
126.057678 86.942 140.2751
126.971146 86.878 140.2065
127.891228 86.813 140.1428
128.817978 86.748 140.0844
129.751450 86.683 140.0314
130.691681 86.617 139.9843
131.638733 86.551 139.9431
132.592636 86.484 139.9082
133.553452 86.417 139.8799
134.521240 86.350 139.8586
135.496033 86.282 139.8444
136.477890 86.213 139.8378
137.466858 86.145 139.8392
138.462997 86.076 139.8488
139.466354 86.006 139.8672
140.476990 85.937 139.8948
141.494949 85.867 139.9320
142.520279 85.796 139.9792
143.553040 85.726 140.0370
144.593277 85.656 140.1059
145.641052 85.585 140.1862
146.696426 85.515 140.2785
147.759445 85.444 140.3831
148.830170 85.375 140.5004
149.908661 85.305 140.6307
150.994965 85.236 140.7742
152.089142 85.168 140.9310
153.191238 85.101 141.1008
154.301331 85.035 141.2835
155.419464 84.970 141.4785
156.545700 84.907 141.6852
157.680099 84.846 141.9026
158.822708 84.787 142.1295
159.973602 84.730 142.3643
161.132843 84.676 142.6055
162.300476 84.624 142.8508
163.476578 84.574 143.0984
164.661194 84.528 143.3458
165.854401 84.484 143.5907
167.056244 84.443 143.8308
168.266800 84.404 144.0638
169.486130 84.367 144.2879
170.714294 84.333 144.5012
171.951355 84.300 144.7025
173.197388 84.269 144.8909
174.452454 84.239 145.0660
175.716614 84.209 145.2277
176.989929 84.179 145.3766
178.272476 84.150 145.5137
179.564316 84.120 145.6400
180.865509 84.090 145.7571
182.176132 84.059 145.8666
183.496262 84.027 145.9703
184.825958 83.994 146.0699
186.165283 83.959 146.1672
187.514313 83.924 146.2636
188.873123 83.888 146.3607
190.241776 83.850 146.4599
191.620346 83.812 146.5622
193.008911 83.773 146.6687
194.407532 83.733 146.7802
195.816284 83.692 146.8973
197.235245 83.650 147.0206
198.664490 83.609 147.1505
200.104095 83.567 147.2872
201.554138 83.524 147.4308
203.014679 83.482 147.5815
204.485809 83.440 147.7392
205.967590 83.397 147.9039
207.460114 83.355 148.0755
208.963455 83.314 148.2538
210.477692 83.272 148.4386
212.002899 83.232 148.6298
213.539154 83.191 148.8270
215.086548 83.152 149.0301
216.645157 83.113 149.2387
218.215057 83.074 149.4526
219.796341 83.036 149.6714
221.389069 82.999 149.8948
222.993347 82.963 150.1225
224.609253 82.928 150.3541
226.236862 82.893 150.5892
227.876266 82.860 150.8276
229.527557 82.827 151.0688
231.190811 82.795 151.3125
232.866119 82.763 151.5584
234.553558 82.733 151.8063
236.253235 82.704 152.0558
237.965225 82.675 152.3067
239.689621 82.647 152.5589
241.426514 82.620 152.8120
243.175995 82.594 153.0659
244.938141 82.569 153.3205
246.713058 82.545 153.5756
248.500839 82.521 153.8309
250.301575 82.499 154.0863
252.115356 82.477 154.3417
253.942291 82.456 154.5970
255.782455 82.435 154.8519
257.635956 82.416 155.1063
259.502899 82.397 155.3600
261.383362 82.379 155.6131
263.277466 82.362 155.8651
265.185272 82.345 156.1162
267.106903 82.329 156.3660
269.042480 82.314 156.6146
270.992065 82.300 156.8617
272.955780 82.286 157.1074
274.933716 82.274 157.3514
276.925995 82.261 157.5938
278.932709 82.250 157.8344
280.953979 82.239 158.0732
282.989899 82.229 158.3102
285.040558 82.219 158.5452
287.106079 82.211 158.7781
289.186554 82.202 159.0089
291.282104 82.195 159.2377
293.392853 82.188 159.4642
295.518890 82.181 159.6884
297.660339 82.175 159.9104
299.817322 82.170 160.1299
301.989929 82.165 160.3471
304.178284 82.161 160.5618
306.382477 82.157 160.7740
308.602661 82.154 160.9836
310.838928 82.151 161.1907
313.091400 82.149 161.3952
315.360199 82.147 161.5971
317.645416 82.145 161.7963
319.947205 82.144 161.9929
322.265686 82.143 162.1869
324.600952 82.142 162.3782
326.953156 82.142 162.5668
329.322388 82.142 162.7529
331.708801 82.142 162.9364
334.112488 82.143 163.1173
336.533600 82.144 163.2957
338.972260 82.145 163.4717
341.428589 82.146 163.6452
343.902710 82.148 163.8164
346.394775 82.149 163.9853
348.904907 82.151 164.1519
351.433228 82.153 164.3164
353.979858 82.156 164.4788
356.544952 82.158 164.6390
359.128632 82.161 164.7972
361.731018 82.164 164.9536
364.352264 82.167 165.1079
366.992523 82.170 165.2603
369.651917 82.174 165.4109
372.330566 82.177 165.5597
375.028625 82.181 165.7067
377.746246 82.185 165.8518
380.483551 82.189 165.9951
383.240692 82.194 166.1366
