* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 14, 2023 10:06:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Blon Z300 L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 92.549 -159.3578
20.507813 92.462 -160.2785
20.874023 92.304 -162.6694
21.240234 92.400 -165.0034
21.606445 92.808 -167.2892
21.972656 93.362 -169.8321
22.338867 93.842 -172.4991
22.705078 94.073 -174.7296
23.071289 93.987 -175.6799
23.437500 93.646 -174.5990
23.803711 93.238 -171.4753
24.169922 92.995 -167.4293
24.536133 93.012 -164.2182
24.902344 93.177 -163.0801
25.268555 93.314 -163.9926
25.634766 93.332 -165.9377
26.000977 93.248 -167.7199
26.367188 93.146 -168.6527
26.733399 93.113 -168.7808
27.099610 93.169 -168.6196
27.465821 93.260 -168.6505
27.832032 93.317 -168.9799
28.198243 93.310 -169.3839
28.564454 93.258 -169.6023
28.930665 93.207 -169.5820
29.296876 93.191 -169.4890
29.663087 93.204 -169.5331
30.029298 93.221 -169.7923
30.395509 93.219 -170.1870
30.761720 93.198 -170.5932
31.127931 93.175 -170.9633
31.494142 93.163 -171.3458
31.860353 93.162 -171.8033
32.226563 93.160 -172.3231
32.592774 93.147 -172.8047
32.958985 93.126 -173.1308
33.325196 93.109 -173.2558
33.691407 93.107 -173.2400
34.057618 93.123 -173.2093
34.423829 93.147 -173.2753
34.790040 93.165 -173.4785
35.156251 93.168 -173.7845
35.522462 93.153 -174.1231
35.888673 93.126 -174.4335
36.254884 93.095 -174.6891
36.621095 93.066 -174.8933
36.987306 93.042 -175.0607
37.353517 93.023 -175.2003
37.719728 93.011 -175.3149
38.085939 93.007 -175.4151
38.452150 93.013 -175.5313
38.818361 93.024 -175.7060
39.184572 93.033 -175.9643
39.550783 93.030 -176.2843
39.916994 93.008 -176.5967
40.283205 92.974 -176.8238
40.649416 92.939 -176.9369
41.015627 92.917 -176.9843
41.381838 92.911 -177.0598
41.748049 92.911 -177.2301
42.114260 92.902 -177.4783
42.480471 92.878 -177.7157
42.846682 92.850 -177.8571
43.212893 92.832 -177.8998
43.579103 92.837 -177.9363
43.945314 92.858 -178.0832
44.311525 92.876 -178.3824
44.677736 92.870 -178.7549
45.043947 92.836 -179.0491
45.410158 92.783 -179.1466
45.776369 92.733 -179.0445
46.142580 92.698 -178.8522
46.508791 92.678 -178.7097
46.875002 92.660 -178.6948
47.241213 92.633 -178.7897
47.607424 92.596 -178.9241
47.973635 92.561 -179.0482
48.339846 92.541 -179.1751
48.706057 92.541 -179.3622
49.072268 92.554 -179.6557
49.438479 92.567 179.9528
49.804690 92.570 179.5258
50.170901 92.561 179.1435
50.537112 92.542 178.8615
50.903323 92.522 178.6920
51.269534 92.504 178.6102
51.635745 92.493 178.5750
52.001956 92.486 178.5460
52.368167 92.479 178.4962
52.734378 92.468 178.4178
53.100589 92.450 178.3248
53.466800 92.423 178.2455
53.833011 92.391 178.2046
54.199222 92.359 178.2018
54.565432 92.334 178.2057
54.931643 92.315 178.1705
55.297854 92.299 178.0683
55.664065 92.279 177.9131
56.030276 92.254 177.7570
56.396487 92.227 177.6553
56.762698 92.208 177.6275
57.128909 92.204 177.6406
57.495120 92.214 177.6291
57.861331 92.228 177.5385
58.227542 92.234 177.3600
58.593753 92.223 177.1326
58.959964 92.194 176.9152
59.326175 92.154 176.7494
59.692386 92.114 176.6401
60.058597 92.083 176.5648
60.424808 92.062 176.4970
60.791019 92.050 176.4264
61.157230 92.044 176.3590
61.523441 92.037 176.3039
61.889652 92.028 176.2589
62.255863 92.014 176.2067
62.622074 91.994 176.1217
62.988285 91.971 175.9774
63.354496 91.948 175.7505
63.720707 91.930 175.4232
64.086918 91.919 174.9923
64.453129 91.915 174.4834
64.819340 91.912 173.9604
65.185551 91.905 173.5159
65.551762 91.893 173.2408
65.917972 91.878 173.1850
66.284183 91.864 173.3345
66.650394 91.851 173.6204
67.016605 91.838 173.9540
67.382816 91.818 174.2656
67.749027 91.790 174.5228
68.115238 91.755 174.7216
68.481449 91.719 174.8651
68.847660 91.688 174.9507
69.213871 91.664 174.9758
69.580082 91.645 174.9521
69.946293 91.627 174.9124
70.312504 91.607 174.8976
70.678715 91.588 174.9327
71.044926 91.573 175.0071
71.411137 91.565 175.0784
71.777348 91.562 175.0945
72.143559 91.559 175.0229
72.509770 91.550 174.8670
72.875981 91.530 174.6634
73.242192 91.499 174.4646
73.608403 91.458 174.3200
73.974614 91.413 174.2626
74.340825 91.368 174.3039
74.707036 91.327 174.4334
75.073247 91.294 174.6198
75.439458 91.272 174.8157
75.805669 91.261 174.9689
76.171880 91.258 175.0366
76.538091 91.257 175.0001
76.904301 91.255 174.8704
77.270512 91.247 174.6823
77.636723 91.232 174.4806
78.002934 91.211 174.3052
78.369145 91.185 174.1825
78.735356 91.154 174.1237
79.101567 91.121 174.1287
79.467778 91.087 174.1883
79.833989 91.054 174.2848
80.200200 91.027 174.3915
80.566411 91.009 174.4749
80.932622 91.003 174.5021
81.298833 91.006 174.4521
81.665044 91.016 174.3254
82.031255 91.026 174.1465
82.397466 91.033 173.9565
82.763677 91.034 173.7996
83.129888 91.028 173.7082
83.496099 91.016 173.6944
83.862310 91.000 173.7502
84.228521 90.981 173.8553
84.594732 90.959 173.9861
84.960943 90.935 174.1224
85.327154 90.911 174.2486
85.693365 90.890 174.3506
86.059576 90.874 174.4128
86.425787 90.863 174.4187
86.791998 90.855 174.3566
87.158209 90.847 174.2268
87.524420 90.834 174.0466
87.890631 90.810 173.8498
88.256841 90.776 173.6785
88.623052 90.733 173.5712
88.989263 90.686 173.5510
89.355474 90.640 173.6191
89.721685 90.600 173.7558
90.087896 90.571 173.9283
90.454107 90.552 174.1027
90.820318 90.540 174.2535
91.186529 90.534 174.3690
91.552740 90.529 174.4497
91.918951 90.524 174.5034
92.285162 90.517 174.5388
92.651373 90.510 174.5612
93.017584 90.503 174.5715
93.383795 90.495 174.5674
93.750006 90.488 174.5460
94.116217 90.481 174.5065
94.482428 90.472 174.4516
94.848639 90.461 174.3881
95.214850 90.447 174.3269
95.581061 90.429 174.2812
95.947272 90.408 174.2645
96.313483 90.384 174.2857
96.679694 90.360 174.3456
97.045905 90.339 174.4339
97.412116 90.321 174.5302
97.778327 90.308 174.6088
98.144538 90.298 174.6464
98.510749 90.289 174.6286
98.876960 90.278 174.5552
99.243170 90.264 174.4401
99.609381 90.244 174.3072
99.975592 90.219 174.1841
100.341803 90.190 174.0952
100.708014 90.160 174.0562
101.074225 90.131 174.0714
101.440436 90.105 174.1335
101.806647 90.085 174.2267
102.172858 90.069 174.3302
102.539069 90.059 174.4236
102.905280 90.052 174.4919
103.271491 90.049 174.5273
103.637702 90.047 174.5293
104.003913 90.046 174.5020
104.370124 90.048 174.4504
104.736335 90.052 174.3780
105.102546 90.057 174.2859
105.468757 90.064 174.1750
105.834968 90.070 174.0483
106.201179 90.075 173.9133
106.567390 90.076 173.7822
106.933601 90.073 173.6698
107.299812 90.066 173.5903
107.666023 90.055 173.5551
108.032234 90.041 173.5704
108.398445 90.024 173.6379
108.764656 90.002 173.7546
109.130867 89.975 173.9137
109.497078 89.941 174.1046
109.863289 89.899 174.3126
110.229500 89.850 174.5191
110.595710 89.795 174.7040
110.961921 89.737 174.8483
111.328132 89.679 174.9380
111.694343 89.628 174.9683
112.060554 89.587 174.9449
112.426765 89.559 174.8838
112.792976 89.545 174.8081
113.159187 89.544 174.7428
113.525398 89.551 174.7090
113.891609 89.561 174.7189
114.257820 89.568 174.7734
114.624031 89.566 174.8616
114.990242 89.553 174.9637
115.356453 89.529 175.0559
115.722664 89.498 175.1165
116.088875 89.463 175.1318
116.455086 89.431 175.1006
116.821297 89.405 175.0352
117.187508 89.388 174.9585
117.553719 89.380 174.8979
117.919930 89.377 174.8757
118.286141 89.377 174.9025
118.652352 89.374 174.9728
119.018563 89.365 175.0679
119.384774 89.349 175.1628
119.750985 89.326 175.2363
120.117196 89.298 175.2777
120.483407 89.269 175.2902
120.849618 89.244 175.2883
121.215829 89.227 175.2917
121.582040 89.219 175.3195
121.948250 89.220 175.3848
122.314461 89.225 175.4917
122.680672 89.232 175.6355
123.046883 89.236 175.8027
123.413094 89.236 175.9739
123.779305 89.230 176.1270
124.145516 89.220 176.2428
124.511727 89.206 176.3102
124.877938 89.191 176.3292
125.244149 89.174 176.3100
125.610360 89.156 176.2692
125.976571 89.136 176.2229
126.342782 89.115 176.1811
126.708993 89.090 176.1458
127.075204 89.062 176.1125
127.441415 89.030 176.0740
127.807626 88.993 176.0256
128.173837 88.952 175.9670
128.540048 88.907 175.9031
128.906259 88.861 175.8420
129.272470 88.814 175.7932
129.638681 88.769 175.7649
130.004892 88.726 175.7631
130.371103 88.687 175.7906
130.737314 88.655 175.8464
131.103525 88.631 175.9255
131.469736 88.617 176.0202
131.835947 88.613 176.1216
132.202158 88.621 176.2224
132.568369 88.637 176.3191
132.934579 88.659 176.4126
133.300790 88.684 176.5075
133.667001 88.707 176.6093
134.033212 88.728 176.7219
134.399423 88.744 176.8452
134.765634 88.754 176.9751
135.131845 88.759 177.1038
135.498056 88.760 177.2226
135.864267 88.756 177.3237
136.230478 88.750 177.4021
136.596689 88.742 177.4562
136.962900 88.732 177.4876
137.329111 88.721 177.5005
137.695322 88.709 177.5002
138.061533 88.697 177.4928
138.427744 88.683 177.4840
138.793955 88.669 177.4789
139.160166 88.654 177.4816
139.526377 88.639 177.4953
139.892588 88.624 177.5221
140.258799 88.609 177.5624
140.625010 88.594 177.6154
140.991221 88.579 177.6784
141.357432 88.564 177.7478
141.723643 88.549 177.8191
142.089854 88.533 177.8879
142.456065 88.517 177.9506
142.822276 88.500 178.0045
143.188487 88.483 178.0488
143.554698 88.466 178.0834
143.920909 88.450 178.1093
144.287119 88.434 178.1279
144.653330 88.420 178.1404
145.019541 88.408 178.1478
145.385752 88.397 178.1508
145.751963 88.389 178.1506
146.118174 88.382 178.1484
146.484385 88.375 178.1463
146.850596 88.368 178.1468
147.216807 88.360 178.1527
147.583018 88.351 178.1666
147.949229 88.340 178.1907
148.315440 88.327 178.2261
148.681651 88.313 178.2731
149.047862 88.296 178.3309
149.414073 88.279 178.3984
149.780284 88.260 178.4744
150.146495 88.240 178.5575
150.512706 88.220 178.6467
150.878917 88.201 178.7409
151.245128 88.181 178.8391
151.611339 88.163 178.9401
151.977550 88.145 179.0430
152.343761 88.128 179.1469
152.709972 88.113 179.2507
153.076183 88.098 179.3539
153.442394 88.085 179.4564
153.808605 88.073 179.5577
154.174816 88.062 179.6580
154.541027 88.053 179.7569
154.907238 88.045 179.8542
155.273448 88.039 179.9492
155.639659 88.034 -179.9588
156.005870 88.031 -179.8709
156.372081 88.028 -179.7880
156.738292 88.026 -179.7112
157.104503 88.023 -179.6409
157.470714 88.021 -179.5776
157.836925 88.018 -179.5210
158.203136 88.014 -179.4706
158.569347 88.009 -179.4252
158.935558 88.003 -179.3836
159.301769 87.996 -179.3434
159.667980 87.989 -179.3024
160.034191 87.981 -179.2572
160.400402 87.972 -179.2047
160.766613 87.962 -179.1413
161.132824 87.951 -179.0640
161.499035 87.939 -178.9705
161.865246 87.927 -178.8595
162.231457 87.913 -178.7313
162.597668 87.899 -178.5872
162.963879 87.883 -178.4302
163.330090 87.867 -178.2641
163.696301 87.849 -178.0938
164.062512 87.830 -177.9249
164.428723 87.810 -177.7632
164.794934 87.789 -177.6148
165.161145 87.767 -177.4854
165.527356 87.744 -177.3798
165.893567 87.720 -177.3019
166.259778 87.695 -177.2545
166.625988 87.670 -177.2384
166.992199 87.645 -177.2532
167.358410 87.621 -177.2967
167.724621 87.597 -177.3656
168.090832 87.574 -177.4551
168.457043 87.551 -177.5596
168.823254 87.530 -177.6729
169.189465 87.508 -177.7885
169.555676 87.488 -177.8997
