* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 9:22:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CCA CRA 500 HFoam R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 102.840 -179.7166
20.507813 102.828 -179.8479
20.874023 102.796 179.8141
21.240234 102.762 179.4865
21.606445 102.729 179.1580
21.972656 102.693 178.7796
22.338867 102.654 178.3543
22.705078 102.613 177.9077
23.071289 102.576 177.4685
23.437500 102.547 177.0616
23.803711 102.529 176.7022
24.169922 102.520 176.3958
24.536133 102.513 176.1364
24.902344 102.502 175.9082
25.268555 102.479 175.6906
25.634766 102.443 175.4627
26.000977 102.395 175.2072
26.367188 102.343 174.9151
26.733399 102.296 174.5885
27.099610 102.262 174.2397
27.465821 102.245 173.8925
27.832032 102.240 173.5822
28.198243 102.240 173.3482
28.564454 102.235 173.2199
28.930665 102.217 173.2017
29.296876 102.186 173.2626
29.663087 102.144 173.3389
30.029298 102.096 173.3539
30.395509 102.045 173.2480
30.761720 101.997 173.0042
31.127931 101.953 172.6533
31.494142 101.916 172.2575
31.860353 101.889 171.8831
32.226563 101.872 171.5738
32.592774 101.860 171.3408
32.958985 101.848 171.1687
33.325196 101.830 171.0316
33.691407 101.803 170.9047
34.057618 101.767 170.7701
34.423829 101.726 170.6170
34.790040 101.684 170.4417
35.156251 101.644 170.2484
35.522462 101.609 170.0481
35.888673 101.578 169.8556
36.254884 101.548 169.6835
36.621095 101.519 169.5369
36.987306 101.488 169.4110
37.353517 101.455 169.2944
37.719728 101.420 169.1748
38.085939 101.384 169.0443
38.452150 101.347 168.9015
38.818361 101.311 168.7517
39.184572 101.275 168.6034
39.550783 101.241 168.4646
39.916994 101.207 168.3401
40.283205 101.174 168.2304
40.649416 101.141 168.1320
41.015627 101.108 168.0395
41.381838 101.073 167.9473
41.748049 101.038 167.8524
42.114260 101.002 167.7549
42.480471 100.967 167.6580
42.846682 100.933 167.5656
43.212893 100.899 167.4803
43.579103 100.866 167.4026
43.945314 100.832 167.3310
44.311525 100.799 167.2636
44.677736 100.764 167.1983
45.043947 100.729 167.1329
45.410158 100.694 167.0659
45.776369 100.658 166.9963
46.142580 100.623 166.9256
46.508791 100.588 166.8571
46.875002 100.553 166.7954
47.241213 100.519 166.7433
47.607424 100.485 166.7009
47.973635 100.452 166.6649
48.339846 100.418 166.6314
48.706057 100.384 166.5981
49.072268 100.349 166.5658
49.438479 100.313 166.5368
49.804690 100.278 166.5117
50.170901 100.246 166.4867
50.537112 100.216 166.4556
50.903323 100.189 166.4139
51.269534 100.163 166.3641
51.635745 100.136 166.3165
52.001956 100.107 166.2840
52.368167 100.076 166.2758
52.734378 100.045 166.2914
53.100589 100.015 166.3206
53.466800 99.985 166.3493
53.833011 99.956 166.3655
54.199222 99.926 166.3645
54.565432 99.897 166.3488
54.931643 99.867 166.3247
55.297854 99.837 166.2985
55.664065 99.809 166.2739
56.030276 99.781 166.2523
56.396487 99.753 166.2337
56.762698 99.725 166.2181
57.128909 99.695 166.2052
57.495120 99.665 166.1941
57.861331 99.634 166.1836
58.227542 99.602 166.1722
58.593753 99.569 166.1592
58.959964 99.537 166.1453
59.326175 99.505 166.1317
59.692386 99.474 166.1200
60.058597 99.443 166.1111
60.424808 99.412 166.1051
60.791019 99.382 166.1017
61.157230 99.352 166.1007
61.523441 99.322 166.1023
61.889652 99.290 166.1068
62.255863 99.259 166.1142
62.622074 99.227 166.1238
62.988285 99.196 166.1346
63.354496 99.164 166.1456
63.720707 99.133 166.1561
64.086918 99.102 166.1664
64.453129 99.072 166.1769
64.819340 99.042 166.1883
65.185551 99.013 166.2005
65.551762 98.985 166.2132
65.917972 98.957 166.2264
66.284183 98.929 166.2407
66.650394 98.901 166.2571
67.016605 98.872 166.2770
67.382816 98.843 166.3005
67.749027 98.815 166.3268
68.115238 98.787 166.3539
68.481449 98.759 166.3802
68.847660 98.731 166.4045
69.213871 98.704 166.4275
69.580082 98.676 166.4503
69.946293 98.647 166.4747
70.312504 98.618 166.5021
70.678715 98.588 166.5335
71.044926 98.558 166.5689
71.411137 98.529 166.6075
71.777348 98.500 166.6481
72.143559 98.472 166.6892
72.509770 98.444 166.7294
72.875981 98.418 166.7679
73.242192 98.392 166.8049
73.608403 98.367 166.8413
73.974614 98.341 166.8784
74.340825 98.314 166.9168
74.707036 98.287 166.9569
75.073247 98.259 166.9984
75.439458 98.232 167.0407
75.805669 98.203 167.0831
76.171880 98.175 167.1254
76.538091 98.147 167.1678
76.904301 98.119 167.2104
77.270512 98.092 167.2534
77.636723 98.065 167.2968
78.002934 98.038 167.3404
78.369145 98.012 167.3842
78.735356 97.985 167.4284
79.101567 97.959 167.4730
79.467778 97.932 167.5182
79.833989 97.906 167.5639
80.200200 97.880 167.6101
80.566411 97.853 167.6569
80.932622 97.827 167.7045
81.298833 97.800 167.7532
81.665044 97.774 167.8036
82.031255 97.748 167.8562
82.397466 97.721 167.9108
82.763677 97.695 167.9672
83.129888 97.669 168.0247
83.496099 97.643 168.0823
83.862310 97.617 168.1393
84.228521 97.591 168.1954
84.594732 97.566 168.2505
84.960943 97.540 168.3052
85.327154 97.515 168.3605
85.693365 97.490 168.4173
86.059576 97.466 168.4764
86.425787 97.441 168.5387
86.791998 97.416 168.6042
87.158209 97.391 168.6725
87.524420 97.366 168.7432
87.890631 97.341 168.8148
88.256841 97.315 168.8861
88.623052 97.290 168.9557
88.989263 97.264 169.0222
89.355474 97.239 169.0848
89.721685 97.215 169.1436
90.087896 97.191 169.1994
90.454107 97.168 169.2539
90.820318 97.145 169.3092
91.186529 97.123 169.3672
91.552740 97.101 169.4294
91.918951 97.078 169.4961
92.285162 97.056 169.5668
92.651373 97.033 169.6403
93.017584 97.010 169.7155
93.383795 96.986 169.7911
93.750006 96.963 169.8668
94.116217 96.939 169.9420
94.482428 96.915 170.0170
94.848639 96.892 170.0918
95.214850 96.868 170.1665
95.581061 96.845 170.2409
95.947272 96.821 170.3148
96.313483 96.798 170.3882
96.679694 96.775 170.4611
97.045905 96.751 170.5337
97.412116 96.728 170.6066
97.778327 96.705 170.6801
98.144538 96.682 170.7547
98.510749 96.660 170.8303
98.876960 96.637 170.9071
99.243170 96.615 170.9847
99.609381 96.593 171.0628
99.975592 96.571 171.1412
100.341803 96.548 171.2195
100.708014 96.526 171.2974
101.074225 96.504 171.3743
101.440436 96.482 171.4501
101.806647 96.460 171.5250
102.172858 96.438 171.5989
102.539069 96.416 171.6723
102.905280 96.394 171.7456
103.271491 96.371 171.8193
103.637702 96.349 171.8938
104.003913 96.327 171.9694
104.370124 96.305 172.0463
104.736335 96.283 172.1246
105.102546 96.261 172.2042
105.468757 96.239 172.2849
105.834968 96.217 172.3664
106.201179 96.196 172.4487
106.567390 96.174 172.5316
106.933601 96.153 172.6148
107.299812 96.131 172.6982
107.666023 96.110 172.7814
108.032234 96.089 172.8641
108.398445 96.068 172.9464
108.764656 96.047 173.0287
109.130867 96.025 173.1112
109.497078 96.004 173.1945
109.863289 95.982 173.2790
110.229500 95.961 173.3647
110.595710 95.939 173.4515
110.961921 95.917 173.5392
111.328132 95.896 173.6277
111.694343 95.874 173.7169
112.060554 95.853 173.8068
112.426765 95.832 173.8973
112.792976 95.810 173.9888
113.159187 95.789 174.0814
113.525398 95.768 174.1754
113.891609 95.747 174.2704
114.257820 95.726 174.3663
114.624031 95.706 174.4626
114.990242 95.686 174.5587
115.356453 95.666 174.6545
115.722664 95.646 174.7501
116.088875 95.627 174.8458
116.455086 95.609 174.9419
116.821297 95.590 175.0385
117.187508 95.572 175.1354
117.553719 95.553 175.2324
117.919930 95.534 175.3291
118.286141 95.515 175.4256
118.652352 95.496 175.5222
119.018563 95.476 175.6189
119.384774 95.456 175.7160
119.750985 95.436 175.8136
120.117196 95.417 175.9117
120.483407 95.397 176.0103
120.849618 95.376 176.1097
121.215829 95.356 176.2099
121.582040 95.336 176.3110
121.948250 95.316 176.4129
122.314461 95.295 176.5151
122.680672 95.275 176.6175
123.046883 95.255 176.7200
123.413094 95.235 176.8231
123.779305 95.214 176.9272
124.145516 95.194 177.0333
124.511727 95.175 177.1420
124.877938 95.155 177.2536
125.244149 95.135 177.3685
125.610360 95.116 177.4864
125.976571 95.096 177.6071
126.342782 95.077 177.7299
126.708993 95.057 177.8544
127.075204 95.038 177.9796
127.441415 95.019 178.1045
127.807626 94.999 178.2285
128.173837 94.980 178.3510
128.540048 94.960 178.4718
128.906259 94.941 178.5914
129.272470 94.921 178.7103
129.638681 94.902 178.8292
130.004892 94.882 178.9490
130.371103 94.862 179.0704
130.737314 94.842 179.1938
131.103525 94.823 179.3198
131.469736 94.803 179.4482
131.835947 94.783 179.5791
132.202158 94.763 179.7125
132.568369 94.742 179.8479
132.934579 94.722 179.9850
133.300790 94.702 -179.8765
133.667001 94.682 -179.7374
134.033212 94.662 -179.5982
134.399423 94.643 -179.4597
134.765634 94.623 -179.3222
135.131845 94.604 -179.1859
135.498056 94.586 -179.0506
135.864267 94.568 -178.9156
136.230478 94.550 -178.7801
136.596689 94.532 -178.6432
136.962900 94.515 -178.5040
137.329111 94.498 -178.3617
137.695322 94.481 -178.2155
138.061533 94.465 -178.0652
138.427744 94.448 -177.9103
138.793955 94.432 -177.7509
139.160166 94.416 -177.5869
139.526377 94.401 -177.4187
139.892588 94.385 -177.2468
140.258799 94.370 -177.0721
140.625010 94.355 -176.8955
140.991221 94.340 -176.7183
141.357432 94.326 -176.5413
141.723643 94.312 -176.3652
142.089854 94.299 -176.1902
142.456065 94.286 -176.0161
142.822276 94.273 -175.8427
143.188487 94.261 -175.6693
143.554698 94.250 -175.4956
143.920909 94.240 -175.3216
144.287119 94.231 -175.1474
144.653330 94.223 -174.9735
145.019541 94.217 -174.8006
145.385752 94.212 -174.6291
145.751963 94.207 -174.4594
146.118174 94.204 -174.2918
146.484385 94.201 -174.1265
146.850596 94.200 -173.9639
147.216807 94.199 -173.8047
147.583018 94.198 -173.6499
147.949229 94.199 -173.5006
148.315440 94.199 -173.3583
148.681651 94.200 -173.2241
149.047862 94.200 -173.0989
149.414073 94.200 -172.9830
149.780284 94.199 -172.8765
150.146495 94.198 -172.7792
150.512706 94.195 -172.6904
150.878917 94.192 -172.6097
151.245128 94.187 -172.5363
151.611339 94.183 -172.4693
151.977550 94.177 -172.4075
152.343761 94.172 -172.3495
152.709972 94.166 -172.2936
153.076183 94.160 -172.2381
153.442394 94.153 -172.1813
153.808605 94.146 -172.1218
154.174816 94.138 -172.0586
154.541027 94.130 -171.9914
154.907238 94.121 -171.9203
155.273448 94.111 -171.8461
155.639659 94.100 -171.7697
156.005870 94.088 -171.6923
156.372081 94.077 -171.6152
156.738292 94.064 -171.5393
157.104503 94.052 -171.4652
157.470714 94.039 -171.3930
157.836925 94.025 -171.3224
158.203136 94.011 -171.2526
158.569347 93.997 -171.1829
158.935558 93.983 -171.1122
159.301769 93.968 -171.0396
159.667980 93.954 -170.9646
160.034191 93.939 -170.8871
160.400402 93.924 -170.8075
160.766613 93.910 -170.7267
161.132824 93.896 -170.6459
161.499035 93.882 -170.5667
161.865246 93.870 -170.4908
162.231457 93.857 -170.4193
162.597668 93.846 -170.3533
162.963879 93.835 -170.2927
163.330090 93.825 -170.2371
163.696301 93.815 -170.1850
164.062512 93.805 -170.1349
164.428723 93.795 -170.0849
164.794934 93.785 -170.0330
165.161145 93.776 -169.9778
165.527356 93.766 -169.9182
165.893567 93.756 -169.8536
166.259778 93.747 -169.7839
166.625988 93.737 -169.7091
166.992199 93.727 -169.6297
167.358410 93.717 -169.5464
167.724621 93.707 -169.4596
168.090832 93.697 -169.3702
168.457043 93.686 -169.2789
168.823254 93.676 -169.1862
169.189465 93.665 -169.0927
169.555676 93.654 -168.9990
169.921887 93.642 -168.9055
