* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 24, 2023 4:54:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CVJ Konoka L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.745 -168.6567
20.507813 94.744 -168.8673
20.874023 94.744 -169.4221
21.240234 94.752 -169.9790
21.606445 94.767 -170.5026
21.972656 94.784 -170.9993
22.338867 94.798 -171.4441
22.705078 94.810 -171.8500
23.071289 94.819 -172.2570
23.437500 94.828 -172.6859
23.803711 94.837 -173.1324
24.169922 94.847 -173.5812
24.536133 94.856 -174.0123
24.902344 94.862 -174.3998
25.268555 94.864 -174.7261
25.634766 94.862 -175.0029
26.000977 94.856 -175.2674
26.367188 94.846 -175.5531
26.733399 94.833 -175.8697
27.099610 94.820 -176.2108
27.465821 94.807 -176.5689
27.832032 94.796 -176.9379
28.198243 94.786 -177.3110
28.564454 94.778 -177.6810
28.930665 94.771 -178.0432
29.296876 94.766 -178.3955
29.663087 94.761 -178.7377
30.029298 94.754 -179.0714
30.395509 94.744 -179.3983
30.761720 94.732 -179.7174
31.127931 94.720 179.9741
31.494142 94.709 179.6756
31.860353 94.700 179.3834
32.226563 94.694 179.0949
32.592774 94.690 178.8118
32.958985 94.685 178.5374
33.325196 94.679 178.2721
33.691407 94.670 178.0128
34.057618 94.660 177.7564
34.423829 94.650 177.5019
34.790040 94.638 177.2501
35.156251 94.626 177.0023
35.522462 94.613 176.7615
35.888673 94.600 176.5306
36.254884 94.588 176.3098
36.621095 94.576 176.0934
36.987306 94.564 175.8721
37.353517 94.551 175.6408
37.719728 94.538 175.4031
38.085939 94.524 175.1655
38.452150 94.511 174.9290
38.818361 94.499 174.6891
39.184572 94.488 174.4445
39.550783 94.477 174.2037
39.916994 94.465 173.9802
40.283205 94.451 173.7813
40.649416 94.436 173.5999
41.015627 94.421 173.4207
41.381838 94.406 173.2324
41.748049 94.393 173.0333
42.114260 94.379 172.8287
42.480471 94.366 172.6252
42.846682 94.352 172.4276
43.212893 94.337 172.2387
43.579103 94.321 172.0572
43.945314 94.304 171.8784
44.311525 94.288 171.6975
44.677736 94.273 171.5137
45.043947 94.257 171.3305
45.410158 94.241 171.1527
45.776369 94.225 170.9827
46.142580 94.210 170.8192
46.508791 94.195 170.6582
46.875002 94.181 170.4960
47.241213 94.166 170.3316
47.607424 94.150 170.1681
47.973635 94.131 170.0100
48.339846 94.112 169.8579
48.706057 94.094 169.7062
49.072268 94.079 169.5483
49.438479 94.068 169.3854
49.804690 94.057 169.2315
50.170901 94.048 169.1084
50.537112 94.039 169.0329
50.903323 94.032 169.0023
51.269534 94.028 168.9894
51.635745 94.025 168.9530
52.001956 94.020 168.8583
52.368167 94.009 168.6954
52.734378 93.988 168.4825
53.100589 93.959 168.2538
53.466800 93.927 168.0394
53.833011 93.895 167.8525
54.199222 93.868 167.6899
54.565432 93.848 167.5410
54.931643 93.830 167.3989
55.297854 93.814 167.2635
55.664065 93.798 167.1392
56.030276 93.780 167.0280
56.396487 93.763 166.9263
56.762698 93.747 166.8262
57.128909 93.730 166.7203
57.495120 93.713 166.6063
57.861331 93.696 166.4870
58.227542 93.678 166.3673
58.593753 93.659 166.2501
58.959964 93.641 166.1357
59.326175 93.623 166.0231
59.692386 93.605 165.9120
60.058597 93.589 165.8032
60.424808 93.574 165.6973
60.791019 93.559 165.5941
61.157230 93.545 165.4926
61.523441 93.532 165.3915
61.889652 93.518 165.2898
62.255863 93.505 165.1870
62.622074 93.491 165.0834
62.988285 93.477 164.9797
63.354496 93.461 164.8771
63.720707 93.444 164.7770
64.086918 93.425 164.6806
64.453129 93.405 164.5889
64.819340 93.386 164.5018
65.185551 93.368 164.4188
65.551762 93.351 164.3389
65.917972 93.336 164.2614
66.284183 93.321 164.1854
66.650394 93.306 164.1104
67.016605 93.290 164.0356
67.382816 93.274 163.9604
67.749027 93.257 163.8843
68.115238 93.241 163.8068
68.481449 93.225 163.7277
68.847660 93.209 163.6472
69.213871 93.193 163.5654
69.580082 93.178 163.4830
69.946293 93.162 163.4002
70.312504 93.146 163.3177
70.678715 93.129 163.2364
71.044926 93.113 163.1571
71.411137 93.096 163.0807
71.777348 93.080 163.0078
72.143559 93.063 162.9386
72.509770 93.047 162.8727
72.875981 93.031 162.8094
73.242192 93.014 162.7474
73.608403 92.998 162.6860
73.974614 92.982 162.6246
74.340825 92.967 162.5632
74.707036 92.951 162.5023
75.073247 92.935 162.4425
75.439458 92.920 162.3838
75.805669 92.905 162.3253
76.171880 92.890 162.2663
76.538091 92.875 162.2057
76.904301 92.861 162.1432
77.270512 92.847 162.0792
77.636723 92.833 162.0146
78.002934 92.819 161.9506
78.369145 92.805 161.8880
78.735356 92.791 161.8275
79.101567 92.776 161.7689
79.467778 92.762 161.7116
79.833989 92.748 161.6547
80.200200 92.733 161.5971
80.566411 92.717 161.5383
80.932622 92.701 161.4781
81.298833 92.685 161.4168
81.665044 92.669 161.3551
82.031255 92.653 161.2937
82.397466 92.636 161.2334
82.763677 92.620 161.1750
83.129888 92.603 161.1192
83.496099 92.587 161.0660
83.862310 92.571 161.0155
84.228521 92.556 160.9672
84.594732 92.540 160.9202
84.960943 92.526 160.8735
85.327154 92.511 160.8263
85.693365 92.497 160.7776
86.059576 92.483 160.7271
86.425787 92.469 160.6744
86.791998 92.454 160.6199
87.158209 92.440 160.5640
87.524420 92.425 160.5076
87.890631 92.410 160.4520
88.256841 92.394 160.3979
88.623052 92.378 160.3461
88.989263 92.362 160.2964
89.355474 92.346 160.2482
89.721685 92.330 160.2008
90.087896 92.314 160.1536
90.454107 92.299 160.1063
90.820318 92.284 160.0591
91.186529 92.268 160.0127
91.552740 92.253 159.9676
91.918951 92.239 159.9241
92.285162 92.224 159.8823
92.651373 92.209 159.8419
93.017584 92.195 159.8020
93.383795 92.181 159.7617
93.750006 92.168 159.7200
94.116217 92.154 159.6760
94.482428 92.141 159.6296
94.848639 92.129 159.5812
95.214850 92.116 159.5319
95.581061 92.103 159.4832
95.947272 92.090 159.4363
96.313483 92.077 159.3925
96.679694 92.064 159.3518
97.045905 92.051 159.3141
97.412116 92.038 159.2784
97.778327 92.024 159.2438
98.144538 92.011 159.2098
98.510749 91.998 159.1761
98.876960 91.984 159.1430
99.243170 91.971 159.1109
99.609381 91.957 159.0805
99.975592 91.943 159.0523
100.341803 91.929 159.0268
100.708014 91.915 159.0040
101.074225 91.902 158.9842
101.440436 91.889 158.9674
101.806647 91.876 158.9534
102.172858 91.863 158.9421
102.539069 91.850 158.9326
102.905280 91.837 158.9241
103.271491 91.824 158.9155
103.637702 91.812 158.9054
104.003913 91.799 158.8928
104.370124 91.786 158.8765
104.736335 91.773 158.8560
105.102546 91.760 158.8310
105.468757 91.747 158.8021
105.834968 91.734 158.7701
106.201179 91.721 158.7365
106.567390 91.708 158.7026
106.933601 91.695 158.6697
107.299812 91.682 158.6386
107.666023 91.668 158.6099
108.032234 91.655 158.5834
108.398445 91.641 158.5589
108.764656 91.627 158.5361
109.130867 91.614 158.5143
109.497078 91.601 158.4934
109.863289 91.588 158.4734
110.229500 91.576 158.4545
110.595710 91.564 158.4373
110.961921 91.552 158.4222
111.328132 91.540 158.4100
111.694343 91.528 158.4008
112.060554 91.517 158.3945
112.426765 91.505 158.3908
112.792976 91.494 158.3892
113.159187 91.483 158.3893
113.525398 91.471 158.3912
113.891609 91.460 158.3951
114.257820 91.448 158.4016
114.624031 91.436 158.4111
114.990242 91.425 158.4243
115.356453 91.414 158.4411
115.722664 91.403 158.4606
116.088875 91.394 158.4812
116.455086 91.384 158.5001
116.821297 91.376 158.5139
117.187508 91.367 158.5191
117.553719 91.357 158.5127
117.919930 91.347 158.4933
118.286141 91.335 158.4620
118.652352 91.322 158.4217
119.018563 91.308 158.3771
119.384774 91.293 158.3333
119.750985 91.278 158.2945
120.117196 91.262 158.2635
120.483407 91.247 158.2413
120.849618 91.232 158.2268
121.215829 91.217 158.2183
121.582040 91.204 158.2132
121.948250 91.191 158.2094
122.314461 91.180 158.2054
122.680672 91.169 158.2003
123.046883 91.158 158.1941
123.413094 91.148 158.1871
123.779305 91.139 158.1801
124.145516 91.129 158.1736
124.511727 91.119 158.1685
124.877938 91.109 158.1649
125.244149 91.099 158.1630
125.610360 91.088 158.1629
125.976571 91.078 158.1648
126.342782 91.067 158.1689
126.708993 91.056 158.1754
127.075204 91.046 158.1847
127.441415 91.035 158.1968
127.807626 91.024 158.2117
128.173837 91.013 158.2290
128.540048 91.002 158.2482
128.906259 90.991 158.2686
129.272470 90.980 158.2896
129.638681 90.970 158.3105
130.004892 90.959 158.3312
130.371103 90.949 158.3512
130.737314 90.938 158.3705
131.103525 90.928 158.3892
131.469736 90.917 158.4075
131.835947 90.907 158.4257
132.202158 90.897 158.4438
132.568369 90.886 158.4620
132.934579 90.876 158.4804
133.300790 90.866 158.4988
133.667001 90.856 158.5170
134.033212 90.846 158.5348
134.399423 90.837 158.5519
134.765634 90.827 158.5682
135.131845 90.818 158.5834
135.498056 90.809 158.5977
135.864267 90.800 158.6108
136.230478 90.791 158.6229
136.596689 90.782 158.6341
136.962900 90.774 158.6445
137.329111 90.765 158.6544
137.695322 90.756 158.6638
138.061533 90.747 158.6728
138.427744 90.738 158.6816
138.793955 90.729 158.6902
139.160166 90.720 158.6986
139.526377 90.711 158.7068
139.892588 90.702 158.7147
140.258799 90.693 158.7224
140.625010 90.684 158.7301
140.991221 90.675 158.7380
141.357432 90.667 158.7463
141.723643 90.658 158.7556
142.089854 90.649 158.7660
142.456065 90.640 158.7778
142.822276 90.632 158.7910
143.188487 90.623 158.8057
143.554698 90.615 158.8217
143.920909 90.606 158.8385
144.287119 90.597 158.8560
144.653330 90.588 158.8735
145.019541 90.579 158.8909
145.385752 90.570 158.9078
145.751963 90.560 158.9240
146.118174 90.551 158.9393
146.484385 90.541 158.9536
146.850596 90.532 158.9670
147.216807 90.522 158.9794
147.583018 90.513 158.9908
147.949229 90.503 159.0013
148.315440 90.493 159.0107
148.681651 90.484 159.0189
149.047862 90.474 159.0259
149.414073 90.464 159.0315
149.780284 90.455 159.0357
150.146495 90.445 159.0386
150.512706 90.436 159.0402
150.878917 90.426 159.0408
151.245128 90.417 159.0406
151.611339 90.407 159.0396
151.977550 90.398 159.0382
152.343761 90.389 159.0364
152.709972 90.380 159.0344
153.076183 90.370 159.0323
153.442394 90.361 159.0300
153.808605 90.352 159.0278
154.174816 90.343 159.0257
154.541027 90.334 159.0238
154.907238 90.325 159.0223
155.273448 90.316 159.0214
155.639659 90.306 159.0211
156.005870 90.297 159.0216
156.372081 90.287 159.0230
156.738292 90.277 159.0253
157.104503 90.267 159.0286
157.470714 90.257 159.0327
157.836925 90.247 159.0377
158.203136 90.237 159.0432
158.569347 90.228 159.0492
158.935558 90.218 159.0553
159.301769 90.209 159.0613
159.667980 90.200 159.0671
160.034191 90.192 159.0723
160.400402 90.184 159.0768
160.766613 90.177 159.0805
161.132824 90.169 159.0833
161.499035 90.162 159.0851
161.865246 90.156 159.0861
162.231457 90.149 159.0864
162.597668 90.143 159.0861
162.963879 90.137 159.0858
163.330090 90.131 159.0857
163.696301 90.125 159.0863
164.062512 90.118 159.0882
164.428723 90.112 159.0917
164.794934 90.106 159.0972
165.161145 90.099 159.1050
165.527356 90.093 159.1150
165.893567 90.086 159.1270
166.259778 90.079 159.1409
166.625988 90.072 159.1562
166.992199 90.065 159.1726
167.358410 90.058 159.1896
167.724621 90.051 159.2071
168.090832 90.044 159.2247
168.457043 90.036 159.2423
168.823254 90.029 159.2597
169.189465 90.021 159.2769
169.555676 90.014 159.2936
169.921887 90.007 159.3100
170.288098 89.999 159.3258
170.654309 89.992 159.3409
171.020520 89.984 159.3552
171.386731 89.977 159.3686
171.752942 89.969 159.3809
172.119153 89.962 159.3921
