* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 24, 2023 4:53:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CVJ Konoka R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.959 -149.0742
20.507813 94.959 -149.1085
20.874023 94.958 -149.2193
21.240234 94.961 -149.3909
21.606445 94.968 -149.6131
21.972656 94.979 -149.8380
22.338867 94.993 -150.0132
22.705078 95.011 -150.1309
23.071289 95.032 -150.2179
23.437500 95.054 -150.2965
23.803711 95.075 -150.3709
24.169922 95.092 -150.4377
24.536133 95.102 -150.4890
24.902344 95.105 -150.5109
25.268555 95.103 -150.4958
25.634766 95.098 -150.4609
26.000977 95.091 -150.4411
26.367188 95.084 -150.4599
26.733399 95.076 -150.5118
27.099610 95.068 -150.5762
27.465821 95.062 -150.6384
27.832032 95.058 -150.6934
28.198243 95.056 -150.7419
28.564454 95.055 -150.7861
28.930665 95.055 -150.8273
29.296876 95.056 -150.8655
29.663087 95.055 -150.8992
30.029298 95.052 -150.9277
30.395509 95.046 -150.9520
30.761720 95.038 -150.9713
31.127931 95.028 -150.9850
31.494142 95.019 -150.9954
31.860353 95.011 -151.0080
32.226563 95.006 -151.0261
32.592774 95.002 -151.0466
32.958985 94.999 -151.0632
33.325196 94.993 -151.0710
33.691407 94.986 -151.0684
34.057618 94.978 -151.0568
34.423829 94.969 -151.0387
34.790040 94.961 -151.0182
35.156251 94.951 -150.9990
35.522462 94.940 -150.9817
35.888673 94.929 -150.9639
36.254884 94.919 -150.9436
36.621095 94.910 -150.9241
36.987306 94.902 -150.9124
37.353517 94.893 -150.9107
37.719728 94.884 -150.9117
38.085939 94.874 -150.9050
38.452150 94.863 -150.8868
38.818361 94.851 -150.8618
39.184572 94.840 -150.8347
39.550783 94.829 -150.8019
39.916994 94.817 -150.7537
40.283205 94.804 -150.6848
40.649416 94.790 -150.6021
41.015627 94.778 -150.5199
41.381838 94.767 -150.4488
41.748049 94.757 -150.3898
42.114260 94.747 -150.3379
42.480471 94.738 -150.2877
42.846682 94.728 -150.2366
43.212893 94.717 -150.1844
43.579103 94.707 -150.1322
43.945314 94.695 -150.0802
44.311525 94.684 -150.0262
44.677736 94.672 -149.9651
45.043947 94.660 -149.8928
45.410158 94.647 -149.8107
45.776369 94.632 -149.7255
46.142580 94.616 -149.6454
46.508791 94.600 -149.5754
46.875002 94.585 -149.5164
47.241213 94.571 -149.4660
47.607424 94.558 -149.4174
47.973635 94.545 -149.3596
48.339846 94.531 -149.2801
48.706057 94.515 -149.1710
49.072268 94.500 -149.0359
49.438479 94.486 -148.8929
49.804690 94.472 -148.7691
50.170901 94.455 -148.6883
50.537112 94.432 -148.6558
50.903323 94.402 -148.6529
51.269534 94.366 -148.6450
51.635745 94.331 -148.5999
52.001956 94.304 -148.5041
52.368167 94.289 -148.3671
52.734378 94.287 -148.2131
53.100589 94.293 -148.0656
53.466800 94.303 -147.9356
53.833011 94.308 -147.8197
54.199222 94.305 -147.7070
54.565432 94.296 -147.5887
54.931643 94.281 -147.4644
55.297854 94.263 -147.3402
55.664065 94.244 -147.2224
56.030276 94.227 -147.1119
56.396487 94.211 -147.0040
56.762698 94.197 -146.8926
57.128909 94.184 -146.7737
57.495120 94.172 -146.6475
57.861331 94.160 -146.5174
58.227542 94.147 -146.3872
58.593753 94.132 -146.2598
58.959964 94.117 -146.1363
59.326175 94.100 -146.0160
59.692386 94.084 -145.8970
60.058597 94.070 -145.7771
60.424808 94.057 -145.6550
60.791019 94.045 -145.5301
61.157230 94.033 -145.4025
61.523441 94.021 -145.2726
61.889652 94.008 -145.1414
62.255863 93.994 -145.0103
62.622074 93.980 -144.8809
62.988285 93.966 -144.7543
63.354496 93.951 -144.6307
63.720707 93.935 -144.5089
64.086918 93.918 -144.3866
64.453129 93.899 -144.2613
64.819340 93.881 -144.1311
65.185551 93.864 -143.9951
65.551762 93.849 -143.8541
65.917972 93.834 -143.7094
66.284183 93.821 -143.5626
66.650394 93.807 -143.4147
67.016605 93.792 -143.2661
67.382816 93.777 -143.1168
67.749027 93.762 -142.9668
68.115238 93.747 -142.8166
68.481449 93.732 -142.6668
68.847660 93.718 -142.5183
69.213871 93.704 -142.3719
69.580082 93.690 -142.2279
69.946293 93.676 -142.0864
70.312504 93.661 -141.9467
70.678715 93.645 -141.8075
71.044926 93.630 -141.6674
71.411137 93.614 -141.5247
71.777348 93.598 -141.3783
72.143559 93.583 -141.2283
72.509770 93.567 -141.0752
72.875981 93.553 -140.9207
73.242192 93.538 -140.7659
73.608403 93.524 -140.6117
73.974614 93.510 -140.4578
74.340825 93.496 -140.3032
74.707036 93.481 -140.1469
75.073247 93.467 -139.9883
75.439458 93.453 -139.8273
75.805669 93.440 -139.6651
76.171880 93.427 -139.5028
76.538091 93.414 -139.3418
76.904301 93.401 -139.1829
77.270512 93.388 -139.0267
77.636723 93.376 -138.8728
78.002934 93.363 -138.7208
78.369145 93.350 -138.5695
78.735356 93.337 -138.4180
79.101567 93.323 -138.2653
79.467778 93.309 -138.1114
79.833989 93.295 -137.9569
80.200200 93.280 -137.8028
80.566411 93.265 -137.6499
80.932622 93.250 -137.4989
81.298833 93.234 -137.3496
81.665044 93.219 -137.2014
82.031255 93.203 -137.0535
82.397466 93.187 -136.9051
82.763677 93.171 -136.7552
83.129888 93.155 -136.6031
83.496099 93.139 -136.4483
83.862310 93.123 -136.2904
84.228521 93.107 -136.1300
84.594732 93.091 -135.9677
84.960943 93.075 -135.8046
85.327154 93.060 -135.6420
85.693365 93.045 -135.4803
86.059576 93.029 -135.3199
86.425787 93.014 -135.1605
86.791998 92.999 -135.0018
87.158209 92.985 -134.8430
87.524420 92.970 -134.6833
87.890631 92.955 -134.5223
88.256841 92.940 -134.3593
88.623052 92.925 -134.1942
88.989263 92.909 -134.0272
89.355474 92.894 -133.8588
89.721685 92.879 -133.6899
90.087896 92.864 -133.5212
90.454107 92.850 -133.3532
90.820318 92.835 -133.1861
91.186529 92.821 -133.0196
91.552740 92.808 -132.8533
91.918951 92.795 -132.6869
92.285162 92.782 -132.5200
92.651373 92.769 -132.3528
93.017584 92.757 -132.1853
93.383795 92.745 -132.0177
93.750006 92.732 -131.8503
94.116217 92.720 -131.6829
94.482428 92.707 -131.5154
94.848639 92.694 -131.3472
95.214850 92.681 -131.1775
95.581061 92.668 -131.0058
95.947272 92.655 -130.8316
96.313483 92.642 -130.6544
96.679694 92.629 -130.4743
97.045905 92.617 -130.2916
97.412116 92.604 -130.1067
97.778327 92.593 -129.9202
98.144538 92.581 -129.7329
98.510749 92.569 -129.5454
98.876960 92.557 -129.3581
99.243170 92.544 -129.1713
99.609381 92.532 -128.9849
99.975592 92.519 -128.7989
100.341803 92.506 -128.6132
100.708014 92.492 -128.4276
101.074225 92.479 -128.2422
101.440436 92.466 -128.0567
101.806647 92.453 -127.8711
102.172858 92.440 -127.6851
102.539069 92.427 -127.4983
102.905280 92.415 -127.3109
103.271491 92.403 -127.1229
103.637702 92.391 -126.9352
104.003913 92.379 -126.7487
104.370124 92.368 -126.5649
104.736335 92.356 -126.3851
105.102546 92.344 -126.2103
105.468757 92.332 -126.0407
105.834968 92.319 -125.8758
106.201179 92.306 -125.7146
106.567390 92.292 -125.5557
106.933601 92.278 -125.3977
107.299812 92.263 -125.2394
107.666023 92.249 -125.0800
108.032234 92.234 -124.9189
108.398445 92.220 -124.7555
108.764656 92.205 -124.5898
109.130867 92.191 -124.4213
109.497078 92.177 -124.2500
109.863289 92.163 -124.0756
110.229500 92.149 -123.8983
110.595710 92.136 -123.7180
110.961921 92.123 -123.5350
111.328132 92.110 -123.3497
111.694343 92.097 -123.1624
112.060554 92.085 -122.9734
112.426765 92.072 -122.7831
112.792976 92.060 -122.5915
113.159187 92.048 -122.3988
113.525398 92.036 -122.2049
113.891609 92.024 -122.0095
114.257820 92.012 -121.8119
114.624031 92.000 -121.6114
114.990242 91.989 -121.4066
115.356453 91.979 -121.1966
115.722664 91.968 -120.9808
116.088875 91.959 -120.7595
116.455086 91.950 -120.5348
116.821297 91.941 -120.3096
117.187508 91.932 -120.0883
117.553719 91.923 -119.8752
117.919930 91.912 -119.6735
118.286141 91.900 -119.4846
118.652352 91.887 -119.3080
119.018563 91.872 -119.1411
119.384774 91.856 -118.9804
119.750985 91.840 -118.8227
120.117196 91.824 -118.6649
120.483407 91.808 -118.5052
120.849618 91.793 -118.3427
121.215829 91.779 -118.1769
121.582040 91.765 -118.0079
121.948250 91.753 -117.8356
122.314461 91.742 -117.6602
122.680672 91.731 -117.4816
123.046883 91.721 -117.3000
123.413094 91.712 -117.1154
123.779305 91.703 -116.9280
124.145516 91.695 -116.7381
124.511727 91.686 -116.5462
124.877938 91.677 -116.3527
125.244149 91.668 -116.1581
125.610360 91.659 -115.9629
125.976571 91.649 -115.7671
126.342782 91.639 -115.5710
126.708993 91.629 -115.3743
127.075204 91.618 -115.1768
127.441415 91.608 -114.9785
127.807626 91.597 -114.7792
128.173837 91.586 -114.5788
128.540048 91.576 -114.3775
128.906259 91.565 -114.1754
129.272470 91.555 -113.9729
129.638681 91.544 -113.7703
130.004892 91.533 -113.5681
130.371103 91.523 -113.3666
130.737314 91.512 -113.1664
131.103525 91.501 -112.9676
131.469736 91.490 -112.7706
131.835947 91.479 -112.5753
132.202158 91.468 -112.3816
132.568369 91.457 -112.1894
132.934579 91.446 -111.9983
133.300790 91.435 -111.8079
133.667001 91.424 -111.6177
134.033212 91.413 -111.4275
134.399423 91.403 -111.2368
134.765634 91.392 -111.0457
135.131845 91.382 -110.8540
135.498056 91.371 -110.6619
135.864267 91.361 -110.4698
136.230478 91.350 -110.2777
136.596689 91.340 -110.0859
136.962900 91.329 -109.8947
137.329111 91.318 -109.7039
137.695322 91.307 -109.5136
138.061533 91.295 -109.3235
138.427744 91.284 -109.1335
138.793955 91.272 -108.9434
139.160166 91.261 -108.7531
139.526377 91.249 -108.5624
139.892588 91.238 -108.3713
140.258799 91.228 -108.1799
140.625010 91.217 -107.9882
140.991221 91.207 -107.7961
141.357432 91.197 -107.6035
141.723643 91.188 -107.4105
142.089854 91.179 -107.2168
142.456065 91.170 -107.0224
142.822276 91.161 -106.8273
143.188487 91.152 -106.6314
143.554698 91.143 -106.4349
143.920909 91.134 -106.2379
144.287119 91.124 -106.0404
144.653330 91.115 -105.8427
145.019541 91.106 -105.6447
145.385752 91.096 -105.4468
145.751963 91.087 -105.2489
146.118174 91.077 -105.0513
146.484385 91.067 -104.8540
146.850596 91.058 -104.6571
147.216807 91.048 -104.4606
147.583018 91.038 -104.2645
147.949229 91.029 -104.0687
148.315440 91.019 -103.8731
148.681651 91.009 -103.6775
149.047862 91.000 -103.4819
149.414073 90.990 -103.2863
149.780284 90.981 -103.0908
150.146495 90.972 -102.8954
150.512706 90.962 -102.7004
150.878917 90.953 -102.5058
151.245128 90.944 -102.3118
151.611339 90.935 -102.1185
151.977550 90.926 -101.9260
152.343761 90.917 -101.7341
152.709972 90.908 -101.5427
153.076183 90.900 -101.3515
153.442394 90.891 -101.1603
153.808605 90.882 -100.9687
154.174816 90.874 -100.7765
154.541027 90.865 -100.5835
154.907238 90.856 -100.3898
155.273448 90.847 -100.1954
155.639659 90.838 -100.0004
156.005870 90.829 -99.8052
156.372081 90.819 -99.6100
156.738292 90.810 -99.4150
157.104503 90.800 -99.2204
157.470714 90.790 -99.0264
157.836925 90.780 -98.8332
158.203136 90.770 -98.6409
158.569347 90.761 -98.4495
158.935558 90.751 -98.2591
159.301769 90.742 -98.0700
159.667980 90.732 -97.8821
160.034191 90.724 -97.6956
160.400402 90.715 -97.5104
160.766613 90.706 -97.3266
161.132824 90.698 -97.1441
161.499035 90.690 -96.9629
161.865246 90.683 -96.7828
162.231457 90.675 -96.6038
162.597668 90.667 -96.4254
