* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 9, 24 11:46:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DUNU Kima 2 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 42.812 12.9787
0.368865 42.831 13.0196
0.371538 42.858 13.0806
0.374230 42.891 13.1565
0.376942 42.929 13.2430
0.379673 42.970 13.3369
0.382424 43.012 13.4361
0.385196 43.055 13.5393
0.387987 43.099 13.6458
0.390798 43.144 13.7552
0.393630 43.189 13.8671
0.396483 43.234 13.9816
0.399356 43.280 14.0986
0.402250 43.326 14.2179
0.405165 43.373 14.3396
0.408101 43.420 14.4636
0.411058 43.467 14.5899
0.414037 43.514 14.7185
0.417037 43.562 14.8494
0.420059 43.610 14.9826
0.423103 43.659 15.1180
0.426169 43.708 15.2555
0.429257 43.757 15.3953
0.432368 43.807 15.5371
0.435501 43.856 15.6811
0.438656 43.907 15.8271
0.441835 43.957 15.9752
0.445037 44.008 16.1252
0.448262 44.060 16.2772
0.451510 44.112 16.4311
0.454782 44.164 16.5868
0.458077 44.216 16.7443
0.461397 44.269 16.9035
0.464740 44.323 17.0645
0.468108 44.376 17.2270
0.471500 44.430 17.3911
0.474917 44.485 17.5566
0.478358 44.540 17.7236
0.481825 44.595 17.8920
0.485316 44.651 18.0616
0.488833 44.707 18.2324
0.492375 44.763 18.4043
0.495943 44.820 18.5772
0.499537 44.877 18.7511
0.503157 44.935 18.9259
0.506803 44.993 19.1013
0.510475 45.052 19.2775
0.514175 45.111 19.4542
0.517900 45.170 19.6314
0.521653 45.230 19.8089
0.525434 45.290 19.9867
0.529241 45.351 20.1646
0.533076 45.412 20.3426
0.536939 45.474 20.5204
0.540830 45.536 20.6980
0.544749 45.598 20.8754
0.548696 45.661 21.0522
0.552673 45.725 21.2285
0.556677 45.788 21.4041
0.560711 45.853 21.5788
0.564774 45.918 21.7526
0.568867 45.983 21.9253
0.572989 46.049 22.0968
0.577141 46.115 22.2668
0.581324 46.182 22.4354
0.585536 46.249 22.6024
0.589779 46.316 22.7675
0.594053 46.384 22.9308
0.598358 46.453 23.0919
0.602694 46.522 23.2509
0.607061 46.592 23.4075
0.611460 46.662 23.5617
0.615891 46.733 23.7132
0.620354 46.804 23.8619
0.624849 46.876 24.0078
0.629377 46.948 24.1506
0.633938 47.021 24.2902
0.638532 47.094 24.4265
0.643159 47.168 24.5593
0.647819 47.242 24.6885
0.652514 47.317 24.8140
0.657242 47.392 24.9357
0.662005 47.468 25.0534
0.666802 47.545 25.1669
0.671634 47.622 25.2763
0.676501 47.699 25.3813
0.681403 47.778 25.4818
0.686341 47.856 25.5778
0.691314 47.936 25.6691
0.696324 48.016 25.7557
0.701370 48.096 25.8376
0.706452 48.178 25.9146
0.711571 48.260 25.9871
0.716728 48.344 26.0552
0.721921 48.428 26.1193
0.727153 48.515 26.1803
0.732422 48.604 26.2389
0.737729 48.694 26.2965
0.743075 48.788 26.3540
0.748460 48.883 26.4122
0.753883 48.980 26.4718
0.759346 49.078 26.5328
0.764849 49.179 26.5954
0.770391 49.281 26.6593
0.775974 49.384 26.7245
0.781597 49.488 26.7905
0.787261 49.594 26.8572
0.792966 49.702 26.9242
0.798712 49.810 26.9913
0.804500 49.921 27.0581
0.810329 50.032 27.1242
0.816201 50.145 27.1895
0.822116 50.259 27.2537
0.828073 50.374 27.3163
0.834074 50.491 27.3772
0.840118 50.608 27.4360
0.846206 50.728 27.4926
0.852338 50.848 27.5465
0.858514 50.969 27.5975
0.864735 51.092 27.6454
0.871001 51.216 27.6899
0.877313 51.341 27.7307
0.883670 51.467 27.7676
0.890074 51.594 27.8004
0.896524 51.722 27.8287
0.903020 51.851 27.8524
0.909564 51.982 27.8712
0.916155 52.113 27.8849
0.922794 52.245 27.8933
0.929481 52.378 27.8962
0.936216 52.512 27.8932
0.943000 52.646 27.8844
0.949834 52.782 27.8693
0.956717 52.918 27.8479
0.963649 53.055 27.8199
0.970632 53.192 27.7852
0.977666 53.330 27.7436
0.984750 53.468 27.6948
0.991886 53.607 27.6388
0.999074 53.746 27.5753
1.006314 53.886 27.5043
1.013606 54.026 27.4254
1.020951 54.166 27.3387
1.028349 54.306 27.2439
1.035801 54.447 27.1409
1.043307 54.587 27.0296
1.050867 54.727 26.9101
1.058482 54.867 26.7822
1.066152 55.007 26.6460
1.073878 55.147 26.5020
1.081660 55.286 26.3505
1.089498 55.426 26.1924
1.097393 55.565 26.0288
1.105345 55.704 25.8612
1.113355 55.843 25.6910
1.121423 55.983 25.5192
1.129549 56.123 25.3466
1.137734 56.263 25.1737
1.145979 56.403 25.0006
1.154283 56.544 24.8273
1.162647 56.685 24.6536
1.171072 56.827 24.4794
1.179558 56.969 24.3045
1.188106 57.111 24.1286
1.196715 57.254 23.9514
1.205387 57.397 23.7727
1.214122 57.541 23.5923
1.222920 57.684 23.4098
1.231782 57.828 23.2251
1.240708 57.973 23.0379
1.249699 58.117 22.8480
1.258754 58.262 22.6551
1.267876 58.408 22.4589
1.277063 58.553 22.2593
1.286318 58.699 22.0560
1.295639 58.845 21.8487
1.305027 58.991 21.6373
1.314484 59.138 21.4214
1.324009 59.285 21.2010
1.333604 59.431 20.9757
1.343268 59.579 20.7453
1.353002 59.726 20.5095
1.362806 59.873 20.2683
1.372681 60.021 20.0213
1.382628 60.169 19.7684
1.392647 60.316 19.5094
1.402739 60.464 19.2441
1.412904 60.612 18.9724
1.423142 60.760 18.6943
1.433455 60.908 18.4099
1.443843 61.056 18.1197
1.454305 61.204 17.8243
1.464844 61.352 17.5246
1.475459 61.500 17.2216
1.486150 61.648 16.9166
1.496920 61.795 16.6103
1.507767 61.942 16.3033
1.518693 62.090 15.9958
1.529698 62.237 15.6878
1.540783 62.383 15.3793
1.551948 62.530 15.0700
1.563194 62.676 14.7596
1.574521 62.822 14.4479
1.585931 62.968 14.1346
1.597423 63.114 13.8192
1.608999 63.260 13.5016
1.620658 63.405 13.1813
1.632402 63.551 12.8581
1.644232 63.696 12.5316
1.656146 63.841 12.2015
1.668147 63.986 11.8674
1.680235 64.130 11.5291
1.692411 64.275 11.1862
1.704675 64.419 10.8383
1.717028 64.564 10.4852
1.729470 64.708 10.1266
1.742003 64.853 9.7620
1.754626 64.997 9.3913
1.767341 65.141 9.0141
1.780147 65.285 8.6303
1.793047 65.430 8.2399
1.806040 65.574 7.8428
1.819128 65.718 7.4393
1.832310 65.861 7.0301
1.845587 66.005 6.6156
1.858961 66.148 6.1968
1.872432 66.291 5.7742
1.886001 66.433 5.3484
1.899667 66.575 4.9198
1.913433 66.716 4.4886
1.927299 66.857 4.0551
1.941265 66.998 3.6192
1.955332 67.138 3.1812
1.969501 67.277 2.7410
1.983773 67.416 2.2986
1.998148 67.555 1.8541
2.012627 67.693 1.4072
2.027212 67.831 0.9581
2.041902 67.968 0.5066
2.056698 68.106 0.0525
2.071602 68.242 -0.4042
2.086614 68.379 -0.8638
2.101734 68.515 -1.3263
2.116964 68.651 -1.7920
2.132304 68.787 -2.2611
2.147756 68.923 -2.7337
2.163320 69.058 -3.2101
2.178996 69.193 -3.6904
2.194786 69.328 -4.1747
2.210690 69.462 -4.6630
2.226710 69.596 -5.1552
2.242845 69.729 -5.6511
2.259098 69.862 -6.1503
2.275468 69.994 -6.6527
2.291957 70.125 -7.1580
2.308566 70.256 -7.6657
2.325295 70.385 -8.1758
2.342145 70.515 -8.6878
2.359117 70.643 -9.2017
2.376212 70.771 -9.7172
2.393431 70.899 -10.2342
2.410775 71.026 -10.7525
2.428244 71.153 -11.2721
2.445840 71.279 -11.7928
2.463564 71.404 -12.3148
2.481416 71.530 -12.8381
2.499397 71.654 -13.3626
2.517509 71.779 -13.8887
2.535752 71.903 -14.4167
2.554127 72.026 -14.9467
2.572635 72.149 -15.4794
2.591277 72.272 -16.0149
2.610055 72.393 -16.5536
2.628968 72.514 -17.0953
2.648019 72.634 -17.6399
2.667208 72.754 -18.1871
2.686535 72.872 -18.7366
2.706003 72.990 -19.2880
2.725612 73.107 -19.8407
2.745363 73.223 -20.3945
2.765257 73.339 -20.9490
2.785295 73.454 -21.5038
2.805478 73.569 -22.0586
2.825808 73.683 -22.6133
2.846285 73.796 -23.1675
2.866910 73.909 -23.7215
2.887685 74.022 -24.2751
2.908611 74.134 -24.8288
2.929688 74.245 -25.3830
2.950917 74.356 -25.9383
2.972301 74.466 -26.4951
2.993839 74.575 -27.0538
3.015534 74.684 -27.6143
3.037386 74.791 -28.1765
3.059396 74.898 -28.7400
3.081565 75.004 -29.3045
3.103896 75.110 -29.8693
3.126388 75.214 -30.4342
3.149043 75.318 -30.9985
3.171862 75.422 -31.5619
3.194847 75.525 -32.1241
3.217998 75.627 -32.6847
3.241317 75.729 -33.2436
3.264805 75.830 -33.8010
3.288463 75.931 -34.3572
3.312293 76.031 -34.9126
3.336295 76.131 -35.4679
3.360471 76.230 -36.0233
3.384822 76.328 -36.5790
3.409350 76.425 -37.1350
3.434056 76.522 -37.6912
3.458940 76.618 -38.2470
3.484005 76.713 -38.8023
3.509252 76.808 -39.3565
3.534681 76.903 -39.9094
3.560295 76.996 -40.4604
3.586094 77.090 -41.0095
3.612081 77.183 -41.5564
3.638255 77.275 -42.1012
3.664620 77.367 -42.6442
3.691175 77.459 -43.1858
3.717923 77.550 -43.7262
3.744864 77.641 -44.2658
3.772001 77.731 -44.8047
3.799335 77.820 -45.3428
3.826866 77.909 -45.8800
3.854597 77.997 -46.4160
3.882529 78.085 -46.9508
3.910664 78.173 -47.4840
3.939002 78.260 -48.0154
3.967546 78.347 -48.5449
3.996296 78.433 -49.0724
4.025255 78.520 -49.5982
4.054423 78.606 -50.1223
4.083804 78.691 -50.6450
4.113396 78.776 -51.1665
4.143204 78.861 -51.6870
4.173227 78.946 -52.2066
4.203468 79.030 -52.7251
4.233928 79.113 -53.2426
4.264609 79.197 -53.7591
4.295512 79.280 -54.2744
4.326639 79.363 -54.7887
4.357992 79.446 -55.3019
4.389572 79.528 -55.8140
4.421380 79.610 -56.3253
4.453419 79.692 -56.8359
4.485691 79.774 -57.3459
4.518196 79.855 -57.8553
4.550936 79.936 -58.3644
4.583914 80.017 -58.8729
4.617131 80.097 -59.3811
4.650589 80.177 -59.8889
4.684289 80.257 -60.3964
4.718233 80.337 -60.9037
4.752424 80.416 -61.4108
4.786862 80.495 -61.9179
4.821549 80.574 -62.4251
4.856488 80.652 -62.9324
4.891680 80.730 -63.4400
4.927127 80.808 -63.9478
4.962831 80.885 -64.4557
4.998794 80.962 -64.9636
5.035017 81.039 -65.4717
5.071503 81.115 -65.9800
5.108253 81.191 -66.4884
5.145270 81.266 -66.9972
5.182555 81.341 -67.5066
5.220110 81.416 -68.0164
5.257937 81.490 -68.5268
5.296038 81.563 -69.0376
5.334415 81.636 -69.5486
5.373071 81.709 -70.0597
5.412006 81.781 -70.5707
5.451224 81.853 -71.0817
5.490725 81.924 -71.5926
5.530514 81.994 -72.1037
5.570590 82.064 -72.6149
5.610957 82.134 -73.1264
5.651616 82.202 -73.6379
5.692570 82.271 -74.1493
5.733821 82.338 -74.6603
5.775370 82.405 -75.1706
5.817221 82.472 -75.6803
5.859375 82.538 -76.1892
5.901834 82.603 -76.6974
5.944602 82.668 -77.2051
5.987679 82.732 -77.7121
6.031068 82.795 -78.2185
6.074771 82.858 -78.7239
6.118792 82.920 -79.2282
6.163131 82.982 -79.7312
6.207792 83.043 -80.2328
6.252776 83.104 -80.7330
6.298086 83.164 -81.2319
6.343725 83.223 -81.7296
6.389694 83.282 -82.2260
6.435996 83.341 -82.7210
6.482634 83.399 -83.2145
6.529610 83.456 -83.7064
6.576926 83.513 -84.1967
6.624585 83.569 -84.6854
6.672590 83.625 -85.1726
6.720942 83.681 -85.6583
6.769645 83.736 -86.1426
6.818700 83.790 -86.6254
