* Measurement data measured by REW V5.31
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 17, 2024 12:09:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Deuce xBass+Bass R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 106.223 150.3263
20.287556 106.204 150.0103
20.434568 106.175 149.5565
20.582645 106.141 149.0468
20.731796 106.104 148.5177
20.882027 106.065 147.9817
21.033346 106.025 147.4422
21.185763 105.985 146.8996
21.339284 105.946 146.3529
21.493917 105.907 145.8017
21.649671 105.870 145.2455
21.806553 105.832 144.6843
21.964572 105.795 144.1187
22.123737 105.758 143.5499
22.284054 105.721 142.9795
22.445534 105.683 142.4099
22.608183 105.644 141.8432
22.772012 105.605 141.2822
22.937027 105.563 140.7291
23.103238 105.521 140.1857
23.270654 105.478 139.6532
23.439282 105.434 139.1318
23.609133 105.389 138.6207
23.780215 105.345 138.1180
23.952536 105.300 137.6211
24.126106 105.256 137.1269
24.300934 105.212 136.6320
24.477028 105.168 136.1335
24.654399 105.123 135.6289
24.833055 105.078 135.1172
25.013005 105.032 134.5984
25.194260 104.985 134.0737
25.376828 104.936 133.5460
25.560719 104.885 133.0183
25.745942 104.833 132.4943
25.932508 104.779 131.9771
26.120426 104.725 131.4689
26.309705 104.671 130.9703
26.500356 104.618 130.4803
26.692388 104.567 129.9963
26.885812 104.517 129.5137
27.080638 104.470 129.0281
27.276876 104.424 128.5346
27.474535 104.379 128.0296
27.673627 104.334 127.5115
27.874161 104.288 126.9812
28.076149 104.240 126.4416
28.279600 104.189 125.8985
28.484526 104.135 125.3582
28.690937 104.076 124.8281
28.898843 104.015 124.3138
29.108256 103.951 123.8197
29.319186 103.885 123.3469
29.531645 103.818 122.8940
29.745644 103.753 122.4566
29.961193 103.688 122.0287
30.178304 103.625 121.6030
30.396989 103.563 121.1731
30.617258 103.504 120.7331
30.839123 103.445 120.2791
31.062596 103.387 119.8093
31.287688 103.330 119.3237
31.514412 103.271 118.8243
31.742778 103.212 118.3145
31.972800 103.151 117.7994
32.204488 103.088 117.2851
32.437855 103.022 116.7782
32.672913 102.954 116.2853
32.909674 102.884 115.8112
33.148151 102.812 115.3587
33.388356 102.741 114.9264
33.630302 102.671 114.5094
33.874001 102.602 114.0991
34.119466 102.537 113.6855
34.366710 102.473 113.2596
34.615745 102.409 112.8155
34.866585 102.346 112.3522
35.119243 102.281 111.8737
35.373731 102.213 111.3883
35.630064 102.143 110.9052
35.888254 102.070 110.4323
36.148315 101.997 109.9742
36.410261 101.923 109.5310
36.674104 101.849 109.0997
36.939860 101.776 108.6752
37.207542 101.704 108.2528
37.477163 101.631 107.8296
37.748738 101.558 107.4046
38.022281 101.485 106.9780
38.297806 101.411 106.5501
38.575327 101.337 106.1208
38.854860 101.263 105.6896
39.136419 101.188 105.2564
39.420017 101.112 104.8226
39.705671 101.033 104.3914
39.993395 100.953 103.9672
40.283203 100.871 103.5540
40.575112 100.788 103.1544
40.869136 100.705 102.7678
41.165290 100.623 102.3910
41.463591 100.541 102.0194
41.764053 100.461 101.6483
42.066693 100.380 101.2740
42.371525 100.300 100.8951
42.678567 100.219 100.5119
42.987834 100.136 100.1262
43.299341 100.053 99.7404
43.613106 99.969 99.3568
43.929145 99.885 98.9767
44.247473 99.803 98.5995
44.568109 99.722 98.2229
44.891068 99.645 97.8431
45.216367 99.570 97.4565
45.544023 99.496 97.0602
45.874054 99.423 96.6527
46.206476 99.348 96.2330
46.541307 99.270 95.8000
46.878565 99.187 95.3537
47.218266 99.098 94.8971
47.560429 99.002 94.4403
47.905072 98.899 94.0002
48.252212 98.792 93.5964
48.601867 98.684 93.2413
48.954056 98.582 92.9313
49.308798 98.489 92.6430
49.666109 98.406 92.3416
50.026010 98.329 91.9975
50.388520 98.252 91.6026
50.753656 98.169 91.1767
51.121437 98.077 90.7577
51.491884 97.978 90.3829
51.865016 97.877 90.0699
52.240851 97.778 89.8098
52.619410 97.683 89.5765
53.000712 97.589 89.3440
53.384777 97.493 89.0996
53.771625 97.392 88.8428
54.161276 97.288 88.5764
54.553751 97.183 88.2981
54.949070 97.079 88.0045
55.347254 96.977 87.7012
55.748323 96.875 87.4074
56.152298 96.775 87.1445
56.559201 96.677 86.9162
56.969052 96.580 86.6977
57.381873 96.479 86.4493
57.797686 96.370 86.1453
58.216512 96.249 85.7939
58.638373 96.123 85.4292
59.063291 96.006 85.0845
59.491288 95.912 84.7728
59.922386 95.848 84.4949
60.356608 95.811 84.2677
60.793977 95.787 84.1401
61.234515 95.765 84.1776
61.678246 95.734 84.4245
62.125192 95.691 84.8680
62.575377 95.631 85.4217
63.028824 95.551 85.9363
63.485557 95.442 86.2359
63.945599 95.293 86.1685
64.408975 95.097 85.6554
64.875709 94.858 84.7097
65.345825 94.598 83.4239
65.819348 94.352 81.9493
66.296302 94.155 80.4870
66.776713 94.026 79.2725
67.260604 93.966 78.5178
67.748002 93.957 78.3091
68.238932 93.970 78.5397
68.733420 93.964 78.9619
69.231490 93.904 79.3271
69.733170 93.772 79.4900
70.238485 93.586 79.4006
70.747463 93.390 79.0514
71.260128 93.227 78.4768
71.776508 93.117 77.7979
72.296630 93.049 77.2135
72.820521 92.998 76.8945
73.348209 92.937 76.8775
73.879720 92.848 77.0542
74.415083 92.728 77.2507
74.954326 92.589 77.3226
75.497475 92.453 77.2146
76.044561 92.332 76.9827
76.595612 92.228 76.7659
77.150655 92.130 76.6932
77.709720 92.027 76.7927
78.272837 91.909 76.9772
78.840034 91.771 77.1203
79.411342 91.618 77.1493
79.986789 91.462 77.0687
80.566406 91.315 76.9173
81.150224 91.179 76.7242
81.738272 91.048 76.5021
82.330581 90.917 76.2563
82.927182 90.786 75.9873
83.528107 90.660 75.7039
84.133386 90.539 75.4531
84.743051 90.419 75.3163
85.357134 90.297 75.3343
85.975667 90.176 75.4436
86.598682 90.055 75.5161
87.226212 89.928 75.4746
87.858289 89.793 75.3495
88.494946 89.652 75.2287
89.136217 89.515 75.1528
89.782135 89.383 75.0632
90.432733 89.251 74.8789
91.088046 89.108 74.6359
91.748108 88.959 74.4921
92.412952 88.823 74.5483
93.082615 88.710 74.7370
93.757130 88.608 74.9302
94.436533 88.498 75.0721
95.120859 88.374 75.1538
95.810144 88.242 75.1681
96.504423 88.106 75.1377
97.203734 87.968 75.1152
97.908112 87.832 75.1349
98.617595 87.697 75.1904
99.332219 87.568 75.2480
100.052021 87.445 75.2828
100.777039 87.325 75.3276
101.507311 87.200 75.4456
102.242875 87.062 75.6307
102.983769 86.908 75.7870
103.730032 86.744 75.8400
104.481702 86.586 75.8351
105.238820 86.450 75.9012
106.001424 86.337 76.1167
106.769554 86.235 76.4256
107.543250 86.128 76.7066
108.322553 86.013 76.8999
109.107503 85.889 77.0169
109.898141 85.752 77.0948
110.694508 85.598 77.2255
111.496646 85.451 77.5391
112.304596 85.326 78.1927
113.118402 85.206 79.3654
113.938104 85.063 80.8788
114.763747 84.878 82.0389
115.595372 84.657 82.3694
116.433024 84.471 82.0157
117.276746 84.373 81.3350
118.126581 84.316 80.6817
118.982575 84.233 80.2751
119.844772 84.114 80.0722
120.713217 83.980 80.0510
121.587954 83.854 80.2850
122.469031 83.735 80.6937
123.356492 83.612 81.1110
124.250384 83.490 81.4717
125.150753 83.378 81.8019
126.057647 83.272 82.1310
126.971113 83.161 82.4516
127.891198 83.044 82.7616
128.817950 82.928 83.1060
129.751418 82.813 83.5191
130.691651 82.692 83.9457
131.638696 82.562 84.2839
132.592604 82.420 84.5160
133.553425 82.263 84.7436
134.521208 82.096 85.0364
135.496004 81.933 85.3965
136.477864 81.787 85.9141
137.466839 81.664 86.6860
138.462981 81.554 87.5790
139.466340 81.438 88.3047
140.476971 81.294 88.8087
141.494925 81.115 89.1903
142.520256 80.913 89.2484
143.553016 80.724 88.7391
144.593260 80.591 88.0826
145.641043 80.526 88.3832
146.696418 80.511 90.0930
147.759441 80.504 92.3657
148.830166 80.480 94.1079
149.908651 80.449 94.7891
150.994951 80.406 94.8179
152.089123 80.352 95.0019
153.191223 80.284 95.4898
154.301310 80.178 95.9229
155.419441 80.036 96.2039
156.545674 79.891 96.5178
157.680069 79.765 96.9841
158.822683 79.655 97.5464
159.973578 79.550 98.1072
161.132813 79.450 98.6527
162.300447 79.357 99.1750
163.476543 79.266 99.6685
164.661162 79.172 100.1624
165.854364 79.082 100.6865
167.056213 78.997 101.2664
168.266772 78.915 101.9291
169.486102 78.833 102.6427
170.714268 78.750 103.3312
171.951334 78.665 103.9653
173.197364 78.579 104.5718
174.452424 78.492 105.2082
175.716578 78.408 105.9055
176.989893 78.328 106.6175
178.272434 78.252 107.2968
179.564270 78.178 107.9673
180.865467 78.106 108.6745
182.176092 78.036 109.4132
183.496216 77.971 110.1569
184.825905 77.910 110.8976
186.165229 77.852 111.6231
187.514259 77.797 112.3309
188.873065 77.744 113.0463
190.241717 77.690 113.7787
191.620287 77.635 114.4890
193.008847 77.584 115.1483
194.407468 77.540 115.7778
195.816225 77.502 116.3989
197.235190 77.467 117.0096
198.664438 77.436 117.6176
200.104042 77.405 118.2117
201.554078 77.364 118.7356
203.014622 77.308 119.2343
204.485750 77.250 119.8072
205.967538 77.201 120.4399
207.460064 77.163 121.0924
208.963405 77.128 121.7533
210.477640 77.086 122.4234
212.002848 77.042 123.0974
213.539108 76.998 123.7683
215.086500 76.958 124.4286
216.645105 76.919 125.0722
218.215005 76.881 125.7038
219.796281 76.841 126.3274
221.389015 76.800 126.9440
222.993292 76.760 127.5599
224.609193 76.722 128.1910
226.236804 76.685 128.8319
227.876209 76.651 129.4728
229.527494 76.627 130.1129
231.190745 76.618 130.7599
232.866048 76.611 131.4587
234.553491 76.589 132.1869
236.253163 76.554 132.9250
237.965150 76.517 133.6907
239.689544 76.495 134.4242
241.426433 76.497 135.0245
243.175909 76.519 135.5179
244.938062 76.542 135.9984
246.712984 76.559 136.4852
248.500768 76.568 136.9515
250.301507 76.572 137.3847
252.115295 76.576 137.8054
253.942226 76.578 138.2433
255.782396 76.579 138.7074
257.635901 76.577 139.1750
259.502837 76.564 139.6065
261.383301 76.542 139.9881
263.277392 76.523 140.3473
265.185209 76.509 140.7124
267.106850 76.498 141.0858
269.042417 76.487 141.4938
270.992009 76.474 141.9922
272.955729 76.457 142.5680
274.933678 76.440 143.1011
276.925961 76.430 143.4694
278.932681 76.426 143.7270
280.953942 76.423 144.0102
282.989850 76.418 144.3768
285.040511 76.412 144.8033
287.106032 76.406 145.2288
289.186521 76.396 145.6144
291.282086 76.382 145.9685
293.392836 76.366 146.3328
295.518881 76.349 146.7285
297.660333 76.333 147.1563
299.817302 76.316 147.6139
301.989902 76.297 148.0802
304.178245 76.277 148.5328
306.382446 76.258 148.9524
308.602620 76.242 149.3252
310.838882 76.230 149.6720
313.091348 76.220 150.0322
315.360137 76.210 150.4117
317.645367 76.199 150.8113
319.947156 76.186 151.2316
322.265625 76.174 151.6657
324.600895 76.166 152.0995
326.953086 76.157 152.5257
329.322323 76.144 152.9664
331.708729 76.129 153.4374
334.112427 76.114 153.9351
336.533543 76.102 154.4688
338.972204 76.087 155.0690
341.428536 76.071 155.7055
343.902668 76.056 156.2898
346.394729 76.049 156.8037
348.904848 76.055 157.2993
351.433156 76.077 157.7755
353.979786 76.109 158.2356
356.544869 76.143 158.7132
359.128540 76.179 159.1929
361.730934 76.217 159.6199
364.352185 76.254 159.9587
366.992431 76.286 160.1962
369.651810 76.311 160.3385
372.330459 76.329 160.4261
375.028519 76.340 160.5166
377.746130 76.344 160.6313
380.483434 76.343 160.7765
383.240574 76.338 160.9545
386.017693 76.331 161.1553
388.814937 76.325 161.3802
391.632450 76.318 161.6223
394.470380 76.310 161.8713
397.328875 76.302 162.1340
400.208084 76.295 162.4151
403.108157 76.287 162.7101
406.029245 76.279 162.9987
408.971500 76.270 163.2816
