* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 21, 2023 2:55:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Etymotic ER3SE L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 85.775 -146.9028
20.507813 85.786 -147.0707
20.874023 85.813 -147.5065
21.240234 85.838 -147.9288
21.606445 85.862 -148.3266
21.972656 85.890 -148.7430
22.338867 85.920 -149.1788
22.705078 85.951 -149.6204
23.071289 85.979 -150.0469
23.437500 86.005 -150.4345
23.803711 86.031 -150.7737
24.169922 86.058 -151.0768
24.536133 86.084 -151.3699
24.902344 86.107 -151.6737
25.268555 86.121 -151.9865
25.634766 86.126 -152.2858
26.000977 86.126 -152.5486
26.367188 86.130 -152.7758
26.733399 86.146 -153.0009
27.099610 86.174 -153.2714
27.465821 86.211 -153.6172
27.832032 86.247 -154.0268
28.198243 86.276 -154.4514
28.564454 86.295 -154.8339
28.930665 86.308 -155.1421
29.296876 86.319 -155.3851
29.663087 86.332 -155.6014
30.029298 86.344 -155.8310
30.395509 86.354 -156.0907
30.761720 86.363 -156.3704
31.127931 86.371 -156.6476
31.494142 86.383 -156.9081
31.860353 86.401 -157.1546
32.226563 86.422 -157.3980
32.592774 86.441 -157.6427
32.958985 86.454 -157.8773
33.325196 86.458 -158.0826
33.691407 86.458 -158.2504
34.057618 86.461 -158.3969
34.423829 86.471 -158.5582
34.790040 86.488 -158.7657
35.156251 86.509 -159.0179
35.522462 86.527 -159.2703
35.888673 86.540 -159.4537
36.254884 86.549 -159.5140
36.621095 86.562 -159.4485
36.987306 86.581 -159.3151
37.353517 86.605 -159.2070
37.719728 86.629 -159.2083
38.085939 86.644 -159.3574
38.452150 86.647 -159.6385
38.818361 86.639 -160.0008
39.184572 86.626 -160.3881
39.550783 86.617 -160.7598
39.916994 86.616 -161.0936
40.283205 86.622 -161.3766
40.649416 86.632 -161.5982
41.015627 86.642 -161.7529
41.381838 86.651 -161.8482
41.748049 86.658 -161.9086
42.114260 86.665 -161.9690
42.480471 86.670 -162.0588
42.846682 86.673 -162.1889
43.212893 86.676 -162.3506
43.579103 86.680 -162.5248
43.945314 86.687 -162.6948
44.311525 86.697 -162.8520
44.677736 86.708 -162.9927
45.043947 86.716 -163.1114
45.410158 86.719 -163.2002
45.776369 86.718 -163.2542
46.142580 86.715 -163.2805
46.508791 86.713 -163.3008
46.875002 86.714 -163.3440
47.241213 86.720 -163.4321
47.607424 86.728 -163.5697
47.973635 86.735 -163.7422
48.339846 86.742 -163.9247
48.706057 86.748 -164.0942
49.072268 86.754 -164.2382
49.438479 86.761 -164.3559
49.804690 86.769 -164.4538
50.170901 86.777 -164.5406
50.537112 86.784 -164.6236
50.903323 86.790 -164.7083
51.269534 86.796 -164.7984
51.635745 86.801 -164.8958
52.001956 86.805 -164.9993
52.368167 86.809 -165.1055
52.734378 86.811 -165.2094
53.100589 86.814 -165.3070
53.466800 86.816 -165.3971
53.833011 86.819 -165.4816
54.199222 86.822 -165.5643
54.565432 86.827 -165.6494
54.931643 86.831 -165.7400
55.297854 86.836 -165.8365
55.664065 86.840 -165.9363
56.030276 86.843 -166.0343
56.396487 86.845 -166.1246
56.762698 86.847 -166.2034
57.128909 86.848 -166.2706
57.495120 86.850 -166.3308
57.861331 86.853 -166.3909
58.227542 86.856 -166.4572
58.593753 86.860 -166.5332
58.959964 86.863 -166.6182
59.326175 86.866 -166.7088
59.692386 86.868 -166.8002
60.058597 86.871 -166.8876
60.424808 86.873 -166.9672
60.791019 86.875 -167.0358
61.157230 86.877 -167.0917
61.523441 86.879 -167.1355
61.889652 86.880 -167.1709
62.255863 86.883 -167.2035
62.622074 86.885 -167.2395
62.988285 86.888 -167.2824
63.354496 86.891 -167.3320
63.720707 86.893 -167.3846
64.086918 86.896 -167.4358
64.453129 86.898 -167.4838
64.819340 86.901 -167.5305
65.185551 86.905 -167.5809
65.551762 86.909 -167.6405
65.917972 86.911 -167.7117
66.284183 86.912 -167.7928
66.650394 86.911 -167.8792
67.016605 86.909 -167.9658
67.382816 86.908 -168.0495
67.749027 86.908 -168.1290
68.115238 86.910 -168.2034
68.481449 86.912 -168.2709
68.847660 86.916 -168.3280
69.213871 86.919 -168.3716
69.580082 86.923 -168.4014
69.946293 86.926 -168.4213
70.312504 86.929 -168.4382
70.678715 86.931 -168.4593
71.044926 86.932 -168.4892
71.411137 86.932 -168.5280
71.777348 86.931 -168.5732
72.143559 86.929 -168.6211
72.509770 86.929 -168.6700
72.875981 86.929 -168.7198
73.242192 86.931 -168.7715
73.608403 86.933 -168.8254
73.974614 86.935 -168.8803
74.340825 86.936 -168.9336
74.707036 86.936 -168.9832
75.073247 86.937 -169.0280
75.439458 86.937 -169.0691
75.805669 86.938 -169.1082
76.171880 86.939 -169.1474
76.538091 86.941 -169.1877
76.904301 86.943 -169.2288
77.270512 86.944 -169.2700
77.636723 86.945 -169.3106
78.002934 86.947 -169.3506
78.369145 86.947 -169.3906
78.735356 86.948 -169.4318
79.101567 86.949 -169.4746
79.467778 86.950 -169.5189
79.833989 86.952 -169.5636
80.200200 86.954 -169.6075
80.566411 86.956 -169.6495
80.932622 86.959 -169.6892
81.298833 86.961 -169.7270
81.665044 86.964 -169.7633
82.031255 86.966 -169.7987
82.397466 86.967 -169.8333
82.763677 86.968 -169.8669
83.129888 86.969 -169.8994
83.496099 86.970 -169.9309
83.862310 86.971 -169.9620
84.228521 86.972 -169.9932
84.594732 86.974 -170.0248
84.960943 86.975 -170.0571
85.327154 86.976 -170.0897
85.693365 86.977 -170.1224
86.059576 86.977 -170.1547
86.425787 86.977 -170.1867
86.791998 86.977 -170.2182
87.158209 86.977 -170.2495
87.524420 86.977 -170.2808
87.890631 86.977 -170.3123
88.256841 86.977 -170.3441
88.623052 86.978 -170.3760
88.989263 86.979 -170.4078
89.355474 86.979 -170.4391
89.721685 86.980 -170.4692
90.087896 86.981 -170.4979
90.454107 86.982 -170.5253
90.820318 86.982 -170.5516
91.186529 86.983 -170.5772
91.552740 86.984 -170.6026
91.918951 86.985 -170.6280
92.285162 86.986 -170.6535
92.651373 86.987 -170.6791
93.017584 86.987 -170.7044
93.383795 86.988 -170.7294
93.750006 86.988 -170.7542
94.116217 86.989 -170.7787
94.482428 86.989 -170.8033
94.848639 86.989 -170.8278
95.214850 86.990 -170.8526
95.581061 86.990 -170.8775
95.947272 86.990 -170.9025
96.313483 86.991 -170.9274
96.679694 86.991 -170.9519
97.045905 86.991 -170.9757
97.412116 86.992 -170.9987
97.778327 86.992 -171.0206
98.144538 86.993 -171.0415
98.510749 86.993 -171.0614
98.876960 86.993 -171.0807
99.243170 86.993 -171.0997
99.609381 86.993 -171.1187
99.975592 86.994 -171.1380
100.341803 86.994 -171.1577
100.708014 86.994 -171.1780
101.074225 86.994 -171.1988
101.440436 86.994 -171.2199
101.806647 86.994 -171.2411
102.172858 86.994 -171.2620
102.539069 86.994 -171.2823
102.905280 86.994 -171.3018
103.271491 86.995 -171.3205
103.637702 86.995 -171.3387
104.003913 86.995 -171.3565
104.370124 86.996 -171.3746
104.736335 86.996 -171.3931
105.102546 86.996 -171.4122
105.468757 86.997 -171.4320
105.834968 86.997 -171.4521
106.201179 86.997 -171.4724
106.567390 86.998 -171.4923
106.933601 86.998 -171.5117
107.299812 86.998 -171.5301
107.666023 86.998 -171.5474
108.032234 86.998 -171.5636
108.398445 86.998 -171.5786
108.764656 86.998 -171.5928
109.130867 86.998 -171.6066
109.497078 86.999 -171.6203
109.863289 86.999 -171.6344
110.229500 87.000 -171.6488
110.595710 87.000 -171.6637
110.961921 87.000 -171.6789
111.328132 87.001 -171.6939
111.694343 87.001 -171.7087
112.060554 87.001 -171.7231
112.426765 87.001 -171.7372
112.792976 87.001 -171.7512
113.159187 87.001 -171.7655
113.525398 87.001 -171.7804
113.891609 87.000 -171.7962
114.257820 87.000 -171.8129
114.624031 87.000 -171.8303
114.990242 86.999 -171.8481
115.356453 86.999 -171.8658
115.722664 86.998 -171.8831
116.088875 86.998 -171.8994
116.455086 86.998 -171.9148
116.821297 86.998 -171.9291
117.187508 86.998 -171.9426
117.553719 86.998 -171.9557
117.919930 86.998 -171.9686
118.286141 86.998 -171.9815
118.652352 86.998 -171.9947
119.018563 86.998 -172.0079
119.384774 86.999 -172.0210
119.750985 86.999 -172.0339
120.117196 86.999 -172.0463
120.483407 87.000 -172.0581
120.849618 87.001 -172.0693
121.215829 87.001 -172.0799
121.582040 87.002 -172.0901
121.948250 87.002 -172.1001
122.314461 87.002 -172.1100
122.680672 87.002 -172.1202
123.046883 87.002 -172.1308
123.413094 87.002 -172.1417
123.779305 87.001 -172.1528
124.145516 87.001 -172.1641
124.511727 87.000 -172.1751
124.877938 87.000 -172.1856
125.244149 87.000 -172.1955
125.610360 87.000 -172.2049
125.976571 87.000 -172.2137
126.342782 87.000 -172.2223
126.708993 87.000 -172.2309
127.075204 87.000 -172.2397
127.441415 87.000 -172.2487
127.807626 87.000 -172.2580
128.173837 87.001 -172.2675
128.540048 87.001 -172.2770
128.906259 87.001 -172.2866
129.272470 87.001 -172.2960
129.638681 87.001 -172.3052
130.004892 87.001 -172.3143
130.371103 87.001 -172.3231
130.737314 87.001 -172.3318
131.103525 87.001 -172.3405
131.469736 87.001 -172.3493
131.835947 87.001 -172.3582
132.202158 87.001 -172.3672
132.568369 87.000 -172.3765
132.934579 87.000 -172.3860
133.300790 87.000 -172.3956
133.667001 87.000 -172.4050
134.033212 87.000 -172.4144
134.399423 87.000 -172.4234
134.765634 87.000 -172.4321
135.131845 87.000 -172.4404
135.498056 87.000 -172.4483
135.864267 87.000 -172.4559
136.230478 87.000 -172.4632
136.596689 87.000 -172.4704
136.962900 87.000 -172.4774
137.329111 87.000 -172.4844
137.695322 87.000 -172.4914
138.061533 87.000 -172.4984
138.427744 87.000 -172.5054
138.793955 87.000 -172.5123
139.160166 86.999 -172.5190
139.526377 86.999 -172.5256
139.892588 86.999 -172.5319
140.258799 86.999 -172.5379
140.625010 86.998 -172.5438
140.991221 86.998 -172.5494
141.357432 86.998 -172.5549
141.723643 86.998 -172.5603
142.089854 86.997 -172.5655
142.456065 86.997 -172.5705
142.822276 86.997 -172.5755
143.188487 86.997 -172.5803
143.554698 86.996 -172.5851
143.920909 86.996 -172.5899
144.287119 86.996 -172.5947
144.653330 86.996 -172.5995
145.019541 86.996 -172.6045
145.385752 86.996 -172.6095
145.751963 86.996 -172.6144
146.118174 86.996 -172.6194
146.484385 86.996 -172.6241
146.850596 86.995 -172.6287
147.216807 86.995 -172.6331
147.583018 86.995 -172.6373
147.949229 86.995 -172.6414
148.315440 86.994 -172.6452
148.681651 86.994 -172.6490
149.047862 86.993 -172.6528
149.414073 86.993 -172.6565
149.780284 86.992 -172.6604
150.146495 86.992 -172.6642
150.512706 86.991 -172.6682
150.878917 86.991 -172.6721
151.245128 86.990 -172.6761
151.611339 86.990 -172.6801
151.977550 86.989 -172.6841
152.343761 86.989 -172.6880
152.709972 86.989 -172.6918
153.076183 86.989 -172.6955
153.442394 86.989 -172.6991
153.808605 86.988 -172.7026
154.174816 86.988 -172.7059
154.541027 86.988 -172.7091
154.907238 86.988 -172.7123
155.273448 86.988 -172.7154
155.639659 86.988 -172.7184
156.005870 86.988 -172.7215
156.372081 86.988 -172.7245
156.738292 86.988 -172.7275
157.104503 86.988 -172.7305
157.470714 86.988 -172.7334
157.836925 86.987 -172.7362
158.203136 86.987 -172.7390
158.569347 86.987 -172.7418
158.935558 86.986 -172.7445
159.301769 86.986 -172.7472
159.667980 86.985 -172.7498
160.034191 86.985 -172.7525
160.400402 86.985 -172.7551
160.766613 86.985 -172.7577
161.132824 86.984 -172.7602
161.499035 86.984 -172.7627
161.865246 86.984 -172.7652
162.231457 86.984 -172.7675
162.597668 86.983 -172.7698
