* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 21, 2023 2:57:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Etymotic ER3SE R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 85.654 -149.9866
20.507813 85.665 -150.1349
20.874023 85.695 -150.5269
21.240234 85.723 -150.9233
21.606445 85.749 -151.3023
21.972656 85.779 -151.6804
22.338867 85.810 -152.0454
22.705078 85.840 -152.3887
23.071289 85.869 -152.7106
23.437500 85.893 -153.0142
23.803711 85.913 -153.3061
24.169922 85.931 -153.5958
24.536133 85.948 -153.8940
24.902344 85.967 -154.2108
25.268555 85.988 -154.5508
25.634766 86.010 -154.9092
26.000977 86.033 -155.2717
26.367188 86.053 -155.6181
26.733399 86.070 -155.9294
27.099610 86.084 -156.1940
27.465821 86.096 -156.4124
27.832032 86.107 -156.5971
28.198243 86.119 -156.7701
28.564454 86.133 -156.9561
28.930665 86.148 -157.1734
29.296876 86.163 -157.4256
29.663087 86.176 -157.6980
30.029298 86.186 -157.9642
30.395509 86.194 -158.1985
30.761720 86.203 -158.3897
31.127931 86.215 -158.5466
31.494142 86.231 -158.6924
31.860353 86.248 -158.8510
32.226563 86.265 -159.0344
32.592774 86.279 -159.2397
32.958985 86.292 -159.4542
33.325196 86.305 -159.6654
33.691407 86.318 -159.8664
34.057618 86.332 -160.0562
34.423829 86.346 -160.2353
34.790040 86.358 -160.4034
35.156251 86.368 -160.5598
35.522462 86.374 -160.7066
35.888673 86.380 -160.8504
36.254884 86.386 -160.9999
36.621095 86.393 -161.1623
36.987306 86.402 -161.3387
37.353517 86.412 -161.5228
37.719728 86.422 -161.7031
38.085939 86.431 -161.8670
38.452150 86.439 -162.0070
38.818361 86.445 -162.1245
39.184572 86.449 -162.2310
39.550783 86.453 -162.3432
39.916994 86.455 -162.4750
40.283205 86.455 -162.6298
40.649416 86.454 -162.7976
41.015627 86.453 -162.9603
41.381838 86.455 -163.1018
41.748049 86.463 -163.2168
42.114260 86.476 -163.3121
42.480471 86.494 -163.4008
42.846682 86.513 -163.4935
43.212893 86.530 -163.5929
43.579103 86.542 -163.6948
43.945314 86.549 -163.7937
44.311525 86.552 -163.8880
44.677736 86.555 -163.9813
45.043947 86.557 -164.0796
45.410158 86.561 -164.1870
45.776369 86.566 -164.3036
46.142580 86.572 -164.4251
46.508791 86.579 -164.5452
46.875002 86.587 -164.6586
47.241213 86.594 -164.7622
47.607424 86.602 -164.8565
47.973635 86.608 -164.9440
48.339846 86.611 -165.0280
48.706057 86.613 -165.1108
49.072268 86.613 -165.1941
49.438479 86.612 -165.2815
49.804690 86.614 -165.3818
50.170901 86.620 -165.5072
50.537112 86.630 -165.6679
50.903323 86.641 -165.8626
51.269534 86.650 -166.0728
51.635745 86.655 -166.2659
52.001956 86.656 -166.4079
52.368167 86.654 -166.4790
52.734378 86.653 -166.4837
53.100589 86.655 -166.4489
53.466800 86.659 -166.4105
53.833011 86.665 -166.3981
54.199222 86.670 -166.4243
54.565432 86.672 -166.4846
54.931643 86.673 -166.5649
55.297854 86.673 -166.6510
55.664065 86.676 -166.7336
56.030276 86.681 -166.8096
56.396487 86.688 -166.8795
56.762698 86.697 -166.9454
57.128909 86.705 -167.0095
57.495120 86.713 -167.0740
57.861331 86.718 -167.1402
58.227542 86.721 -167.2085
58.593753 86.722 -167.2774
58.959964 86.722 -167.3448
59.326175 86.722 -167.4086
59.692386 86.722 -167.4682
60.058597 86.722 -167.5241
60.424808 86.724 -167.5776
60.791019 86.727 -167.6298
61.157230 86.729 -167.6818
61.523441 86.732 -167.7348
61.889652 86.734 -167.7900
62.255863 86.735 -167.8488
62.622074 86.737 -167.9114
62.988285 86.738 -167.9767
63.354496 86.738 -168.0423
63.720707 86.739 -168.1061
64.086918 86.740 -168.1668
64.453129 86.742 -168.2243
64.819340 86.745 -168.2796
65.185551 86.748 -168.3339
65.551762 86.751 -168.3874
65.917972 86.754 -168.4397
66.284183 86.757 -168.4901
66.650394 86.760 -168.5381
67.016605 86.762 -168.5834
67.382816 86.763 -168.6255
67.749027 86.764 -168.6628
68.115238 86.763 -168.6930
68.481449 86.761 -168.7137
68.847660 86.759 -168.7247
69.213871 86.758 -168.7293
69.580082 86.758 -168.7349
69.946293 86.759 -168.7505
70.312504 86.762 -168.7836
70.678715 86.766 -168.8370
71.044926 86.769 -168.9073
71.411137 86.772 -168.9866
71.777348 86.774 -169.0655
72.143559 86.777 -169.1365
72.509770 86.779 -169.1960
72.875981 86.783 -169.2446
73.242192 86.786 -169.2853
73.608403 86.790 -169.3221
73.974614 86.793 -169.3579
74.340825 86.796 -169.3945
74.707036 86.798 -169.4324
75.073247 86.798 -169.4713
75.439458 86.799 -169.5107
75.805669 86.799 -169.5499
76.171880 86.799 -169.5881
76.538091 86.799 -169.6249
76.904301 86.800 -169.6602
77.270512 86.801 -169.6938
77.636723 86.802 -169.7262
78.002934 86.803 -169.7576
78.369145 86.804 -169.7888
78.735356 86.805 -169.8204
79.101567 86.806 -169.8532
79.467778 86.806 -169.8876
79.833989 86.807 -169.9237
80.200200 86.808 -169.9611
80.566411 86.809 -169.9989
80.932622 86.810 -170.0362
81.298833 86.812 -170.0720
81.665044 86.813 -170.1059
82.031255 86.815 -170.1373
82.397466 86.817 -170.1666
82.763677 86.819 -170.1942
83.129888 86.821 -170.2207
83.496099 86.822 -170.2470
83.862310 86.824 -170.2738
84.228521 86.826 -170.3017
84.594732 86.827 -170.3307
84.960943 86.829 -170.3609
85.327154 86.831 -170.3919
85.693365 86.833 -170.4230
86.059576 86.835 -170.4533
86.425787 86.837 -170.4821
86.791998 86.839 -170.5087
87.158209 86.840 -170.5333
87.524420 86.841 -170.5564
87.890631 86.842 -170.5791
88.256841 86.843 -170.6029
88.623052 86.843 -170.6287
88.989263 86.843 -170.6566
89.355474 86.844 -170.6862
89.721685 86.844 -170.7162
90.087896 86.843 -170.7451
90.454107 86.843 -170.7720
90.820318 86.843 -170.7964
91.186529 86.844 -170.8187
91.552740 86.844 -170.8400
91.918951 86.845 -170.8613
92.285162 86.845 -170.8836
92.651373 86.846 -170.9073
93.017584 86.847 -170.9324
93.383795 86.848 -170.9582
93.750006 86.849 -170.9839
94.116217 86.849 -171.0086
94.482428 86.850 -171.0314
94.848639 86.851 -171.0521
95.214850 86.851 -171.0707
95.581061 86.851 -171.0877
95.947272 86.851 -171.1039
96.313483 86.851 -171.1199
96.679694 86.851 -171.1365
97.045905 86.850 -171.1542
97.412116 86.850 -171.1734
97.778327 86.850 -171.1941
98.144538 86.850 -171.2162
98.510749 86.850 -171.2396
98.876960 86.850 -171.2639
99.243170 86.850 -171.2889
99.609381 86.851 -171.3142
99.975592 86.851 -171.3394
100.341803 86.852 -171.3638
100.708014 86.853 -171.3870
101.074225 86.853 -171.4085
101.440436 86.854 -171.4284
101.806647 86.855 -171.4467
102.172858 86.856 -171.4641
102.539069 86.856 -171.4812
102.905280 86.857 -171.4989
103.271491 86.857 -171.5178
103.637702 86.857 -171.5381
104.003913 86.858 -171.5599
104.370124 86.858 -171.5826
104.736335 86.858 -171.6055
105.102546 86.858 -171.6276
105.468757 86.858 -171.6483
105.834968 86.859 -171.6669
106.201179 86.859 -171.6835
106.567390 86.859 -171.6983
106.933601 86.859 -171.7118
107.299812 86.859 -171.7246
107.666023 86.859 -171.7372
108.032234 86.859 -171.7498
108.398445 86.859 -171.7628
108.764656 86.860 -171.7763
109.130867 86.860 -171.7900
109.497078 86.861 -171.8040
109.863289 86.861 -171.8180
110.229500 86.862 -171.8319
110.595710 86.863 -171.8455
110.961921 86.863 -171.8590
111.328132 86.864 -171.8724
111.694343 86.864 -171.8857
112.060554 86.864 -171.8990
112.426765 86.864 -171.9121
112.792976 86.864 -171.9250
113.159187 86.864 -171.9375
113.525398 86.865 -171.9496
113.891609 86.865 -171.9611
114.257820 86.865 -171.9724
114.624031 86.866 -171.9835
114.990242 86.867 -171.9948
115.356453 86.867 -172.0067
115.722664 86.868 -172.0191
116.088875 86.868 -172.0322
116.455086 86.868 -172.0458
116.821297 86.869 -172.0596
117.187508 86.868 -172.0734
117.553719 86.868 -172.0868
117.919930 86.868 -172.0998
118.286141 86.868 -172.1125
118.652352 86.868 -172.1248
119.018563 86.867 -172.1368
119.384774 86.867 -172.1486
119.750985 86.867 -172.1602
120.117196 86.867 -172.1713
120.483407 86.867 -172.1819
120.849618 86.867 -172.1918
121.215829 86.867 -172.2008
121.582040 86.867 -172.2088
121.948250 86.868 -172.2159
122.314461 86.868 -172.2222
122.680672 86.868 -172.2281
123.046883 86.869 -172.2339
123.413094 86.869 -172.2401
123.779305 86.870 -172.2469
124.145516 86.870 -172.2548
124.511727 86.871 -172.2639
124.877938 86.871 -172.2743
125.244149 86.871 -172.2859
125.610360 86.871 -172.2984
125.976571 86.871 -172.3115
126.342782 86.871 -172.3248
126.708993 86.871 -172.3377
127.075204 86.870 -172.3500
127.441415 86.870 -172.3615
127.807626 86.869 -172.3723
128.173837 86.869 -172.3822
128.540048 86.869 -172.3916
128.906259 86.868 -172.4006
129.272470 86.868 -172.4092
129.638681 86.868 -172.4176
130.004892 86.868 -172.4258
130.371103 86.868 -172.4340
130.737314 86.868 -172.4421
131.103525 86.868 -172.4502
131.469736 86.868 -172.4585
131.835947 86.868 -172.4667
132.202158 86.868 -172.4750
132.568369 86.867 -172.4832
132.934579 86.867 -172.4914
133.300790 86.867 -172.4993
133.667001 86.867 -172.5071
134.033212 86.867 -172.5146
134.399423 86.867 -172.5218
134.765634 86.867 -172.5287
135.131845 86.868 -172.5352
135.498056 86.868 -172.5415
135.864267 86.868 -172.5474
136.230478 86.868 -172.5531
136.596689 86.868 -172.5585
136.962900 86.868 -172.5636
137.329111 86.868 -172.5686
137.695322 86.868 -172.5733
138.061533 86.867 -172.5778
138.427744 86.867 -172.5823
138.793955 86.866 -172.5866
139.160166 86.866 -172.5910
139.526377 86.865 -172.5954
139.892588 86.864 -172.5999
140.258799 86.864 -172.6045
140.625010 86.864 -172.6093
140.991221 86.863 -172.6143
141.357432 86.863 -172.6193
141.723643 86.863 -172.6243
142.089854 86.863 -172.6293
142.456065 86.863 -172.6343
142.822276 86.863 -172.6391
143.188487 86.863 -172.6438
143.554698 86.863 -172.6483
143.920909 86.863 -172.6527
144.287119 86.864 -172.6571
144.653330 86.864 -172.6616
145.019541 86.864 -172.6662
145.385752 86.864 -172.6711
145.751963 86.864 -172.6765
146.118174 86.864 -172.6823
146.484385 86.864 -172.6884
146.850596 86.864 -172.6948
147.216807 86.864 -172.7015
147.583018 86.864 -172.7082
147.949229 86.864 -172.7149
148.315440 86.864 -172.7215
148.681651 86.863 -172.7280
149.047862 86.863 -172.7342
149.414073 86.862 -172.7401
149.780284 86.861 -172.7456
150.146495 86.860 -172.7505
150.512706 86.859 -172.7544
150.878917 86.858 -172.7572
151.245128 86.857 -172.7584
151.611339 86.856 -172.7581
151.977550 86.855 -172.7560
152.343761 86.854 -172.7522
152.709972 86.853 -172.7472
153.076183 86.853 -172.7413
153.442394 86.853 -172.7354
153.808605 86.853 -172.7300
154.174816 86.854 -172.7259
154.541027 86.855 -172.7236
154.907238 86.856 -172.7235
155.273448 86.857 -172.7256
155.639659 86.858 -172.7297
156.005870 86.859 -172.7353
156.372081 86.860 -172.7419
156.738292 86.860 -172.7489
157.104503 86.861 -172.7556
157.470714 86.861 -172.7618
157.836925 86.861 -172.7672
158.203136 86.860 -172.7719
158.569347 86.860 -172.7757
158.935558 86.860 -172.7790
159.301769 86.860 -172.7819
159.667980 86.859 -172.7844
160.034191 86.859 -172.7866
160.400402 86.859 -172.7886
160.766613 86.859 -172.7902
161.132824 86.859 -172.7914
161.499035 86.858 -172.7923
161.865246 86.858 -172.7928
162.231457 86.858 -172.7931
162.597668 86.858 -172.7931
