* Measurement data measured by REW V5.31
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 17, 2024 12:08:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FatFreq x HBB Deuce Bass R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 100.982 179.2080
20.287556 100.971 178.9134
20.434568 100.954 178.4970
20.582645 100.937 178.0400
20.731796 100.921 177.5770
20.882027 100.908 177.1162
21.033346 100.901 176.6566
21.185763 100.898 176.1926
21.339284 100.899 175.7178
21.493917 100.904 175.2282
21.649671 100.911 174.7215
21.806553 100.918 174.1983
21.964572 100.924 173.6640
22.123737 100.926 173.1249
22.284054 100.923 172.5898
22.445534 100.914 172.0696
22.608183 100.900 171.5731
22.772012 100.881 171.1094
22.937027 100.858 170.6835
23.103238 100.832 170.2969
23.270654 100.805 169.9478
23.439282 100.778 169.6288
23.609133 100.754 169.3299
23.780215 100.732 169.0384
23.952536 100.713 168.7403
24.126106 100.698 168.4236
24.300934 100.685 168.0771
24.477028 100.673 167.6945
24.654399 100.662 167.2727
24.833055 100.650 166.8130
25.013005 100.636 166.3208
25.194260 100.620 165.8038
25.376828 100.602 165.2726
25.560719 100.581 164.7374
25.745942 100.557 164.2099
25.932508 100.533 163.6994
26.120426 100.507 163.2146
26.309705 100.481 162.7614
26.500356 100.456 162.3433
26.692388 100.433 161.9605
26.885812 100.412 161.6101
27.080638 100.395 161.2856
27.276876 100.380 160.9773
27.474535 100.369 160.6732
27.673627 100.361 160.3600
27.874161 100.354 160.0244
28.076149 100.347 159.6559
28.279600 100.337 159.2478
28.484526 100.324 158.7988
28.690937 100.304 158.3141
28.898843 100.278 157.8038
29.108256 100.245 157.2833
29.319186 100.205 156.7684
29.531645 100.161 156.2744
29.745644 100.117 155.8127
29.961193 100.073 155.3882
30.178304 100.035 154.9987
30.396989 100.002 154.6360
30.617258 99.976 154.2879
30.839123 99.956 153.9415
31.062596 99.940 153.5871
31.287688 99.924 153.2197
31.514412 99.906 152.8399
31.742778 99.884 152.4526
31.972800 99.858 152.0644
32.204488 99.826 151.6799
32.437855 99.792 151.2998
32.672913 99.755 150.9194
32.909674 99.720 150.5300
33.148151 99.685 150.1205
33.388356 99.653 149.6822
33.630302 99.622 149.2111
33.874001 99.592 148.7104
34.119466 99.562 148.1895
34.366710 99.531 147.6620
34.615745 99.499 147.1436
34.866585 99.467 146.6464
35.119243 99.433 146.1781
35.373731 99.399 145.7401
35.630064 99.363 145.3287
35.888254 99.325 144.9365
36.148315 99.284 144.5550
36.410261 99.240 144.1767
36.674104 99.192 143.7968
36.939860 99.140 143.4133
37.207542 99.087 143.0277
37.477163 99.034 142.6432
37.748738 98.984 142.2634
38.022281 98.938 141.8909
38.297806 98.899 141.5251
38.575327 98.867 141.1621
38.854860 98.841 140.7963
39.136419 98.818 140.4227
39.420017 98.794 140.0406
39.705671 98.766 139.6557
39.993395 98.731 139.2789
40.283203 98.689 138.9213
40.575112 98.643 138.5880
40.869136 98.597 138.2708
41.165290 98.556 137.9468
41.463591 98.523 137.5857
41.764053 98.495 137.1596
42.066693 98.470 136.6570
42.371525 98.441 136.0914
42.678567 98.403 135.4989
42.987834 98.355 134.9252
43.299341 98.297 134.4106
43.613106 98.234 133.9766
43.929145 98.170 133.6193
44.247473 98.109 133.3134
44.568109 98.052 133.0246
44.891068 98.000 132.7229
45.216367 97.951 132.3892
45.544023 97.905 132.0157
45.874054 97.862 131.6030
46.206476 97.821 131.1587
46.541307 97.779 130.6977
46.878565 97.735 130.2421
47.218266 97.686 129.8168
47.560429 97.633 129.4394
47.905072 97.577 129.1092
48.252212 97.521 128.8054
48.601867 97.463 128.4971
48.954056 97.401 128.1624
49.308798 97.332 127.8025
49.666109 97.257 127.4399
50.026010 97.181 127.1019
50.388520 97.111 126.7971
50.753656 97.054 126.5050
51.121437 97.009 126.1868
51.491884 96.970 125.8127
51.865016 96.928 125.3849
52.240851 96.873 124.9375
52.619410 96.806 124.5143
53.000712 96.732 124.1380
53.384777 96.659 123.7945
53.771625 96.592 123.4425
54.161276 96.531 123.0443
54.553751 96.471 122.5957
54.949070 96.406 122.1332
55.347254 96.335 121.7126
55.748323 96.262 121.3722
56.152298 96.194 121.0993
56.559201 96.135 120.8254
56.969052 96.082 120.4590
57.381873 96.026 119.9419
57.797686 95.957 119.2958
58.216512 95.870 118.6243
58.638373 95.774 118.0628
59.063291 95.685 117.7020
59.491288 95.619 117.5331
59.922386 95.577 117.4601
60.356608 95.544 117.3772
60.793977 95.497 117.2421
61.234515 95.423 117.0780
61.678246 95.330 116.9082
62.125192 95.236 116.6892
62.575377 95.157 116.3144
63.028824 95.093 115.7038
63.485557 95.028 114.9071
63.945599 94.946 114.1280
64.408975 94.850 113.6364
64.875709 94.764 113.6067
65.345825 94.718 113.9786
65.819348 94.728 114.4497
66.296302 94.775 114.6536
66.776713 94.813 114.3954
67.260604 94.802 113.7378
67.748002 94.725 112.9042
68.238932 94.596 112.1095
68.733420 94.436 111.4666
69.231490 94.261 111.0182
69.733170 94.080 110.8158
70.238485 93.911 110.9071
70.747463 93.782 111.2147
71.260128 93.710 111.4833
71.776508 93.678 111.4345
72.296630 93.643 111.0017
72.820521 93.577 110.3673
73.348209 93.482 109.7781
73.879720 93.382 109.3418
74.415083 93.292 108.9996
74.954326 93.206 108.6652
75.497475 93.110 108.3464
76.044561 92.999 108.1216
76.595612 92.887 108.0252
77.150655 92.789 107.9821
77.709720 92.710 107.8684
78.272837 92.640 107.6302
78.840034 92.569 107.3237
79.411342 92.494 107.0403
79.986789 92.418 106.8205
80.566406 92.338 106.6418
81.150224 92.250 106.4647
81.738272 92.152 106.2634
82.330581 92.047 106.0251
82.927182 91.943 105.7581
83.528107 91.843 105.4990
84.133386 91.752 105.2860
84.743051 91.668 105.1158
85.357134 91.586 104.9439
85.975667 91.497 104.7312
86.598682 91.391 104.4857
87.226212 91.269 104.2538
87.858289 91.139 104.0744
88.494946 91.011 103.9427
89.136217 90.897 103.8175
89.782135 90.805 103.6482
90.432733 90.736 103.3950
91.088046 90.678 103.0631
91.748108 90.607 102.7451
92.412952 90.508 102.5683
93.082615 90.385 102.5617
93.757130 90.251 102.6199
94.436533 90.114 102.6410
95.120859 89.987 102.6409
95.810144 89.883 102.6740
96.504423 89.805 102.7087
97.203734 89.736 102.6546
97.908112 89.649 102.4807
98.617595 89.531 102.2637
99.332219 89.386 102.1430
100.052021 89.233 102.2457
100.777039 89.087 102.6103
101.507311 88.955 103.1266
102.242875 88.839 103.5624
102.983769 88.732 103.7001
103.730032 88.630 103.4697
104.481702 88.528 102.9665
105.238820 88.418 102.3748
106.001424 88.293 101.8778
106.769554 88.153 101.6085
107.543250 88.011 101.6254
108.322553 87.886 101.8934
109.107503 87.787 102.3020
109.898141 87.709 102.7306
110.694508 87.637 103.1078
111.496646 87.558 103.4371
112.304596 87.475 103.8038
113.118402 87.407 104.3590
113.938104 87.377 105.1584
114.763747 87.391 105.8839
115.595372 87.397 106.0094
116.433024 87.324 105.4433
117.276746 87.170 104.6609
118.126581 86.991 104.1671
118.982575 86.824 104.0831
119.844772 86.657 104.1637
120.713217 86.469 104.0764
121.587954 86.273 103.7633
122.469031 86.108 103.5027
123.356492 85.990 103.5626
124.250384 85.895 103.9315
125.150753 85.787 104.4074
126.057647 85.662 104.8371
126.971113 85.536 105.2125
127.891198 85.428 105.5843
128.817950 85.338 105.9782
129.751418 85.255 106.3791
130.691651 85.167 106.7432
131.638696 85.070 107.0467
132.592604 84.973 107.3248
133.553425 84.874 107.6209
134.521208 84.761 107.9193
135.496004 84.634 108.1367
136.477864 84.514 108.1818
137.466839 84.407 108.0930
138.462981 84.293 108.1029
139.466340 84.167 108.4432
140.476971 84.059 109.0228
141.494925 83.977 109.4693
142.520256 83.903 109.5554
143.553016 83.830 109.4279
144.593260 83.767 109.4154
145.641043 83.688 109.7384
146.696418 83.552 110.3342
147.759441 83.366 110.9818
148.830166 83.182 111.7152
149.908651 83.051 112.6252
150.994951 82.960 113.5171
152.089123 82.871 114.2215
153.191223 82.785 114.7673
154.301310 82.725 115.1810
155.419441 82.683 115.4912
156.545674 82.635 115.8217
157.680069 82.575 116.2560
158.822683 82.503 116.7734
159.973578 82.423 117.3068
161.132813 82.336 117.8023
162.300447 82.244 118.2397
163.476543 82.155 118.6470
164.661162 82.072 119.0888
165.854364 81.995 119.5997
167.056213 81.921 120.1470
168.266772 81.846 120.6863
169.486102 81.770 121.1950
170.714268 81.695 121.6723
171.951334 81.620 122.1588
173.197364 81.544 122.7052
174.452424 81.470 123.3054
175.716578 81.398 123.9140
176.989893 81.327 124.4864
178.272434 81.257 125.0299
179.564270 81.194 125.6024
180.865467 81.139 126.2243
182.176092 81.089 126.8582
183.496216 81.041 127.4724
184.825905 80.992 128.0662
186.165229 80.942 128.6580
187.514259 80.894 129.2699
188.873065 80.848 129.8980
190.241717 80.805 130.5184
191.620287 80.765 131.1162
193.008847 80.724 131.6860
194.407468 80.682 132.2375
195.816225 80.642 132.7948
197.235190 80.610 133.3527
198.664438 80.585 133.8592
200.104042 80.562 134.2998
201.554078 80.534 134.7543
203.014622 80.497 135.2670
204.485750 80.454 135.7828
205.967538 80.410 136.2550
207.460064 80.365 136.6933
208.963405 80.322 137.1680
210.477640 80.284 137.7198
212.002848 80.251 138.3131
213.539108 80.219 138.8989
215.086500 80.188 139.4611
216.645105 80.160 140.0052
218.215005 80.133 140.5539
219.796281 80.105 141.1145
221.389015 80.075 141.6702
222.993292 80.047 142.2117
224.609193 80.021 142.7440
226.236804 79.994 143.2749
227.876209 79.967 143.8026
229.527494 79.944 144.2939
231.190745 79.928 144.7317
232.866048 79.920 145.2286
234.553491 79.909 145.8624
236.253163 79.896 146.5117
237.965150 79.885 147.0792
239.689544 79.883 147.5941
241.426433 79.896 148.1551
243.175909 79.919 148.7495
244.938062 79.939 149.2828
246.712984 79.954 149.7236
248.500768 79.962 150.1017
250.301507 79.967 150.4565
252.115295 79.967 150.8074
253.942226 79.965 151.1669
255.782396 79.961 151.5367
257.635901 79.959 151.8878
259.502837 79.959 152.1769
261.383301 79.958 152.4453
263.277392 79.952 152.7752
265.185209 79.940 153.1497
267.106850 79.928 153.5210
269.042417 79.921 153.8578
270.992009 79.918 154.1680
272.955729 79.915 154.4688
274.933678 79.910 154.7737
276.925961 79.903 155.1083
278.932681 79.897 155.4683
280.953942 79.889 155.8174
282.989850 79.878 156.1492
285.040511 79.866 156.4668
287.106032 79.853 156.7757
289.186521 79.843 157.1001
291.282086 79.837 157.4415
293.392836 79.832 157.7783
295.518881 79.825 158.0956
297.660333 79.815 158.4072
299.817302 79.805 158.7247
301.989902 79.796 159.0610
304.178245 79.786 159.4256
306.382446 79.774 159.7811
308.602620 79.761 160.1117
310.838882 79.748 160.4442
313.091348 79.735 160.7915
315.360137 79.725 161.1453
317.645367 79.717 161.4890
319.947156 79.710 161.8238
322.265625 79.702 162.1637
324.600895 79.693 162.5144
326.953086 79.683 162.8735
329.322323 79.672 163.2452
331.708729 79.661 163.6343
334.112427 79.650 164.0401
336.533543 79.642 164.4598
338.972204 79.639 164.8823
341.428536 79.643 165.3213
343.902668 79.651 165.8106
346.394729 79.657 166.3351
348.904848 79.664 166.8495
351.433156 79.678 167.3233
353.979786 79.703 167.7497
356.544869 79.739 168.1288
359.128540 79.785 168.4544
361.730934 79.833 168.7172
364.352185 79.876 168.9262
366.992431 79.909 169.0787
369.651810 79.931 169.1880
372.330459 79.944 169.2736
375.028519 79.951 169.3502
377.746130 79.953 169.4395
380.483434 79.953 169.5558
383.240574 79.950 169.6966
386.017693 79.946 169.8636
388.814937 79.940 170.0513
391.632450 79.935 170.2460
394.470380 79.930 170.4480
397.328875 79.926 170.6623
400.208084 79.924 170.8882
403.108157 79.920 171.1281
406.029245 79.916 171.3725
