* Measurement data measured by REW V5.31
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 17, 2024 12:06:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FatFreq x HBB Deuce L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 102.702 -170.2803
20.287556 102.702 -170.5438
20.434568 102.700 -170.9239
20.582645 102.694 -171.3488
20.731796 102.681 -171.7829
20.882027 102.664 -172.2064
21.033346 102.642 -172.6087
21.185763 102.617 -172.9845
21.339284 102.592 -173.3311
21.493917 102.569 -173.6498
21.649671 102.550 -173.9460
21.806553 102.535 -174.2265
21.964572 102.527 -174.5019
22.123737 102.525 -174.7833
22.284054 102.529 -175.0807
22.445534 102.539 -175.4043
22.608183 102.552 -175.7594
22.772012 102.567 -176.1496
22.937027 102.582 -176.5743
23.103238 102.595 -177.0287
23.270654 102.605 -177.5063
23.439282 102.609 -177.9968
23.609133 102.609 -178.4899
23.780215 102.602 -178.9749
23.952536 102.590 -179.4415
24.126106 102.574 -179.8829
24.300934 102.553 179.7058
24.477028 102.530 179.3254
24.654399 102.506 178.9733
24.833055 102.482 178.6436
25.013005 102.459 178.3272
25.194260 102.438 178.0147
25.376828 102.418 177.6953
25.560719 102.400 177.3609
25.745942 102.383 177.0052
25.932508 102.366 176.6262
26.120426 102.349 176.2254
26.309705 102.332 175.8077
26.500356 102.314 175.3812
26.692388 102.295 174.9540
26.885812 102.278 174.5349
27.080638 102.261 174.1294
27.276876 102.248 173.7408
27.474535 102.237 173.3689
27.673627 102.228 173.0109
27.874161 102.222 172.6628
28.076149 102.217 172.3209
28.279600 102.210 171.9831
28.484526 102.201 171.6500
28.690937 102.188 171.3240
28.898843 102.171 171.0083
29.108256 102.151 170.7045
29.319186 102.130 170.4100
29.531645 102.110 170.1176
29.745644 102.094 169.8134
29.961193 102.082 169.4822
30.178304 102.074 169.1074
30.396989 102.071 168.6796
30.617258 102.068 168.1979
30.839123 102.064 167.6748
31.062596 102.056 167.1322
31.287688 102.043 166.6021
31.514412 102.025 166.1150
31.742778 102.003 165.6968
31.972800 101.982 165.3599
32.204488 101.964 165.0999
32.437855 101.951 164.8953
32.672913 101.944 164.7134
32.909674 101.940 164.5190
33.148151 101.936 164.2812
33.388356 101.927 163.9839
33.630302 101.909 163.6259
33.874001 101.881 163.2209
34.119466 101.841 162.7897
34.366710 101.795 162.3542
34.615745 101.745 161.9318
34.866585 101.698 161.5290
35.119243 101.658 161.1429
35.373731 101.626 160.7631
35.630064 101.603 160.3779
35.888254 101.587 159.9792
36.148315 101.573 159.5658
36.410261 101.557 159.1448
36.674104 101.536 158.7292
36.939860 101.508 158.3351
37.207542 101.474 157.9788
37.477163 101.433 157.6710
37.748738 101.391 157.4146
38.022281 101.350 157.2012
38.297806 101.315 157.0096
38.575327 101.289 156.8094
38.854860 101.273 156.5676
39.136419 101.263 156.2562
39.420017 101.255 155.8624
39.705671 101.242 155.3956
39.993395 101.219 154.8841
40.283203 101.185 154.3682
40.575112 101.140 153.8885
40.869136 101.090 153.4711
41.165290 101.040 153.1187
41.463591 100.994 152.8137
41.764053 100.956 152.5263
42.066693 100.924 152.2292
42.371525 100.894 151.9113
42.678567 100.864 151.5804
42.987834 100.832 151.2553
43.299341 100.801 150.9527
43.613106 100.772 150.6765
43.929145 100.748 150.4131
44.247473 100.728 150.1385
44.568109 100.709 149.8324
44.891068 100.684 149.4902
45.216367 100.650 149.1252
45.544023 100.607 148.7603
45.874054 100.557 148.4161
46.206476 100.507 148.0988
46.541307 100.460 147.7972
46.878565 100.422 147.4903
47.218266 100.392 147.1607
47.560429 100.366 146.8069
47.905072 100.342 146.4440
48.252212 100.316 146.0944
48.601867 100.287 145.7736
48.954056 100.254 145.4822
49.308798 100.215 145.2073
49.666109 100.167 144.9320
50.026010 100.109 144.6463
50.388520 100.042 144.3504
50.753656 99.971 144.0486
51.121437 99.904 143.7396
51.491884 99.848 143.4117
51.865016 99.805 143.0492
52.240851 99.773 142.6468
52.619410 99.745 142.2186
53.000712 99.714 141.7953
53.384777 99.675 141.4075
53.771625 99.626 141.0699
54.161276 99.567 140.7757
54.553751 99.501 140.5052
54.949070 99.428 140.2416
55.347254 99.352 139.9798
55.748323 99.280 139.7217
56.152298 99.217 139.4645
56.559201 99.166 139.1938
56.969052 99.128 138.8893
57.381873 99.096 138.5389
57.797686 99.064 138.1494
58.216512 99.027 137.7439
58.638373 98.984 137.3481
59.063291 98.938 136.9777
59.491288 98.892 136.6332
59.922386 98.847 136.3060
60.356608 98.805 135.9888
60.793977 98.762 135.6846
61.234515 98.718 135.4067
61.678246 98.673 135.1699
62.125192 98.630 134.9794
62.575377 98.593 134.8226
63.028824 98.562 134.6721
63.485557 98.533 134.4980
63.945599 98.501 134.2836
64.408975 98.458 134.0325
64.875709 98.398 133.7670
65.345825 98.320 133.5175
65.819348 98.227 133.3125
66.296302 98.127 133.1699
66.776713 98.031 133.0868
67.260604 97.953 133.0297
67.748002 97.899 132.9361
68.238932 97.867 132.7404
68.733420 97.844 132.4129
69.231490 97.815 131.9832
69.733170 97.769 131.5233
70.238485 97.705 131.1024
70.747463 97.629 130.7491
71.260128 97.547 130.4468
71.776508 97.465 130.1591
72.296630 97.383 129.8551
72.820521 97.302 129.5181
73.348209 97.225 129.1454
73.879720 97.153 128.7524
74.415083 97.087 128.3745
74.954326 97.029 128.0541
75.497475 96.979 127.8228
76.044561 96.929 127.6908
76.595612 96.872 127.6438
77.150655 96.802 127.6368
77.709720 96.721 127.5964
78.272837 96.633 127.4556
78.840034 96.545 127.2050
79.411342 96.463 126.9044
79.986789 96.393 126.6296
80.566406 96.335 126.4053
81.150224 96.281 126.2027
81.738272 96.219 125.9925
82.330581 96.144 125.7806
82.927182 96.061 125.5923
83.528107 95.976 125.4392
84.133386 95.893 125.3105
84.743051 95.809 125.1855
85.357134 95.721 125.0510
85.975667 95.633 124.9067
86.598682 95.550 124.7578
87.226212 95.476 124.6043
87.858289 95.404 124.4453
88.494946 95.327 124.2849
89.136217 95.242 124.1238
89.782135 95.153 123.9564
90.432733 95.066 123.7893
91.088046 94.985 123.6472
91.748108 94.907 123.5440
92.412952 94.829 123.4655
93.082615 94.745 123.3863
93.757130 94.658 123.2843
94.436533 94.568 123.1512
95.120859 94.476 123.0101
95.810144 94.382 122.8979
96.504423 94.290 122.8105
97.203734 94.200 122.7039
97.908112 94.111 122.5658
98.617595 94.019 122.4399
99.332219 93.927 122.3685
100.052021 93.834 122.3559
100.777039 93.739 122.3813
101.507311 93.644 122.4004
102.242875 93.551 122.3575
102.983769 93.462 122.2420
103.730032 93.380 122.1163
104.481702 93.305 122.0677
105.238820 93.234 122.1562
106.001424 93.155 122.3902
106.769554 93.061 122.6990
107.543250 92.951 122.9487
108.322553 92.831 123.0361
109.107503 92.717 122.9744
109.898141 92.625 122.8751
110.694508 92.559 122.8503
111.496646 92.502 122.9333
112.304596 92.429 123.0707
113.118402 92.335 123.1666
113.938104 92.237 123.1780
114.763747 92.160 123.1662
115.595372 92.105 123.2036
116.433024 92.035 123.2947
117.276746 91.919 123.4019
118.126581 91.776 123.4316
118.982575 91.644 123.3140
119.844772 91.544 123.1934
120.713217 91.466 123.2903
121.587954 91.389 123.5832
122.469031 91.298 123.8737
123.356492 91.197 124.0601
124.250384 91.098 124.2002
125.150753 91.002 124.3839
126.057647 90.903 124.6113
126.971113 90.798 124.8118
127.891198 90.687 124.9662
128.817950 90.576 125.1289
129.751418 90.472 125.3432
130.691651 90.374 125.6140
131.638696 90.274 125.9463
132.592604 90.170 126.3430
133.553425 90.070 126.7722
134.521208 89.984 127.2010
135.496004 89.906 127.6321
136.477864 89.813 128.0782
137.466839 89.693 128.5350
138.462981 89.560 128.9575
139.466340 89.437 129.3126
140.476971 89.330 129.6691
141.494925 89.236 130.1479
142.520256 89.150 130.7681
143.553016 89.070 131.4368
144.593260 89.002 132.1088
145.641043 88.964 132.7780
146.696418 88.955 133.3659
147.759441 88.950 133.7880
148.830166 88.924 134.0622
149.908651 88.877 134.2879
150.994951 88.819 134.5444
152.089123 88.753 134.8520
153.191223 88.683 135.1884
154.301310 88.613 135.5450
155.419441 88.547 135.9511
156.545674 88.482 136.4082
157.680069 88.419 136.8978
158.822683 88.365 137.4092
159.973578 88.322 137.9179
161.132813 88.287 138.3915
162.300447 88.255 138.8194
163.476543 88.223 139.2169
164.661162 88.189 139.5887
165.854364 88.151 139.9285
167.056213 88.110 140.2512
168.266772 88.067 140.5854
169.486102 88.021 140.9517
170.714268 87.972 141.3473
171.951334 87.924 141.7466
173.197364 87.878 142.1308
174.452424 87.835 142.5037
175.716578 87.792 142.8859
176.989893 87.747 143.3015
178.272434 87.702 143.7421
179.564270 87.657 144.1817
180.865467 87.615 144.6121
182.176092 87.574 145.0375
183.496216 87.534 145.4626
184.825905 87.494 145.8929
186.165229 87.456 146.3267
187.514259 87.418 146.7662
188.873065 87.381 147.2101
190.241717 87.345 147.6485
191.620287 87.310 148.0867
193.008847 87.275 148.5357
194.407468 87.241 148.9885
195.816225 87.208 149.4489
197.235190 87.181 149.9330
198.664438 87.160 150.4334
200.104042 87.144 150.9050
201.554078 87.129 151.2999
203.014622 87.111 151.6440
204.485750 87.087 152.0108
205.967538 87.059 152.4399
207.460064 87.033 152.9159
208.963405 87.009 153.3929
210.477640 86.988 153.8539
212.002848 86.968 154.3132
213.539108 86.950 154.7755
215.086500 86.934 155.2299
216.645105 86.919 155.6761
218.215005 86.905 156.1213
219.796281 86.893 156.5632
221.389015 86.882 156.9935
222.993292 86.871 157.4053
224.609193 86.860 157.8090
226.236804 86.848 158.2123
227.876209 86.837 158.6093
229.527494 86.828 159.0034
231.190745 86.820 159.4030
232.866048 86.814 159.8077
234.553491 86.810 160.2170
236.253163 86.808 160.6348
237.965150 86.808 161.0638
239.689544 86.806 161.4795
241.426433 86.801 161.8377
243.175909 86.794 162.1559
244.938062 86.787 162.4779
246.712984 86.783 162.8126
248.500768 86.780 163.1599
250.301507 86.779 163.5168
252.115295 86.778 163.8744
253.942226 86.776 164.2249
255.782396 86.773 164.5717
257.635901 86.770 164.9174
259.502837 86.767 165.2627
261.383301 86.765 165.6060
263.277392 86.764 165.9432
265.185209 86.764 166.2689
267.106850 86.765 166.5893
269.042417 86.768 166.9190
270.992009 86.773 167.2571
272.955729 86.778 167.5916
274.933678 86.780 167.9116
276.925961 86.780 168.2180
278.932681 86.780 168.5200
280.953942 86.780 168.8220
282.989850 86.780 169.1254
285.040511 86.779 169.4330
287.106032 86.779 169.7445
289.186521 86.778 170.0582
291.282086 86.777 170.3690
293.392836 86.775 170.6712
295.518881 86.772 170.9681
297.660333 86.770 171.2631
299.817302 86.767 171.5603
301.989902 86.766 171.8701
304.178245 86.765 172.1889
306.382446 86.762 172.5094
308.602620 86.758 172.8376
310.838882 86.752 173.1807
313.091348 86.747 173.5388
315.360137 86.743 173.9143
317.645367 86.744 174.3153
319.947156 86.748 174.7469
322.265625 86.756 175.2046
324.600895 86.769 175.6748
326.953086 86.787 176.1550
329.322323 86.812 176.6475
331.708729 86.848 177.1245
334.112427 86.895 177.5373
336.533543 86.950 177.8702
338.972204 87.009 178.1321
341.428536 87.065 178.3207
343.902668 87.111 178.4339
346.394729 87.149 178.4910
348.904848 87.179 178.5164
351.433156 87.203 178.5378
353.979786 87.218 178.5736
356.544869 87.227 178.6301
359.128540 87.230 178.7032
361.730934 87.231 178.7863
364.352185 87.230 178.8796
366.992431 87.230 178.9824
369.651810 87.230 179.0939
372.330459 87.231 179.2214
375.028519 87.232 179.3686
377.746130 87.232 179.5235
380.483434 87.232 179.6768
383.240574 87.230 179.8320
386.017693 87.230 179.9940
388.814937 87.231 -179.8360
391.632450 87.233 -179.6535
394.470380 87.234 -179.4621
397.328875 87.234 -179.2723
400.208084 87.234 -179.0885
