* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 23, 24 2:16:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fengru MY88 Red 500 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 97.235 -4.4561
20.287556 97.233 -4.4747
20.434568 97.230 -4.5501
20.582645 97.227 -4.6665
20.731796 97.222 -4.8104
20.882027 97.216 -4.9716
21.033346 97.210 -5.1454
21.185762 97.203 -5.3327
21.339283 97.196 -5.5232
21.493916 97.188 -5.7151
21.649670 97.180 -5.9073
21.806553 97.171 -6.0993
21.964573 97.163 -6.2913
22.123737 97.155 -6.4907
22.284056 97.147 -6.6941
22.445536 97.140 -6.9008
22.608185 97.133 -7.1127
22.772013 97.126 -7.3311
22.937029 97.120 -7.5572
23.103241 97.113 -7.7962
23.270657 97.106 -8.0459
23.439285 97.099 -8.3019
23.609137 97.092 -8.5621
23.780218 97.084 -8.8233
23.952539 97.076 -9.0822
24.126110 97.068 -9.3408
24.300938 97.060 -9.5922
24.477032 97.052 -9.8316
24.654402 97.046 -10.0568
24.833057 97.040 -10.2667
25.013008 97.035 -10.4616
25.194263 97.030 -10.6480
25.376831 97.025 -10.8208
25.560722 97.020 -10.9812
25.745945 97.014 -11.1309
25.932510 97.006 -11.2714
26.120428 96.996 -11.4091
26.309708 96.983 -11.5434
26.500359 96.967 -11.6730
26.692390 96.950 -11.7998
26.885815 96.930 -11.9258
27.080641 96.909 -12.0562
27.276878 96.888 -12.1949
27.474539 96.868 -12.3410
27.673630 96.849 -12.4973
27.874165 96.833 -12.6660
28.076153 96.820 -12.8503
28.279604 96.810 -13.0519
28.484529 96.804 -13.2664
28.690941 96.802 -13.4914
28.898848 96.802 -13.7239
29.108261 96.804 -13.9623
29.319191 96.808 -14.2026
29.531651 96.811 -14.4381
29.745649 96.814 -14.6657
29.961199 96.816 -14.8829
30.178310 96.815 -15.0927
30.396996 96.812 -15.2925
30.617264 96.806 -15.4831
30.839128 96.797 -15.6676
31.062601 96.786 -15.8509
31.287693 96.774 -16.0389
31.514416 96.759 -16.2319
31.742783 96.743 -16.4317
31.972803 96.727 -16.6389
32.204491 96.710 -16.8552
32.437859 96.693 -17.0747
32.672916 96.676 -17.2931
32.909679 96.660 -17.5063
33.148155 96.645 -17.7143
33.388359 96.630 -17.9149
33.630306 96.617 -18.1067
33.874004 96.604 -18.2922
34.119469 96.592 -18.4767
34.366711 96.580 -18.6637
34.615746 96.566 -18.8538
34.866585 96.552 -19.0484
35.119244 96.535 -19.2490
35.373734 96.517 -19.4547
35.630066 96.498 -19.6621
35.888256 96.478 -19.8695
36.148315 96.458 -20.0787
36.410259 96.437 -20.2888
36.674103 96.417 -20.4981
36.939857 96.397 -20.7068
37.207539 96.377 -20.9167
37.477161 96.356 -21.1261
37.748737 96.335 -21.3335
38.022282 96.313 -21.5388
38.297806 96.292 -21.7449
38.575329 96.270 -21.9491
38.854862 96.250 -22.1528
39.136421 96.230 -22.3588
39.420021 96.211 -22.5683
39.705673 96.192 -22.7806
39.993397 96.173 -22.9945
40.283207 96.153 -23.2103
40.575115 96.132 -23.4233
40.869141 96.111 -23.6320
41.165295 96.089 -23.8393
41.463596 96.069 -24.0472
41.764057 96.049 -24.2570
42.066696 96.031 -24.4706
42.371529 96.013 -24.6873
42.678570 95.997 -24.9007
42.987835 95.981 -25.1037
43.299343 95.964 -25.2929
43.613110 95.947 -25.4638
43.929150 95.930 -25.6205
44.247478 95.910 -25.7745
44.568115 95.888 -25.9348
44.891075 95.863 -26.1101
45.216373 95.836 -26.3075
45.544029 95.810 -26.5306
45.874062 95.787 -26.7832
46.206486 95.772 -27.0725
46.541317 95.764 -27.4019
46.878574 95.762 -27.7668
47.218277 95.762 -28.1512
47.560440 95.756 -28.5221
47.905083 95.741 -28.8388
48.252224 95.716 -29.0682
48.601879 95.682 -29.1953
48.954067 95.642 -29.2330
49.308807 95.602 -29.2197
49.666119 95.563 -29.2028
50.026020 95.525 -29.2224
50.388531 95.489 -29.3006
50.753666 95.454 -29.4321
51.121449 95.420 -29.6006
51.491894 95.389 -29.7864
51.865025 95.361 -29.9733
52.240860 95.336 -30.1552
52.619419 95.311 -30.3308
53.000721 95.286 -30.5015
53.384785 95.259 -30.6722
53.771633 95.231 -30.8443
54.161285 95.203 -31.0219
54.553761 95.175 -31.2071
54.949081 95.148 -31.3987
55.347263 95.122 -31.5944
55.748333 95.096 -31.7880
56.152309 95.070 -31.9757
56.559212 95.042 -32.1570
56.969063 95.014 -32.3333
57.381886 94.985 -32.5111
57.797699 94.955 -32.6912
58.216526 94.926 -32.8749
58.638386 94.897 -33.0613
59.063305 94.869 -33.2484
59.491302 94.840 -33.4344
59.922401 94.811 -33.6150
60.356625 94.780 -33.7901
60.793995 94.749 -33.9583
61.234531 94.718 -34.1214
61.678261 94.688 -34.2820
62.125206 94.658 -34.4424
62.575390 94.629 -34.6045
63.028835 94.601 -34.7686
63.485569 94.572 -34.9352
63.945610 94.542 -35.1015
64.408989 94.511 -35.2685
64.875725 94.479 -35.4360
65.345840 94.446 -35.6053
65.819366 94.413 -35.7770
66.296318 94.381 -35.9524
66.776726 94.350 -36.1305
67.260620 94.319 -36.3087
67.748016 94.287 -36.4864
68.238945 94.255 -36.6655
68.733429 94.223 -36.8468
69.231499 94.193 -37.0300
69.733177 94.163 -37.2160
70.238495 94.136 -37.4055
70.747475 94.109 -37.5958
71.260139 94.079 -37.7805
71.776520 94.045 -37.9494
72.296638 94.007 -38.0942
72.820526 93.965 -38.2178
73.348213 93.921 -38.3330
73.879723 93.878 -38.4542
74.415085 93.836 -38.5897
74.954330 93.797 -38.7356
75.497482 93.760 -38.8844
76.044571 93.724 -39.0311
76.595619 93.690 -39.1746
77.150665 93.655 -39.3169
77.709732 93.620 -39.4620
78.272850 93.585 -39.6136
78.840050 93.550 -39.7728
79.411354 93.514 -39.9360
79.986801 93.477 -40.0993
80.566422 93.440 -40.2609
81.150238 93.402 -40.4195
81.738289 93.363 -40.5739
82.330597 93.322 -40.7245
82.927200 93.282 -40.8698
83.528122 93.242 -41.0074
84.133400 93.202 -41.1394
84.743065 93.162 -41.2681
85.357147 93.123 -41.3944
85.975677 93.084 -41.5211
86.598694 93.045 -41.6487
87.226227 93.005 -41.7807
87.858307 92.967 -41.9170
88.494965 92.928 -42.0542
89.136238 92.890 -42.1923
89.782158 92.851 -42.3300
90.432755 92.812 -42.4657
91.088066 92.773 -42.5958
91.748131 92.733 -42.7200
92.412979 92.693 -42.8427
93.082642 92.653 -42.9650
93.757156 92.613 -43.0867
94.436562 92.573 -43.2057
95.120888 92.534 -43.3245
95.810173 92.494 -43.4463
96.504456 92.454 -43.5678
97.203766 92.414 -43.6874
97.908142 92.373 -43.8064
98.617622 92.333 -43.9233
99.332245 92.292 -44.0416
100.052048 92.251 -44.1598
100.777069 92.210 -44.2754
101.507339 92.168 -44.3845
102.242905 92.126 -44.4895
102.983795 92.084 -44.5937
103.730057 92.041 -44.6999
104.481728 91.997 -44.8018
105.238846 91.953 -44.9003
106.001450 91.909 -45.0006
106.769577 91.865 -45.1094
107.543274 91.822 -45.2219
108.322578 91.778 -45.3301
109.107529 91.734 -45.4293
109.898170 91.690 -45.5249
110.694534 91.647 -45.6215
111.496674 91.605 -45.7206
112.304626 91.561 -45.8208
113.118431 91.516 -45.9184
113.938133 91.471 -46.0113
114.763779 91.426 -46.1031
115.595406 91.383 -46.1976
116.433060 91.340 -46.3033
117.276779 91.297 -46.4197
118.126617 91.251 -46.5359
118.982613 91.204 -46.6462
119.844810 91.157 -46.7371
120.713257 91.110 -46.8078
121.587997 91.065 -46.8729
122.469070 91.022 -46.9501
123.356529 90.979 -47.0447
124.250420 90.936 -47.1492
125.150787 90.892 -47.2506
126.057678 90.847 -47.3331
126.971146 90.802 -47.3896
127.891228 90.757 -47.4311
128.817978 90.713 -47.4709
129.751450 90.669 -47.5270
130.691681 90.622 -47.6065
131.638733 90.572 -47.7040
132.592636 90.517 -47.8108
133.553452 90.458 -47.9173
134.521240 90.398 -48.0064
135.496033 90.341 -48.0636
136.477890 90.290 -48.0914
137.466858 90.247 -48.1050
138.462997 90.210 -48.1241
139.466354 90.177 -48.1600
140.476990 90.146 -48.2084
141.494949 90.113 -48.2633
142.520279 90.075 -48.3198
143.553040 90.032 -48.3788
144.593277 89.984 -48.4482
145.641052 89.933 -48.5302
146.696426 89.879 -48.6199
147.759445 89.823 -48.7088
148.830170 89.766 -48.7943
149.908661 89.708 -48.8715
150.994965 89.649 -48.9347
152.089142 89.590 -48.9867
153.191238 89.532 -49.0259
154.301331 89.475 -49.0560
155.419464 89.419 -49.0810
156.545700 89.365 -49.0976
157.680099 89.313 -49.1040
158.822708 89.263 -49.1001
159.973602 89.215 -49.0801
161.132843 89.171 -49.0455
162.300476 89.128 -48.9945
163.476578 89.089 -48.9283
164.661194 89.050 -48.8485
165.854401 89.010 -48.7534
167.056244 88.968 -48.6405
168.266800 88.924 -48.5160
169.486130 88.876 -48.3828
170.714294 88.825 -48.2418
171.951355 88.772 -48.0933
173.197388 88.718 -47.9356
174.452454 88.662 -47.7714
175.716614 88.608 -47.6049
176.989929 88.555 -47.4403
178.272476 88.506 -47.2960
179.564316 88.463 -47.1836
180.865509 88.427 -47.0993
182.176132 88.397 -47.0302
183.496262 88.373 -46.9484
184.825958 88.350 -46.8622
186.165283 88.328 -46.8018
187.514313 88.305 -46.7962
188.873123 88.287 -46.8494
190.241776 88.276 -46.9230
191.620346 88.271 -46.9935
193.008911 88.270 -47.0354
194.407532 88.265 -47.0756
195.816284 88.250 -47.1271
197.235245 88.226 -47.2178
198.664490 88.195 -47.3464
200.104095 88.161 -47.4931
201.554138 88.127 -47.6388
203.014679 88.095 -47.7788
204.485809 88.061 -47.9213
205.967590 88.024 -48.0695
207.460114 87.979 -48.2183
208.963455 87.927 -48.3503
210.477692 87.871 -48.4589
212.002899 87.817 -48.5383
213.539154 87.768 -48.5870
215.086548 87.724 -48.6169
216.645157 87.684 -48.6408
218.215057 87.643 -48.6751
219.796341 87.600 -48.7147
221.389069 87.553 -48.7488
222.993347 87.503 -48.7734
224.609253 87.450 -48.7854
226.236862 87.398 -48.7889
227.876266 87.346 -48.7885
229.527557 87.295 -48.7869
231.190811 87.246 -48.7878
232.866119 87.197 -48.7909
234.553558 87.147 -48.8005
236.253235 87.098 -48.8062
237.965225 87.049 -48.8044
239.689621 87.002 -48.7953
241.426514 86.956 -48.7713
243.175995 86.912 -48.7371
244.938141 86.867 -48.7000
246.713058 86.822 -48.6646
248.500839 86.776 -48.6268
250.301575 86.728 -48.5937
252.115356 86.679 -48.5634
253.942291 86.630 -48.5368
255.782455 86.580 -48.5190
257.635956 86.532 -48.5040
259.502899 86.485 -48.4943
261.383362 86.440 -48.4824
263.277466 86.395 -48.4549
265.185272 86.350 -48.4171
267.106903 86.305 -48.3672
269.042480 86.259 -48.3110
270.992065 86.212 -48.2458
272.955780 86.165 -48.1785
274.933716 86.116 -48.1112
276.925995 86.067 -48.0417
278.932709 86.018 -47.9775
280.953979 85.968 -47.9095
282.989899 85.918 -47.8344
285.040558 85.869 -47.7637
287.106079 85.824 -47.6956
289.186554 85.783 -47.6307
291.282104 85.746 -47.5649
293.392853 85.710 -47.4977
295.518890 85.673 -47.4304
297.660339 85.635 -47.3687
299.817322 85.596 -47.3103
301.989929 85.556 -47.2463
304.178284 85.514 -47.1778
306.382477 85.472 -47.1027
308.602661 85.428 -47.0195
310.838928 85.384 -46.9320
313.091400 85.339 -46.8442
315.360199 85.295 -46.7571
317.645416 85.251 -46.6767
319.947205 85.210 -46.5983
322.265686 85.169 -46.5235
324.600952 85.129 -46.4494
326.953156 85.089 -46.3735
329.322388 85.049 -46.3001
331.708801 85.008 -46.2300
334.112488 84.966 -46.1620
