* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 23, 24 2:15:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fengru MY88 Red 500 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 97.712 -4.3625
20.287556 97.708 -4.4001
20.434568 97.701 -4.5019
20.582645 97.692 -4.6481
20.731796 97.681 -4.8219
20.882027 97.669 -5.0123
21.033346 97.656 -5.2148
21.185762 97.642 -5.4316
21.339283 97.628 -5.6539
21.493916 97.614 -5.8813
21.649670 97.600 -6.1131
21.806553 97.587 -6.3483
21.964573 97.573 -6.5853
22.123737 97.559 -6.8290
22.284056 97.546 -7.0725
22.445536 97.533 -7.3121
22.608185 97.521 -7.5464
22.772013 97.510 -7.7750
22.937029 97.501 -7.9982
23.103241 97.492 -8.2221
23.270657 97.486 -8.4467
23.439285 97.480 -8.6712
23.609137 97.476 -8.8979
23.780218 97.473 -9.1283
23.952539 97.470 -9.3636
24.126110 97.467 -9.6098
24.300938 97.464 -9.8626
24.477032 97.460 -10.1186
24.654402 97.456 -10.3757
24.833057 97.451 -10.6319
25.013008 97.446 -10.8852
25.194263 97.440 -11.1396
25.376831 97.434 -11.3869
25.560722 97.428 -11.6256
25.745945 97.422 -11.8549
25.932510 97.416 -12.0740
26.120428 97.410 -12.2877
26.309708 97.403 -12.4938
26.500359 97.396 -12.6902
26.692390 97.389 -12.8778
26.885815 97.381 -13.0580
27.080641 97.373 -13.2353
27.276878 97.363 -13.4133
27.474539 97.353 -13.5909
27.673630 97.342 -13.7710
27.874165 97.330 -13.9562
28.076153 97.317 -14.1506
28.279604 97.304 -14.3570
28.484529 97.289 -14.5723
28.690941 97.275 -14.7958
28.898848 97.259 -15.0260
29.108261 97.244 -15.2633
29.319191 97.229 -15.5047
29.531651 97.214 -15.7453
29.745649 97.200 -15.9827
29.961199 97.187 -16.2152
30.178310 97.175 -16.4456
30.396996 97.164 -16.6706
30.617264 97.154 -16.8896
30.839128 97.143 -17.1036
31.062601 97.133 -17.3151
31.287693 97.123 -17.5276
31.514416 97.111 -17.7395
31.742783 97.098 -17.9521
31.972803 97.084 -18.1666
32.204491 97.069 -18.3869
32.437859 97.052 -18.6106
32.672916 97.033 -18.8373
32.909679 97.014 -19.0665
33.148155 96.993 -19.3006
33.388359 96.972 -19.5372
33.630306 96.950 -19.7735
33.874004 96.929 -20.0081
34.119469 96.908 -20.2416
34.366711 96.887 -20.4730
34.615746 96.867 -20.6990
34.866585 96.847 -20.9188
35.119244 96.829 -21.1335
35.373734 96.811 -21.3430
35.630066 96.794 -21.5455
35.888256 96.777 -21.7415
36.148315 96.761 -21.9348
36.410259 96.745 -22.1263
36.674103 96.729 -22.3161
36.939857 96.714 -22.5065
37.207539 96.698 -22.7010
37.477161 96.681 -22.8995
37.748737 96.664 -23.1016
38.022282 96.645 -23.3066
38.297806 96.625 -23.5163
38.575329 96.604 -23.7256
38.854862 96.583 -23.9336
39.136421 96.560 -24.1410
39.420021 96.537 -24.3487
39.705673 96.513 -24.5570
39.993397 96.488 -24.7668
40.283207 96.461 -24.9811
40.575115 96.433 -25.1966
40.869141 96.403 -25.4125
41.165295 96.372 -25.6301
41.463596 96.342 -25.8490
41.764057 96.312 -26.0683
42.066696 96.285 -26.2892
42.371529 96.260 -26.5132
42.678570 96.238 -26.7379
42.987835 96.217 -26.9609
43.299343 96.198 -27.1814
43.613110 96.180 -27.3940
43.929150 96.163 -27.5970
44.247478 96.145 -27.7934
44.568115 96.126 -27.9833
44.891075 96.105 -28.1685
45.216373 96.082 -28.3521
45.544029 96.056 -28.5345
45.874062 96.028 -28.7156
46.206486 95.998 -28.8974
46.541317 95.966 -29.0810
46.878574 95.934 -29.2683
47.218277 95.900 -29.4646
47.560440 95.866 -29.6721
47.905083 95.832 -29.8920
48.252224 95.799 -30.1251
48.601879 95.767 -30.3683
48.954067 95.737 -30.6168
49.308807 95.710 -30.8659
49.666119 95.686 -31.1088
50.026020 95.665 -31.3396
50.388531 95.646 -31.5556
50.753666 95.627 -31.7523
51.121449 95.607 -31.9310
51.491894 95.584 -32.0970
51.865025 95.558 -32.2555
52.240860 95.529 -32.4153
52.619419 95.498 -32.5824
53.000721 95.466 -32.7601
53.384785 95.435 -32.9501
53.771633 95.404 -33.1464
54.161285 95.375 -33.3433
54.553761 95.346 -33.5343
54.949081 95.316 -33.7144
55.347263 95.286 -33.8848
55.748333 95.254 -34.0494
56.152309 95.221 -34.2163
56.559212 95.187 -34.3933
56.969063 95.155 -34.5834
57.381886 95.123 -34.7865
57.797699 95.092 -34.9925
58.216526 95.062 -35.1921
58.638386 95.032 -35.3787
59.063305 95.001 -35.5511
59.491302 94.969 -35.7134
59.922401 94.934 -35.8704
60.356625 94.899 -36.0306
60.793995 94.865 -36.1990
61.234531 94.832 -36.3792
61.678261 94.801 -36.5698
62.125206 94.771 -36.7645
62.575390 94.742 -36.9550
63.028835 94.712 -37.1351
63.485569 94.679 -37.3052
63.945610 94.644 -37.4675
64.408989 94.607 -37.6299
64.875725 94.569 -37.7961
65.345840 94.531 -37.9676
65.819366 94.493 -38.1425
66.296318 94.457 -38.3190
66.776726 94.422 -38.4932
67.260620 94.387 -38.6609
67.748016 94.352 -38.8206
68.238945 94.318 -38.9748
68.733429 94.284 -39.1255
69.231499 94.251 -39.2704
69.733177 94.219 -39.4043
70.238495 94.187 -39.5217
70.747475 94.156 -39.6251
71.260139 94.124 -39.7304
71.776520 94.090 -39.8589
72.296638 94.052 -40.0233
72.820526 94.008 -40.2206
73.348213 93.962 -40.4344
73.879723 93.915 -40.6463
74.415085 93.871 -40.8465
74.954330 93.830 -41.0304
75.497482 93.792 -41.1987
76.044571 93.754 -41.3540
76.595619 93.714 -41.5004
77.150665 93.673 -41.6430
77.709732 93.631 -41.7865
78.272850 93.590 -41.9347
78.840050 93.549 -42.0900
79.411354 93.509 -42.2512
79.986801 93.467 -42.4146
80.566422 93.425 -42.5737
81.150238 93.380 -42.7218
81.738289 93.337 -42.8582
82.330597 93.295 -42.9900
82.927200 93.255 -43.1242
83.528122 93.216 -43.2626
84.133400 93.178 -43.4056
84.743065 93.139 -43.5500
85.357147 93.099 -43.6913
85.975677 93.058 -43.8284
86.598694 93.017 -43.9599
87.226227 92.975 -44.0898
87.858307 92.934 -44.2206
88.494965 92.893 -44.3527
89.136238 92.852 -44.4892
89.782158 92.811 -44.6310
90.432755 92.770 -44.7765
91.088066 92.730 -44.9199
91.748131 92.688 -45.0561
92.412979 92.646 -45.1860
93.082642 92.604 -45.3135
93.757156 92.562 -45.4445
94.436562 92.521 -45.5793
95.120888 92.480 -45.7138
95.810173 92.437 -45.8403
96.504456 92.391 -45.9516
97.203766 92.343 -46.0502
97.908142 92.294 -46.1426
98.617622 92.245 -46.2291
99.332245 92.198 -46.3131
100.052048 92.153 -46.3974
100.777069 92.110 -46.4888
101.507339 92.067 -46.5905
102.242905 92.024 -46.7052
102.983795 91.981 -46.8300
103.730057 91.938 -46.9625
104.481728 91.895 -47.0942
105.238846 91.851 -47.2227
106.001450 91.804 -47.3458
106.769577 91.754 -47.4629
107.543274 91.702 -47.5670
108.322578 91.649 -47.6545
109.107529 91.596 -47.7267
109.898170 91.547 -47.7939
110.694534 91.500 -47.8635
111.496674 91.454 -47.9379
112.304626 91.411 -48.0162
113.118431 91.367 -48.0958
113.938133 91.323 -48.1725
114.763779 91.278 -48.2434
115.595406 91.232 -48.3078
116.433060 91.186 -48.3795
117.276779 91.142 -48.4712
118.126617 91.099 -48.5880
118.982613 91.057 -48.7359
119.844810 91.014 -48.9008
120.713257 90.967 -49.0576
121.587997 90.918 -49.1833
122.469070 90.867 -49.2710
123.356529 90.815 -49.3286
124.250420 90.762 -49.3692
125.150787 90.709 -49.4054
126.057678 90.654 -49.4426
126.971146 90.598 -49.4846
127.891228 90.542 -49.5372
128.817978 90.486 -49.5952
129.751450 90.429 -49.6571
130.691681 90.374 -49.7229
131.638733 90.320 -49.7944
132.592636 90.268 -49.8746
133.553452 90.217 -49.9631
134.521240 90.168 -50.0490
135.496033 90.119 -50.1182
136.477890 90.070 -50.1661
137.466858 90.021 -50.1926
138.462997 89.971 -50.2004
139.466354 89.918 -50.1953
140.476990 89.862 -50.1846
141.494949 89.804 -50.1820
142.520279 89.746 -50.1967
143.553040 89.689 -50.2297
144.593277 89.634 -50.2766
145.641052 89.578 -50.3256
146.696426 89.523 -50.3615
147.759445 89.466 -50.3691
148.830170 89.407 -50.3434
149.908661 89.344 -50.2838
150.994965 89.278 -50.1947
152.089142 89.208 -50.0900
153.191238 89.136 -49.9740
154.301331 89.062 -49.8470
155.419464 88.987 -49.7029
156.545700 88.911 -49.5315
157.680099 88.833 -49.3352
158.822708 88.759 -49.1232
159.973602 88.691 -48.8877
161.132843 88.635 -48.6131
162.300476 88.592 -48.2817
163.476578 88.560 -47.8957
164.661194 88.541 -47.4763
165.854401 88.537 -47.0466
167.056244 88.548 -46.6228
168.266800 88.574 -46.2306
169.486130 88.611 -45.9025
170.714294 88.651 -45.6721
171.951355 88.688 -45.5528
173.197388 88.721 -45.5254
174.452454 88.749 -45.5732
175.716614 88.771 -45.7003
176.989929 88.785 -45.8957
178.272476 88.788 -46.1292
179.564316 88.778 -46.3824
180.865509 88.760 -46.6620
182.176132 88.738 -46.9657
183.496262 88.715 -47.2635
184.825958 88.691 -47.5679
186.165283 88.662 -47.8978
187.514313 88.628 -48.2390
188.873123 88.587 -48.5682
190.241776 88.540 -48.8620
191.620346 88.486 -49.1262
193.008911 88.427 -49.3426
194.407532 88.366 -49.5184
195.816284 88.304 -49.6416
197.235245 88.242 -49.7310
198.664490 88.182 -49.7991
200.104095 88.122 -49.8555
201.554138 88.063 -49.9059
203.014679 88.005 -49.9540
204.485809 87.949 -50.0071
205.967590 87.897 -50.0713
207.460114 87.846 -50.1493
208.963455 87.797 -50.2258
210.477692 87.749 -50.2889
212.002899 87.698 -50.3297
213.539154 87.646 -50.3476
215.086548 87.591 -50.3494
216.645157 87.536 -50.3392
218.215057 87.481 -50.3317
219.796341 87.426 -50.3289
221.389069 87.371 -50.3273
222.993347 87.318 -50.3272
224.609253 87.266 -50.3256
226.236862 87.215 -50.3231
227.876266 87.165 -50.3192
229.527557 87.116 -50.3105
231.190811 87.067 -50.2951
232.866119 87.017 -50.2708
234.553558 86.967 -50.2444
236.253235 86.916 -50.2101
237.965225 86.866 -50.1701
239.689621 86.817 -50.1335
241.426514 86.769 -50.0997
243.175995 86.721 -50.0694
244.938141 86.672 -50.0377
246.713058 86.623 -49.9999
248.500839 86.572 -49.9501
250.301575 86.521 -49.8986
252.115356 86.470 -49.8460
253.942291 86.420 -49.7932
255.782455 86.371 -49.7443
257.635956 86.324 -49.6927
259.502899 86.278 -49.6413
261.383362 86.234 -49.5840
263.277466 86.190 -49.5095
265.185272 86.147 -49.4252
267.106903 86.105 -49.3302
269.042480 86.063 -49.2303
270.992065 86.022 -49.1244
272.955780 85.983 -49.0234
274.933716 85.944 -48.9353
276.925995 85.908 -48.8647
278.932709 85.873 -48.8251
280.953979 85.839 -48.8084
282.989899 85.806 -48.8050
285.040558 85.771 -48.8110
287.106079 85.734 -48.8031
289.186554 85.694 -48.7653
291.282104 85.650 -48.6959
293.392853 85.604 -48.6080
295.518890 85.559 -48.5145
297.660339 85.515 -48.4287
299.817322 85.473 -48.3531
301.989929 85.431 -48.2831
304.178284 85.390 -48.2229
306.382477 85.348 -48.1699
308.602661 85.305 -48.1181
310.838928 85.261 -48.0658
313.091400 85.216 -48.0127
315.360199 85.172 -47.9573
317.645416 85.128 -47.9051
319.947205 85.086 -47.8539
322.265686 85.047 -47.8083
324.600952 85.010 -47.7653
326.953156 84.975 -47.7185
329.322388 84.941 -47.6639
331.708801 84.908 -47.5905
334.112488 84.873 -47.4866
