* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 14, 2023 10:03:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiiO FH3 L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 103.639 168.4474
20.507813 103.639 168.5335
20.874023 103.637 168.6791
21.240234 103.625 168.5832
21.606445 103.594 168.2263
21.972656 103.543 167.7680
22.338867 103.482 167.3964
22.705078 103.430 167.2290
23.071289 103.401 167.2454
23.437500 103.395 167.3138
23.803711 103.396 167.2972
24.169922 103.384 167.1437
24.536133 103.350 166.8973
24.902344 103.302 166.6408
25.268555 103.256 166.4259
25.634766 103.229 166.2455
26.000977 103.221 166.0616
26.367188 103.221 165.8578
26.733399 103.213 165.6629
27.099610 103.188 165.5249
27.465821 103.149 165.4632
27.832032 103.104 165.4432
28.198243 103.061 165.3920
28.564454 103.021 165.2469
28.930665 102.983 164.9983
29.296876 102.944 164.6952
29.663087 102.905 164.4120
30.029298 102.868 164.2048
30.395509 102.835 164.0871
30.761720 102.807 164.0360
31.127931 102.780 164.0148
31.494142 102.752 163.9925
31.860353 102.723 163.9514
32.226563 102.694 163.8838
32.592774 102.667 163.7889
32.958985 102.642 163.6746
33.325196 102.619 163.5595
33.691407 102.596 163.4669
34.057618 102.573 163.4120
34.423829 102.550 163.3906
34.790040 102.528 163.3801
35.156251 102.506 163.3517
35.522462 102.481 163.2868
35.888673 102.451 163.1865
36.254884 102.418 163.0693
36.621095 102.382 162.9591
36.987306 102.349 162.8710
37.353517 102.319 162.8036
37.719728 102.296 162.7411
38.085939 102.277 162.6628
38.452150 102.257 162.5555
38.818361 102.233 162.4227
39.184572 102.202 162.2854
39.550783 102.163 162.1736
39.916994 102.120 162.1114
40.283205 102.078 162.1048
40.649416 102.040 162.1378
41.015627 102.010 162.1797
41.381838 101.984 162.2012
41.748049 101.960 162.1876
42.114260 101.935 162.1444
42.480471 101.907 162.0906
42.846682 101.878 162.0458
43.212893 101.850 162.0193
43.579103 101.824 162.0081
43.945314 101.799 162.0022
44.311525 101.776 161.9929
44.677736 101.751 161.9772
45.043947 101.722 161.9578
45.410158 101.691 161.9381
45.776369 101.657 161.9183
46.142580 101.622 161.8936
46.508791 101.587 161.8564
46.875002 101.553 161.8006
47.241213 101.520 161.7260
47.607424 101.486 161.6406
47.973635 101.452 161.5591
48.339846 101.420 161.4982
48.706057 101.391 161.4693
49.072268 101.366 161.4741
49.438479 101.345 161.5024
49.804690 101.329 161.5373
50.170901 101.314 161.5612
50.537112 101.298 161.5634
50.903323 101.277 161.5426
51.269534 101.251 161.5054
51.635745 101.220 161.4619
52.001956 101.186 161.4203
52.368167 101.152 161.3858
52.734378 101.119 161.3605
53.100589 101.088 161.3454
53.466800 101.058 161.3418
53.833011 101.030 161.3501
54.199222 101.003 161.3694
54.565432 100.976 161.3966
54.931643 100.948 161.4274
55.297854 100.921 161.4576
55.664065 100.894 161.4839
56.030276 100.867 161.5040
56.396487 100.841 161.5161
56.762698 100.816 161.5197
57.128909 100.791 161.5163
57.495120 100.766 161.5108
57.861331 100.739 161.5100
58.227542 100.710 161.5206
58.593753 100.681 161.5454
58.959964 100.653 161.5815
59.326175 100.627 161.6208
59.692386 100.603 161.6541
60.058597 100.581 161.6749
60.424808 100.559 161.6823
60.791019 100.537 161.6808
61.157230 100.513 161.6767
61.523441 100.488 161.6751
61.889652 100.463 161.6776
62.255863 100.438 161.6831
62.622074 100.413 161.6903
62.988285 100.390 161.6993
63.354496 100.368 161.7116
63.720707 100.348 161.7286
64.086918 100.330 161.7507
64.453129 100.313 161.7769
64.819340 100.295 161.8069
65.185551 100.276 161.8424
65.551762 100.253 161.8868
65.917972 100.227 161.9430
66.284183 100.199 162.0108
66.650394 100.170 162.0851
67.016605 100.141 162.1575
67.382816 100.114 162.2202
67.749027 100.088 162.2695
68.115238 100.064 162.3071
68.481449 100.040 162.3390
68.847660 100.016 162.3718
69.213871 99.992 162.4101
69.580082 99.969 162.4550
69.946293 99.945 162.5051
70.312504 99.922 162.5577
70.678715 99.898 162.6102
71.044926 99.873 162.6607
71.411137 99.849 162.7078
71.777348 99.824 162.7511
72.143559 99.800 162.7912
72.509770 99.775 162.8294
72.875981 99.751 162.8682
73.242192 99.727 162.9098
73.608403 99.704 162.9558
73.974614 99.682 163.0069
74.340825 99.660 163.0629
74.707036 99.638 163.1228
75.073247 99.617 163.1852
75.439458 99.595 163.2485
75.805669 99.573 163.3116
76.171880 99.551 163.3742
76.538091 99.528 163.4371
76.904301 99.506 163.5020
77.270512 99.484 163.5698
77.636723 99.464 163.6402
78.002934 99.445 163.7110
78.369145 99.428 163.7788
78.735356 99.410 163.8420
79.101567 99.390 163.9014
79.467778 99.367 163.9609
79.833989 99.341 164.0254
80.200200 99.312 164.0984
80.566411 99.284 164.1794
80.932622 99.257 164.2635
81.298833 99.233 164.3435
81.665044 99.213 164.4136
82.031255 99.196 164.4722
82.397466 99.182 164.5230
82.763677 99.169 164.5732
83.129888 99.157 164.6307
83.496099 99.144 164.7006
83.862310 99.130 164.7835
84.228521 99.116 164.8757
84.594732 99.100 164.9713
84.960943 99.083 165.0639
85.327154 99.065 165.1493
85.693365 99.045 165.2250
86.059576 99.025 165.2913
86.425787 99.005 165.3504
86.791998 98.985 165.4060
87.158209 98.966 165.4623
87.524420 98.947 165.5240
87.890631 98.928 165.5942
88.256841 98.910 165.6739
88.623052 98.892 165.7613
88.989263 98.875 165.8527
89.355474 98.858 165.9433
89.721685 98.841 166.0294
90.087896 98.823 166.1091
90.454107 98.804 166.1823
90.820318 98.785 166.2503
91.186529 98.765 166.3146
91.552740 98.745 166.3765
91.918951 98.725 166.4371
92.285162 98.705 166.4973
92.651373 98.685 166.5586
93.017584 98.665 166.6228
93.383795 98.645 166.6911
93.750006 98.625 166.7638
94.116217 98.606 166.8402
94.482428 98.588 166.9189
94.848639 98.570 166.9987
95.214850 98.551 167.0797
95.581061 98.532 167.1631
95.947272 98.511 167.2510
96.313483 98.490 167.3449
96.679694 98.467 167.4455
97.045905 98.444 167.5514
97.412116 98.422 167.6597
97.778327 98.402 167.7669
98.144538 98.383 167.8693
98.510749 98.366 167.9642
98.876960 98.351 168.0508
99.243170 98.335 168.1295
99.609381 98.319 168.2026
99.975592 98.302 168.2731
100.341803 98.284 168.3439
100.708014 98.264 168.4171
101.074225 98.242 168.4931
101.440436 98.220 168.5706
101.806647 98.199 168.6469
102.172858 98.180 168.7187
102.539069 98.163 168.7831
102.905280 98.150 168.8383
103.271491 98.139 168.8845
103.637702 98.131 168.9235
104.003913 98.125 168.9593
104.370124 98.120 168.9966
104.736335 98.114 169.0408
105.102546 98.108 169.0964
105.468757 98.099 169.1661
105.834968 98.089 169.2505
106.201179 98.075 169.3474
106.567390 98.060 169.4529
106.933601 98.043 169.5618
107.299812 98.024 169.6694
107.666023 98.005 169.7723
108.032234 97.986 169.8687
108.398445 97.968 169.9589
108.764656 97.952 170.0444
109.130867 97.937 170.1273
109.497078 97.924 170.2096
109.863289 97.912 170.2929
110.229500 97.901 170.3779
110.595710 97.890 170.4648
110.961921 97.879 170.5529
111.328132 97.866 170.6416
111.694343 97.853 170.7298
112.060554 97.839 170.8166
112.426765 97.823 170.9012
112.792976 97.807 170.9831
113.159187 97.790 171.0620
113.525398 97.773 171.1385
113.891609 97.757 171.2134
114.257820 97.740 171.2886
114.624031 97.725 171.3665
114.990242 97.710 171.4496
115.356453 97.697 171.5402
115.722664 97.685 171.6392
116.088875 97.673 171.7462
116.455086 97.662 171.8588
116.821297 97.650 171.9735
117.187508 97.638 172.0861
117.553719 97.625 172.1930
117.919930 97.610 172.2923
118.286141 97.595 172.3838
118.652352 97.579 172.4691
119.018563 97.563 172.5509
119.384774 97.548 172.6323
119.750985 97.535 172.7158
120.117196 97.522 172.8030
120.483407 97.511 172.8943
120.849618 97.500 172.9889
121.215829 97.489 173.0853
121.582040 97.478 173.1811
121.948250 97.466 173.2741
122.314461 97.454 173.3625
122.680672 97.441 173.4454
123.046883 97.428 173.5234
123.413094 97.415 173.5983
123.779305 97.403 173.6727
124.145516 97.390 173.7492
124.511727 97.377 173.8298
124.877938 97.363 173.9155
125.244149 97.350 174.0058
125.610360 97.336 174.0997
125.976571 97.321 174.1954
126.342782 97.305 174.2917
126.708993 97.289 174.3879
127.075204 97.273 174.4839
127.441415 97.257 174.5808
127.807626 97.241 174.6797
128.173837 97.226 174.7818
128.540048 97.212 174.8876
128.906259 97.200 174.9963
129.272470 97.191 175.1059
129.638681 97.183 175.2137
130.004892 97.177 175.3167
130.371103 97.172 175.4125
130.737314 97.167 175.5000
131.103525 97.161 175.5798
131.469736 97.153 175.6535
131.835947 97.143 175.7231
132.202158 97.132 175.7907
132.568369 97.118 175.8577
132.934579 97.103 175.9247
133.300790 97.088 175.9920
133.667001 97.073 176.0599
134.033212 97.058 176.1291
134.399423 97.045 176.2004
134.765634 97.031 176.2745
135.131845 97.019 176.3520
135.498056 97.008 176.4330
135.864267 96.996 176.5169
136.230478 96.985 176.6028
136.596689 96.973 176.6896
136.962900 96.961 176.7766
137.329111 96.949 176.8632
137.695322 96.936 176.9496
138.061533 96.923 177.0362
138.427744 96.910 177.1239
138.793955 96.896 177.2131
139.160166 96.884 177.3045
139.526377 96.871 177.3981
139.892588 96.859 177.4937
140.258799 96.847 177.5906
140.625010 96.836 177.6880
140.991221 96.825 177.7852
141.357432 96.814 177.8814
141.723643 96.804 177.9762
142.089854 96.793 178.0692
142.456065 96.783 178.1605
142.822276 96.773 178.2503
143.188487 96.763 178.3391
143.554698 96.753 178.4274
143.920909 96.742 178.5154
144.287119 96.732 178.6035
144.653330 96.721 178.6917
145.019541 96.710 178.7797
145.385752 96.699 178.8671
145.751963 96.687 178.9534
146.118174 96.676 179.0385
146.484385 96.664 179.1222
146.850596 96.653 179.2048
147.216807 96.642 179.2867
147.583018 96.631 179.3684
147.949229 96.621 179.4504
148.315440 96.611 179.5330
148.681651 96.602 179.6164
149.047862 96.593 179.7003
149.414073 96.585 179.7846
149.780284 96.578 179.8690
150.146495 96.571 179.9531
150.512706 96.564 -179.9633
150.878917 96.557 -179.8804
151.245128 96.549 -179.7983
151.611339 96.541 -179.7169
151.977550 96.532 -179.6361
152.343761 96.523 -179.5555
152.709972 96.513 -179.4751
153.076183 96.503 -179.3943
153.442394 96.493 -179.3131
153.808605 96.482 -179.2311
154.174816 96.471 -179.1482
154.541027 96.459 -179.0642
154.907238 96.448 -178.9790
155.273448 96.436 -178.8925
155.639659 96.425 -178.8044
156.005870 96.413 -178.7150
156.372081 96.402 -178.6242
156.738292 96.390 -178.5321
157.104503 96.379 -178.4390
157.470714 96.368 -178.3452
157.836925 96.358 -178.2510
158.203136 96.348 -178.1569
158.569347 96.339 -178.0632
158.935558 96.330 -177.9701
159.301769 96.322 -177.8777
159.667980 96.314 -177.7860
160.034191 96.307 -177.6946
160.400402 96.300 -177.6031
160.766613 96.294 -177.5110
161.132824 96.288 -177.4180
161.499035 96.282 -177.3237
161.865246 96.277 -177.2280
162.231457 96.271 -177.1310
162.597668 96.264 -177.0330
162.963879 96.258 -176.9347
163.330090 96.251 -176.8366
163.696301 96.243 -176.7395
164.062512 96.235 -176.6439
164.428723 96.225 -176.5503
164.794934 96.216 -176.4587
165.161145 96.206 -176.3692
165.527356 96.195 -176.2814
165.893567 96.184 -176.1948
166.259778 96.173 -176.1089
166.625988 96.162 -176.0230
166.992199 96.151 -175.9367
167.358410 96.141 -175.8496
167.724621 96.131 -175.7616
168.090832 96.122 -175.6728
168.457043 96.113 -175.5834
168.823254 96.105 -175.4938
169.189465 96.097 -175.4047
169.555676 96.090 -175.3166
169.921887 96.083 -175.2299
170.288098 96.077 -175.1451
170.654309 96.070 -175.0622
171.020520 96.064 -174.9815
171.386731 96.057 -174.9027
