* Measurement data measured by REW V5.30.4
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05 28, 24 1:05:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Galaxy Buds2 Clear R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 87.453 -173.5081
20.287556 87.448 -173.8082
20.434568 87.436 -174.2292
20.582645 87.411 -174.7168
20.731796 87.370 -175.2199
20.882027 87.312 -175.6965
21.033346 87.239 -176.1173
21.185762 87.156 -176.4686
21.339283 87.071 -176.7536
21.493916 86.991 -176.9942
21.649670 86.924 -177.2292
21.806553 86.874 -177.5093
21.964573 86.844 -177.8898
22.123737 86.829 -178.4205
22.284056 86.826 -179.1353
22.445536 86.826 179.9535
22.608185 86.820 178.8593
22.772013 86.802 177.6200
22.937029 86.766 176.2930
23.103241 86.711 174.9501
23.270657 86.639 173.6671
23.439285 86.559 172.5145
23.609137 86.483 171.5458
23.780218 86.424 170.7855
23.952539 86.399 170.2221
24.126110 86.417 169.8073
24.300938 86.484 169.4647
24.477032 86.596 169.1093
24.654402 86.740 168.6683
24.833057 86.899 168.1004
25.013008 87.055 167.4039
25.194263 87.190 166.6160
25.376831 87.291 165.8042
25.560722 87.352 165.0526
25.745945 87.373 164.4471
25.932510 87.361 164.0591
26.120428 87.328 163.9287
26.309708 87.289 164.0516
26.500359 87.260 164.3715
26.692390 87.252 164.7866
26.885815 87.267 165.1695
27.080641 87.303 165.3982
27.276878 87.348 165.3846
27.474539 87.386 165.0942
27.673630 87.405 164.5482
27.874165 87.395 163.8146
28.076153 87.354 162.9907
28.279604 87.285 162.1824
28.484529 87.202 161.4815
28.690941 87.120 160.9460
28.898848 87.058 160.5850
29.108261 87.028 160.3560
29.319191 87.038 160.1778
29.531651 87.082 159.9564
29.745649 87.148 159.6146
29.961199 87.216 159.1141
30.178310 87.270 158.4629
30.396996 87.296 157.7089
30.617264 87.288 156.9247
30.839128 87.247 156.1891
31.062601 87.182 155.5687
31.287693 87.108 155.1017
31.514416 87.043 154.7885
31.742783 87.001 154.5901
31.972803 86.993 154.4384
32.204491 87.020 154.2564
32.437859 87.079 153.9793
32.672916 87.157 153.5705
32.909679 87.243 153.0259
33.148155 87.322 152.3681
33.388359 87.388 151.6349
33.630306 87.435 150.8665
33.874004 87.461 150.0954
34.119469 87.468 149.3415
34.366711 87.458 148.6112
34.615746 87.437 147.9015
34.866585 87.406 147.2070
35.119244 87.369 146.5277
35.373734 87.329 145.8743
35.630066 87.287 145.2697
35.888256 87.248 144.7450
36.148315 87.215 144.3305
36.410259 87.194 144.0444
36.674103 87.188 143.8818
36.939857 87.200 143.8108
37.207539 87.230 143.7757
37.477161 87.271 143.7109
37.748737 87.317 143.5572
38.022282 87.359 143.2764
38.297806 87.387 142.8586
38.575329 87.399 142.3199
38.854862 87.395 141.6938
39.136421 87.380 141.0181
39.420021 87.362 140.3235
39.705673 87.351 139.6269
39.993397 87.350 138.9307
40.283207 87.363 138.2289
40.575115 87.387 137.5148
40.869141 87.415 136.7878
41.165295 87.442 136.0542
41.463596 87.464 135.3243
41.764057 87.476 134.6074
42.066696 87.479 133.9081
42.371529 87.473 133.2259
42.678570 87.461 132.5582
42.987835 87.443 131.9048
43.299343 87.420 131.2709
43.613110 87.395 130.6672
43.929150 87.368 130.1063
44.247478 87.342 129.5976
44.568115 87.317 129.1425
44.891075 87.296 128.7312
45.216373 87.278 128.3446
45.544029 87.265 127.9586
45.874062 87.253 127.5500
46.206486 87.243 127.1027
46.541317 87.231 126.6122
46.878574 87.216 126.0861
47.218277 87.196 125.5408
47.560440 87.173 124.9970
47.905083 87.147 124.4727
48.252224 87.121 123.9779
48.601879 87.096 123.5117
48.954067 87.076 123.0610
49.308807 87.063 122.6032
49.666119 87.057 122.1099
50.026020 87.059 121.5539
50.388531 87.067 120.9165
50.753666 87.079 120.1937
51.121449 87.092 119.3990
51.491894 87.105 118.5605
51.865025 87.116 117.7142
52.240860 87.127 116.8940
52.619419 87.139 116.1238
53.000721 87.151 115.4142
53.384785 87.164 114.7631
53.771633 87.174 114.1608
54.161285 87.181 113.5937
54.553761 87.181 113.0473
54.949081 87.176 112.5061
55.347263 87.167 111.9545
55.748333 87.154 111.3791
56.152309 87.140 110.7714
56.559212 87.127 110.1302
56.969063 87.116 109.4618
57.381886 87.106 108.7768
57.797699 87.099 108.0883
58.216526 87.094 107.4091
58.638386 87.091 106.7502
59.063305 87.089 106.1195
59.491302 87.087 105.5189
59.922401 87.085 104.9421
60.356625 87.084 104.3739
60.793995 87.085 103.7905
61.234531 87.089 103.1656
61.678261 87.099 102.4780
62.125206 87.114 101.7209
62.575390 87.134 100.9084
63.028835 87.153 100.0740
63.485569 87.165 99.2593
63.945610 87.166 98.4987
64.408989 87.153 97.8038
64.875725 87.131 97.1575
65.345840 87.104 96.5239
65.819366 87.079 95.8711
66.296318 87.057 95.1930
66.776726 87.039 94.5070
67.260620 87.026 93.8217
67.748016 87.020 93.1014
68.238945 87.026 92.2627
68.733429 87.058 91.2143
69.231499 87.132 89.9070
69.733177 87.265 88.3595
70.238495 87.451 86.6576
70.747475 87.654 84.9487
71.260139 87.817 83.4334
71.776520 87.889 82.3267
72.296638 87.847 81.7780
72.820526 87.704 81.7776
73.348213 87.501 82.1191
73.879723 87.282 82.4825
74.415085 87.084 82.6057
74.954330 86.928 82.4049
75.497482 86.818 81.9543
76.044571 86.745 81.3822
76.595619 86.694 80.7877
77.150665 86.651 80.2107
77.709732 86.612 79.6335
78.272850 86.581 79.0031
78.840050 86.561 78.2733
79.411354 86.550 77.4430
79.986801 86.542 76.5556
80.566422 86.532 75.6679
81.150238 86.518 74.8208
81.738289 86.497 74.0316
82.330597 86.470 73.2985
82.927200 86.437 72.6064
83.528122 86.400 71.9312
84.133400 86.362 71.2475
84.743065 86.328 70.5381
85.357147 86.300 69.8001
85.975677 86.279 69.0445
86.598694 86.261 68.2865
87.226227 86.243 67.5324
87.858307 86.221 66.7730
88.494965 86.195 65.9886
89.136238 86.162 65.1640
89.782158 86.127 64.3013
90.432755 86.091 63.4206
91.088066 86.059 62.5495
91.748131 86.033 61.7094
92.412979 86.011 60.9061
93.082642 85.989 60.1315
93.757156 85.962 59.3690
94.436562 85.929 58.6005
95.120888 85.893 57.8110
95.810173 85.856 56.9944
96.504456 85.822 56.1574
97.203766 85.789 55.3182
97.908142 85.758 54.4988
98.617622 85.727 53.7149
99.332245 85.697 52.9694
100.052048 85.665 52.2531
100.777069 85.629 51.5500
101.507339 85.587 50.8454
102.242905 85.539 50.1327
102.983795 85.490 49.4117
103.730057 85.443 48.6823
104.481728 85.401 47.9395
105.238846 85.363 47.1695
106.001450 85.332 46.3477
106.769577 85.311 45.4526
107.543274 85.302 44.4836
108.322578 85.305 43.4646
109.107529 85.317 42.4312
109.898170 85.336 41.4210
110.694534 85.357 40.4824
111.496674 85.372 39.6905
112.304626 85.373 39.1236
113.118431 85.351 38.7884
113.938133 85.298 38.5773
114.763779 85.207 38.3419
115.595406 85.074 38.0131
116.433060 84.900 37.6211
117.276779 84.690 37.2022
118.126617 84.457 36.7201
118.982613 84.236 36.0670
119.844810 84.085 35.0997
120.713257 84.041 33.7401
121.587997 84.084 32.1131
122.469070 84.161 30.4913
123.356529 84.229 29.0664
124.250420 84.278 27.8483
125.150787 84.321 26.7443
126.057678 84.371 25.6766
126.971146 84.423 24.6832
127.891228 84.454 23.9315
128.817978 84.442 23.5656
129.751450 84.382 23.5251
130.691681 84.284 23.5444
131.638733 84.163 23.3625
132.592636 84.033 22.9301
133.553452 83.916 22.3813
134.521240 83.835 21.9095
135.496033 83.796 21.7122
136.477890 83.785 21.9279
137.466858 83.781 22.5432
138.462997 83.778 23.3660
139.466354 83.792 24.1045
140.476990 83.845 24.4724
141.494949 83.939 24.2520
142.520279 84.050 23.3809
143.553040 84.148 22.0056
144.593277 84.219 20.3678
145.641052 84.262 18.6437
146.696426 84.276 16.9263
147.759445 84.265 15.2498
148.830170 84.235 13.5919
149.908661 84.195 11.9360
150.994965 84.160 10.3195
152.089142 84.139 8.7924
153.191238 84.132 7.3710
154.301331 84.130 6.0536
155.419464 84.125 4.8367
156.545700 84.114 3.6924
157.680099 84.098 2.5841
158.822708 84.079 1.5112
159.973602 84.062 0.4894
161.132843 84.048 -0.5077
162.300476 84.038 -1.5527
163.476578 84.025 -2.6940
164.661194 83.999 -3.9050
165.854401 83.953 -5.1047
167.056244 83.884 -6.1932
168.266800 83.798 -7.1064
169.486130 83.709 -7.8722
170.714294 83.636 -8.5778
171.951355 83.586 -9.3015
173.197388 83.560 -10.0988
174.452454 83.547 -10.9960
175.716614 83.539 -11.9749
176.989929 83.527 -12.9925
178.272476 83.507 -14.0089
179.564316 83.478 -14.9917
180.865509 83.442 -15.9257
182.176132 83.403 -16.8254
183.496262 83.367 -17.7229
184.825958 83.340 -18.6473
186.165283 83.323 -19.6140
187.514313 83.316 -20.6252
188.873123 83.315 -21.6747
190.241776 83.314 -22.7515
191.620346 83.310 -23.8376
193.008911 83.302 -24.9144
194.407532 83.289 -25.9761
195.816284 83.275 -27.0323
197.235245 83.262 -28.0920
198.664490 83.250 -29.1508
200.104095 83.238 -30.1977
201.554138 83.225 -31.2265
203.014679 83.209 -32.2347
204.485809 83.188 -33.2217
205.967590 83.163 -34.1892
207.460114 83.137 -35.1473
208.963455 83.112 -36.1143
210.477692 83.091 -37.1062
212.002899 83.075 -38.1296
213.539154 83.061 -39.1855
215.086548 83.049 -40.2701
216.645157 83.039 -41.3801
218.215057 83.030 -42.5182
219.796341 83.027 -43.6820
221.389069 83.030 -44.8509
222.993347 83.037 -45.9956
224.609253 83.047 -47.0992
226.236862 83.056 -48.1642
227.876266 83.063 -49.2096
229.527557 83.067 -50.2627
231.190811 83.068 -51.3470
232.866119 83.064 -52.4766
234.553558 83.057 -53.6495
236.253235 83.047 -54.8521
237.965225 83.036 -56.0720
239.689621 83.028 -57.3009
241.426514 83.025 -58.5219
243.175995 83.028 -59.7097
244.938141 83.033 -60.8459
246.713058 83.037 -61.9391
248.500839 83.039 -63.0262
250.301575 83.038 -64.1426
252.115356 83.034 -65.2990
253.942291 83.026 -66.4948
255.782455 83.013 -67.7217
257.635956 82.997 -68.9518
259.502899 82.981 -70.1500
261.383362 82.971 -71.2968
263.277466 82.970 -72.4014
265.185272 82.979 -73.4990
267.106903 83.000 -74.6307
269.042480 83.035 -75.8148
270.992065 83.085 -77.0365
272.955780 83.148 -78.2684
274.933716 83.220 -79.5043
276.925995 83.295 -80.7690
278.932709 83.372 -82.0872
280.953979 83.450 -83.4618
282.989899 83.526 -84.8845
285.040558 83.591 -86.3453
287.106079 83.632 -87.8521
289.186554 83.639 -89.4366
291.282104 83.616 -91.1187
293.392853 83.579 -92.8811
295.518890 83.543 -94.6774
297.660339 83.517 -96.4574
299.817322 83.504 -98.1929
301.989929 83.502 -99.8813
304.178284 83.509 -101.5338
306.382477 83.520 -103.1628
308.602661 83.533 -104.7780
310.838928 83.547 -106.3938
313.091400 83.560 -108.0287
315.360199 83.574 -109.6896
317.645416 83.586 -111.3646
319.947205 83.598 -113.0361
322.265686 83.610 -114.6973
324.600952 83.619 -116.3521
326.953156 83.626 -118.0074
329.322388 83.631 -119.6699
331.708801 83.634 -121.3464
334.112488 83.635 -123.0431
336.533600 83.636 -124.7622
338.972260 83.638 -126.4977
341.428589 83.641 -128.2428
343.902710 83.647 -129.9957
346.394775 83.655 -131.7558
348.904907 83.663 -133.5208
351.433228 83.672 -135.2891
353.979858 83.681 -137.0620
356.544952 83.691 -138.8454
359.128632 83.701 -140.6473
361.731018 83.711 -142.4717
364.352264 83.722 -144.3127
366.992523 83.734 -146.1615
369.651917 83.745 -148.0145
372.330566 83.757 -149.8712
375.028625 83.768 -151.7355
377.746246 83.777 -153.6125
380.483551 83.784 -155.5052
