* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08 28, 24 5:29:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Heartfield Blanc R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 96.875 9.8855
20.287556 96.875 9.8156
20.434568 96.876 9.7147
20.582645 96.877 9.5929
20.731796 96.877 9.4588
20.882027 96.879 9.3186
21.033346 96.880 9.1762
21.185762 96.882 9.0338
21.339283 96.885 8.8923
21.493916 96.889 8.7515
21.649670 96.894 8.6112
21.806553 96.899 8.4704
21.964573 96.905 8.3284
22.123737 96.911 8.1845
22.284056 96.916 8.0382
22.445536 96.921 7.8895
22.608185 96.924 7.7386
22.772013 96.925 7.5858
22.937029 96.925 7.4318
23.103241 96.922 7.2773
23.270657 96.918 7.1227
23.439285 96.911 6.9682
23.609137 96.903 6.8136
23.780218 96.895 6.6583
23.952539 96.886 6.5012
24.126110 96.876 6.3411
24.300938 96.868 6.1768
24.477032 96.860 6.0075
24.654402 96.853 5.8328
24.833057 96.847 5.6532
25.013008 96.842 5.4697
25.194263 96.838 5.2844
25.376831 96.835 5.0994
25.560722 96.832 4.9172
25.745945 96.831 4.7401
25.932510 96.831 4.5698
26.120428 96.831 4.4071
26.309708 96.832 4.2519
26.500359 96.833 4.1033
26.692390 96.835 3.9597
26.885815 96.837 3.8189
27.080641 96.838 3.6792
27.276878 96.840 3.5385
27.474539 96.841 3.3958
27.673630 96.841 3.2503
27.874165 96.840 3.1020
28.076153 96.839 2.9511
28.279604 96.837 2.7983
28.484529 96.835 2.6441
28.690941 96.832 2.4891
28.898848 96.831 2.3338
29.108261 96.829 2.1785
29.319191 96.828 2.0235
29.531651 96.827 1.8694
29.745649 96.826 1.7166
29.961199 96.826 1.5657
30.178310 96.825 1.4175
30.396996 96.824 1.2725
30.617264 96.823 1.1309
30.839128 96.822 0.9926
31.062601 96.821 0.8567
31.287693 96.819 0.7225
31.514416 96.818 0.5885
31.742783 96.817 0.4537
31.972803 96.816 0.3170
32.204491 96.815 0.1780
32.437859 96.814 0.0367
32.672916 96.813 -0.1065
32.909679 96.812 -0.2508
33.148155 96.811 -0.3951
33.388359 96.809 -0.5386
33.630306 96.808 -0.6810
33.874004 96.807 -0.8221
34.119469 96.806 -0.9622
34.366711 96.804 -1.1019
34.615746 96.803 -1.2419
34.866585 96.801 -1.3825
35.119244 96.799 -1.5243
35.373734 96.798 -1.6672
35.630066 96.796 -1.8110
35.888256 96.794 -1.9557
36.148315 96.792 -2.1008
36.410259 96.791 -2.2462
36.674103 96.789 -2.3916
36.939857 96.788 -2.5368
37.207539 96.787 -2.6815
37.477161 96.786 -2.8254
37.748737 96.785 -2.9682
38.022282 96.784 -3.1099
38.297806 96.783 -3.2506
38.575329 96.781 -3.3907
38.854862 96.780 -3.5308
39.136421 96.778 -3.6716
39.420021 96.777 -3.8136
39.705673 96.775 -3.9571
39.993397 96.773 -4.1019
40.283207 96.772 -4.2477
40.575115 96.770 -4.3940
40.869141 96.768 -4.5403
41.165295 96.767 -4.6864
41.463596 96.765 -4.8319
41.764057 96.764 -4.9768
42.066696 96.762 -5.1209
42.371529 96.761 -5.2642
42.678570 96.759 -5.4068
42.987835 96.757 -5.5487
43.299343 96.755 -5.6902
43.613110 96.753 -5.8314
43.929150 96.751 -5.9726
44.247478 96.749 -6.1143
44.568115 96.747 -6.2568
44.891075 96.746 -6.4008
45.216373 96.744 -6.5466
45.544029 96.743 -6.6942
45.874062 96.741 -6.8436
46.206486 96.739 -6.9939
46.541317 96.737 -7.1445
46.878574 96.735 -7.2946
47.218277 96.733 -7.4436
47.560440 96.730 -7.5913
47.905083 96.727 -7.7377
48.252224 96.725 -7.8830
48.601879 96.722 -8.0274
48.954067 96.720 -8.1713
49.308807 96.717 -8.3149
49.666119 96.715 -8.4584
50.026020 96.713 -8.6019
50.388531 96.710 -8.7451
50.753666 96.707 -8.8879
51.121449 96.705 -9.0302
51.491894 96.702 -9.1727
51.865025 96.700 -9.3165
52.240860 96.697 -9.4631
52.619419 96.695 -9.6136
53.000721 96.693 -9.7683
53.384785 96.690 -9.9263
53.771633 96.688 -10.0865
54.161285 96.685 -10.2474
54.553761 96.682 -10.4078
54.949081 96.679 -10.5672
55.347263 96.677 -10.7252
55.748333 96.674 -10.8817
56.152309 96.671 -11.0367
56.559212 96.668 -11.1902
56.969063 96.664 -11.3425
57.381886 96.661 -11.4942
57.797699 96.658 -11.6456
58.216526 96.655 -11.7973
58.638386 96.651 -11.9493
59.063305 96.648 -12.1020
59.491302 96.644 -12.2560
59.922401 96.640 -12.4118
60.356625 96.636 -12.5699
60.793995 96.633 -12.7301
61.234531 96.629 -12.8916
61.678261 96.624 -13.0533
62.125206 96.620 -13.2145
62.575390 96.617 -13.3750
63.028835 96.613 -13.5347
63.485569 96.609 -13.6938
63.945610 96.605 -13.8528
64.408989 96.601 -14.0116
64.875725 96.597 -14.1705
65.345840 96.593 -14.3297
65.819366 96.589 -14.4896
66.296318 96.585 -14.6509
66.776726 96.580 -14.8142
67.260620 96.576 -14.9795
67.748016 96.572 -15.1462
68.238945 96.567 -15.3134
68.733429 96.563 -15.4805
69.231499 96.558 -15.6470
69.733177 96.552 -15.8126
70.238495 96.547 -15.9775
70.747475 96.542 -16.1426
71.260139 96.536 -16.3094
71.776520 96.531 -16.4789
72.296638 96.526 -16.6511
72.820526 96.522 -16.8258
73.348213 96.517 -17.0024
73.879723 96.513 -17.1799
74.415085 96.508 -17.3572
74.954330 96.502 -17.5334
75.497482 96.497 -17.7088
76.044571 96.492 -17.8850
76.595619 96.486 -18.0624
77.150665 96.480 -18.2401
77.709732 96.473 -18.4172
78.272850 96.467 -18.5941
78.840050 96.460 -18.7715
79.411354 96.454 -18.9485
79.986801 96.447 -19.1241
80.566422 96.441 -19.2986
81.150238 96.435 -19.4736
81.738289 96.429 -19.6503
82.330597 96.422 -19.8283
82.927200 96.416 -20.0065
83.528122 96.409 -20.1852
84.133400 96.402 -20.3649
84.743065 96.396 -20.5452
85.357147 96.389 -20.7254
85.975677 96.382 -20.9054
86.598694 96.375 -21.0863
87.226227 96.367 -21.2689
87.858307 96.359 -21.4531
88.494965 96.351 -21.6385
89.136238 96.342 -21.8250
89.782158 96.334 -22.0131
90.432755 96.326 -22.2028
91.088066 96.317 -22.3939
91.748131 96.309 -22.5857
92.412979 96.300 -22.7772
93.082642 96.292 -22.9673
93.757156 96.283 -23.1555
94.436562 96.275 -23.3424
95.120888 96.266 -23.5290
95.810173 96.258 -23.7168
96.504456 96.249 -23.9067
97.203766 96.240 -24.0987
97.908142 96.231 -24.2910
98.617622 96.223 -24.4845
99.332245 96.215 -24.6844
100.052048 96.207 -24.8939
100.777069 96.197 -25.1021
101.507339 96.186 -25.2900
102.242905 96.176 -25.4580
102.983795 96.169 -25.6377
103.730057 96.162 -25.8563
104.481728 96.150 -26.0965
105.238846 96.134 -26.3118
106.001450 96.120 -26.4845
106.769577 96.111 -26.6508
107.543274 96.107 -26.8583
108.322578 96.098 -27.1086
109.107529 96.082 -27.3533
109.898170 96.063 -27.5451
110.694534 96.047 -27.6877
111.496674 96.040 -27.8321
112.304626 96.037 -28.0278
113.118431 96.032 -28.2807
113.938133 96.020 -28.5530
114.763779 96.000 -28.7936
115.595406 95.977 -28.9700
116.433060 95.956 -29.0842
117.276779 95.944 -29.1713
118.126617 95.939 -29.2849
118.982613 95.936 -29.4726
119.844810 95.928 -29.7528
120.713257 95.909 -30.0989
121.587997 95.877 -30.4434
122.469070 95.837 -30.7137
123.356529 95.799 -30.8788
124.250420 95.770 -30.9595
125.150787 95.757 -31.0047
126.057678 95.759 -31.0709
126.971146 95.773 -31.2149
127.891228 95.790 -31.4775
128.817978 95.799 -31.8634
129.751450 95.790 -32.3347
130.691681 95.759 -32.8291
131.638733 95.704 -33.2812
132.592636 95.628 -33.6272
133.553452 95.537 -33.8047
134.521240 95.444 -33.7689
135.496033 95.359 -33.5081
136.477890 95.296 -33.0366
137.466858 95.265 -32.3930
138.462997 95.277 -31.6449
139.466354 95.336 -30.8855
140.476990 95.443 -30.2347
141.494949 95.587 -29.8304
142.520279 95.748 -29.7688
143.553040 95.903 -30.0448
144.593277 96.035 -30.5672
145.641052 96.142 -31.2260
146.696426 96.228 -31.9398
147.759445 96.300 -32.6741
148.830170 96.362 -33.4409
149.908661 96.410 -34.2641
150.994965 96.436 -35.1210
152.089142 96.433 -35.9241
153.191238 96.403 -36.5741
154.301331 96.358 -37.0257
155.419464 96.307 -37.2980
156.545700 96.256 -37.4437
157.680099 96.206 -37.5276
158.822708 96.155 -37.6161
159.973602 96.095 -37.7590
161.132843 96.019 -37.9703
162.300476 95.925 -38.2281
163.476578 95.819 -38.5035
164.661194 95.712 -38.7944
165.854401 95.616 -39.1264
167.056244 95.538 -39.5236
168.266800 95.484 -39.9859
169.486130 95.451 -40.4887
170.714294 95.435 -40.9967
171.951355 95.432 -41.4804
173.197388 95.433 -41.9252
174.452454 95.431 -42.3310
175.716614 95.422 -42.7001
176.989929 95.405 -43.0296
178.272476 95.381 -43.3151
179.564316 95.355 -43.5602
180.865509 95.328 -43.7778
182.176132 95.301 -43.9877
183.496262 95.273 -44.2119
184.825958 95.245 -44.4669
186.165283 95.218 -44.7548
187.514313 95.193 -45.0604
188.873123 95.170 -45.3598
190.241776 95.148 -45.6367
191.620346 95.125 -45.8932
193.008911 95.100 -46.1444
194.407532 95.074 -46.4044
195.816284 95.048 -46.6771
197.235245 95.024 -46.9593
198.664490 95.000 -47.2477
200.104095 94.978 -47.5406
201.554138 94.956 -47.8357
203.014679 94.933 -48.1293
204.485809 94.911 -48.4182
205.967590 94.887 -48.7019
207.460114 94.864 -48.9821
208.963455 94.839 -49.2620
210.477692 94.814 -49.5439
212.002899 94.789 -49.8293
213.539154 94.764 -50.1183
215.086548 94.739 -50.4088
216.645157 94.713 -50.6979
218.215057 94.688 -50.9835
219.796341 94.662 -51.2662
221.389069 94.635 -51.5477
222.993347 94.608 -51.8291
224.609253 94.581 -52.1120
226.236862 94.553 -52.3972
227.876266 94.525 -52.6844
229.527557 94.497 -52.9729
231.190811 94.470 -53.2610
232.866119 94.442 -53.5469
234.553558 94.414 -53.8292
236.253235 94.385 -54.1083
237.965225 94.356 -54.3862
239.689621 94.327 -54.6651
241.426514 94.296 -54.9460
243.175995 94.266 -55.2282
244.938141 94.235 -55.5103
246.713058 94.203 -55.7904
248.500839 94.171 -56.0676
250.301575 94.139 -56.3425
252.115356 94.105 -56.6151
253.942291 94.072 -56.8839
255.782455 94.037 -57.1476
257.635956 94.002 -57.4059
259.502899 93.966 -57.6592
261.383362 93.929 -57.9063
263.277466 93.891 -58.1444
265.185272 93.853 -58.3706
267.106903 93.815 -58.5822
269.042480 93.776 -58.7765
270.992065 93.738 -58.9499
272.955780 93.701 -59.0990
274.933716 93.666 -59.2213
276.925995 93.634 -59.3152
278.932709 93.607 -59.3820
280.953979 93.585 -59.4277
282.989899 93.571 -59.4625
285.040558 93.564 -59.4987
287.106079 93.565 -59.5500
289.186554 93.570 -59.6306
291.282104 93.578 -59.7530
293.392853 93.589 -59.9259
295.518890 93.602 -60.1552
297.660339 93.618 -60.4436
299.817322 93.633 -60.7886
301.989929 93.645 -61.1836
304.178284 93.654 -61.6201
306.382477 93.656 -62.0881
308.602661 93.652 -62.5758
310.838928 93.642 -63.0707
313.091400 93.625 -63.5616
315.360199 93.603 -64.0405
317.645416 93.578 -64.5034
319.947205 93.549 -64.9494
322.265686 93.518 -65.3789
324.600952 93.486 -65.7930
326.953156 93.451 -66.1928
329.322388 93.416 -66.5800
331.708801 93.380 -66.9556
334.112488 93.344 -67.3204
336.533600 93.308 -67.6760
338.972260 93.272 -68.0241
341.428589 93.237 -68.3666
343.902710 93.203 -68.7048
