* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08 1, 24 3:33:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ Castor Bass DDDD L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 92.073 -156.9965
20.287556 92.082 -156.9634
20.434568 92.096 -156.9612
20.582645 92.112 -156.9808
20.731796 92.131 -157.0153
20.882027 92.150 -157.0604
21.033346 92.171 -157.1164
21.185762 92.193 -157.1886
21.339283 92.215 -157.2703
21.493916 92.238 -157.3623
21.649670 92.263 -157.4646
21.806553 92.288 -157.5768
21.964573 92.313 -157.6969
22.123737 92.339 -157.8290
22.284056 92.366 -157.9648
22.445536 92.393 -158.0983
22.608185 92.420 -158.2257
22.772013 92.448 -158.3434
22.937029 92.477 -158.4493
23.103241 92.507 -158.5471
23.270657 92.538 -158.6357
23.439285 92.571 -158.7141
23.609137 92.604 -158.7856
23.780218 92.638 -158.8542
23.952539 92.671 -158.9242
24.126110 92.704 -159.0051
24.300938 92.736 -159.0962
24.477032 92.765 -159.1972
24.654402 92.791 -159.3083
24.833057 92.814 -159.4286
25.013008 92.834 -159.5565
25.194263 92.851 -159.6955
25.376831 92.866 -159.8367
25.560722 92.880 -159.9778
25.745945 92.893 -160.1174
25.932510 92.907 -160.2548
26.120428 92.923 -160.3951
26.309708 92.940 -160.5369
26.500359 92.960 -160.6785
26.692390 92.982 -160.8206
26.885815 93.006 -160.9633
27.080641 93.032 -161.1090
27.276878 93.060 -161.2577
27.474539 93.088 -161.4041
27.673630 93.115 -161.5468
27.874165 93.143 -161.6844
28.076153 93.170 -161.8183
28.279604 93.196 -161.9501
28.484529 93.222 -162.0775
28.690941 93.247 -162.2023
28.898848 93.271 -162.3266
29.108261 93.294 -162.4553
29.319191 93.317 -162.5901
29.531651 93.340 -162.7299
29.745649 93.362 -162.8750
29.961199 93.384 -163.0250
30.178310 93.406 -163.1826
30.396996 93.428 -163.3429
30.617264 93.449 -163.5027
30.839128 93.470 -163.6602
31.062601 93.492 -163.8150
31.287693 93.512 -163.9681
31.514416 93.533 -164.1162
31.742783 93.554 -164.2601
31.972803 93.575 -164.4011
32.204491 93.595 -164.5443
32.437859 93.616 -164.6891
32.672916 93.637 -164.8365
32.909679 93.658 -164.9879
33.148155 93.680 -165.1467
33.388359 93.702 -165.3116
33.630306 93.724 -165.4804
33.874004 93.747 -165.6520
34.119469 93.771 -165.8276
34.366711 93.796 -166.0064
34.615746 93.821 -166.1861
34.866585 93.846 -166.3663
35.119244 93.872 -166.5487
35.373734 93.897 -166.7333
35.630066 93.921 -166.9187
35.888256 93.945 -167.1050
36.148315 93.968 -167.2957
36.410259 93.990 -167.4910
36.674103 94.011 -167.6898
36.939857 94.033 -167.8927
37.207539 94.053 -168.1013
37.477161 94.073 -168.3127
37.748737 94.092 -168.5241
38.022282 94.110 -168.7329
38.297806 94.127 -168.9397
38.575329 94.144 -169.1395
38.854862 94.160 -169.3322
39.136421 94.177 -169.5207
39.420021 94.194 -169.7080
39.705673 94.211 -169.8961
39.993397 94.229 -170.0874
40.283207 94.247 -170.2852
40.575115 94.265 -170.4866
40.869141 94.284 -170.6898
41.165295 94.303 -170.8954
41.463596 94.322 -171.1024
41.764057 94.342 -171.3094
42.066696 94.363 -171.5185
42.371529 94.384 -171.7322
42.678570 94.403 -171.9506
42.987835 94.422 -172.1739
43.299343 94.439 -172.4041
43.613110 94.455 -172.6372
43.929150 94.469 -172.8719
44.247478 94.482 -173.1101
44.568115 94.495 -173.3498
44.891075 94.507 -173.5904
45.216373 94.520 -173.8329
45.544029 94.533 -174.0767
45.874062 94.547 -174.3206
46.206486 94.561 -174.5653
46.541317 94.576 -174.8095
46.878574 94.592 -175.0514
47.218277 94.607 -175.2914
47.560440 94.623 -175.5276
47.905083 94.639 -175.7591
48.252224 94.655 -175.9881
48.601879 94.671 -176.2169
48.954067 94.686 -176.4490
49.308807 94.700 -176.6889
49.666119 94.713 -176.9382
50.026020 94.723 -177.1964
50.388531 94.731 -177.4630
50.753666 94.737 -177.7322
51.121449 94.743 -178.0021
51.491894 94.749 -178.2725
51.865025 94.756 -178.5427
52.240860 94.765 -178.8145
52.619419 94.774 -179.0881
53.000721 94.784 -179.3619
53.384785 94.793 -179.6367
53.771633 94.802 -179.9093
54.161285 94.810 179.8201
54.553761 94.817 179.5508
54.949081 94.824 179.2824
55.347263 94.832 179.0120
55.748333 94.840 178.7390
56.152309 94.848 178.4614
56.559212 94.857 178.1773
56.969063 94.866 177.8872
57.381886 94.875 177.5909
57.797699 94.881 177.2950
58.216526 94.886 177.0051
58.638386 94.890 176.7243
59.063305 94.892 176.4524
59.491302 94.894 176.1846
59.922401 94.896 175.9172
60.356625 94.898 175.6442
60.793995 94.899 175.3646
61.234531 94.901 175.0793
61.678261 94.904 174.7911
62.125206 94.906 174.5040
62.575390 94.909 174.2198
63.028835 94.911 173.9388
63.485569 94.914 173.6577
63.945610 94.916 173.3763
64.408989 94.917 173.0919
64.875725 94.918 172.8045
65.345840 94.917 172.5140
65.819366 94.916 172.2212
66.296318 94.915 171.9256
66.776726 94.914 171.6283
67.260620 94.912 171.3313
67.748016 94.910 171.0346
68.238945 94.908 170.7359
68.733429 94.906 170.4349
69.231499 94.903 170.1331
69.733177 94.901 169.8305
70.238495 94.898 169.5270
70.747475 94.894 169.2222
71.260139 94.890 168.9153
71.776520 94.885 168.6071
72.296638 94.879 168.2997
72.820526 94.872 167.9937
73.348213 94.864 167.6884
73.879723 94.856 167.3828
74.415085 94.848 167.0746
74.954330 94.841 166.7644
75.497482 94.833 166.4532
76.044571 94.825 166.1414
76.595619 94.817 165.8296
77.150665 94.808 165.5179
77.709732 94.799 165.2061
78.272850 94.789 164.8937
78.840050 94.778 164.5809
79.411354 94.768 164.2685
79.986801 94.757 163.9562
80.566422 94.746 163.6430
81.150238 94.734 163.3290
81.738289 94.722 163.0143
82.330597 94.709 162.6974
82.927200 94.695 162.3796
83.528122 94.681 162.0640
84.133400 94.667 161.7492
84.743065 94.653 161.4331
85.357147 94.638 161.1153
85.975677 94.623 160.7953
86.598694 94.607 160.4754
87.226227 94.591 160.1531
87.858307 94.574 159.8284
88.494965 94.557 159.5053
89.136238 94.539 159.1846
89.782158 94.520 158.8662
90.432755 94.502 158.5478
91.088066 94.482 158.2292
91.748131 94.462 157.9113
92.412979 94.441 157.5938
93.082642 94.420 157.2778
93.757156 94.398 156.9633
94.436562 94.376 156.6509
95.120888 94.354 156.3390
95.810173 94.331 156.0259
96.504456 94.308 155.7133
97.203766 94.285 155.3995
97.908142 94.260 155.0831
98.617622 94.235 154.7686
99.332245 94.209 154.4548
100.052048 94.183 154.1422
100.777069 94.156 153.8304
101.507339 94.129 153.5228
102.242905 94.101 153.2191
102.983795 94.074 152.9171
103.730057 94.046 152.6115
104.481728 94.017 152.3056
105.238846 93.989 152.0003
106.001450 93.959 151.6964
106.769577 93.930 151.3911
107.543274 93.900 151.0864
108.322578 93.870 150.7825
109.107529 93.839 150.4791
109.898170 93.807 150.1732
110.694534 93.774 149.8670
111.496674 93.740 149.5635
112.304626 93.706 149.2634
113.118431 93.671 148.9656
113.938133 93.635 148.6690
114.763779 93.599 148.3706
115.595406 93.563 148.0714
116.433060 93.526 147.7693
117.276779 93.488 147.4677
118.126617 93.448 147.1735
118.982613 93.408 146.8843
119.844810 93.368 146.6085
120.713257 93.330 146.3496
121.587997 93.293 146.1029
122.469070 93.257 145.8605
123.356529 93.221 145.6165
124.250420 93.184 145.3668
125.150787 93.147 145.1068
126.057678 93.109 144.8366
126.971146 93.071 144.5567
127.891228 93.033 144.2648
128.817978 92.995 143.9684
129.751450 92.955 143.6695
130.691681 92.914 143.3691
131.638733 92.871 143.0699
132.592636 92.827 142.7747
133.553452 92.782 142.4830
134.521240 92.736 142.1952
135.496033 92.690 141.9139
136.477890 92.642 141.6399
137.466858 92.593 141.3737
138.462997 92.543 141.1129
139.466354 92.491 140.8546
140.476990 92.439 140.6001
141.494949 92.387 140.3470
142.520279 92.334 140.0955
143.553040 92.282 139.8475
144.593277 92.229 139.6036
145.641052 92.177 139.3642
146.696426 92.123 139.1284
147.759445 92.070 138.8961
148.830170 92.015 138.6633
149.908661 91.960 138.4315
150.994965 91.904 138.2040
152.089142 91.848 137.9784
153.191238 91.791 137.7587
154.301331 91.734 137.5442
155.419464 91.676 137.3329
156.545700 91.617 137.1291
157.680099 91.557 136.9332
158.822708 91.497 136.7419
159.973602 91.436 136.5568
161.132843 91.374 136.3729
162.300476 91.312 136.1921
163.476578 91.249 136.0156
164.661194 91.185 135.8439
165.854401 91.120 135.6782
167.056244 91.054 135.5210
168.266800 90.988 135.3702
169.486130 90.920 135.2279
170.714294 90.852 135.0965
171.951355 90.782 134.9773
173.197388 90.711 134.8738
174.452454 90.639 134.7870
175.716614 90.567 134.7193
176.989929 90.495 134.6761
178.272476 90.422 134.6544
179.564316 90.349 134.6582
180.865509 90.277 134.6920
182.176132 90.206 134.7502
183.496262 90.137 134.8439
184.825958 90.072 134.9719
186.165283 90.011 135.1322
187.514313 89.956 135.3152
188.873123 89.908 135.5002
190.241776 89.868 135.6794
191.620346 89.837 135.8270
193.008911 89.817 135.9425
194.407532 89.805 136.0015
195.816284 89.797 136.0060
197.235245 89.792 135.9407
198.664490 89.784 135.8089
200.104095 89.772 135.6206
201.554138 89.753 135.3885
203.014679 89.727 135.1275
204.485809 89.694 134.8505
205.967590 89.653 134.5703
207.460114 89.606 134.2948
208.963455 89.553 134.0364
210.477692 89.496 133.7961
212.002899 89.436 133.5752
213.539154 89.373 133.3758
215.086548 89.308 133.1976
216.645157 89.242 133.0448
218.215057 89.176 132.9096
219.796341 89.109 132.7946
221.389069 89.041 132.7019
222.993347 88.973 132.6260
224.609253 88.905 132.5645
226.236862 88.838 132.5135
227.876266 88.770 132.4705
229.527557 88.702 132.4343
231.190811 88.634 132.4021
232.866119 88.565 132.3747
234.553558 88.496 132.3486
236.253235 88.427 132.3342
237.965225 88.359 132.3334
239.689621 88.292 132.3406
241.426514 88.225 132.3580
243.175995 88.160 132.3823
244.938141 88.096 132.4102
246.713058 88.032 132.4378
248.500839 87.969 132.4679
250.301575 87.905 132.4937
252.115356 87.842 132.5203
253.942291 87.780 132.5533
255.782455 87.718 132.5942
257.635956 87.657 132.6523
259.502899 87.597 132.7220
261.383362 87.537 132.8022
263.277466 87.478 132.8964
265.185272 87.419 132.9907
267.106903 87.361 133.0831
269.042480 87.304 133.1702
270.992065 87.246 133.2607
272.955780 87.190 133.3539
274.933716 87.133 133.4528
276.925995 87.077 133.5613
278.932709 87.020 133.6697
280.953979 86.965 133.7839
282.989899 86.910 133.9048
285.040558 86.855 134.0215
287.106079 86.802 134.1385
289.186554 86.750 134.2564
291.282104 86.698 134.3766
293.392853 86.647 134.4991
295.518890 86.597 134.6266
297.660339 86.547 134.7560
299.817322 86.498 134.8881
301.989929 86.449 135.0270
304.178284 86.401 135.1675
306.382477 86.354 135.3101
308.602661 86.307 135.4586
310.838928 86.260 135.6113
313.091400 86.215 135.7661
315.360199 86.170 135.9236
317.645416 86.125 136.0796
319.947205 86.081 136.2386
322.265686 86.038 136.3964
324.600952 85.995 136.5540
326.953156 85.953 136.7134
329.322388 85.911 136.8718
331.708801 85.870 137.0305
334.112488 85.830 137.1920
336.533600 85.791 137.3586
338.972260 85.752 137.5280
341.428589 85.714 137.6994
343.902710 85.676 137.8699
346.394775 85.639 138.0408
348.904907 85.602 138.2105
351.433228 85.566 138.3826
353.979858 85.531 138.5521
356.544952 85.496 138.7221
359.128632 85.462 138.8919
361.731018 85.427 139.0595
364.352264 85.393 139.2278
366.992523 85.359 139.3946
369.651917 85.326 139.5658
372.330566 85.293 139.7297
375.028625 85.260 139.9011
377.746246 85.228 140.0689
380.483551 85.197 140.2390
