* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08 1, 24 3:33:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ Castor Bass UUUU R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.910 -166.9867
20.287556 94.916 -166.9668
20.434568 94.925 -166.9873
20.582645 94.935 -167.0366
20.731796 94.947 -167.1046
20.882027 94.959 -167.1838
21.033346 94.972 -167.2713
21.185762 94.984 -167.3689
21.339283 94.996 -167.4674
21.493916 95.008 -167.5656
21.649670 95.021 -167.6630
21.806553 95.033 -167.7599
21.964573 95.046 -167.8567
22.123737 95.059 -167.9614
22.284056 95.072 -168.0701
22.445536 95.084 -168.1821
22.608185 95.097 -168.2977
22.772013 95.108 -168.4171
22.937029 95.118 -168.5395
23.103241 95.127 -168.6680
23.270657 95.133 -168.7985
23.439285 95.139 -168.9253
23.609137 95.142 -169.0455
23.780218 95.145 -169.1567
23.952539 95.148 -169.2576
24.126110 95.152 -169.3537
24.300938 95.157 -169.4430
24.477032 95.165 -169.5263
24.654402 95.176 -169.6077
24.833057 95.190 -169.6919
25.013008 95.207 -169.7840
25.194263 95.226 -169.8936
25.376831 95.248 -170.0162
25.560722 95.270 -170.1520
25.745945 95.292 -170.2991
25.932510 95.313 -170.4539
26.120428 95.333 -170.6163
26.309708 95.351 -170.7794
26.500359 95.366 -170.9357
26.692390 95.380 -171.0821
26.885815 95.393 -171.2168
27.080641 95.405 -171.3426
27.276878 95.416 -171.4627
27.474539 95.427 -171.5762
27.673630 95.438 -171.6868
27.874165 95.449 -171.7979
28.076153 95.460 -171.9141
28.279604 95.471 -172.0383
28.484529 95.482 -172.1676
28.690941 95.492 -172.3016
28.898848 95.503 -172.4389
29.108261 95.513 -172.5811
29.319191 95.523 -172.7265
29.531651 95.534 -172.8720
29.745649 95.545 -173.0168
29.961199 95.557 -173.1604
30.178310 95.568 -173.3064
30.396996 95.580 -173.4512
30.617264 95.591 -173.5930
30.839128 95.602 -173.7314
31.062601 95.612 -173.8670
31.287693 95.621 -174.0020
31.514416 95.631 -174.1336
31.742783 95.640 -174.2633
31.972803 95.649 -174.3927
32.204491 95.659 -174.5271
32.437859 95.668 -174.6655
32.672916 95.678 -174.8088
32.909679 95.689 -174.9576
33.148155 95.699 -175.1148
33.388359 95.710 -175.2780
33.630306 95.720 -175.4439
33.874004 95.731 -175.6103
34.119469 95.741 -175.7771
34.366711 95.751 -175.9427
34.615746 95.760 -176.1038
34.866585 95.770 -176.2601
35.119244 95.779 -176.4136
35.373734 95.787 -176.5657
35.630066 95.795 -176.7162
35.888256 95.803 -176.8665
36.148315 95.810 -177.0206
36.410259 95.816 -177.1782
36.674103 95.822 -177.3374
36.939857 95.827 -177.4975
37.207539 95.833 -177.6593
37.477161 95.838 -177.8208
37.748737 95.845 -177.9816
38.022282 95.852 -178.1424
38.297806 95.861 -178.3079
38.575329 95.871 -178.4756
38.854862 95.881 -178.6467
39.136421 95.891 -178.8223
39.420021 95.900 -179.0018
39.705673 95.909 -179.1830
39.993397 95.917 -179.3642
40.283207 95.923 -179.5464
40.575115 95.929 -179.7261
40.869141 95.934 -179.9031
41.165295 95.939 179.9202
41.463596 95.945 179.7432
41.764057 95.950 179.5666
42.066696 95.955 179.3890
42.371529 95.960 179.2092
42.678570 95.965 179.0281
42.987835 95.970 178.8462
43.299343 95.974 178.6616
43.613110 95.977 178.4777
43.929150 95.980 178.2953
44.247478 95.983 178.1125
44.568115 95.986 177.9310
44.891075 95.989 177.7513
45.216373 95.992 177.5718
45.544029 95.996 177.3922
45.874062 96.000 177.2121
46.206486 96.005 177.0290
46.541317 96.010 176.8429
46.878574 96.015 176.6544
47.218277 96.020 176.4625
47.560440 96.025 176.2683
47.905083 96.030 176.0734
48.252224 96.035 175.8765
48.601879 96.040 175.6782
48.954067 96.045 175.4781
49.308807 96.048 175.2755
49.666119 96.050 175.0710
50.026020 96.050 174.8657
50.388531 96.048 174.6584
50.753666 96.046 174.4521
51.121449 96.043 174.2457
51.491894 96.040 174.0377
51.865025 96.037 173.8288
52.240860 96.036 173.6177
52.619419 96.035 173.4055
53.000721 96.034 173.1936
53.384785 96.033 172.9812
53.771633 96.032 172.7705
54.161285 96.030 172.5609
54.553761 96.029 172.3513
54.949081 96.027 172.1420
55.347263 96.025 171.9321
55.748333 96.023 171.7239
56.152309 96.021 171.5192
56.559212 96.019 171.3192
56.969063 96.017 171.1237
57.381886 96.016 170.9269
57.797699 96.014 170.7264
58.216526 96.011 170.5177
58.638386 96.007 170.2981
59.063305 96.001 170.0679
59.491302 95.994 169.8290
59.922401 95.986 169.5865
60.356625 95.978 169.3419
60.793995 95.970 169.0983
61.234531 95.962 168.8570
61.678261 95.955 168.6199
62.125206 95.947 168.3892
62.575390 95.940 168.1651
63.028835 95.934 167.9460
63.485569 95.927 167.7274
63.945610 95.921 167.5079
64.408989 95.914 167.2847
64.875725 95.907 167.0586
65.345840 95.898 166.8301
65.819366 95.890 166.6004
66.296318 95.881 166.3686
66.776726 95.871 166.1353
67.260620 95.861 165.9023
67.748016 95.850 165.6701
68.238945 95.839 165.4376
68.733429 95.828 165.2054
69.231499 95.816 164.9756
69.733177 95.803 164.7483
70.238495 95.790 164.5227
70.747475 95.777 164.2975
71.260139 95.763 164.0695
71.776520 95.750 163.8362
72.296638 95.736 163.5970
72.820526 95.722 163.3525
73.348213 95.708 163.1047
73.879723 95.695 162.8570
74.415085 95.680 162.6095
74.954330 95.665 162.3632
75.497482 95.650 162.1176
76.044571 95.634 161.8718
76.595619 95.618 161.6257
77.150665 95.601 161.3795
77.709732 95.584 161.1334
78.272850 95.567 160.8880
78.840050 95.549 160.6435
79.411354 95.531 160.4007
79.986801 95.513 160.1589
80.566422 95.494 159.9167
81.150238 95.475 159.6750
81.738289 95.456 159.4346
82.330597 95.436 159.1935
82.927200 95.415 158.9520
83.528122 95.395 158.7120
84.133400 95.374 158.4715
84.743065 95.352 158.2289
85.357147 95.330 157.9846
85.975677 95.308 157.7390
86.598694 95.285 157.4952
87.226227 95.261 157.2509
87.858307 95.238 157.0058
88.494965 95.213 156.7627
89.136238 95.188 156.5211
89.782158 95.163 156.2803
90.432755 95.137 156.0387
91.088066 95.111 155.7966
91.748131 95.084 155.5550
92.412979 95.057 155.3126
93.082642 95.029 155.0696
93.757156 95.001 154.8258
94.436562 94.972 154.5833
95.120888 94.943 154.3420
95.810173 94.913 154.1018
96.504456 94.883 153.8642
97.203766 94.852 153.6272
97.908142 94.821 153.3881
98.617622 94.789 153.1504
99.332245 94.757 152.9127
100.052048 94.724 152.6747
100.777069 94.691 152.4352
101.507339 94.658 152.1972
102.242905 94.623 151.9616
102.983795 94.589 151.7285
103.730057 94.553 151.4946
104.481728 94.518 151.2635
105.238846 94.481 151.0347
106.001450 94.445 150.8072
106.769577 94.407 150.5779
107.543274 94.369 150.3505
108.322578 94.331 150.1270
109.107529 94.291 149.9079
109.898170 94.252 149.6898
110.694534 94.211 149.4732
111.496674 94.170 149.2602
112.304626 94.129 149.0505
113.118431 94.087 148.8422
113.938133 94.044 148.6331
114.763779 94.002 148.4199
115.595406 93.958 148.2043
116.433060 93.914 147.9857
117.276779 93.869 147.7692
118.126617 93.822 147.5616
118.982613 93.774 147.3574
119.844810 93.727 147.1583
120.713257 93.680 146.9639
121.587997 93.633 146.7726
122.469070 93.585 146.5839
123.356529 93.537 146.3989
124.250420 93.486 146.2164
125.150787 93.435 146.0311
126.057678 93.382 145.8409
126.971146 93.329 145.6453
127.891228 93.277 145.4429
128.817978 93.225 145.2426
129.751450 93.175 145.0482
130.691681 93.124 144.8615
131.638733 93.071 144.6832
132.592636 93.017 144.5125
133.553452 92.961 144.3459
134.521240 92.904 144.1814
135.496033 92.844 144.0206
136.477890 92.784 143.8641
137.466858 92.722 143.7130
138.462997 92.661 143.5659
139.466354 92.600 143.4223
140.476990 92.539 143.2859
141.494949 92.477 143.1564
142.520279 92.414 143.0358
143.553040 92.350 142.9268
144.593277 92.284 142.8273
145.641052 92.217 142.7341
146.696426 92.150 142.6443
147.759445 92.081 142.5585
148.830170 92.012 142.4747
149.908661 91.943 142.3966
150.994965 91.871 142.3318
152.089142 91.799 142.2806
153.191238 91.724 142.2482
154.301331 91.649 142.2338
155.419464 91.573 142.2365
156.545700 91.496 142.2625
157.680099 91.420 142.3145
158.822708 91.345 142.3913
159.973602 91.271 142.4964
161.132843 91.201 142.6270
162.300476 91.134 142.7840
163.476578 91.072 142.9644
164.661194 91.016 143.1600
165.854401 90.967 143.3612
167.056244 90.926 143.5596
168.266800 90.891 143.7426
169.486130 90.863 143.9012
170.714294 90.840 144.0261
171.951355 90.820 144.1077
173.197388 90.800 144.1414
174.452454 90.777 144.1255
175.716614 90.751 144.0620
176.989929 90.719 143.9579
178.272476 90.681 143.8160
179.564316 90.636 143.6510
180.865509 90.584 143.4778
182.176132 90.526 143.2974
183.496262 90.463 143.1260
184.825958 90.396 142.9702
186.165283 90.325 142.8406
187.514313 90.250 142.7435
188.873123 90.174 142.6735
190.241776 90.095 142.6341
191.620346 90.016 142.6073
193.008911 89.937 142.5974
194.407532 89.858 142.5881
195.816284 89.778 142.5963
197.235245 89.698 142.6207
198.664490 89.618 142.6669
200.104095 89.538 142.7354
201.554138 89.458 142.8240
203.014679 89.378 142.9317
204.485809 89.298 143.0576
205.967590 89.217 143.2005
207.460114 89.136 143.3541
208.963455 89.055 143.5163
210.477692 88.974 143.6779
212.002899 88.895 143.8376
213.539154 88.816 144.0000
215.086548 88.738 144.1695
216.645157 88.660 144.3557
218.215057 88.583 144.5550
219.796341 88.506 144.7716
221.389069 88.430 145.0088
222.993347 88.354 145.2635
224.609253 88.278 145.5364
226.236862 88.203 145.8251
227.876266 88.127 146.1285
229.527557 88.053 146.4454
231.190811 87.978 146.7709
232.866119 87.906 147.1004
234.553558 87.835 147.4226
236.253235 87.766 147.7437
237.965225 87.699 148.0693
239.689621 87.633 148.4032
241.426514 87.567 148.7551
243.175995 87.503 149.1224
244.938141 87.438 149.5010
246.713058 87.374 149.8889
248.500839 87.310 150.2925
250.301575 87.248 150.7075
252.115356 87.188 151.1379
253.942291 87.131 151.5849
255.782455 87.076 152.0427
257.635956 87.023 152.5135
259.502899 86.973 152.9875
261.383362 86.925 153.4615
263.277466 86.880 153.9394
265.185272 86.837 154.4102
267.106903 86.797 154.8763
269.042480 86.758 155.3361
270.992065 86.722 155.7971
272.955780 86.688 156.2565
274.933716 86.654 156.7154
276.925995 86.623 157.1774
278.932709 86.592 157.6339
280.953979 86.563 158.0916
282.989899 86.535 158.5524
285.040558 86.507 159.0060
287.106079 86.481 159.4570
289.186554 86.456 159.9061
291.282104 86.431 160.3561
293.392853 86.408 160.8087
295.518890 86.385 161.2667
297.660339 86.362 161.7258
299.817322 86.340 162.1849
301.989929 86.320 162.6475
304.178284 86.300 163.1069
306.382477 86.282 163.5628
308.602661 86.266 164.0176
310.838928 86.251 164.4706
313.091400 86.237 164.9222
315.360199 86.224 165.3762
317.645416 86.213 165.8302
319.947205 86.203 166.2876
322.265686 86.195 166.7413
324.600952 86.188 167.1898
326.953156 86.182 167.6357
329.322388 86.177 168.0775
331.708801 86.173 168.5175
334.112488 86.170 168.9583
336.533600 86.169 169.4013
338.972260 86.169 169.8437
341.428589 86.171 170.2844
343.902710 86.174 170.7197
346.394775 86.178 171.1496
348.904907 86.184 171.5718
351.433228 86.191 171.9903
353.979858 86.200 172.4003
356.544952 86.211 172.8036
359.128632 86.224 173.1978
361.731018 86.238 173.5792
364.352264 86.253 173.9492
366.992523 86.268 174.3051
369.651917 86.284 174.6537
372.330566 86.300 174.9845
375.028625 86.315 175.3138
377.746246 86.330 175.6323
380.483551 86.344 175.9477
383.240692 86.358 176.2571
386.017822 86.372 176.5647
