* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 13, 2023 7:08:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ D-fi DDDU L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.934 -160.7589
20.507813 94.929 -160.9489
20.874023 94.919 -161.3862
21.240234 94.916 -161.6445
21.606445 94.927 -161.7042
21.972656 94.953 -161.7041
22.338867 94.985 -161.7621
22.705078 95.006 -161.9380
23.071289 95.007 -162.2026
23.437500 94.989 -162.4535
23.803711 94.972 -162.5888
24.169922 94.979 -162.5800
24.536133 95.023 -162.4946
24.902344 95.097 -162.4489
25.268555 95.176 -162.5270
25.634766 95.232 -162.7295
26.000977 95.243 -162.9862
26.367188 95.209 -163.2105
26.733399 95.142 -163.3548
27.099610 95.064 -163.4317
27.465821 94.994 -163.4911
27.832032 94.944 -163.5783
28.198243 94.919 -163.7096
28.564454 94.916 -163.8761
28.930665 94.930 -164.0616
29.296876 94.950 -164.2536
29.663087 94.966 -164.4401
30.029298 94.970 -164.6026
30.395509 94.962 -164.7193
30.761720 94.945 -164.7800
31.127931 94.930 -164.8002
31.494142 94.922 -164.8151
31.860353 94.923 -164.8535
32.226563 94.928 -164.9143
32.592774 94.933 -164.9653
32.958985 94.935 -164.9695
33.325196 94.937 -164.9178
33.691407 94.941 -164.8443
34.057618 94.948 -164.8101
34.423829 94.952 -164.8655
34.790040 94.949 -165.0188
35.156251 94.935 -165.2330
35.522462 94.912 -165.4488
35.888673 94.888 -165.6180
36.254884 94.869 -165.7239
36.621095 94.859 -165.7831
36.987306 94.858 -165.8293
37.353517 94.859 -165.8915
37.719728 94.856 -165.9753
38.085939 94.842 -166.0555
38.452150 94.816 -166.0828
38.818361 94.783 -166.0077
39.184572 94.756 -165.8122
39.550783 94.746 -165.5335
39.916994 94.760 -165.2588
40.283205 94.792 -165.0884
40.649416 94.829 -165.0832
41.015627 94.855 -165.2320
41.381838 94.858 -165.4581
41.748049 94.840 -165.6631
42.114260 94.811 -165.7775
42.480471 94.781 -165.7890
42.846682 94.761 -165.7331
43.212893 94.751 -165.6597
43.579103 94.748 -165.6024
43.945314 94.747 -165.5700
44.311525 94.746 -165.5592
44.677736 94.744 -165.5703
45.043947 94.740 -165.6084
45.410158 94.732 -165.6710
45.776369 94.720 -165.7372
46.142580 94.704 -165.7712
46.508791 94.688 -165.7427
46.875002 94.679 -165.6474
47.241213 94.681 -165.5117
47.607424 94.693 -165.3773
47.973635 94.709 -165.2779
48.339846 94.722 -165.2235
48.706057 94.729 -165.2029
49.072268 94.728 -165.1983
49.438479 94.722 -165.1998
49.804690 94.713 -165.2089
50.170901 94.706 -165.2328
50.537112 94.698 -165.2740
50.903323 94.689 -165.3246
51.269534 94.677 -165.3671
51.635745 94.658 -165.3803
52.001956 94.633 -165.3481
52.368167 94.603 -165.2668
52.734378 94.573 -165.1502
53.100589 94.547 -165.0276
53.466800 94.530 -164.9340
53.833011 94.521 -164.8937
54.199222 94.521 -164.9064
54.565432 94.526 -164.9457
54.931643 94.533 -164.9733
55.297854 94.539 -164.9600
55.664065 94.541 -164.9010
56.030276 94.534 -164.8129
56.396487 94.514 -164.7173
56.762698 94.479 -164.6239
57.128909 94.434 -164.5283
57.495120 94.390 -164.4251
57.861331 94.362 -164.3249
58.227542 94.360 -164.2569
58.593753 94.385 -164.2528
58.959964 94.428 -164.3231
59.326175 94.474 -164.4439
59.692386 94.509 -164.5671
60.058597 94.525 -164.6467
60.424808 94.524 -164.6635
60.791019 94.511 -164.6328
61.157230 94.497 -164.5926
61.523441 94.493 -164.5843
61.889652 94.505 -164.6376
62.255863 94.538 -164.7660
62.622074 94.588 -164.9674
62.988285 94.644 -165.2226
63.354496 94.691 -165.4916
63.720707 94.714 -165.7144
64.086918 94.706 -165.8250
64.453129 94.666 -165.7756
64.819340 94.606 -165.5618
65.185551 94.539 -165.2291
65.551762 94.480 -164.8570
65.917972 94.435 -164.5251
66.284183 94.407 -164.2827
66.650394 94.391 -164.1357
67.016605 94.384 -164.0576
67.382816 94.382 -164.0122
67.749027 94.384 -163.9747
68.115238 94.387 -163.9387
68.481449 94.390 -163.9112
68.847660 94.392 -163.9017
69.213871 94.391 -163.9132
69.580082 94.386 -163.9395
69.946293 94.379 -163.9672
70.312504 94.369 -163.9799
70.678715 94.359 -163.9632
71.044926 94.348 -163.9084
71.411137 94.337 -163.8157
71.777348 94.328 -163.6950
72.143559 94.321 -163.5639
72.509770 94.315 -163.4428
72.875981 94.312 -163.3482
73.242192 94.308 -163.2881
73.608403 94.304 -163.2599
73.974614 94.298 -163.2534
74.340825 94.290 -163.2550
74.707036 94.280 -163.2531
75.073247 94.269 -163.2411
75.439458 94.257 -163.2181
75.805669 94.247 -163.1875
76.171880 94.240 -163.1541
76.538091 94.235 -163.1219
76.904301 94.234 -163.0915
77.270512 94.236 -163.0603
77.636723 94.240 -163.0222
78.002934 94.245 -162.9706
78.369145 94.248 -162.9016
78.735356 94.250 -162.8178
79.101567 94.249 -162.7307
79.467778 94.247 -162.6600
79.833989 94.243 -162.6290
80.200200 94.238 -162.6557
80.566411 94.231 -162.7455
80.932622 94.223 -162.8859
81.298833 94.213 -163.0475
81.665044 94.203 -163.1915
82.031255 94.194 -163.2801
82.397466 94.188 -163.2878
82.763677 94.187 -163.2081
83.129888 94.189 -163.0540
83.496099 94.195 -162.8524
83.862310 94.200 -162.6351
84.228521 94.203 -162.4292
84.594732 94.202 -162.2517
84.960943 94.197 -162.1087
85.327154 94.187 -161.9988
85.693365 94.175 -161.9177
86.059576 94.161 -161.8622
86.425787 94.148 -161.8318
86.791998 94.137 -161.8285
87.158209 94.129 -161.8565
87.524420 94.125 -161.9218
87.890631 94.127 -162.0303
88.256841 94.133 -162.1841
88.623052 94.144 -162.3756
88.989263 94.156 -162.5827
89.355474 94.164 -162.7690
89.721685 94.167 -162.8915
90.087896 94.164 -162.9134
90.454107 94.154 -162.8184
90.820318 94.142 -162.6172
91.186529 94.128 -162.3450
91.552740 94.114 -162.0501
91.918951 94.101 -161.7776
92.285162 94.089 -161.5583
92.651373 94.077 -161.4024
93.017584 94.066 -161.3025
93.383795 94.057 -161.2403
93.750006 94.050 -161.1947
94.116217 94.046 -161.1483
94.482428 94.043 -161.0908
94.848639 94.042 -161.0208
95.214850 94.041 -160.9435
95.581061 94.038 -160.8678
95.947272 94.033 -160.8020
96.313483 94.025 -160.7504
96.679694 94.015 -160.7118
97.045905 94.003 -160.6797
97.412116 93.991 -160.6458
97.778327 93.979 -160.6029
98.144538 93.970 -160.5479
98.510749 93.963 -160.4827
98.876960 93.959 -160.4136
99.243170 93.958 -160.3492
99.609381 93.957 -160.2973
99.975592 93.958 -160.2628
100.341803 93.958 -160.2457
100.708014 93.956 -160.2406
101.074225 93.953 -160.2384
101.440436 93.948 -160.2275
101.806647 93.942 -160.1975
102.172858 93.935 -160.1407
102.539069 93.928 -160.0537
102.905280 93.921 -159.9375
103.271491 93.916 -159.7967
103.637702 93.912 -159.6392
104.003913 93.911 -159.4744
104.370124 93.911 -159.3128
104.736335 93.913 -159.1646
105.102546 93.917 -159.0390
105.468757 93.922 -158.9431
105.834968 93.927 -158.8821
106.201179 93.932 -158.8591
106.567390 93.936 -158.8758
106.933601 93.938 -158.9319
107.299812 93.938 -159.0240
107.666023 93.932 -159.1443
108.032234 93.923 -159.2796
108.398445 93.908 -159.4120
108.764656 93.888 -159.5214
109.130867 93.865 -159.5894
109.497078 93.840 -159.6037
109.863289 93.815 -159.5608
110.229500 93.792 -159.4666
110.595710 93.772 -159.3346
110.961921 93.756 -159.1828
111.328132 93.743 -159.0287
111.694343 93.734 -158.8871
112.060554 93.727 -158.7668
112.426765 93.723 -158.6706
112.792976 93.721 -158.5962
113.159187 93.722 -158.5382
113.525398 93.723 -158.4903
113.891609 93.726 -158.4486
114.257820 93.730 -158.4120
114.624031 93.732 -158.3829
114.990242 93.733 -158.3647
115.356453 93.731 -158.3595
115.722664 93.726 -158.3656
116.088875 93.718 -158.3769
116.455086 93.710 -158.3838
116.821297 93.703 -158.3764
117.187508 93.700 -158.3465
117.553719 93.703 -158.2889
117.919930 93.710 -158.2006
118.286141 93.722 -158.0792
118.652352 93.734 -157.9224
119.018563 93.745 -157.7308
119.384774 93.750 -157.5116
119.750985 93.749 -157.2837
120.117196 93.740 -157.0784
120.483407 93.721 -156.9359
120.849618 93.692 -156.8963
121.215829 93.652 -156.9889
121.582040 93.600 -157.2219
121.948250 93.538 -157.5784
122.314461 93.470 -158.0183
122.680672 93.400 -158.4854
123.046883 93.337 -158.9185
123.413094 93.287 -159.2624
123.779305 93.257 -159.4758
124.145516 93.247 -159.5364
124.511727 93.258 -159.4424
124.877938 93.286 -159.2097
125.244149 93.324 -158.8682
125.610360 93.365 -158.4559
125.976571 93.404 -158.0134
126.342782 93.436 -157.5785
126.708993 93.460 -157.1820
127.075204 93.473 -156.8453
127.441415 93.479 -156.5796
127.807626 93.478 -156.3865
128.173837 93.474 -156.2604
128.540048 93.469 -156.1907
128.906259 93.465 -156.1645
129.272470 93.462 -156.1686
129.638681 93.461 -156.1910
130.004892 93.462 -156.2217
130.371103 93.463 -156.2532
130.737314 93.465 -156.2810
131.103525 93.468 -156.3032
131.469736 93.473 -156.3201
131.835947 93.479 -156.3329
132.202158 93.487 -156.3429
132.568369 93.497 -156.3500
132.934579 93.508 -156.3526
133.300790 93.519 -156.3470
133.667001 93.529 -156.3286
134.033212 93.536 -156.2930
134.399423 93.539 -156.2365
134.765634 93.539 -156.1574
135.131845 93.535 -156.0554
135.498056 93.528 -155.9321
135.864267 93.518 -155.7899
136.230478 93.506 -155.6323
136.596689 93.494 -155.4629
136.962900 93.483 -155.2863
137.329111 93.474 -155.1074
137.695322 93.468 -154.9319
138.061533 93.465 -154.7654
138.427744 93.463 -154.6136
138.793955 93.464 -154.4810
139.160166 93.465 -154.3708
139.526377 93.466 -154.2840
139.892588 93.467 -154.2193
140.258799 93.467 -154.1735
140.625010 93.465 -154.1418
140.991221 93.462 -154.1184
141.357432 93.458 -154.0974
141.723643 93.453 -154.0738
142.089854 93.446 -154.0440
142.456065 93.439 -154.0061
142.822276 93.429 -153.9606
143.188487 93.418 -153.9091
143.554698 93.404 -153.8547
143.920909 93.388 -153.8008
144.287119 93.369 -153.7506
144.653330 93.348 -153.7064
145.019541 93.325 -153.6692
145.385752 93.300 -153.6388
145.751963 93.276 -153.6134
146.118174 93.251 -153.5900
146.484385 93.228 -153.5649
146.850596 93.207 -153.5336
147.216807 93.188 -153.4923
147.583018 93.172 -153.4376
147.949229 93.160 -153.3676
148.315440 93.151 -153.2818
148.681651 93.146 -153.1813
149.047862 93.144 -153.0682
149.414073 93.144 -152.9457
149.780284 93.146 -152.8176
150.146495 93.150 -152.6880
150.512706 93.155 -152.5610
150.878917 93.160 -152.4406
151.245128 93.164 -152.3299
151.611339 93.168 -152.2309
151.977550 93.172 -152.1441
152.343761 93.174 -152.0683
152.709972 93.174 -152.0011
153.076183 93.172 -151.9392
153.442394 93.168 -151.8790
153.808605 93.163 -151.8170
154.174816 93.155 -151.7506
154.541027 93.146 -151.6780
154.907238 93.135 -151.5984
155.273448 93.124 -151.5123
155.639659 93.112 -151.4207
156.005870 93.100 -151.3254
156.372081 93.088 -151.2285
156.738292 93.078 -151.1321
157.104503 93.070 -151.0380
157.470714 93.064 -150.9476
157.836925 93.060 -150.8620
158.203136 93.059 -150.7819
158.569347 93.061 -150.7080
158.935558 93.066 -150.6411
159.301769 93.072 -150.5819
159.667980 93.081 -150.5310
160.034191 93.090 -150.4888
160.400402 93.100 -150.4554
160.766613 93.110 -150.4306
161.132824 93.119 -150.4134
161.499035 93.128 -150.4026
161.865246 93.135 -150.3965
162.231457 93.140 -150.3929
162.597668 93.145 -150.3895
