* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 24, 25 7:55:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ Libra X filterless R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 44.952 -71.2540
0.368865 44.971 -71.3945
0.371538 45.000 -71.6035
0.374230 45.035 -71.8633
0.376942 45.075 -72.1587
0.379673 45.118 -72.4787
0.382424 45.163 -72.8159
0.385196 45.209 -73.1657
0.387987 45.255 -73.5254
0.390798 45.302 -73.8936
0.393630 45.350 -74.2695
0.396483 45.398 -74.6525
0.399356 45.446 -75.0425
0.402250 45.495 -75.4393
0.405165 45.544 -75.8427
0.408101 45.594 -76.2529
0.411058 45.643 -76.6695
0.414037 45.694 -77.0927
0.417037 45.744 -77.5223
0.420059 45.795 -77.9583
0.423103 45.846 -78.4005
0.426169 45.898 -78.8490
0.429257 45.950 -79.3036
0.432368 46.002 -79.7642
0.435501 46.055 -80.2307
0.438656 46.108 -80.7031
0.441835 46.162 -81.1812
0.445037 46.216 -81.6650
0.448262 46.270 -82.1542
0.451510 46.325 -82.6489
0.454782 46.380 -83.1488
0.458077 46.436 -83.6539
0.461397 46.491 -84.1641
0.464740 46.548 -84.6791
0.468108 46.605 -85.1989
0.471500 46.662 -85.7233
0.474917 46.719 -86.2523
0.478358 46.777 -86.7855
0.481825 46.836 -87.3230
0.485316 46.895 -87.8646
0.488833 46.954 -88.4101
0.492375 47.013 -88.9594
0.495943 47.074 -89.5123
0.499537 47.134 -90.0688
0.503157 47.195 -90.6285
0.506803 47.257 -91.1915
0.510475 47.318 -91.7576
0.514175 47.381 -92.3266
0.517900 47.444 -92.8984
0.521653 47.507 -93.4728
0.525434 47.570 -94.0498
0.529241 47.635 -94.6291
0.533076 47.699 -95.2108
0.536939 47.764 -95.7945
0.540830 47.830 -96.3803
0.544749 47.896 -96.9679
0.548696 47.962 -97.5574
0.552673 48.029 -98.1485
0.556677 48.097 -98.7412
0.560711 48.165 -99.3354
0.564774 48.233 -99.9310
0.568867 48.302 -100.5278
0.572989 48.372 -101.1259
0.577141 48.442 -101.7251
0.581324 48.512 -102.3254
0.585536 48.583 -102.9267
0.589779 48.655 -103.5289
0.594053 48.727 -104.1320
0.598358 48.799 -104.7359
0.602694 48.872 -105.3407
0.607061 48.946 -105.9462
0.611460 49.020 -106.5525
0.615891 49.095 -107.1595
0.620354 49.170 -107.7671
0.624849 49.246 -108.3755
0.629377 49.322 -108.9846
0.633938 49.399 -109.5944
0.638532 49.476 -110.2049
0.643159 49.554 -110.8161
0.647819 49.633 -111.4281
0.652514 49.712 -112.0409
0.657242 49.792 -112.6544
0.662005 49.872 -113.2689
0.666802 49.953 -113.8842
0.671634 50.034 -114.5006
0.676501 50.116 -115.1179
0.681403 50.199 -115.7363
0.686341 50.282 -116.3559
0.691314 50.366 -116.9766
0.696324 50.451 -117.5986
0.701370 50.536 -118.2220
0.706452 50.622 -118.8466
0.711571 50.708 -119.4726
0.716728 50.796 -120.0997
0.721921 50.885 -120.7276
0.727153 50.975 -121.3560
0.732422 51.066 -121.9840
0.737729 51.160 -122.6109
0.743075 51.255 -123.2357
0.748460 51.351 -123.8576
0.753883 51.449 -124.4759
0.759346 51.549 -125.0902
0.764849 51.650 -125.7002
0.770391 51.752 -126.3055
0.775974 51.855 -126.9061
0.781597 51.960 -127.5018
0.787261 52.065 -128.0926
0.792966 52.173 -128.6783
0.798712 52.281 -129.2590
0.804500 52.390 -129.8348
0.810329 52.501 -130.4055
0.816201 52.613 -130.9712
0.822116 52.726 -131.5320
0.828073 52.840 -132.0880
0.834074 52.955 -132.6392
0.840118 53.071 -133.1857
0.846206 53.189 -133.7277
0.852338 53.307 -134.2652
0.858514 53.427 -134.7985
0.864735 53.547 -135.3275
0.871001 53.669 -135.8526
0.877313 53.791 -136.3738
0.883670 53.915 -136.8913
0.890074 54.039 -137.4054
0.896524 54.164 -137.9161
0.903020 54.290 -138.4237
0.909564 54.417 -138.9284
0.916155 54.545 -139.4304
0.922794 54.674 -139.9298
0.929481 54.803 -140.4270
0.936216 54.933 -140.9221
0.943000 55.064 -141.4154
0.949834 55.195 -141.9071
0.956717 55.327 -142.3974
0.963649 55.459 -142.8866
0.970632 55.592 -143.3749
0.977666 55.725 -143.8625
0.984750 55.859 -144.3498
0.991886 55.993 -144.8369
0.999074 56.127 -145.3241
1.006314 56.261 -145.8116
1.013606 56.396 -146.2998
1.020951 56.530 -146.7889
1.028349 56.665 -147.2790
1.035801 56.800 -147.7706
1.043307 56.934 -148.2637
1.050867 57.068 -148.7588
1.058482 57.202 -149.2558
1.066152 57.336 -149.7551
1.073878 57.470 -150.2566
1.081660 57.603 -150.7602
1.089498 57.735 -151.2658
1.097393 57.868 -151.7728
1.105345 58.000 -152.2805
1.113355 58.132 -152.7882
1.121423 58.264 -153.2953
1.129549 58.396 -153.8012
1.137734 58.528 -154.3056
1.145979 58.660 -154.8083
1.154283 58.792 -155.3092
1.162647 58.924 -155.8081
1.171072 59.056 -156.3050
1.179558 59.189 -156.8001
1.188106 59.321 -157.2932
1.196715 59.454 -157.7844
1.205387 59.586 -158.2738
1.214122 59.719 -158.7615
1.222920 59.852 -159.2475
1.231782 59.985 -159.7319
1.240708 60.118 -160.2148
1.249699 60.251 -160.6963
1.258754 60.384 -161.1764
1.267876 60.517 -161.6554
1.277063 60.651 -162.1334
1.286318 60.784 -162.6104
1.295639 60.918 -163.0865
1.305027 61.051 -163.5621
1.314484 61.185 -164.0371
1.324009 61.319 -164.5117
1.333604 61.453 -164.9861
1.343268 61.587 -165.4605
1.353002 61.721 -165.9350
1.362806 61.855 -166.4098
1.372681 61.990 -166.8851
1.382628 62.124 -167.3610
1.392647 62.259 -167.8377
1.402739 62.394 -168.3153
1.412904 62.529 -168.7940
1.423142 62.664 -169.2740
1.433455 62.799 -169.7551
1.443843 62.934 -170.2373
1.454305 63.070 -170.7203
1.464844 63.205 -171.2038
1.475459 63.340 -171.6872
1.486150 63.475 -172.1700
1.496920 63.610 -172.6516
1.507767 63.745 -173.1320
1.518693 63.880 -173.6109
1.529698 64.014 -174.0885
1.540783 64.148 -174.5646
1.551948 64.282 -175.0396
1.563194 64.415 -175.5136
1.574521 64.548 -175.9868
1.585931 64.681 -176.4595
1.597423 64.814 -176.9319
1.608999 64.947 -177.4042
1.620658 65.079 -177.8768
1.632402 65.211 -178.3499
1.644232 65.343 -178.8238
1.656146 65.475 -179.2988
1.668147 65.607 -179.7752
1.680235 65.738 179.7467
1.692411 65.869 179.2665
1.704675 66.001 178.7841
1.717028 66.132 178.2989
1.729470 66.263 177.8107
1.742003 66.394 177.3192
1.754626 66.525 176.8239
1.767341 66.656 176.3247
1.780147 66.787 175.8213
1.793047 66.918 175.3133
1.806040 67.049 174.8007
1.819128 67.179 174.2834
1.832310 67.310 173.7618
1.845587 67.440 173.2360
1.858961 67.570 172.7064
1.872432 67.700 172.1736
1.886001 67.829 171.6379
1.899667 67.958 171.0997
1.913433 68.087 170.5594
1.927299 68.214 170.0171
1.941265 68.342 169.4731
1.955332 68.469 168.9277
1.969501 68.596 168.3809
1.983773 68.722 167.8328
1.998148 68.848 167.2836
2.012627 68.973 166.7332
2.027212 69.098 166.1818
2.041902 69.223 165.6292
2.056698 69.347 165.0756
2.071602 69.471 164.5208
2.086614 69.595 163.9647
2.101734 69.718 163.4072
2.116964 69.841 162.8481
2.132304 69.964 162.2874
2.147756 70.087 161.7245
2.163320 70.209 161.1594
2.178996 70.332 160.5917
2.194786 70.453 160.0210
2.210690 70.575 159.4470
2.226710 70.696 158.8695
2.242845 70.816 158.2886
2.259098 70.936 157.7043
2.275468 71.055 157.1169
2.291957 71.173 156.5266
2.308566 71.291 155.9339
2.325295 71.408 155.3391
2.342145 71.525 154.7425
2.359117 71.641 154.1443
2.376212 71.756 153.5450
2.393431 71.871 152.9447
2.410775 71.985 152.3437
2.428244 72.099 151.7420
2.445840 72.212 151.1399
2.463564 72.325 150.5374
2.481416 72.437 149.9344
2.499397 72.549 149.3309
2.517509 72.661 148.7267
2.535752 72.772 148.1212
2.554127 72.882 147.5141
2.572635 72.992 146.9047
2.591277 73.101 146.2923
2.610055 73.210 145.6766
2.628968 73.317 145.0574
2.648019 73.424 144.4350
2.667208 73.530 143.8095
2.686535 73.636 143.1814
2.706003 73.740 142.5511
2.725612 73.844 141.9193
2.745363 73.947 141.2863
2.765257 74.050 140.6527
2.785295 74.151 140.0188
2.805478 74.252 139.3851
2.825808 74.353 138.7518
2.846285 74.453 138.1192
2.866910 74.552 137.4873
2.887685 74.651 136.8559
2.908611 74.749 136.2245
2.929688 74.846 135.5925
2.950917 74.943 134.9591
2.972301 75.039 134.3236
2.993839 75.134 133.6855
3.015534 75.228 133.0447
3.037386 75.321 132.4016
3.059396 75.413 131.7563
3.081565 75.505 131.1097
3.103896 75.595 130.4622
3.126388 75.685 129.8144
3.149043 75.774 129.1671
3.171862 75.863 128.5208
3.194847 75.950 127.8760
3.217998 76.037 127.2331
3.241317 76.124 126.5922
3.264805 76.209 125.9531
3.288463 76.295 125.3153
3.312293 76.379 124.6782
3.336295 76.462 124.0410
3.360471 76.545 123.4031
3.384822 76.627 122.7642
3.409350 76.708 122.1243
3.434056 76.788 121.4838
3.458940 76.867 120.8431
3.484005 76.945 120.2028
3.509252 77.023 119.5634
3.534681 77.099 118.9256
3.560295 77.176 118.2898
3.586094 77.251 117.6564
3.612081 77.326 117.0257
3.638255 77.401 116.3974
3.664620 77.475 115.7712
3.691175 77.548 115.1466
3.717923 77.620 114.5229
3.744864 77.692 113.8997
3.772001 77.762 113.2769
3.799335 77.832 112.6547
3.826866 77.901 112.0333
3.854597 77.970 111.4130
3.882529 78.038 110.7945
3.910664 78.105 110.1781
3.939002 78.172 109.5642
3.967546 78.238 108.9531
3.996296 78.304 108.3450
4.025255 78.370 107.7395
4.054423 78.434 107.1364
4.083804 78.499 106.5353
4.113396 78.562 105.9359
4.143204 78.625 105.3379
4.173227 78.688 104.7413
4.203468 78.749 104.1462
4.233928 78.811 103.5529
4.264609 78.871 102.9615
4.295512 78.932 102.3723
4.326639 78.992 101.7855
4.357992 79.051 101.2010
4.389572 79.111 100.6189
4.421380 79.170 100.0389
4.453419 79.228 99.4608
4.485691 79.286 98.8843
4.518196 79.343 98.3094
4.550936 79.400 97.7359
4.583914 79.457 97.1639
4.617131 79.513 96.5935
4.650589 79.569 96.0248
4.684289 79.625 95.4578
4.718233 79.680 94.8926
4.752424 79.735 94.3290
4.786862 79.789 93.7670
4.821549 79.844 93.2063
4.856488 79.897 92.6469
4.891680 79.951 92.0885
4.927127 80.004 91.5313
4.962831 80.056 90.9752
4.998794 80.109 90.4202
5.035017 80.161 89.8665
5.071503 80.212 89.3139
5.108253 80.263 88.7625
5.145270 80.314 88.2121
5.182555 80.365 87.6625
5.220110 80.415 87.1136
5.257937 80.465 86.5655
5.296038 80.514 86.0182
5.334415 80.563 85.4716
5.373071 80.611 84.9260
5.412006 80.659 84.3814
5.451224 80.707 83.8378
5.490725 80.754 83.2951
5.530514 80.801 82.7533
5.570590 80.847 82.2122
5.610957 80.893 81.6718
5.651616 80.939 81.1320
5.692570 80.984 80.5932
5.733821 81.028 80.0554
5.775370 81.072 79.5187
5.817221 81.116 78.9832
5.859375 81.159 78.4489
5.901834 81.201 77.9157
5.944602 81.244 77.3836
5.987679 81.285 76.8525
6.031068 81.326 76.3226
6.074771 81.367 75.7938
6.118792 81.407 75.2664
6.163131 81.447 74.7406
6.207792 81.486 74.2162
6.252776 81.525 73.6935
6.298086 81.563 73.1722
6.343725 81.601 72.6524
6.389694 81.638 72.1340
6.435996 81.675 71.6172
6.482634 81.712 71.1021
6.529610 81.748 70.5887
6.576926 81.783 70.0771
6.624585 81.818 69.5674
6.672590 81.853 69.0594
