* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 24, 25 7:52:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ x AE Libra X R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 47.477 -68.4870
0.368865 47.495 -68.6267
0.371538 47.523 -68.8346
0.374230 47.557 -69.0932
0.376942 47.595 -69.3874
0.379673 47.636 -69.7063
0.382424 47.678 -70.0425
0.385196 47.722 -70.3915
0.387987 47.766 -70.7508
0.390798 47.811 -71.1187
0.393630 47.857 -71.4946
0.396483 47.903 -71.8780
0.399356 47.949 -72.2686
0.402250 47.995 -72.6663
0.405165 48.042 -73.0710
0.408101 48.089 -73.4828
0.411058 48.137 -73.9014
0.414037 48.185 -74.3269
0.417037 48.233 -74.7592
0.420059 48.281 -75.1982
0.423103 48.330 -75.6439
0.426169 48.380 -76.0962
0.429257 48.429 -76.5551
0.432368 48.479 -77.0204
0.435501 48.530 -77.4921
0.438656 48.580 -77.9701
0.441835 48.632 -78.4542
0.445037 48.683 -78.9445
0.448262 48.735 -79.4407
0.451510 48.787 -79.9427
0.454782 48.840 -80.4506
0.458077 48.893 -80.9641
0.461397 48.946 -81.4831
0.464740 49.000 -82.0075
0.468108 49.054 -82.5371
0.471500 49.108 -83.0719
0.474917 49.163 -83.6117
0.478358 49.219 -84.1563
0.481825 49.274 -84.7057
0.485316 49.330 -85.2596
0.488833 49.387 -85.8179
0.492375 49.444 -86.3806
0.495943 49.501 -86.9473
0.499537 49.559 -87.5181
0.503157 49.617 -88.0927
0.506803 49.676 -88.6709
0.510475 49.735 -89.2527
0.514175 49.794 -89.8380
0.517900 49.854 -90.4264
0.521653 49.915 -91.0180
0.525434 49.975 -91.6125
0.529241 50.037 -92.2098
0.533076 50.098 -92.8098
0.536939 50.160 -93.4124
0.540830 50.223 -94.0174
0.544749 50.286 -94.6246
0.548696 50.349 -95.2341
0.552673 50.413 -95.8455
0.556677 50.478 -96.4589
0.560711 50.543 -97.0741
0.564774 50.608 -97.6910
0.568867 50.674 -98.3095
0.572989 50.740 -98.9296
0.577141 50.807 -99.5510
0.581324 50.874 -100.1738
0.585536 50.942 -100.7978
0.589779 51.010 -101.4230
0.594053 51.079 -102.0493
0.598358 51.148 -102.6767
0.602694 51.218 -103.3050
0.607061 51.288 -103.9343
0.611460 51.359 -104.5646
0.615891 51.430 -105.1957
0.620354 51.502 -105.8276
0.624849 51.574 -106.4604
0.629377 51.647 -107.0940
0.633938 51.720 -107.7284
0.638532 51.794 -108.3636
0.643159 51.868 -108.9996
0.647819 51.943 -109.6365
0.652514 52.019 -110.2742
0.657242 52.095 -110.9127
0.662005 52.171 -111.5522
0.666802 52.248 -112.1926
0.671634 52.326 -112.8339
0.676501 52.404 -113.4763
0.681403 52.483 -114.1198
0.686341 52.563 -114.7644
0.691314 52.643 -115.4102
0.696324 52.723 -116.0573
0.701370 52.805 -116.7056
0.706452 52.887 -117.3552
0.711571 52.970 -118.0060
0.716728 53.054 -118.6580
0.721921 53.139 -119.3107
0.727153 53.226 -119.9637
0.732422 53.315 -120.6163
0.737729 53.406 -121.2676
0.743075 53.499 -121.9167
0.748460 53.594 -122.5627
0.753883 53.690 -123.2050
0.759346 53.789 -123.8430
0.764849 53.889 -124.4763
0.770391 53.990 -125.1048
0.775974 54.093 -125.7282
0.781597 54.197 -126.3465
0.787261 54.302 -126.9594
0.792966 54.409 -127.5671
0.798712 54.518 -128.1693
0.804500 54.627 -128.7662
0.810329 54.738 -129.3577
0.816201 54.850 -129.9439
0.822116 54.963 -130.5249
0.828073 55.078 -131.1006
0.834074 55.194 -131.6712
0.840118 55.311 -132.2367
0.846206 55.429 -132.7974
0.852338 55.549 -133.3532
0.858514 55.669 -133.9044
0.864735 55.791 -134.4511
0.871001 55.914 -134.9934
0.877313 56.038 -135.5315
0.883670 56.163 -136.0657
0.890074 56.289 -136.5960
0.896524 56.416 -137.1227
0.903020 56.544 -137.6459
0.909564 56.673 -138.1660
0.916155 56.802 -138.6831
0.922794 56.933 -139.1973
0.929481 57.064 -139.7091
0.936216 57.196 -140.2185
0.943000 57.329 -140.7258
0.949834 57.462 -141.2313
0.956717 57.597 -141.7352
0.963649 57.731 -142.2378
0.970632 57.866 -142.7393
0.977666 58.002 -143.2399
0.984750 58.138 -143.7399
0.991886 58.274 -144.2396
0.999074 58.410 -144.7393
1.006314 58.547 -145.2392
1.013606 58.684 -145.7395
1.020951 58.821 -146.2406
1.028349 58.958 -146.7426
1.035801 59.094 -147.2460
1.043307 59.231 -147.7508
1.050867 59.367 -148.2574
1.058482 59.503 -148.7659
1.066152 59.639 -149.2766
1.073878 59.774 -149.7894
1.081660 59.909 -150.3042
1.089498 60.043 -150.8208
1.097393 60.177 -151.3388
1.105345 60.311 -151.8573
1.113355 60.444 -152.3756
1.121423 60.578 -152.8930
1.129549 60.711 -153.4091
1.137734 60.845 -153.9234
1.145979 60.978 -154.4357
1.154283 61.112 -154.9459
1.162647 61.246 -155.4539
1.171072 61.379 -155.9597
1.179558 61.513 -156.4634
1.188106 61.647 -156.9649
1.196715 61.781 -157.4643
1.205387 61.916 -157.9617
1.214122 62.050 -158.4572
1.222920 62.184 -158.9507
1.231782 62.319 -159.4425
1.240708 62.454 -159.9326
1.249699 62.588 -160.4212
1.258754 62.723 -160.9083
1.267876 62.858 -161.3940
1.277063 62.993 -161.8786
1.286318 63.128 -162.3621
1.295639 63.263 -162.8447
1.305027 63.399 -163.3266
1.314484 63.534 -163.8079
1.324009 63.670 -164.2887
1.333604 63.805 -164.7692
1.343268 63.941 -165.2497
1.353002 64.077 -165.7302
1.362806 64.213 -166.2110
1.372681 64.349 -166.6922
1.382628 64.485 -167.1741
1.392647 64.621 -167.6568
1.402739 64.758 -168.1405
1.412904 64.894 -168.6253
1.423142 65.031 -169.1113
1.433455 65.168 -169.5985
1.443843 65.305 -170.0868
1.454305 65.441 -170.5760
1.464844 65.578 -171.0657
1.475459 65.715 -171.5552
1.486150 65.852 -172.0440
1.496920 65.988 -172.5317
1.507767 66.124 -173.0180
1.518693 66.260 -173.5027
1.529698 66.396 -173.9859
1.540783 66.532 -174.4677
1.551948 66.667 -174.9482
1.563194 66.802 -175.4277
1.574521 66.936 -175.9062
1.585931 67.071 -176.3842
1.597423 67.205 -176.8618
1.608999 67.339 -177.3393
1.620658 67.472 -177.8170
1.632402 67.606 -178.2952
1.644232 67.739 -178.7742
1.656146 67.872 -179.2542
1.668147 68.005 -179.7356
1.680235 68.138 179.7812
1.692411 68.271 179.2960
1.704675 68.403 178.8084
1.717028 68.536 178.3181
1.729470 68.668 177.8247
1.742003 68.800 177.3279
1.754626 68.933 176.8274
1.767341 69.065 176.3228
1.780147 69.197 175.8138
1.793047 69.329 175.3003
1.806040 69.461 174.7820
1.819128 69.593 174.2590
1.832310 69.725 173.7315
1.845587 69.857 173.1997
1.858961 69.988 172.6642
1.872432 70.119 172.1253
1.886001 70.249 171.5835
1.899667 70.379 171.0392
1.913433 70.509 170.4928
1.927299 70.638 169.9444
1.941265 70.766 169.3943
1.955332 70.894 168.8428
1.969501 71.022 168.2899
1.983773 71.149 167.7358
1.998148 71.276 167.1805
2.012627 71.402 166.6241
2.027212 71.528 166.0667
2.041902 71.654 165.5082
2.056698 71.779 164.9485
2.071602 71.904 164.3878
2.086614 72.029 163.8257
2.101734 72.153 163.2622
2.116964 72.277 162.6971
2.132304 72.401 162.1303
2.147756 72.525 161.5614
2.163320 72.648 160.9901
2.178996 72.771 160.4162
2.194786 72.894 159.8391
2.210690 73.016 159.2587
2.226710 73.138 158.6748
2.242845 73.259 158.0872
2.259098 73.379 157.4962
2.275468 73.499 156.9019
2.291957 73.618 156.3048
2.308566 73.737 155.7052
2.325295 73.855 155.1034
2.342145 73.972 154.4998
2.359117 74.089 153.8946
2.376212 74.205 153.2883
2.393431 74.320 152.6811
2.410775 74.435 152.0731
2.428244 74.549 151.4646
2.445840 74.663 150.8557
2.463564 74.776 150.2463
2.481416 74.889 149.6367
2.499397 75.002 149.0266
2.517509 75.114 148.4156
2.535752 75.225 147.8036
2.554127 75.336 147.1899
2.572635 75.446 146.5738
2.591277 75.556 145.9547
2.610055 75.665 145.3322
2.628968 75.773 144.7061
2.648019 75.880 144.0767
2.667208 75.986 143.4440
2.686535 76.092 142.8088
2.706003 76.197 142.1714
2.725612 76.301 141.5323
2.745363 76.404 140.8923
2.765257 76.507 140.2516
2.785295 76.608 139.6107
2.805478 76.710 138.9702
2.825808 76.810 138.3303
2.846285 76.910 137.6911
2.866910 77.009 137.0529
2.887685 77.108 136.4153
2.908611 77.206 135.7779
2.929688 77.303 135.1401
2.950917 77.400 134.5009
2.972301 77.496 133.8596
2.993839 77.591 133.2158
3.015534 77.684 132.5693
3.037386 77.777 131.9204
3.059396 77.869 131.2695
3.081565 77.961 130.6172
3.103896 78.051 129.9642
3.126388 78.140 129.3110
3.149043 78.229 128.6585
3.171862 78.317 128.0072
3.194847 78.404 127.3577
3.217998 78.491 126.7102
3.241317 78.577 126.0651
3.264805 78.662 125.4221
3.288463 78.747 124.7808
3.312293 78.831 124.1404
3.336295 78.914 123.5001
3.360471 78.996 122.8593
3.384822 79.077 122.2177
3.409350 79.158 121.5754
3.434056 79.237 120.9326
3.458940 79.315 120.2899
3.484005 79.393 119.6476
3.509252 79.470 119.0066
3.534681 79.547 118.3674
3.560295 79.622 117.7305
3.586094 79.697 117.0963
3.612081 79.772 116.4650
3.638255 79.846 115.8366
3.664620 79.919 115.2107
3.691175 79.992 114.5867
3.717923 80.063 113.9641
3.744864 80.134 113.3423
3.772001 80.205 112.7212
3.799335 80.274 112.1010
3.826866 80.343 111.4818
3.854597 80.411 110.8641
3.882529 80.479 110.2483
3.910664 80.546 109.6347
3.939002 80.613 109.0238
3.967546 80.679 108.4159
3.996296 80.744 107.8110
4.025255 80.810 107.2091
4.054423 80.875 106.6097
4.083804 80.939 106.0127
4.113396 81.003 105.4175
4.143204 81.066 104.8240
4.173227 81.128 104.2321
4.203468 81.191 103.6417
4.233928 81.252 103.0531
4.264609 81.314 102.4664
4.295512 81.375 101.8816
4.326639 81.435 101.2990
4.357992 81.496 100.7184
4.389572 81.556 100.1400
4.421380 81.615 99.5633
4.453419 81.675 98.9884
4.485691 81.734 98.4149
4.518196 81.793 97.8427
4.550936 81.851 97.2717
4.583914 81.909 96.7019
4.617131 81.967 96.1331
4.650589 82.024 95.5654
4.684289 82.081 94.9987
4.718233 82.138 94.4330
4.752424 82.194 93.8682
4.786862 82.250 93.3040
4.821549 82.306 92.7404
4.856488 82.362 92.1773
4.891680 82.417 91.6145
4.927127 82.472 91.0520
4.962831 82.526 90.4898
4.998794 82.580 89.9280
5.035017 82.634 89.3665
5.071503 82.688 88.8052
5.108253 82.740 88.2440
5.145270 82.793 87.6828
5.182555 82.845 87.1213
5.220110 82.896 86.5596
5.257937 82.948 85.9976
5.296038 82.998 85.4355
5.334415 83.048 84.8734
5.373071 83.098 84.3116
5.412006 83.147 83.7501
5.451224 83.195 83.1891
5.490725 83.243 82.6284
5.530514 83.290 82.0679
5.570590 83.337 81.5076
5.610957 83.382 80.9473
5.651616 83.428 80.3874
5.692570 83.472 79.8281
5.733821 83.516 79.2698
5.775370 83.559 78.7129
5.817221 83.602 78.1575
5.859375 83.644 77.6037
5.901834 83.685 77.0515
5.944602 83.725 76.5007
5.987679 83.765 75.9514
6.031068 83.804 75.4039
6.074771 83.842 74.8584
6.118792 83.880 74.3154
6.163131 83.917 73.7750
6.207792 83.954 73.2376
6.252776 83.990 72.7032
6.298086 84.025 72.1717
6.343725 84.060 71.6431
6.389694 84.094 71.1175
6.435996 84.128 70.5949
6.482634 84.161 70.0755
6.529610 84.194 69.5595
6.576926 84.227 69.0469
6.624585 84.259 68.5378
6.672590 84.291 68.0322
