* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 9, 24 12:25:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kadenz ECHO B Bass+ L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.121 -43.3216
0.368865 62.113 -43.3626
0.371538 62.103 -43.4241
0.374230 62.090 -43.5015
0.376942 62.075 -43.5908
0.379673 62.059 -43.6891
0.382424 62.043 -43.7945
0.385196 62.026 -43.9059
0.387987 62.008 -44.0226
0.390798 61.991 -44.1442
0.393630 61.973 -44.2707
0.396483 61.955 -44.4021
0.399356 61.937 -44.5382
0.402250 61.919 -44.6792
0.405165 61.901 -44.8252
0.408101 61.883 -44.9761
0.411058 61.864 -45.1322
0.414037 61.845 -45.2935
0.417037 61.827 -45.4601
0.420059 61.808 -45.6320
0.423103 61.789 -45.8094
0.426169 61.770 -45.9923
0.429257 61.750 -46.1809
0.432368 61.731 -46.3752
0.435501 61.711 -46.5754
0.438656 61.691 -46.7815
0.441835 61.671 -46.9936
0.445037 61.651 -47.2118
0.448262 61.631 -47.4363
0.451510 61.611 -47.6672
0.454782 61.590 -47.9044
0.458077 61.570 -48.1482
0.461397 61.549 -48.3987
0.464740 61.528 -48.6559
0.468108 61.507 -48.9199
0.471500 61.486 -49.1910
0.474917 61.464 -49.4690
0.478358 61.443 -49.7543
0.481825 61.421 -50.0468
0.485316 61.399 -50.3467
0.488833 61.377 -50.6541
0.492375 61.355 -50.9690
0.495943 61.333 -51.2917
0.499537 61.310 -51.6221
0.503157 61.288 -51.9604
0.506803 61.265 -52.3067
0.510475 61.242 -52.6611
0.514175 61.219 -53.0236
0.517900 61.195 -53.3944
0.521653 61.172 -53.7735
0.525434 61.148 -54.1610
0.529241 61.124 -54.5570
0.533076 61.100 -54.9616
0.536939 61.076 -55.3748
0.540830 61.052 -55.7967
0.544749 61.027 -56.2273
0.548696 61.003 -56.6667
0.552673 60.978 -57.1149
0.556677 60.953 -57.5720
0.560711 60.927 -58.0380
0.564774 60.902 -58.5129
0.568867 60.876 -58.9966
0.572989 60.851 -59.4892
0.577141 60.825 -59.9907
0.581324 60.798 -60.5010
0.585536 60.772 -61.0201
0.589779 60.746 -61.5479
0.594053 60.719 -62.0844
0.598358 60.692 -62.6294
0.602694 60.665 -63.1828
0.607061 60.637 -63.7446
0.611460 60.610 -64.3145
0.615891 60.582 -64.8925
0.620354 60.554 -65.4783
0.624849 60.526 -66.0717
0.629377 60.498 -66.6725
0.633938 60.469 -67.2805
0.638532 60.440 -67.8955
0.643159 60.411 -68.5170
0.647819 60.382 -69.1449
0.652514 60.353 -69.7787
0.657242 60.323 -70.4182
0.662005 60.294 -71.0630
0.666802 60.263 -71.7126
0.671634 60.233 -72.3666
0.676501 60.203 -73.0246
0.681403 60.172 -73.6860
0.686341 60.141 -74.3504
0.691314 60.110 -75.0172
0.696324 60.078 -75.6857
0.701370 60.047 -76.3553
0.706452 60.014 -77.0251
0.711571 59.981 -77.6944
0.716728 59.947 -78.3623
0.721921 59.911 -79.0284
0.727153 59.873 -79.6927
0.732422 59.832 -80.3568
0.737729 59.787 -81.0240
0.743075 59.739 -81.6996
0.748460 59.686 -82.3894
0.753883 59.629 -83.0980
0.759346 59.569 -83.8292
0.764849 59.505 -84.5854
0.770391 59.438 -85.3687
0.775974 59.367 -86.1803
0.781597 59.293 -87.0213
0.787261 59.217 -87.8927
0.792966 59.137 -88.7953
0.798712 59.055 -89.7301
0.804500 58.970 -90.6977
0.810329 58.882 -91.6990
0.816201 58.792 -92.7348
0.822116 58.699 -93.8059
0.828073 58.605 -94.9131
0.834074 58.509 -96.0571
0.840118 58.410 -97.2388
0.846206 58.310 -98.4590
0.852338 58.209 -99.7182
0.858514 58.106 -101.0172
0.864735 58.002 -102.3568
0.871001 57.898 -103.7374
0.877313 57.792 -105.1598
0.883670 57.686 -106.6244
0.890074 57.580 -108.1316
0.896524 57.474 -109.6820
0.903020 57.368 -111.2759
0.909564 57.263 -112.9135
0.916155 57.159 -114.5950
0.922794 57.055 -116.3205
0.929481 56.953 -118.0902
0.936216 56.853 -119.9040
0.943000 56.755 -121.7618
0.949834 56.659 -123.6635
0.956717 56.566 -125.6087
0.963649 56.476 -127.5972
0.970632 56.390 -129.6288
0.977666 56.307 -131.7029
0.984750 56.229 -133.8193
0.991886 56.156 -135.9775
0.999074 56.087 -138.1771
1.006314 56.025 -140.4179
1.013606 55.968 -142.6994
1.020951 55.919 -145.0215
1.028349 55.876 -147.3841
1.035801 55.842 -149.7871
1.043307 55.815 -152.2307
1.050867 55.798 -154.7153
1.058482 55.790 -157.2417
1.066152 55.792 -159.8110
1.073878 55.805 -162.4247
1.081660 55.830 -165.0849
1.089498 55.866 -167.7941
1.097393 55.915 -170.5548
1.105345 55.976 -173.3683
1.113355 56.050 -176.2336
1.121423 56.137 -179.1465
1.129549 56.237 177.9005
1.137734 56.349 174.9179
1.145979 56.474 171.9181
1.154283 56.611 168.9143
1.162647 56.761 165.9203
1.171072 56.922 162.9499
1.179558 57.094 160.0154
1.188106 57.278 157.1286
1.196715 57.472 154.2997
1.205387 57.676 151.5370
1.214122 57.890 148.8477
1.222920 58.113 146.2368
1.231782 58.345 143.7079
1.240708 58.586 141.2633
1.249699 58.834 138.9037
1.258754 59.089 136.6287
1.267876 59.352 134.4373
1.277063 59.620 132.3273
1.286318 59.894 130.2961
1.295639 60.172 128.3406
1.305027 60.455 126.4573
1.314484 60.741 124.6426
1.324009 61.030 122.8927
1.333604 61.320 121.2037
1.343268 61.612 119.5715
1.353002 61.903 117.9926
1.362806 62.195 116.4630
1.372681 62.484 114.9792
1.382628 62.771 113.5374
1.392647 63.055 112.1344
1.402739 63.334 110.7669
1.412904 63.609 109.4319
1.423142 63.878 108.1265
1.433455 64.141 106.8482
1.443843 64.398 105.5950
1.454305 64.649 104.3654
1.464844 64.895 103.1584
1.475459 65.137 101.9740
1.486150 65.377 100.8120
1.496920 65.615 99.6725
1.507767 65.853 98.5556
1.518693 66.090 97.4608
1.529698 66.328 96.3874
1.540783 66.565 95.3348
1.551948 66.803 94.3019
1.563194 67.041 93.2878
1.574521 67.279 92.2913
1.585931 67.516 91.3112
1.597423 67.754 90.3464
1.608999 67.992 89.3957
1.620658 68.229 88.4579
1.632402 68.466 87.5319
1.644232 68.703 86.6163
1.656146 68.940 85.7101
1.668147 69.176 84.8122
1.680235 69.411 83.9213
1.692411 69.645 83.0364
1.704675 69.879 82.1563
1.717028 70.111 81.2799
1.729470 70.343 80.4063
1.742003 70.574 79.5344
1.754626 70.803 78.6632
1.767341 71.031 77.7918
1.780147 71.257 76.9195
1.793047 71.482 76.0456
1.806040 71.704 75.1700
1.819128 71.925 74.2926
1.832310 72.144 73.4140
1.845587 72.361 72.5352
1.858961 72.575 71.6573
1.872432 72.787 70.7816
1.886001 72.997 69.9089
1.899667 73.204 69.0401
1.913433 73.409 68.1758
1.927299 73.612 67.3162
1.941265 73.813 66.4617
1.955332 74.012 65.6123
1.969501 74.209 64.7681
1.983773 74.404 63.9288
1.998148 74.598 63.0944
2.012627 74.790 62.2644
2.027212 74.981 61.4387
2.041902 75.171 60.6167
2.056698 75.360 59.7981
2.071602 75.548 58.9822
2.086614 75.735 58.1686
2.101734 75.921 57.3567
2.116964 76.107 56.5457
2.132304 76.293 55.7352
2.147756 76.479 54.9245
2.163320 76.664 54.1130
2.178996 76.849 53.3003
2.194786 77.033 52.4861
2.210690 77.217 51.6706
2.226710 77.400 50.8540
2.242845 77.582 50.0367
2.259098 77.762 49.2193
2.275468 77.941 48.4022
2.291957 78.118 47.5860
2.308566 78.294 46.7709
2.325295 78.469 45.9575
2.342145 78.643 45.1458
2.359117 78.815 44.3359
2.376212 78.986 43.5280
2.393431 79.156 42.7219
2.410775 79.325 41.9177
2.428244 79.494 41.1151
2.445840 79.661 40.3138
2.463564 79.828 39.5136
2.481416 79.994 38.7141
2.499397 80.160 37.9148
2.517509 80.326 37.1153
2.535752 80.491 36.3149
2.554127 80.655 35.5131
2.572635 80.819 34.7095
2.591277 80.981 33.9038
2.610055 81.143 33.0960
2.628968 81.304 32.2863
2.648019 81.463 31.4751
2.667208 81.621 30.6628
2.686535 81.778 29.8500
2.706003 81.935 29.0371
2.725612 82.089 28.2245
2.745363 82.243 27.4126
2.765257 82.397 26.6016
2.785295 82.549 25.7917
2.805478 82.700 24.9830
2.825808 82.851 24.1755
2.846285 83.001 23.3692
2.866910 83.150 22.5636
2.887685 83.299 21.7585
2.908611 83.447 20.9532
2.929688 83.595 20.1471
2.950917 83.742 19.3395
2.972301 83.887 18.5300
2.993839 84.032 17.7185
3.015534 84.175 16.9050
3.037386 84.318 16.0900
3.059396 84.459 15.2740
3.081565 84.600 14.4575
3.103896 84.739 13.6410
3.126388 84.878 12.8251
3.149043 85.015 12.0100
3.171862 85.152 11.1962
3.194847 85.288 10.3837
3.217998 85.424 9.5727
3.241317 85.558 8.7629
3.264805 85.692 7.9538
3.288463 85.825 7.1448
3.312293 85.958 6.3352
3.336295 86.089 5.5242
3.360471 86.220 4.7114
3.384822 86.349 3.8969
3.409350 86.477 3.0808
3.434056 86.605 2.2637
3.458940 86.731 1.4461
3.484005 86.856 0.6288
3.509252 86.981 -0.1877
3.534681 87.105 -1.0029
3.560295 87.227 -1.8165
3.586094 87.350 -2.6281
3.612081 87.471 -3.4379
3.638255 87.592 -4.2462
3.664620 87.711 -5.0537
3.691175 87.830 -5.8612
3.717923 87.948 -6.6693
3.744864 88.065 -7.4783
3.772001 88.182 -8.2883
3.799335 88.297 -9.0988
3.826866 88.411 -9.9093
3.854597 88.524 -10.7194
3.882529 88.636 -11.5282
3.910664 88.748 -12.3354
3.939002 88.858 -13.1406
3.967546 88.968 -13.9437
3.996296 89.078 -14.7448
4.025255 89.186 -15.5443
4.054423 89.294 -16.3430
4.083804 89.401 -17.1415
4.113396 89.506 -17.9401
4.143204 89.611 -18.7389
4.173227 89.715 -19.5377
4.203468 89.818 -20.3359
4.233928 89.921 -21.1331
4.264609 90.022 -21.9286
4.295512 90.123 -22.7220
4.326639 90.223 -23.5132
4.357992 90.322 -24.3019
4.389572 90.421 -25.0887
4.421380 90.519 -25.8740
4.453419 90.615 -26.6583
4.485691 90.712 -27.4420
4.518196 90.807 -28.2252
4.550936 90.901 -29.0076
4.583914 90.995 -29.7889
4.617131 91.088 -30.5686
4.650589 91.180 -31.3463
4.684289 91.272 -32.1219
4.718233 91.363 -32.8950
4.752424 91.453 -33.6661
4.786862 91.542 -34.4354
4.821549 91.631 -35.2032
4.856488 91.719 -35.9702
4.891680 91.806 -36.7360
4.927127 91.893 -37.5008
4.962831 91.979 -38.2642
4.998794 92.064 -39.0258
5.035017 92.148 -39.7853
5.071503 92.232 -40.5427
5.108253 92.316 -41.2981
5.145270 92.398 -42.0516
5.182555 92.480 -42.8035
5.220110 92.562 -43.5542
5.257937 92.642 -44.3037
5.296038 92.722 -45.0520
5.334415 92.802 -45.7988
5.373071 92.880 -46.5440
5.412006 92.959 -47.2873
5.451224 93.036 -48.0286
5.490725 93.113 -48.7681
5.530514 93.190 -49.5060
5.570590 93.265 -50.2426
5.610957 93.340 -50.9779
5.651616 93.415 -51.7120
5.692570 93.489 -52.4448
5.733821 93.562 -53.1761
5.775370 93.635 -53.9058
5.817221 93.707 -54.6336
5.859375 93.778 -55.3599
5.901834 93.849 -56.0847
5.944602 93.920 -56.8082
5.987679 93.990 -57.5305
6.031068 94.059 -58.2517
6.074771 94.127 -58.9714
6.118792 94.195 -59.6897
6.163131 94.263 -60.4062
6.207792 94.329 -61.1212
6.252776 94.395 -61.8346
6.298086 94.461 -62.5466
6.343725 94.526 -63.2574
6.389694 94.590 -63.9669
6.435996 94.654 -64.6749
6.482634 94.717 -65.3813
6.529610 94.780 -66.0861
