* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 9, 24 12:29:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kadenz ECHO B No PEQ L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.357 -41.4590
0.368865 62.349 -41.4980
0.371538 62.338 -41.5564
0.374230 62.324 -41.6299
0.376942 62.308 -41.7148
0.379673 62.291 -41.8084
0.382424 62.273 -41.9087
0.385196 62.255 -42.0148
0.387987 62.236 -42.1260
0.390798 62.218 -42.2421
0.393630 62.199 -42.3628
0.396483 62.180 -42.4882
0.399356 62.161 -42.6183
0.402250 62.141 -42.7531
0.405165 62.122 -42.8927
0.408101 62.102 -43.0372
0.411058 62.082 -43.1866
0.414037 62.062 -43.3410
0.417037 62.042 -43.5006
0.420059 62.022 -43.6654
0.423103 62.001 -43.8355
0.426169 61.981 -44.0109
0.429257 61.960 -44.1918
0.432368 61.939 -44.3783
0.435501 61.918 -44.5704
0.438656 61.897 -44.7683
0.441835 61.876 -44.9720
0.445037 61.854 -45.1817
0.448262 61.833 -45.3974
0.451510 61.811 -45.6193
0.454782 61.789 -45.8474
0.458077 61.767 -46.0818
0.461397 61.745 -46.3227
0.464740 61.722 -46.5701
0.468108 61.700 -46.8242
0.471500 61.677 -47.0850
0.474917 61.654 -47.3526
0.478358 61.631 -47.6272
0.481825 61.608 -47.9089
0.485316 61.585 -48.1977
0.488833 61.561 -48.4938
0.492375 61.537 -48.7972
0.495943 61.513 -49.1081
0.499537 61.489 -49.4266
0.503157 61.465 -49.7527
0.506803 61.441 -50.0866
0.510475 61.416 -50.4283
0.514175 61.391 -50.7780
0.517900 61.366 -51.1357
0.521653 61.341 -51.5015
0.525434 61.316 -51.8755
0.529241 61.290 -52.2579
0.533076 61.265 -52.6486
0.536939 61.239 -53.0477
0.540830 61.213 -53.4553
0.544749 61.186 -53.8715
0.548696 61.160 -54.2963
0.552673 61.133 -54.7298
0.556677 61.106 -55.1720
0.560711 61.079 -55.6229
0.564774 61.052 -56.0826
0.568867 61.025 -56.5511
0.572989 60.997 -57.0284
0.577141 60.969 -57.5145
0.581324 60.941 -58.0094
0.585536 60.913 -58.5130
0.589779 60.885 -59.0254
0.594053 60.856 -59.5464
0.598358 60.827 -60.0760
0.602694 60.798 -60.6142
0.607061 60.769 -61.1608
0.611460 60.739 -61.7157
0.615891 60.710 -62.2788
0.620354 60.680 -62.8500
0.624849 60.650 -63.4291
0.629377 60.619 -64.0158
0.633938 60.589 -64.6101
0.638532 60.558 -65.2117
0.643159 60.527 -65.8204
0.647819 60.496 -66.4358
0.652514 60.464 -67.0578
0.657242 60.433 -67.6860
0.662005 60.401 -68.3200
0.666802 60.369 -68.9596
0.671634 60.336 -69.6043
0.676501 60.304 -70.2538
0.681403 60.271 -70.9076
0.686341 60.238 -71.5652
0.691314 60.204 -72.2261
0.696324 60.171 -72.8897
0.701370 60.136 -73.5553
0.706452 60.102 -74.2220
0.711571 60.066 -74.8891
0.716728 60.030 -75.5553
0.721921 59.992 -76.2199
0.727153 59.952 -76.8824
0.732422 59.908 -77.5438
0.737729 59.861 -78.2070
0.743075 59.810 -78.8773
0.748460 59.755 -79.5605
0.753883 59.696 -80.2617
0.759346 59.633 -80.9848
0.764849 59.566 -81.7326
0.770391 59.496 -82.5071
0.775974 59.423 -83.3098
0.781597 59.347 -84.1418
0.787261 59.267 -85.0043
0.792966 59.185 -85.8981
0.798712 59.100 -86.8240
0.804500 59.012 -87.7831
0.810329 58.921 -88.7760
0.816201 58.828 -89.8038
0.822116 58.733 -90.8672
0.828073 58.635 -91.9672
0.834074 58.536 -93.1045
0.840118 58.434 -94.2801
0.846206 58.331 -95.4947
0.852338 58.226 -96.7492
0.858514 58.121 -98.0444
0.864735 58.014 -99.3811
0.871001 57.906 -100.7599
0.877313 57.797 -102.1815
0.883670 57.688 -103.6467
0.890074 57.578 -105.1559
0.896524 57.469 -106.7097
0.903020 57.360 -108.3084
0.909564 57.251 -109.9526
0.916155 57.144 -111.6425
0.922794 57.037 -113.3783
0.929481 56.932 -115.1600
0.936216 56.828 -116.9879
0.943000 56.727 -118.8617
0.949834 56.628 -120.7814
0.956717 56.532 -122.7468
0.963649 56.439 -124.7576
0.970632 56.349 -126.8133
0.977666 56.264 -128.9136
0.984750 56.183 -131.0580
0.991886 56.106 -133.2460
0.999074 56.035 -135.4771
1.006314 55.970 -137.7508
1.013606 55.911 -140.0666
1.020951 55.859 -142.4240
1.028349 55.814 -144.8227
1.035801 55.777 -147.2625
1.043307 55.749 -149.7431
1.050867 55.729 -152.2648
1.058482 55.719 -154.8279
1.066152 55.720 -157.4332
1.073878 55.731 -160.0819
1.081660 55.754 -162.7759
1.089498 55.789 -165.5171
1.097393 55.837 -168.3076
1.105345 55.897 -171.1485
1.113355 55.970 -174.0383
1.121423 56.057 -176.9724
1.129549 56.157 -179.9430
1.137734 56.269 177.0606
1.145979 56.394 174.0508
1.154283 56.532 171.0411
1.162647 56.682 168.0451
1.171072 56.844 165.0762
1.179558 57.018 162.1467
1.188106 57.202 159.2679
1.196715 57.398 156.4496
1.205387 57.603 153.6998
1.214122 57.819 151.0250
1.222920 58.044 148.4301
1.231782 58.278 145.9181
1.240708 58.521 143.4909
1.249699 58.772 141.1491
1.258754 59.029 138.8920
1.267876 59.294 136.7182
1.277063 59.565 134.6254
1.286318 59.841 132.6110
1.295639 60.122 130.6717
1.305027 60.408 128.8039
1.314484 60.696 127.0040
1.324009 60.988 125.2681
1.333604 61.281 123.5924
1.343268 61.575 121.9729
1.353002 61.869 120.4059
1.362806 62.162 118.8876
1.372681 62.454 117.4143
1.382628 62.743 115.9825
1.392647 63.029 114.5890
1.402739 63.310 113.2304
1.412904 63.587 111.9038
1.423142 63.857 110.6063
1.433455 64.121 109.3356
1.443843 64.379 108.0897
1.454305 64.631 106.8670
1.464844 64.878 105.6667
1.475459 65.120 104.4886
1.486150 65.361 103.3328
1.496920 65.599 102.1993
1.507767 65.837 101.0881
1.518693 66.074 99.9988
1.529698 66.311 98.9308
1.540783 66.548 97.8832
1.551948 66.785 96.8552
1.563194 67.022 95.8456
1.574521 67.259 94.8533
1.585931 67.496 93.8773
1.597423 67.733 92.9162
1.608999 67.969 91.9689
1.620658 68.205 91.0342
1.632402 68.441 90.1110
1.644232 68.677 89.1979
1.656146 68.912 88.2939
1.668147 69.146 87.3978
1.680235 69.380 86.5085
1.692411 69.613 85.6247
1.704675 69.845 84.7454
1.717028 70.077 83.8695
1.729470 70.307 82.9960
1.742003 70.536 82.1238
1.754626 70.764 81.2520
1.767341 70.991 80.3796
1.780147 71.216 79.5059
1.793047 71.439 78.6303
1.806040 71.661 77.7525
1.819128 71.881 76.8727
1.832310 72.099 75.9913
1.845587 72.315 75.1095
1.858961 72.529 74.2283
1.872432 72.740 73.3490
1.886001 72.949 72.4727
1.899667 73.156 71.6000
1.913433 73.360 70.7316
1.927299 73.563 69.8678
1.941265 73.763 69.0090
1.955332 73.961 68.1551
1.969501 74.158 67.3062
1.983773 74.353 66.4622
1.998148 74.546 65.6229
2.012627 74.738 64.7879
2.027212 74.929 63.9569
2.041902 75.118 63.1296
2.056698 75.306 62.3055
2.071602 75.494 61.4839
2.086614 75.680 60.6645
2.101734 75.866 59.8465
2.116964 76.052 59.0293
2.132304 76.238 58.2123
2.147756 76.423 57.3948
2.163320 76.608 56.5764
2.178996 76.793 55.7565
2.194786 76.977 54.9350
2.210690 77.160 54.1119
2.226710 77.343 53.2874
2.242845 77.524 52.4622
2.259098 77.705 51.6365
2.275468 77.883 50.8112
2.291957 78.061 49.9865
2.308566 78.237 49.1630
2.325295 78.411 48.3409
2.342145 78.585 47.5205
2.359117 78.757 46.7020
2.376212 78.928 45.8853
2.393431 79.098 45.0704
2.410775 79.267 44.2574
2.428244 79.435 43.4459
2.445840 79.603 42.6357
2.463564 79.770 41.8265
2.481416 79.936 41.0180
2.499397 80.102 40.2096
2.517509 80.267 39.4008
2.535752 80.432 38.5911
2.554127 80.597 37.7798
2.572635 80.760 36.9666
2.591277 80.923 36.1511
2.610055 81.085 35.3333
2.628968 81.245 34.5135
2.648019 81.405 33.6921
2.667208 81.563 32.8695
2.686535 81.720 32.0462
2.706003 81.876 31.2229
2.725612 82.031 30.3998
2.745363 82.185 29.5774
2.765257 82.339 28.7560
2.785295 82.491 27.9358
2.805478 82.642 27.1168
2.825808 82.793 26.2992
2.846285 82.943 25.4827
2.866910 83.093 24.6671
2.887685 83.242 23.8520
2.908611 83.390 23.0368
2.929688 83.537 22.2208
2.950917 83.684 21.4033
2.972301 83.830 20.5837
2.993839 83.974 19.7621
3.015534 84.118 18.9385
3.037386 84.260 18.1133
3.059396 84.402 17.2871
3.081565 84.542 16.4604
3.103896 84.682 15.6339
3.126388 84.820 14.8080
3.149043 84.958 13.9832
3.171862 85.095 13.1597
3.194847 85.231 12.3379
3.217998 85.366 11.5178
3.241317 85.501 10.6991
3.264805 85.635 9.8815
3.288463 85.768 9.0641
3.312293 85.900 8.2463
3.336295 86.031 7.4274
3.360471 86.162 6.6067
3.384822 86.291 5.7843
3.409350 86.419 4.9604
3.434056 86.546 4.1358
3.458940 86.673 3.3109
3.484005 86.798 2.4863
3.509252 86.922 1.6628
3.534681 87.046 0.8411
3.560295 87.169 0.0212
3.586094 87.291 -0.7964
3.612081 87.412 -1.6117
3.638255 87.533 -2.4253
3.664620 87.653 -3.2375
3.691175 87.771 -4.0496
3.717923 87.889 -4.8618
3.744864 88.006 -5.6747
3.772001 88.122 -6.4882
3.799335 88.237 -7.3019
3.826866 88.351 -8.1154
3.854597 88.465 -8.9281
3.882529 88.577 -9.7393
3.910664 88.688 -10.5486
3.939002 88.799 -11.3555
3.967546 88.909 -12.1598
3.996296 89.019 -12.9617
4.025255 89.127 -13.7617
4.054423 89.235 -14.5603
4.083804 89.342 -15.3584
4.113396 89.448 -16.1561
4.143204 89.553 -16.9537
4.173227 89.657 -17.7509
4.203468 89.761 -18.5471
4.233928 89.863 -19.3420
4.264609 89.965 -20.1349
4.295512 90.067 -20.9257
4.326639 90.167 -21.7137
4.357992 90.267 -22.4991
4.389572 90.366 -23.2823
4.421380 90.464 -24.0636
4.453419 90.562 -24.8436
4.485691 90.659 -25.6227
4.518196 90.755 -26.4009
4.550936 90.851 -27.1781
4.583914 90.945 -27.9539
4.617131 91.039 -28.7280
4.650589 91.132 -29.5000
4.684289 91.225 -30.2698
4.718233 91.317 -31.0371
4.752424 91.408 -31.8022
4.786862 91.499 -32.5656
4.821549 91.589 -33.3275
4.856488 91.679 -34.0883
4.891680 91.767 -34.8479
4.927127 91.855 -35.6063
4.962831 91.943 -36.3634
4.998794 92.029 -37.1187
5.035017 92.116 -37.8721
5.071503 92.201 -38.6235
5.108253 92.286 -39.3730
5.145270 92.370 -40.1207
5.182555 92.454 -40.8672
5.220110 92.537 -41.6125
5.257937 92.620 -42.3567
5.296038 92.701 -43.0998
5.334415 92.782 -43.8416
5.373071 92.863 -44.5817
5.412006 92.943 -45.3201
5.451224 93.022 -46.0567
5.490725 93.101 -46.7916
5.530514 93.179 -47.5251
5.570590 93.256 -48.2574
5.610957 93.333 -48.9887
5.651616 93.408 -49.7188
5.692570 93.484 -50.4475
5.733821 93.558 -51.1747
5.775370 93.632 -51.9000
5.817221 93.706 -52.6235
5.859375 93.778 -53.3452
5.901834 93.850 -54.0652
5.944602 93.922 -54.7838
5.987679 93.992 -55.5011
6.031068 94.062 -56.2168
6.074771 94.131 -56.9307
6.118792 94.200 -57.6426
6.163131 94.268 -58.3522
6.207792 94.335 -59.0594
6.252776 94.401 -59.7645
6.298086 94.467 -60.4675
6.343725 94.532 -61.1685
6.389694 94.597 -61.8673
6.435996 94.660 -62.5640
6.482634 94.723 -63.2581
6.529610 94.786 -63.9493
6.576926 94.848 -64.6379
