* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 9, 24 12:30:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kadenz ECHO B Normal L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.357 -48.9198
0.368865 62.353 -48.9735
0.371538 62.349 -49.0541
0.374230 62.343 -49.1557
0.376942 62.336 -49.2729
0.379673 62.329 -49.4022
0.382424 62.322 -49.5410
0.385196 62.314 -49.6877
0.387987 62.307 -49.8417
0.390798 62.299 -50.0023
0.393630 62.291 -50.1693
0.396483 62.283 -50.3428
0.399356 62.275 -50.5226
0.402250 62.267 -50.7088
0.405165 62.259 -50.9014
0.408101 62.251 -51.1005
0.411058 62.243 -51.3061
0.414037 62.234 -51.5183
0.417037 62.226 -51.7371
0.420059 62.218 -51.9626
0.423103 62.209 -52.1948
0.426169 62.201 -52.4338
0.429257 62.192 -52.6796
0.432368 62.184 -52.9323
0.435501 62.175 -53.1919
0.438656 62.166 -53.4584
0.441835 62.157 -53.7320
0.445037 62.148 -54.0125
0.448262 62.139 -54.3001
0.451510 62.130 -54.5948
0.454782 62.121 -54.8966
0.458077 62.112 -55.2055
0.461397 62.103 -55.5216
0.464740 62.094 -55.8449
0.468108 62.084 -56.1753
0.471500 62.075 -56.5129
0.474917 62.065 -56.8577
0.478358 62.056 -57.2098
0.481825 62.046 -57.5690
0.485316 62.037 -57.9354
0.488833 62.027 -58.3089
0.492375 62.017 -58.6896
0.495943 62.007 -59.0775
0.499537 61.997 -59.4724
0.503157 61.987 -59.8744
0.506803 61.977 -60.2835
0.510475 61.967 -60.6995
0.514175 61.956 -61.1225
0.517900 61.946 -61.5524
0.521653 61.936 -61.9891
0.525434 61.925 -62.4325
0.529241 61.915 -62.8827
0.533076 61.904 -63.3394
0.536939 61.893 -63.8027
0.540830 61.882 -64.2724
0.544749 61.872 -64.7485
0.548696 61.861 -65.2308
0.552673 61.850 -65.7192
0.556677 61.838 -66.2137
0.560711 61.827 -66.7141
0.564774 61.816 -67.2202
0.568867 61.805 -67.7321
0.572989 61.793 -68.2494
0.577141 61.782 -68.7721
0.581324 61.770 -69.3001
0.585536 61.758 -69.8332
0.589779 61.747 -70.3712
0.594053 61.735 -70.9140
0.598358 61.723 -71.4615
0.602694 61.711 -72.0134
0.607061 61.699 -72.5697
0.611460 61.686 -73.1300
0.615891 61.674 -73.6944
0.620354 61.662 -74.2626
0.624849 61.649 -74.8344
0.629377 61.637 -75.4096
0.633938 61.624 -75.9882
0.638532 61.611 -76.5699
0.643159 61.598 -77.1546
0.647819 61.585 -77.7421
0.652514 61.572 -78.3322
0.657242 61.559 -78.9248
0.662005 61.546 -79.5197
0.666802 61.533 -80.1168
0.671634 61.519 -80.7160
0.676501 61.506 -81.3171
0.681403 61.492 -81.9200
0.686341 61.478 -82.5245
0.691314 61.465 -83.1307
0.696324 61.450 -83.7386
0.701370 61.436 -84.3480
0.706452 61.422 -84.9594
0.711571 61.407 -85.5729
0.716728 61.391 -86.1894
0.721921 61.374 -86.8101
0.727153 61.356 -87.4366
0.732422 61.335 -88.0715
0.737729 61.312 -88.7177
0.743075 61.286 -89.3781
0.748460 61.257 -90.0554
0.753883 61.225 -90.7514
0.759346 61.192 -91.4676
0.764849 61.156 -92.2048
0.770391 61.117 -92.9638
0.775974 61.077 -93.7449
0.781597 61.035 -94.5485
0.787261 60.990 -95.3748
0.792966 60.944 -96.2241
0.798712 60.896 -97.0965
0.804500 60.847 -97.9920
0.810329 60.795 -98.9109
0.816201 60.743 -99.8532
0.822116 60.688 -100.8189
0.828073 60.633 -101.8081
0.834074 60.576 -102.8207
0.840118 60.518 -103.8568
0.846206 60.459 -104.9162
0.852338 60.399 -105.9989
0.858514 60.338 -107.1048
0.864735 60.276 -108.2337
0.871001 60.214 -109.3855
0.877313 60.151 -110.5599
0.883670 60.088 -111.7567
0.890074 60.025 -112.9757
0.896524 59.961 -114.2166
0.903020 59.898 -115.4791
0.909564 59.835 -116.7630
0.916155 59.772 -118.0679
0.922794 59.710 -119.3937
0.929481 59.649 -120.7398
0.936216 59.589 -122.1062
0.943000 59.530 -123.4926
0.949834 59.473 -124.8986
0.956717 59.417 -126.3242
0.963649 59.363 -127.7691
0.970632 59.311 -129.2334
0.977666 59.261 -130.7168
0.984750 59.214 -132.2196
0.991886 59.170 -133.7418
0.999074 59.129 -135.2837
1.006314 59.092 -136.8457
1.013606 59.058 -138.4281
1.020951 59.028 -140.0318
1.028349 59.002 -141.6573
1.035801 58.982 -143.3058
1.043307 58.966 -144.9785
1.050867 58.955 -146.6768
1.058482 58.951 -148.4027
1.066152 58.952 -150.1585
1.073878 58.960 -151.9474
1.081660 58.974 -153.7731
1.089498 58.995 -155.6403
1.097393 59.023 -157.5547
1.105345 59.058 -159.5220
1.113355 59.100 -161.5476
1.121423 59.149 -163.6349
1.129549 59.204 -165.7856
1.137734 59.267 -167.9996
1.145979 59.335 -170.2747
1.154283 59.410 -172.6079
1.162647 59.492 -174.9946
1.171072 59.579 -177.4293
1.179558 59.673 -179.9059
1.188106 59.773 177.5828
1.196715 59.878 175.0442
1.205387 59.990 172.4862
1.214122 60.107 169.9171
1.222920 60.229 167.3450
1.231782 60.357 164.7780
1.240708 60.490 162.2240
1.249699 60.628 159.6904
1.258754 60.770 157.1838
1.267876 60.918 154.7106
1.277063 61.069 152.2759
1.286318 61.225 149.8844
1.295639 61.385 147.5397
1.305027 61.549 145.2448
1.314484 61.716 143.0017
1.324009 61.886 140.8118
1.333604 62.059 138.6757
1.343268 62.235 136.5935
1.353002 62.413 134.5648
1.362806 62.593 132.5884
1.372681 62.775 130.6631
1.382628 62.958 128.7872
1.392647 63.143 126.9586
1.402739 63.328 125.1752
1.412904 63.513 123.4346
1.423142 63.699 121.7344
1.433455 63.885 120.0721
1.443843 64.072 118.4455
1.454305 64.260 116.8525
1.464844 64.449 115.2915
1.475459 64.641 113.7616
1.486150 64.836 112.2622
1.496920 65.035 110.7931
1.507767 65.238 109.3542
1.518693 65.446 107.9452
1.529698 65.659 106.5659
1.540783 65.876 105.2155
1.551948 66.097 103.8935
1.563194 66.323 102.5988
1.574521 66.552 101.3304
1.585931 66.785 100.0872
1.597423 67.021 98.8680
1.608999 67.260 97.6715
1.620658 67.502 96.4963
1.632402 67.745 95.3410
1.644232 67.991 94.2043
1.656146 68.238 93.0847
1.668147 68.486 91.9808
1.680235 68.735 90.8912
1.692411 68.984 89.8146
1.704675 69.233 88.7495
1.717028 69.482 87.6945
1.729470 69.729 86.6484
1.742003 69.974 85.6097
1.754626 70.218 84.5773
1.767341 70.459 83.5500
1.780147 70.697 82.5267
1.793047 70.932 81.5065
1.806040 71.164 80.4888
1.819128 71.392 79.4734
1.832310 71.616 78.4607
1.845587 71.838 77.4512
1.858961 72.057 76.4460
1.872432 72.273 75.4463
1.886001 72.488 74.4529
1.899667 72.700 73.4667
1.913433 72.911 72.4883
1.927299 73.120 71.5181
1.941265 73.327 70.5564
1.955332 73.533 69.6033
1.969501 73.737 68.6587
1.983773 73.940 67.7225
1.998148 74.141 66.7946
2.012627 74.341 65.8744
2.027212 74.541 64.9617
2.041902 74.739 64.0559
2.056698 74.936 63.1565
2.071602 75.132 62.2629
2.086614 75.327 61.3744
2.101734 75.522 60.4903
2.116964 75.716 59.6099
2.132304 75.910 58.7325
2.147756 76.103 57.8571
2.163320 76.296 56.9833
2.178996 76.488 56.1103
2.194786 76.680 55.2379
2.210690 76.870 54.3659
2.226710 77.059 53.4944
2.242845 77.247 52.6239
2.259098 77.434 51.7548
2.275468 77.619 50.8876
2.291957 77.802 50.0229
2.308566 77.984 49.1609
2.325295 78.165 48.3020
2.342145 78.344 47.4465
2.359117 78.522 46.5944
2.376212 78.699 45.7458
2.393431 78.874 44.9006
2.410775 79.049 44.0588
2.428244 79.223 43.2201
2.445840 79.396 42.3842
2.463564 79.568 41.5508
2.481416 79.740 40.7195
2.499397 79.911 39.8897
2.517509 80.082 39.0609
2.535752 80.252 38.2325
2.554127 80.421 37.4038
2.572635 80.589 36.5743
2.591277 80.757 35.7437
2.610055 80.923 34.9118
2.628968 81.089 34.0790
2.648019 81.253 33.2454
2.667208 81.415 32.4117
2.686535 81.577 31.5783
2.706003 81.737 30.7456
2.725612 81.896 29.9142
2.745363 82.054 29.0842
2.765257 82.212 28.2561
2.785295 82.368 27.4301
2.805478 82.523 26.6061
2.825808 82.678 25.7842
2.846285 82.832 24.9644
2.866910 82.985 24.1461
2.887685 83.137 23.3292
2.908611 83.289 22.5128
2.929688 83.440 21.6965
2.950917 83.590 20.8794
2.972301 83.739 20.0610
2.993839 83.887 19.2412
3.015534 84.034 18.4202
3.037386 84.180 17.5981
3.059396 84.324 16.7756
3.081565 84.468 15.9532
3.103896 84.610 15.1315
3.126388 84.752 14.3109
3.149043 84.892 13.4918
3.171862 85.032 12.6744
3.194847 85.171 11.8591
3.217998 85.309 11.0459
3.241317 85.446 10.2344
3.264805 85.583 9.4242
3.288463 85.718 8.6147
3.312293 85.853 7.8052
3.336295 85.987 6.9948
3.360471 86.120 6.1830
3.384822 86.252 5.3699
3.409350 86.383 4.5558
3.434056 86.512 3.7411
3.458940 86.641 2.9265
3.484005 86.768 2.1124
3.509252 86.895 1.2997
3.534681 87.021 0.4886
3.560295 87.146 -0.3203
3.586094 87.270 -1.1270
3.612081 87.393 -1.9313
3.638255 87.516 -2.7338
3.664620 87.638 -3.5349
3.691175 87.759 -4.3357
3.717923 87.879 -5.1366
3.744864 87.998 -5.9380
3.772001 88.115 -6.7399
3.799335 88.232 -7.5420
3.826866 88.348 -8.3438
3.854597 88.463 -9.1448
3.882529 88.577 -9.9443
3.910664 88.691 -10.7419
3.939002 88.803 -11.5372
3.967546 88.915 -12.3302
3.996296 89.026 -13.1209
4.025255 89.136 -13.9099
4.054423 89.245 -14.6976
4.083804 89.354 -15.4850
4.113396 89.461 -16.2721
4.143204 89.568 -17.0592
4.173227 89.673 -17.8460
4.203468 89.778 -18.6320
4.233928 89.882 -19.4168
4.264609 89.985 -20.1998
4.295512 90.087 -20.9807
4.326639 90.189 -21.7591
4.357992 90.290 -22.5352
4.389572 90.390 -23.3091
4.421380 90.489 -24.0814
4.453419 90.588 -24.8527
4.485691 90.685 -25.6232
4.518196 90.782 -26.3930
4.550936 90.878 -27.1620
4.583914 90.974 -27.9297
4.617131 91.068 -28.6959
4.650589 91.162 -29.4602
4.684289 91.255 -30.2223
4.718233 91.347 -30.9821
4.752424 91.439 -31.7397
4.786862 91.530 -32.4957
4.821549 91.620 -33.2504
4.856488 91.710 -34.0041
4.891680 91.799 -34.7568
4.927127 91.887 -35.5084
4.962831 91.974 -36.2587
4.998794 92.061 -37.0072
5.035017 92.146 -37.7539
5.071503 92.232 -38.4985
5.108253 92.316 -39.2411
5.145270 92.401 -39.9819
5.182555 92.484 -40.7214
5.220110 92.567 -41.4597
5.257937 92.649 -42.1970
5.296038 92.730 -42.9330
5.334415 92.810 -43.6676
5.373071 92.890 -44.4006
5.412006 92.970 -45.1318
5.451224 93.048 -45.8611
5.490725 93.126 -46.5886
5.530514 93.204 -47.3146
5.570590 93.281 -48.0392
5.610957 93.357 -48.7627
5.651616 93.432 -49.4850
5.692570 93.507 -50.2059
5.733821 93.581 -50.9252
5.775370 93.655 -51.6428
5.817221 93.728 -52.3586
5.859375 93.800 -53.0728
5.901834 93.872 -53.7853
5.944602 93.943 -54.4965
5.987679 94.014 -55.2063
6.031068 94.084 -55.9149
6.074771 94.153 -56.6219
6.118792 94.222 -57.3273
6.163131 94.290 -58.0308
6.207792 94.357 -58.7325
6.252776 94.424 -59.4325
6.298086 94.490 -60.1309
6.343725 94.556 -60.8278
6.389694 94.621 -61.5232
6.435996 94.685 -62.2170
6.482634 94.749 -62.9091
6.529610 94.812 -63.5994
