* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 11, 2023 3:49:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi Ears Forteza L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.546 170.2535
20.507813 94.519 170.1882
20.874023 94.454 170.0057
21.240234 94.400 169.7749
21.606445 94.365 169.4587
21.972656 94.339 169.0266
22.338867 94.316 168.5078
22.705078 94.291 167.9697
23.071289 94.260 167.4902
23.437500 94.226 167.1281
23.803711 94.194 166.9006
24.169922 94.170 166.7748
24.536133 94.152 166.6801
24.902344 94.136 166.5421
25.268555 94.111 166.3213
25.634766 94.071 166.0310
26.000977 94.014 165.7233
26.367188 93.948 165.4545
26.733399 93.886 165.2515
27.099610 93.839 165.0979
27.465821 93.809 164.9524
27.832032 93.794 164.7820
28.198243 93.781 164.5831
28.564454 93.763 164.3790
28.930665 93.734 164.1997
29.296876 93.694 164.0601
29.663087 93.648 163.9510
30.029298 93.600 163.8460
30.395509 93.552 163.7168
30.761720 93.507 163.5478
31.127931 93.464 163.3415
31.494142 93.423 163.1167
31.860353 93.383 162.9012
32.226563 93.346 162.7203
32.592774 93.310 162.5824
32.958985 93.276 162.4736
33.325196 93.241 162.3651
33.691407 93.200 162.2326
34.057618 93.147 162.0782
34.423829 93.080 161.9364
34.790040 93.005 161.8569
35.156251 92.932 161.8680
35.522462 92.878 161.9468
35.888673 92.849 162.0217
36.254884 92.844 162.0100
36.621095 92.850 161.8676
36.987306 92.851 161.6171
37.353517 92.836 161.3338
37.719728 92.804 161.1016
38.085939 92.761 160.9663
38.452150 92.716 160.9179
38.818361 92.673 160.9082
39.184572 92.633 160.8869
39.550783 92.594 160.8302
39.916994 92.554 160.7448
40.283205 92.514 160.6520
40.649416 92.475 160.5688
41.015627 92.440 160.5000
41.381838 92.407 160.4438
41.748049 92.374 160.4004
42.114260 92.338 160.3735
42.480471 92.299 160.3636
42.846682 92.257 160.3607
43.212893 92.214 160.3444
43.579103 92.171 160.2957
43.945314 92.126 160.2112
44.311525 92.079 160.1077
44.677736 92.031 160.0137
45.043947 91.988 159.9528
45.410158 91.950 159.9297
45.776369 91.921 159.9292
46.142580 91.897 159.9286
46.508791 91.873 159.9137
46.875002 91.845 159.8876
47.241213 91.810 159.8677
47.607424 91.770 159.8720
47.973635 91.729 159.9065
48.339846 91.691 159.9604
48.706057 91.658 160.0138
49.072268 91.626 160.0501
49.438479 91.594 160.0652
49.804690 91.560 160.0666
50.170901 91.522 160.0642
50.537112 91.482 160.0616
50.903323 91.442 160.0536
51.269534 91.404 160.0338
51.635745 91.369 160.0038
52.001956 91.335 159.9768
52.368167 91.305 159.9705
52.734378 91.279 159.9951
53.100589 91.259 160.0442
53.466800 91.243 160.0970
53.833011 91.226 160.1305
54.199222 91.204 160.1342
54.565432 91.171 160.1161
54.931643 91.128 160.0965
55.297854 91.076 160.0949
55.664065 91.023 160.1180
56.030276 90.972 160.1581
56.396487 90.927 160.2018
56.762698 90.887 160.2396
57.128909 90.852 160.2719
57.495120 90.818 160.3055
57.861331 90.786 160.3460
58.227542 90.754 160.3926
58.593753 90.723 160.4384
58.959964 90.691 160.4755
59.326175 90.658 160.4999
59.692386 90.624 160.5131
60.058597 90.589 160.5202
60.424808 90.555 160.5279
60.791019 90.521 160.5437
61.157230 90.488 160.5758
61.523441 90.457 160.6308
61.889652 90.429 160.7103
62.255863 90.404 160.8066
62.622074 90.382 160.9035
62.988285 90.362 160.9819
63.354496 90.339 161.0299
63.720707 90.312 161.0490
64.086918 90.279 161.0538
64.453129 90.239 161.0647
64.819340 90.196 161.0969
65.185551 90.153 161.1546
65.551762 90.113 161.2310
65.917972 90.076 161.3150
66.284183 90.043 161.3980
66.650394 90.011 161.4772
67.016605 89.979 161.5543
67.382816 89.948 161.6315
67.749027 89.917 161.7088
68.115238 89.887 161.7834
68.481449 89.858 161.8524
68.847660 89.830 161.9146
69.213871 89.801 161.9715
69.580082 89.772 162.0263
69.946293 89.743 162.0817
70.312504 89.714 162.1387
70.678715 89.684 162.1962
71.044926 89.654 162.2522
71.411137 89.624 162.3052
71.777348 89.593 162.3558
72.143559 89.561 162.4068
72.509770 89.529 162.4627
72.875981 89.497 162.5278
73.242192 89.466 162.6042
73.608403 89.436 162.6913
73.974614 89.406 162.7857
74.340825 89.378 162.8831
74.707036 89.349 162.9796
75.073247 89.319 163.0735
75.439458 89.289 163.1646
75.805669 89.257 163.2539
76.171880 89.225 163.3426
76.538091 89.193 163.4316
76.904301 89.161 163.5214
77.270512 89.130 163.6123
77.636723 89.100 163.7041
78.002934 89.070 163.7962
78.369145 89.042 163.8874
78.735356 89.015 163.9762
79.101567 88.988 164.0619
79.467778 88.963 164.1445
79.833989 88.938 164.2247
80.200200 88.914 164.3030
80.566411 88.891 164.3799
80.932622 88.868 164.4554
81.298833 88.843 164.5299
81.665044 88.818 164.6056
82.031255 88.791 164.6863
82.397466 88.762 164.7765
82.763677 88.731 164.8804
83.129888 88.701 165.0000
83.496099 88.670 165.1345
83.862310 88.642 165.2802
84.228521 88.615 165.4312
84.594732 88.590 165.5813
84.960943 88.567 165.7249
85.327154 88.545 165.8587
85.693365 88.522 165.9822
86.059576 88.498 166.0976
86.425787 88.474 166.2091
86.791998 88.448 166.3211
87.158209 88.420 166.4376
87.524420 88.391 166.5611
87.890631 88.361 166.6929
88.256841 88.329 166.8331
88.623052 88.297 166.9805
88.989263 88.263 167.1321
89.355474 88.230 167.2833
89.721685 88.199 167.4281
90.087896 88.170 167.5609
90.454107 88.143 167.6786
90.820318 88.120 167.7821
91.186529 88.098 167.8763
91.552740 88.078 167.9684
91.918951 88.059 168.0657
92.285162 88.040 168.1730
92.651373 88.021 168.2916
93.017584 88.001 168.4197
93.383795 87.980 168.5534
93.750006 87.957 168.6891
94.116217 87.933 168.8240
94.482428 87.908 168.9567
94.848639 87.882 169.0871
95.214850 87.856 169.2160
95.581061 87.830 169.3445
95.947272 87.805 169.4735
96.313483 87.781 169.6040
96.679694 87.757 169.7365
97.045905 87.734 169.8709
97.412116 87.710 170.0069
97.778327 87.685 170.1437
98.144538 87.660 170.2807
98.510749 87.635 170.4175
98.876960 87.610 170.5543
99.243170 87.584 170.6916
99.609381 87.558 170.8303
99.975592 87.533 170.9711
100.341803 87.508 171.1142
100.708014 87.483 171.2598
101.074225 87.460 171.4077
101.440436 87.437 171.5579
101.806647 87.414 171.7112
102.172858 87.392 171.8687
102.539069 87.371 172.0318
102.905280 87.350 172.2019
103.271491 87.329 172.3789
103.637702 87.309 172.5617
104.003913 87.288 172.7474
104.370124 87.267 172.9321
104.736335 87.246 173.1113
105.102546 87.224 173.2806
105.468757 87.201 173.4365
105.834968 87.177 173.5766
106.201179 87.153 173.7001
106.567390 87.128 173.8080
106.933601 87.104 173.9025
107.299812 87.081 173.9877
107.666023 87.058 174.0686
108.032234 87.036 174.1507
108.398445 87.014 174.2394
108.764656 86.992 174.3389
109.130867 86.970 174.4518
109.497078 86.948 174.5785
109.863289 86.926 174.7181
110.229500 86.904 174.8679
110.595710 86.882 175.0249
110.961921 86.860 175.1859
111.328132 86.838 175.3484
111.694343 86.817 175.5105
112.060554 86.795 175.6716
112.426765 86.775 175.8316
112.792976 86.754 175.9910
113.159187 86.734 176.1504
113.525398 86.714 176.3109
113.891609 86.694 176.4734
114.257820 86.674 176.6386
114.624031 86.654 176.8075
114.990242 86.634 176.9810
115.356453 86.614 177.1594
115.722664 86.594 177.3431
116.088875 86.574 177.5313
116.455086 86.553 177.7225
116.821297 86.533 177.9146
117.187508 86.513 178.1047
117.553719 86.492 178.2903
117.919930 86.472 178.4692
118.286141 86.452 178.6403
118.652352 86.432 178.8037
119.018563 86.412 178.9606
119.384774 86.392 179.1126
119.750985 86.372 179.2619
120.117196 86.353 179.4101
120.483407 86.334 179.5586
120.849618 86.314 179.7082
121.215829 86.296 179.8591
121.582040 86.277 -179.9888
121.948250 86.258 -179.8359
122.314461 86.240 -179.6823
122.680672 86.223 -179.5283
123.046883 86.206 -179.3734
123.413094 86.189 -179.2173
123.779305 86.173 -179.0595
124.145516 86.158 -178.8994
124.511727 86.142 -178.7367
124.877938 86.128 -178.5718
125.244149 86.113 -178.4050
125.610360 86.098 -178.2370
125.976571 86.082 -178.0687
126.342782 86.067 -177.9011
126.708993 86.051 -177.7349
127.075204 86.035 -177.5706
127.441415 86.019 -177.4088
127.807626 86.002 -177.2493
128.173837 85.985 -177.0922
128.540048 85.968 -176.9369
128.906259 85.952 -176.7830
129.272470 85.935 -176.6299
129.638681 85.918 -176.4773
130.004892 85.901 -176.3247
130.371103 85.884 -176.1721
130.737314 85.867 -176.0194
131.103525 85.851 -175.8668
131.469736 85.835 -175.7145
131.835947 85.818 -175.5626
132.202158 85.802 -175.4108
132.568369 85.786 -175.2592
132.934579 85.770 -175.1072
133.300790 85.754 -174.9547
133.667001 85.738 -174.8012
134.033212 85.722 -174.6469
134.399423 85.706 -174.4915
134.765634 85.690 -174.3356
135.131845 85.675 -174.1793
135.498056 85.659 -174.0230
135.864267 85.644 -173.8672
136.230478 85.628 -173.7120
136.596689 85.613 -173.5578
136.962900 85.598 -173.4044
137.329111 85.582 -173.2517
137.695322 85.567 -173.0995
138.061533 85.551 -172.9474
138.427744 85.535 -172.7952
138.793955 85.520 -172.6424
139.160166 85.504 -172.4888
139.526377 85.489 -172.3345
139.892588 85.473 -172.1792
140.258799 85.458 -172.0230
140.625010 85.443 -171.8658
140.991221 85.427 -171.7077
141.357432 85.412 -171.5485
141.723643 85.396 -171.3883
142.089854 85.380 -171.2272
142.456065 85.364 -171.0653
142.822276 85.348 -170.9028
143.188487 85.331 -170.7401
143.554698 85.315 -170.5773
143.920909 85.298 -170.4147
144.287119 85.282 -170.2526
144.653330 85.266 -170.0910
145.019541 85.250 -169.9299
145.385752 85.234 -169.7691
145.751963 85.218 -169.6085
146.118174 85.202 -169.4480
146.484385 85.186 -169.2875
146.850596 85.170 -169.1268
147.216807 85.155 -168.9660
147.583018 85.139 -168.8051
147.949229 85.123 -168.6441
148.315440 85.108 -168.4832
148.681651 85.092 -168.3224
149.047862 85.077 -168.1619
149.414073 85.061 -168.0016
149.780284 85.046 -167.8418
150.146495 85.030 -167.6823
150.512706 85.015 -167.5232
150.878917 84.999 -167.3646
151.245128 84.984 -167.2063
151.611339 84.968 -167.0484
151.977550 84.953 -166.8909
152.343761 84.937 -166.7336
152.709972 84.922 -166.5764
153.076183 84.906 -166.4194
153.442394 84.891 -166.2622
153.808605 84.876 -166.1049
154.174816 84.861 -165.9474
154.541027 84.846 -165.7898
154.907238 84.830 -165.6321
155.273448 84.815 -165.4743
155.639659 84.800 -165.3167
156.005870 84.785 -165.1592
156.372081 84.770 -165.0020
156.738292 84.755 -164.8450
157.104503 84.740 -164.6882
157.470714 84.725 -164.5316
157.836925 84.710 -164.3750
158.203136 84.695 -164.2183
158.569347 84.680 -164.0614
158.935558 84.665 -163.9042
159.301769 84.649 -163.7464
159.667980 84.634 -163.5881
160.034191 84.619 -163.4290
160.400402 84.603 -163.2691
160.766613 84.588 -163.1085
161.132824 84.573 -162.9470
161.499035 84.557 -162.7849
161.865246 84.542 -162.6222
162.231457 84.527 -162.4590
162.597668 84.512 -162.2957
162.963879 84.497 -162.1321
163.330090 84.482 -161.9686
163.696301 84.467 -161.8051
164.062512 84.453 -161.6419
164.428723 84.438 -161.4789
164.794934 84.424 -161.3161
165.161145 84.410 -161.1535
165.527356 84.395 -160.9911
165.893567 84.381 -160.8289
166.259778 84.367 -160.6667
166.625988 84.353 -160.5046
166.992199 84.340 -160.3425
167.358410 84.326 -160.1802
167.724621 84.312 -160.0179
168.090832 84.299 -159.8553
168.457043 84.285 -159.6924
168.823254 84.272 -159.5293
169.189465 84.259 -159.3658
