* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 11, 2023 3:48:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi Ears Forteza R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 93.898 175.9156
20.507813 93.881 175.8843
20.874023 93.843 175.8201
21.240234 93.823 175.7691
21.606445 93.820 175.6364
21.972656 93.815 175.3324
22.338867 93.789 174.8798
22.705078 93.734 174.3854
23.071289 93.658 173.9617
23.437500 93.581 173.6525
23.803711 93.525 173.4122
24.169922 93.495 173.1545
24.536133 93.481 172.8337
24.902344 93.467 172.4904
25.268555 93.443 172.2243
25.634766 93.412 172.1097
26.000977 93.386 172.1220
26.367188 93.370 172.1410
26.733399 93.356 172.0306
27.099610 93.328 171.7344
27.465821 93.275 171.3176
27.832032 93.198 170.9235
28.198243 93.113 170.6759
28.564454 93.044 170.5994
28.930665 93.003 170.6154
29.296876 92.987 170.6093
29.663087 92.979 170.5133
30.029298 92.960 170.3416
30.395509 92.924 170.1609
30.761720 92.875 170.0290
31.127931 92.822 169.9533
31.494142 92.776 169.8962
31.860353 92.738 169.8165
32.226563 92.703 169.7037
32.592774 92.668 169.5802
32.958985 92.631 169.4762
33.325196 92.594 169.4034
33.691407 92.558 169.3501
34.057618 92.521 169.2970
34.423829 92.484 169.2353
34.790040 92.446 169.1704
35.156251 92.408 169.1089
35.522462 92.374 169.0475
35.888673 92.340 168.9776
36.254884 92.303 168.9029
36.621095 92.260 168.8488
36.987306 92.210 168.8485
37.353517 92.161 168.9109
37.719728 92.123 168.9960
38.085939 92.099 169.0237
38.452150 92.087 168.9176
38.818361 92.074 168.6577
39.184572 92.048 168.3019
39.550783 92.006 167.9612
39.916994 91.951 167.7424
40.283205 91.894 167.6945
40.649416 91.846 167.7909
41.015627 91.808 167.9544
41.381838 91.776 168.1049
41.748049 91.743 168.1972
42.114260 91.703 168.2295
42.480471 91.656 168.2258
42.846682 91.606 168.2106
43.212893 91.559 168.1936
43.579103 91.519 168.1733
43.945314 91.484 168.1471
44.311525 91.451 168.1200
44.677736 91.418 168.1024
45.043947 91.383 168.1024
45.410158 91.344 168.1185
45.776369 91.303 168.1402
46.142580 91.259 168.1560
46.508791 91.214 168.1632
46.875002 91.167 168.1728
47.241213 91.122 168.2054
47.607424 91.080 168.2780
47.973635 91.046 168.3913
48.339846 91.020 168.5242
48.706057 91.002 168.6412
49.072268 90.984 168.7098
49.438479 90.962 168.7178
49.804690 90.929 168.6790
50.170901 90.885 168.6226
50.537112 90.835 168.5757
50.903323 90.785 168.5482
51.269534 90.740 168.5315
51.635745 90.703 168.5106
52.001956 90.673 168.4791
52.368167 90.646 168.4458
52.734378 90.620 168.4289
53.100589 90.592 168.4434
53.466800 90.564 168.4903
53.833011 90.533 168.5568
54.199222 90.500 168.6243
54.565432 90.463 168.6773
54.931643 90.422 168.7076
55.297854 90.380 168.7127
55.664065 90.339 168.6948
56.030276 90.302 168.6626
56.396487 90.271 168.6347
56.762698 90.246 168.6374
57.128909 90.228 168.6945
57.495120 90.218 168.8116
57.861331 90.215 168.9674
58.227542 90.213 169.1195
58.593753 90.203 169.2257
58.959964 90.178 169.2673
59.326175 90.131 169.2596
59.692386 90.064 169.2419
60.058597 89.984 169.2538
60.424808 89.904 169.3120
60.791019 89.837 169.4042
61.157230 89.790 169.5011
61.523441 89.761 169.5776
61.889652 89.745 169.6289
62.255863 89.733 169.6696
62.622074 89.719 169.7211
62.988285 89.700 169.7964
63.354496 89.674 169.8930
63.720707 89.643 169.9963
64.086918 89.606 170.0896
64.453129 89.567 170.1617
64.819340 89.528 170.2089
65.185551 89.493 170.2333
65.551762 89.461 170.2409
65.917972 89.435 170.2421
66.284183 89.412 170.2528
66.650394 89.390 170.2916
67.016605 89.369 170.3722
67.382816 89.348 170.4936
67.749027 89.328 170.6352
68.115238 89.309 170.7612
68.481449 89.288 170.8340
68.847660 89.261 170.8307
69.213871 89.225 170.7549
69.580082 89.177 170.6367
69.946293 89.120 170.5223
70.312504 89.059 170.4570
70.678715 89.001 170.4703
71.044926 88.951 170.5687
71.411137 88.913 170.7381
71.777348 88.885 170.9532
72.143559 88.864 171.1877
72.509770 88.845 171.4205
72.875981 88.825 171.6370
73.242192 88.802 171.8272
73.608403 88.775 171.9843
73.974614 88.745 172.1057
74.340825 88.715 172.1956
74.707036 88.687 172.2657
75.073247 88.662 172.3333
75.439458 88.641 172.4162
75.805669 88.625 172.5274
76.171880 88.612 172.6729
76.538091 88.601 172.8516
76.904301 88.589 173.0571
77.270512 88.575 173.2780
77.636723 88.558 173.4980
78.002934 88.539 173.6964
78.369145 88.518 173.8514
78.735356 88.495 173.9469
79.101567 88.469 173.9795
79.467778 88.440 173.9611
79.833989 88.408 173.9165
80.200200 88.373 173.8747
80.566411 88.337 173.8593
80.932622 88.304 173.8826
81.298833 88.272 173.9441
81.665044 88.244 174.0357
82.031255 88.217 174.1469
82.397466 88.190 174.2702
82.763677 88.162 174.4027
83.129888 88.131 174.5455
83.496099 88.098 174.7011
83.862310 88.064 174.8698
84.228521 88.030 175.0482
84.594732 87.999 175.2284
84.960943 87.970 175.3996
85.327154 87.944 175.5510
85.693365 87.918 175.6757
86.059576 87.892 175.7733
86.425787 87.863 175.8507
86.791998 87.833 175.9196
87.158209 87.802 175.9923
87.524420 87.771 176.0774
87.890631 87.744 176.1766
88.256841 87.721 176.2845
88.623052 87.703 176.3921
88.989263 87.688 176.4904
89.355474 87.673 176.5753
89.721685 87.657 176.6484
90.087896 87.637 176.7166
90.454107 87.613 176.7881
90.820318 87.584 176.8696
91.186529 87.553 176.9637
91.552740 87.520 177.0690
91.918951 87.488 177.1824
92.285162 87.457 177.3011
92.651373 87.429 177.4242
93.017584 87.401 177.5523
93.383795 87.376 177.6864
93.750006 87.351 177.8266
94.116217 87.327 177.9712
94.482428 87.304 178.1172
94.848639 87.281 178.2611
95.214850 87.258 178.4003
95.581061 87.235 178.5334
95.947272 87.212 178.6605
96.313483 87.189 178.7831
96.679694 87.167 178.9034
97.045905 87.145 179.0242
97.412116 87.123 179.1479
97.778327 87.100 179.2758
98.144538 87.076 179.4077
98.510749 87.052 179.5413
98.876960 87.027 179.6731
99.243170 87.002 179.7992
99.609381 86.978 179.9161
99.975592 86.954 -179.9777
100.341803 86.932 -179.8813
100.708014 86.910 -179.7917
101.074225 86.889 -179.7047
101.440436 86.869 -179.6162
101.806647 86.848 -179.5231
102.172858 86.827 -179.4241
102.539069 86.805 -179.3200
102.905280 86.782 -179.2126
103.271491 86.758 -179.1036
103.637702 86.733 -178.9942
104.003913 86.707 -178.8839
104.370124 86.682 -178.7716
104.736335 86.656 -178.6560
105.102546 86.631 -178.5371
105.468757 86.605 -178.4170
105.834968 86.580 -178.2999
106.201179 86.555 -178.1922
106.567390 86.531 -178.1011
106.933601 86.508 -178.0331
107.299812 86.487 -177.9922
107.666023 86.468 -177.9766
108.032234 86.452 -177.9780
108.398445 86.439 -177.9818
108.764656 86.428 -177.9688
109.130867 86.418 -177.9203
109.497078 86.410 -177.8230
109.863289 86.401 -177.6725
110.229500 86.391 -177.4745
110.595710 86.379 -177.2429
110.961921 86.363 -176.9956
111.328132 86.343 -176.7503
111.694343 86.319 -176.5206
112.060554 86.290 -176.3143
112.426765 86.259 -176.1333
112.792976 86.228 -175.9746
113.159187 86.196 -175.8320
113.525398 86.167 -175.6975
113.891609 86.139 -175.5629
114.257820 86.114 -175.4218
114.624031 86.090 -175.2703
114.990242 86.068 -175.1079
115.356453 86.048 -174.9365
115.722664 86.028 -174.7603
116.088875 86.009 -174.5833
116.455086 85.989 -174.4094
116.821297 85.970 -174.2411
117.187508 85.951 -174.0797
117.553719 85.932 -173.9254
117.919930 85.914 -173.7781
118.286141 85.895 -173.6375
118.652352 85.876 -173.5030
119.018563 85.857 -173.3744
119.384774 85.839 -173.2513
119.750985 85.821 -173.1331
120.117196 85.803 -173.0186
120.483407 85.785 -172.9063
120.849618 85.767 -172.7946
121.215829 85.749 -172.6816
121.582040 85.730 -172.5662
121.948250 85.711 -172.4476
122.314461 85.691 -172.3259
122.680672 85.671 -172.2014
123.046883 85.650 -172.0748
123.413094 85.629 -171.9465
123.779305 85.607 -171.8167
124.145516 85.585 -171.6851
124.511727 85.563 -171.5513
124.877938 85.541 -171.4148
125.244149 85.519 -171.2751
125.610360 85.497 -171.1324
125.976571 85.475 -170.9873
126.342782 85.454 -170.8409
126.708993 85.432 -170.6947
127.075204 85.410 -170.5502
127.441415 85.388 -170.4086
127.807626 85.367 -170.2706
128.173837 85.345 -170.1364
128.540048 85.325 -170.0056
128.906259 85.305 -169.8779
129.272470 85.286 -169.7528
129.638681 85.269 -169.6298
130.004892 85.252 -169.5086
130.371103 85.237 -169.3887
130.737314 85.223 -169.2698
131.103525 85.209 -169.1509
131.469736 85.194 -169.0312
131.835947 85.180 -168.9099
132.202158 85.165 -168.7859
132.568369 85.149 -168.6588
132.934579 85.134 -168.5280
133.300790 85.118 -168.3933
133.667001 85.102 -168.2549
134.033212 85.085 -168.1132
134.399423 85.069 -167.9690
134.765634 85.052 -167.8237
135.131845 85.035 -167.6792
135.498056 85.017 -167.5373
135.864267 84.998 -167.3998
136.230478 84.979 -167.2676
136.596689 84.959 -167.1409
136.962900 84.938 -167.0181
137.329111 84.917 -166.8970
137.695322 84.895 -166.7744
138.061533 84.873 -166.6473
138.427744 84.851 -166.5131
138.793955 84.829 -166.3704
139.160166 84.807 -166.2194
139.526377 84.785 -166.0613
139.892588 84.763 -165.8984
140.258799 84.741 -165.7333
140.625010 84.719 -165.5688
140.991221 84.697 -165.4072
141.357432 84.676 -165.2506
141.723643 84.656 -165.1002
142.089854 84.637 -164.9566
142.456065 84.619 -164.8198
142.822276 84.603 -164.6889
143.188487 84.588 -164.5627
143.554698 84.575 -164.4394
143.920909 84.561 -164.3173
144.287119 84.549 -164.1948
144.653330 84.536 -164.0707
145.019541 84.523 -163.9444
145.385752 84.510 -163.8157
145.751963 84.496 -163.6849
146.118174 84.481 -163.5524
146.484385 84.466 -163.4188
146.850596 84.450 -163.2846
147.216807 84.434 -163.1503
147.583018 84.418 -163.0161
147.949229 84.402 -162.8821
148.315440 84.385 -162.7480
148.681651 84.369 -162.6137
149.047862 84.353 -162.4784
149.414073 84.337 -162.3412
149.780284 84.321 -162.2012
150.146495 84.306 -162.0574
150.512706 84.291 -161.9090
150.878917 84.277 -161.7555
151.245128 84.263 -161.5968
151.611339 84.249 -161.4333
151.977550 84.234 -161.2659
152.343761 84.220 -161.0959
152.709972 84.206 -160.9248
153.076183 84.191 -160.7542
153.442394 84.176 -160.5857
153.808605 84.160 -160.4205
154.174816 84.144 -160.2593
154.541027 84.128 -160.1023
154.907238 84.111 -159.9492
155.273448 84.094 -159.7989
155.639659 84.078 -159.6505
156.005870 84.061 -159.5024
156.372081 84.044 -159.3535
156.738292 84.027 -159.2025
157.104503 84.011 -159.0486
157.470714 83.995 -158.8913
157.836925 83.980 -158.7304
158.203136 83.965 -158.5662
158.569347 83.952 -158.3991
158.935558 83.938 -158.2302
159.301769 83.926 -158.0604
159.667980 83.914 -157.8907
160.034191 83.903 -157.7219
160.400402 83.893 -157.5551
160.766613 83.882 -157.3906
161.132824 83.873 -157.2290
161.499035 83.863 -157.0705
161.865246 83.854 -156.9152
162.231457 83.845 -156.7631
162.597668 83.836 -156.6139
162.963879 83.828 -156.4674
163.330090 83.820 -156.3231
163.696301 83.812 -156.1804
164.062512 83.805 -156.0385
164.428723 83.798 -155.8967
164.794934 83.792 -155.7544
165.161145 83.787 -155.6109
165.527356 83.782 -155.4659
165.893567 83.778 -155.3193
166.259778 83.774 -155.1714
166.625988 83.771 -155.0225
166.992199 83.769 -154.8736
167.358410 83.767 -154.7254
167.724621 83.766 -154.5789
