* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.790
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 29, 2024 10:58:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi Ears Quintet L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 99.100 -163.2049
20.507813 99.097 -163.4641
20.874023 99.089 -164.1658
21.240234 99.085 -164.9528
21.606445 99.092 -165.8725
21.972656 99.110 -167.0058
22.338867 99.131 -168.2999
22.705078 99.145 -169.6226
23.071289 99.147 -170.8176
23.437500 99.139 -171.7619
23.803711 99.128 -172.4230
24.169922 99.121 -172.8686
24.536133 99.122 -173.2276
24.902344 99.127 -173.6281
25.268555 99.130 -174.1502
25.634766 99.130 -174.8151
26.000977 99.127 -175.6007
26.367188 99.121 -176.4618
26.733399 99.113 -177.3412
27.099610 99.102 -178.1773
27.465821 99.088 -178.9201
27.832032 99.074 -179.5550
28.198243 99.063 179.8830
28.564454 99.055 179.3261
28.930665 99.047 178.7158
29.296876 99.032 178.0428
29.663087 99.009 177.3504
30.029298 98.984 176.6960
30.395509 98.966 176.1016
30.761720 98.961 175.5359
31.127931 98.964 174.9459
31.494142 98.965 174.3099
31.860353 98.952 173.6650
32.226563 98.925 173.0788
32.592774 98.894 172.5884
32.958985 98.872 172.1591
33.325196 98.865 171.7036
33.691407 98.865 171.1507
34.057618 98.858 170.5082
34.423829 98.834 169.8644
34.790040 98.799 169.3218
35.156251 98.765 168.9151
35.522462 98.748 168.5769
35.888673 98.748 168.1839
36.254884 98.753 167.6482
36.621095 98.746 166.9849
36.987306 98.717 166.3036
37.353517 98.673 165.7326
37.719728 98.632 165.3294
38.085939 98.611 165.0436
38.452150 98.614 164.7536
38.818361 98.631 164.3503
39.184572 98.640 163.8058
39.550783 98.627 163.1850
39.916994 98.588 162.5993
40.283205 98.534 162.1384
40.649416 98.482 161.8216
41.015627 98.448 161.5928
41.381838 98.436 161.3544
41.748049 98.442 161.0163
42.114260 98.453 160.5350
42.480471 98.454 159.9294
42.846682 98.435 159.2702
43.212893 98.392 158.6537
43.579103 98.332 158.1672
43.945314 98.268 157.8563
44.311525 98.214 157.7049
44.677736 98.182 157.6382
45.043947 98.175 157.5490
45.410158 98.187 157.3395
45.776369 98.205 156.9590
46.142580 98.214 156.4222
46.508791 98.205 155.8005
46.875002 98.174 155.1922
47.241213 98.127 154.6859
47.607424 98.071 154.3300
47.973635 98.018 154.1205
48.339846 97.973 154.0084
48.706057 97.939 153.9211
49.072268 97.913 153.7871
49.438479 97.894 153.5512
49.804690 97.880 153.1798
50.170901 97.870 152.6597
50.537112 97.864 151.9990
50.903323 97.858 151.2338
51.269534 97.848 150.4337
51.635745 97.829 149.6959
52.001956 97.799 149.1197
52.368167 97.763 148.7695
52.734378 97.727 148.6441
53.100589 97.696 148.6741
53.466800 97.670 148.7517
53.833011 97.645 148.7783
54.199222 97.615 148.7037
54.565432 97.578 148.5338
54.931643 97.538 148.3074
55.297854 97.503 148.0616
55.664065 97.482 147.8096
56.030276 97.477 147.5439
56.396487 97.482 147.2555
56.762698 97.488 146.9503
57.128909 97.487 146.6495
57.495120 97.477 146.3732
57.861331 97.457 146.1223
58.227542 97.433 145.8742
58.593753 97.407 145.5955
58.959964 97.381 145.2639
59.326175 97.354 144.8828
59.692386 97.327 144.4783
60.058597 97.300 144.0833
60.424808 97.276 143.7178
60.791019 97.256 143.3821
61.157230 97.237 143.0639
61.523441 97.216 142.7542
61.889652 97.190 142.4587
62.255863 97.157 142.1962
62.622074 97.121 141.9847
62.988285 97.087 141.8244
63.354496 97.058 141.6920
63.720707 97.036 141.5483
64.086918 97.017 141.3572
64.453129 96.996 141.1025
64.819340 96.969 140.7939
65.185551 96.933 140.4595
65.551762 96.893 140.1318
65.917972 96.854 139.8366
66.284183 96.822 139.5889
66.650394 96.801 139.3959
67.016605 96.794 139.2597
67.382816 96.799 139.1766
67.749027 96.812 139.1336
68.115238 96.830 139.1068
68.481449 96.845 139.0652
68.847660 96.851 138.9814
69.213871 96.842 138.8401
69.580082 96.817 138.6430
69.946293 96.775 138.4043
70.312504 96.723 138.1418
70.678715 96.668 137.8683
71.044926 96.618 137.5882
71.411137 96.577 137.3003
71.777348 96.546 137.0048
72.143559 96.523 136.7086
72.509770 96.503 136.4256
72.875981 96.485 136.1718
73.242192 96.464 135.9568
73.608403 96.442 135.7780
73.974614 96.418 135.6198
74.340825 96.393 135.4603
74.707036 96.367 135.2808
75.073247 96.342 135.0743
75.439458 96.317 134.8478
75.805669 96.294 134.6194
76.171880 96.272 134.4127
76.538091 96.253 134.2526
76.904301 96.233 134.1623
77.270512 96.210 134.1606
77.636723 96.185 134.2546
78.002934 96.158 134.4294
78.369145 96.134 134.6404
78.735356 96.115 134.8167
79.101567 96.103 134.8779
79.467778 96.093 134.7609
79.833989 96.081 134.4440
80.200200 96.061 133.9563
80.566411 96.031 133.3671
80.932622 95.993 132.7604
81.298833 95.952 132.2079
81.665044 95.914 131.7507
82.031255 95.881 131.3978
82.397466 95.856 131.1366
82.763677 95.836 130.9473
83.129888 95.818 130.8120
83.496099 95.800 130.7160
83.862310 95.782 130.6432
84.228521 95.766 130.5725
84.594732 95.752 130.4790
84.960943 95.739 130.3420
85.327154 95.728 130.1536
85.693365 95.716 129.9230
86.059576 95.702 129.6746
86.425787 95.685 129.4393
86.791998 95.664 129.2459
87.158209 95.638 129.1153
87.524420 95.604 129.0598
87.890631 95.563 129.0845
88.256841 95.513 129.1855
88.623052 95.457 129.3452
88.989263 95.403 129.5265
89.355474 95.355 129.6740
89.721685 95.320 129.7243
90.087896 95.298 129.6255
90.454107 95.288 129.3546
90.820318 95.284 128.9260
91.186529 95.283 128.3842
91.552740 95.281 127.7863
91.918951 95.277 127.1824
92.285162 95.271 126.6057
92.651373 95.262 126.0732
93.017584 95.248 125.5953
93.383795 95.228 125.1841
93.750006 95.204 124.8548
94.116217 95.177 124.6200
94.482428 95.151 124.4811
94.848639 95.129 124.4232
95.214850 95.114 124.4175
95.581061 95.104 124.4305
95.947272 95.097 124.4334
96.313483 95.089 124.4089
96.679694 95.080 124.3518
97.045905 95.069 124.2662
97.412116 95.056 124.1609
97.778327 95.042 124.0454
98.144538 95.029 123.9286
98.510749 95.016 123.8175
98.876960 95.001 123.7165
99.243170 94.984 123.6262
99.609381 94.963 123.5425
99.975592 94.937 123.4575
100.341803 94.908 123.3616
100.708014 94.877 123.2471
101.074225 94.846 123.1111
101.440436 94.816 122.9571
101.806647 94.789 122.7948
102.172858 94.766 122.6371
102.539069 94.746 122.4958
102.905280 94.729 122.3788
103.271491 94.714 122.2873
103.637702 94.699 122.2161
104.003913 94.684 122.1552
104.370124 94.667 122.0932
104.736335 94.650 122.0202
105.102546 94.633 121.9305
105.468757 94.614 121.8236
105.834968 94.596 121.7034
106.201179 94.577 121.5773
106.567390 94.558 121.4525
106.933601 94.538 121.3350
107.299812 94.518 121.2271
107.666023 94.497 121.1279
108.032234 94.476 121.0342
108.398445 94.455 120.9417
108.764656 94.435 120.8465
109.130867 94.416 120.7462
109.497078 94.398 120.6401
109.863289 94.381 120.5286
110.229500 94.365 120.4135
110.595710 94.349 120.2967
110.961921 94.334 120.1808
111.328132 94.320 120.0682
111.694343 94.305 119.9612
112.060554 94.291 119.8616
112.426765 94.276 119.7706
112.792976 94.262 119.6880
113.159187 94.246 119.6124
113.525398 94.230 119.5400
113.891609 94.212 119.4653
114.257820 94.192 119.3817
114.624031 94.170 119.2829
114.990242 94.145 119.1644
115.356453 94.120 119.0245
115.722664 94.093 118.8647
116.088875 94.068 118.6894
116.455086 94.045 118.5043
116.821297 94.026 118.3155
117.187508 94.011 118.1285
117.553719 94.000 117.9471
117.919930 93.991 117.7734
118.286141 93.984 117.6078
118.652352 93.977 117.4494
119.018563 93.970 117.2964
119.384774 93.962 117.1468
119.750985 93.952 116.9995
120.117196 93.940 116.8544
120.483407 93.927 116.7133
120.849618 93.913 116.5785
121.215829 93.898 116.4530
121.582040 93.884 116.3387
121.948250 93.870 116.2363
122.314461 93.858 116.1445
122.680672 93.846 116.0605
123.046883 93.836 115.9812
123.413094 93.827 115.9034
123.779305 93.819 115.8250
124.145516 93.811 115.7455
124.511727 93.804 115.6652
124.877938 93.796 115.5852
125.244149 93.788 115.5070
125.610360 93.780 115.4316
125.976571 93.772 115.3598
126.342782 93.763 115.2920
126.708993 93.754 115.2285
127.075204 93.744 115.1691
127.441415 93.733 115.1132
127.807626 93.720 115.0597
128.173837 93.705 115.0067
128.540048 93.689 114.9518
128.906259 93.671 114.8923
129.272470 93.651 114.8254
129.638681 93.630 114.7490
130.004892 93.608 114.6616
130.371103 93.584 114.5630
130.737314 93.561 114.4538
131.103525 93.538 114.3356
131.469736 93.515 114.2106
131.835947 93.493 114.0811
132.202158 93.472 113.9496
132.568369 93.453 113.8185
132.934579 93.436 113.6895
133.300790 93.420 113.5643
133.667001 93.406 113.4442
134.033212 93.393 113.3303
134.399423 93.382 113.2238
134.765634 93.372 113.1253
135.131845 93.364 113.0354
135.498056 93.356 112.9541
135.864267 93.348 112.8810
136.230478 93.340 112.8154
136.596689 93.331 112.7563
136.962900 93.320 112.7028
137.329111 93.308 112.6534
137.695322 93.294 112.6069
138.061533 93.278 112.5616
138.427744 93.261 112.5156
138.793955 93.242 112.4663
139.160166 93.223 112.4111
139.526377 93.204 112.3474
139.892588 93.186 112.2731
140.258799 93.169 112.1871
140.625010 93.152 112.0894
140.991221 93.137 111.9811
141.357432 93.123 111.8643
141.723643 93.111 111.7421
142.089854 93.099 111.6172
142.456065 93.089 111.4923
142.822276 93.080 111.3697
143.188487 93.072 111.2505
143.554698 93.065 111.1359
143.920909 93.058 111.0264
144.287119 93.050 110.9227
144.653330 93.042 110.8256
145.019541 93.032 110.7360
145.385752 93.020 110.6548
145.751963 93.007 110.5823
146.118174 92.991 110.5179
146.484385 92.975 110.4604
146.850596 92.958 110.4075
147.216807 92.940 110.3568
147.583018 92.923 110.3058
147.949229 92.907 110.2527
148.315440 92.891 110.1965
148.681651 92.875 110.1373
149.047862 92.861 110.0753
149.414073 92.846 110.0115
149.780284 92.832 109.9463
150.146495 92.818 109.8794
150.512706 92.804 109.8099
150.878917 92.789 109.7364
151.245128 92.775 109.6573
151.611339 92.761 109.5719
151.977550 92.748 109.4807
152.343761 92.735 109.3859
152.709972 92.722 109.2913
153.076183 92.710 109.2016
153.442394 92.698 109.1220
153.808605 92.686 109.0568
154.174816 92.675 109.0089
154.541027 92.665 108.9787
154.907238 92.655 108.9648
155.273448 92.645 108.9637
155.639659 92.636 108.9708
156.005870 92.626 108.9811
156.372081 92.617 108.9898
156.738292 92.607 108.9937
157.104503 92.596 108.9906
157.470714 92.586 108.9800
157.836925 92.575 108.9628
158.203136 92.564 108.9407
158.569347 92.553 108.9160
158.935558 92.543 108.8905
159.301769 92.534 108.8659
159.667980 92.527 108.8424
160.034191 92.521 108.8194
160.400402 92.516 108.7949
160.766613 92.513 108.7661
161.132824 92.510 108.7299
161.499035 92.507 108.6834
161.865246 92.503 108.6246
162.231457 92.498 108.5532
162.597668 92.491 108.4708
162.963879 92.482 108.3813
163.330090 92.472 108.2902
163.696301 92.461 108.2038
164.062512 92.450 108.1285
164.428723 92.440 108.0694
164.794934 92.432 108.0293
165.161145 92.425 108.0084
165.527356 92.423 108.0040
165.893567 92.423 108.0112
166.259778 92.428 108.0233
166.625988 92.435 108.0336
166.992199 92.445 108.0358
167.358410 92.457 108.0253
167.724621 92.471 107.9990
168.090832 92.484 107.9559
168.457043 92.497 107.8967
168.823254 92.508 107.8230
169.189465 92.518 107.7368
169.555676 92.524 107.6407
169.921887 92.529 107.5367
170.288098 92.530 107.4268
170.654309 92.529 107.3126
171.020520 92.525 107.1953
171.386731 92.519 107.0760
171.752942 92.512 106.9551
172.119153 92.504 106.8329
