* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.790
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 29, 2024 10:57:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi Ears Quintet R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 99.160 -163.3224
20.507813 99.167 -163.6940
20.874023 99.183 -164.6839
21.240234 99.194 -165.7020
21.606445 99.197 -166.6832
21.972656 99.194 -167.6530
22.338867 99.189 -168.5792
22.705078 99.186 -169.4544
23.071289 99.188 -170.2996
23.437500 99.194 -171.1313
23.803711 99.199 -171.9470
24.169922 99.202 -172.7272
24.536133 99.204 -173.4529
24.902344 99.207 -174.1252
25.268555 99.211 -174.7687
25.634766 99.215 -175.4161
26.000977 99.215 -176.0874
26.367188 99.208 -176.7792
26.733399 99.194 -177.4734
27.099610 99.178 -178.1549
27.465821 99.163 -178.8238
27.832032 99.154 -179.4937
28.198243 99.149 179.8224
28.564454 99.145 179.1255
28.930665 99.138 178.4329
29.296876 99.127 177.7668
29.663087 99.114 177.1407
30.029298 99.100 176.5510
30.395509 99.087 175.9811
30.761720 99.075 175.4126
31.127931 99.062 174.8360
31.494142 99.048 174.2532
31.860353 99.031 173.6732
32.226563 99.013 173.1043
32.592774 98.994 172.5486
32.958985 98.976 172.0029
33.325196 98.958 171.4619
33.691407 98.941 170.9224
34.057618 98.924 170.3844
34.423829 98.907 169.8509
34.790040 98.890 169.3252
35.156251 98.873 168.8100
35.522462 98.855 168.3073
35.888673 98.836 167.8178
36.254884 98.817 167.3408
36.621095 98.796 166.8730
36.987306 98.776 166.4091
37.353517 98.755 165.9436
37.719728 98.735 165.4733
38.085939 98.715 164.9999
38.452150 98.694 164.5297
38.818361 98.674 164.0706
39.184572 98.655 163.6285
39.550783 98.635 163.2037
39.916994 98.616 162.7920
40.283205 98.596 162.3864
40.649416 98.573 161.9804
41.015627 98.549 161.5704
41.381838 98.523 161.1551
41.748049 98.497 160.7355
42.114260 98.472 160.3135
42.480471 98.450 159.8922
42.846682 98.431 159.4753
43.212893 98.415 159.0667
43.579103 98.400 158.6704
43.945314 98.383 158.2894
44.311525 98.363 157.9249
44.677736 98.340 157.5747
45.043947 98.315 157.2305
45.410158 98.289 156.8787
45.776369 98.263 156.5051
46.142580 98.238 156.1049
46.508791 98.212 155.6892
46.875002 98.184 155.2841
47.241213 98.154 154.9168
47.607424 98.126 154.5973
47.973635 98.101 154.3071
48.339846 98.080 154.0081
48.706057 98.059 153.6660
49.072268 98.034 153.2761
49.438479 98.006 152.8686
49.804690 97.979 152.4888
50.170901 97.964 152.1628
50.537112 97.969 151.8745
50.903323 97.994 151.5732
51.269534 98.028 151.2091
51.635745 98.055 150.7719
52.001956 98.057 150.3054
52.368167 98.027 149.8847
52.734378 97.970 149.5721
53.100589 97.899 149.3784
53.466800 97.828 149.2573
53.833011 97.767 149.1327
54.199222 97.718 148.9425
54.565432 97.679 148.6689
54.931643 97.645 148.3395
55.297854 97.613 148.0028
55.664065 97.586 147.6981
56.030276 97.563 147.4377
56.396487 97.545 147.2087
56.762698 97.529 146.9869
57.128909 97.514 146.7512
57.495120 97.495 146.4922
57.861331 97.472 146.2119
58.227542 97.445 145.9202
58.593753 97.414 145.6311
58.959964 97.383 145.3581
59.326175 97.352 145.1088
59.692386 97.324 144.8810
60.058597 97.301 144.6613
60.424808 97.282 144.4311
60.791019 97.266 144.1754
61.157230 97.249 143.8907
61.523441 97.231 143.5865
61.889652 97.211 143.2792
62.255863 97.189 142.9836
62.622074 97.168 142.7073
62.988285 97.146 142.4505
63.354496 97.124 142.2108
63.720707 97.100 141.9863
64.086918 97.073 141.7761
64.453129 97.044 141.5773
64.819340 97.012 141.3835
65.185551 96.980 141.1871
65.551762 96.948 140.9855
65.917972 96.916 140.7834
66.284183 96.888 140.5909
66.650394 96.865 140.4147
67.016605 96.850 140.2505
67.382816 96.842 140.0822
67.749027 96.839 139.8885
68.115238 96.835 139.6561
68.481449 96.825 139.3886
68.847660 96.805 139.1078
69.213871 96.776 138.8450
69.580082 96.739 138.6288
69.946293 96.701 138.4731
70.312504 96.666 138.3730
70.678715 96.636 138.3061
71.044926 96.611 138.2408
71.411137 96.589 138.1465
71.777348 96.566 138.0014
72.143559 96.539 137.7965
72.509770 96.509 137.5345
72.875981 96.478 137.2256
73.242192 96.451 136.8842
73.608403 96.429 136.5281
73.974614 96.413 136.1786
74.340825 96.401 135.8574
74.707036 96.387 135.5781
75.073247 96.367 135.3354
75.439458 96.335 135.0995
75.805669 96.285 134.8252
76.171880 96.212 134.4736
76.538091 96.113 134.0378
76.904301 95.993 133.5531
77.270512 95.863 133.0864
77.636723 95.745 132.7046
78.002934 95.662 132.4433
78.369145 95.630 132.2936
78.735356 95.652 132.2137
79.101567 95.716 132.1576
79.467778 95.798 132.0991
79.833989 95.876 132.0380
80.200200 95.930 131.9878
80.566411 95.953 131.9575
80.932622 95.942 131.9428
81.298833 95.900 131.9304
81.665044 95.835 131.9107
82.031255 95.757 131.8859
82.397466 95.678 131.8688
82.763677 95.612 131.8729
83.129888 95.569 131.9031
83.496099 95.555 131.9532
83.862310 95.568 132.0106
84.228521 95.602 132.0627
84.594732 95.645 132.0992
84.960943 95.690 132.1082
85.327154 95.731 132.0704
85.693365 95.765 131.9587
86.059576 95.793 131.7467
86.425787 95.816 131.4227
86.791998 95.837 131.0038
87.158209 95.862 130.5389
87.524420 95.896 130.0982
87.890631 95.943 129.7517
88.256841 96.007 129.5468
88.623052 96.084 129.4962
88.989263 96.163 129.5802
89.355474 96.231 129.7618
89.721685 96.271 130.0035
90.087896 96.274 130.2758
90.454107 96.234 130.5530
90.820318 96.156 130.8015
91.186529 96.050 130.9713
91.552740 95.931 130.9999
91.918951 95.812 130.8281
92.285162 95.702 130.4224
92.651373 95.608 129.7905
93.017584 95.528 128.9844
93.383795 95.461 128.0879
93.750006 95.404 127.1959
94.116217 95.355 126.3933
94.482428 95.313 125.7385
94.848639 95.277 125.2557
95.214850 95.247 124.9350
95.581061 95.223 124.7391
95.947272 95.203 124.6164
96.313483 95.184 124.5162
96.679694 95.163 124.4028
97.045905 95.137 124.2635
97.412116 95.101 124.1083
97.778327 95.058 123.9615
98.144538 95.007 123.8508
98.510749 94.954 123.7965
98.876960 94.903 123.8054
99.243170 94.858 123.8700
99.609381 94.824 123.9711
99.975592 94.804 124.0820
100.341803 94.798 124.1743
100.708014 94.806 124.2237
101.074225 94.825 124.2164
101.440436 94.851 124.1516
101.806647 94.879 124.0409
102.172858 94.906 123.9027
102.539069 94.929 123.7545
102.905280 94.948 123.6048
103.271491 94.962 123.4512
103.637702 94.972 123.2818
104.003913 94.979 123.0812
104.370124 94.983 122.8381
104.736335 94.984 122.5500
105.102546 94.982 122.2250
105.468757 94.975 121.8806
105.834968 94.961 121.5397
106.201179 94.939 121.2268
106.567390 94.910 120.9631
106.933601 94.872 120.7633
107.299812 94.829 120.6331
107.666023 94.782 120.5694
108.032234 94.737 120.5628
108.398445 94.695 120.6013
108.764656 94.659 120.6746
109.130867 94.626 120.7767
109.497078 94.594 120.9059
109.863289 94.560 121.0607
110.229500 94.520 121.2358
110.595710 94.473 121.4166
110.961921 94.418 121.5784
111.328132 94.358 121.6888
111.694343 94.296 121.7151
112.060554 94.237 121.6336
112.426765 94.186 121.4388
112.792976 94.147 121.1472
113.159187 94.121 120.7958
113.525398 94.109 120.4326
113.891609 94.108 120.1040
114.257820 94.117 119.8431
114.624031 94.132 119.6605
114.990242 94.148 119.5441
115.356453 94.164 119.4633
115.722664 94.178 119.3795
116.088875 94.189 119.2561
116.455086 94.198 119.0685
116.821297 94.206 118.8093
117.187508 94.216 118.4902
117.553719 94.227 118.1393
117.919930 94.240 117.7949
118.286141 94.253 117.4968
118.652352 94.265 117.2769
119.018563 94.274 117.1526
119.384774 94.278 117.1240
119.750985 94.276 117.1748
120.117196 94.267 117.2789
120.483407 94.250 117.4068
120.849618 94.227 117.5325
121.215829 94.200 117.6366
121.582040 94.169 117.7072
121.948250 94.138 117.7388
122.314461 94.109 117.7299
122.680672 94.083 117.6823
123.046883 94.059 117.5997
123.413094 94.038 117.4881
123.779305 94.019 117.3542
124.145516 94.002 117.2052
124.511727 93.985 117.0474
124.877938 93.969 116.8859
125.244149 93.955 116.7240
125.610360 93.943 116.5639
125.976571 93.932 116.4069
126.342782 93.922 116.2540
126.708993 93.911 116.1059
127.075204 93.900 115.9627
127.441415 93.888 115.8241
127.807626 93.873 115.6892
128.173837 93.855 115.5569
128.540048 93.835 115.4262
128.906259 93.813 115.2970
129.272470 93.790 115.1703
129.638681 93.768 115.0485
130.004892 93.746 114.9346
130.371103 93.727 114.8318
130.737314 93.711 114.7429
131.103525 93.698 114.6689
131.469736 93.689 114.6095
131.835947 93.682 114.5635
132.202158 93.678 114.5286
132.568369 93.675 114.5029
132.934579 93.672 114.4844
133.300790 93.669 114.4717
133.667001 93.664 114.4630
134.033212 93.658 114.4563
134.399423 93.651 114.4488
134.765634 93.642 114.4368
135.131845 93.633 114.4163
135.498056 93.622 114.3829
135.864267 93.610 114.3339
136.230478 93.598 114.2678
136.596689 93.584 114.1850
136.962900 93.569 114.0875
137.329111 93.553 113.9780
137.695322 93.538 113.8587
138.061533 93.522 113.7308
138.427744 93.507 113.5939
138.793955 93.494 113.4467
139.160166 93.482 113.2878
139.526377 93.471 113.1167
139.892588 93.462 112.9345
140.258799 93.454 112.7449
140.625010 93.447 112.5538
140.991221 93.440 112.3689
141.357432 93.433 112.1982
141.723643 93.426 112.0491
142.089854 93.418 111.9272
142.456065 93.410 111.8350
142.822276 93.401 111.7716
143.188487 93.391 111.7328
143.554698 93.380 111.7116
143.920909 93.368 111.6996
144.287119 93.354 111.6884
144.653330 93.340 111.6703
145.019541 93.325 111.6402
145.385752 93.309 111.5954
145.751963 93.294 111.5359
146.118174 93.278 111.4637
146.484385 93.264 111.3824
146.850596 93.250 111.2953
147.216807 93.236 111.2058
147.583018 93.224 111.1161
147.949229 93.211 111.0273
148.315440 93.199 110.9400
148.681651 93.186 110.8542
149.047862 93.172 110.7702
149.414073 93.157 110.6889
149.780284 93.140 110.6118
150.146495 93.121 110.5410
150.512706 93.100 110.4789
150.878917 93.077 110.4279
151.245128 93.051 110.3896
151.611339 93.022 110.3640
151.977550 92.993 110.3499
152.343761 92.962 110.3443
152.709972 92.932 110.3428
153.076183 92.904 110.3404
153.442394 92.880 110.3325
153.808605 92.860 110.3160
154.174816 92.847 110.2900
154.541027 92.840 110.2562
154.907238 92.840 110.2189
155.273448 92.845 110.1841
155.639659 92.855 110.1578
156.005870 92.867 110.1451
156.372081 92.881 110.1479
156.738292 92.893 110.1647
157.104503 92.903 110.1897
157.470714 92.909 110.2145
157.836925 92.911 110.2286
158.203136 92.907 110.2219
158.569347 92.898 110.1859
158.935558 92.884 110.1158
159.301769 92.866 110.0106
159.667980 92.845 109.8734
160.034191 92.823 109.7103
160.400402 92.802 109.5294
160.766613 92.782 109.3396
161.132824 92.766 109.1489
161.499035 92.754 108.9646
161.865246 92.747 108.7924
162.231457 92.746 108.6366
162.597668 92.749 108.5007
162.963879 92.756 108.3870
163.330090 92.766 108.2969
163.696301 92.779 108.2307
164.062512 92.793 108.1867
164.428723 92.807 108.1619
164.794934 92.820 108.1509
165.161145 92.832 108.1470
165.527356 92.840 108.1422
165.893567 92.845 108.1282
166.259778 92.845 108.0975
166.625988 92.841 108.0445
166.992199 92.832 107.9656
167.358410 92.820 107.8604
167.724621 92.803 107.7310
168.090832 92.784 107.5815
168.457043 92.763 107.4180
168.823254 92.741 107.2466
169.189465 92.719 107.0739
169.555676 92.697 106.9052
169.921887 92.676 106.7448
170.288098 92.656 106.5953
170.654309 92.637 106.4581
171.020520 92.619 106.3330
171.386731 92.602 106.2191
171.752942 92.586 106.1144
172.119153 92.570 106.0170
