* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 12, 2023 2:27:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi ears Cadenza L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 89.474 -172.7018
20.507813 89.491 -172.9702
20.874023 89.523 -173.6531
21.240234 89.524 -174.2480
21.606445 89.496 -174.6724
21.972656 89.458 -174.9943
22.338867 89.427 -175.3014
22.705078 89.405 -175.6871
23.071289 89.391 -176.1920
23.437500 89.377 -176.7671
23.803711 89.365 -177.3085
24.169922 89.362 -177.7361
24.536133 89.375 -178.0538
24.902344 89.405 -178.3461
25.268555 89.438 -178.7165
25.634766 89.457 -179.2155
26.000977 89.447 -179.8115
26.367188 89.406 179.5805
26.733399 89.349 179.0410
27.099610 89.295 178.5952
27.465821 89.257 178.2078
27.832032 89.241 177.8221
28.198243 89.238 177.4071
28.564454 89.236 176.9764
28.930665 89.229 176.5705
29.296876 89.215 176.2209
29.663087 89.198 175.9265
30.029298 89.180 175.6565
30.395509 89.163 175.3746
30.761720 89.146 175.0641
31.127931 89.126 174.7327
31.494142 89.104 174.3991
31.860353 89.081 174.0769
32.226563 89.059 173.7654
32.592774 89.036 173.4548
32.958985 89.013 173.1351
33.325196 88.989 172.8042
33.691407 88.964 172.4677
34.057618 88.941 172.1329
34.423829 88.921 171.8055
34.790040 88.905 171.4892
35.156251 88.891 171.1869
35.522462 88.877 170.9013
35.888673 88.861 170.6327
36.254884 88.843 170.3767
36.621095 88.821 170.1247
36.987306 88.798 169.8667
37.353517 88.773 169.5962
37.719728 88.748 169.3130
38.085939 88.724 169.0226
38.452150 88.703 168.7329
38.818361 88.684 168.4521
39.184572 88.666 168.1866
39.550783 88.647 167.9400
39.916994 88.626 167.7117
40.283205 88.603 167.4967
40.649416 88.578 167.2853
41.015627 88.552 167.0667
41.381838 88.526 166.8328
41.748049 88.501 166.5823
42.114260 88.478 166.3210
42.480471 88.455 166.0595
42.846682 88.434 165.8083
43.212893 88.414 165.5742
43.579103 88.394 165.3581
43.945314 88.373 165.1559
44.311525 88.351 164.9609
44.677736 88.326 164.7658
45.043947 88.300 164.5654
45.410158 88.272 164.3580
45.776369 88.244 164.1464
46.142580 88.216 163.9357
46.508791 88.190 163.7319
46.875002 88.166 163.5385
47.241213 88.143 163.3555
47.607424 88.122 163.1802
47.973635 88.101 163.0091
48.339846 88.080 162.8396
48.706057 88.056 162.6708
49.072268 88.032 162.5023
49.438479 88.006 162.3334
49.804690 87.980 162.1630
50.170901 87.954 161.9906
50.537112 87.929 161.8177
50.903323 87.905 161.6466
51.269534 87.882 161.4799
51.635745 87.859 161.3180
52.001956 87.837 161.1595
52.368167 87.816 161.0017
52.734378 87.794 160.8433
53.100589 87.771 160.6852
53.466800 87.747 160.5303
53.833011 87.723 160.3806
54.199222 87.700 160.2362
54.565432 87.679 160.0947
54.931643 87.660 159.9527
55.297854 87.642 159.8091
55.664065 87.624 159.6658
56.030276 87.605 159.5278
56.396487 87.585 159.3995
56.762698 87.565 159.2816
57.128909 87.545 159.1698
57.495120 87.526 159.0555
57.861331 87.507 158.9297
58.227542 87.487 158.7875
58.593753 87.467 158.6301
58.959964 87.444 158.4647
59.326175 87.421 158.3006
59.692386 87.397 158.1451
60.058597 87.374 158.0004
60.424808 87.352 157.8635
60.791019 87.333 157.7289
61.157230 87.315 157.5931
61.523441 87.297 157.4565
61.889652 87.280 157.3235
62.255863 87.261 157.1994
62.622074 87.243 157.0859
62.988285 87.225 156.9805
63.354496 87.207 156.8767
63.720707 87.187 156.7681
64.086918 87.166 156.6520
64.453129 87.143 156.5300
64.819340 87.118 156.4065
65.185551 87.092 156.2849
65.551762 87.068 156.1662
65.917972 87.046 156.0491
66.284183 87.025 155.9328
66.650394 87.007 155.8187
67.016605 86.990 155.7105
67.382816 86.973 155.6114
67.749027 86.957 155.5208
68.115238 86.941 155.4340
68.481449 86.925 155.3445
68.847660 86.908 155.2479
69.213871 86.888 155.1458
69.580082 86.868 155.0439
69.946293 86.846 154.9501
70.312504 86.824 154.8687
70.678715 86.803 154.7986
71.044926 86.785 154.7344
71.411137 86.767 154.6686
71.777348 86.750 154.5958
72.143559 86.732 154.5137
72.509770 86.712 154.4235
72.875981 86.691 154.3282
73.242192 86.668 154.2312
73.608403 86.644 154.1356
73.974614 86.621 154.0439
74.340825 86.597 153.9582
74.707036 86.574 153.8796
75.073247 86.551 153.8082
75.439458 86.529 153.7420
75.805669 86.507 153.6786
76.171880 86.485 153.6158
76.538091 86.462 153.5524
76.904301 86.436 153.4885
77.270512 86.410 153.4238
77.636723 86.382 153.3570
78.002934 86.354 153.2846
78.369145 86.326 153.2029
78.735356 86.298 153.1100
79.101567 86.270 153.0081
79.467778 86.243 152.9019
79.833989 86.218 152.7979
80.200200 86.195 152.7010
80.566411 86.174 152.6144
80.932622 86.154 152.5402
81.298833 86.133 152.4806
81.665044 86.109 152.4380
82.031255 86.083 152.4133
82.397466 86.052 152.4037
82.763677 86.019 152.4034
83.129888 85.983 152.4050
83.496099 85.946 152.4034
83.862310 85.908 152.3970
84.228521 85.872 152.3877
84.594732 85.839 152.3792
84.960943 85.810 152.3749
85.327154 85.785 152.3783
85.693365 85.763 152.3924
86.059576 85.744 152.4193
86.425787 85.726 152.4576
86.791998 85.708 152.5017
87.158209 85.689 152.5433
87.524420 85.666 152.5759
87.890631 85.639 152.5997
88.256841 85.606 152.6216
88.623052 85.570 152.6505
88.989263 85.531 152.6909
89.355474 85.493 152.7390
89.721685 85.458 152.7861
90.087896 85.424 152.8260
90.454107 85.391 152.8618
90.820318 85.357 152.9059
91.186529 85.323 152.9730
91.552740 85.290 153.0696
91.918951 85.261 153.1906
92.285162 85.234 153.3223
92.651373 85.210 153.4517
93.017584 85.186 153.5740
93.383795 85.160 153.6935
93.750006 85.131 153.8185
94.116217 85.100 153.9539
94.482428 85.069 154.0982
94.848639 85.038 154.2468
95.214850 85.005 154.3973
95.581061 84.972 154.5530
95.947272 84.939 154.7208
96.313483 84.906 154.9058
96.679694 84.876 155.1066
97.045905 84.848 155.3167
97.412116 84.824 155.5290
97.778327 84.801 155.7433
98.144538 84.778 155.9678
98.510749 84.756 156.2169
98.876960 84.734 156.5033
99.243170 84.714 156.8324
99.609381 84.698 157.1999
99.975592 84.687 157.5947
100.341803 84.679 158.0037
100.708014 84.675 158.4156
101.074225 84.675 158.8206
101.440436 84.678 159.2089
101.806647 84.686 159.5697
102.172858 84.700 159.8919
102.539069 84.720 160.1688
102.905280 84.747 160.4023
103.271491 84.780 160.6037
103.637702 84.820 160.7903
104.003913 84.868 160.9779
104.370124 84.925 161.1735
104.736335 84.990 161.3717
105.102546 85.062 161.5572
105.468757 85.137 161.7105
105.834968 85.211 161.8157
106.201179 85.280 161.8656
106.567390 85.341 161.8619
106.933601 85.394 161.8126
107.299812 85.438 161.7273
107.666023 85.475 161.6139
108.032234 85.508 161.4773
108.398445 85.538 161.3203
108.764656 85.565 161.1455
109.130867 85.590 160.9566
109.497078 85.613 160.7587
109.863289 85.634 160.5578
110.229500 85.653 160.3593
110.595710 85.670 160.1672
110.961921 85.686 159.9827
111.328132 85.701 159.8048
111.694343 85.715 159.6302
112.060554 85.730 159.4550
112.426765 85.743 159.2755
112.792976 85.755 159.0902
113.159187 85.765 158.8996
113.525398 85.772 158.7067
113.891609 85.776 158.5157
114.257820 85.777 158.3313
114.624031 85.776 158.1575
114.990242 85.774 157.9965
115.356453 85.771 157.8491
115.722664 85.768 157.7144
116.088875 85.765 157.5905
116.455086 85.763 157.4753
116.821297 85.760 157.3667
117.187508 85.757 157.2628
117.553719 85.754 157.1624
117.919930 85.750 157.0638
118.286141 85.745 156.9653
118.652352 85.739 156.8648
119.018563 85.734 156.7593
119.384774 85.728 156.6458
119.750985 85.721 156.5219
120.117196 85.713 156.3865
120.483407 85.705 156.2404
120.849618 85.694 156.0862
121.215829 85.681 155.9279
121.582040 85.667 155.7705
121.948250 85.651 155.6183
122.314461 85.634 155.4745
122.680672 85.617 155.3409
123.046883 85.602 155.2176
123.413094 85.587 155.1042
123.779305 85.574 154.9998
124.145516 85.562 154.9042
124.511727 85.550 154.8178
124.877938 85.537 154.7418
125.244149 85.522 154.6776
125.610360 85.505 154.6262
125.976571 85.485 154.5876
126.342782 85.464 154.5603
126.708993 85.442 154.5409
127.075204 85.422 154.5240
127.441415 85.403 154.5032
127.807626 85.389 154.4720
128.173837 85.378 154.4248
128.540048 85.371 154.3582
128.906259 85.367 154.2717
129.272470 85.364 154.1675
129.638681 85.360 154.0500
130.004892 85.355 153.9249
130.371103 85.346 153.7979
130.737314 85.335 153.6739
131.103525 85.320 153.5569
131.469736 85.302 153.4494
131.835947 85.282 153.3526
132.202158 85.262 153.2668
132.568369 85.241 153.1916
132.934579 85.221 153.1262
133.300790 85.202 153.0699
133.667001 85.184 153.0216
134.033212 85.167 152.9802
134.399423 85.152 152.9441
134.765634 85.136 152.9118
135.131845 85.121 152.8816
135.498056 85.106 152.8519
135.864267 85.090 152.8218
136.230478 85.073 152.7914
136.596689 85.056 152.7615
136.962900 85.037 152.7338
137.329111 85.018 152.7105
137.695322 84.999 152.6934
138.061533 84.979 152.6838
138.427744 84.960 152.6821
138.793955 84.941 152.6875
139.160166 84.923 152.6985
139.526377 84.906 152.7128
139.892588 84.891 152.7275
140.258799 84.876 152.7402
140.625010 84.863 152.7485
140.991221 84.851 152.7508
141.357432 84.839 152.7459
141.723643 84.828 152.7334
142.089854 84.816 152.7135
142.456065 84.803 152.6874
142.822276 84.790 152.6567
143.188487 84.776 152.6238
143.554698 84.761 152.5916
143.920909 84.744 152.5630
144.287119 84.727 152.5412
144.653330 84.708 152.5286
145.019541 84.689 152.5270
145.385752 84.669 152.5375
145.751963 84.650 152.5598
146.118174 84.631 152.5925
146.484385 84.612 152.6333
146.850596 84.595 152.6788
147.216807 84.579 152.7252
147.583018 84.564 152.7685
147.949229 84.550 152.8052
148.315440 84.537 152.8328
148.681651 84.526 152.8495
149.047862 84.515 152.8553
149.414073 84.504 152.8511
149.780284 84.493 152.8387
150.146495 84.483 152.8209
150.512706 84.472 152.8005
150.878917 84.459 152.7803
151.245128 84.446 152.7626
151.611339 84.431 152.7493
151.977550 84.415 152.7413
152.343761 84.396 152.7391
152.709972 84.376 152.7427
153.076183 84.355 152.7517
153.442394 84.332 152.7656
153.808605 84.308 152.7842
154.174816 84.284 152.8076
154.541027 84.261 152.8361
154.907238 84.238 152.8703
155.273448 84.216 152.9108
155.639659 84.195 152.9579
156.005870 84.176 153.0119
156.372081 84.157 153.0723
156.738292 84.140 153.1381
157.104503 84.124 153.2079
157.470714 84.109 153.2802
157.836925 84.094 153.3529
158.203136 84.081 153.4241
158.569347 84.069 153.4920
158.935558 84.057 153.5549
159.301769 84.047 153.6113
159.667980 84.038 153.6602
160.034191 84.030 153.7010
160.400402 84.023 153.7336
160.766613 84.016 153.7584
161.132824 84.010 153.7763
161.499035 84.003 153.7888
161.865246 83.997 153.7975
162.231457 83.990 153.8044
162.597668 83.983 153.8114
162.963879 83.975 153.8203
163.330090 83.966 153.8327
163.696301 83.957 153.8503
164.062512 83.946 153.8745
164.428723 83.935 153.9066
164.794934 83.923 153.9480
165.161145 83.910 154.0002
165.527356 83.896 154.0643
165.893567 83.881 154.1416
166.259778 83.866 154.2331
166.625988 83.852 154.3392
166.992199 83.837 154.4599
167.358410 83.823 154.5946
167.724621 83.810 154.7418
168.090832 83.797 154.8994
168.457043 83.786 155.0648
168.823254 83.775 155.2351
169.189465 83.766 155.4073
169.555676 83.757 155.5788
169.921887 83.749 155.7473
170.288098 83.743 155.9110
170.654309 83.738 156.0686
171.020520 83.734 156.2191
171.386731 83.732 156.3616
171.752942 83.732 156.4954
172.119153 83.733 156.6198
