* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 10:04:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi ears Quartet DU L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.975 -150.7803
20.507813 94.993 -150.9232
20.874023 95.040 -151.3829
21.240234 95.078 -152.0604
21.606445 95.099 -152.8763
21.972656 95.106 -153.6757
22.338867 95.106 -154.2901
22.705078 95.109 -154.6253
23.071289 95.127 -154.7035
23.437500 95.161 -154.6433
23.803711 95.205 -154.5904
24.169922 95.245 -154.6466
24.536133 95.273 -154.8375
24.902344 95.287 -155.1265
25.268555 95.294 -155.4530
25.634766 95.303 -155.7682
26.000977 95.322 -156.0507
26.367188 95.349 -156.2989
26.733399 95.380 -156.5157
27.099610 95.408 -156.7031
27.465821 95.429 -156.8659
27.832032 95.443 -157.0156
28.198243 95.452 -157.1712
28.564454 95.459 -157.3501
28.930665 95.466 -157.5565
29.296876 95.474 -157.7764
29.663087 95.484 -157.9862
30.029298 95.497 -158.1675
30.395509 95.514 -158.3169
30.761720 95.534 -158.4447
31.127931 95.552 -158.5670
31.494142 95.566 -158.6953
31.860353 95.576 -158.8316
32.226563 95.583 -158.9732
32.592774 95.588 -159.1183
32.958985 95.595 -159.2690
33.325196 95.602 -159.4279
33.691407 95.611 -159.5935
34.057618 95.620 -159.7592
34.423829 95.628 -159.9168
34.790040 95.634 -160.0602
35.156251 95.641 -160.1889
35.522462 95.647 -160.3073
35.888673 95.653 -160.4195
36.254884 95.658 -160.5263
36.621095 95.660 -160.6248
36.987306 95.662 -160.7135
37.353517 95.664 -160.7974
37.719728 95.667 -160.8894
38.085939 95.672 -161.0056
38.452150 95.676 -161.1566
38.818361 95.679 -161.3399
39.184572 95.678 -161.5376
39.550783 95.674 -161.7234
39.916994 95.667 -161.8735
40.283205 95.661 -161.9767
40.649416 95.658 -162.0386
41.015627 95.658 -162.0780
41.381838 95.661 -162.1178
41.748049 95.667 -162.1747
42.114260 95.672 -162.2538
42.480471 95.677 -162.3496
42.846682 95.681 -162.4520
43.212893 95.685 -162.5534
43.579103 95.688 -162.6508
43.945314 95.692 -162.7442
44.311525 95.693 -162.8325
44.677736 95.693 -162.9130
45.043947 95.691 -162.9840
45.410158 95.688 -163.0479
45.776369 95.687 -163.1114
46.142580 95.686 -163.1815
46.508791 95.685 -163.2590
46.875002 95.683 -163.3367
47.241213 95.679 -163.4035
47.607424 95.675 -163.4530
47.973635 95.672 -163.4893
48.339846 95.669 -163.5254
48.706057 95.668 -163.5743
49.072268 95.664 -163.6389
49.438479 95.659 -163.7087
49.804690 95.651 -163.7661
50.170901 95.644 -163.7980
50.537112 95.640 -163.8035
50.903323 95.640 -163.7931
51.269534 95.644 -163.7814
51.635745 95.650 -163.7783
52.001956 95.657 -163.7860
52.368167 95.662 -163.8029
52.734378 95.667 -163.8281
53.100589 95.672 -163.8645
53.466800 95.678 -163.9157
53.833011 95.683 -163.9808
54.199222 95.686 -164.0515
54.565432 95.687 -164.1138
54.931643 95.686 -164.1543
55.297854 95.686 -164.1664
55.664065 95.686 -164.1550
56.030276 95.689 -164.1345
56.396487 95.693 -164.1229
56.762698 95.697 -164.1345
57.128909 95.700 -164.1743
57.495120 95.698 -164.2373
57.861331 95.694 -164.3121
58.227542 95.686 -164.3879
58.593753 95.678 -164.4585
58.959964 95.670 -164.5230
59.326175 95.664 -164.5833
59.692386 95.658 -164.6390
60.058597 95.653 -164.6863
60.424808 95.647 -164.7208
60.791019 95.641 -164.7412
61.157230 95.636 -164.7518
61.523441 95.631 -164.7615
61.889652 95.626 -164.7778
62.255863 95.620 -164.8031
62.622074 95.614 -164.8337
62.988285 95.607 -164.8624
63.354496 95.601 -164.8836
63.720707 95.597 -164.8941
64.086918 95.595 -164.8922
64.453129 95.594 -164.8752
64.819340 95.593 -164.8395
65.185551 95.590 -164.7842
65.551762 95.587 -164.7151
65.917972 95.583 -164.6452
66.284183 95.578 -164.5905
66.650394 95.571 -164.5624
67.016605 95.561 -164.5624
67.382816 95.549 -164.5821
67.749027 95.535 -164.6090
68.115238 95.523 -164.6339
68.481449 95.513 -164.6556
68.847660 95.507 -164.6789
69.213871 95.503 -164.7099
69.580082 95.499 -164.7505
69.946293 95.493 -164.7969
70.312504 95.486 -164.8413
70.678715 95.478 -164.8759
71.044926 95.468 -164.8955
71.411137 95.459 -164.8984
71.777348 95.451 -164.8856
72.143559 95.444 -164.8601
72.509770 95.438 -164.8267
72.875981 95.431 -164.7914
73.242192 95.422 -164.7602
73.608403 95.411 -164.7372
73.974614 95.397 -164.7227
74.340825 95.382 -164.7131
74.707036 95.366 -164.7031
75.073247 95.352 -164.6882
75.439458 95.341 -164.6670
75.805669 95.335 -164.6413
76.171880 95.334 -164.6146
76.538091 95.336 -164.5904
76.904301 95.340 -164.5704
77.270512 95.343 -164.5548
77.636723 95.344 -164.5427
78.002934 95.342 -164.5327
78.369145 95.337 -164.5235
78.735356 95.330 -164.5135
79.101567 95.320 -164.5008
79.467778 95.310 -164.4841
79.833989 95.299 -164.4627
80.200200 95.288 -164.4366
80.566411 95.278 -164.4064
80.932622 95.268 -164.3728
81.298833 95.259 -164.3360
81.665044 95.250 -164.2959
82.031255 95.241 -164.2529
82.397466 95.234 -164.2075
82.763677 95.226 -164.1612
83.129888 95.220 -164.1155
83.496099 95.215 -164.0714
83.862310 95.210 -164.0290
84.228521 95.205 -163.9879
84.594732 95.201 -163.9476
84.960943 95.197 -163.9086
85.327154 95.193 -163.8720
85.693365 95.190 -163.8392
86.059576 95.187 -163.8114
86.425787 95.185 -163.7887
86.791998 95.182 -163.7698
87.158209 95.179 -163.7527
87.524420 95.176 -163.7351
87.890631 95.173 -163.7146
88.256841 95.168 -163.6896
88.623052 95.163 -163.6582
88.989263 95.157 -163.6194
89.355474 95.149 -163.5728
89.721685 95.141 -163.5196
90.087896 95.132 -163.4624
90.454107 95.122 -163.4055
90.820318 95.113 -163.3527
91.186529 95.103 -163.3072
91.552740 95.093 -163.2700
91.918951 95.083 -163.2404
92.285162 95.072 -163.2163
92.651373 95.061 -163.1953
93.017584 95.049 -163.1752
93.383795 95.038 -163.1544
93.750006 95.027 -163.1316
94.116217 95.016 -163.1056
94.482428 95.006 -163.0753
94.848639 94.995 -163.0402
95.214850 94.985 -162.9999
95.581061 94.975 -162.9549
95.947272 94.965 -162.9063
96.313483 94.957 -162.8557
96.679694 94.948 -162.8044
97.045905 94.940 -162.7536
97.412116 94.932 -162.7043
97.778327 94.924 -162.6567
98.144538 94.915 -162.6110
98.510749 94.906 -162.5670
98.876960 94.896 -162.5243
99.243170 94.886 -162.4823
99.609381 94.875 -162.4403
99.975592 94.864 -162.3979
100.341803 94.853 -162.3548
100.708014 94.842 -162.3113
101.074225 94.832 -162.2680
101.440436 94.823 -162.2261
101.806647 94.815 -162.1864
102.172858 94.808 -162.1494
102.539069 94.801 -162.1149
102.905280 94.794 -162.0821
103.271491 94.787 -162.0497
103.637702 94.780 -162.0164
104.003913 94.773 -161.9807
104.370124 94.765 -161.9417
104.736335 94.757 -161.8987
105.102546 94.749 -161.8517
105.468757 94.741 -161.8009
105.834968 94.733 -161.7475
106.201179 94.725 -161.6927
106.567390 94.717 -161.6380
106.933601 94.709 -161.5846
107.299812 94.700 -161.5334
107.666023 94.692 -161.4842
108.032234 94.684 -161.4363
108.398445 94.675 -161.3886
108.764656 94.666 -161.3401
109.130867 94.658 -161.2902
109.497078 94.650 -161.2386
109.863289 94.643 -161.1857
110.229500 94.635 -161.1314
110.595710 94.627 -161.0757
110.961921 94.619 -161.0179
111.328132 94.610 -160.9572
111.694343 94.601 -160.8930
112.060554 94.591 -160.8249
112.426765 94.581 -160.7534
112.792976 94.571 -160.6800
113.159187 94.560 -160.6061
113.525398 94.549 -160.5334
113.891609 94.539 -160.4630
114.257820 94.528 -160.3953
114.624031 94.517 -160.3301
114.990242 94.507 -160.2668
115.356453 94.497 -160.2047
115.722664 94.487 -160.1434
116.088875 94.479 -160.0828
116.455086 94.471 -160.0230
116.821297 94.464 -159.9644
117.187508 94.458 -159.9073
117.553719 94.451 -159.8515
117.919930 94.444 -159.7968
118.286141 94.437 -159.7425
118.652352 94.428 -159.6876
119.018563 94.419 -159.6312
119.384774 94.409 -159.5724
119.750985 94.399 -159.5107
120.117196 94.388 -159.4459
120.483407 94.377 -159.3782
120.849618 94.366 -159.3081
121.215829 94.356 -159.2363
121.582040 94.345 -159.1634
121.948250 94.335 -159.0898
122.314461 94.326 -159.0156
122.680672 94.317 -158.9408
123.046883 94.308 -158.8652
123.413094 94.299 -158.7890
123.779305 94.291 -158.7126
124.145516 94.284 -158.6365
124.511727 94.277 -158.5616
124.877938 94.270 -158.4884
125.244149 94.263 -158.4176
125.610360 94.256 -158.3492
125.976571 94.249 -158.2831
126.342782 94.240 -158.2187
126.708993 94.231 -158.1554
127.075204 94.222 -158.0928
127.441415 94.212 -158.0303
127.807626 94.202 -157.9677
128.173837 94.191 -157.9047
128.540048 94.180 -157.8414
128.906259 94.170 -157.7776
129.272470 94.159 -157.7136
129.638681 94.148 -157.6492
130.004892 94.137 -157.5845
130.371103 94.127 -157.5196
130.737314 94.116 -157.4543
131.103525 94.106 -157.3885
131.469736 94.095 -157.3219
131.835947 94.085 -157.2542
132.202158 94.075 -157.1851
132.568369 94.065 -157.1142
132.934579 94.055 -157.0413
133.300790 94.046 -156.9664
133.667001 94.036 -156.8894
134.033212 94.027 -156.8107
134.399423 94.017 -156.7307
134.765634 94.008 -156.6500
135.131845 93.999 -156.5691
135.498056 93.990 -156.4887
135.864267 93.980 -156.4090
136.230478 93.971 -156.3304
136.596689 93.961 -156.2526
136.962900 93.952 -156.1755
137.329111 93.942 -156.0986
137.695322 93.932 -156.0213
138.061533 93.921 -155.9432
138.427744 93.911 -155.8636
138.793955 93.901 -155.7822
139.160166 93.890 -155.6988
139.526377 93.880 -155.6133
139.892588 93.870 -155.5257
140.258799 93.860 -155.4364
140.625010 93.851 -155.3456
140.991221 93.841 -155.2538
141.357432 93.832 -155.1611
141.723643 93.823 -155.0681
142.089854 93.814 -154.9749
142.456065 93.805 -154.8818
142.822276 93.796 -154.7891
143.188487 93.787 -154.6969
143.554698 93.777 -154.6054
143.920909 93.768 -154.5146
144.287119 93.758 -154.4244
144.653330 93.747 -154.3348
145.019541 93.737 -154.2458
145.385752 93.727 -154.1571
145.751963 93.716 -154.0687
146.118174 93.706 -153.9804
146.484385 93.695 -153.8921
146.850596 93.685 -153.8035
147.216807 93.676 -153.7145
147.583018 93.666 -153.6247
147.949229 93.656 -153.5340
148.315440 93.647 -153.4421
148.681651 93.637 -153.3489
149.047862 93.628 -153.2542
149.414073 93.619 -153.1581
149.780284 93.609 -153.0604
150.146495 93.599 -152.9614
150.512706 93.590 -152.8611
150.878917 93.580 -152.7595
151.245128 93.569 -152.6566
151.611339 93.559 -152.5525
151.977550 93.549 -152.4472
152.343761 93.538 -152.3405
152.709972 93.527 -152.2326
153.076183 93.516 -152.1236
153.442394 93.505 -152.0137
153.808605 93.494 -151.9033
154.174816 93.483 -151.7928
154.541027 93.471 -151.6826
154.907238 93.460 -151.5734
155.273448 93.448 -151.4655
155.639659 93.436 -151.3592
156.005870 93.424 -151.2549
156.372081 93.412 -151.1525
156.738292 93.401 -151.0521
157.104503 93.389 -150.9534
157.470714 93.378 -150.8562
157.836925 93.367 -150.7601
158.203136 93.356 -150.6648
158.569347 93.345 -150.5699
158.935558 93.334 -150.4750
159.301769 93.324 -150.3798
159.667980 93.314 -150.2840
160.034191 93.304 -150.1872
160.400402 93.295 -150.0890
160.766613 93.285 -149.9890
161.132824 93.276 -149.8866
161.499035 93.267 -149.7817
161.865246 93.258 -149.6737
162.231457 93.250 -149.5628
162.597668 93.241 -149.4489
