* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 10:06:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi ears Quartet UD L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 98.071 -157.5068
20.507813 98.077 -157.5601
20.874023 98.097 -157.6909
21.240234 98.130 -157.8140
21.606445 98.179 -157.9752
21.972656 98.237 -158.2360
22.338867 98.289 -158.5863
22.705078 98.322 -158.9474
23.071289 98.333 -159.2155
23.437500 98.331 -159.3233
23.803711 98.333 -159.2808
24.169922 98.350 -159.1668
24.536133 98.381 -159.0781
24.902344 98.420 -159.0703
25.268555 98.456 -159.1323
25.634766 98.484 -159.2086
26.000977 98.506 -159.2483
26.367188 98.526 -159.2367
26.733399 98.547 -159.1945
27.099610 98.568 -159.1544
27.465821 98.585 -159.1336
27.832032 98.596 -159.1263
28.198243 98.602 -159.1176
28.564454 98.607 -159.1004
28.930665 98.612 -159.0801
29.296876 98.620 -159.0654
29.663087 98.630 -159.0587
30.029298 98.642 -159.0550
30.395509 98.657 -159.0480
30.761720 98.674 -159.0367
31.127931 98.693 -159.0247
31.494142 98.711 -159.0128
31.860353 98.727 -158.9925
32.226563 98.740 -158.9495
32.592774 98.751 -158.8755
32.958985 98.764 -158.7772
33.325196 98.778 -158.6733
33.691407 98.793 -158.5842
34.057618 98.807 -158.5195
34.423829 98.817 -158.4734
34.790040 98.822 -158.4318
35.156251 98.826 -158.3851
35.522462 98.830 -158.3360
35.888673 98.835 -158.2972
36.254884 98.842 -158.2797
36.621095 98.847 -158.2823
36.987306 98.850 -158.2900
37.353517 98.850 -158.2834
37.719728 98.850 -158.2514
38.085939 98.853 -158.1985
38.452150 98.859 -158.1417
38.818361 98.866 -158.0982
39.184572 98.871 -158.0744
39.550783 98.874 -158.0629
39.916994 98.871 -158.0482
40.283205 98.867 -158.0179
40.649416 98.861 -157.9698
41.015627 98.858 -157.9125
41.381838 98.857 -157.8596
41.748049 98.858 -157.8219
42.114260 98.860 -157.8029
42.480471 98.863 -157.7994
42.846682 98.866 -157.8054
43.212893 98.869 -157.8162
43.579103 98.872 -157.8301
43.945314 98.876 -157.8474
44.311525 98.880 -157.8684
44.677736 98.883 -157.8934
45.043947 98.886 -157.9219
45.410158 98.886 -157.9541
45.776369 98.886 -157.9901
46.142580 98.885 -158.0304
46.508791 98.883 -158.0754
46.875002 98.880 -158.1259
47.241213 98.878 -158.1829
47.607424 98.877 -158.2471
47.973635 98.876 -158.3170
48.339846 98.874 -158.3886
48.706057 98.871 -158.4559
49.072268 98.868 -158.5136
49.438479 98.864 -158.5597
49.804690 98.860 -158.5973
50.170901 98.857 -158.6337
50.537112 98.856 -158.6781
50.903323 98.854 -158.7369
51.269534 98.852 -158.8121
51.635745 98.850 -158.9008
52.001956 98.847 -158.9983
52.368167 98.843 -159.1000
52.734378 98.840 -159.2035
53.100589 98.836 -159.3080
53.466800 98.832 -159.4137
53.833011 98.828 -159.5203
54.199222 98.824 -159.6275
54.565432 98.819 -159.7341
54.931643 98.814 -159.8389
55.297854 98.809 -159.9408
55.664065 98.805 -160.0396
56.030276 98.801 -160.1367
56.396487 98.797 -160.2350
56.762698 98.794 -160.3382
57.128909 98.791 -160.4489
57.495120 98.787 -160.5672
57.861331 98.783 -160.6905
58.227542 98.778 -160.8147
58.593753 98.775 -160.9369
58.959964 98.773 -161.0572
59.326175 98.773 -161.1786
59.692386 98.776 -161.3057
60.058597 98.780 -161.4419
60.424808 98.784 -161.5884
60.791019 98.787 -161.7448
61.157230 98.789 -161.9106
61.523441 98.791 -162.0866
61.889652 98.791 -162.2749
62.255863 98.791 -162.4769
62.622074 98.789 -162.6919
62.988285 98.787 -162.9167
63.354496 98.782 -163.1469
63.720707 98.777 -163.3792
64.086918 98.769 -163.6124
64.453129 98.759 -163.8466
64.819340 98.747 -164.0822
65.185551 98.733 -164.3183
65.551762 98.719 -164.5535
65.917972 98.704 -164.7876
66.284183 98.691 -165.0237
66.650394 98.682 -165.2674
67.016605 98.675 -165.5254
67.382816 98.671 -165.8010
67.749027 98.669 -166.0923
68.115238 98.666 -166.3921
68.481449 98.662 -166.6907
68.847660 98.657 -166.9803
69.213871 98.651 -167.2580
69.580082 98.644 -167.5257
69.946293 98.635 -167.7885
70.312504 98.626 -168.0517
70.678715 98.616 -168.3182
71.044926 98.605 -168.5888
71.411137 98.593 -168.8627
71.777348 98.582 -169.1397
72.143559 98.573 -169.4199
72.509770 98.564 -169.7034
72.875981 98.557 -169.9898
73.242192 98.551 -170.2772
73.608403 98.545 -170.5635
73.974614 98.539 -170.8470
74.340825 98.533 -171.1276
74.707036 98.526 -171.4067
75.073247 98.520 -171.6869
75.439458 98.513 -171.9701
75.805669 98.505 -172.2569
76.171880 98.497 -172.5468
76.538091 98.489 -172.8382
76.904301 98.481 -173.1299
77.270512 98.474 -173.4207
77.636723 98.466 -173.7101
78.002934 98.459 -173.9978
78.369145 98.452 -174.2833
78.735356 98.444 -174.5662
79.101567 98.436 -174.8462
79.467778 98.428 -175.1236
79.833989 98.420 -175.3991
80.200200 98.412 -175.6738
80.566411 98.403 -175.9487
80.932622 98.395 -176.2250
81.298833 98.386 -176.5035
81.665044 98.378 -176.7850
82.031255 98.370 -177.0701
82.397466 98.361 -177.3590
82.763677 98.353 -177.6516
83.129888 98.346 -177.9471
83.496099 98.338 -178.2447
83.862310 98.331 -178.5435
84.228521 98.325 -178.8430
84.594732 98.319 -179.1428
84.960943 98.313 -179.4429
85.327154 98.307 -179.7431
85.693365 98.301 179.9565
86.059576 98.294 179.6560
86.425787 98.288 179.3549
86.791998 98.282 179.0527
87.158209 98.275 178.7491
87.524420 98.269 178.4443
87.890631 98.261 178.1395
88.256841 98.253 177.8367
88.623052 98.245 177.5385
88.989263 98.235 177.2464
89.355474 98.224 176.9609
89.721685 98.213 176.6805
90.087896 98.202 176.4023
90.454107 98.192 176.1227
90.820318 98.181 175.8385
91.186529 98.171 175.5480
91.552740 98.162 175.2510
91.918951 98.152 174.9488
92.285162 98.142 174.6429
92.651373 98.133 174.3351
93.017584 98.124 174.0262
93.383795 98.115 173.7164
93.750006 98.106 173.4056
94.116217 98.097 173.0934
94.482428 98.089 172.7795
94.848639 98.081 172.4640
95.214850 98.072 172.1472
95.581061 98.064 171.8295
95.947272 98.057 171.5110
96.313483 98.049 171.1918
96.679694 98.041 170.8718
97.045905 98.033 170.5508
97.412116 98.026 170.2286
97.778327 98.018 169.9050
98.144538 98.010 169.5801
98.510749 98.002 169.2540
98.876960 97.994 168.9268
99.243170 97.986 168.5986
99.609381 97.978 168.2697
99.975592 97.970 167.9404
100.341803 97.962 167.6110
100.708014 97.954 167.2817
101.074225 97.945 166.9526
101.440436 97.935 166.6237
101.806647 97.925 166.2943
102.172858 97.916 165.9641
102.539069 97.906 165.6325
102.905280 97.897 165.2995
103.271491 97.888 164.9653
103.637702 97.879 164.6304
104.003913 97.871 164.2957
104.370124 97.863 163.9623
104.736335 97.855 163.6309
105.102546 97.846 163.3021
105.468757 97.838 162.9756
105.834968 97.829 162.6511
106.201179 97.820 162.3274
106.567390 97.811 162.0033
106.933601 97.802 161.6776
107.299812 97.792 161.3495
107.666023 97.783 161.0187
108.032234 97.773 160.6851
108.398445 97.763 160.3492
108.764656 97.754 160.0113
109.130867 97.745 159.6720
109.497078 97.736 159.3319
109.863289 97.727 158.9917
110.229500 97.718 158.6520
110.595710 97.709 158.3137
110.961921 97.699 157.9774
111.328132 97.690 157.6436
111.694343 97.681 157.3121
112.060554 97.671 156.9822
112.426765 97.662 156.6530
112.792976 97.653 156.3231
113.159187 97.644 155.9915
113.525398 97.635 155.6575
113.891609 97.626 155.3210
114.257820 97.617 154.9821
114.624031 97.608 154.6414
114.990242 97.599 154.2996
115.356453 97.590 153.9575
115.722664 97.582 153.6157
116.088875 97.574 153.2749
116.455086 97.565 152.9352
116.821297 97.557 152.5964
117.187508 97.548 152.2582
117.553719 97.538 151.9198
117.919930 97.528 151.5804
118.286141 97.517 151.2391
118.652352 97.506 150.8955
119.018563 97.495 150.5492
119.384774 97.484 150.2003
119.750985 97.473 149.8493
120.117196 97.462 149.4968
120.483407 97.452 149.1436
120.849618 97.443 148.7904
121.215829 97.433 148.4378
121.582040 97.424 148.0862
121.948250 97.415 147.7356
122.314461 97.406 147.3857
122.680672 97.396 147.0365
123.046883 97.386 146.6875
123.413094 97.376 146.3388
123.779305 97.365 145.9905
124.145516 97.354 145.6425
124.511727 97.343 145.2953
124.877938 97.332 144.9487
125.244149 97.321 144.6026
125.610360 97.310 144.2568
125.976571 97.299 143.9108
126.342782 97.289 143.5639
126.708993 97.278 143.2158
127.075204 97.268 142.8661
127.441415 97.258 142.5145
127.807626 97.248 142.1610
128.173837 97.239 141.8059
128.540048 97.229 141.4495
128.906259 97.219 141.0924
129.272470 97.210 140.7350
129.638681 97.200 140.3777
130.004892 97.190 140.0210
130.371103 97.181 139.6650
130.737314 97.171 139.3096
131.103525 97.162 138.9549
131.469736 97.153 138.6005
131.835947 97.144 138.2464
132.202158 97.134 137.8922
132.568369 97.125 137.5376
132.934579 97.117 137.1826
133.300790 97.108 136.8269
133.667001 97.099 136.4705
134.033212 97.090 136.1135
134.399423 97.082 135.7560
134.765634 97.073 135.3979
135.131845 97.065 135.0397
135.498056 97.056 134.6813
135.864267 97.048 134.3229
136.230478 97.039 133.9645
136.596689 97.030 133.6061
136.962900 97.022 133.2476
137.329111 97.013 132.8891
137.695322 97.004 132.5305
138.061533 96.995 132.1718
138.427744 96.986 131.8130
138.793955 96.976 131.4542
139.160166 96.967 131.0955
139.526377 96.958 130.7368
139.892588 96.948 130.3781
140.258799 96.938 130.0190
140.625010 96.928 129.6596
140.991221 96.918 129.2995
141.357432 96.908 128.9384
141.723643 96.897 128.5764
142.089854 96.887 128.2132
142.456065 96.876 127.8490
142.822276 96.866 127.4839
143.188487 96.855 127.1179
143.554698 96.846 126.7513
143.920909 96.836 126.3841
144.287119 96.827 126.0164
144.653330 96.819 125.6480
145.019541 96.811 125.2790
145.385752 96.803 124.9090
145.751963 96.796 124.5380
146.118174 96.789 124.1658
146.484385 96.782 123.7922
146.850596 96.775 123.4171
147.216807 96.768 123.0404
147.583018 96.761 122.6623
147.949229 96.753 122.2826
148.315440 96.745 121.9015
148.681651 96.736 121.5191
149.047862 96.727 121.1357
149.414073 96.718 120.7513
149.780284 96.708 120.3663
150.146495 96.698 119.9808
150.512706 96.688 119.5953
150.878917 96.677 119.2101
151.245128 96.666 118.8253
151.611339 96.655 118.4412
151.977550 96.644 118.0579
152.343761 96.633 117.6754
152.709972 96.621 117.2934
153.076183 96.610 116.9119
153.442394 96.598 116.5307
153.808605 96.587 116.1496
154.174816 96.575 115.7686
154.541027 96.564 115.3879
154.907238 96.552 115.0076
155.273448 96.540 114.6281
155.639659 96.528 114.2498
156.005870 96.516 113.8728
156.372081 96.504 113.4976
156.738292 96.491 113.1240
157.104503 96.479 112.7521
157.470714 96.467 112.3816
157.836925 96.455 112.0122
158.203136 96.443 111.6436
158.569347 96.431 111.2751
158.935558 96.419 110.9063
159.301769 96.407 110.5370
159.667980 96.395 110.1669
160.034191 96.384 109.7957
160.400402 96.372 109.4235
160.766613 96.360 109.0505
161.132824 96.349 108.6769
161.499035 96.337 108.3031
161.865246 96.326 107.9294
162.231457 96.315 107.5561
162.597668 96.304 107.1836
162.963879 96.293 106.8120
163.330090 96.282 106.4415
163.696301 96.272 106.0721
164.062512 96.261 105.7037
164.428723 96.251 105.3365
164.794934 96.241 104.9703
165.161145 96.231 104.6053
165.527356 96.221 104.2416
165.893567 96.211 103.8793
166.259778 96.202 103.5185
166.625988 96.192 103.1593
166.992199 96.183 102.8019
167.358410 96.174 102.4462
167.724621 96.166 102.0922
168.090832 96.157 101.7399
