* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 10:05:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi ears Quartet UU L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 97.938 -151.6271
20.507813 97.942 -151.6889
20.874023 97.950 -151.8775
21.240234 97.951 -152.1331
21.606445 97.942 -152.4186
21.972656 97.928 -152.6610
22.338867 97.918 -152.7825
22.705078 97.928 -152.7644
23.071289 97.965 -152.6676
23.437500 98.027 -152.5935
23.803711 98.101 -152.6161
24.169922 98.168 -152.7391
24.536133 98.219 -152.9056
24.902344 98.254 -153.0443
25.268555 98.280 -153.1134
25.634766 98.305 -153.1179
26.000977 98.334 -153.0943
26.367188 98.367 -153.0793
26.733399 98.398 -153.0871
27.099610 98.425 -153.1108
27.465821 98.444 -153.1342
27.832032 98.458 -153.1442
28.198243 98.466 -153.1358
28.564454 98.471 -153.1113
28.930665 98.474 -153.0754
29.296876 98.478 -153.0350
29.663087 98.484 -152.9997
30.029298 98.493 -152.9805
30.395509 98.505 -152.9838
30.761720 98.517 -153.0050
31.127931 98.527 -153.0281
31.494142 98.535 -153.0331
31.860353 98.543 -153.0054
32.226563 98.552 -152.9429
32.592774 98.563 -152.8570
32.958985 98.576 -152.7646
33.325196 98.590 -152.6780
33.691407 98.602 -152.5988
34.057618 98.611 -152.5202
34.423829 98.617 -152.4324
34.790040 98.620 -152.3285
35.156251 98.623 -152.2095
35.522462 98.626 -152.0834
35.888673 98.630 -151.9603
36.254884 98.632 -151.8464
36.621095 98.634 -151.7401
36.987306 98.634 -151.6331
37.353517 98.633 -151.5152
37.719728 98.633 -151.3800
38.085939 98.635 -151.2283
38.452150 98.637 -151.0659
38.818361 98.640 -150.8979
39.184572 98.642 -150.7245
39.550783 98.642 -150.5403
39.916994 98.639 -150.3387
40.283205 98.636 -150.1165
40.649416 98.634 -149.8771
41.015627 98.633 -149.6293
41.381838 98.636 -149.3839
41.748049 98.641 -149.1493
42.114260 98.647 -148.9291
42.480471 98.655 -148.7219
42.846682 98.662 -148.5237
43.212893 98.669 -148.3302
43.579103 98.674 -148.1384
43.945314 98.678 -147.9473
44.311525 98.680 -147.7571
44.677736 98.682 -147.5683
45.043947 98.682 -147.3813
45.410158 98.682 -147.1960
45.776369 98.682 -147.0113
46.142580 98.683 -146.8261
46.508791 98.683 -146.6389
46.875002 98.683 -146.4483
47.241213 98.683 -146.2531
47.607424 98.681 -146.0527
47.973635 98.679 -145.8477
48.339846 98.676 -145.6398
48.706057 98.672 -145.4327
49.072268 98.668 -145.2300
49.438479 98.664 -145.0342
49.804690 98.660 -144.8457
50.170901 98.655 -144.6626
50.537112 98.651 -144.4819
50.903323 98.646 -144.3009
51.269534 98.642 -144.1176
51.635745 98.638 -143.9318
52.001956 98.634 -143.7446
52.368167 98.630 -143.5581
52.734378 98.627 -143.3740
53.100589 98.624 -143.1930
53.466800 98.620 -143.0138
53.833011 98.616 -142.8344
54.199222 98.611 -142.6535
54.565432 98.608 -142.4717
54.931643 98.605 -142.2912
55.297854 98.602 -142.1148
55.664065 98.601 -141.9433
56.030276 98.599 -141.7750
56.396487 98.597 -141.6063
56.762698 98.596 -141.4341
57.128909 98.596 -141.2586
57.495120 98.597 -141.0839
57.861331 98.600 -140.9170
58.227542 98.604 -140.7645
58.593753 98.609 -140.6300
58.959964 98.613 -140.5128
59.326175 98.616 -140.4093
59.692386 98.619 -140.3159
60.058597 98.621 -140.2303
60.424808 98.623 -140.1521
60.791019 98.623 -140.0814
61.157230 98.622 -140.0181
61.523441 98.620 -139.9608
61.889652 98.616 -139.9076
62.255863 98.612 -139.8572
62.622074 98.607 -139.8090
62.988285 98.603 -139.7631
63.354496 98.599 -139.7190
63.720707 98.595 -139.6750
64.086918 98.591 -139.6281
64.453129 98.587 -139.5751
64.819340 98.581 -139.5137
65.185551 98.575 -139.4442
65.551762 98.569 -139.3699
65.917972 98.563 -139.2962
66.284183 98.557 -139.2286
66.650394 98.551 -139.1709
67.016605 98.546 -139.1239
67.382816 98.542 -139.0855
67.749027 98.538 -139.0523
68.115238 98.535 -139.0219
68.481449 98.532 -138.9935
68.847660 98.529 -138.9688
69.213871 98.524 -138.9496
69.580082 98.518 -138.9370
69.946293 98.509 -138.9301
70.312504 98.498 -138.9269
70.678715 98.485 -138.9249
71.044926 98.473 -138.9230
71.411137 98.460 -138.9210
71.777348 98.449 -138.9194
72.143559 98.440 -138.9187
72.509770 98.431 -138.9187
72.875981 98.423 -138.9195
73.242192 98.416 -138.9217
73.608403 98.409 -138.9270
73.974614 98.401 -138.9375
74.340825 98.393 -138.9548
74.707036 98.385 -138.9792
75.073247 98.376 -139.0090
75.439458 98.367 -139.0420
75.805669 98.357 -139.0756
76.171880 98.347 -139.1085
76.538091 98.338 -139.1404
76.904301 98.329 -139.1721
77.270512 98.319 -139.2048
77.636723 98.310 -139.2395
78.002934 98.300 -139.2766
78.369145 98.289 -139.3162
78.735356 98.278 -139.3578
79.101567 98.267 -139.4006
79.467778 98.255 -139.4439
79.833989 98.244 -139.4875
80.200200 98.233 -139.5313
80.566411 98.223 -139.5757
80.932622 98.212 -139.6217
81.298833 98.203 -139.6698
81.665044 98.193 -139.7203
82.031255 98.184 -139.7729
82.397466 98.174 -139.8266
82.763677 98.165 -139.8803
83.129888 98.156 -139.9330
83.496099 98.146 -139.9842
83.862310 98.137 -140.0342
84.228521 98.128 -140.0835
84.594732 98.118 -140.1331
84.960943 98.109 -140.1838
85.327154 98.099 -140.2364
85.693365 98.089 -140.2914
86.059576 98.079 -140.3490
86.425787 98.069 -140.4092
86.791998 98.061 -140.4720
87.158209 98.053 -140.5371
87.524420 98.047 -140.6040
87.890631 98.041 -140.6715
88.256841 98.036 -140.7379
88.623052 98.030 -140.8014
88.989263 98.024 -140.8599
89.355474 98.017 -140.9122
89.721685 98.009 -140.9579
90.087896 98.001 -140.9975
90.454107 97.991 -141.0323
90.820318 97.981 -141.0637
91.186529 97.971 -141.0936
91.552740 97.961 -141.1237
91.918951 97.952 -141.1561
92.285162 97.943 -141.1927
92.651373 97.935 -141.2356
93.017584 97.927 -141.2860
93.383795 97.920 -141.3441
93.750006 97.913 -141.4094
94.116217 97.906 -141.4801
94.482428 97.899 -141.5544
94.848639 97.892 -141.6304
95.214850 97.885 -141.7066
95.581061 97.878 -141.7821
95.947272 97.871 -141.8561
96.313483 97.864 -141.9283
96.679694 97.857 -141.9985
97.045905 97.849 -142.0670
97.412116 97.842 -142.1340
97.778327 97.834 -142.2000
98.144538 97.826 -142.2656
98.510749 97.818 -142.3320
98.876960 97.810 -142.4000
99.243170 97.801 -142.4708
99.609381 97.793 -142.5452
99.975592 97.785 -142.6233
100.341803 97.778 -142.7048
100.708014 97.770 -142.7887
101.074225 97.762 -142.8738
101.440436 97.754 -142.9591
101.806647 97.746 -143.0440
102.172858 97.738 -143.1287
102.539069 97.730 -143.2139
102.905280 97.721 -143.3007
103.271491 97.712 -143.3898
103.637702 97.703 -143.4815
104.003913 97.694 -143.5756
104.370124 97.684 -143.6712
104.736335 97.674 -143.7673
105.102546 97.664 -143.8630
105.468757 97.655 -143.9574
105.834968 97.646 -144.0498
106.201179 97.637 -144.1397
106.567390 97.628 -144.2269
106.933601 97.619 -144.3114
107.299812 97.611 -144.3935
107.666023 97.602 -144.4739
108.032234 97.594 -144.5535
108.398445 97.585 -144.6335
108.764656 97.576 -144.7148
109.130867 97.566 -144.7984
109.497078 97.556 -144.8847
109.863289 97.546 -144.9738
110.229500 97.535 -145.0656
110.595710 97.524 -145.1601
110.961921 97.513 -145.2568
111.328132 97.501 -145.3557
111.694343 97.490 -145.4565
112.060554 97.479 -145.5590
112.426765 97.469 -145.6626
112.792976 97.458 -145.7667
113.159187 97.448 -145.8701
113.525398 97.438 -145.9719
113.891609 97.429 -146.0709
114.257820 97.420 -146.1661
114.624031 97.411 -146.2571
114.990242 97.403 -146.3438
115.356453 97.395 -146.4262
115.722664 97.387 -146.5049
116.088875 97.380 -146.5805
116.455086 97.372 -146.6537
116.821297 97.364 -146.7253
117.187508 97.356 -146.7963
117.553719 97.347 -146.8678
117.919930 97.338 -146.9407
118.286141 97.328 -147.0159
118.652352 97.318 -147.0940
119.018563 97.308 -147.1755
119.384774 97.297 -147.2606
119.750985 97.287 -147.3494
120.117196 97.277 -147.4421
120.483407 97.268 -147.5384
120.849618 97.259 -147.6379
121.215829 97.251 -147.7401
121.582040 97.243 -147.8439
121.948250 97.236 -147.9481
122.314461 97.228 -148.0515
122.680672 97.221 -148.1526
123.046883 97.213 -148.2502
123.413094 97.205 -148.3432
123.779305 97.197 -148.4315
124.145516 97.188 -148.5155
124.511727 97.178 -148.5962
124.877938 97.169 -148.6750
125.244149 97.160 -148.7536
125.610360 97.151 -148.8333
125.976571 97.142 -148.9149
126.342782 97.133 -148.9987
126.708993 97.125 -149.0844
127.075204 97.116 -149.1716
127.441415 97.108 -149.2599
127.807626 97.099 -149.3491
128.173837 97.090 -149.4392
128.540048 97.081 -149.5304
128.906259 97.072 -149.6231
129.272470 97.064 -149.7175
129.638681 97.055 -149.8138
130.004892 97.046 -149.9120
130.371103 97.037 -150.0119
130.737314 97.028 -150.1129
131.103525 97.019 -150.2146
131.469736 97.011 -150.3165
131.835947 97.002 -150.4182
132.202158 96.993 -150.5193
132.568369 96.985 -150.6200
132.934579 96.976 -150.7203
133.300790 96.968 -150.8206
133.667001 96.959 -150.9215
134.033212 96.951 -151.0233
134.399423 96.942 -151.1267
134.765634 96.934 -151.2319
135.131845 96.925 -151.3391
135.498056 96.917 -151.4483
135.864267 96.909 -151.5596
136.230478 96.900 -151.6727
136.596689 96.892 -151.7875
136.962900 96.883 -151.9037
137.329111 96.875 -152.0211
137.695322 96.866 -152.1391
138.061533 96.858 -152.2571
138.427744 96.849 -152.3745
138.793955 96.840 -152.4908
139.160166 96.830 -152.6054
139.526377 96.821 -152.7181
139.892588 96.812 -152.8290
140.258799 96.803 -152.9383
140.625010 96.793 -153.0465
140.991221 96.784 -153.1543
141.357432 96.774 -153.2623
141.723643 96.765 -153.3711
142.089854 96.755 -153.4813
142.456065 96.746 -153.5932
142.822276 96.736 -153.7071
143.188487 96.726 -153.8228
143.554698 96.717 -153.9403
143.920909 96.707 -154.0591
144.287119 96.697 -154.1791
144.653330 96.687 -154.2996
145.019541 96.678 -154.4204
145.385752 96.668 -154.5411
145.751963 96.659 -154.6615
146.118174 96.649 -154.7814
146.484385 96.640 -154.9008
146.850596 96.630 -155.0198
147.216807 96.620 -155.1385
147.583018 96.611 -155.2569
147.949229 96.601 -155.3751
148.315440 96.591 -155.4929
148.681651 96.581 -155.6102
149.047862 96.571 -155.7270
149.414073 96.561 -155.8431
149.780284 96.552 -155.9586
150.146495 96.542 -156.0736
150.512706 96.532 -156.1886
150.878917 96.522 -156.3039
151.245128 96.513 -156.4198
151.611339 96.503 -156.5369
151.977550 96.493 -156.6555
152.343761 96.483 -156.7756
152.709972 96.473 -156.8973
153.076183 96.462 -157.0204
153.442394 96.452 -157.1444
153.808605 96.442 -157.2691
154.174816 96.432 -157.3938
154.541027 96.421 -157.5183
154.907238 96.411 -157.6422
155.273448 96.400 -157.7653
155.639659 96.390 -157.8877
156.005870 96.380 -158.0095
156.372081 96.369 -158.1308
156.738292 96.359 -158.2521
157.104503 96.349 -158.3735
157.470714 96.339 -158.4952
157.836925 96.329 -158.6172
158.203136 96.319 -158.7397
158.569347 96.309 -158.8625
158.935558 96.299 -158.9856
159.301769 96.289 -159.1088
159.667980 96.279 -159.2323
160.034191 96.270 -159.3560
160.400402 96.260 -159.4803
160.766613 96.250 -159.6055
161.132824 96.240 -159.7318
161.499035 96.231 -159.8598
161.865246 96.222 -159.9896
162.231457 96.212 -160.1214
162.597668 96.203 -160.2552
