* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 2, 2024 4:11:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi ears Quintet MT602 L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 103.179 19.1576
20.507813 103.217 18.9167
20.874023 103.316 18.2087
21.240234 103.394 17.2694
21.606445 103.405 16.1008
21.972656 103.324 14.8186
22.338867 103.152 13.6972
22.705078 102.939 12.9640
23.071289 102.765 12.6201
23.437500 102.704 12.4006
23.803711 102.775 11.9257
24.169922 102.934 10.9564
24.536133 103.110 9.5481
24.902344 103.248 7.9929
25.268555 103.325 6.6234
25.634766 103.353 5.6266
26.000977 103.355 4.9733
26.367188 103.348 4.4845
26.733399 103.335 3.9709
27.099610 103.314 3.3447
27.465821 103.283 2.6335
27.832032 103.252 1.9104
28.198243 103.234 1.2133
28.564454 103.236 0.5187
28.930665 103.251 -0.2209
29.296876 103.263 -1.0198
29.663087 103.257 -1.8342
30.029298 103.231 -2.5872
30.395509 103.192 -3.2198
30.761720 103.156 -3.7292
31.127931 103.134 -4.1694
31.494142 103.131 -4.6181
31.860353 103.141 -5.1337
32.226563 103.153 -5.7294
32.592774 103.156 -6.3727
32.958985 103.145 -7.0070
33.325196 103.123 -7.5808
33.691407 103.096 -8.0720
34.057618 103.071 -8.4984
34.423829 103.056 -8.9110
34.790040 103.051 -9.3724
35.156251 103.050 -9.9296
35.522462 103.046 -10.5948
35.888673 103.030 -11.3395
36.254884 103.001 -12.1052
36.621095 102.959 -12.8237
36.987306 102.911 -13.4400
37.353517 102.867 -13.9303
37.719728 102.836 -14.3096
38.085939 102.821 -14.6248
38.452150 102.821 -14.9335
38.818361 102.827 -15.2783
39.184572 102.832 -15.6691
39.550783 102.827 -16.0830
39.916994 102.812 -16.4834
40.283205 102.790 -16.8451
40.649416 102.768 -17.1709
41.015627 102.748 -17.4884
41.381838 102.731 -17.8314
41.748049 102.713 -18.2202
42.114260 102.692 -18.6548
42.480471 102.666 -19.1230
42.846682 102.637 -19.6142
43.212893 102.607 -20.1264
43.579103 102.577 -20.6613
43.945314 102.547 -21.2126
44.311525 102.516 -21.7604
44.677736 102.485 -22.2770
45.043947 102.454 -22.7404
45.410158 102.426 -23.1465
45.776369 102.403 -23.5086
46.142580 102.382 -23.8476
46.508791 102.361 -24.1785
46.875002 102.335 -24.5041
47.241213 102.304 -24.8178
47.607424 102.267 -25.1121
47.973635 102.228 -25.3855
48.339846 102.189 -25.6441
48.706057 102.154 -25.8974
49.072268 102.124 -26.1548
49.438479 102.102 -26.4240
49.804690 102.087 -26.7114
50.170901 102.080 -27.0219
50.537112 102.078 -27.3568
50.903323 102.075 -27.7111
51.269534 102.068 -28.0730
51.635745 102.054 -28.4284
52.001956 102.034 -28.7675
52.368167 102.008 -29.0915
52.734378 101.980 -29.4130
53.100589 101.954 -29.7500
53.466800 101.930 -30.1163
53.833011 101.908 -30.5133
54.199222 101.888 -30.9271
54.565432 101.868 -31.3349
54.931643 101.848 -31.7150
55.297854 101.829 -32.0564
55.664065 101.811 -32.3629
56.030276 101.793 -32.6493
56.396487 101.773 -32.9322
56.762698 101.752 -33.2217
57.128909 101.727 -33.5171
57.495120 101.700 -33.8096
57.861331 101.672 -34.0891
58.227542 101.645 -34.3508
58.593753 101.620 -34.5974
58.959964 101.597 -34.8375
59.326175 101.575 -35.0802
59.692386 101.551 -35.3315
60.058597 101.525 -35.5929
60.424808 101.498 -35.8636
60.791019 101.471 -36.1428
61.157230 101.445 -36.4311
61.523441 101.421 -36.7293
61.889652 101.398 -37.0360
62.255863 101.377 -37.3461
62.622074 101.355 -37.6515
62.988285 101.332 -37.9435
63.354496 101.308 -38.2165
63.720707 101.285 -38.4706
64.086918 101.262 -38.7111
64.453129 101.241 -38.9459
64.819340 101.221 -39.1825
65.185551 101.201 -39.4258
65.551762 101.182 -39.6769
65.917972 101.161 -39.9344
66.284183 101.138 -40.1952
66.650394 101.113 -40.4545
67.016605 101.087 -40.7068
67.382816 101.060 -40.9469
67.749027 101.033 -41.1721
68.115238 101.006 -41.3845
68.481449 100.979 -41.5909
68.847660 100.953 -41.8000
69.213871 100.925 -42.0184
69.580082 100.894 -42.2474
69.946293 100.860 -42.4833
70.312504 100.826 -42.7210
70.678715 100.793 -42.9575
71.044926 100.764 -43.1937
71.411137 100.741 -43.4318
71.777348 100.724 -43.6715
72.143559 100.710 -43.9078
72.509770 100.697 -44.1322
72.875981 100.683 -44.3380
73.242192 100.667 -44.5247
73.608403 100.649 -44.6987
73.974614 100.628 -44.8705
74.340825 100.604 -45.0493
74.707036 100.579 -45.2381
75.073247 100.554 -45.4339
75.439458 100.530 -45.6304
75.805669 100.509 -45.8221
76.171880 100.493 -46.0075
76.538091 100.479 -46.1890
76.904301 100.469 -46.3714
77.270512 100.459 -46.5592
77.636723 100.447 -46.7555
78.002934 100.433 -46.9607
78.369145 100.416 -47.1735
78.735356 100.396 -47.3910
79.101567 100.375 -47.6102
79.467778 100.353 -47.8287
79.833989 100.332 -48.0458
80.200200 100.313 -48.2624
80.566411 100.295 -48.4791
80.932622 100.277 -48.6945
81.298833 100.258 -48.9044
81.665044 100.238 -49.1023
82.031255 100.218 -49.2823
82.397466 100.197 -49.4428
82.763677 100.178 -49.5878
83.129888 100.160 -49.7267
83.496099 100.143 -49.8700
83.862310 100.126 -50.0260
84.228521 100.107 -50.1977
84.594732 100.087 -50.3834
84.960943 100.064 -50.5789
85.327154 100.040 -50.7801
85.693365 100.014 -50.9845
86.059576 99.988 -51.1911
86.425787 99.962 -51.3984
86.791998 99.936 -51.6035
87.158209 99.910 -51.8028
87.524420 99.886 -51.9935
87.890631 99.863 -52.1754
88.256841 99.843 -52.3511
88.623052 99.825 -52.5250
88.989263 99.808 -52.7000
89.355474 99.792 -52.8760
89.721685 99.775 -53.0492
90.087896 99.756 -53.2140
90.454107 99.736 -53.3658
90.820318 99.714 -53.5039
91.186529 99.692 -53.6316
91.552740 99.671 -53.7554
91.918951 99.651 -53.8821
92.285162 99.631 -54.0172
92.651373 99.613 -54.1629
93.017584 99.594 -54.3182
93.383795 99.576 -54.4803
93.750006 99.557 -54.6454
94.116217 99.538 -54.8100
94.482428 99.519 -54.9717
94.848639 99.498 -55.1293
95.214850 99.478 -55.2828
95.581061 99.457 -55.4334
95.947272 99.436 -55.5824
96.313483 99.414 -55.7311
96.679694 99.393 -55.8797
97.045905 99.372 -56.0278
97.412116 99.351 -56.1746
97.778327 99.331 -56.3191
98.144538 99.311 -56.4614
98.510749 99.291 -56.6021
98.876960 99.273 -56.7428
99.243170 99.255 -56.8848
99.609381 99.238 -57.0291
99.975592 99.222 -57.1760
100.341803 99.205 -57.3246
100.708014 99.188 -57.4737
101.074225 99.170 -57.6218
101.440436 99.153 -57.7680
101.806647 99.135 -57.9116
102.172858 99.117 -58.0529
102.539069 99.099 -58.1926
102.905280 99.082 -58.3319
103.271491 99.064 -58.4720
103.637702 99.047 -58.6139
104.003913 99.030 -58.7581
104.370124 99.013 -58.9042
104.736335 98.995 -59.0512
105.102546 98.977 -59.1976
105.468757 98.959 -59.3419
105.834968 98.940 -59.4826
106.201179 98.921 -59.6192
106.567390 98.902 -59.7517
106.933601 98.882 -59.8813
107.299812 98.863 -60.0095
107.666023 98.845 -60.1381
108.032234 98.826 -60.2686
108.398445 98.808 -60.4018
108.764656 98.790 -60.5375
109.130867 98.772 -60.6750
109.497078 98.754 -60.8133
109.863289 98.737 -60.9511
110.229500 98.719 -61.0876
110.595710 98.702 -61.2222
110.961921 98.685 -61.3544
111.328132 98.668 -61.4834
111.694343 98.652 -61.6084
112.060554 98.635 -61.7288
112.426765 98.619 -61.8442
112.792976 98.603 -61.9557
113.159187 98.587 -62.0659
113.525398 98.572 -62.1791
113.891609 98.557 -62.3011
114.257820 98.542 -62.4380
114.624031 98.529 -62.5956
114.990242 98.516 -62.7782
115.356453 98.505 -62.9877
115.722664 98.495 -63.2221
116.088875 98.486 -63.4757
116.455086 98.478 -63.7387
116.821297 98.469 -63.9979
117.187508 98.460 -64.2391
117.553719 98.449 -64.4488
117.919930 98.436 -64.6172
118.286141 98.423 -64.7398
118.652352 98.408 -64.8171
119.018563 98.392 -64.8541
119.384774 98.376 -64.8580
119.750985 98.360 -64.8367
120.117196 98.345 -64.7976
120.483407 98.330 -64.7478
120.849618 98.316 -64.6947
121.215829 98.302 -64.6465
121.582040 98.289 -64.6122
121.948250 98.276 -64.6006
122.314461 98.262 -64.6189
122.680672 98.247 -64.6709
123.046883 98.229 -64.7568
123.413094 98.210 -64.8728
123.779305 98.189 -65.0123
124.145516 98.167 -65.1673
124.511727 98.145 -65.3299
124.877938 98.122 -65.4930
125.244149 98.101 -65.6515
125.610360 98.081 -65.8021
125.976571 98.062 -65.9428
126.342782 98.045 -66.0733
126.708993 98.028 -66.1935
127.075204 98.012 -66.3042
127.441415 97.997 -66.4062
127.807626 97.981 -66.5005
128.173837 97.966 -66.5883
128.540048 97.951 -66.6714
128.906259 97.937 -66.7519
129.272470 97.923 -66.8323
129.638681 97.908 -66.9149
130.004892 97.895 -67.0020
130.371103 97.881 -67.0949
130.737314 97.867 -67.1943
131.103525 97.852 -67.3001
131.469736 97.838 -67.4118
131.835947 97.823 -67.5283
132.202158 97.809 -67.6485
132.568369 97.794 -67.7710
132.934579 97.779 -67.8946
133.300790 97.764 -68.0177
133.667001 97.750 -68.1393
134.033212 97.737 -68.2582
134.399423 97.724 -68.3737
134.765634 97.712 -68.4854
135.131845 97.701 -68.5931
135.498056 97.692 -68.6969
135.864267 97.683 -68.7971
136.230478 97.675 -68.8941
136.596689 97.668 -68.9881
136.962900 97.661 -69.0793
137.329111 97.654 -69.1674
137.695322 97.647 -69.2514
138.061533 97.639 -69.3304
138.427744 97.630 -69.4028
138.793955 97.621 -69.4679
139.160166 97.610 -69.5256
139.526377 97.599 -69.5768
139.892588 97.587 -69.6239
140.258799 97.574 -69.6701
140.625010 97.560 -69.7192
140.991221 97.545 -69.7751
141.357432 97.529 -69.8407
141.723643 97.512 -69.9181
142.089854 97.493 -70.0079
142.456065 97.473 -70.1094
142.822276 97.453 -70.2206
143.188487 97.432 -70.3391
143.554698 97.411 -70.4623
143.920909 97.390 -70.5879
144.287119 97.370 -70.7145
144.653330 97.352 -70.8415
145.019541 97.336 -70.9690
145.385752 97.322 -71.0981
145.751963 97.311 -71.2298
146.118174 97.301 -71.3652
146.484385 97.294 -71.5052
146.850596 97.289 -71.6496
147.216807 97.284 -71.7970
147.583018 97.279 -71.9453
147.949229 97.274 -72.0909
148.315440 97.268 -72.2301
148.681651 97.262 -72.3589
149.047862 97.255 -72.4737
149.414073 97.247 -72.5721
149.780284 97.240 -72.6530
150.146495 97.235 -72.7168
150.512706 97.230 -72.7655
150.878917 97.227 -72.8021
151.245128 97.225 -72.8305
151.611339 97.224 -72.8549
151.977550 97.223 -72.8795
152.343761 97.221 -72.9077
152.709972 97.217 -72.9423
153.076183 97.210 -72.9850
153.442394 97.200 -73.0365
153.808605 97.187 -73.0967
154.174816 97.171 -73.1648
154.541027 97.153 -73.2399
154.907238 97.133 -73.3208
155.273448 97.112 -73.4063
155.639659 97.090 -73.4955
156.005870 97.069 -73.5872
156.372081 97.049 -73.6803
156.738292 97.030 -73.7740
157.104503 97.012 -73.8672
157.470714 96.994 -73.9592
157.836925 96.978 -74.0493
158.203136 96.963 -74.1376
158.569347 96.948 -74.2240
158.935558 96.934 -74.3089
159.301769 96.921 -74.3929
159.667980 96.908 -74.4764
160.034191 96.896 -74.5601
160.400402 96.884 -74.6442
160.766613 96.872 -74.7290
161.132824 96.861 -74.8146
161.499035 96.850 -74.9010
161.865246 96.839 -74.9882
162.231457 96.828 -75.0762
162.597668 96.817 -75.1648
162.963879 96.806 -75.2539
