* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 2, 2024 4:12:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi ears Quintet MT602 R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 103.176 17.9327
20.507813 103.198 17.7004
20.874023 103.255 17.0904
21.240234 103.304 16.4320
21.606445 103.316 15.6373
21.972656 103.267 14.6392
22.338867 103.151 13.5760
22.705078 102.996 12.6388
23.071289 102.857 11.9148
23.437500 102.791 11.3159
23.803711 102.824 10.6345
24.169922 102.933 9.7071
24.536133 103.064 8.5471
24.902344 103.170 7.3406
25.268555 103.229 6.3204
25.634766 103.245 5.6168
26.000977 103.238 5.1846
26.367188 103.226 4.8442
26.733399 103.213 4.3973
27.099610 103.195 3.7353
27.465821 103.169 2.8722
27.832032 103.139 1.8975
28.198243 103.113 0.9032
28.564454 103.100 -0.0609
28.930665 103.098 -0.9829
29.296876 103.101 -1.8569
29.663087 103.098 -2.6601
30.029298 103.087 -3.3592
30.395509 103.071 -3.9359
30.761720 103.055 -4.4076
31.127931 103.046 -4.8247
31.494142 103.045 -5.2457
31.860353 103.046 -5.7088
32.226563 103.045 -6.2177
32.592774 103.039 -6.7500
32.958985 103.027 -7.2766
33.325196 103.016 -7.7812
33.691407 103.009 -8.2659
34.057618 103.008 -8.7440
34.423829 103.012 -9.2262
34.790040 103.017 -9.7109
35.156251 103.018 -10.1845
35.522462 103.011 -10.6309
35.888673 102.994 -11.0447
36.254884 102.968 -11.4375
36.621095 102.934 -11.8356
36.987306 102.893 -12.2690
37.353517 102.847 -12.7590
37.719728 102.798 -13.3095
38.085939 102.751 -13.9061
38.452150 102.710 -14.5227
38.818361 102.678 -15.1305
39.184572 102.658 -15.7081
39.550783 102.650 -16.2456
39.916994 102.650 -16.7448
40.283205 102.653 -17.2125
40.649416 102.651 -17.6540
41.015627 102.640 -18.0690
41.381838 102.617 -18.4534
41.748049 102.585 -18.8070
42.114260 102.548 -19.1403
42.480471 102.513 -19.4760
42.846682 102.485 -19.8420
43.212893 102.464 -20.2602
43.579103 102.449 -20.7352
43.945314 102.435 -21.2512
44.311525 102.420 -21.7773
44.677736 102.401 -22.2794
45.043947 102.379 -22.7324
45.410158 102.357 -23.1294
45.776369 102.338 -23.4816
46.142580 102.322 -23.8108
46.508791 102.309 -24.1371
46.875002 102.296 -24.4694
47.241213 102.280 -24.8026
47.607424 102.260 -25.1260
47.973635 102.234 -25.4344
48.339846 102.204 -25.7362
48.706057 102.171 -26.0509
49.072268 102.136 -26.3977
49.438479 102.101 -26.7847
49.804690 102.068 -27.2044
50.170901 102.040 -27.6392
50.537112 102.021 -28.0711
50.903323 102.011 -28.4858
51.269534 102.006 -28.8711
51.635745 102.002 -29.2128
52.001956 101.993 -29.4963
52.368167 101.975 -29.7153
52.734378 101.949 -29.8829
53.100589 101.919 -30.0333
53.466800 101.887 -30.2094
53.833011 101.855 -30.4444
54.199222 101.825 -30.7461
54.565432 101.797 -31.0967
54.931643 101.774 -31.4666
55.297854 101.755 -31.8302
55.664065 101.741 -32.1755
56.030276 101.729 -32.5013
56.396487 101.713 -32.8086
56.762698 101.691 -33.0967
57.128909 101.663 -33.3658
57.495120 101.632 -33.6239
57.861331 101.602 -33.8889
58.227542 101.577 -34.1815
58.593753 101.555 -34.5125
58.959964 101.536 -34.8739
59.326175 101.516 -35.2403
59.692386 101.494 -35.5811
60.058597 101.471 -35.8758
60.424808 101.448 -36.1227
60.791019 101.426 -36.3372
61.157230 101.405 -36.5417
61.523441 101.383 -36.7541
61.889652 101.359 -36.9814
62.255863 101.332 -37.2212
62.622074 101.303 -37.4664
62.988285 101.274 -37.7113
63.354496 101.244 -37.9545
63.720707 101.216 -38.1976
64.086918 101.189 -38.4437
64.453129 101.163 -38.6944
64.819340 101.138 -38.9493
65.185551 101.114 -39.2064
65.551762 101.091 -39.4628
65.917972 101.066 -39.7158
66.284183 101.041 -39.9631
66.650394 101.014 -40.2025
67.016605 100.985 -40.4326
67.382816 100.955 -40.6541
67.749027 100.927 -40.8712
68.115238 100.902 -41.0929
68.481449 100.883 -41.3312
68.847660 100.869 -41.5960
69.213871 100.858 -41.8890
69.580082 100.846 -42.1991
69.946293 100.831 -42.5041
70.312504 100.810 -42.7772
70.678715 100.784 -42.9989
71.044926 100.756 -43.1652
71.411137 100.727 -43.2907
71.777348 100.702 -43.4026
72.143559 100.681 -43.5303
72.509770 100.664 -43.6943
72.875981 100.649 -43.9004
73.242192 100.634 -44.1405
73.608403 100.617 -44.3981
73.974614 100.599 -44.6550
74.340825 100.579 -44.8969
74.707036 100.556 -45.1158
75.073247 100.532 -45.3102
75.439458 100.506 -45.4834
75.805669 100.480 -45.6422
76.171880 100.455 -45.7947
76.538091 100.433 -45.9487
76.904301 100.412 -46.1101
77.270512 100.393 -46.2820
77.636723 100.376 -46.4654
78.002934 100.359 -46.6597
78.369145 100.340 -46.8634
78.735356 100.319 -47.0751
79.101567 100.296 -47.2931
79.467778 100.270 -47.5147
79.833989 100.242 -47.7364
80.200200 100.214 -47.9537
80.566411 100.187 -48.1620
80.932622 100.161 -48.3574
81.298833 100.139 -48.5379
81.665044 100.119 -48.7032
82.031255 100.100 -48.8550
82.397466 100.083 -48.9968
82.763677 100.066 -49.1333
83.129888 100.049 -49.2704
83.496099 100.030 -49.4145
83.862310 100.011 -49.5712
84.228521 99.991 -49.7446
84.594732 99.970 -49.9358
84.960943 99.949 -50.1425
85.327154 99.928 -50.3599
85.693365 99.907 -50.5818
86.059576 99.886 -50.8016
86.425787 99.865 -51.0138
86.791998 99.843 -51.2141
87.158209 99.822 -51.4000
87.524420 99.800 -51.5703
87.890631 99.778 -51.7258
88.256841 99.757 -51.8689
88.623052 99.736 -52.0038
88.989263 99.717 -52.1355
89.355474 99.698 -52.2689
89.721685 99.680 -52.4077
90.087896 99.662 -52.5540
90.454107 99.643 -52.7081
90.820318 99.625 -52.8694
91.186529 99.607 -53.0370
91.552740 99.588 -53.2101
91.918951 99.569 -53.3875
92.285162 99.551 -53.5676
92.651373 99.532 -53.7479
93.017584 99.513 -53.9254
93.383795 99.494 -54.0970
93.750006 99.475 -54.2604
94.116217 99.456 -54.4147
94.482428 99.437 -54.5608
94.848639 99.419 -54.7007
95.214850 99.401 -54.8369
95.581061 99.382 -54.9719
95.947272 99.364 -55.1077
96.313483 99.345 -55.2459
96.679694 99.327 -55.3874
97.045905 99.308 -55.5325
97.412116 99.290 -55.6811
97.778327 99.271 -55.8321
98.144538 99.253 -55.9842
98.510749 99.234 -56.1361
98.876960 99.216 -56.2866
99.243170 99.197 -56.4353
99.609381 99.178 -56.5822
99.975592 99.159 -56.7277
100.341803 99.140 -56.8722
100.708014 99.122 -57.0158
101.074225 99.103 -57.1587
101.440436 99.085 -57.3006
101.806647 99.067 -57.4413
102.172858 99.050 -57.5808
102.539069 99.033 -57.7190
102.905280 99.016 -57.8561
103.271491 98.998 -57.9927
103.637702 98.981 -58.1293
104.003913 98.963 -58.2663
104.370124 98.944 -58.4040
104.736335 98.926 -58.5425
105.102546 98.907 -58.6811
105.468757 98.888 -58.8193
105.834968 98.869 -58.9560
106.201179 98.850 -59.0905
106.567390 98.832 -59.2223
106.933601 98.813 -59.3512
107.299812 98.796 -59.4775
107.666023 98.778 -59.6017
108.032234 98.761 -59.7244
108.398445 98.744 -59.8459
108.764656 98.727 -59.9667
109.130867 98.711 -60.0870
109.497078 98.694 -60.2070
109.863289 98.678 -60.3265
110.229500 98.661 -60.4454
110.595710 98.644 -60.5635
110.961921 98.627 -60.6804
111.328132 98.610 -60.7961
111.694343 98.593 -60.9107
112.060554 98.576 -61.0244
112.426765 98.560 -61.1379
112.792976 98.544 -61.2520
113.159187 98.529 -61.3674
113.525398 98.515 -61.4847
113.891609 98.502 -61.6041
114.257820 98.490 -61.7250
114.624031 98.480 -61.8467
114.990242 98.471 -61.9682
115.356453 98.464 -62.0895
115.722664 98.459 -62.2117
116.088875 98.455 -62.3369
116.455086 98.452 -62.4684
116.821297 98.448 -62.6087
117.187508 98.443 -62.7585
117.553719 98.434 -62.9161
117.919930 98.421 -63.0767
118.286141 98.403 -63.2337
118.652352 98.381 -63.3801
119.018563 98.356 -63.5092
119.384774 98.327 -63.6165
119.750985 98.296 -63.7000
120.117196 98.264 -63.7604
120.483407 98.232 -63.8010
120.849618 98.201 -63.8276
121.215829 98.172 -63.8479
121.582040 98.146 -63.8709
121.948250 98.124 -63.9055
122.314461 98.104 -63.9593
122.680672 98.088 -64.0371
123.046883 98.075 -64.1403
123.413094 98.064 -64.2663
123.779305 98.053 -64.4097
124.145516 98.044 -64.5636
124.511727 98.034 -64.7208
124.877938 98.024 -64.8752
125.244149 98.014 -65.0230
125.610360 98.003 -65.1619
125.976571 97.991 -65.2917
126.342782 97.979 -65.4129
126.708993 97.967 -65.5269
127.075204 97.953 -65.6351
127.441415 97.940 -65.7390
127.807626 97.926 -65.8400
128.173837 97.911 -65.9394
128.540048 97.896 -66.0385
128.906259 97.881 -66.1380
129.272470 97.865 -66.2386
129.638681 97.849 -66.3405
130.004892 97.832 -66.4439
130.371103 97.816 -66.5489
130.737314 97.799 -66.6557
131.103525 97.783 -66.7646
131.469736 97.768 -66.8760
131.835947 97.753 -66.9902
132.202158 97.739 -67.1076
132.568369 97.725 -67.2280
132.934579 97.712 -67.3508
133.300790 97.700 -67.4751
133.667001 97.687 -67.5992
134.033212 97.675 -67.7212
134.399423 97.662 -67.8389
134.765634 97.649 -67.9503
135.131845 97.636 -68.0537
135.498056 97.622 -68.1480
135.864267 97.609 -68.2328
136.230478 97.596 -68.3087
136.596689 97.583 -68.3768
136.962900 97.571 -68.4390
137.329111 97.560 -68.4977
137.695322 97.550 -68.5554
138.061533 97.540 -68.6148
138.427744 97.531 -68.6782
138.793955 97.522 -68.7474
139.160166 97.513 -68.8238
139.526377 97.504 -68.9078
139.892588 97.495 -68.9990
140.258799 97.485 -69.0963
140.625010 97.475 -69.1979
140.991221 97.466 -69.3017
141.357432 97.456 -69.4055
141.723643 97.447 -69.5073
142.089854 97.438 -69.6055
142.456065 97.430 -69.6986
142.822276 97.422 -69.7856
143.188487 97.415 -69.8658
143.554698 97.408 -69.9383
143.920909 97.401 -70.0026
144.287119 97.394 -70.0581
144.653330 97.385 -70.1047
145.019541 97.376 -70.1428
145.385752 97.364 -70.1737
145.751963 97.350 -70.1996
146.118174 97.333 -70.2236
146.484385 97.313 -70.2498
146.850596 97.290 -70.2826
147.216807 97.265 -70.3261
147.583018 97.238 -70.3840
147.949229 97.210 -70.4589
148.315440 97.181 -70.5518
148.681651 97.153 -70.6623
149.047862 97.125 -70.7881
149.414073 97.099 -70.9260
149.780284 97.075 -71.0717
150.146495 97.052 -71.2210
150.512706 97.031 -71.3693
150.878917 97.011 -71.5129
151.245128 96.992 -71.6489
151.611339 96.975 -71.7755
151.977550 96.960 -71.8918
152.343761 96.946 -71.9984
152.709972 96.935 -72.0968
153.076183 96.926 -72.1894
153.442394 96.920 -72.2789
153.808605 96.917 -72.3678
154.174816 96.917 -72.4581
154.541027 96.918 -72.5513
154.907238 96.920 -72.6479
155.273448 96.921 -72.7478
155.639659 96.922 -72.8502
156.005870 96.922 -72.9542
156.372081 96.920 -73.0587
156.738292 96.916 -73.1625
157.104503 96.911 -73.2645
157.470714 96.903 -73.3637
157.836925 96.895 -73.4593
158.203136 96.885 -73.5509
158.569347 96.875 -73.6383
158.935558 96.864 -73.7216
159.301769 96.852 -73.8013
159.667980 96.841 -73.8781
160.034191 96.829 -73.9527
160.400402 96.817 -74.0259
160.766613 96.806 -74.0984
161.132824 96.795 -74.1707
161.499035 96.784 -74.2432
161.865246 96.774 -74.3161
162.231457 96.764 -74.3896
162.597668 96.754 -74.4637
162.963879 96.744 -74.5384
