* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 2, 2024 10:19:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi ears Singolo R S2
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 99.058 -155.5472
20.507813 99.054 -155.9461
20.874023 99.051 -156.8729
21.240234 99.074 -157.4763
21.606445 99.131 -157.7876
21.972656 99.206 -158.1290
22.338867 99.267 -158.7193
22.705078 99.272 -159.6430
23.071289 99.198 -160.8090
23.437500 99.049 -161.9800
23.803711 98.872 -162.9201
24.169922 98.733 -163.5527
24.536133 98.690 -164.0230
24.902344 98.753 -164.5978
25.268555 98.879 -165.4639
25.634766 99.000 -166.5865
26.000977 99.066 -167.7323
26.367188 99.065 -168.6237
26.733399 99.019 -169.1109
27.099610 98.965 -169.2509
27.465821 98.935 -169.2534
27.832032 98.938 -169.3389
28.198243 98.966 -169.6163
28.564454 99.007 -170.0598
28.930665 99.054 -170.5781
29.296876 99.108 -171.1021
29.663087 99.163 -171.6212
30.029298 99.212 -172.1614
30.395509 99.243 -172.7428
30.761720 99.252 -173.3592
31.127931 99.239 -173.9904
31.494142 99.213 -174.6235
31.860353 99.185 -175.2612
32.226563 99.161 -175.9086
32.592774 99.142 -176.5571
32.958985 99.127 -177.1825
33.325196 99.113 -177.7598
33.691407 99.100 -178.2805
34.057618 99.085 -178.7582
34.423829 99.069 -179.2181
34.790040 99.050 -179.6820
35.156251 99.027 179.8417
35.522462 99.002 179.3569
35.888673 98.977 178.8732
36.254884 98.954 178.3997
36.621095 98.932 177.9429
36.987306 98.911 177.5053
37.353517 98.890 177.0848
37.719728 98.867 176.6753
38.085939 98.841 176.2682
38.452150 98.814 175.8570
38.818361 98.786 175.4403
39.184572 98.760 175.0213
39.550783 98.737 174.6047
39.916994 98.718 174.1942
40.283205 98.703 173.7918
40.649416 98.687 173.3985
41.015627 98.669 173.0155
41.381838 98.647 172.6439
41.748049 98.618 172.2838
42.114260 98.585 171.9356
42.480471 98.550 171.5999
42.846682 98.516 171.2772
43.212893 98.487 170.9655
43.579103 98.462 170.6585
43.945314 98.442 170.3491
44.311525 98.421 170.0346
44.677736 98.396 169.7209
45.043947 98.365 169.4167
45.410158 98.330 169.1203
45.776369 98.296 168.8097
46.142580 98.265 168.4463
46.508791 98.238 167.9975
46.875002 98.212 167.4655
47.241213 98.180 166.9011
47.607424 98.142 166.3896
47.973635 98.101 166.0111
48.339846 98.066 165.8007
48.706057 98.043 165.7301
49.072268 98.032 165.7251
49.438479 98.029 165.7047
49.804690 98.023 165.6182
50.170901 98.009 165.4577
50.537112 97.983 165.2453
50.903323 97.952 165.0082
51.269534 97.919 164.7611
51.635745 97.891 164.5053
52.001956 97.868 164.2389
52.368167 97.847 163.9668
52.734378 97.825 163.7022
53.100589 97.800 163.4586
53.466800 97.773 163.2409
53.833011 97.743 163.0418
54.199222 97.712 162.8464
54.565432 97.680 162.6410
54.931643 97.650 162.4191
55.297854 97.620 162.1830
55.664065 97.592 161.9400
56.030276 97.567 161.6974
56.396487 97.545 161.4592
56.762698 97.524 161.2261
57.128909 97.504 160.9972
57.495120 97.483 160.7725
57.861331 97.459 160.5538
58.227542 97.432 160.3444
58.593753 97.402 160.1463
58.959964 97.369 159.9598
59.326175 97.335 159.7820
59.692386 97.301 159.6089
60.058597 97.269 159.4370
60.424808 97.237 159.2651
60.791019 97.207 159.0941
61.157230 97.179 158.9254
61.523441 97.154 158.7592
61.889652 97.130 158.5937
62.255863 97.108 158.4264
62.622074 97.085 158.2552
62.988285 97.060 158.0804
63.354496 97.033 157.9041
63.720707 97.003 157.7295
64.086918 96.971 157.5589
64.453129 96.938 157.3928
64.819340 96.905 157.2297
65.185551 96.873 157.0678
65.551762 96.843 156.9059
65.917972 96.814 156.7444
66.284183 96.786 156.5851
66.650394 96.758 156.4297
67.016605 96.729 156.2786
67.382816 96.701 156.1302
67.749027 96.672 155.9819
68.115238 96.642 155.8312
68.481449 96.612 155.6777
68.847660 96.582 155.5231
69.213871 96.552 155.3713
69.580082 96.522 155.2260
69.946293 96.494 155.0893
70.312504 96.466 154.9619
70.678715 96.438 154.8432
71.044926 96.409 154.7325
71.411137 96.380 154.6294
71.777348 96.349 154.5334
72.143559 96.317 154.4424
72.509770 96.286 154.3523
72.875981 96.257 154.2576
73.242192 96.229 154.1530
73.608403 96.203 154.0354
73.974614 96.178 153.9049
74.340825 96.154 153.7643
74.707036 96.130 153.6177
75.073247 96.106 153.4693
75.439458 96.081 153.3219
75.805669 96.056 153.1777
76.171880 96.031 153.0385
76.538091 96.004 152.9069
76.904301 95.975 152.7854
77.270512 95.946 152.6763
77.636723 95.916 152.5793
78.002934 95.886 152.4912
78.369145 95.856 152.4064
78.735356 95.827 152.3185
79.101567 95.801 152.2228
79.467778 95.777 152.1182
79.833989 95.757 152.0069
80.200200 95.740 151.8924
80.566411 95.728 151.7773
80.932622 95.719 151.6620
81.298833 95.710 151.5462
81.665044 95.700 151.4305
82.031255 95.685 151.3189
82.397466 95.663 151.2188
82.763677 95.633 151.1379
83.129888 95.596 151.0810
83.496099 95.556 151.0470
83.862310 95.514 151.0284
84.228521 95.473 151.0141
84.594732 95.434 150.9935
84.960943 95.398 150.9597
85.327154 95.364 150.9107
85.693365 95.332 150.8488
86.059576 95.301 150.7781
86.425787 95.271 150.7036
86.791998 95.244 150.6308
87.158209 95.218 150.5659
87.524420 95.195 150.5158
87.890631 95.175 150.4854
88.256841 95.158 150.4757
88.623052 95.142 150.4809
88.989263 95.129 150.4890
89.355474 95.114 150.4848
89.721685 95.096 150.4546
90.087896 95.073 150.3909
90.454107 95.043 150.2946
90.820318 95.007 150.1739
91.186529 94.967 150.0407
91.552740 94.925 149.9067
91.918951 94.883 149.7804
92.285162 94.844 149.6663
92.651373 94.808 149.5661
93.017584 94.776 149.4797
93.383795 94.746 149.4067
93.750006 94.717 149.3459
94.116217 94.689 149.2956
94.482428 94.661 149.2527
94.848639 94.634 149.2137
95.214850 94.607 149.1750
95.581061 94.580 149.1337
95.947272 94.552 149.0879
96.313483 94.522 149.0359
96.679694 94.489 148.9760
97.045905 94.454 148.9067
97.412116 94.415 148.8272
97.778327 94.374 148.7389
98.144538 94.331 148.6461
98.510749 94.288 148.5554
98.876960 94.247 148.4745
99.243170 94.211 148.4100
99.609381 94.180 148.3652
99.975592 94.155 148.3397
100.341803 94.135 148.3296
100.708014 94.120 148.3295
101.074225 94.105 148.3338
101.440436 94.090 148.3377
101.806647 94.072 148.3384
102.172858 94.050 148.3345
102.539069 94.025 148.3263
102.905280 93.996 148.3149
103.271491 93.964 148.3025
103.637702 93.930 148.2915
104.003913 93.895 148.2845
104.370124 93.861 148.2835
104.736335 93.826 148.2900
105.102546 93.792 148.3047
105.468757 93.759 148.3277
105.834968 93.726 148.3584
106.201179 93.694 148.3956
106.567390 93.662 148.4377
106.933601 93.630 148.4826
107.299812 93.597 148.5287
107.666023 93.564 148.5749
108.032234 93.529 148.6208
108.398445 93.491 148.6677
108.764656 93.452 148.7173
109.130867 93.411 148.7725
109.497078 93.368 148.8367
109.863289 93.326 148.9137
110.229500 93.284 149.0073
110.595710 93.244 149.1209
110.961921 93.207 149.2568
111.328132 93.171 149.4153
111.694343 93.137 149.5948
112.060554 93.105 149.7916
112.426765 93.074 150.0010
112.792976 93.044 150.2186
113.159187 93.016 150.4412
113.525398 92.991 150.6681
113.891609 92.970 150.9001
114.257820 92.953 151.1391
114.624031 92.940 151.3853
114.990242 92.930 151.6365
115.356453 92.923 151.8870
115.722664 92.917 152.1280
116.088875 92.912 152.3496
116.455086 92.905 152.5434
116.821297 92.900 152.7051
117.187508 92.896 152.8371
117.553719 92.895 152.9499
117.919930 92.900 153.0618
118.286141 92.911 153.1960
118.652352 92.927 153.3763
119.018563 92.947 153.6202
119.384774 92.968 153.9341
119.750985 92.991 154.3090
120.117196 93.012 154.7200
120.483407 93.034 155.1291
120.849618 93.057 155.4913
121.215829 93.084 155.7624
121.582040 93.117 155.9069
121.948250 93.158 155.9049
122.314461 93.206 155.7562
122.680672 93.258 155.4801
123.046883 93.311 155.1113
123.413094 93.359 154.6921
123.779305 93.397 154.2628
124.145516 93.424 153.8539
124.511727 93.437 153.4811
124.877938 93.437 153.1450
125.244149 93.426 152.8364
125.610360 93.407 152.5422
125.976571 93.383 152.2524
126.342782 93.356 151.9639
126.708993 93.330 151.6808
127.075204 93.306 151.4126
127.441415 93.284 151.1697
127.807626 93.264 150.9601
128.173837 93.245 150.7867
128.540048 93.226 150.6469
128.906259 93.206 150.5335
129.272470 93.185 150.4368
129.638681 93.162 150.3465
130.004892 93.137 150.2542
130.371103 93.113 150.1545
130.737314 93.087 150.0457
131.103525 93.063 149.9290
131.469736 93.039 149.8081
131.835947 93.015 149.6875
132.202158 92.992 149.5714
132.568369 92.970 149.4634
132.934579 92.947 149.3655
133.300790 92.925 149.2786
133.667001 92.903 149.2028
134.033212 92.881 149.1375
134.399423 92.859 149.0818
134.765634 92.838 149.0342
135.131845 92.817 148.9933
135.498056 92.795 148.9574
135.864267 92.774 148.9248
136.230478 92.753 148.8941
136.596689 92.731 148.8640
136.962900 92.709 148.8342
137.329111 92.686 148.8045
137.695322 92.664 148.7756
138.061533 92.642 148.7484
138.427744 92.619 148.7238
138.793955 92.596 148.7029
139.160166 92.573 148.6863
139.526377 92.551 148.6739
139.892588 92.528 148.6656
140.258799 92.505 148.6605
140.625010 92.482 148.6576
140.991221 92.460 148.6558
141.357432 92.438 148.6539
141.723643 92.416 148.6511
142.089854 92.395 148.6468
142.456065 92.374 148.6405
142.822276 92.353 148.6325
143.188487 92.333 148.6230
143.554698 92.312 148.6124
143.920909 92.292 148.6013
144.287119 92.271 148.5901
144.653330 92.250 148.5795
145.019541 92.229 148.5698
145.385752 92.208 148.5619
145.751963 92.186 148.5563
146.118174 92.163 148.5539
146.484385 92.141 148.5551
146.850596 92.118 148.5603
147.216807 92.095 148.5698
147.583018 92.072 148.5836
147.949229 92.050 148.6016
148.315440 92.027 148.6235
148.681651 92.005 148.6494
149.047862 91.983 148.6793
149.414073 91.962 148.7131
149.780284 91.941 148.7509
150.146495 91.921 148.7926
150.512706 91.902 148.8375
150.878917 91.883 148.8846
151.245128 91.865 148.9323
151.611339 91.846 148.9788
151.977550 91.828 149.0220
152.343761 91.810 149.0601
152.709972 91.791 149.0917
153.076183 91.771 149.1161
153.442394 91.751 149.1337
153.808605 91.730 149.1451
154.174816 91.709 149.1519
154.541027 91.687 149.1560
154.907238 91.665 149.1592
155.273448 91.643 149.1637
155.639659 91.621 149.1710
156.005870 91.599 149.1825
156.372081 91.577 149.1991
156.738292 91.555 149.2211
157.104503 91.533 149.2483
157.470714 91.511 149.2802
157.836925 91.489 149.3157
158.203136 91.467 149.3537
158.569347 91.445 149.3928
158.935558 91.424 149.4315
159.301769 91.403 149.4687
159.667980 91.383 149.5034
160.034191 91.363 149.5349
160.400402 91.344 149.5630
160.766613 91.326 149.5880
161.132824 91.308 149.6103
161.499035 91.291 149.6309
161.865246 91.273 149.6507
162.231457 91.256 149.6709
162.597668 91.239 149.6923
162.963879 91.221 149.7159
163.330090 91.204 149.7420
163.696301 91.186 149.7711
164.062512 91.168 149.8031
164.428723 91.150 149.8380
164.794934 91.132 149.8754
165.161145 91.113 149.9152
165.527356 91.095 149.9573
165.893567 91.076 150.0014
166.259778 91.057 150.0475
166.625988 91.038 150.0956
166.992199 91.019 150.1455
167.358410 91.000 150.1969
167.724621 90.980 150.2492
168.090832 90.961 150.3016
168.457043 90.941 150.3528
168.823254 90.921 150.4016
169.189465 90.900 150.4460
169.555676 90.880 150.4849
169.921887 90.860 150.5166
170.288098 90.841 150.5403
170.654309 90.821 150.5555
171.020520 90.802 150.5627
171.386731 90.784 150.5631
