* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 5, 2023 8:57:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MAONO BUDS l
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 105.595 -169.4552
20.507813 105.590 -169.5233
20.874023 105.574 -169.6985
21.240234 105.561 -169.8623
21.606445 105.553 -170.0076
21.972656 105.551 -170.1545
22.338867 105.554 -170.3046
22.705078 105.563 -170.4486
23.071289 105.573 -170.5789
23.437500 105.585 -170.6939
23.803711 105.598 -170.7920
24.169922 105.608 -170.8702
24.536133 105.618 -170.9277
24.902344 105.626 -170.9670
25.268555 105.633 -170.9930
25.634766 105.639 -171.0101
26.000977 105.642 -171.0217
26.367188 105.644 -171.0272
26.733399 105.643 -171.0234
27.099610 105.640 -171.0091
27.465821 105.637 -170.9882
27.832032 105.633 -170.9669
28.198243 105.629 -170.9504
28.564454 105.626 -170.9402
28.930665 105.623 -170.9354
29.296876 105.622 -170.9333
29.663087 105.622 -170.9301
30.029298 105.623 -170.9239
30.395509 105.625 -170.9164
30.761720 105.626 -170.9099
31.127931 105.628 -170.9047
31.494142 105.630 -170.8984
31.860353 105.631 -170.8867
32.226563 105.633 -170.8662
32.592774 105.634 -170.8352
32.958985 105.637 -170.7940
33.325196 105.639 -170.7453
33.691407 105.642 -170.6933
34.057618 105.644 -170.6421
34.423829 105.646 -170.5921
34.790040 105.648 -170.5397
35.156251 105.649 -170.4810
35.522462 105.650 -170.4150
35.888673 105.651 -170.3440
36.254884 105.651 -170.2710
36.621095 105.651 -170.1968
36.987306 105.651 -170.1206
37.353517 105.650 -170.0417
37.719728 105.650 -169.9620
38.085939 105.650 -169.8846
38.452150 105.651 -169.8120
38.818361 105.652 -169.7444
39.184572 105.652 -169.6800
39.550783 105.652 -169.6150
39.916994 105.652 -169.5446
40.283205 105.653 -169.4661
40.649416 105.653 -169.3799
41.015627 105.655 -169.2894
41.381838 105.657 -169.1982
41.748049 105.659 -169.1092
42.114260 105.661 -169.0237
42.480471 105.662 -168.9406
42.846682 105.662 -168.8574
43.212893 105.662 -168.7716
43.579103 105.661 -168.6818
43.945314 105.661 -168.5880
44.311525 105.660 -168.4910
44.677736 105.660 -168.3921
45.043947 105.660 -168.2927
45.410158 105.660 -168.1936
45.776369 105.659 -168.0942
46.142580 105.658 -167.9939
46.508791 105.658 -167.8913
46.875002 105.656 -167.7860
47.241213 105.655 -167.6777
47.607424 105.654 -167.5675
47.973635 105.653 -167.4566
48.339846 105.653 -167.3466
48.706057 105.654 -167.2379
49.072268 105.656 -167.1302
49.438479 105.657 -167.0228
49.804690 105.658 -166.9142
50.170901 105.659 -166.8035
50.537112 105.660 -166.6908
50.903323 105.662 -166.5771
51.269534 105.663 -166.4642
51.635745 105.665 -166.3537
52.001956 105.668 -166.2462
52.368167 105.670 -166.1414
52.734378 105.673 -166.0375
53.100589 105.675 -165.9330
53.466800 105.678 -165.8272
53.833011 105.681 -165.7216
54.199222 105.685 -165.6187
54.565432 105.688 -165.5215
54.931643 105.691 -165.4312
55.297854 105.694 -165.3470
55.664065 105.697 -165.2654
56.030276 105.699 -165.1826
56.396487 105.701 -165.0964
56.762698 105.704 -165.0077
57.128909 105.706 -164.9196
57.495120 105.709 -164.8351
57.861331 105.711 -164.7561
58.227542 105.712 -164.6826
58.593753 105.713 -164.6135
58.959964 105.713 -164.5479
59.326175 105.712 -164.4854
59.692386 105.711 -164.4263
60.058597 105.710 -164.3709
60.424808 105.707 -164.3189
60.791019 105.705 -164.2693
61.157230 105.702 -164.2211
61.523441 105.699 -164.1734
61.889652 105.696 -164.1269
62.255863 105.693 -164.0829
62.622074 105.690 -164.0427
62.988285 105.687 -164.0070
63.354496 105.684 -163.9750
63.720707 105.682 -163.9452
64.086918 105.680 -163.9156
64.453129 105.679 -163.8856
64.819340 105.679 -163.8552
65.185551 105.679 -163.8253
65.551762 105.680 -163.7967
65.917972 105.681 -163.7697
66.284183 105.681 -163.7444
66.650394 105.681 -163.7210
67.016605 105.681 -163.6996
67.382816 105.680 -163.6797
67.749027 105.678 -163.6606
68.115238 105.676 -163.6412
68.481449 105.675 -163.6207
68.847660 105.673 -163.5988
69.213871 105.671 -163.5754
69.580082 105.670 -163.5509
69.946293 105.669 -163.5253
70.312504 105.668 -163.4989
70.678715 105.668 -163.4716
71.044926 105.668 -163.4436
71.411137 105.669 -163.4149
71.777348 105.670 -163.3856
72.143559 105.670 -163.3556
72.509770 105.671 -163.3247
72.875981 105.672 -163.2928
73.242192 105.674 -163.2598
73.608403 105.675 -163.2257
73.974614 105.676 -163.1905
74.340825 105.677 -163.1545
74.707036 105.678 -163.1181
75.073247 105.679 -163.0816
75.439458 105.680 -163.0455
75.805669 105.681 -163.0100
76.171880 105.682 -162.9752
76.538091 105.682 -162.9409
76.904301 105.683 -162.9071
77.270512 105.684 -162.8734
77.636723 105.685 -162.8398
78.002934 105.686 -162.8062
78.369145 105.688 -162.7721
78.735356 105.689 -162.7375
79.101567 105.691 -162.7023
79.467778 105.692 -162.6663
79.833989 105.693 -162.6301
80.200200 105.694 -162.5940
80.566411 105.694 -162.5584
80.932622 105.694 -162.5236
81.298833 105.694 -162.4897
81.665044 105.694 -162.4568
82.031255 105.694 -162.4247
82.397466 105.694 -162.3930
82.763677 105.695 -162.3614
83.129888 105.695 -162.3294
83.496099 105.696 -162.2966
83.862310 105.696 -162.2628
84.228521 105.697 -162.2283
84.594732 105.697 -162.1931
84.960943 105.697 -162.1577
85.327154 105.698 -162.1222
85.693365 105.698 -162.0868
86.059576 105.698 -162.0517
86.425787 105.698 -162.0170
86.791998 105.698 -161.9826
87.158209 105.697 -161.9485
87.524420 105.697 -161.9145
87.890631 105.697 -161.8808
88.256841 105.697 -161.8476
88.623052 105.697 -161.8150
88.989263 105.697 -161.7832
89.355474 105.697 -161.7521
89.721685 105.697 -161.7217
90.087896 105.696 -161.6917
90.454107 105.696 -161.6617
90.820318 105.696 -161.6316
91.186529 105.696 -161.6014
91.552740 105.696 -161.5711
91.918951 105.696 -161.5411
92.285162 105.696 -161.5115
92.651373 105.696 -161.4825
93.017584 105.697 -161.4540
93.383795 105.697 -161.4257
93.750006 105.697 -161.3972
94.116217 105.698 -161.3682
94.482428 105.699 -161.3383
94.848639 105.700 -161.3073
95.214850 105.701 -161.2751
95.581061 105.702 -161.2418
95.947272 105.703 -161.2076
96.313483 105.704 -161.1726
96.679694 105.706 -161.1370
97.045905 105.707 -161.1011
97.412116 105.708 -161.0649
97.778327 105.710 -161.0285
98.144538 105.711 -160.9919
98.510749 105.712 -160.9551
98.876960 105.714 -160.9183
99.243170 105.715 -160.8815
99.609381 105.716 -160.8449
99.975592 105.717 -160.8089
100.341803 105.718 -160.7734
100.708014 105.718 -160.7386
101.074225 105.719 -160.7045
101.440436 105.719 -160.6709
101.806647 105.719 -160.6379
102.172858 105.720 -160.6055
102.539069 105.720 -160.5735
102.905280 105.720 -160.5422
103.271491 105.720 -160.5115
103.637702 105.720 -160.4815
104.003913 105.720 -160.4521
104.370124 105.720 -160.4232
104.736335 105.721 -160.3947
105.102546 105.721 -160.3664
105.468757 105.721 -160.3380
105.834968 105.722 -160.3094
106.201179 105.722 -160.2802
106.567390 105.723 -160.2502
106.933601 105.723 -160.2194
107.299812 105.724 -160.1878
107.666023 105.725 -160.1556
108.032234 105.726 -160.1229
108.398445 105.726 -160.0902
108.764656 105.727 -160.0577
109.130867 105.728 -160.0257
109.497078 105.729 -159.9945
109.863289 105.730 -159.9641
110.229500 105.731 -159.9346
110.595710 105.732 -159.9060
110.961921 105.733 -159.8781
111.328132 105.733 -159.8510
111.694343 105.734 -159.8245
112.060554 105.734 -159.7985
112.426765 105.735 -159.7730
112.792976 105.735 -159.7480
113.159187 105.735 -159.7235
113.525398 105.734 -159.6995
113.891609 105.733 -159.6760
114.257820 105.732 -159.6529
114.624031 105.731 -159.6302
114.990242 105.729 -159.6079
115.356453 105.727 -159.5857
115.722664 105.725 -159.5635
116.088875 105.722 -159.5412
116.455086 105.719 -159.5183
116.821297 105.717 -159.4946
117.187508 105.714 -159.4697
117.553719 105.713 -159.4434
117.919930 105.713 -159.4157
118.286141 105.715 -159.3867
118.652352 105.717 -159.3570
119.018563 105.720 -159.3270
119.384774 105.724 -159.2971
119.750985 105.728 -159.2678
120.117196 105.731 -159.2393
120.483407 105.734 -159.2119
120.849618 105.737 -159.1854
121.215829 105.740 -159.1595
121.582040 105.742 -159.1340
121.948250 105.744 -159.1084
122.314461 105.745 -159.0826
122.680672 105.747 -159.0564
123.046883 105.748 -159.0299
123.413094 105.750 -159.0033
123.779305 105.751 -158.9767
124.145516 105.752 -158.9504
124.511727 105.752 -158.9245
124.877938 105.753 -158.8991
125.244149 105.753 -158.8743
125.610360 105.753 -158.8499
125.976571 105.753 -158.8258
126.342782 105.754 -158.8018
126.708993 105.754 -158.7779
127.075204 105.754 -158.7539
127.441415 105.755 -158.7298
127.807626 105.755 -158.7057
128.173837 105.756 -158.6817
128.540048 105.757 -158.6576
128.906259 105.758 -158.6335
129.272470 105.759 -158.6094
129.638681 105.759 -158.5851
130.004892 105.760 -158.5606
130.371103 105.761 -158.5359
130.737314 105.762 -158.5110
131.103525 105.763 -158.4861
131.469736 105.763 -158.4612
131.835947 105.764 -158.4363
132.202158 105.764 -158.4116
132.568369 105.765 -158.3870
132.934579 105.765 -158.3625
133.300790 105.765 -158.3379
133.667001 105.766 -158.3131
134.033212 105.766 -158.2881
134.399423 105.767 -158.2627
134.765634 105.767 -158.2368
135.131845 105.768 -158.2102
135.498056 105.769 -158.1830
135.864267 105.769 -158.1552
136.230478 105.770 -158.1269
136.596689 105.771 -158.0981
136.962900 105.772 -158.0690
137.329111 105.773 -158.0399
137.695322 105.774 -158.0110
138.061533 105.775 -157.9824
138.427744 105.776 -157.9544
138.793955 105.777 -157.9270
139.160166 105.778 -157.9002
139.526377 105.779 -157.8741
139.892588 105.780 -157.8485
140.258799 105.781 -157.8233
140.625010 105.782 -157.7982
140.991221 105.783 -157.7732
141.357432 105.783 -157.7480
141.723643 105.784 -157.7225
142.089854 105.784 -157.6967
142.456065 105.785 -157.6705
142.822276 105.785 -157.6442
143.188487 105.785 -157.6178
143.554698 105.786 -157.5914
143.920909 105.786 -157.5653
144.287119 105.786 -157.5396
144.653330 105.787 -157.5145
145.019541 105.788 -157.4900
145.385752 105.788 -157.4661
145.751963 105.789 -157.4427
146.118174 105.790 -157.4196
146.484385 105.790 -157.3966
146.850596 105.791 -157.3734
147.216807 105.792 -157.3498
147.583018 105.793 -157.3255
147.949229 105.794 -157.3004
148.315440 105.795 -157.2746
148.681651 105.796 -157.2479
149.047862 105.798 -157.2205
149.414073 105.799 -157.1924
149.780284 105.800 -157.1639
150.146495 105.801 -157.1350
150.512706 105.803 -157.1058
150.878917 105.804 -157.0764
151.245128 105.805 -157.0470
151.611339 105.806 -157.0175
151.977550 105.807 -156.9881
152.343761 105.808 -156.9588
152.709972 105.809 -156.9297
153.076183 105.810 -156.9009
153.442394 105.811 -156.8725
153.808605 105.811 -156.8447
154.174816 105.812 -156.8174
154.541027 105.813 -156.7908
154.907238 105.813 -156.7646
155.273448 105.814 -156.7391
155.639659 105.814 -156.7140
156.005870 105.815 -156.6893
156.372081 105.815 -156.6650
156.738292 105.816 -156.6411
157.104503 105.817 -156.6175
157.470714 105.817 -156.5943
157.836925 105.818 -156.5715
158.203136 105.818 -156.5491
158.569347 105.819 -156.5270
158.935558 105.820 -156.5054
159.301769 105.821 -156.4842
159.667980 105.822 -156.4634
160.034191 105.823 -156.4431
160.400402 105.824 -156.4232
160.766613 105.825 -156.4040
161.132824 105.826 -156.3854
161.499035 105.827 -156.3675
161.865246 105.829 -156.3504
162.231457 105.830 -156.3340
162.597668 105.831 -156.3183
