* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 13, 2023 7:21:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Aria (basslet) L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 84.261 -143.2539
20.507813 84.267 -143.7070
20.874023 84.300 -144.7923
21.240234 84.388 -145.5434
21.606445 84.547 -145.8410
21.972656 84.766 -145.9173
22.338867 84.993 -146.0395
22.705078 85.157 -146.4218
23.071289 85.206 -147.0950
23.437500 85.136 -147.9146
23.803711 85.010 -148.7556
24.169922 84.934 -149.7078
24.536133 84.991 -151.0673
24.902344 85.178 -153.0714
25.268555 85.404 -155.5871
25.634766 85.558 -158.0341
26.000977 85.576 -159.6196
26.367188 85.472 -159.7590
26.733399 85.325 -158.4677
27.099610 85.220 -156.4512
27.465821 85.185 -154.7340
27.832032 85.172 -154.0423
28.198243 85.122 -154.4194
28.564454 85.024 -155.3302
28.930665 84.928 -156.0984
29.296876 84.915 -156.3327
29.663087 85.027 -156.0742
30.029298 85.233 -155.6267
30.395509 85.449 -155.2655
30.761720 85.597 -155.0786
31.127931 85.642 -155.0213
31.494142 85.589 -155.0626
31.860353 85.475 -155.2632
32.226563 85.344 -155.7301
32.592774 85.237 -156.5091
32.958985 85.184 -157.5204
33.325196 85.203 -158.5863
33.691407 85.298 -159.5204
34.057618 85.451 -160.1990
34.423829 85.627 -160.5693
34.790040 85.789 -160.6187
35.156251 85.911 -160.3604
35.522462 85.984 -159.8565
35.888673 86.016 -159.2469
36.254884 86.018 -158.7342
36.621095 85.996 -158.5064
36.987306 85.954 -158.6410
37.353517 85.893 -159.0575
37.719728 85.826 -159.5589
38.085939 85.775 -159.9455
38.452150 85.764 -160.1297
38.818361 85.802 -160.1767
39.184572 85.874 -160.2477
39.550783 85.948 -160.4822
39.916994 85.989 -160.9037
40.283205 85.982 -161.4059
40.649416 85.942 -161.8274
41.015627 85.904 -162.0612
41.381838 85.906 -162.1242
41.748049 85.963 -162.1369
42.114260 86.060 -162.2254
42.480471 86.156 -162.4208
42.846682 86.215 -162.6362
43.212893 86.222 -162.7419
43.579103 86.188 -162.6846
43.945314 86.142 -162.5560
44.311525 86.105 -162.5490
44.677736 86.084 -162.8227
45.043947 86.070 -163.3726
45.410158 86.059 -164.0108
45.776369 86.059 -164.4808
46.142580 86.095 -164.6331
46.508791 86.182 -164.5321
46.875002 86.311 -164.4167
47.241213 86.444 -164.5412
47.607424 86.531 -165.0138
47.973635 86.536 -165.7409
48.339846 86.455 -166.5028
48.706057 86.312 -167.0964
49.072268 86.154 -167.4469
49.438479 86.029 -167.6265
49.804690 85.963 -167.7811
50.170901 85.961 -168.0276
50.537112 86.003 -168.3891
50.903323 86.067 -168.7984
51.269534 86.137 -169.1506
51.635745 86.200 -169.3628
52.001956 86.255 -169.4128
52.368167 86.300 -169.3475
52.734378 86.337 -169.2612
53.100589 86.366 -169.2505
53.466800 86.386 -169.3593
53.833011 86.400 -169.5431
54.199222 86.416 -169.6839
54.565432 86.446 -169.6586
54.931643 86.499 -169.4218
55.297854 86.564 -169.0388
55.664065 86.608 -168.6313
56.030276 86.580 -168.2669
56.396487 86.436 -167.8760
56.762698 86.163 -167.2802
57.128909 85.788 -166.3398
57.495120 85.395 -165.1314
57.861331 85.100 -164.0101
58.227542 84.996 -163.4732
58.593753 85.098 -163.8865
58.959964 85.339 -165.2573
59.326175 85.628 -167.2118
59.692386 85.899 -169.1877
60.058597 86.123 -170.7083
60.424808 86.301 -171.5778
60.791019 86.437 -171.9076
61.157230 86.534 -171.9914
61.523441 86.586 -172.1219
61.889652 86.588 -172.4522
62.255863 86.545 -172.9584
62.622074 86.474 -173.4970
62.988285 86.401 -173.9016
63.354496 86.351 -174.0632
63.720707 86.340 -173.9624
64.086918 86.365 -173.6559
64.453129 86.413 -173.2416
64.819340 86.468 -172.8238
65.185551 86.516 -172.4921
65.551762 86.548 -172.3073
65.917972 86.563 -172.2918
66.284183 86.563 -172.4227
66.650394 86.551 -172.6328
67.016605 86.535 -172.8282
67.382816 86.523 -172.9193
67.749027 86.525 -172.8562
68.115238 86.548 -172.6514
68.481449 86.593 -172.3772
68.847660 86.653 -172.1380
69.213871 86.716 -172.0280
69.580082 86.767 -172.0964
69.946293 86.792 -172.3336
70.312504 86.787 -172.6823
70.678715 86.752 -173.0649
71.044926 86.693 -173.4123
71.411137 86.623 -173.6830
71.777348 86.553 -173.8678
72.143559 86.493 -173.9826
72.509770 86.450 -174.0562
72.875981 86.428 -174.1176
73.242192 86.424 -174.1867
73.608403 86.436 -174.2693
73.974614 86.455 -174.3573
74.340825 86.475 -174.4330
74.707036 86.490 -174.4780
75.073247 86.498 -174.4831
75.439458 86.499 -174.4558
75.805669 86.499 -174.4211
76.171880 86.500 -174.4143
76.538091 86.506 -174.4662
76.904301 86.520 -174.5872
77.270512 86.540 -174.7573
77.636723 86.565 -174.9303
78.002934 86.592 -175.0516
78.369145 86.620 -175.0858
78.735356 86.649 -175.0383
79.101567 86.676 -174.9612
79.467778 86.696 -174.9352
79.833989 86.702 -175.0376
80.200200 86.689 -175.3078
80.566411 86.656 -175.7308
80.932622 86.606 -176.2424
81.298833 86.550 -176.7538
81.665044 86.500 -177.1808
82.031255 86.465 -177.4655
82.397466 86.447 -177.5826
82.763677 86.443 -177.5332
83.129888 86.445 -177.3372
83.496099 86.445 -177.0275
83.862310 86.438 -176.6495
84.228521 86.427 -176.2602
84.594732 86.413 -175.9211
84.960943 86.402 -175.6841
85.327154 86.396 -175.5760
85.693365 86.395 -175.5888
86.059576 86.397 -175.6815
86.425787 86.399 -175.7951
86.791998 86.399 -175.8731
87.158209 86.394 -175.8807
87.524420 86.386 -175.8143
87.890631 86.375 -175.6981
88.256841 86.361 -175.5718
88.623052 86.347 -175.4736
88.989263 86.334 -175.4270
89.355474 86.325 -175.4363
89.721685 86.323 -175.4906
90.087896 86.332 -175.5726
90.454107 86.351 -175.6683
90.820318 86.379 -175.7706
91.186529 86.412 -175.8790
91.552740 86.444 -175.9955
91.918951 86.469 -176.1213
92.285162 86.484 -176.2554
92.651373 86.487 -176.3955
93.017584 86.479 -176.5386
93.383795 86.464 -176.6798
93.750006 86.445 -176.8093
94.116217 86.425 -176.9112
94.482428 86.409 -176.9637
94.848639 86.397 -176.9449
95.214850 86.392 -176.8413
95.581061 86.394 -176.6555
95.947272 86.403 -176.4113
96.313483 86.414 -176.1515
96.679694 86.425 -175.9293
97.045905 86.428 -175.7945
97.412116 86.419 -175.7782
97.778327 86.393 -175.8830
98.144538 86.348 -176.0808
98.510749 86.287 -176.3214
98.876960 86.216 -176.5476
99.243170 86.145 -176.7131
99.609381 86.081 -176.7941
99.975592 86.032 -176.7921
100.341803 85.998 -176.7278
100.708014 85.981 -176.6301
101.074225 85.975 -176.5270
101.440436 85.978 -176.4412
101.806647 85.989 -176.3904
102.172858 86.008 -176.3900
102.539069 86.038 -176.4528
102.905280 86.081 -176.5866
103.271491 86.137 -176.7907
103.637702 86.205 -177.0537
104.003913 86.282 -177.3555
104.370124 86.364 -177.6723
104.736335 86.445 -177.9817
105.102546 86.518 -178.2669
105.468757 86.578 -178.5178
105.834968 86.620 -178.7308
106.201179 86.642 -178.9083
106.567390 86.643 -179.0585
106.933601 86.626 -179.1941
107.299812 86.592 -179.3291
107.666023 86.545 -179.4735
108.032234 86.486 -179.6280
108.398445 86.419 -179.7811
108.764656 86.344 -179.9118
109.130867 86.266 -179.9958
109.497078 86.189 179.9854
109.863289 86.117 -179.9610
110.229500 86.057 -179.8415
110.595710 86.013 -179.6712
110.961921 85.987 -179.4680
111.328132 85.982 -179.2462
111.694343 85.995 -179.0136
112.060554 86.026 -178.7734
112.426765 86.069 -178.5273
112.792976 86.121 -178.2800
113.159187 86.176 -178.0408
113.525398 86.228 -177.8234
113.891609 86.274 -177.6426
114.257820 86.309 -177.5108
114.624031 86.334 -177.4342
114.990242 86.351 -177.4108
115.356453 86.362 -177.4299
115.722664 86.374 -177.4737
116.088875 86.389 -177.5192
116.455086 86.412 -177.5413
116.821297 86.441 -177.5159
117.187508 86.477 -177.4227
117.553719 86.515 -177.2508
117.919930 86.555 -177.0042
118.286141 86.596 -176.7102
118.652352 86.641 -176.4235
119.018563 86.691 -176.2234
119.384774 86.748 -176.1994
119.750985 86.810 -176.4262
120.117196 86.871 -176.9348
120.483407 86.925 -177.6920
120.849618 86.964 -178.5972
121.215829 86.986 -179.5023
121.582040 86.991 179.7507
121.948250 86.985 179.2883
122.314461 86.973 179.1726
122.680672 86.957 179.3898
123.046883 86.937 179.8610
123.413094 86.909 -179.5309
123.779305 86.864 -178.9089
124.145516 86.795 -178.3745
124.511727 86.698 -177.9915
124.877938 86.570 -177.7805
125.244149 86.417 -177.7224
125.610360 86.246 -177.7677
125.976571 86.067 -177.8484
126.342782 85.892 -177.8923
126.708993 85.734 -177.8356
127.075204 85.602 -177.6338
127.441415 85.503 -177.2686
127.807626 85.442 -176.7498
128.173837 85.419 -176.1126
128.540048 85.430 -175.4104
128.906259 85.470 -174.7048
129.272470 85.530 -174.0540
129.638681 85.600 -173.5022
130.004892 85.671 -173.0724
130.371103 85.733 -172.7648
130.737314 85.781 -172.5618
131.103525 85.812 -172.4371
131.469736 85.826 -172.3671
131.835947 85.826 -172.3386
132.202158 85.818 -172.3521
132.568369 85.807 -172.4184
132.934579 85.797 -172.5519
133.300790 85.790 -172.7633
133.667001 85.788 -173.0540
134.033212 85.791 -173.4156
134.399423 85.798 -173.8317
134.765634 85.807 -174.2827
135.131845 85.817 -174.7501
135.498056 85.829 -175.2188
135.864267 85.841 -175.6772
136.230478 85.857 -176.1165
136.596689 85.875 -176.5275
136.962900 85.898 -176.8998
137.329111 85.925 -177.2203
137.695322 85.956 -177.4742
138.061533 85.987 -177.6467
138.427744 86.016 -177.7255
138.793955 86.039 -177.7038
139.160166 86.054 -177.5829
139.526377 86.059 -177.3741
139.892588 86.053 -177.0993
140.258799 86.038 -176.7887
140.625010 86.016 -176.4777
140.991221 85.988 -176.2013
141.357432 85.957 -175.9880
141.723643 85.924 -175.8554
142.089854 85.888 -175.8070
142.456065 85.849 -175.8321
142.822276 85.806 -175.9084
143.188487 85.759 -176.0066
143.554698 85.707 -176.0961
143.920909 85.654 -176.1503
144.287119 85.602 -176.1506
144.653330 85.556 -176.0889
145.019541 85.519 -175.9669
145.385752 85.495 -175.7937
145.751963 85.485 -175.5826
146.118174 85.490 -175.3481
146.484385 85.507 -175.1030
146.850596 85.536 -174.8582
147.216807 85.572 -174.6228
147.583018 85.614 -174.4055
147.949229 85.661 -174.2144
148.315440 85.711 -174.0569
148.681651 85.764 -173.9381
149.047862 85.820 -173.8591
149.414073 85.879 -173.8154
149.780284 85.939 -173.7973
150.146495 86.001 -173.7913
150.512706 86.062 -173.7827
150.878917 86.121 -173.7596
151.245128 86.176 -173.7153
151.611339 86.224 -173.6507
151.977550 86.265 -173.5736
152.343761 86.296 -173.4975
152.709972 86.317 -173.4384
153.076183 86.327 -173.4108
153.442394 86.328 -173.4252
153.808605 86.319 -173.4858
154.174816 86.302 -173.5898
154.541027 86.280 -173.7290
154.907238 86.254 -173.8918
155.273448 86.226 -174.0657
155.639659 86.199 -174.2397
156.005870 86.174 -174.4053
156.372081 86.152 -174.5573
156.738292 86.133 -174.6922
157.104503 86.117 -174.8072
157.470714 86.103 -174.8992
157.836925 86.089 -174.9637
158.203136 86.076 -174.9954
158.569347 86.063 -174.9885
158.935558 86.048 -174.9391
159.301769 86.033 -174.8457
159.667980 86.018 -174.7113
160.034191 86.004 -174.5434
160.400402 85.992 -174.3539
160.766613 85.983 -174.1576
161.132824 85.979 -173.9710
161.499035 85.979 -173.8097
161.865246 85.984 -173.6866
162.231457 85.992 -173.6104
162.597668 86.002 -173.5847
