* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 9:06:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Blessing2 L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.040 15.2673
20.507813 94.021 15.4471
20.874023 93.993 15.6270
21.240234 93.982 15.7091
21.606445 93.989 15.6746
21.972656 94.007 15.5672
22.338867 94.036 15.4351
22.705078 94.062 15.3996
23.071289 94.079 15.5170
23.437500 94.091 15.7718
23.803711 94.095 16.1195
24.169922 94.091 16.4739
24.536133 94.081 16.7640
24.902344 94.062 16.9589
25.268555 94.042 17.0479
25.634766 94.024 17.0765
26.000977 94.010 17.0988
26.367188 94.003 17.1318
26.733399 94.001 17.2384
27.099610 94.002 17.4178
27.465821 94.002 17.6369
27.832032 93.999 17.9007
28.198243 93.992 18.1563
28.564454 93.979 18.3779
28.930665 93.961 18.5713
29.296876 93.942 18.7280
29.663087 93.923 18.8885
30.029298 93.908 19.0769
30.395509 93.904 19.2814
30.761720 93.906 19.5123
31.127931 93.913 19.7433
31.494142 93.919 19.9515
31.860353 93.920 20.1464
32.226563 93.916 20.3380
32.592774 93.905 20.5441
32.958985 93.892 20.7804
33.325196 93.883 21.0374
33.691407 93.878 21.3166
34.057618 93.878 21.5977
34.423829 93.879 21.8528
34.790040 93.877 22.0970
35.156251 93.870 22.3368
35.522462 93.856 22.5875
35.888673 93.841 22.8672
36.254884 93.828 23.1557
36.621095 93.820 23.4375
36.987306 93.816 23.6993
37.353517 93.815 23.9241
37.719728 93.811 24.1431
38.085939 93.804 24.3743
38.452150 93.794 24.6225
38.818361 93.782 24.8991
39.184572 93.770 25.1871
39.550783 93.756 25.4757
39.916994 93.740 25.7668
40.283205 93.723 26.0542
40.649416 93.706 26.3486
41.015627 93.693 26.6540
41.381838 93.684 26.9623
41.748049 93.682 27.2663
42.114260 93.685 27.5467
42.480471 93.690 27.7848
42.846682 93.693 27.9893
43.212893 93.690 28.1651
43.579103 93.680 28.3315
43.945314 93.666 28.5055
44.311525 93.651 28.6803
44.677736 93.639 28.8499
45.043947 93.630 29.0086
45.410158 93.622 29.1612
45.776369 93.613 29.3464
46.142580 93.606 29.5774
46.508791 93.600 29.8345
46.875002 93.594 30.0772
47.241213 93.578 30.2676
47.607424 93.548 30.4168
47.973635 93.506 30.5792
48.339846 93.468 30.8035
48.706057 93.450 31.0762
49.072268 93.460 31.3152
49.438479 93.489 31.4360
49.804690 93.511 31.4773
50.170901 93.507 31.5862
50.537112 93.475 31.9533
50.903323 93.438 32.6689
51.269534 93.430 33.6013
51.635745 93.466 34.4450
52.001956 93.529 34.8935
52.368167 93.581 34.8300
52.734378 93.591 34.3983
53.100589 93.555 33.8751
53.466800 93.497 33.5090
53.833011 93.451 33.4034
54.199222 93.440 33.4832
54.565432 93.460 33.6007
54.931643 93.490 33.6637
55.297854 93.508 33.6794
55.664065 93.504 33.7142
56.030276 93.487 33.8048
56.396487 93.469 33.9171
56.762698 93.457 33.9934
57.128909 93.448 33.9927
57.495120 93.438 33.9335
57.861331 93.426 33.8786
58.227542 93.412 33.8727
58.593753 93.402 33.9195
58.959964 93.396 33.9875
59.326175 93.389 34.0404
59.692386 93.378 34.0690
60.058597 93.362 34.0841
60.424808 93.344 34.0964
60.791019 93.329 34.1125
61.157230 93.318 34.1241
61.523441 93.309 34.1293
61.889652 93.302 34.1394
62.255863 93.294 34.1583
62.622074 93.285 34.1871
62.988285 93.275 34.2137
63.354496 93.266 34.2328
63.720707 93.254 34.2335
64.086918 93.239 34.2275
64.453129 93.223 34.2269
64.819340 93.211 34.2505
65.185551 93.206 34.2863
65.551762 93.205 34.3186
65.917972 93.206 34.3418
66.284183 93.202 34.3599
66.650394 93.193 34.3834
67.016605 93.181 34.4176
67.382816 93.168 34.4527
67.749027 93.156 34.4820
68.115238 93.145 34.4991
68.481449 93.133 34.5105
68.847660 93.120 34.5359
69.213871 93.106 34.5914
69.580082 93.094 34.6791
69.946293 93.086 34.7828
70.312504 93.082 34.8700
70.678715 93.079 34.9198
71.044926 93.075 34.9237
71.411137 93.065 34.8912
71.777348 93.050 34.8504
72.143559 93.033 34.8249
72.509770 93.015 34.8247
72.875981 93.001 34.8435
73.242192 92.990 34.8656
73.608403 92.983 34.8756
73.974614 92.975 34.8720
74.340825 92.965 34.8606
74.707036 92.955 34.8643
75.073247 92.946 34.8930
75.439458 92.938 34.9422
75.805669 92.933 34.9978
76.171880 92.929 35.0420
76.538091 92.922 35.0643
76.904301 92.910 35.0669
77.270512 92.892 35.0621
77.636723 92.873 35.0673
78.002934 92.857 35.0909
78.369145 92.849 35.1162
78.735356 92.848 35.1336
79.101567 92.850 35.1300
79.467778 92.848 35.1141
79.833989 92.836 35.1155
80.200200 92.816 35.1602
80.566411 92.795 35.2455
80.932622 92.779 35.3297
81.298833 92.770 35.3562
81.665044 92.766 35.3020
82.031255 92.760 35.2018
82.397466 92.754 35.1266
82.763677 92.749 35.1228
83.129888 92.748 35.1771
83.496099 92.748 35.2300
83.862310 92.739 35.2381
84.228521 92.714 35.2119
84.594732 92.676 35.2085
84.960943 92.644 35.2610
85.327154 92.634 35.3188
85.693365 92.652 35.2914
86.059576 92.681 35.1454
86.425787 92.694 34.9865
86.791998 92.676 34.9997
87.158209 92.641 35.3106
87.524420 92.616 35.8235
87.890631 92.614 36.2141
88.256841 92.611 36.1250
88.623052 92.563 35.4528
88.989263 92.438 34.4482
89.355474 92.248 33.6021
89.721685 92.060 33.3600
90.087896 91.965 33.8281
90.454107 92.020 34.6498
90.820318 92.200 35.2841
91.186529 92.414 35.4293
91.552740 92.570 35.1880
91.918951 92.625 34.8912
92.285162 92.594 34.8280
92.651373 92.526 35.0626
93.017584 92.471 35.4207
93.383795 92.447 35.6444
93.750006 92.443 35.6104
94.116217 92.439 35.3875
94.482428 92.427 35.1545
94.848639 92.411 35.0617
95.214850 92.400 35.1392
95.581061 92.396 35.3135
95.947272 92.395 35.4884
96.313483 92.388 35.6146
96.679694 92.374 35.6775
97.045905 92.359 35.6813
97.412116 92.350 35.6191
97.778327 92.347 35.5157
98.144538 92.348 35.4049
98.510749 92.347 35.3340
98.876960 92.342 35.3311
99.243170 92.334 35.3934
99.609381 92.323 35.4804
99.975592 92.310 35.5409
100.341803 92.293 35.5375
100.708014 92.272 35.4803
101.074225 92.252 35.3953
101.440436 92.237 35.3084
101.806647 92.230 35.2331
102.172858 92.228 35.1717
102.539069 92.227 35.1306
102.905280 92.223 35.1259
103.271491 92.211 35.1759
103.637702 92.195 35.2802
104.003913 92.178 35.4195
104.370124 92.166 35.5534
104.736335 92.157 35.6500
105.102546 92.152 35.6853
105.468757 92.146 35.6579
105.834968 92.136 35.5904
106.201179 92.121 35.5221
106.567390 92.102 35.4899
106.933601 92.082 35.5164
107.299812 92.067 35.5954
107.666023 92.063 35.7050
108.032234 92.070 35.7916
108.398445 92.085 35.7938
108.764656 92.098 35.6745
109.130867 92.097 35.4510
109.497078 92.074 35.1973
109.863289 92.030 35.0154
110.229500 91.978 34.9821
110.595710 91.936 35.0937
110.961921 91.919 35.2624
111.328132 91.928 35.3657
111.694343 91.950 35.3209
112.060554 91.968 35.1334
112.426765 91.968 34.8905
112.792976 91.951 34.7079
113.159187 91.925 34.6688
113.525398 91.903 34.7885
113.891609 91.893 35.0179
114.257820 91.895 35.2768
114.624031 91.903 35.4912
114.990242 91.910 35.6171
115.356453 91.908 35.6324
115.722664 91.895 35.5539
116.088875 91.876 35.4058
116.455086 91.854 35.2229
116.821297 91.832 35.0243
117.187508 91.818 34.8554
117.553719 91.813 34.7382
117.919930 91.815 34.6677
118.286141 91.806 34.5563
118.652352 91.794 34.4486
119.018563 91.776 34.3600
119.384774 91.761 34.3625
119.750985 91.739 34.4023
120.117196 91.717 34.4882
120.483407 91.708 34.5986
120.849618 91.719 34.6912
121.215829 91.749 34.6971
121.582040 91.784 34.5809
121.948250 91.805 34.3821
122.314461 91.802 34.2098
122.680672 91.778 34.1761
123.046883 91.753 34.3157
123.413094 91.745 34.5388
123.779305 91.760 34.6788
124.145516 91.785 34.5922
124.511727 91.793 34.2598
124.877938 91.767 33.8027
125.244149 91.702 33.4124
125.610360 91.616 33.2516
125.976571 91.538 33.3621
126.342782 91.489 33.6523
126.708993 91.475 33.9491
127.075204 91.486 34.1185
127.441415 91.502 34.1244
127.807626 91.511 34.0226
128.173837 91.510 33.8994
128.540048 91.504 33.8174
128.906259 91.500 33.7941
129.272470 91.499 33.8166
129.638681 91.499 33.8713
130.004892 91.496 33.9584
130.371103 91.489 34.0841
130.737314 91.479 34.2334
131.103525 91.471 34.3648
131.469736 91.464 34.4243
131.835947 91.455 34.3841
132.202158 91.442 34.2520
132.568369 91.427 34.0633
132.934579 91.414 33.8571
133.300790 91.411 33.6554
133.667001 91.419 33.4631
134.033212 91.436 33.2805
134.399423 91.453 33.1212
134.765634 91.460 33.0070
135.131845 91.451 32.9636
135.498056 91.422 33.0111
135.864267 91.374 33.1671
136.230478 91.317 33.4403
136.596689 91.268 33.8134
136.962900 91.245 34.2027
137.329111 91.258 34.4563
137.695322 91.295 34.4176
138.061533 91.326 34.0465
138.427744 91.319 33.4822
138.793955 91.263 33.0015
139.160166 91.182 32.8577
139.526377 91.124 33.1002
139.892588 91.131 33.4911
140.258799 91.204 33.6513
140.625010 91.294 33.3495
140.991221 91.342 32.6913
141.357432 91.318 32.0498
141.723643 91.237 31.8314
142.089854 91.153 32.2024
142.456065 91.122 32.9518
142.822276 91.155 33.6295
143.188487 91.215 33.8809
143.554698 91.244 33.6799
143.920909 91.214 33.2854
144.287119 91.139 33.0221
144.653330 91.060 33.0755
145.019541 91.019 33.3867
145.385752 91.024 33.7445
145.751963 91.053 33.9635
146.118174 91.070 34.0159
146.484385 91.052 33.9964
146.850596 91.005 34.0114
147.216807 90.949 34.0843
147.583018 90.908 34.1517
147.949229 90.894 34.1223
148.315440 90.909 33.9500
148.681651 90.945 33.6448
149.047862 90.991 33.2566
149.414073 91.035 32.8279
149.780284 91.064 32.3809
150.146495 91.065 31.9224
150.512706 91.025 31.4826
150.878917 90.941 31.1455
151.245128 90.824 31.0480
151.611339 90.705 31.3265
151.977550 90.631 32.0102
152.343761 90.643 32.9273
152.709972 90.750 33.7278
153.076183 90.911 34.0767
153.442394 91.054 33.8643
153.808605 91.114 33.2757
154.174816 91.066 32.6840
154.541027 90.937 32.4589
154.907238 90.796 32.7535
155.273448 90.720 33.3705
155.639659 90.740 33.8767
156.005870 90.825 33.9146
156.372081 90.912 33.4621
156.738292 90.951 32.7950
157.104503 90.933 32.2845
157.470714 90.881 32.1643
157.836925 90.836 32.4196
158.203136 90.823 32.8180
158.569347 90.844 33.0817
158.935558 90.883 33.0449
159.301769 90.921 32.6958
159.667980 90.947 32.1176
160.034191 90.948 31.4530
160.400402 90.915 30.8939
160.766613 90.843 30.6877
161.132824 90.751 31.0341
161.499035 90.684 31.9284
161.865246 90.684 33.0366
162.231457 90.755 33.8047
162.597668 90.847 33.8003
162.963879 90.888 33.0043
163.330090 90.835 31.8207
163.696301 90.699 30.8584
164.062512 90.549 30.6019
164.428723 90.474 31.0962
164.794934 90.526 31.8977
165.161145 90.675 32.3973
165.527356 90.829 32.2827
165.893567 90.906 31.6719
166.259778 90.880 30.9334
166.625988 90.784 30.4107
166.992199 90.685 30.2175
167.358410 90.636 30.2168
167.724621 90.641 30.1958
168.090832 90.670 30.0812
168.457043 90.683 29.9894
168.823254 90.670 30.0955
169.189465 90.645 30.4317
169.555676 90.631 30.8092
169.921887 90.634 30.9360
170.288098 90.638 30.6562
170.654309 90.626 30.0704
171.020520 90.596 29.4888
171.386731 90.573 29.2158
171.752942 90.582 29.3440
172.119153 90.627 29.6857
172.485364 90.672 29.9471
172.851575 90.667 29.9696
