* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 9:07:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Blessing2 R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 93.873 10.5199
20.507813 93.847 10.5046
20.874023 93.802 10.4649
21.240234 93.765 10.3105
21.606445 93.744 10.0258
21.972656 93.737 9.6482
22.338867 93.753 9.2163
22.705078 93.775 8.8494
23.071289 93.800 8.6134
23.437500 93.827 8.5107
23.803711 93.848 8.5170
24.169922 93.861 8.5623
24.536133 93.864 8.5844
24.902344 93.857 8.5509
25.268555 93.845 8.4383
25.634766 93.832 8.2704
26.000977 93.823 8.0778
26.367188 93.819 7.8631
26.733399 93.818 7.6912
27.099610 93.818 7.5780
27.465821 93.816 7.5097
27.832032 93.813 7.5010
28.198243 93.810 7.4934
28.564454 93.805 7.4467
28.930665 93.792 7.3536
29.296876 93.776 7.2027
29.663087 93.754 7.0401
30.029298 93.731 6.8988
30.395509 93.715 6.7746
30.761720 93.705 6.6840
31.127931 93.699 6.6071
31.494142 93.698 6.5275
31.860353 93.696 6.4549
32.226563 93.696 6.3889
32.592774 93.697 6.3265
32.958985 93.697 6.2630
33.325196 93.699 6.1828
33.691407 93.699 6.1014
34.057618 93.696 6.0257
34.423829 93.690 5.9510
34.790040 93.681 5.8985
35.156251 93.670 5.8611
35.522462 93.659 5.8337
35.888673 93.649 5.8211
36.254884 93.642 5.8030
36.621095 93.638 5.7722
36.987306 93.636 5.7217
37.353517 93.636 5.6331
37.719728 93.632 5.5329
38.085939 93.622 5.4387
38.452150 93.607 5.3611
38.818361 93.590 5.3192
39.184572 93.576 5.2970
39.550783 93.565 5.2768
39.916994 93.556 5.2517
40.283205 93.550 5.2118
40.649416 93.545 5.1714
41.015627 93.540 5.1403
41.381838 93.536 5.1143
41.748049 93.533 5.0897
42.114260 93.529 5.0555
42.480471 93.525 5.0063
42.846682 93.519 4.9602
43.212893 93.512 4.9185
43.579103 93.505 4.8855
43.945314 93.498 4.8658
44.311525 93.492 4.8552
44.677736 93.486 4.8599
45.043947 93.480 4.8733
45.410158 93.474 4.8684
45.776369 93.468 4.8372
46.142580 93.458 4.7729
46.508791 93.445 4.6962
46.875002 93.429 4.6496
47.241213 93.417 4.6547
47.607424 93.415 4.6979
47.973635 93.423 4.7348
48.339846 93.434 4.7284
48.706057 93.433 4.6880
49.072268 93.412 4.6664
49.438479 93.377 4.7071
49.804690 93.345 4.8130
50.170901 93.329 4.8841
50.537112 93.331 4.7885
50.903323 93.335 4.4653
51.269534 93.321 3.9852
51.635745 93.281 3.5448
52.001956 93.227 3.3490
52.368167 93.184 3.4815
52.734378 93.175 3.8631
53.100589 93.204 4.2859
53.466800 93.252 4.5596
53.833011 93.288 4.6321
54.199222 93.296 4.5774
54.565432 93.275 4.5205
54.931643 93.242 4.5430
55.297854 93.216 4.6347
55.664065 93.207 4.7307
56.030276 93.212 4.7705
56.396487 93.221 4.7422
56.762698 93.223 4.6942
57.128909 93.216 4.6723
57.495120 93.202 4.6918
57.861331 93.186 4.7379
58.227542 93.168 4.7744
58.593753 93.149 4.7814
58.959964 93.130 4.7625
59.326175 93.112 4.7331
59.692386 93.098 4.7116
60.058597 93.087 4.7067
60.424808 93.080 4.7180
60.791019 93.074 4.7496
61.157230 93.065 4.7966
61.523441 93.052 4.8512
61.889652 93.035 4.9057
62.255863 93.013 4.9445
62.622074 92.989 4.9664
62.988285 92.968 4.9754
63.354496 92.955 4.9858
63.720707 92.950 4.9917
64.086918 92.954 4.9942
64.453129 92.963 4.9971
64.819340 92.972 5.0301
65.185551 92.981 5.1084
65.551762 92.987 5.2355
65.917972 92.990 5.3932
66.284183 92.989 5.5391
66.650394 92.982 5.6295
67.016605 92.969 5.6426
67.382816 92.949 5.5851
67.749027 92.923 5.4972
68.115238 92.899 5.4151
68.481449 92.883 5.3560
68.847660 92.879 5.3158
69.213871 92.885 5.2763
69.580082 92.892 5.2275
69.946293 92.893 5.1797
70.312504 92.884 5.1541
70.678715 92.864 5.1793
71.044926 92.839 5.2607
71.411137 92.814 5.3745
71.777348 92.796 5.4838
72.143559 92.786 5.5503
72.509770 92.781 5.5582
72.875981 92.777 5.5230
73.242192 92.770 5.4843
73.608403 92.761 5.4807
73.974614 92.751 5.5334
74.340825 92.743 5.6283
74.707036 92.739 5.7402
75.073247 92.736 5.8320
75.439458 92.731 5.8804
75.805669 92.721 5.8871
76.171880 92.706 5.8719
76.538091 92.686 5.8590
76.904301 92.667 5.8641
77.270512 92.651 5.8884
77.636723 92.639 5.9261
78.002934 92.633 5.9682
78.369145 92.631 5.9968
78.735356 92.632 6.0138
79.101567 92.632 6.0162
79.467778 92.628 6.0099
79.833989 92.619 6.0094
80.200200 92.604 6.0303
80.566411 92.584 6.0799
80.932622 92.564 6.1485
81.298833 92.544 6.2105
81.665044 92.527 6.2415
82.031255 92.514 6.2309
82.397466 92.504 6.1890
82.763677 92.497 6.1355
83.129888 92.490 6.0997
83.496099 92.480 6.1157
83.862310 92.467 6.2167
84.228521 92.454 6.4068
84.594732 92.443 6.6470
84.960943 92.435 6.8503
85.327154 92.426 6.9156
85.693365 92.410 6.8066
86.059576 92.382 6.5859
86.425787 92.348 6.3964
86.791998 92.328 6.3566
87.158209 92.341 6.4893
87.524420 92.389 6.7072
87.890631 92.445 6.9133
88.256841 92.467 7.1140
88.623052 92.430 7.4653
88.989263 92.342 8.1516
89.355474 92.249 9.1946
89.721685 92.207 10.3025
90.087896 92.239 10.9844
90.454107 92.314 10.8664
90.820318 92.374 9.9641
91.186529 92.381 8.6609
91.552740 92.332 7.4927
91.918951 92.265 6.8673
92.285162 92.230 6.8573
92.651373 92.252 7.1969
93.017584 92.311 7.5179
93.383795 92.359 7.6223
93.750006 92.359 7.5776
94.116217 92.308 7.5694
94.482428 92.242 7.7138
94.848639 92.201 7.9549
95.214850 92.203 8.1158
95.581061 92.232 8.0663
95.947272 92.257 7.8428
96.313483 92.257 7.6229
96.679694 92.232 7.5708
97.045905 92.202 7.7273
97.412116 92.184 7.9747
97.778327 92.176 8.1630
98.144538 92.169 8.1980
98.510749 92.150 8.1075
98.876960 92.118 7.9945
99.243170 92.085 7.9592
99.609381 92.067 8.0251
99.975592 92.069 8.1398
100.341803 92.087 8.2233
100.708014 92.104 8.2491
101.074225 92.109 8.2411
101.440436 92.098 8.2503
101.806647 92.078 8.3104
102.172858 92.057 8.4089
102.539069 92.043 8.4985
102.905280 92.035 8.5314
103.271491 92.029 8.4961
103.637702 92.015 8.4238
104.003913 91.991 8.3769
104.370124 91.964 8.4018
104.736335 91.943 8.5042
105.102546 91.936 8.6236
105.468757 91.940 8.6757
105.834968 91.946 8.6155
106.201179 91.942 8.4801
106.567390 91.922 8.3674
106.933601 91.894 8.3728
107.299812 91.874 8.5135
107.666023 91.875 8.7224
108.032234 91.894 8.8763
108.398445 91.915 8.8920
108.764656 91.919 8.7873
109.130867 91.896 8.6674
109.497078 91.855 8.6463
109.863289 91.816 8.7634
110.229500 91.796 8.9548
110.595710 91.798 9.0965
110.961921 91.810 9.1034
111.328132 91.815 8.9938
111.694343 91.802 8.8727
112.060554 91.773 8.8593
112.426765 91.745 9.0091
112.792976 91.733 9.2781
113.159187 91.743 9.5518
113.525398 91.768 9.7175
113.891609 91.790 9.7301
114.257820 91.793 9.6305
114.624031 91.773 9.5141
114.990242 91.733 9.4784
115.356453 91.689 9.5601
115.722664 91.658 9.7363
116.088875 91.647 9.9201
116.455086 91.654 10.0306
116.821297 91.662 10.0317
117.187508 91.659 9.9991
117.553719 91.645 10.0378
117.919930 91.624 10.2115
118.286141 91.598 10.4304
118.652352 91.585 10.6590
119.018563 91.586 10.8080
119.384774 91.595 10.8873
119.750985 91.591 10.8554
120.117196 91.569 10.7890
120.483407 91.540 10.7469
120.849618 91.519 10.7439
121.215829 91.512 10.7332
121.582040 91.514 10.6723
121.948250 91.513 10.5793
122.314461 91.500 10.5377
122.680672 91.477 10.6416
123.046883 91.456 10.9292
123.413094 91.453 11.3422
123.779305 91.472 11.7530
124.145516 91.508 12.0195
124.511727 91.545 12.0557
124.877938 91.565 11.8640
125.244149 91.555 11.5262
125.610360 91.515 11.1763
125.976571 91.453 10.9484
126.342782 91.387 10.9338
126.708993 91.336 11.1327
127.075204 91.313 11.4672
127.441415 91.321 11.8098
127.807626 91.348 12.0440
128.173837 91.376 12.1077
128.540048 91.389 12.0127
128.906259 91.375 11.8307
129.272470 91.335 11.6644
129.638681 91.279 11.6126
130.004892 91.223 11.7325
130.371103 91.187 12.0120
130.737314 91.183 12.3582
131.103525 91.210 12.6378
131.469736 91.250 12.7422
131.835947 91.282 12.6542
132.202158 91.285 12.4487
132.568369 91.256 12.2491
132.934579 91.206 12.1620
133.300790 91.153 12.2257
133.667001 91.114 12.4028
134.033212 91.098 12.6158
134.399423 91.099 12.8038
134.765634 91.110 12.9404
135.131845 91.124 13.0259
135.498056 91.134 13.0590
135.864267 91.134 13.0379
136.230478 91.116 12.9859
136.596689 91.076 12.9788
136.962900 91.024 13.1166
137.329111 90.980 13.4518
137.695322 90.967 13.9111
138.061533 90.994 14.3108
138.427744 91.045 14.4665
138.793955 91.086 14.3359
139.160166 91.089 14.0539
139.526377 91.051 13.8525
139.892588 91.000 13.9009
140.258799 90.975 14.1715
140.625010 90.995 14.4389
140.991221 91.043 14.4620
141.357432 91.079 14.1854
141.723643 91.069 13.7929
142.089854 91.012 13.5661
142.456065 90.943 13.6728
142.822276 90.906 14.0277
143.188487 90.914 14.3492
143.554698 90.942 14.4064
143.920909 90.944 14.2315
144.287119 90.895 14.0984
144.653330 90.815 14.3149
145.019541 90.756 14.9477
145.385752 90.757 15.7255
145.751963 90.812 16.2218
146.118174 90.870 16.2075
146.484385 90.879 15.8094
146.850596 90.827 15.3871
147.216807 90.751 15.2585
147.583018 90.709 15.4715
147.949229 90.740 15.7711
148.315440 90.826 15.8237
148.681651 90.909 15.4860
149.047862 90.930 14.9044
149.414073 90.862 14.3943
149.780284 90.719 14.2691
150.146495 90.546 14.6930
150.512706 90.401 15.6183
150.878917 90.332 16.7962
151.245128 90.358 17.8606
151.611339 90.462 18.4659
151.977550 90.595 18.4294
152.343761 90.700 17.8181
152.709972 90.731 16.9260
153.076183 90.684 16.1589
153.442394 90.593 15.8435
153.808605 90.523 16.0341
154.174816 90.522 16.4507
154.541027 90.584 16.6876
154.907238 90.655 16.5554
155.273448 90.679 16.2308
155.639659 90.639 16.1196
156.005870 90.571 16.5332
156.372081 90.535 17.4196
156.738292 90.565 18.3367
157.104503 90.631 18.7959
157.470714 90.662 18.6347
157.836925 90.607 18.1074
158.203136 90.467 17.6648
158.569347 90.297 17.6590
158.935558 90.178 18.1197
159.301769 90.159 18.7588
159.667980 90.234 19.2188
160.034191 90.356 19.3571
160.400402 90.481 19.2757
160.766613 90.588 19.1646
161.132824 90.682 19.1053
161.499035 90.767 19.0336
161.865246 90.835 18.8340
162.231457 90.868 18.4702
162.597668 90.854 18.0259
162.963879 90.796 17.6472
163.330090 90.713 17.4459
163.696301 90.625 17.4489
164.062512 90.544 17.6156
164.428723 90.470 17.8967
164.794934 90.404 18.2890
165.161145 90.354 18.7854
165.527356 90.327 19.3234
165.893567 90.328 19.7835
166.259778 90.345 20.0813
166.625988 90.362 20.2470
166.992199 90.369 20.4098
167.358410 90.375 20.6973
167.724621 90.395 21.1167
168.090832 90.439 21.5157
168.457043 90.497 21.6783
168.823254 90.543 21.4932
169.189465 90.552 21.0286
169.555676 90.520 20.4874
169.921887 90.461 20.0857
170.288098 90.402 19.9524
170.654309 90.353 20.0841
171.020520 90.310 20.4190
171.386731 90.259 20.8994
171.752942 90.196 21.4676
172.119153 90.135 21.9793
172.485364 90.095 22.1969
172.851575 90.086 21.9278
