* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 16, 2023 4:00:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Blessing2 Oracle R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 88.811 15.1154
20.507813 88.819 14.9816
20.874023 88.842 14.6438
21.240234 88.867 14.3536
21.606445 88.891 14.1474
21.972656 88.912 14.0005
22.338867 88.925 13.8968
22.705078 88.927 13.8098
23.071289 88.917 13.7047
23.437500 88.899 13.5511
23.803711 88.877 13.3340
24.169922 88.859 13.0597
24.536133 88.848 12.7522
24.902344 88.847 12.4440
25.268555 88.855 12.1660
25.634766 88.867 11.9373
26.000977 88.878 11.7606
26.367188 88.881 11.6264
26.733399 88.874 11.5205
27.099610 88.856 11.4273
27.465821 88.832 11.3312
27.832032 88.807 11.2173
28.198243 88.787 11.0725
28.564454 88.773 10.8905
28.930665 88.763 10.6800
29.296876 88.753 10.4671
29.663087 88.741 10.2867
30.029298 88.726 10.1655
30.395509 88.709 10.1082
30.761720 88.694 10.0944
31.127931 88.681 10.0887
31.494142 88.670 10.0596
31.860353 88.658 9.9951
32.226563 88.645 9.9060
32.592774 88.630 9.8159
32.958985 88.614 9.7471
33.325196 88.599 9.7102
33.691407 88.585 9.7017
34.057618 88.573 9.7084
34.423829 88.560 9.7158
34.790040 88.545 9.7157
35.156251 88.528 9.7078
35.522462 88.509 9.6977
35.888673 88.489 9.6925
36.254884 88.469 9.6976
36.621095 88.451 9.7155
36.987306 88.433 9.7464
37.353517 88.416 9.7903
37.719728 88.399 9.8472
38.085939 88.380 9.9153
38.452150 88.360 9.9885
38.818361 88.342 10.0561
39.184572 88.326 10.1058
39.550783 88.311 10.1301
39.916994 88.296 10.1318
40.283205 88.281 10.1250
40.649416 88.263 10.1286
41.015627 88.245 10.1557
41.381838 88.225 10.2073
41.748049 88.206 10.2730
42.114260 88.186 10.3402
42.480471 88.165 10.4037
42.846682 88.143 10.4675
43.212893 88.120 10.5389
43.579103 88.100 10.6212
43.945314 88.081 10.7109
44.311525 88.062 10.8037
44.677736 88.041 10.8997
45.043947 88.017 11.0029
45.410158 87.991 11.1111
45.776369 87.967 11.2057
46.142580 87.947 11.2531
46.508791 87.931 11.2226
46.875002 87.916 11.1114
47.241213 87.895 10.9590
47.607424 87.867 10.8375
47.973635 87.836 10.8197
48.339846 87.807 10.9436
48.706057 87.788 11.1950
49.072268 87.779 11.5177
49.438479 87.777 11.8448
49.804690 87.775 12.1290
50.170901 87.767 12.3551
50.537112 87.751 12.5333
50.903323 87.728 12.6820
51.269534 87.703 12.8145
51.635745 87.679 12.9371
52.001956 87.659 13.0531
52.368167 87.641 13.1678
52.734378 87.625 13.2886
53.100589 87.610 13.4205
53.466800 87.595 13.5632
53.833011 87.580 13.7113
54.199222 87.565 13.8586
54.565432 87.548 14.0020
54.931643 87.530 14.1428
55.297854 87.512 14.2847
55.664065 87.494 14.4308
56.030276 87.476 14.5818
56.396487 87.459 14.7363
56.762698 87.442 14.8919
57.128909 87.425 15.0472
57.495120 87.407 15.2018
57.861331 87.390 15.3565
58.227542 87.372 15.5125
58.593753 87.354 15.6710
58.959964 87.338 15.8331
59.326175 87.322 15.9988
59.692386 87.307 16.1675
60.058597 87.292 16.3373
60.424808 87.277 16.5062
60.791019 87.261 16.6725
61.157230 87.244 16.8354
61.523441 87.226 16.9958
61.889652 87.207 17.1561
62.255863 87.188 17.3191
62.622074 87.169 17.4880
62.988285 87.150 17.6648
63.354496 87.132 17.8498
63.720707 87.115 18.0418
64.086918 87.099 18.2380
64.453129 87.084 18.4351
64.819340 87.070 18.6298
65.185551 87.057 18.8199
65.551762 87.044 19.0048
65.917972 87.031 19.1855
66.284183 87.017 19.3648
66.650394 87.003 19.5457
67.016605 86.988 19.7304
67.382816 86.973 19.9192
67.749027 86.958 20.1105
68.115238 86.943 20.3019
68.481449 86.928 20.4911
68.847660 86.912 20.6772
69.213871 86.896 20.8611
69.580082 86.880 21.0445
69.946293 86.864 21.2290
70.312504 86.848 21.4152
70.678715 86.833 21.6032
71.044926 86.820 21.7925
71.411137 86.806 21.9827
71.777348 86.794 22.1738
72.143559 86.781 22.3661
72.509770 86.769 22.5592
72.875981 86.757 22.7525
73.242192 86.744 22.9449
73.608403 86.732 23.1353
73.974614 86.719 23.3234
74.340825 86.706 23.5094
74.707036 86.692 23.6940
75.073247 86.678 23.8774
75.439458 86.664 24.0588
75.805669 86.650 24.2371
76.171880 86.637 24.4109
76.538091 86.624 24.5796
76.904301 86.611 24.7433
77.270512 86.598 24.9031
77.636723 86.584 25.0605
78.002934 86.570 25.2164
78.369145 86.555 25.3713
78.735356 86.539 25.5250
79.101567 86.522 25.6767
79.467778 86.504 25.8257
79.833989 86.485 25.9717
80.200200 86.467 26.1149
80.566411 86.448 26.2558
80.932622 86.430 26.3955
81.298833 86.414 26.5344
81.665044 86.398 26.6730
82.031255 86.384 26.8112
82.397466 86.371 26.9486
82.763677 86.358 27.0851
83.129888 86.344 27.2206
83.496099 86.331 27.3548
83.862310 86.317 27.4874
84.228521 86.303 27.6177
84.594732 86.289 27.7449
84.960943 86.275 27.8688
85.327154 86.260 27.9897
85.693365 86.247 28.1084
86.059576 86.233 28.2265
86.425787 86.219 28.3452
86.791998 86.205 28.4651
87.158209 86.190 28.5865
87.524420 86.175 28.7087
87.890631 86.159 28.8308
88.256841 86.143 28.9519
88.623052 86.126 29.0715
88.989263 86.110 29.1894
89.355474 86.093 29.3058
89.721685 86.077 29.4215
90.087896 86.061 29.5373
90.454107 86.046 29.6541
90.820318 86.032 29.7727
91.186529 86.017 29.8932
91.552740 86.003 30.0152
91.918951 85.988 30.1377
92.285162 85.974 30.2590
92.651373 85.961 30.3775
93.017584 85.947 30.4915
93.383795 85.935 30.6002
93.750006 85.924 30.7038
94.116217 85.913 30.8036
94.482428 85.903 30.9016
94.848639 85.893 31.0007
95.214850 85.883 31.1031
95.581061 85.872 31.2111
95.947272 85.860 31.3259
96.313483 85.847 31.4477
96.679694 85.833 31.5758
97.045905 85.817 31.7085
97.412116 85.801 31.8435
97.778327 85.786 31.9779
98.144538 85.770 32.1090
98.510749 85.755 32.2348
98.876960 85.740 32.3541
99.243170 85.726 32.4671
99.609381 85.713 32.5748
99.975592 85.700 32.6792
100.341803 85.686 32.7822
100.708014 85.673 32.8852
101.074225 85.660 32.9887
101.440436 85.647 33.0926
101.806647 85.635 33.1962
102.172858 85.623 33.2989
102.539069 85.611 33.4007
102.905280 85.599 33.5022
103.271491 85.587 33.6051
103.637702 85.574 33.7115
104.003913 85.561 33.8238
104.370124 85.548 33.9437
104.736335 85.534 34.0718
105.102546 85.521 34.2073
105.468757 85.507 34.3484
105.834968 85.493 34.4919
106.201179 85.479 34.6350
106.567390 85.465 34.7747
106.933601 85.452 34.9089
107.299812 85.438 35.0365
107.666023 85.425 35.1569
108.032234 85.411 35.2705
108.398445 85.398 35.3779
108.764656 85.385 35.4804
109.130867 85.372 35.5790
109.497078 85.359 35.6749
109.863289 85.346 35.7692
110.229500 85.334 35.8629
110.595710 85.321 35.9569
110.961921 85.308 36.0523
111.328132 85.295 36.1498
111.694343 85.281 36.2500
112.060554 85.267 36.3530
112.426765 85.251 36.4586
112.792976 85.236 36.5665
113.159187 85.219 36.6765
113.525398 85.203 36.7890
113.891609 85.187 36.9049
114.257820 85.171 37.0253
114.624031 85.157 37.1511
114.990242 85.145 37.2823
115.356453 85.134 37.4184
115.722664 85.126 37.5575
116.088875 85.118 37.6971
116.455086 85.111 37.8343
116.821297 85.103 37.9664
117.187508 85.095 38.0917
117.553719 85.084 38.2097
117.919930 85.071 38.3216
118.286141 85.057 38.4305
118.652352 85.041 38.5408
119.018563 85.024 38.6580
119.384774 85.007 38.7868
119.750985 84.991 38.9303
120.117196 84.976 39.0883
120.483407 84.963 39.2568
120.849618 84.952 39.4284
121.215829 84.941 39.5932
121.582040 84.931 39.7412
121.948250 84.921 39.8647
122.314461 84.909 39.9608
122.680672 84.897 40.0316
123.046883 84.883 40.0844
123.413094 84.868 40.1297
123.779305 84.854 40.1789
124.145516 84.840 40.2422
124.511727 84.828 40.3265
124.877938 84.817 40.4351
125.244149 84.806 40.5674
125.610360 84.796 40.7200
125.976571 84.785 40.8871
126.342782 84.772 41.0622
126.708993 84.758 41.2389
127.075204 84.741 41.4113
127.441415 84.724 41.5754
127.807626 84.705 41.7287
128.173837 84.686 41.8705
128.540048 84.668 42.0016
128.906259 84.650 42.1238
129.272470 84.634 42.2396
129.638681 84.620 42.3512
130.004892 84.606 42.4608
130.371103 84.594 42.5698
130.737314 84.582 42.6794
131.103525 84.571 42.7902
131.469736 84.560 42.9030
131.835947 84.549 43.0182
132.202158 84.537 43.1363
132.568369 84.526 43.2578
132.934579 84.514 43.3829
133.300790 84.502 43.5116
133.667001 84.489 43.6436
134.033212 84.477 43.7785
134.399423 84.464 43.9160
134.765634 84.451 44.0558
135.131845 84.438 44.1976
135.498056 84.424 44.3414
135.864267 84.410 44.4867
136.230478 84.396 44.6330
136.596689 84.382 44.7796
136.962900 84.368 44.9256
137.329111 84.355 45.0698
137.695322 84.343 45.2115
138.061533 84.331 45.3503
138.427744 84.320 45.4860
138.793955 84.310 45.6191
139.160166 84.299 45.7500
139.526377 84.289 45.8795
139.892588 84.280 46.0083
140.258799 84.270 46.1369
140.625010 84.260 46.2657
140.991221 84.250 46.3949
141.357432 84.240 46.5245
141.723643 84.229 46.6545
142.089854 84.219 46.7851
142.456065 84.207 46.9164
142.822276 84.196 47.0487
143.188487 84.184 47.1822
143.554698 84.171 47.3172
143.920909 84.159 47.4539
144.287119 84.146 47.5921
144.653330 84.133 47.7317
145.019541 84.119 47.8724
145.385752 84.106 48.0137
145.751963 84.092 48.1556
146.118174 84.079 48.2980
146.484385 84.065 48.4412
146.850596 84.052 48.5854
147.216807 84.038 48.7311
147.583018 84.025 48.8782
147.949229 84.011 49.0267
148.315440 83.998 49.1758
148.681651 83.984 49.3249
149.047862 83.970 49.4729
149.414073 83.956 49.6190
149.780284 83.941 49.7625
150.146495 83.926 49.9036
150.512706 83.911 50.0424
150.878917 83.896 50.1798
151.245128 83.881 50.3169
151.611339 83.867 50.4547
151.977550 83.852 50.5943
152.343761 83.838 50.7364
152.709972 83.824 50.8813
153.076183 83.811 51.0294
153.442394 83.799 51.1804
153.808605 83.786 51.3340
154.174816 83.774 51.4899
154.541027 83.762 51.6478
154.907238 83.750 51.8074
155.273448 83.738 51.9682
155.639659 83.726 52.1301
156.005870 83.714 52.2926
156.372081 83.701 52.4552
156.738292 83.688 52.6177
157.104503 83.675 52.7795
157.470714 83.662 52.9403
157.836925 83.649 53.1000
158.203136 83.636 53.2585
158.569347 83.623 53.4159
158.935558 83.611 53.5723
159.301769 83.599 53.7277
159.667980 83.587 53.8823
160.034191 83.575 54.0360
160.400402 83.564 54.1887
160.766613 83.553 54.3403
161.132824 83.542 54.4908
161.499035 83.531 54.6403
161.865246 83.521 54.7891
162.231457 83.511 54.9375
162.597668 83.501 55.0862
162.963879 83.491 55.2354
163.330090 83.482 55.3857
163.696301 83.472 55.5370
164.062512 83.462 55.6894
164.428723 83.453 55.8425
164.794934 83.443 55.9961
165.161145 83.434 56.1495
165.527356 83.424 56.3026
165.893567 83.414 56.4550
166.259778 83.405 56.6068
166.625988 83.395 56.7577
166.992199 83.385 56.9080
167.358410 83.375 57.0574
167.724621 83.365 57.2061
168.090832 83.354 57.3540
168.457043 83.344 57.5011
168.823254 83.334 57.6475
169.189465 83.323 57.7937
169.555676 83.312 57.9400
169.921887 83.301 58.0870
170.288098 83.289 58.2353
170.654309 83.277 58.3856
171.020520 83.265 58.5384
171.386731 83.253 58.6939
171.752942 83.241 58.8521
172.119153 83.229 59.0128
172.485364 83.217 59.1755
