* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 14, 2023 10:16:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Blessing2 R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 99.708 12.0119
20.507813 99.675 11.9500
20.874023 99.591 11.8264
21.240234 99.520 11.7660
21.606445 99.479 11.6606
21.972656 99.457 11.4255
22.338867 99.436 11.1767
22.705078 99.418 11.1235
23.071289 99.425 11.3533
23.437500 99.478 11.7011
23.803711 99.567 11.8429
24.169922 99.644 11.5568
24.536133 99.659 10.9245
24.902344 99.594 10.2946
25.268555 99.487 10.0243
25.634766 99.407 10.1907
26.000977 99.407 10.5206
26.367188 99.476 10.6275
26.733399 99.549 10.3617
27.099610 99.568 9.9564
27.465821 99.522 9.8361
27.832032 99.460 10.2420
28.198243 99.446 10.9869
28.564454 99.500 11.5687
28.930665 99.575 11.5721
29.296876 99.598 11.0158
29.663087 99.530 10.3565
30.029298 99.401 10.1457
30.395509 99.295 10.5971
30.761720 99.294 11.3987
31.127931 99.405 11.9358
31.494142 99.553 11.7578
31.860353 99.638 10.9113
32.226563 99.604 9.9011
32.592774 99.467 9.3519
32.958985 99.302 9.6124
33.325196 99.207 10.5445
33.691407 99.236 11.6261
34.057618 99.365 12.2942
34.423829 99.517 12.2750
34.790040 99.617 11.6838
35.156251 99.630 10.8854
35.522462 99.561 10.2668
35.888673 99.444 10.0653
36.254884 99.324 10.3082
36.621095 99.240 10.8517
36.987306 99.208 11.4772
37.353517 99.223 11.9903
37.719728 99.264 12.2827
38.085939 99.309 12.3429
38.452150 99.341 12.2300
38.818361 99.352 12.0327
39.184572 99.341 11.8326
39.550783 99.313 11.6830
39.916994 99.276 11.6053
40.283205 99.235 11.5991
40.649416 99.195 11.6557
41.015627 99.160 11.7674
41.381838 99.130 11.9295
41.748049 99.107 12.1369
42.114260 99.093 12.3825
42.480471 99.086 12.6569
42.846682 99.086 12.9514
43.212893 99.091 13.2581
43.579103 99.102 13.5654
43.945314 99.117 13.8537
44.311525 99.138 14.0925
44.677736 99.161 14.2469
45.043947 99.185 14.2907
45.410158 99.204 14.2211
45.776369 99.215 14.0634
46.142580 99.218 13.8621
46.508791 99.215 13.6618
46.875002 99.211 13.4904
47.241213 99.208 13.3535
47.607424 99.202 13.2439
47.973635 99.191 13.1556
48.339846 99.169 13.0915
48.706057 99.136 13.0611
49.072268 99.093 13.0724
49.438479 99.045 13.1265
49.804690 98.996 13.2201
50.170901 98.951 13.3511
50.537112 98.914 13.5196
50.903323 98.885 13.7235
51.269534 98.863 13.9539
51.635745 98.845 14.1964
52.001956 98.824 14.4393
52.368167 98.800 14.6808
52.734378 98.770 14.9252
53.100589 98.742 15.1715
53.466800 98.721 15.4047
53.833011 98.711 15.6023
54.199222 98.711 15.7529
54.565432 98.715 15.8728
54.931643 98.717 15.9993
55.297854 98.715 16.1623
55.664065 98.711 16.3524
56.030276 98.705 16.5134
56.396487 98.696 16.5711
56.762698 98.678 16.4821
57.128909 98.647 16.2692
57.495120 98.604 16.0185
57.861331 98.560 15.8365
58.227542 98.530 15.7977
58.593753 98.528 15.9141
58.959964 98.557 16.1439
59.326175 98.607 16.4273
59.692386 98.664 16.7222
60.058597 98.714 17.0167
60.424808 98.751 17.3175
60.791019 98.773 17.6303
61.157230 98.784 17.9499
61.523441 98.789 18.2652
61.889652 98.789 18.5717
62.255863 98.786 18.8766
62.622074 98.779 19.1912
62.988285 98.770 19.5162
63.354496 98.757 19.8327
63.720707 98.740 20.1071
64.086918 98.715 20.3092
64.453129 98.679 20.4314
64.819340 98.630 20.4966
65.185551 98.573 20.5488
65.551762 98.513 20.6308
65.917972 98.461 20.7621
66.284183 98.423 20.9303
66.650394 98.401 21.0987
67.016605 98.393 21.2273
67.382816 98.392 21.2926
67.749027 98.393 21.2972
68.115238 98.393 21.2655
68.481449 98.393 21.2305
68.847660 98.399 21.2213
69.213871 98.412 21.2571
69.580082 98.433 21.3485
69.946293 98.460 21.5010
70.312504 98.488 21.7172
70.678715 98.510 21.9945
71.044926 98.522 22.3223
71.411137 98.520 22.6805
71.777348 98.503 23.0419
72.143559 98.473 23.3772
72.509770 98.432 23.6603
72.875981 98.387 23.8714
73.242192 98.344 24.0000
73.608403 98.308 24.0466
73.974614 98.284 24.0257
74.340825 98.274 23.9659
74.707036 98.276 23.9086
75.073247 98.287 23.8997
75.439458 98.304 23.9790
75.805669 98.323 24.1680
76.171880 98.339 24.4620
76.538091 98.348 24.8302
76.904301 98.349 25.2237
77.270512 98.339 25.5889
77.636723 98.318 25.8825
78.002934 98.289 26.0814
78.369145 98.258 26.1859
78.735356 98.231 26.2166
79.101567 98.215 26.2062
79.467778 98.212 26.1916
79.833989 98.220 26.2073
80.200200 98.233 26.2801
80.566411 98.245 26.4253
80.932622 98.247 26.6436
81.298833 98.236 26.9198
81.665044 98.212 27.2249
82.031255 98.179 27.5224
82.397466 98.142 27.7788
82.763677 98.109 27.9728
83.129888 98.084 28.1023
83.496099 98.073 28.1836
83.862310 98.072 28.2456
84.228521 98.080 28.3196
84.594732 98.091 28.4304
84.960943 98.098 28.5894
85.327154 98.098 28.7937
85.693365 98.087 29.0292
86.059576 98.067 29.2767
86.425787 98.040 29.5189
86.791998 98.012 29.7455
87.158209 97.986 29.9550
87.524420 97.966 30.1541
87.890631 97.954 30.3534
88.256841 97.949 30.5623
88.623052 97.948 30.7847
88.989263 97.948 31.0167
89.355474 97.947 31.2474
89.721685 97.941 31.4630
90.087896 97.931 31.6515
90.454107 97.917 31.8073
90.820318 97.898 31.9337
91.186529 97.879 32.0424
91.552740 97.858 32.1495
91.918951 97.839 32.2712
92.285162 97.822 32.4189
92.651373 97.806 32.5961
93.017584 97.793 32.7985
93.383795 97.782 33.0161
93.750006 97.773 33.2364
94.116217 97.766 33.4479
94.482428 97.760 33.6437
94.848639 97.756 33.8228
95.214850 97.752 33.9900
95.581061 97.747 34.1542
95.947272 97.741 34.3259
96.313483 97.733 34.5139
96.679694 97.722 34.7227
97.045905 97.709 34.9521
97.412116 97.694 35.1973
97.778327 97.678 35.4510
98.144538 97.663 35.7050
98.510749 97.649 35.9522
98.876960 97.638 36.1871
99.243170 97.629 36.4066
99.609381 97.622 36.6099
99.975592 97.616 36.7986
100.341803 97.610 36.9760
100.708014 97.603 37.1469
101.074225 97.594 37.3156
101.440436 97.583 37.4851
101.806647 97.571 37.6562
102.172858 97.557 37.8275
102.539069 97.543 37.9973
102.905280 97.529 38.1643
103.271491 97.516 38.3300
103.637702 97.503 38.4980
104.003913 97.492 38.6739
104.370124 97.482 38.8624
104.736335 97.473 39.0667
105.102546 97.467 39.2863
105.468757 97.462 39.5182
105.834968 97.459 39.7575
106.201179 97.457 39.9986
106.567390 97.455 40.2368
106.933601 97.453 40.4687
107.299812 97.450 40.6927
107.666023 97.446 40.9086
108.032234 97.439 41.1179
108.398445 97.431 41.3234
108.764656 97.420 41.5286
109.130867 97.408 41.7368
109.497078 97.394 41.9499
109.863289 97.381 42.1675
110.229500 97.367 42.3865
110.595710 97.355 42.6017
110.961921 97.345 42.8075
111.328132 97.335 42.9994
111.694343 97.327 43.1756
112.060554 97.320 43.3373
112.426765 97.313 43.4895
112.792976 97.305 43.6392
113.159187 97.295 43.7948
113.525398 97.284 43.9644
113.891609 97.270 44.1545
114.257820 97.255 44.3697
114.624031 97.237 44.6123
114.990242 97.219 44.8822
115.356453 97.201 45.1775
115.722664 97.185 45.4944
116.088875 97.171 45.8273
116.455086 97.160 46.1689
116.821297 97.153 46.5100
117.187508 97.148 46.8400
117.553719 97.143 47.1473
117.919930 97.138 47.4210
118.286141 97.132 47.6522
118.652352 97.123 47.8358
119.018563 97.112 47.9719
119.384774 97.100 48.0662
119.750985 97.088 48.1293
120.117196 97.078 48.1758
120.483407 97.068 48.2218
120.849618 97.060 48.2825
121.215829 97.052 48.3701
121.582040 97.042 48.4922
121.948250 97.029 48.6514
122.314461 97.013 48.8460
122.680672 96.994 49.0715
123.046883 96.974 49.3231
123.413094 96.953 49.5975
123.779305 96.935 49.8947
124.145516 96.921 50.2172
124.511727 96.911 50.5685
124.877938 96.905 50.9501
125.244149 96.901 51.3588
125.610360 96.898 51.7847
125.976571 96.893 52.2117
126.342782 96.887 52.6200
126.708993 96.878 52.9904
127.075204 96.868 53.3083
127.441415 96.857 53.5672
127.807626 96.848 53.7696
128.173837 96.843 53.9261
128.540048 96.842 54.0525
128.906259 96.845 54.1662
129.272470 96.849 54.2821
129.638681 96.854 54.4110
130.004892 96.855 54.5575
130.371103 96.852 54.7215
130.737314 96.843 54.8990
131.103525 96.829 55.0849
131.469736 96.811 55.2748
131.835947 96.790 55.4667
132.202158 96.770 55.6615
132.568369 96.753 55.8628
132.934579 96.739 56.0754
133.300790 96.728 56.3042
133.667001 96.721 56.5519
134.033212 96.717 56.8183
134.399423 96.713 57.1002
134.765634 96.710 57.3912
135.131845 96.706 57.6839
135.498056 96.700 57.9712
135.864267 96.693 58.2480
136.230478 96.685 58.5120
136.596689 96.674 58.7643
136.962900 96.663 59.0082
137.329111 96.651 59.2483
137.695322 96.638 59.4890
138.061533 96.625 59.7334
138.427744 96.612 59.9823
138.793955 96.600 60.2352
139.160166 96.587 60.4898
139.526377 96.575 60.7438
139.892588 96.563 60.9955
140.258799 96.551 61.2444
140.625010 96.540 61.4912
140.991221 96.528 61.7379
141.357432 96.517 61.9866
141.723643 96.506 62.2389
142.089854 96.495 62.4952
142.456065 96.485 62.7543
142.822276 96.476 63.0140
143.188487 96.467 63.2713
143.554698 96.459 63.5233
143.920909 96.450 63.7684
144.287119 96.442 64.0064
144.653330 96.434 64.2390
145.019541 96.426 64.4692
145.385752 96.418 64.7010
145.751963 96.409 64.9388
146.118174 96.399 65.1863
146.484385 96.389 65.4462
146.850596 96.379 65.7196
147.216807 96.367 66.0060
147.583018 96.355 66.3034
147.949229 96.342 66.6082
148.315440 96.328 66.9162
148.681651 96.313 67.2225
149.047862 96.297 67.5227
149.414073 96.281 67.8127
149.780284 96.265 68.0897
150.146495 96.248 68.3519
150.512706 96.232 68.5991
150.878917 96.216 68.8322
151.245128 96.201 69.0533
151.611339 96.187 69.2650
151.977550 96.174 69.4703
152.343761 96.163 69.6723
152.709972 96.153 69.8740
153.076183 96.145 70.0780
153.442394 96.138 70.2864
153.808605 96.133 70.5015
154.174816 96.129 70.7251
154.541027 96.127 70.9588
154.907238 96.125 71.2043
155.273448 96.125 71.4626
155.639659 96.125 71.7343
156.005870 96.126 72.0194
156.372081 96.128 72.3169
156.738292 96.130 72.6250
157.104503 96.131 72.9411
157.470714 96.132 73.2619
157.836925 96.131 73.5844
158.203136 96.128 73.9055
158.569347 96.122 74.2232
158.935558 96.114 74.5364
159.301769 96.102 74.8451
159.667980 96.087 75.1500
160.034191 96.071 75.4523
160.400402 96.054 75.7528
160.766613 96.037 76.0517
161.132824 96.020 76.3479
161.499035 96.006 76.6393
161.865246 95.993 76.9228
162.231457 95.983 77.1951
162.597668 95.975 77.4534
162.963879 95.969 77.6962
163.330090 95.963 77.9241
163.696301 95.957 78.1398
164.062512 95.950 78.3483
164.428723 95.942 78.5561
164.794934 95.933 78.7699
165.161145 95.923 78.9962
165.527356 95.914 79.2395
165.893567 95.905 79.5018
166.259778 95.898 79.7825
166.625988 95.892 80.0784
166.992199 95.888 80.3844
167.358410 95.886 80.6947
167.724621 95.884 81.0039
168.090832 95.882 81.3079
168.457043 95.878 81.6048
168.823254 95.872 81.8943
169.189465 95.862 82.1785
169.555676 95.849 82.4600
169.921887 95.832 82.7420
170.288098 95.812 83.0270
170.654309 95.790 83.3162
171.020520 95.766 83.6095
171.386731 95.742 83.9050
171.752942 95.718 84.1997
172.119153 95.695 84.4899
172.485364 95.673 84.7718
172.851575 95.654 85.0422
