* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 16, 2023 3:57:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Blessing2 Wide L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 86.496 12.5857
20.507813 86.500 12.3904
20.874023 86.511 11.9142
21.240234 86.523 11.5601
21.606445 86.534 11.3991
21.972656 86.545 11.3954
22.338867 86.557 11.5029
22.705078 86.565 11.6436
23.071289 86.563 11.7456
23.437500 86.543 11.7932
23.803711 86.507 11.8283
24.169922 86.470 11.8999
24.536133 86.453 11.9968
24.902344 86.471 12.0289
25.268555 86.519 11.8859
25.634766 86.573 11.5330
26.000977 86.606 11.0694
26.367188 86.600 10.6990
26.733399 86.563 10.6243
27.099610 86.519 10.9256
27.465821 86.493 11.5096
27.832032 86.496 12.1659
28.198243 86.519 12.6916
28.564454 86.540 12.9973
28.930665 86.539 13.1281
29.296876 86.517 13.1984
29.663087 86.485 13.3021
30.029298 86.458 13.4625
30.395509 86.446 13.6428
30.761720 86.448 13.7959
31.127931 86.455 13.9047
31.494142 86.458 13.9885
31.860353 86.455 14.0785
32.226563 86.446 14.1911
32.592774 86.434 14.3178
32.958985 86.421 14.4380
33.325196 86.408 14.5367
33.691407 86.394 14.6128
34.057618 86.382 14.6741
34.423829 86.374 14.7289
34.790040 86.369 14.7819
35.156251 86.369 14.8367
35.522462 86.370 14.8987
35.888673 86.371 14.9763
36.254884 86.369 15.0768
36.621095 86.366 15.2019
36.987306 86.359 15.3453
37.353517 86.351 15.4947
37.719728 86.341 15.6364
38.085939 86.330 15.7608
38.452150 86.318 15.8648
38.818361 86.307 15.9527
39.184572 86.297 16.0336
39.550783 86.289 16.1179
39.916994 86.283 16.2141
40.283205 86.277 16.3278
40.649416 86.271 16.4601
41.015627 86.263 16.6071
41.381838 86.254 16.7589
41.748049 86.245 16.9027
42.114260 86.237 17.0285
42.480471 86.229 17.1352
42.846682 86.223 17.2321
43.212893 86.218 17.3335
43.579103 86.215 17.4493
43.945314 86.213 17.5796
44.311525 86.209 17.7170
44.677736 86.200 17.8550
45.043947 86.184 17.9926
45.410158 86.166 18.1301
45.776369 86.151 18.2569
46.142580 86.146 18.3442
46.508791 86.154 18.3547
46.875002 86.172 18.2684
47.241213 86.189 18.1089
47.607424 86.195 17.9479
47.973635 86.187 17.8808
48.339846 86.167 17.9816
48.706057 86.143 18.2651
49.072268 86.124 18.6795
49.438479 86.111 19.1336
49.804690 86.104 19.5421
50.170901 86.097 19.8594
50.537112 86.087 20.0869
50.903323 86.072 20.2547
51.269534 86.057 20.3959
51.635745 86.045 20.5309
52.001956 86.036 20.6658
52.368167 86.031 20.8014
52.734378 86.027 20.9392
53.100589 86.022 21.0820
53.466800 86.015 21.2300
53.833011 86.007 21.3786
54.199222 85.999 21.5214
54.565432 85.990 21.6558
54.931643 85.981 21.7850
55.297854 85.971 21.9171
55.664065 85.963 22.0588
56.030276 85.954 22.2119
56.396487 85.947 22.3730
56.762698 85.940 22.5371
57.128909 85.932 22.7009
57.495120 85.924 22.8646
57.861331 85.915 23.0297
58.227542 85.908 23.1967
58.593753 85.901 23.3646
58.959964 85.896 23.5316
59.326175 85.891 23.6971
59.692386 85.886 23.8622
60.058597 85.879 24.0292
60.424808 85.871 24.1991
60.791019 85.861 24.3711
61.157230 85.851 24.5423
61.523441 85.842 24.7095
61.889652 85.833 24.8713
62.255863 85.824 25.0286
62.622074 85.817 25.1844
62.988285 85.810 25.3421
63.354496 85.804 25.5046
63.720707 85.797 25.6739
64.086918 85.790 25.8503
64.453129 85.782 26.0335
64.819340 85.773 26.2218
65.185551 85.764 26.4124
65.551762 85.755 26.6017
65.917972 85.747 26.7866
66.284183 85.740 26.9663
66.650394 85.732 27.1420
67.016605 85.725 27.3174
67.382816 85.718 27.4965
67.749027 85.710 27.6822
68.115238 85.703 27.8752
68.481449 85.696 28.0738
68.847660 85.688 28.2750
69.213871 85.681 28.4751
69.580082 85.673 28.6711
69.946293 85.665 28.8608
70.312504 85.658 29.0438
70.678715 85.650 29.2214
71.044926 85.642 29.3964
71.411137 85.633 29.5721
71.777348 85.625 29.7517
72.143559 85.616 29.9367
72.509770 85.608 30.1270
72.875981 85.599 30.3211
73.242192 85.591 30.5169
73.608403 85.582 30.7128
73.974614 85.573 30.9080
74.340825 85.565 31.1030
74.707036 85.556 31.2983
75.073247 85.549 31.4948
75.439458 85.541 31.6929
75.805669 85.535 31.8922
76.171880 85.528 32.0919
76.538091 85.522 32.2905
76.904301 85.515 32.4865
77.270512 85.507 32.6785
77.636723 85.499 32.8660
78.002934 85.490 33.0492
78.369145 85.479 33.2292
78.735356 85.468 33.4073
79.101567 85.457 33.5854
79.467778 85.446 33.7646
79.833989 85.435 33.9464
80.200200 85.423 34.1317
80.566411 85.412 34.3214
80.932622 85.401 34.5162
81.298833 85.391 34.7163
81.665044 85.382 34.9216
82.031255 85.374 35.1314
82.397466 85.367 35.3448
82.763677 85.361 35.5611
83.129888 85.357 35.7796
83.496099 85.353 35.9996
83.862310 85.350 36.2205
84.228521 85.346 36.4412
84.594732 85.343 36.6606
84.960943 85.339 36.8774
85.327154 85.334 37.0911
85.693365 85.328 37.3017
86.059576 85.321 37.5101
86.425787 85.314 37.7173
86.791998 85.306 37.9238
87.158209 85.298 38.1290
87.524420 85.289 38.3315
87.890631 85.281 38.5296
88.256841 85.272 38.7227
88.623052 85.263 38.9112
88.989263 85.254 39.0975
89.355474 85.245 39.2846
89.721685 85.236 39.4749
90.087896 85.228 39.6701
90.454107 85.222 39.8701
90.820318 85.217 40.0740
91.186529 85.212 40.2803
91.552740 85.208 40.4879
91.918951 85.204 40.6959
92.285162 85.199 40.9037
92.651373 85.195 41.1107
93.017584 85.191 41.3171
93.383795 85.186 41.5231
93.750006 85.182 41.7295
94.116217 85.178 41.9367
94.482428 85.174 42.1446
94.848639 85.170 42.3515
95.214850 85.166 42.5547
95.581061 85.161 42.7510
95.947272 85.156 42.9380
96.313483 85.149 43.1146
96.679694 85.142 43.2820
97.045905 85.134 43.4427
97.412116 85.125 43.6003
97.778327 85.115 43.7579
98.144538 85.106 43.9175
98.510749 85.098 44.0799
98.876960 85.090 44.2446
99.243170 85.082 44.4106
99.609381 85.075 44.5765
99.975592 85.067 44.7415
100.341803 85.059 44.9049
100.708014 85.050 45.0663
101.074225 85.041 45.2257
101.440436 85.030 45.3829
101.806647 85.019 45.5378
102.172858 85.008 45.6899
102.539069 84.996 45.8393
102.905280 84.984 45.9859
103.271491 84.972 46.1301
103.637702 84.961 46.2721
104.003913 84.950 46.4120
104.370124 84.941 46.5496
104.736335 84.933 46.6839
105.102546 84.926 46.8140
105.468757 84.920 46.9387
105.834968 84.914 47.0573
106.201179 84.908 47.1702
106.567390 84.901 47.2784
106.933601 84.892 47.3838
107.299812 84.883 47.4887
107.666023 84.872 47.5956
108.032234 84.860 47.7065
108.398445 84.847 47.8228
108.764656 84.835 47.9449
109.130867 84.824 48.0720
109.497078 84.813 48.2026
109.863289 84.805 48.3345
110.229500 84.798 48.4660
110.595710 84.792 48.5957
110.961921 84.786 48.7234
111.328132 84.780 48.8498
111.694343 84.772 48.9762
112.060554 84.763 49.1035
112.426765 84.752 49.2323
112.792976 84.739 49.3620
113.159187 84.726 49.4913
113.525398 84.712 49.6185
113.891609 84.698 49.7420
114.257820 84.684 49.8608
114.624031 84.672 49.9745
114.990242 84.662 50.0834
115.356453 84.653 50.1878
115.722664 84.644 50.2882
116.088875 84.637 50.3847
116.455086 84.629 50.4777
116.821297 84.622 50.5677
117.187508 84.614 50.6557
117.553719 84.606 50.7428
117.919930 84.599 50.8298
118.286141 84.592 50.9168
118.652352 84.586 51.0027
119.018563 84.582 51.0850
119.384774 84.579 51.1607
119.750985 84.578 51.2269
120.117196 84.576 51.2822
120.483407 84.574 51.3275
120.849618 84.570 51.3664
121.215829 84.563 51.4051
121.582040 84.555 51.4514
121.948250 84.543 51.5137
122.314461 84.530 51.5989
122.680672 84.516 51.7113
123.046883 84.501 51.8508
123.413094 84.487 52.0131
123.779305 84.475 52.1896
124.145516 84.465 52.3696
124.511727 84.458 52.5424
124.877938 84.452 52.6994
125.244149 84.448 52.8361
125.610360 84.445 52.9524
125.976571 84.442 53.0521
126.342782 84.439 53.1416
126.708993 84.436 53.2281
127.075204 84.432 53.3178
127.441415 84.428 53.4153
127.807626 84.423 53.5228
128.173837 84.417 53.6404
128.540048 84.409 53.7668
128.906259 84.401 53.8997
129.272470 84.391 54.0366
129.638681 84.379 54.1757
130.004892 84.367 54.3153
130.371103 84.354 54.4544
130.737314 84.341 54.5922
131.103525 84.328 54.7282
131.469736 84.317 54.8621
131.835947 84.306 54.9937
132.202158 84.297 55.1236
132.568369 84.289 55.2524
132.934579 84.281 55.3812
133.300790 84.275 55.5110
133.667001 84.270 55.6428
134.033212 84.266 55.7767
134.399423 84.262 55.9130
134.765634 84.258 56.0516
135.131845 84.255 56.1923
135.498056 84.252 56.3351
135.864267 84.249 56.4804
136.230478 84.246 56.6282
136.596689 84.242 56.7788
136.962900 84.237 56.9319
137.329111 84.232 57.0868
137.695322 84.226 57.2425
138.061533 84.219 57.3976
138.427744 84.212 57.5505
138.793955 84.205 57.6998
139.160166 84.198 57.8444
139.526377 84.190 57.9832
139.892588 84.183 58.1160
140.258799 84.176 58.2427
140.625010 84.169 58.3641
140.991221 84.162 58.4809
141.357432 84.154 58.5943
141.723643 84.146 58.7057
142.089854 84.137 58.8160
142.456065 84.127 58.9263
142.822276 84.118 59.0372
143.188487 84.108 59.1492
143.554698 84.099 59.2624
143.920909 84.091 59.3769
144.287119 84.083 59.4928
144.653330 84.076 59.6102
145.019541 84.070 59.7292
145.385752 84.064 59.8497
145.751963 84.058 59.9715
146.118174 84.051 60.0941
146.484385 84.044 60.2172
146.850596 84.037 60.3400
147.216807 84.030 60.4622
147.583018 84.022 60.5835
147.949229 84.014 60.7039
148.315440 84.006 60.8237
148.681651 83.999 60.9434
149.047862 83.992 61.0631
149.414073 83.985 61.1831
149.780284 83.978 61.3034
150.146495 83.972 61.4239
150.512706 83.965 61.5440
150.878917 83.959 61.6636
151.245128 83.952 61.7823
151.611339 83.945 61.8999
151.977550 83.937 62.0164
152.343761 83.929 62.1320
152.709972 83.921 62.2468
153.076183 83.914 62.3609
153.442394 83.906 62.4744
153.808605 83.898 62.5875
154.174816 83.891 62.7001
154.541027 83.884 62.8124
154.907238 83.877 62.9244
155.273448 83.870 63.0364
155.639659 83.863 63.1485
156.005870 83.856 63.2609
156.372081 83.849 63.3739
156.738292 83.842 63.4874
157.104503 83.834 63.6016
157.470714 83.826 63.7164
157.836925 83.818 63.8314
158.203136 83.810 63.9465
158.569347 83.802 64.0613
158.935558 83.794 64.1757
159.301769 83.785 64.2895
159.667980 83.777 64.4026
160.034191 83.769 64.5153
160.400402 83.760 64.6276
160.766613 83.751 64.7397
161.132824 83.741 64.8520
161.499035 83.732 64.9646
161.865246 83.722 65.0778
162.231457 83.712 65.1920
162.597668 83.702 65.3074
162.963879 83.693 65.4245
163.330090 83.684 65.5435
163.696301 83.675 65.6645
164.062512 83.668 65.7877
164.428723 83.661 65.9128
164.794934 83.656 66.0397
165.161145 83.651 66.1678
165.527356 83.647 66.2969
165.893567 83.644 66.4265
166.259778 83.641 66.5568
166.625988 83.639 66.6877
166.992199 83.637 66.8196
167.358410 83.635 66.9529
167.724621 83.633 67.0883
168.090832 83.631 67.2260
168.457043 83.629 67.3661
168.823254 83.626 67.5086
169.189465 83.624 67.6529
169.555676 83.620 67.7983
169.921887 83.616 67.9439
170.288098 83.611 68.0886
170.654309 83.606 68.2314
171.020520 83.600 68.3714
171.386731 83.594 68.5079
171.752942 83.587 68.6403
172.119153 83.580 68.7685
172.485364 83.572 68.8923
