* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 16, 2023 3:59:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Blessing2 Wide R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 86.087 9.6883
20.507813 86.086 9.4372
20.874023 86.091 8.7845
21.240234 86.123 8.1796
21.606445 86.175 7.7226
21.972656 86.229 7.4191
22.338867 86.276 7.2683
22.705078 86.305 7.2242
23.071289 86.313 7.2101
23.437500 86.301 7.1555
23.803711 86.275 7.0213
24.169922 86.245 6.8091
24.536133 86.219 6.5511
24.902344 86.204 6.2911
25.268555 86.202 6.0678
25.634766 86.209 5.9047
26.000977 86.218 5.8060
26.367188 86.222 5.7613
26.733399 86.217 5.7518
27.099610 86.204 5.7529
27.465821 86.186 5.7405
27.832032 86.166 5.6992
28.198243 86.149 5.6272
28.564454 86.133 5.5384
28.930665 86.120 5.4572
29.296876 86.109 5.4077
29.663087 86.100 5.3989
30.029298 86.096 5.4186
30.395509 86.096 5.4391
30.761720 86.100 5.4336
31.127931 86.105 5.3915
31.494142 86.108 5.3242
31.860353 86.111 5.2575
32.226563 86.114 5.2157
32.592774 86.118 5.2081
32.958985 86.123 5.2270
33.325196 86.128 5.2563
33.691407 86.130 5.2822
34.057618 86.127 5.2987
34.423829 86.121 5.3065
34.790040 86.111 5.3093
35.156251 86.100 5.3093
35.522462 86.089 5.3069
35.888673 86.078 5.3017
36.254884 86.067 5.2938
36.621095 86.055 5.2837
36.987306 86.044 5.2697
37.353517 86.034 5.2478
37.719728 86.024 5.2122
38.085939 86.016 5.1594
38.452150 86.007 5.0922
38.818361 85.998 5.0202
39.184572 85.988 4.9577
39.550783 85.978 4.9156
39.916994 85.969 4.8956
40.283205 85.963 4.8879
40.649416 85.960 4.8776
41.015627 85.958 4.8541
41.381838 85.955 4.8177
41.748049 85.950 4.7788
42.114260 85.941 4.7485
42.480471 85.931 4.7293
42.846682 85.919 4.7119
43.212893 85.905 4.6824
43.579103 85.890 4.6334
43.945314 85.873 4.5693
44.311525 85.858 4.5020
44.677736 85.848 4.4397
45.043947 85.846 4.3832
45.410158 85.848 4.3323
45.776369 85.850 4.3003
46.142580 85.846 4.3190
46.508791 85.834 4.4248
46.875002 85.816 4.6306
47.241213 85.800 4.9018
47.607424 85.793 5.1582
47.973635 85.795 5.3063
48.339846 85.800 5.2856
48.706057 85.801 5.0997
49.072268 85.792 4.8127
49.438479 85.775 4.5155
49.804690 85.756 4.2814
50.170901 85.741 4.1394
50.537112 85.735 4.0754
50.903323 85.734 4.0553
51.269534 85.734 4.0504
51.635745 85.731 4.0490
52.001956 85.722 4.0520
52.368167 85.710 4.0611
52.734378 85.698 4.0713
53.100589 85.689 4.0736
53.466800 85.682 4.0622
53.833011 85.677 4.0394
54.199222 85.672 4.0144
54.565432 85.667 3.9968
54.931643 85.661 3.9906
55.297854 85.654 3.9934
55.664065 85.647 3.9986
56.030276 85.638 4.0007
56.396487 85.629 3.9977
56.762698 85.620 3.9911
57.128909 85.611 3.9841
57.495120 85.602 3.9795
57.861331 85.594 3.9781
58.227542 85.586 3.9795
58.593753 85.578 3.9816
58.959964 85.569 3.9818
59.326175 85.560 3.9774
59.692386 85.551 3.9665
60.058597 85.541 3.9494
60.424808 85.532 3.9287
60.791019 85.522 3.9087
61.157230 85.512 3.8940
61.523441 85.502 3.8873
61.889652 85.494 3.8883
62.255863 85.486 3.8942
62.622074 85.480 3.9011
62.988285 85.474 3.9061
63.354496 85.468 3.9083
63.720707 85.461 3.9086
64.086918 85.455 3.9085
64.453129 85.448 3.9091
64.819340 85.440 3.9105
65.185551 85.432 3.9122
65.551762 85.424 3.9136
65.917972 85.416 3.9149
66.284183 85.406 3.9168
66.650394 85.397 3.9202
67.016605 85.388 3.9258
67.382816 85.379 3.9336
67.749027 85.371 3.9434
68.115238 85.363 3.9543
68.481449 85.356 3.9656
68.847660 85.349 3.9761
69.213871 85.342 3.9847
69.580082 85.335 3.9905
69.946293 85.328 3.9933
70.312504 85.320 3.9931
70.678715 85.311 3.9909
71.044926 85.302 3.9874
71.411137 85.292 3.9833
71.777348 85.282 3.9793
72.143559 85.272 3.9761
72.509770 85.262 3.9745
72.875981 85.251 3.9752
73.242192 85.242 3.9785
73.608403 85.232 3.9839
73.974614 85.224 3.9903
74.340825 85.216 3.9963
74.707036 85.209 4.0015
75.073247 85.203 4.0068
75.439458 85.196 4.0137
75.805669 85.188 4.0241
76.171880 85.180 4.0386
76.538091 85.172 4.0569
76.904301 85.163 4.0774
77.270512 85.154 4.0981
77.636723 85.145 4.1172
78.002934 85.136 4.1338
78.369145 85.127 4.1478
78.735356 85.117 4.1597
79.101567 85.108 4.1706
79.467778 85.098 4.1816
79.833989 85.089 4.1943
80.200200 85.081 4.2095
80.566411 85.073 4.2275
80.932622 85.066 4.2474
81.298833 85.059 4.2675
81.665044 85.053 4.2856
82.031255 85.048 4.3000
82.397466 85.042 4.3105
82.763677 85.035 4.3179
83.129888 85.028 4.3236
83.496099 85.019 4.3291
83.862310 85.010 4.3352
84.228521 85.000 4.3422
84.594732 84.991 4.3498
84.960943 84.981 4.3583
85.327154 84.971 4.3684
85.693365 84.962 4.3813
86.059576 84.953 4.3979
86.425787 84.945 4.4187
86.791998 84.937 4.4432
87.158209 84.929 4.4702
87.524420 84.921 4.4984
87.890631 84.913 4.5265
88.256841 84.905 4.5538
88.623052 84.896 4.5799
88.989263 84.886 4.6043
89.355474 84.877 4.6262
89.721685 84.868 4.6448
90.087896 84.860 4.6591
90.454107 84.852 4.6688
90.820318 84.845 4.6743
91.186529 84.837 4.6763
91.552740 84.829 4.6762
91.918951 84.821 4.6751
92.285162 84.811 4.6739
92.651373 84.801 4.6735
93.017584 84.791 4.6746
93.383795 84.782 4.6776
93.750006 84.773 4.6828
94.116217 84.765 4.6899
94.482428 84.758 4.6987
94.848639 84.752 4.7087
95.214850 84.746 4.7200
95.581061 84.740 4.7331
95.947272 84.732 4.7487
96.313483 84.723 4.7674
96.679694 84.713 4.7889
97.045905 84.702 4.8126
97.412116 84.689 4.8368
97.778327 84.677 4.8603
98.144538 84.665 4.8824
98.510749 84.653 4.9028
98.876960 84.642 4.9222
99.243170 84.632 4.9411
99.609381 84.623 4.9604
99.975592 84.614 4.9804
100.341803 84.605 5.0011
100.708014 84.597 5.0226
101.074225 84.588 5.0444
101.440436 84.579 5.0659
101.806647 84.569 5.0862
102.172858 84.559 5.1041
102.539069 84.549 5.1188
102.905280 84.540 5.1302
103.271491 84.530 5.1393
103.637702 84.520 5.1477
104.003913 84.511 5.1577
104.370124 84.501 5.1713
104.736335 84.492 5.1898
105.102546 84.484 5.2135
105.468757 84.476 5.2416
105.834968 84.469 5.2725
106.201179 84.462 5.3049
106.567390 84.456 5.3372
106.933601 84.451 5.3687
107.299812 84.446 5.3988
107.666023 84.441 5.4273
108.032234 84.436 5.4540
108.398445 84.431 5.4785
108.764656 84.425 5.5008
109.130867 84.418 5.5210
109.497078 84.410 5.5401
109.863289 84.401 5.5596
110.229500 84.391 5.5815
110.595710 84.380 5.6077
110.961921 84.369 5.6390
111.328132 84.358 5.6753
111.694343 84.348 5.7146
112.060554 84.340 5.7542
112.426765 84.333 5.7908
112.792976 84.328 5.8215
113.159187 84.324 5.8444
113.525398 84.320 5.8590
113.891609 84.316 5.8659
114.257820 84.312 5.8668
114.624031 84.307 5.8640
114.990242 84.302 5.8604
115.356453 84.295 5.8589
115.722664 84.288 5.8625
116.088875 84.280 5.8739
116.455086 84.271 5.8950
116.821297 84.262 5.9268
117.187508 84.251 5.9691
117.553719 84.240 6.0210
117.919930 84.228 6.0810
118.286141 84.215 6.1476
118.652352 84.202 6.2193
119.018563 84.188 6.2952
119.384774 84.175 6.3745
119.750985 84.163 6.4561
120.117196 84.152 6.5392
120.483407 84.142 6.6225
120.849618 84.134 6.7047
121.215829 84.126 6.7842
121.582040 84.118 6.8594
121.948250 84.111 6.9283
122.314461 84.103 6.9891
122.680672 84.095 7.0400
123.046883 84.086 7.0798
123.413094 84.077 7.1081
123.779305 84.069 7.1256
124.145516 84.062 7.1340
124.511727 84.055 7.1358
124.877938 84.050 7.1339
125.244149 84.045 7.1312
125.610360 84.040 7.1303
125.976571 84.035 7.1329
126.342782 84.030 7.1404
126.708993 84.023 7.1530
127.075204 84.014 7.1704
127.441415 84.004 7.1916
127.807626 83.993 7.2155
128.173837 83.981 7.2407
128.540048 83.969 7.2659
128.906259 83.956 7.2899
129.272470 83.944 7.3117
129.638681 83.933 7.3306
130.004892 83.922 7.3465
130.371103 83.911 7.3598
130.737314 83.901 7.3713
131.103525 83.891 7.3828
131.469736 83.882 7.3962
131.835947 83.872 7.4137
132.202158 83.864 7.4372
132.568369 83.855 7.4683
132.934579 83.848 7.5078
133.300790 83.841 7.5558
133.667001 83.835 7.6116
134.033212 83.829 7.6743
134.399423 83.823 7.7425
134.765634 83.818 7.8147
135.131845 83.812 7.8894
135.498056 83.807 7.9653
135.864267 83.801 8.0412
136.230478 83.795 8.1160
136.596689 83.789 8.1887
136.962900 83.782 8.2583
137.329111 83.775 8.3242
137.695322 83.768 8.3861
138.061533 83.760 8.4438
138.427744 83.751 8.4972
138.793955 83.742 8.5469
139.160166 83.732 8.5931
139.526377 83.722 8.6366
139.892588 83.712 8.6780
140.258799 83.701 8.7179
140.625010 83.690 8.7569
140.991221 83.679 8.7955
141.357432 83.668 8.8340
141.723643 83.657 8.8726
142.089854 83.647 8.9116
142.456065 83.636 8.9512
142.822276 83.626 8.9915
143.188487 83.617 9.0328
143.554698 83.608 9.0753
143.920909 83.600 9.1190
144.287119 83.593 9.1638
144.653330 83.587 9.2094
145.019541 83.582 9.2556
145.385752 83.576 9.3021
145.751963 83.571 9.3489
146.118174 83.566 9.3958
146.484385 83.561 9.4431
146.850596 83.555 9.4911
147.216807 83.549 9.5400
147.583018 83.543 9.5900
147.949229 83.536 9.6413
148.315440 83.528 9.6939
148.681651 83.520 9.7477
149.047862 83.512 9.8021
149.414073 83.503 9.8570
149.780284 83.495 9.9116
150.146495 83.487 9.9656
150.512706 83.479 10.0187
150.878917 83.471 10.0707
151.245128 83.464 10.1219
151.611339 83.458 10.1726
151.977550 83.451 10.2237
152.343761 83.445 10.2758
152.709972 83.439 10.3296
153.076183 83.432 10.3854
153.442394 83.426 10.4436
153.808605 83.419 10.5038
154.174816 83.412 10.5656
154.541027 83.404 10.6284
154.907238 83.397 10.6913
155.273448 83.389 10.7536
155.639659 83.380 10.8148
156.005870 83.371 10.8744
156.372081 83.362 10.9323
156.738292 83.352 10.9884
157.104503 83.342 11.0428
157.470714 83.331 11.0956
157.836925 83.320 11.1469
158.203136 83.309 11.1967
158.569347 83.298 11.2449
158.935558 83.287 11.2915
159.301769 83.276 11.3363
159.667980 83.265 11.3792
160.034191 83.255 11.4203
160.400402 83.246 11.4599
160.766613 83.237 11.4981
161.132824 83.228 11.5356
161.499035 83.220 11.5728
161.865246 83.213 11.6104
162.231457 83.206 11.6489
162.597668 83.199 11.6888
162.963879 83.192 11.7306
163.330090 83.185 11.7747
163.696301 83.178 11.8213
164.062512 83.172 11.8705
164.428723 83.165 11.9224
164.794934 83.159 11.9768
165.161145 83.152 12.0333
165.527356 83.146 12.0917
165.893567 83.141 12.1513
166.259778 83.135 12.2115
166.625988 83.130 12.2716
166.992199 83.124 12.3310
167.358410 83.119 12.3892
167.724621 83.113 12.4458
168.090832 83.106 12.5005
168.457043 83.100 12.5531
168.823254 83.092 12.6035
169.189465 83.084 12.6518
169.555676 83.076 12.6980
169.921887 83.067 12.7425
170.288098 83.058 12.7856
170.654309 83.048 12.8276
171.020520 83.038 12.8693
171.386731 83.027 12.9113
171.752942 83.017 12.9543
172.119153 83.007 12.9990
172.485364 82.996 13.0461
