* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 14, 2023 10:18:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Blessing2 tapb-b L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 100.112 7.0621
20.507813 100.167 6.5823
20.874023 100.246 5.2692
21.240234 100.148 4.0786
21.606445 99.895 3.7137
21.972656 99.633 4.3715
22.338867 99.502 5.3754
22.705078 99.526 5.5241
23.071289 99.595 4.0008
23.437500 99.560 1.0509
23.803711 99.357 -2.0578
24.169922 99.062 -3.7397
24.536133 98.899 -3.1607
24.902344 99.102 -0.9745
25.268555 99.663 1.1057
25.634766 100.305 1.6661
26.000977 100.748 0.5565
26.367188 100.852 -1.2696
26.733399 100.623 -2.5508
27.099610 100.190 -2.4926
27.465821 99.761 -1.2209
27.832032 99.513 0.3347
28.198243 99.471 1.1586
28.564454 99.526 0.9091
28.930665 99.563 0.0604
29.296876 99.546 -0.6071
29.663087 99.508 -0.6317
30.029298 99.495 -0.1220
30.395509 99.512 0.4633
30.761720 99.523 0.7389
31.127931 99.495 0.6454
31.494142 99.436 0.3656
31.860353 99.398 0.0528
32.226563 99.436 -0.3496
32.592774 99.557 -1.0387
32.958985 99.705 -2.1179
33.325196 99.805 -3.4177
33.691407 99.800 -4.5200
34.057618 99.685 -4.9662
34.423829 99.505 -4.5147
34.790040 99.333 -3.2981
35.156251 99.233 -1.7739
35.522462 99.221 -0.4894
35.888673 99.271 0.1915
36.254884 99.336 0.2232
36.621095 99.386 -0.1800
36.987306 99.415 -0.7173
37.353517 99.434 -1.1630
37.719728 99.459 -1.4403
38.085939 99.496 -1.5961
38.452150 99.536 -1.7214
38.818361 99.569 -1.8780
39.184572 99.586 -2.0728
39.550783 99.586 -2.2827
39.916994 99.576 -2.4946
40.283205 99.566 -2.7237
40.649416 99.556 -2.9957
41.015627 99.543 -3.3124
41.381838 99.519 -3.6326
41.748049 99.482 -3.8888
42.114260 99.436 -4.0283
42.480471 99.391 -4.0489
42.846682 99.353 -4.0006
43.212893 99.326 -3.9536
43.579103 99.306 -3.9564
43.945314 99.287 -4.0136
44.311525 99.269 -4.0957
44.677736 99.251 -4.1660
45.043947 99.238 -4.2028
45.410158 99.228 -4.2001
45.776369 99.219 -4.1547
46.142580 99.209 -4.0581
46.508791 99.197 -3.9033
46.875002 99.187 -3.7029
47.241213 99.185 -3.4995
47.607424 99.191 -3.3556
47.973635 99.202 -3.3244
48.339846 99.209 -3.4179
48.706057 99.205 -3.5949
49.072268 99.186 -3.7763
49.438479 99.153 -3.8815
49.804690 99.117 -3.8671
50.170901 99.086 -3.7469
50.537112 99.068 -3.5844
50.903323 99.062 -3.4604
51.269534 99.061 -3.4336
51.635745 99.058 -3.5145
52.001956 99.046 -3.6649
52.368167 99.026 -3.8205
52.734378 99.004 -3.9219
53.100589 98.986 -3.9385
53.466800 98.979 -3.8732
53.833011 98.984 -3.7515
54.199222 98.997 -3.6051
54.565432 99.014 -3.4639
54.931643 99.027 -3.3570
55.297854 99.030 -3.3151
55.664065 99.018 -3.3654
56.030276 98.984 -3.5161
56.396487 98.926 -3.7406
56.762698 98.846 -3.9775
57.128909 98.754 -4.1525
57.495120 98.669 -4.2131
57.861331 98.611 -4.1568
58.227542 98.594 -4.0315
58.593753 98.618 -3.9084
58.959964 98.672 -3.8430
59.326175 98.738 -3.8492
59.692386 98.796 -3.8998
60.058597 98.836 -3.9493
60.424808 98.853 -3.9608
60.791019 98.850 -3.9221
61.157230 98.834 -3.8456
61.523441 98.812 -3.7573
61.889652 98.791 -3.6841
62.255863 98.778 -3.6436
62.622074 98.774 -3.6379
62.988285 98.778 -3.6511
63.354496 98.787 -3.6527
63.720707 98.799 -3.6083
64.086918 98.812 -3.4961
64.453129 98.825 -3.3213
64.819340 98.838 -3.1184
65.185551 98.848 -2.9387
65.551762 98.853 -2.8272
65.917972 98.848 -2.8035
66.284183 98.831 -2.8571
66.650394 98.804 -2.9577
67.016605 98.772 -3.0725
67.382816 98.742 -3.1791
67.749027 98.716 -3.2675
68.115238 98.696 -3.3332
68.481449 98.681 -3.3715
68.847660 98.668 -3.3773
69.213871 98.656 -3.3500
69.580082 98.644 -3.2986
69.946293 98.632 -3.2394
70.312504 98.618 -3.1891
70.678715 98.600 -3.1556
71.044926 98.579 -3.1358
71.411137 98.556 -3.1195
71.777348 98.534 -3.0983
72.143559 98.516 -3.0715
72.509770 98.503 -3.0455
72.875981 98.494 -3.0277
73.242192 98.489 -3.0196
73.608403 98.485 -3.0139
73.974614 98.481 -2.9980
74.340825 98.477 -2.9608
74.707036 98.473 -2.8984
75.073247 98.470 -2.8149
75.439458 98.466 -2.7183
75.805669 98.461 -2.6151
76.171880 98.452 -2.5068
76.538091 98.441 -2.3925
76.904301 98.429 -2.2736
77.270512 98.418 -2.1586
77.636723 98.408 -2.0613
78.002934 98.400 -1.9938
78.369145 98.391 -1.9575
78.735356 98.377 -1.9390
79.101567 98.356 -1.9169
79.467778 98.328 -1.8758
79.833989 98.297 -1.8197
80.200200 98.264 -1.7744
80.566411 98.230 -1.7753
80.932622 98.195 -1.8458
81.298833 98.156 -1.9792
81.665044 98.115 -2.1353
82.031255 98.076 -2.2563
82.397466 98.045 -2.2922
82.763677 98.032 -2.2224
83.129888 98.039 -2.0613
83.496099 98.066 -1.8469
83.862310 98.104 -1.6208
84.228521 98.145 -1.4117
84.594732 98.179 -1.2298
84.960943 98.202 -1.0725
85.327154 98.212 -0.9332
85.693365 98.211 -0.8080
86.059576 98.202 -0.6955
86.425787 98.186 -0.5948
86.791998 98.167 -0.5034
87.158209 98.146 -0.4189
87.524420 98.123 -0.3421
87.890631 98.101 -0.2781
88.256841 98.080 -0.2347
88.623052 98.060 -0.2162
88.989263 98.041 -0.2190
89.355474 98.023 -0.2301
89.721685 98.008 -0.2305
90.087896 97.997 -0.2018
90.454107 97.991 -0.1324
90.820318 97.990 -0.0210
91.186529 97.992 0.1241
91.552740 97.996 0.2887
91.918951 97.996 0.4575
92.285162 97.992 0.6169
92.651373 97.982 0.7575
93.017584 97.968 0.8735
93.383795 97.950 0.9627
93.750006 97.933 1.0257
94.116217 97.918 1.0655
94.482428 97.907 1.0871
94.848639 97.901 1.0969
95.214850 97.899 1.1014
95.581061 97.900 1.1054
95.947272 97.905 1.1113
96.313483 97.910 1.1179
96.679694 97.916 1.1220
97.045905 97.921 1.1198
97.412116 97.925 1.1098
97.778327 97.926 1.0944
98.144538 97.923 1.0806
98.510749 97.917 1.0792
98.876960 97.906 1.1020
99.243170 97.891 1.1591
99.609381 97.872 1.2569
99.975592 97.851 1.3969
100.341803 97.827 1.5764
100.708014 97.802 1.7894
101.074225 97.777 2.0276
101.440436 97.751 2.2811
101.806647 97.727 2.5393
102.172858 97.703 2.7908
102.539069 97.680 3.0246
102.905280 97.659 3.2309
103.271491 97.639 3.4021
103.637702 97.623 3.5339
104.003913 97.609 3.6258
104.370124 97.599 3.6809
104.736335 97.593 3.7059
105.102546 97.591 3.7101
105.468757 97.592 3.7039
105.834968 97.595 3.6980
106.201179 97.600 3.7010
106.567390 97.604 3.7185
106.933601 97.606 3.7518
107.299812 97.607 3.7985
107.666023 97.604 3.8530
108.032234 97.598 3.9083
108.398445 97.588 3.9579
108.764656 97.575 3.9972
109.130867 97.560 4.0249
109.497078 97.545 4.0437
109.863289 97.530 4.0604
110.229500 97.516 4.0847
110.595710 97.506 4.1276
110.961921 97.498 4.1988
111.328132 97.493 4.3035
111.694343 97.488 4.4407
112.060554 97.484 4.6021
112.426765 97.479 4.7731
112.792976 97.472 4.9368
113.159187 97.464 5.0773
113.525398 97.455 5.1850
113.891609 97.448 5.2585
114.257820 97.442 5.3062
114.624031 97.440 5.3436
114.990242 97.440 5.3898
115.356453 97.441 5.4625
115.722664 97.440 5.5726
116.088875 97.436 5.7216
116.455086 97.427 5.9006
116.821297 97.411 6.0929
117.187508 97.392 6.2790
117.553719 97.370 6.4423
117.919930 97.351 6.5748
118.286141 97.336 6.6786
118.652352 97.329 6.7648
119.018563 97.330 6.8484
119.384774 97.337 6.9416
119.750985 97.348 7.0480
120.117196 97.359 7.1598
120.483407 97.367 7.2592
120.849618 97.371 7.3231
121.215829 97.370 7.3304
121.582040 97.367 7.2690
121.948250 97.362 7.1415
122.314461 97.361 6.9661
122.680672 97.363 6.7744
123.046883 97.371 6.6039
123.413094 97.382 6.4905
123.779305 97.394 6.4594
124.145516 97.405 6.5200
124.511727 97.413 6.6641
124.877938 97.415 6.8698
125.244149 97.412 7.1077
125.610360 97.403 7.3491
125.976571 97.391 7.5722
126.342782 97.376 7.7659
126.708993 97.359 7.9288
127.075204 97.341 8.0662
127.441415 97.322 8.1846
127.807626 97.301 8.2878
128.173837 97.276 8.3746
128.540048 97.248 8.4395
128.906259 97.217 8.4752
129.272470 97.182 8.4767
129.638681 97.146 8.4451
130.004892 97.110 8.3891
130.371103 97.076 8.3244
130.737314 97.045 8.2710
131.103525 97.017 8.2482
131.469736 96.994 8.2705
131.835947 96.974 8.3443
132.202158 96.958 8.4665
132.568369 96.944 8.6264
132.934579 96.931 8.8084
133.300790 96.921 8.9964
133.667001 96.912 9.1768
134.033212 96.904 9.3411
134.399423 96.897 9.4863
134.765634 96.892 9.6144
135.131845 96.887 9.7310
135.498056 96.882 9.8429
135.864267 96.876 9.9563
136.230478 96.869 10.0751
136.596689 96.860 10.1995
136.962900 96.849 10.3261
137.329111 96.838 10.4481
137.695322 96.827 10.5569
138.061533 96.817 10.6444
138.427744 96.808 10.7041
138.793955 96.801 10.7335
139.160166 96.794 10.7343
139.526377 96.789 10.7124
139.892588 96.784 10.6764
140.258799 96.779 10.6369
140.625010 96.774 10.6037
140.991221 96.770 10.5851
141.357432 96.766 10.5868
141.723643 96.762 10.6114
142.089854 96.758 10.6589
142.456065 96.755 10.7265
142.822276 96.752 10.8100
143.188487 96.748 10.9035
143.554698 96.744 11.0010
143.920909 96.740 11.0961
144.287119 96.735 11.1834
144.653330 96.729 11.2589
145.019541 96.723 11.3200
145.385752 96.716 11.3662
145.751963 96.707 11.3989
146.118174 96.698 11.4205
146.484385 96.689 11.4342
146.850596 96.678 11.4438
147.216807 96.666 11.4525
147.583018 96.653 11.4636
147.949229 96.639 11.4799
148.315440 96.625 11.5036
148.681651 96.610 11.5366
149.047862 96.595 11.5800
149.414073 96.581 11.6347
149.780284 96.568 11.7015
150.146495 96.557 11.7814
150.512706 96.548 11.8760
150.878917 96.540 11.9871
151.245128 96.535 12.1171
151.611339 96.531 12.2681
151.977550 96.528 12.4411
152.343761 96.525 12.6361
152.709972 96.523 12.8504
153.076183 96.520 13.0795
153.442394 96.517 13.3161
153.808605 96.512 13.5512
154.174816 96.506 13.7746
154.541027 96.498 13.9761
154.907238 96.489 14.1469
155.273448 96.478 14.2807
155.639659 96.464 14.3747
156.005870 96.448 14.4299
156.372081 96.429 14.4506
156.738292 96.408 14.4443
157.104503 96.385 14.4197
157.470714 96.361 14.3860
157.836925 96.335 14.3513
158.203136 96.309 14.3223
158.569347 96.283 14.3039
158.935558 96.258 14.2991
159.301769 96.235 14.3097
159.667980 96.213 14.3368
160.034191 96.193 14.3811
160.400402 96.174 14.4431
160.766613 96.156 14.5236
161.132824 96.139 14.6231
161.499035 96.122 14.7419
161.865246 96.105 14.8794
162.231457 96.088 15.0340
162.597668 96.071 15.2023
162.963879 96.053 15.3791
163.330090 96.037 15.5576
163.696301 96.023 15.7290
164.062512 96.013 15.8841
164.428723 96.008 16.0138
164.794934 96.008 16.1107
165.161145 96.016 16.1705
165.527356 96.030 16.1928
165.893567 96.050 16.1811
166.259778 96.074 16.1422
166.625988 96.101 16.0849
166.992199 96.127 16.0177
167.358410 96.151 15.9470
167.724621 96.172 15.8760
168.090832 96.190 15.8039
