* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 10, 2023 9:25:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Blessing3 - R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 89.450 -6.0314
20.507813 89.489 -6.6340
20.874023 89.513 -7.0509
21.240234 89.533 -7.3938
21.606445 89.544 -7.7265
21.972656 89.536 -8.0747
22.338867 89.521 -8.4723
22.705078 89.495 -8.8753
23.071289 89.467 -9.2788
23.437500 89.446 -9.7047
23.803711 89.429 -10.1519
24.169922 89.414 -10.6230
24.536133 89.397 -11.1000
24.902344 89.374 -11.5572
25.268555 89.350 -12.0034
25.634766 89.325 -12.4414
26.000977 89.301 -12.8897
26.367188 89.278 -13.3936
26.733399 89.256 -13.9177
27.099610 89.234 -14.4502
27.465821 89.212 -14.9832
27.832032 89.191 -15.4619
28.198243 89.173 -15.8989
28.564454 89.155 -16.3014
28.930665 89.134 -16.6719
29.296876 89.112 -17.0494
29.663087 89.086 -17.4343
30.029298 89.057 -17.8348
30.395509 89.030 -18.2721
30.761720 89.003 -18.7182
31.127931 88.976 -19.1666
31.494142 88.954 -19.6113
31.860353 88.935 -20.0352
32.226563 88.921 -20.4432
32.592774 88.907 -20.8424
32.958985 88.889 -21.2330
33.325196 88.868 -21.6195
33.691407 88.842 -21.9786
34.057618 88.814 -22.3088
34.423829 88.788 -22.6334
34.790040 88.765 -22.9548
35.156251 88.745 -23.2958
35.522462 88.725 -23.6611
35.888673 88.702 -24.0289
36.254884 88.678 -24.3936
36.621095 88.651 -24.7391
36.987306 88.623 -25.0615
37.353517 88.597 -25.3847
37.719728 88.571 -25.7017
38.085939 88.544 -26.0196
38.452150 88.517 -26.3467
38.818361 88.490 -26.6705
39.184572 88.466 -27.0003
39.550783 88.444 -27.3402
39.916994 88.421 -27.6840
40.283205 88.398 -28.0336
40.649416 88.373 -28.3711
41.015627 88.346 -28.6857
41.381838 88.320 -28.9819
41.748049 88.294 -29.2673
42.114260 88.269 -29.5607
42.480471 88.243 -29.8748
42.846682 88.215 -30.1937
43.212893 88.184 -30.5097
43.579103 88.153 -30.8107
43.945314 88.123 -31.0927
44.311525 88.096 -31.3728
44.677736 88.073 -31.6606
45.043947 88.052 -31.9655
45.410158 88.030 -32.2930
45.776369 88.006 -32.6175
46.142580 87.980 -32.9243
46.508791 87.953 -33.2034
46.875002 87.926 -33.4505
47.241213 87.901 -33.6801
47.607424 87.877 -33.9099
47.973635 87.854 -34.1549
48.339846 87.832 -34.4194
48.706057 87.806 -34.6954
49.072268 87.776 -34.9697
49.438479 87.744 -35.2394
49.804690 87.714 -35.4884
50.170901 87.687 -35.7307
50.537112 87.662 -35.9856
50.903323 87.638 -36.2636
51.269534 87.611 -36.5647
51.635745 87.581 -36.8646
52.001956 87.551 -37.1427
52.368167 87.527 -37.4035
52.734378 87.510 -37.6575
53.100589 87.499 -37.9292
53.466800 87.488 -38.2316
53.833011 87.472 -38.5449
54.199222 87.446 -38.8386
54.565432 87.410 -39.0814
54.931643 87.368 -39.2589
55.297854 87.325 -39.3866
55.664065 87.287 -39.4977
56.030276 87.255 -39.6364
56.396487 87.231 -39.8444
56.762698 87.209 -40.1270
57.128909 87.185 -40.4660
57.495120 87.157 -40.8173
57.861331 87.126 -41.1245
58.227542 87.096 -41.3599
58.593753 87.072 -41.5309
58.959964 87.056 -41.6768
59.326175 87.043 -41.8437
59.692386 87.026 -42.0480
60.058597 87.001 -42.2747
60.424808 86.971 -42.4994
60.791019 86.940 -42.7097
61.157230 86.914 -42.9314
61.523441 86.893 -43.1993
61.889652 86.868 -43.5170
62.255863 86.835 -43.8495
62.622074 86.790 -44.1257
62.988285 86.742 -44.2945
63.354496 86.702 -44.3563
63.720707 86.674 -44.3875
64.086918 86.657 -44.4717
64.453129 86.642 -44.6591
64.819340 86.625 -44.9297
65.185551 86.606 -45.2512
65.551762 86.590 -45.5985
65.917972 86.577 -45.9664
66.284183 86.563 -46.3553
66.650394 86.540 -46.7365
67.016605 86.504 -47.0476
67.382816 86.456 -47.2283
67.749027 86.406 -47.2551
68.115238 86.364 -47.1800
68.481449 86.336 -47.1029
68.847660 86.319 -47.1118
69.213871 86.303 -47.2414
69.580082 86.283 -47.4660
69.946293 86.260 -47.7321
70.312504 86.237 -48.0015
70.678715 86.217 -48.2548
71.044926 86.200 -48.4937
71.411137 86.181 -48.7199
71.777348 86.157 -48.9190
72.143559 86.128 -49.0772
72.509770 86.096 -49.1941
72.875981 86.064 -49.2899
73.242192 86.038 -49.3970
73.608403 86.015 -49.5448
73.974614 85.992 -49.7403
74.340825 85.966 -49.9709
74.707036 85.938 -50.1971
75.073247 85.907 -50.3907
75.439458 85.878 -50.5441
75.805669 85.853 -50.6706
76.171880 85.832 -50.7949
76.538091 85.813 -50.9346
76.904301 85.793 -51.0903
77.270512 85.771 -51.2506
77.636723 85.748 -51.4025
78.002934 85.724 -51.5444
78.369145 85.700 -51.6936
78.735356 85.675 -51.8485
79.101567 85.645 -52.0064
79.467778 85.611 -52.1561
79.833989 85.575 -52.2901
80.200200 85.540 -52.4150
80.566411 85.510 -52.5455
80.932622 85.482 -52.6940
81.298833 85.456 -52.8648
81.665044 85.430 -53.0518
82.031255 85.402 -53.2448
82.397466 85.372 -53.4273
82.763677 85.338 -53.5808
83.129888 85.302 -53.6852
83.496099 85.271 -53.7416
83.862310 85.250 -53.7912
84.228521 85.242 -53.9125
84.594732 85.235 -54.1578
84.960943 85.211 -54.4940
85.327154 85.162 -54.8009
85.693365 85.098 -54.9334
86.059576 85.048 -54.8507
86.425787 85.034 -54.6796
86.791998 85.052 -54.6535
87.158209 85.068 -54.9031
87.524420 85.045 -55.3224
87.890631 84.968 -55.6122
88.256841 84.870 -55.5053
88.623052 84.812 -55.0050
88.989263 84.837 -54.4840
89.355474 84.924 -54.4381
89.721685 85.002 -55.1047
90.087896 84.995 -56.2724
90.454107 84.876 -57.4274
90.820318 84.682 -58.0428
91.186529 84.499 -57.9059
91.552740 84.410 -57.2799
91.918951 84.431 -56.7166
92.285162 84.508 -56.6085
92.651373 84.564 -56.9202
93.017584 84.558 -57.3051
93.383795 84.501 -57.4124
93.750006 84.436 -57.1256
94.116217 84.404 -56.6350
94.482428 84.406 -56.2573
94.848639 84.412 -56.1737
95.214850 84.392 -56.3268
95.581061 84.336 -56.5102
95.947272 84.260 -56.5359
96.313483 84.193 -56.3482
96.679694 84.154 -56.0457
97.045905 84.141 -55.7700
97.412116 84.139 -55.6068
97.778327 84.128 -55.5148
98.144538 84.107 -55.4061
98.510749 84.085 -55.2119
98.876960 84.082 -54.9408
99.243170 84.111 -54.6679
99.609381 84.171 -54.4940
99.975592 84.246 -54.4782
100.341803 84.312 -54.6030
100.708014 84.352 -54.7630
101.074225 84.359 -54.8386
101.440436 84.347 -54.7596
101.806647 84.332 -54.5523
102.172858 84.332 -54.3348
102.539069 84.354 -54.2516
102.905280 84.395 -54.3964
103.271491 84.444 -54.7739
103.637702 84.493 -55.3208
104.003913 84.533 -55.9390
104.370124 84.562 -56.5375
104.736335 84.574 -57.0363
105.102546 84.572 -57.3961
105.468757 84.561 -57.6267
105.834968 84.549 -57.7936
106.201179 84.541 -57.9952
106.567390 84.535 -58.3145
106.933601 84.520 -58.7594
107.299812 84.491 -59.2509
107.666023 84.452 -59.6513
108.032234 84.414 -59.8692
108.398445 84.392 -59.9182
108.764656 84.390 -59.9068
109.130867 84.398 -59.9542
109.497078 84.396 -60.1066
109.863289 84.374 -60.3173
110.229500 84.333 -60.5010
110.595710 84.290 -60.6163
110.961921 84.261 -60.6969
111.328132 84.252 -60.8156
111.694343 84.253 -61.0156
112.060554 84.251 -61.2706
112.426765 84.238 -61.5077
112.792976 84.216 -61.6714
113.159187 84.193 -61.7705
113.525398 84.174 -61.8705
113.891609 84.156 -62.0362
114.257820 84.131 -62.2753
114.624031 84.095 -62.5310
114.990242 84.054 -62.7222
115.356453 84.018 -62.8158
115.722664 84.000 -62.8336
116.088875 84.002 -62.8558
116.455086 84.016 -62.9529
116.821297 84.025 -63.1556
117.187508 84.021 -63.4007
117.553719 84.001 -63.6091
117.919930 83.974 -63.7360
118.286141 83.938 -63.8596
118.652352 83.912 -63.9688
119.018563 83.900 -64.0996
119.384774 83.903 -64.2159
119.750985 83.899 -64.3716
120.117196 83.881 -64.5195
120.483407 83.850 -64.6174
120.849618 83.816 -64.6442
121.215829 83.786 -64.6394
121.582040 83.764 -64.6724
121.948250 83.744 -64.7957
122.314461 83.719 -65.0091
122.680672 83.687 -65.2617
123.046883 83.648 -65.4822
123.413094 83.612 -65.6228
123.779305 83.587 -65.6775
124.145516 83.577 -65.6866
124.511727 83.580 -65.7038
124.877938 83.589 -65.7655
125.244149 83.596 -65.8812
125.610360 83.598 -66.0374
125.976571 83.595 -66.2229
126.342782 83.586 -66.4330
126.708993 83.573 -66.6731
127.075204 83.552 -66.9275
127.441415 83.523 -67.1601
127.807626 83.488 -67.3279
128.173837 83.453 -67.4107
128.540048 83.424 -67.4251
128.906259 83.403 -67.4163
129.272470 83.389 -67.4332
129.638681 83.378 -67.5028
130.004892 83.366 -67.6247
130.371103 83.351 -67.7787
130.737314 83.334 -67.9456
131.103525 83.318 -68.1087
131.469736 83.303 -68.2555
131.835947 83.290 -68.3687
132.202158 83.278 -68.4430
132.568369 83.269 -68.4923
132.934579 83.258 -68.5450
133.300790 83.243 -68.6243
133.667001 83.220 -68.7294
134.033212 83.187 -68.8374
134.399423 83.150 -68.9188
134.765634 83.116 -68.9670
135.131845 83.092 -69.0016
135.498056 83.081 -69.0556
135.864267 83.077 -69.1471
136.230478 83.076 -69.2661
136.596689 83.072 -69.3789
136.962900 83.067 -69.4584
137.329111 83.064 -69.5053
137.695322 83.063 -69.5529
138.061533 83.063 -69.6354
138.427744 83.059 -69.7650
138.793955 83.048 -69.9187
139.160166 83.029 -70.0609
139.526377 83.008 -70.1606
139.892588 82.987 -70.2061
140.258799 82.971 -70.2049
140.625010 82.960 -70.1838
140.991221 82.954 -70.1731
141.357432 82.951 -70.2013
141.723643 82.948 -70.2818
142.089854 82.941 -70.4129
142.456065 82.928 -70.5731
142.822276 82.911 -70.7248
143.188487 82.895 -70.8375
143.554698 82.882 -70.9060
143.920909 82.875 -70.9508
144.287119 82.871 -71.0015
144.653330 82.864 -71.0603
145.019541 82.848 -71.1074
145.385752 82.826 -71.1135
145.751963 82.805 -71.0809
146.118174 82.795 -71.0484
146.484385 82.799 -71.0804
146.850596 82.811 -71.2252
147.216807 82.823 -71.4820
147.583018 82.824 -71.7888
147.949229 82.813 -72.0537
148.315440 82.793 -72.1995
148.681651 82.773 -72.2138
149.047862 82.760 -72.1414
149.414073 82.755 -72.0592
149.780284 82.751 -72.0264
150.146495 82.745 -72.0657
150.512706 82.732 -72.1631
150.878917 82.715 -72.2912
151.245128 82.699 -72.4322
151.611339 82.689 -72.5848
151.977550 82.688 -72.7548
152.343761 82.692 -72.9378
152.709972 82.697 -73.1167
153.076183 82.698 -73.2663
153.442394 82.695 -73.3707
153.808605 82.688 -73.4306
154.174816 82.675 -73.4652
154.541027 82.656 -73.4983
154.907238 82.629 -73.5437
155.273448 82.598 -73.6021
155.639659 82.567 -73.6560
156.005870 82.542 -73.6944
156.372081 82.531 -73.7205
156.738292 82.536 -73.7678
157.104503 82.556 -73.8722
157.470714 82.579 -74.0529
157.836925 82.595 -74.2851
158.203136 82.594 -74.5127
158.569347 82.574 -74.6686
158.935558 82.543 -74.7094
159.301769 82.515 -74.6425
159.667980 82.501 -74.5403
160.034191 82.504 -74.5000
160.400402 82.516 -74.5929
160.766613 82.524 -74.8075
161.132824 82.519 -75.0707
161.499035 82.499 -75.2872
161.865246 82.474 -75.3979
162.231457 82.454 -75.4111
162.597668 82.445 -75.3936
