* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 12, 2023 1:50:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Blessing3 R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 56.717 -32.3999
0.732422 55.061 -54.0591
1.098633 50.588 -103.1681
1.464844 44.083 -99.6791
1.831055 37.693 -26.9759
2.197266 47.682 -6.7800
2.563477 51.741 -26.5901
2.929688 54.604 2.9798
3.295899 57.204 41.9772
3.662110 59.846 55.5744
4.028321 62.607 58.7175
4.394532 65.338 58.1850
4.760743 67.872 56.1107
5.126954 70.143 53.0794
5.493164 72.162 50.2709
5.859375 73.988 47.4871
6.225586 75.668 45.1178
6.591797 77.231 42.7578
6.958008 78.678 40.4806
7.324219 80.010 38.2457
7.690430 81.236 36.0936
8.056641 82.372 34.2112
8.422852 83.444 32.4794
8.789063 84.454 30.8834
9.155274 85.416 29.3814
9.521485 86.314 27.9370
9.887696 87.156 26.5847
10.253907 87.973 25.3638
10.620118 88.638 24.2899
10.986329 89.005 23.2871
11.352540 89.144 22.2847
11.718751 89.212 21.2791
12.084962 89.263 20.3019
12.451173 89.296 19.4026
12.817384 89.314 18.6413
13.183595 89.331 18.0123
13.549806 89.356 17.4658
13.916017 89.393 16.9285
14.282228 89.440 16.3226
14.648439 89.485 15.6217
15.014650 89.520 14.8272
15.380861 89.541 13.9648
15.747072 89.543 13.1151
16.113283 89.528 12.3542
16.479493 89.510 11.7167
16.845704 89.499 11.1990
17.211915 89.503 10.7455
17.578126 89.523 10.2785
17.944337 89.550 9.7436
18.310548 89.575 9.1359
18.676759 89.588 8.5044
19.042970 89.589 7.9097
19.409181 89.582 7.3852
19.775392 89.574 6.9365
20.141603 89.566 6.5480
20.507814 89.560 6.2020
20.874025 89.555 5.8932
21.240236 89.553 5.6175
21.606447 89.557 5.3555
21.972658 89.567 5.0689
22.338869 89.580 4.7211
22.705080 89.589 4.3057
23.071291 89.588 3.8490
23.437502 89.577 3.3916
23.803713 89.560 2.9639
24.169924 89.542 2.5665
24.536135 89.525 2.1753
24.902346 89.509 1.7671
25.268557 89.490 1.3433
25.634768 89.465 0.9318
26.000979 89.436 0.5656
26.367190 89.408 0.2588
26.733401 89.387 -0.0004
27.099612 89.374 -0.2412
27.465823 89.367 -0.4890
27.832033 89.363 -0.7484
28.198244 89.359 -1.0066
28.564455 89.356 -1.2497
28.930666 89.358 -1.4801
29.296877 89.364 -1.7175
29.663088 89.374 -1.9858
30.029299 89.382 -2.2947
30.395510 89.385 -2.6324
30.761721 89.382 -2.9737
31.127932 89.375 -3.3018
31.494143 89.367 -3.6219
31.860354 89.359 -3.9558
32.226565 89.346 -4.3193
32.592776 89.325 -4.7002
32.958987 89.294 -5.0582
33.325198 89.256 -5.3493
33.691409 89.220 -5.5608
34.057620 89.193 -5.7276
34.423831 89.178 -5.9141
34.790042 89.167 -6.1687
35.156253 89.150 -6.4854
35.522464 89.119 -6.8025
35.888675 89.079 -7.0422
36.254886 89.039 -7.1657
36.621097 89.014 -7.2036
36.987308 89.009 -7.2412
37.353519 89.018 -7.3655
37.719730 89.028 -7.6122
38.085941 89.025 -7.9457
38.452152 89.004 -8.2829
38.818363 88.970 -8.5410
39.184573 88.933 -8.6813
39.550784 88.907 -8.7269
39.916995 88.897 -8.7479
40.283206 88.901 -8.8253
40.649417 88.911 -9.0111
41.015628 88.912 -9.3023
41.381839 88.897 -9.6406
41.748050 88.865 -9.9394
42.114261 88.823 -10.1282
42.480472 88.785 -10.1932
42.846683 88.764 -10.1905
43.212894 88.764 -10.2194
43.579105 88.774 -10.3674
43.945316 88.780 -10.6580
44.311527 88.768 -11.0344
44.677738 88.732 -11.3882
45.043949 88.680 -11.6176
45.410160 88.628 -11.6807
45.776371 88.592 -11.6154
46.142582 88.581 -11.5179
46.508793 88.592 -11.4948
46.875004 88.614 -11.6155
47.241215 88.631 -11.8889
47.607426 88.631 -12.2661
47.973637 88.608 -12.6643
48.339848 88.565 -12.9967
48.706059 88.511 -13.2011
49.072270 88.456 -13.2601
49.438481 88.415 -13.2059
49.804692 88.393 -13.1088
50.170902 88.389 -13.0500
50.537113 88.397 -13.0890
50.903324 88.405 -13.2420
51.269535 88.404 -13.4801
51.635746 88.389 -13.7466
52.001957 88.362 -13.9848
52.368168 88.329 -14.1604
52.734379 88.297 -14.2710
53.100590 88.271 -14.3396
53.466801 88.251 -14.3992
53.833012 88.238 -14.4768
54.199223 88.227 -14.5844
54.565434 88.216 -14.7183
54.931645 88.201 -14.8652
55.297856 88.185 -15.0098
55.664067 88.166 -15.1415
56.030278 88.148 -15.2564
56.396489 88.130 -15.3571
56.762700 88.114 -15.4490
57.128911 88.099 -15.5381
57.495122 88.086 -15.6287
57.861333 88.073 -15.7238
58.227544 88.061 -15.8247
58.593755 88.048 -15.9317
58.959966 88.035 -16.0430
59.326177 88.019 -16.1552
59.692388 88.002 -16.2637
60.058599 87.983 -16.3641
60.424810 87.964 -16.4534
60.791021 87.944 -16.5298
61.157232 87.924 -16.5924
61.523442 87.905 -16.6409
61.889653 87.888 -16.6758
62.255864 87.874 -16.7009
62.622075 87.865 -16.7244
62.988286 87.859 -16.7588
63.354497 87.858 -16.8182
63.720708 87.858 -16.9136
64.086919 87.858 -17.0487
64.453130 87.853 -17.2170
64.819341 87.844 -17.4035
65.185552 87.827 -17.5880
65.551763 87.805 -17.7507
65.917974 87.779 -17.8771
66.284185 87.753 -17.9619
66.650396 87.727 -18.0095
67.016607 87.706 -18.0324
67.382818 87.688 -18.0466
67.749029 87.674 -18.0653
68.115240 87.660 -18.0947
68.481451 87.646 -18.1318
68.847662 87.631 -18.1666
69.213873 87.614 -18.1875
69.580084 87.597 -18.1871
69.946295 87.583 -18.1662
70.312506 87.573 -18.1344
70.678717 87.569 -18.1064
71.044928 87.568 -18.0974
71.411139 87.571 -18.1183
71.777350 87.574 -18.1734
72.143561 87.576 -18.2606
72.509771 87.575 -18.3730
72.875982 87.571 -18.5010
73.242193 87.564 -18.6351
73.608404 87.553 -18.7674
73.974615 87.539 -18.8929
74.340826 87.524 -19.0099
74.707037 87.508 -19.1195
75.073248 87.492 -19.2241
75.439459 87.475 -19.3257
75.805670 87.456 -19.4247
76.171881 87.437 -19.5193
76.538092 87.417 -19.6066
76.904303 87.395 -19.6845
77.270514 87.374 -19.7527
77.636725 87.353 -19.8136
78.002936 87.333 -19.8711
78.369147 87.313 -19.9288
78.735358 87.293 -19.9877
79.101569 87.271 -20.0459
79.467780 87.249 -20.0984
79.833991 87.225 -20.1395
80.200202 87.201 -20.1652
80.566413 87.176 -20.1739
80.932624 87.153 -20.1675
81.298835 87.132 -20.1504
81.665046 87.113 -20.1274
82.031257 87.096 -20.1034
82.397468 87.080 -20.0823
82.763679 87.066 -20.0667
83.129890 87.052 -20.0588
83.496101 87.039 -20.0598
83.862311 87.027 -20.0703
84.228522 87.014 -20.0900
84.594733 87.002 -20.1179
84.960944 86.989 -20.1523
85.327155 86.976 -20.1917
85.693366 86.963 -20.2346
86.059577 86.951 -20.2799
86.425788 86.939 -20.3267
86.791999 86.929 -20.3741
87.158210 86.919 -20.4213
87.524421 86.911 -20.4667
87.890632 86.904 -20.5089
88.256843 86.898 -20.5465
88.623054 86.893 -20.5782
88.989265 86.890 -20.6031
89.355476 86.888 -20.6205
89.721687 86.887 -20.6291
90.087898 86.886 -20.6277
90.454109 86.884 -20.6145
90.820320 86.882 -20.5881
91.186531 86.880 -20.5478
91.552742 86.877 -20.4939
91.918953 86.872 -20.4278
92.285164 86.867 -20.3521
92.651375 86.860 -20.2701
93.017586 86.852 -20.1852
93.383797 86.841 -20.1013
93.750008 86.829 -20.0216
94.116219 86.814 -19.9489
94.482430 86.797 -19.8851
94.848641 86.778 -19.8311
95.214851 86.756 -19.7875
95.581062 86.733 -19.7543
95.947273 86.709 -19.7320
96.313484 86.684 -19.7209
96.679695 86.659 -19.7219
97.045906 86.636 -19.7356
97.412117 86.613 -19.7624
97.778328 86.593 -19.8019
98.144539 86.575 -19.8532
98.510750 86.558 -19.9142
98.876961 86.544 -19.9819
99.243172 86.531 -20.0526
99.609383 86.520 -20.1219
99.975594 86.511 -20.1856
100.341805 86.503 -20.2397
100.708016 86.496 -20.2809
101.074227 86.490 -20.3073
101.440438 86.485 -20.3176
101.806649 86.480 -20.3117
102.172860 86.475 -20.2903
102.539071 86.470 -20.2549
102.905282 86.465 -20.2075
103.271493 86.459 -20.1507
103.637704 86.452 -20.0875
104.003915 86.443 -20.0210
104.370126 86.433 -19.9540
104.736337 86.421 -19.8892
105.102548 86.407 -19.8285
105.468759 86.392 -19.7735
105.834970 86.375 -19.7251
106.201180 86.357 -19.6839
106.567391 86.338 -19.6505
106.933602 86.319 -19.6250
107.299813 86.301 -19.6076
107.666024 86.283 -19.5982
108.032235 86.265 -19.5965
108.398446 86.249 -19.6014
108.764657 86.235 -19.6116
109.130868 86.221 -19.6252
109.497079 86.209 -19.6400
109.863290 86.198 -19.6537
110.229501 86.188 -19.6641
110.595712 86.180 -19.6695
110.961923 86.172 -19.6683
111.328134 86.164 -19.6597
111.694345 86.157 -19.6434
112.060556 86.150 -19.6196
112.426767 86.143 -19.5887
112.792978 86.136 -19.5518
113.159189 86.128 -19.5100
113.525400 86.119 -19.4644
113.891611 86.109 -19.4163
114.257822 86.099 -19.3669
114.624033 86.087 -19.3172
114.990244 86.074 -19.2681
115.356455 86.060 -19.2203
115.722666 86.046 -19.1747
116.088877 86.031 -19.1319
116.455088 86.016 -19.0928
116.821299 86.002 -19.0580
117.187510 85.987 -19.0278
117.553720 85.974 -19.0022
117.919931 85.960 -18.9806
118.286142 85.948 -18.9623
118.652353 85.936 -18.9460
119.018564 85.924 -18.9305
119.384775 85.914 -18.9144
119.750986 85.904 -18.8967
120.117197 85.894 -18.8767
120.483408 85.885 -18.8538
120.849619 85.876 -18.8276
121.215830 85.867 -18.7980
121.582041 85.859 -18.7650
121.948252 85.850 -18.7287
122.314463 85.841 -18.6895
122.680674 85.832 -18.6479
123.046885 85.822 -18.6048
123.413096 85.813 -18.5613
123.779307 85.803 -18.5186
124.145518 85.793 -18.4779
124.511729 85.782 -18.4405
124.877940 85.772 -18.4072
125.244151 85.761 -18.3785
125.610362 85.750 -18.3544
125.976573 85.739 -18.3343
126.342784 85.727 -18.3169
126.708995 85.716 -18.3006
127.075206 85.704 -18.2837
127.441417 85.693 -18.2645
127.807628 85.682 -18.2413
128.173839 85.672 -18.2129
128.540049 85.662 -18.1781
128.906260 85.653 -18.1360
129.272471 85.645 -18.0862
129.638682 85.638 -18.0285
130.004893 85.633 -17.9629
130.371104 85.628 -17.8906
130.737315 85.625 -17.8130
131.103526 85.624 -17.7329
131.469737 85.623 -17.6535
131.835948 85.624 -17.5789
132.202159 85.625 -17.5131
132.568370 85.627 -17.4594
132.934581 85.627 -17.4196
133.300792 85.625 -17.3934
133.667003 85.621 -17.3783
134.033214 85.614 -17.3700
134.399425 85.604 -17.3634
134.765636 85.591 -17.3534
135.131847 85.576 -17.3364
135.498058 85.560 -17.3104
135.864269 85.542 -17.2754
136.230480 85.525 -17.2327
136.596691 85.509 -17.1848
136.962902 85.493 -17.1341
137.329113 85.479 -17.0826
137.695324 85.466 -17.0322
138.061535 85.453 -16.9836
138.427746 85.442 -16.9374
138.793957 85.431 -16.8934
139.160168 85.421 -16.8513
139.526379 85.412 -16.8107
139.892589 85.403 -16.7710
140.258800 85.394 -16.7316
140.625011 85.386 -16.6919
140.991222 85.377 -16.6515
141.357433 85.369 -16.6100
141.723644 85.362 -16.5669
142.089855 85.354 -16.5221
142.456066 85.346 -16.4754
142.822277 85.339 -16.4268
143.188488 85.331 -16.3767
143.554699 85.324 -16.3254
143.920910 85.317 -16.2735
144.287121 85.310 -16.2214
