* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 13, 2023 5:05:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Chu II 3d R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 99.690 -172.4577
20.507813 99.691 -172.5464
20.874023 99.697 -172.7627
21.240234 99.713 -172.9491
21.606445 99.734 -173.1395
21.972656 99.744 -173.3912
22.338867 99.728 -173.6858
22.705078 99.683 -173.9566
23.071289 99.619 -174.1392
23.437500 99.557 -174.2207
23.803711 99.519 -174.2605
24.169922 99.517 -174.3589
24.536133 99.543 -174.5941
24.902344 99.581 -174.9687
25.268555 99.611 -175.4040
25.634766 99.624 -175.7878
26.000977 99.623 -176.0405
26.367188 99.613 -176.1544
26.733399 99.603 -176.1862
27.099610 99.594 -176.2159
27.465821 99.585 -176.2997
27.832032 99.571 -176.4469
28.198243 99.554 -176.6335
28.564454 99.535 -176.8293
28.930665 99.518 -177.0177
29.296876 99.503 -177.1979
29.663087 99.491 -177.3756
30.029298 99.480 -177.5535
30.395509 99.467 -177.7296
30.761720 99.453 -177.9003
31.127931 99.438 -178.0642
31.494142 99.422 -178.2228
31.860353 99.408 -178.3768
32.226563 99.395 -178.5252
32.592774 99.384 -178.6665
32.958985 99.373 -178.8002
33.325196 99.362 -178.9264
33.691407 99.350 -179.0452
34.057618 99.337 -179.1568
34.423829 99.323 -179.2618
34.790040 99.306 -179.3618
35.156251 99.289 -179.4597
35.522462 99.272 -179.5588
35.888673 99.253 -179.6605
36.254884 99.235 -179.7642
36.621095 99.216 -179.8677
36.987306 99.197 -179.9695
37.353517 99.180 179.9301
37.719728 99.163 179.8299
38.085939 99.145 179.7289
38.452150 99.128 179.6282
38.818361 99.109 179.5305
39.184572 99.089 179.4387
39.550783 99.069 179.3539
39.916994 99.051 179.2747
40.283205 99.033 179.1984
40.649416 99.016 179.1229
41.015627 99.000 179.0473
41.381838 98.983 178.9724
41.748049 98.966 178.8994
42.114260 98.948 178.8292
42.480471 98.929 178.7621
42.846682 98.909 178.6983
43.212893 98.889 178.6375
43.579103 98.868 178.5791
43.945314 98.847 178.5223
44.311525 98.828 178.4662
44.677736 98.808 178.4102
45.043947 98.790 178.3540
45.410158 98.772 178.2981
45.776369 98.754 178.2434
46.142580 98.735 178.1912
46.508791 98.715 178.1417
46.875002 98.694 178.0946
47.241213 98.673 178.0492
47.607424 98.652 178.0046
47.973635 98.631 177.9604
48.339846 98.611 177.9169
48.706057 98.592 177.8748
49.072268 98.574 177.8346
49.438479 98.556 177.7978
49.804690 98.538 177.7656
50.170901 98.520 177.7391
50.537112 98.501 177.7181
50.903323 98.482 177.7010
51.269534 98.462 177.6854
51.635745 98.442 177.6689
52.001956 98.421 177.6501
52.368167 98.401 177.6287
52.734378 98.381 177.6057
53.100589 98.362 177.5829
53.466800 98.342 177.5625
53.833011 98.322 177.5456
54.199222 98.303 177.5326
54.565432 98.283 177.5226
54.931643 98.263 177.5141
55.297854 98.243 177.5058
55.664065 98.222 177.4965
56.030276 98.202 177.4863
56.396487 98.182 177.4760
56.762698 98.162 177.4669
57.128909 98.142 177.4606
57.495120 98.123 177.4579
57.861331 98.104 177.4587
58.227542 98.085 177.4622
58.593753 98.065 177.4670
58.959964 98.046 177.4721
59.326175 98.026 177.4762
59.692386 98.006 177.4786
60.058597 97.985 177.4784
60.424808 97.965 177.4751
60.791019 97.945 177.4688
61.157230 97.925 177.4604
61.523441 97.905 177.4521
61.889652 97.884 177.4461
62.255863 97.863 177.4445
62.622074 97.841 177.4481
62.988285 97.820 177.4564
63.354496 97.798 177.4675
63.720707 97.777 177.4791
64.086918 97.756 177.4890
64.453129 97.735 177.4958
64.819340 97.714 177.4993
65.185551 97.694 177.4999
65.551762 97.673 177.4994
65.917972 97.653 177.4995
66.284183 97.632 177.5021
66.650394 97.612 177.5087
67.016605 97.591 177.5197
67.382816 97.570 177.5347
67.749027 97.549 177.5526
68.115238 97.529 177.5722
68.481449 97.508 177.5925
68.847660 97.487 177.6128
69.213871 97.466 177.6324
69.580082 97.445 177.6506
69.946293 97.424 177.6671
70.312504 97.403 177.6821
70.678715 97.381 177.6965
71.044926 97.360 177.7123
71.411137 97.338 177.7318
71.777348 97.316 177.7564
72.143559 97.295 177.7865
72.509770 97.275 177.8210
72.875981 97.255 177.8583
73.242192 97.236 177.8961
73.608403 97.216 177.9331
73.974614 97.197 177.9687
74.340825 97.177 178.0029
74.707036 97.157 178.0364
75.073247 97.136 178.0697
75.439458 97.116 178.1030
75.805669 97.097 178.1364
76.171880 97.077 178.1703
76.538091 97.058 178.2046
76.904301 97.039 178.2397
77.270512 97.020 178.2761
77.636723 97.000 178.3142
78.002934 96.980 178.3545
78.369145 96.959 178.3975
78.735356 96.938 178.4434
79.101567 96.916 178.4924
79.467778 96.895 178.5443
79.833989 96.874 178.5985
80.200200 96.853 178.6547
80.566411 96.832 178.7123
80.932622 96.812 178.7710
81.298833 96.791 178.8303
81.665044 96.771 178.8898
82.031255 96.750 178.9485
82.397466 96.729 179.0056
82.763677 96.708 179.0602
83.129888 96.687 179.1122
83.496099 96.665 179.1618
83.862310 96.643 179.2101
84.228521 96.622 179.2583
84.594732 96.601 179.3076
84.960943 96.580 179.3587
85.327154 96.560 179.4119
85.693365 96.539 179.4670
86.059576 96.519 179.5236
86.425787 96.499 179.5809
86.791998 96.478 179.6387
87.158209 96.457 179.6968
87.524420 96.436 179.7554
87.890631 96.415 179.8147
88.256841 96.394 179.8749
88.623052 96.372 179.9364
88.989263 96.351 179.9991
89.355474 96.329 -179.9370
89.721685 96.307 -179.8725
90.087896 96.285 -179.8079
90.454107 96.262 -179.7437
90.820318 96.238 -179.6803
91.186529 96.213 -179.6175
91.552740 96.189 -179.5546
91.918951 96.164 -179.4909
92.285162 96.139 -179.4254
92.651373 96.115 -179.3575
93.017584 96.091 -179.2866
93.383795 96.066 -179.2119
93.750006 96.039 -179.1320
94.116217 96.011 -179.0455
94.482428 95.980 -178.9510
94.848639 95.947 -178.8484
95.214850 95.915 -178.7392
95.581061 95.882 -178.6264
95.947272 95.852 -178.5133
96.313483 95.824 -178.4020
96.679694 95.798 -178.2925
97.045905 95.775 -178.1824
97.412116 95.754 -178.0675
97.778327 95.734 -177.9440
98.144538 95.715 -177.8093
98.510749 95.696 -177.6631
98.876960 95.678 -177.5070
99.243170 95.660 -177.3436
99.609381 95.644 -177.1758
99.975592 95.629 -177.0057
100.341803 95.616 -176.8343
100.708014 95.605 -176.6619
101.074225 95.596 -176.4885
101.440436 95.588 -176.3144
101.806647 95.581 -176.1407
102.172858 95.575 -175.9701
102.539069 95.570 -175.8068
102.905280 95.565 -175.6558
103.271491 95.560 -175.5221
103.637702 95.556 -175.4094
104.003913 95.551 -175.3185
104.370124 95.545 -175.2474
104.736335 95.538 -175.1909
105.102546 95.527 -175.1415
105.468757 95.513 -175.0916
105.834968 95.495 -175.0348
106.201179 95.475 -174.9675
106.567390 95.453 -174.8895
106.933601 95.431 -174.8035
107.299812 95.411 -174.7144
107.666023 95.394 -174.6271
108.032234 95.379 -174.5453
108.398445 95.368 -174.4706
108.764656 95.360 -174.4025
109.130867 95.353 -174.3383
109.497078 95.346 -174.2751
109.863289 95.340 -174.2097
110.229500 95.332 -174.1403
110.595710 95.322 -174.0660
110.961921 95.311 -173.9875
111.328132 95.298 -173.9064
111.694343 95.285 -173.8249
112.060554 95.272 -173.7450
112.426765 95.259 -173.6683
112.792976 95.247 -173.5957
113.159187 95.237 -173.5268
113.525398 95.227 -173.4604
113.891609 95.217 -173.3946
114.257820 95.208 -173.3274
114.624031 95.199 -173.2571
114.990242 95.189 -173.1831
115.356453 95.179 -173.1060
115.722664 95.168 -173.0276
116.088875 95.158 -172.9510
116.455086 95.149 -172.8799
116.821297 95.140 -172.8184
117.187508 95.132 -172.7697
117.553719 95.124 -172.7354
117.919930 95.116 -172.7149
118.286141 95.107 -172.7045
118.652352 95.095 -172.6985
119.018563 95.081 -172.6902
119.384774 95.063 -172.6736
119.750985 95.042 -172.6447
120.117196 95.018 -172.6024
120.483407 94.992 -172.5481
120.849618 94.965 -172.4846
121.215829 94.938 -172.4152
121.582040 94.910 -172.3419
121.948250 94.883 -172.2653
122.314461 94.857 -172.1842
122.680672 94.833 -172.0963
123.046883 94.810 -171.9989
123.413094 94.788 -171.8893
123.779305 94.766 -171.7659
124.145516 94.746 -171.6280
124.511727 94.725 -171.4762
124.877938 94.704 -171.3119
125.244149 94.683 -171.1375
125.610360 94.661 -170.9551
125.976571 94.639 -170.7669
126.342782 94.618 -170.5742
126.708993 94.597 -170.3774
127.075204 94.578 -170.1764
127.441415 94.561 -169.9708
127.807626 94.548 -169.7604
128.173837 94.537 -169.5457
128.540048 94.530 -169.3279
128.906259 94.526 -169.1090
129.272470 94.526 -168.8918
129.638681 94.528 -168.6796
130.004892 94.532 -168.4756
130.371103 94.539 -168.2827
130.737314 94.547 -168.1034
131.103525 94.556 -167.9388
131.469736 94.565 -167.7894
131.835947 94.575 -167.6544
132.202158 94.584 -167.5331
132.568369 94.593 -167.4243
132.934579 94.600 -167.3271
133.300790 94.606 -167.2410
133.667001 94.610 -167.1654
134.033212 94.612 -167.0997
134.399423 94.613 -167.0430
134.765634 94.613 -166.9942
135.131845 94.611 -166.9517
135.498056 94.609 -166.9138
135.864267 94.606 -166.8788
136.230478 94.603 -166.8454
136.596689 94.600 -166.8126
136.962900 94.596 -166.7800
137.329111 94.592 -166.7475
137.695322 94.587 -166.7153
138.061533 94.582 -166.6838
138.427744 94.576 -166.6528
138.793955 94.570 -166.6221
139.160166 94.563 -166.5907
139.526377 94.556 -166.5576
139.892588 94.547 -166.5213
140.258799 94.538 -166.4806
140.625010 94.528 -166.4340
140.991221 94.516 -166.3808
141.357432 94.504 -166.3206
141.723643 94.490 -166.2537
142.089854 94.476 -166.1816
142.456065 94.461 -166.1062
142.822276 94.446 -166.0299
143.188487 94.431 -165.9552
143.554698 94.416 -165.8839
143.920909 94.401 -165.8173
144.287119 94.385 -165.7557
144.653330 94.370 -165.6986
145.019541 94.355 -165.6448
145.385752 94.340 -165.5929
145.751963 94.324 -165.5417
146.118174 94.309 -165.4899
146.484385 94.294 -165.4366
146.850596 94.279 -165.3814
147.216807 94.265 -165.3237
147.583018 94.250 -165.2634
147.949229 94.236 -165.2001
148.315440 94.221 -165.1337
148.681651 94.207 -165.0642
149.047862 94.192 -164.9914
149.414073 94.178 -164.9155
149.780284 94.163 -164.8366
150.146495 94.149 -164.7551
150.512706 94.134 -164.6713
150.878917 94.120 -164.5857
151.245128 94.106 -164.4988
151.611339 94.092 -164.4112
151.977550 94.078 -164.3233
152.343761 94.065 -164.2356
152.709972 94.052 -164.1482
153.076183 94.040 -164.0612
153.442394 94.028 -163.9745
153.808605 94.018 -163.8876
154.174816 94.008 -163.8001
154.541027 93.999 -163.7118
154.907238 93.990 -163.6222
155.273448 93.982 -163.5314
155.639659 93.974 -163.4393
156.005870 93.966 -163.3461
156.372081 93.957 -163.2520
156.738292 93.947 -163.1572
157.104503 93.936 -163.0621
157.470714 93.923 -162.9667
157.836925 93.910 -162.8712
158.203136 93.895 -162.7756
158.569347 93.880 -162.6799
158.935558 93.865 -162.5840
159.301769 93.849 -162.4881
159.667980 93.833 -162.3920
160.034191 93.817 -162.2961
160.400402 93.802 -162.2007
160.766613 93.787 -162.1060
161.132824 93.773 -162.0126
161.499035 93.759 -161.9208
161.865246 93.746 -161.8308
162.231457 93.734 -161.7427
162.597668 93.722 -161.6567
162.963879 93.710 -161.5727
163.330090 93.699 -161.4906
163.696301 93.689 -161.4103
164.062512 93.678 -161.3316
164.428723 93.669 -161.2542
164.794934 93.660 -161.1779
165.161145 93.651 -161.1021
165.527356 93.642 -161.0264
165.893567 93.634 -160.9502
