* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 10, 2023 9:43:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Chu - L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 89.558 -169.1474
20.507813 89.265 -170.1405
20.874023 89.086 -166.9405
21.240234 89.407 -160.6791
21.606445 90.251 -155.1095
21.972656 91.159 -152.7396
22.338867 91.708 -153.3477
22.705078 91.705 -155.5666
23.071289 91.174 -158.0782
23.437500 90.307 -159.8951
23.803711 89.429 -160.6613
24.169922 88.883 -161.0892
24.536133 88.791 -162.3853
24.902344 88.998 -164.8516
25.268555 89.266 -167.6365
25.634766 89.440 -169.5998
26.000977 89.497 -170.1210
26.367188 89.502 -169.4300
26.733399 89.509 -168.3433
27.099610 89.508 -167.7489
27.465821 89.458 -168.0014
27.832032 89.347 -168.8145
28.198243 89.223 -169.7211
28.564454 89.150 -170.3843
28.930665 89.161 -170.7671
29.296876 89.233 -171.0445
29.663087 89.304 -171.2918
30.029298 89.326 -171.4575
30.395509 89.298 -171.4862
30.761720 89.244 -171.4023
31.127931 89.200 -171.3951
31.494142 89.181 -171.6550
31.860353 89.176 -172.1947
32.226563 89.172 -172.8530
32.592774 89.163 -173.3991
32.958985 89.153 -173.6856
33.325196 89.152 -173.7381
33.691407 89.159 -173.6765
34.057618 89.165 -173.6504
34.423829 89.159 -173.7558
34.790040 89.138 -173.9802
35.156251 89.107 -174.2870
35.522462 89.073 -174.6219
35.888673 89.041 -174.9243
36.254884 89.017 -175.1697
36.621095 89.000 -175.3396
36.987306 88.989 -175.4442
37.353517 88.984 -175.5339
37.719728 88.979 -175.6284
38.085939 88.970 -175.7499
38.452150 88.956 -175.9063
38.818361 88.937 -176.0757
39.184572 88.917 -176.2580
39.550783 88.895 -176.4502
39.916994 88.869 -176.6394
40.283205 88.842 -176.8197
40.649416 88.814 -176.9698
41.015627 88.789 -177.0849
41.381838 88.770 -177.1837
41.748049 88.755 -177.2844
42.114260 88.742 -177.4039
42.480471 88.728 -177.5414
42.846682 88.709 -177.6680
43.212893 88.687 -177.7769
43.579103 88.664 -177.8710
43.945314 88.641 -177.9621
44.311525 88.621 -178.0695
44.677736 88.600 -178.1873
45.043947 88.579 -178.3013
45.410158 88.559 -178.4041
45.776369 88.540 -178.4787
46.142580 88.523 -178.5382
46.508791 88.509 -178.6044
46.875002 88.492 -178.6895
47.241213 88.470 -178.7969
47.607424 88.442 -178.9097
47.973635 88.409 -179.0042
48.339846 88.380 -179.0682
48.706057 88.358 -179.1138
49.072268 88.344 -179.1745
49.438479 88.334 -179.2871
49.804690 88.322 -179.4332
50.170901 88.304 -179.5742
50.537112 88.279 -179.6570
50.903323 88.253 -179.6518
51.269534 88.234 -179.5882
51.635745 88.225 -179.5298
52.001956 88.220 -179.5446
52.368167 88.208 -179.6609
52.734378 88.180 -179.8286
53.100589 88.136 -179.9668
53.466800 88.087 179.9869
53.833011 88.048 -179.9598
54.199222 88.031 -179.8752
54.565432 88.035 -179.8499
54.931643 88.046 -179.9333
55.297854 88.047 179.8970
55.664065 88.031 179.7263
56.030276 87.999 179.6404
56.396487 87.965 179.6672
56.762698 87.938 179.7743
57.128909 87.926 179.8726
57.495120 87.922 179.8822
57.861331 87.917 179.7866
58.227542 87.901 179.6281
58.593753 87.872 179.4873
58.959964 87.837 179.4321
59.326175 87.806 179.4746
59.692386 87.786 179.5692
60.058597 87.779 179.6372
60.424808 87.777 179.6147
60.791019 87.767 179.5009
61.157230 87.743 179.3469
61.523441 87.708 179.2296
61.889652 87.671 179.2043
62.255863 87.644 179.2581
62.622074 87.634 179.3346
62.988285 87.632 179.3723
63.354496 87.629 179.3650
63.720707 87.611 179.3478
64.086918 87.576 179.3832
64.453129 87.536 179.4867
64.819340 87.506 179.6093
65.185551 87.492 179.6294
65.551762 87.488 179.4508
65.917972 87.477 179.0814
66.284183 87.447 178.6400
66.650394 87.400 178.3011
67.016605 87.350 178.1984
67.382816 87.318 178.3475
67.749027 87.313 178.6552
68.115238 87.329 178.9765
68.481449 87.348 179.2103
68.847660 87.350 179.3437
69.213871 87.328 179.4221
69.580082 87.288 179.4957
69.946293 87.242 179.5799
70.312504 87.203 179.6505
70.678715 87.175 179.6847
71.044926 87.157 179.6758
71.411137 87.146 179.6351
71.777348 87.139 179.5814
72.143559 87.134 179.5182
72.509770 87.127 179.4417
72.875981 87.115 179.3585
73.242192 87.097 179.2937
73.608403 87.077 179.2747
73.974614 87.061 179.3116
74.340825 87.052 179.3806
74.707036 87.050 179.4567
75.073247 87.045 179.5259
75.439458 87.029 179.6077
75.805669 87.000 179.7414
76.171880 86.966 179.9440
76.538091 86.937 -179.8216
76.904301 86.922 -179.6401
77.270512 86.921 -179.5966
77.636723 86.924 -179.7148
78.002934 86.920 -179.9380
78.369145 86.906 179.8303
78.735356 86.885 179.6931
79.101567 86.864 179.6829
79.467778 86.847 179.7635
79.833989 86.834 179.8642
80.200200 86.821 179.9268
80.566411 86.804 179.9326
80.932622 86.783 179.8932
81.298833 86.763 179.8241
81.665044 86.749 179.7353
82.031255 86.741 179.6362
82.397466 86.735 179.5501
82.763677 86.724 179.5054
83.129888 86.706 179.5225
83.496099 86.682 179.5925
83.862310 86.654 179.6797
84.228521 86.625 179.7383
84.594732 86.595 179.7519
84.960943 86.567 179.7403
85.327154 86.543 179.7352
85.693365 86.530 179.7620
86.059576 86.529 179.8182
86.425787 86.532 179.8922
86.791998 86.526 179.9714
87.158209 86.505 -179.9363
87.524420 86.470 -179.8304
87.890631 86.431 -179.7465
88.256841 86.396 -179.7656
88.623052 86.368 -179.9453
88.989263 86.344 179.7368
89.355474 86.318 179.4104
89.721685 86.292 179.2458
90.087896 86.280 179.3648
90.454107 86.296 179.7462
90.820318 86.341 -179.7653
91.186529 86.395 -179.3688
91.552740 86.429 -179.1764
91.918951 86.419 -179.1632
92.285162 86.362 -179.2181
92.651373 86.281 -179.2393
93.017584 86.204 -179.2057
93.383795 86.154 -179.1787
93.750006 86.133 -179.2174
94.116217 86.128 -179.3185
94.482428 86.124 -179.4015
94.848639 86.116 -179.3644
95.214850 86.108 -179.1718
95.581061 86.107 -178.8879
95.947272 86.110 -178.6334
96.313483 86.108 -178.4949
96.679694 86.090 -178.4861
97.045905 86.055 -178.5440
97.412116 86.012 -178.5994
97.778327 85.974 -178.6021
98.144538 85.953 -178.5755
98.510749 85.946 -178.5721
98.876960 85.944 -178.6228
99.243170 85.934 -178.6951
99.609381 85.913 -178.7216
99.975592 85.886 -178.6515
100.341803 85.865 -178.5000
100.708014 85.855 -178.3263
101.074225 85.856 -178.2070
101.440436 85.856 -178.1739
101.806647 85.846 -178.1936
102.172858 85.820 -178.1969
102.539069 85.787 -178.1300
102.905280 85.755 -177.9940
103.271491 85.731 -177.8411
103.637702 85.711 -177.7369
104.003913 85.688 -177.7015
104.370124 85.656 -177.7012
104.736335 85.616 -177.6654
105.102546 85.578 -177.5574
105.468757 85.551 -177.4013
105.834968 85.537 -177.2654
106.201179 85.530 -177.2057
106.567390 85.518 -177.2251
106.933601 85.492 -177.2683
107.299812 85.458 -177.2710
107.666023 85.427 -177.1989
108.032234 85.411 -177.0950
108.398445 85.410 -177.0393
108.764656 85.412 -177.0743
109.130867 85.401 -177.1496
109.497078 85.371 -177.1423
109.863289 85.330 -176.9429
110.229500 85.298 -176.5507
110.595710 85.289 -176.1064
110.961921 85.299 -175.8040
111.328132 85.305 -175.7507
111.694343 85.281 -175.8911
112.060554 85.221 -176.0527
112.426765 85.142 -176.0702
112.792976 85.071 -175.9039
113.159187 85.027 -175.6571
113.525398 85.003 -175.4746
113.891609 84.978 -175.4078
114.257820 84.930 -175.3711
114.624031 84.860 -175.2202
114.990242 84.790 -174.8746
115.356453 84.741 -174.3985
115.722664 84.726 -173.9302
116.088875 84.731 -173.5840
116.455086 84.736 -173.3512
116.821297 84.722 -173.1401
117.187508 84.690 -172.8223
117.553719 84.653 -172.3667
117.919930 84.618 -171.8662
118.286141 84.575 -171.5406
118.652352 84.525 -171.4349
119.018563 84.459 -171.5105
119.384774 84.381 -171.5468
119.750985 84.289 -171.3728
120.117196 84.215 -170.7846
120.483407 84.200 -169.7676
120.849618 84.270 -168.5447
121.215829 84.404 -167.4671
121.582040 84.539 -166.7328
121.948250 84.612 -166.2197
122.314461 84.605 -165.5666
122.680672 84.563 -164.4538
123.046883 84.569 -162.9163
123.413094 84.685 -161.4358
123.779305 84.892 -160.5959
124.145516 85.109 -160.6112
124.511727 85.260 -161.1946
124.877938 85.322 -161.8155
125.244149 85.332 -162.0677
125.610360 85.353 -161.9176
125.976571 85.427 -161.6935
126.342782 85.540 -161.7739
126.708993 85.648 -162.2874
127.075204 85.721 -163.0620
127.441415 85.764 -163.8328
127.807626 85.803 -164.4520
128.173837 85.857 -164.9467
128.540048 85.919 -165.3970
128.906259 85.964 -165.7921
129.272470 85.980 -166.0240
129.638681 85.973 -166.0149
130.004892 85.965 -165.8368
130.371103 85.962 -165.6840
130.737314 85.952 -165.7216
131.103525 85.921 -165.9566
131.469736 85.870 -166.2767
131.835947 85.819 -166.5860
132.202158 85.794 -166.9086
132.568369 85.796 -167.3267
132.934579 85.806 -167.8255
133.300790 85.805 -168.2320
133.667001 85.797 -168.3350
134.033212 85.806 -168.0906
134.399423 85.844 -167.6946
134.765634 85.885 -167.4228
135.131845 85.883 -167.3665
135.498056 85.806 -167.3569
135.864267 85.676 -167.1464
136.230478 85.559 -166.7037
136.596689 85.515 -166.3423
136.962900 85.545 -166.4931
137.329111 85.595 -167.2865
137.695322 85.605 -168.3896
138.061533 85.563 -169.2153
138.427744 85.509 -169.3262
138.793955 85.508 -168.7528
139.160166 85.580 -167.9789
139.526377 85.678 -167.5146
139.892588 85.728 -167.4920
140.258799 85.688 -167.6566
140.625010 85.582 -167.6727
140.991221 85.481 -167.4345
141.357432 85.444 -167.1663
141.723643 85.472 -167.1897
142.089854 85.516 -167.5901
142.456065 85.525 -168.1172
142.822276 85.489 -168.3830
143.188487 85.440 -168.1722
143.554698 85.424 -167.6248
143.920909 85.456 -167.1369
144.287119 85.505 -167.0428
144.653330 85.523 -167.3548
145.019541 85.488 -167.7990
145.385752 85.415 -168.0260
145.751963 85.351 -167.8612
146.118174 85.337 -167.4097
146.484385 85.378 -166.9670
146.850596 85.439 -166.7825
147.216807 85.472 -166.8966
147.583018 85.448 -167.1474
147.949229 85.374 -167.3087
148.315440 85.288 -167.2409
148.681651 85.234 -166.9909
149.047862 85.234 -166.7430
149.414073 85.279 -166.6795
149.780284 85.332 -166.8352
150.146495 85.360 -167.0829
150.512706 85.346 -167.2190
150.878917 85.302 -167.0927
151.245128 85.254 -166.7025
151.611339 85.227 -166.2023
151.977550 85.229 -165.8094
152.343761 85.249 -165.6715
152.709972 85.266 -165.7931
153.076183 85.268 -166.0512
153.442394 85.252 -166.2784
153.808605 85.226 -166.3452
154.174816 85.202 -166.2115
154.541027 85.185 -165.9244
154.907238 85.177 -165.5764
155.273448 85.170 -165.2601
155.639659 85.158 -165.0252
156.005870 85.135 -164.8849
156.372081 85.102 -164.8236
156.738292 85.062 -164.8251
157.104503 85.018 -164.8636
157.470714 84.974 -164.9053
157.836925 84.930 -164.8992
158.203136 84.891 -164.8062
158.569347 84.863 -164.6255
158.935558 84.851 -164.4164
159.301769 84.855 -164.2845
159.667980 84.866 -164.3436
160.034191 84.867 -164.6470
160.400402 84.847 -165.1567
160.766613 84.800 -165.7381
161.132824 84.737 -166.2291
161.499035 84.678 -166.4990
161.865246 84.648 -166.4989
162.231457 84.663 -166.2731
162.597668 84.726 -165.9373
162.963879 84.823 -165.6325
163.330090 84.930 -165.4781
163.696301 85.015 -165.5297
164.062512 85.052 -165.7604
164.428723 85.027 -166.0641
164.794934 84.945 -166.2673
