* Measurement data measured by REW V5.31
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 10, 2024 6:59:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop ChuII nobass L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 92.585 -146.8200
20.287556 92.589 -146.8058
20.434568 92.597 -146.7838
20.582645 92.614 -146.7707
20.731796 92.644 -146.7846
20.882027 92.685 -146.8504
21.033346 92.736 -146.9872
21.185763 92.791 -147.2042
21.339284 92.847 -147.5042
21.493917 92.898 -147.8787
21.649671 92.940 -148.3074
21.806553 92.969 -148.7674
21.964572 92.982 -149.2243
22.123737 92.979 -149.6431
22.284054 92.959 -149.9913
22.445534 92.925 -150.2354
22.608183 92.881 -150.3549
22.772012 92.833 -150.3371
22.937027 92.785 -150.1829
23.103238 92.745 -149.9127
23.270654 92.717 -149.5566
23.439282 92.707 -149.1631
23.609133 92.715 -148.7845
23.780215 92.740 -148.4733
23.952536 92.780 -148.2774
24.126106 92.830 -148.2268
24.300934 92.882 -148.3394
24.477028 92.934 -148.6126
24.654399 92.978 -149.0288
24.833055 93.013 -149.5604
25.013005 93.037 -150.1677
25.194260 93.049 -150.8133
25.376828 93.052 -151.4562
25.560719 93.050 -152.0658
25.745942 93.045 -152.6172
25.932508 93.041 -153.0990
26.120426 93.042 -153.5102
26.309705 93.050 -153.8594
26.500356 93.064 -154.1632
26.692388 93.083 -154.4387
26.885812 93.106 -154.7032
27.080638 93.127 -154.9670
27.276876 93.145 -155.2349
27.474535 93.156 -155.5038
27.673627 93.159 -155.7661
27.874161 93.154 -156.0110
28.076149 93.143 -156.2291
28.279600 93.127 -156.4146
28.484526 93.110 -156.5675
28.690937 93.096 -156.6951
28.898843 93.087 -156.8098
29.108256 93.083 -156.9273
29.319186 93.085 -157.0620
29.531645 93.090 -157.2239
29.745644 93.096 -157.4149
29.961193 93.099 -157.6290
30.178304 93.098 -157.8511
30.396989 93.090 -158.0629
30.617258 93.076 -158.2448
30.839123 93.059 -158.3818
31.062596 93.041 -158.4679
31.287688 93.026 -158.5084
31.514412 93.018 -158.5193
31.742778 93.019 -158.5244
31.972800 93.028 -158.5504
32.204488 93.045 -158.6181
32.437855 93.066 -158.7394
32.672913 93.088 -158.9123
32.909674 93.107 -159.1239
33.148151 93.122 -159.3523
33.388356 93.131 -159.5757
33.630302 93.138 -159.7766
33.874001 93.142 -159.9470
34.119466 93.147 -160.0899
34.366710 93.153 -160.2164
34.615745 93.160 -160.3428
34.866585 93.167 -160.4819
35.119243 93.172 -160.6409
35.373731 93.174 -160.8191
35.630064 93.173 -161.0093
35.888254 93.169 -161.2019
36.148315 93.163 -161.3881
36.410261 93.159 -161.5628
36.674104 93.156 -161.7256
36.939860 93.156 -161.8784
37.207542 93.159 -162.0246
37.477163 93.165 -162.1667
37.748738 93.171 -162.3065
38.022281 93.178 -162.4460
38.297806 93.186 -162.5883
38.575327 93.195 -162.7371
38.854860 93.204 -162.8955
39.136419 93.212 -163.0644
39.420017 93.221 -163.2412
39.705671 93.231 -163.4205
39.993395 93.241 -163.5964
40.283203 93.253 -163.7639
40.575112 93.267 -163.9202
40.869136 93.282 -164.0645
41.165290 93.297 -164.1962
41.463591 93.309 -164.3138
41.764053 93.316 -164.4154
42.066693 93.319 -164.5001
42.371525 93.317 -164.5705
42.678567 93.312 -164.6326
42.987834 93.304 -164.6952
43.299341 93.296 -164.7678
43.613106 93.290 -164.8588
43.929145 93.286 -164.9744
44.247473 93.285 -165.1162
44.568109 93.286 -165.2786
44.891068 93.287 -165.4467
45.216367 93.286 -165.5981
45.544023 93.285 -165.7111
45.874054 93.285 -165.7768
46.206476 93.289 -165.8087
46.541307 93.299 -165.8413
46.878565 93.312 -165.9139
47.218266 93.323 -166.0459
47.560429 93.327 -166.2221
47.905072 93.323 -166.4007
48.252212 93.313 -166.5407
48.601867 93.305 -166.6290
48.954056 93.305 -166.6869
49.308798 93.312 -166.7505
49.666109 93.319 -166.8417
50.026010 93.322 -166.9556
50.388520 93.320 -167.0740
50.753656 93.318 -167.1915
51.121437 93.320 -167.3243
51.491884 93.324 -167.4900
51.865016 93.327 -167.6772
52.240851 93.324 -167.8400
52.619410 93.319 -167.9306
53.000712 93.319 -167.9455
53.384777 93.327 -167.9368
53.771625 93.338 -167.9711
54.161276 93.343 -168.0730
54.553751 93.334 -168.2098
54.949070 93.319 -168.3348
55.347254 93.308 -168.4397
55.748323 93.307 -168.5577
56.152298 93.311 -168.7109
56.559201 93.311 -168.8655
56.969052 93.305 -168.9604
57.381873 93.302 -168.9856
57.797686 93.310 -169.0186
58.216512 93.323 -169.1561
58.638373 93.325 -169.4054
59.063291 93.311 -169.6617
59.491288 93.292 -169.8060
59.922386 93.291 -169.8280
60.356608 93.313 -169.8324
60.793977 93.340 -169.9121
61.234515 93.348 -170.0432
61.678246 93.333 -170.1275
62.125192 93.310 -170.1255
62.575377 93.298 -170.1177
63.028824 93.297 -170.2147
63.485557 93.295 -170.4285
63.945599 93.287 -170.6629
64.408975 93.279 -170.8182
64.875709 93.278 -170.8757
65.345825 93.285 -170.8814
65.819348 93.295 -170.8910
66.296302 93.304 -170.9519
66.776713 93.308 -171.0944
67.260604 93.300 -171.2845
67.748002 93.281 -171.3996
68.238932 93.267 -171.3320
68.733420 93.285 -171.1507
69.231490 93.333 -171.0889
69.733170 93.373 -171.2921
70.238485 93.367 -171.6312
70.747463 93.321 -171.8364
71.260128 93.279 -171.8194
71.776508 93.277 -171.7889
72.296630 93.299 -171.9821
72.820521 93.303 -172.3521
73.348209 93.276 -172.6256
73.879720 93.246 -172.6334
74.415083 93.243 -172.4915
74.954326 93.265 -172.4328
75.497475 93.284 -172.5419
76.044561 93.284 -172.7244
76.595612 93.269 -172.8717
77.150655 93.247 -172.9525
77.709720 93.224 -172.9643
78.272837 93.214 -172.9187
78.840034 93.228 -172.9273
79.411342 93.258 -173.1857
79.986789 93.268 -173.7509
80.566406 93.227 -174.3637
81.150224 93.152 -174.5997
81.738272 93.107 -174.2551
82.330581 93.139 -173.5899
82.927182 93.228 -173.1353
83.528107 93.302 -173.2303
84.133386 93.302 -173.7836
84.743051 93.225 -174.3718
85.357134 93.128 -174.5402
85.975667 93.082 -174.1289
86.598682 93.112 -173.4373
87.226212 93.175 -173.0812
87.858289 93.193 -173.6344
88.494946 93.097 -175.1952
89.136217 92.881 -177.0956
89.782135 92.642 -178.1694
90.432733 92.546 -177.6956
91.088046 92.670 -176.1839
91.748108 92.921 -174.7511
92.412952 93.155 -174.0412
93.082615 93.297 -174.1307
93.757130 93.336 -174.8303
94.436533 93.289 -175.7863
95.120859 93.192 -176.6030
95.810144 93.090 -177.0044
96.504423 93.025 -176.8407
97.203734 93.036 -176.0972
97.908112 93.134 -175.0368
98.617595 93.281 -174.1636
99.332219 93.401 -173.8955
100.052021 93.448 -174.3352
100.777039 93.425 -175.2799
101.507311 93.364 -176.3045
102.242875 93.281 -176.9098
102.983769 93.164 -176.7883
103.730032 92.998 -176.0275
104.481702 92.798 -175.0215
105.238820 92.623 -174.1556
106.001424 92.532 -173.5354
106.769554 92.529 -173.0228
107.543250 92.577 -172.6220
108.322553 92.643 -172.7345
109.107503 92.729 -173.7658
109.898141 92.843 -175.5038
110.694508 92.973 -177.1864
111.496646 93.065 -178.1832
112.304596 93.067 -178.3975
113.118402 92.982 -178.1490
113.938104 92.858 -177.9090
114.763747 92.752 -178.0800
115.595372 92.712 -178.8851
116.433024 92.760 179.7596
117.276746 92.889 178.4014
118.126581 93.071 177.7706
118.982575 93.254 178.1375
119.844772 93.374 179.1476
120.713217 93.399 -179.7429
121.587954 93.354 -178.8986
122.469031 93.299 -178.3414
123.356492 93.262 -177.7928
124.250384 93.213 -177.0409
125.150753 93.095 -176.1584
126.057647 92.896 -175.4154
126.971113 92.674 -175.1930
127.891198 92.498 -175.7043
128.817950 92.409 -176.7549
129.751418 92.428 -177.9521
130.691651 92.546 -178.9525
131.638696 92.724 -179.5137
132.592604 92.899 -179.4936
133.553425 93.012 -178.8728
134.521208 93.031 -177.8355
135.496004 92.947 -176.8060
136.477864 92.778 -176.3179
137.466839 92.572 -176.7477
138.462981 92.394 -178.0529
139.466340 92.300 -179.6420
140.476971 92.316 179.4169
141.494925 92.417 179.7935
142.520256 92.528 -178.6259
143.553016 92.555 -176.5454
144.593260 92.427 -174.6017
145.641043 92.147 -173.1595
146.696418 91.817 -172.5194
147.759441 91.605 -172.8820
148.830166 91.638 -174.1081
149.908651 91.883 -175.6092
150.994951 92.180 -176.5663
152.089123 92.389 -176.4078
153.191223 92.476 -175.1352
154.301310 92.516 -173.3832
155.419441 92.618 -172.1001
156.545674 92.814 -171.7047
157.680069 93.043 -171.8144
158.822683 93.181 -171.8219
159.973578 93.128 -171.6216
161.132813 92.873 -171.8410
162.300447 92.533 -173.0426
163.476543 92.270 -174.6113
164.661162 92.111 -175.1210
165.854364 91.920 -174.2766
167.056213 91.605 -173.4850
168.266772 91.278 -174.3160
169.486102 91.156 -176.5126
170.714268 91.279 -178.2793
171.951334 91.506 -178.9941
173.197364 91.764 -179.4420
174.452424 92.071 -179.8190
175.716578 92.382 -179.4874
176.989893 92.595 -178.4914
178.272434 92.688 -177.6458
179.564270 92.726 -177.2494
180.865467 92.749 -176.9637
182.176092 92.755 -176.7032
183.496216 92.755 -176.5177
184.825905 92.748 -176.1907
186.165229 92.704 -175.8162
187.514259 92.631 -175.8555
188.873065 92.592 -176.3500
190.241717 92.619 -176.8172
191.620287 92.674 -176.9285
193.008847 92.707 -176.7052
194.407468 92.696 -176.4006
195.816225 92.658 -176.3269
197.235190 92.622 -176.4585
198.664438 92.599 -176.5294
200.104042 92.585 -176.5145
201.554078 92.575 -176.4956
203.014622 92.559 -176.4699
204.485750 92.537 -176.4767
205.967538 92.523 -176.5475
207.460064 92.516 -176.6100
208.963405 92.502 -176.5826
210.477640 92.480 -176.5158
212.002848 92.461 -176.4765
213.539108 92.450 -176.4606
215.086500 92.437 -176.4568
216.645105 92.419 -176.4591
218.215005 92.403 -176.4335
219.796281 92.392 -176.3829
221.389015 92.386 -176.3402
222.993292 92.384 -176.3206
224.609193 92.382 -176.2828
226.236804 92.377 -176.1927
227.876209 92.368 -176.0699
229.527494 92.356 -175.9520
231.190745 92.341 -175.8687
232.866048 92.324 -175.8076
234.553491 92.310 -175.7370
236.253163 92.302 -175.6831
237.965150 92.303 -175.6623
239.689544 92.309 -175.6530
241.426433 92.314 -175.6338
243.175909 92.313 -175.6014
244.938062 92.303 -175.5555
246.712984 92.285 -175.4949
248.500768 92.266 -175.4288
250.301507 92.248 -175.3748
252.115295 92.231 -175.3427
253.942226 92.217 -175.3230
255.782396 92.209 -175.3030
257.635901 92.206 -175.2804
259.502837 92.203 -175.2473
261.383301 92.199 -175.2081
263.277392 92.192 -175.1755
265.185209 92.181 -175.1478
267.106850 92.167 -175.1039
269.042417 92.153 -175.0333
270.992009 92.141 -174.9442
272.955729 92.130 -174.8555
274.933678 92.114 -174.7972
276.925961 92.092 -174.7588
278.932681 92.069 -174.7144
280.953942 92.052 -174.6556
282.989850 92.045 -174.5987
285.040511 92.043 -174.5550
287.106032 92.041 -174.4728
289.186521 92.041 -174.3552
291.282086 92.041 -174.2685
293.392836 92.037 -174.1717
295.518881 92.031 -174.1053
297.660333 92.019 -174.0523
299.817302 92.007 -173.9281
301.989902 91.996 -173.8656
304.178245 91.985 -173.8102
306.382446 91.979 -173.7288
308.602620 91.976 -173.7286
310.838882 91.964 -173.6974
313.091348 91.950 -173.6013
315.360137 91.939 -173.4641
317.645367 91.930 -173.3656
319.947156 91.918 -173.2736
322.265625 91.910 -173.1377
324.600895 91.904 -173.0438
326.953086 91.897 -172.9654
329.322323 91.887 -172.9126
331.708729 91.873 -172.8464
334.112427 91.860 -172.7359
