* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 12:13:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Crescent HFoam R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 99.175 -164.0639
20.507813 99.169 -164.2886
20.874023 99.164 -164.8668
21.240234 99.179 -165.4386
21.606445 99.212 -166.0464
21.972656 99.242 -166.7692
22.338867 99.251 -167.5539
22.705078 99.234 -168.3022
23.071289 99.198 -168.9452
23.437500 99.159 -169.4789
23.803711 99.132 -169.9619
24.169922 99.121 -170.4705
24.536133 99.121 -171.0494
24.902344 99.123 -171.6890
25.268555 99.117 -172.3366
25.634766 99.100 -172.9332
26.000977 99.074 -173.4470
26.367188 99.043 -173.8839
26.733399 99.008 -174.2754
27.099610 98.972 -174.6559
27.465821 98.932 -175.0380
27.832032 98.886 -175.3992
28.198243 98.837 -175.6895
28.564454 98.788 -175.8553
28.930665 98.750 -175.8710
29.296876 98.733 -175.7649
29.663087 98.743 -175.6208
30.029298 98.781 -175.5502
30.395509 98.835 -175.6441
30.761720 98.891 -175.9330
31.127931 98.937 -176.3776
31.494142 98.968 -176.8961
31.860353 98.986 -177.4082
32.226563 99.000 -177.8731
32.592774 99.016 -178.3007
32.958985 99.036 -178.7321
33.325196 99.055 -179.2062
33.691407 99.067 -179.7353
34.057618 99.069 179.6977
34.423829 99.058 179.1252
34.790040 99.038 178.5771
35.156251 99.014 178.0690
35.522462 98.990 177.6030
35.888673 98.965 177.1740
36.254884 98.941 176.7766
36.621095 98.916 176.4069
36.987306 98.890 176.0596
37.353517 98.862 175.7263
37.719728 98.832 175.3961
38.085939 98.800 175.0602
38.452150 98.766 174.7160
38.818361 98.730 174.3683
39.184572 98.692 174.0263
39.550783 98.655 173.6984
39.916994 98.619 173.3880
40.283205 98.584 173.0934
40.649416 98.552 172.8099
41.015627 98.519 172.5337
41.381838 98.487 172.2631
41.748049 98.454 171.9985
42.114260 98.420 171.7409
42.480471 98.387 171.4899
42.846682 98.353 171.2441
43.212893 98.321 171.0019
43.579103 98.288 170.7630
43.945314 98.254 170.5290
44.311525 98.220 170.3021
44.677736 98.185 170.0839
45.043947 98.149 169.8739
45.410158 98.114 169.6698
45.776369 98.079 169.4695
46.142580 98.043 169.2728
46.508791 98.008 169.0818
46.875002 97.972 168.9008
47.241213 97.936 168.7339
47.607424 97.901 168.5840
47.973635 97.867 168.4510
48.339846 97.835 168.3321
48.706057 97.806 168.2222
49.072268 97.779 168.1160
49.438479 97.754 168.0093
49.804690 97.729 167.9000
50.170901 97.705 167.7877
50.537112 97.681 167.6730
50.903323 97.658 167.5564
51.269534 97.635 167.4373
51.635745 97.612 167.3134
52.001956 97.591 167.1817
52.368167 97.571 167.0388
52.734378 97.550 166.8835
53.100589 97.528 166.7174
53.466800 97.504 166.5449
53.833011 97.478 166.3717
54.199222 97.451 166.2025
54.565432 97.422 166.0399
54.931643 97.393 165.8841
55.297854 97.364 165.7348
55.664065 97.335 165.5923
56.030276 97.305 165.4579
56.396487 97.276 165.3331
56.762698 97.247 165.2180
57.128909 97.218 165.1105
57.495120 97.189 165.0070
57.861331 97.160 164.9036
58.227542 97.131 164.7986
58.593753 97.100 164.6928
58.959964 97.069 164.5889
59.326175 97.038 164.4892
59.692386 97.006 164.3939
60.058597 96.976 164.3014
60.424808 96.946 164.2090
60.791019 96.916 164.1155
61.157230 96.885 164.0222
61.523441 96.854 163.9324
61.889652 96.822 163.8497
62.255863 96.790 163.7757
62.622074 96.760 163.7091
62.988285 96.731 163.6462
63.354496 96.703 163.5828
63.720707 96.677 163.5159
64.086918 96.650 163.4452
64.453129 96.623 163.3728
64.819340 96.594 163.3011
65.185551 96.564 163.2324
65.551762 96.533 163.1672
65.917972 96.501 163.1044
66.284183 96.470 163.0422
66.650394 96.439 162.9782
67.016605 96.409 162.9102
67.382816 96.380 162.8364
67.749027 96.353 162.7570
68.115238 96.326 162.6738
68.481449 96.300 162.5912
68.847660 96.274 162.5140
69.213871 96.249 162.4464
69.580082 96.223 162.3896
69.946293 96.198 162.3425
70.312504 96.172 162.3014
70.678715 96.145 162.2629
71.044926 96.118 162.2249
71.411137 96.089 162.1869
71.777348 96.059 162.1495
72.143559 96.028 162.1130
72.509770 95.999 162.0770
72.875981 95.970 162.0402
73.242192 95.943 162.0010
73.608403 95.917 161.9589
73.974614 95.890 161.9136
74.340825 95.863 161.8662
74.707036 95.835 161.8178
75.073247 95.805 161.7703
75.439458 95.774 161.7256
75.805669 95.741 161.6860
76.171880 95.709 161.6530
76.538091 95.678 161.6271
76.904301 95.650 161.6068
77.270512 95.625 161.5896
77.636723 95.602 161.5729
78.002934 95.582 161.5552
78.369145 95.563 161.5364
78.735356 95.544 161.5176
79.101567 95.524 161.5000
79.467778 95.502 161.4838
79.833989 95.478 161.4681
80.200200 95.454 161.4513
80.566411 95.428 161.4320
80.932622 95.402 161.4098
81.298833 95.375 161.3853
81.665044 95.349 161.3602
82.031255 95.323 161.3364
82.397466 95.297 161.3157
82.763677 95.270 161.2989
83.129888 95.244 161.2863
83.496099 95.217 161.2772
83.862310 95.190 161.2704
84.228521 95.163 161.2648
84.594732 95.136 161.2600
84.960943 95.110 161.2568
85.327154 95.085 161.2566
85.693365 95.059 161.2607
86.059576 95.035 161.2695
86.425787 95.010 161.2820
86.791998 94.985 161.2963
87.158209 94.960 161.3102
87.524420 94.934 161.3218
87.890631 94.907 161.3300
88.256841 94.881 161.3340
88.623052 94.856 161.3335
88.989263 94.832 161.3279
89.355474 94.809 161.3173
89.721685 94.788 161.3034
90.087896 94.768 161.2892
90.454107 94.747 161.2791
90.820318 94.726 161.2775
91.186529 94.705 161.2869
91.552740 94.682 161.3074
91.918951 94.660 161.3362
92.285162 94.637 161.3689
92.651373 94.614 161.4011
93.017584 94.592 161.4298
93.383795 94.569 161.4543
93.750006 94.547 161.4755
94.116217 94.524 161.4954
94.482428 94.501 161.5161
94.848639 94.478 161.5387
95.214850 94.455 161.5636
95.581061 94.432 161.5901
95.947272 94.409 161.6173
96.313483 94.385 161.6437
96.679694 94.362 161.6684
97.045905 94.339 161.6906
97.412116 94.317 161.7107
97.778327 94.294 161.7296
98.144538 94.272 161.7485
98.510749 94.250 161.7687
98.876960 94.229 161.7910
99.243170 94.207 161.8155
99.609381 94.186 161.8415
99.975592 94.165 161.8680
100.341803 94.143 161.8944
100.708014 94.122 161.9201
101.074225 94.101 161.9454
101.440436 94.080 161.9707
101.806647 94.058 161.9968
102.172858 94.037 162.0242
102.539069 94.016 162.0530
102.905280 93.995 162.0831
103.271491 93.975 162.1140
103.637702 93.954 162.1449
104.003913 93.934 162.1750
104.370124 93.913 162.2039
104.736335 93.893 162.2313
105.102546 93.873 162.2573
105.468757 93.853 162.2821
105.834968 93.832 162.3063
106.201179 93.812 162.3304
106.567390 93.791 162.3548
106.933601 93.771 162.3798
107.299812 93.751 162.4056
107.666023 93.730 162.4324
108.032234 93.710 162.4603
108.398445 93.689 162.4894
108.764656 93.669 162.5198
109.130867 93.649 162.5515
109.497078 93.629 162.5844
109.863289 93.609 162.6183
110.229500 93.589 162.6530
110.595710 93.568 162.6881
110.961921 93.548 162.7236
111.328132 93.528 162.7592
111.694343 93.507 162.7952
112.060554 93.485 162.8314
112.426765 93.464 162.8681
112.792976 93.442 162.9052
113.159187 93.421 162.9426
113.525398 93.399 162.9801
113.891609 93.377 163.0176
114.257820 93.356 163.0553
114.624031 93.335 163.0933
114.990242 93.313 163.1321
115.356453 93.293 163.1724
115.722664 93.272 163.2144
116.088875 93.252 163.2584
116.455086 93.232 163.3044
116.821297 93.212 163.3523
117.187508 93.192 163.4013
117.553719 93.172 163.4509
117.919930 93.151 163.5005
118.286141 93.131 163.5494
118.652352 93.110 163.5975
119.018563 93.090 163.6446
119.384774 93.069 163.6909
119.750985 93.048 163.7367
120.117196 93.027 163.7822
120.483407 93.006 163.8278
120.849618 92.986 163.8738
121.215829 92.967 163.9206
121.582040 92.948 163.9687
121.948250 92.929 164.0187
122.314461 92.912 164.0714
122.680672 92.894 164.1273
123.046883 92.877 164.1865
123.413094 92.861 164.2491
123.779305 92.844 164.3144
124.145516 92.828 164.3817
124.511727 92.811 164.4504
124.877938 92.794 164.5198
125.244149 92.776 164.5901
125.610360 92.758 164.6613
125.976571 92.738 164.7339
126.342782 92.719 164.8085
126.708993 92.698 164.8852
127.075204 92.677 164.9637
127.441415 92.656 165.0434
127.807626 92.635 165.1234
128.173837 92.613 165.2027
128.540048 92.592 165.2805
128.906259 92.572 165.3565
129.272470 92.551 165.4305
129.638681 92.531 165.5027
130.004892 92.512 165.5736
130.371103 92.492 165.6435
130.737314 92.473 165.7126
131.103525 92.454 165.7813
131.469736 92.435 165.8495
131.835947 92.417 165.9169
132.202158 92.398 165.9836
132.568369 92.380 166.0494
132.934579 92.361 166.1143
133.300790 92.343 166.1786
133.667001 92.325 166.2429
134.033212 92.307 166.3074
134.399423 92.289 166.3727
134.765634 92.272 166.4393
135.131845 92.254 166.5070
135.498056 92.237 166.5759
135.864267 92.219 166.6455
136.230478 92.202 166.7155
136.596689 92.185 166.7859
136.962900 92.167 166.8568
137.329111 92.150 166.9287
137.695322 92.133 167.0023
138.061533 92.115 167.0784
138.427744 92.098 167.1573
138.793955 92.081 167.2395
139.160166 92.063 167.3245
139.526377 92.046 167.4118
139.892588 92.029 167.5003
140.258799 92.012 167.5894
140.625010 91.995 167.6786
140.991221 91.978 167.7677
141.357432 91.962 167.8574
141.723643 91.946 167.9487
142.089854 91.930 168.0431
142.456065 91.914 168.1420
142.822276 91.899 168.2468
143.188487 91.885 168.3583
143.554698 91.870 168.4765
143.920909 91.856 168.6005
144.287119 91.843 168.7286
144.653330 91.829 168.8583
145.019541 91.815 168.9869
145.385752 91.800 169.1118
145.751963 91.784 169.2307
146.118174 91.768 169.3423
146.484385 91.750 169.4461
146.850596 91.732 169.5422
147.216807 91.712 169.6311
147.583018 91.693 169.7136
147.949229 91.674 169.7902
148.315440 91.655 169.8616
148.681651 91.637 169.9288
149.047862 91.620 169.9927
149.414073 91.604 170.0547
149.780284 91.588 170.1166
150.146495 91.572 170.1805
150.512706 91.556 170.2487
150.878917 91.539 170.3233
151.245128 91.521 170.4062
151.611339 91.503 170.4989
151.977550 91.484 170.6022
152.343761 91.465 170.7164
152.709972 91.445 170.8414
153.076183 91.425 170.9763
153.442394 91.405 171.1198
153.808605 91.385 171.2700
154.174816 91.366 171.4244
154.541027 91.348 171.5803
154.907238 91.331 171.7348
155.273448 91.317 171.8853
155.639659 91.305 172.0293
156.005870 91.296 172.1653
156.372081 91.290 172.2924
156.738292 91.287 172.4102
157.104503 91.287 172.5189
157.470714 91.290 172.6188
157.836925 91.295 172.7100
158.203136 91.301 172.7926
158.569347 91.308 172.8664
158.935558 91.316 172.9312
159.301769 91.324 172.9874
159.667980 91.332 173.0362
160.034191 91.340 173.0803
160.400402 91.347 173.1235
160.766613 91.353 173.1707
161.132824 91.358 173.2274
161.499035 91.362 173.2990
161.865246 91.363 173.3899
162.231457 91.362 173.5029
162.597668 91.358 173.6383
162.963879 91.351 173.7942
163.330090 91.341 173.9659
163.696301 91.329 174.1469
164.062512 91.314 174.3293
164.428723 91.298 174.5054
164.794934 91.281 174.6680
165.161145 91.264 174.8116
165.527356 91.248 174.9330
165.893567 91.233 175.0313
166.259778 91.220 175.1082
166.625988 91.210 175.1670
166.992199 91.201 175.2130
167.358410 91.195 175.2521
167.724621 91.191 175.2911
168.090832 91.188 175.3361
168.457043 91.187 175.3925
168.823254 91.187 175.4641
169.189465 91.187 175.5530
169.555676 91.187 175.6588
169.921887 91.188 175.7794
170.288098 91.188 175.9108
170.654309 91.188 176.0482
171.020520 91.189 176.1861
171.386731 91.189 176.3197
171.752942 91.190 176.4450
