* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 12:11:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Crescent no filter R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 99.750 -155.9780
20.507813 99.753 -156.2270
20.874023 99.760 -156.8904
21.240234 99.760 -157.5655
21.606445 99.755 -158.1868
21.972656 99.753 -158.7563
22.338867 99.758 -159.2574
22.705078 99.773 -159.7046
23.071289 99.795 -160.1398
23.437500 99.820 -160.6005
23.803711 99.839 -161.0987
24.169922 99.851 -161.6175
24.536133 99.853 -162.1276
24.902344 99.851 -162.6083
25.268555 99.849 -163.0555
25.634766 99.849 -163.4787
26.000977 99.851 -163.8909
26.367188 99.852 -164.2980
26.733399 99.851 -164.6972
27.099610 99.845 -165.0840
27.465821 99.836 -165.4569
27.832032 99.825 -165.8183
28.198243 99.812 -166.1733
28.564454 99.797 -166.5266
28.930665 99.781 -166.8801
29.296876 99.763 -167.2326
29.663087 99.746 -167.5817
30.029298 99.728 -167.9254
30.395509 99.711 -168.2625
30.761720 99.695 -168.5921
31.127931 99.678 -168.9145
31.494142 99.663 -169.2310
31.860353 99.648 -169.5434
32.226563 99.634 -169.8528
32.592774 99.619 -170.1592
32.958985 99.605 -170.4605
33.325196 99.589 -170.7527
33.691407 99.573 -171.0323
34.057618 99.557 -171.2996
34.423829 99.540 -171.5580
34.790040 99.522 -171.8119
35.156251 99.502 -172.0636
35.522462 99.479 -172.3130
35.888673 99.455 -172.5580
36.254884 99.429 -172.7966
36.621095 99.402 -173.0287
36.987306 99.375 -173.2553
37.353517 99.348 -173.4767
37.719728 99.321 -173.6914
38.085939 99.293 -173.8960
38.452150 99.263 -174.0870
38.818361 99.233 -174.2621
39.184572 99.203 -174.4222
39.550783 99.175 -174.5709
39.916994 99.148 -174.7141
40.283205 99.124 -174.8578
40.649416 99.101 -175.0070
41.015627 99.079 -175.1639
41.381838 99.057 -175.3280
41.748049 99.034 -175.4963
42.114260 99.009 -175.6643
42.480471 98.982 -175.8271
42.846682 98.953 -175.9810
43.212893 98.923 -176.1233
43.579103 98.892 -176.2519
43.945314 98.860 -176.3648
44.311525 98.830 -176.4612
44.677736 98.801 -176.5430
45.043947 98.776 -176.6174
45.410158 98.756 -176.6963
45.776369 98.741 -176.7932
46.142580 98.728 -176.9184
46.508791 98.716 -177.0742
46.875002 98.701 -177.2547
47.241213 98.683 -177.4477
47.607424 98.660 -177.6400
47.973635 98.634 -177.8219
48.339846 98.606 -177.9893
48.706057 98.576 -178.1433
49.072268 98.545 -178.2869
49.438479 98.513 -178.4230
49.804690 98.480 -178.5526
50.170901 98.447 -178.6755
50.537112 98.413 -178.7917
50.903323 98.380 -178.9017
51.269534 98.346 -179.0061
51.635745 98.312 -179.1055
52.001956 98.278 -179.1997
52.368167 98.243 -179.2882
52.734378 98.209 -179.3704
53.100589 98.174 -179.4458
53.466800 98.139 -179.5143
53.833011 98.104 -179.5762
54.199222 98.069 -179.6322
54.565432 98.033 -179.6833
54.931643 97.998 -179.7305
55.297854 97.962 -179.7743
55.664065 97.926 -179.8136
56.030276 97.890 -179.8463
56.396487 97.854 -179.8704
56.762698 97.819 -179.8851
57.128909 97.783 -179.8919
57.495120 97.748 -179.8935
57.861331 97.713 -179.8934
58.227542 97.677 -179.8943
58.593753 97.641 -179.8974
58.959964 97.606 -179.9027
59.326175 97.572 -179.9092
59.692386 97.539 -179.9141
60.058597 97.506 -179.9130
60.424808 97.473 -179.9014
60.791019 97.439 -179.8766
61.157230 97.404 -179.8394
61.523441 97.365 -179.7941
61.889652 97.324 -179.7456
62.255863 97.281 -179.6949
62.622074 97.236 -179.6380
62.988285 97.192 -179.5668
63.354496 97.150 -179.4730
63.720707 97.111 -179.3491
64.086918 97.075 -179.1875
64.453129 97.039 -178.9782
64.819340 97.002 -178.7091
65.185551 96.963 -178.3731
65.551762 96.923 -177.9776
65.917972 96.886 -177.5508
66.284183 96.856 -177.1368
66.650394 96.833 -176.7808
67.016605 96.817 -176.5096
67.382816 96.806 -176.3213
67.749027 96.802 -176.1870
68.115238 96.803 -176.0666
68.481449 96.814 -175.9278
68.847660 96.834 -175.7586
69.213871 96.865 -175.5697
69.580082 96.903 -175.3871
69.946293 96.945 -175.2418
70.312504 96.985 -175.1606
70.678715 97.020 -175.1610
71.044926 97.047 -175.2482
71.411137 97.064 -175.4137
71.777348 97.073 -175.6375
72.143559 97.074 -175.8914
72.509770 97.069 -176.1470
72.875981 97.060 -176.3825
73.242192 97.049 -176.5867
73.608403 97.038 -176.7597
73.974614 97.026 -176.9081
74.340825 97.013 -177.0401
74.707036 96.998 -177.1620
75.073247 96.981 -177.2770
75.439458 96.962 -177.3862
75.805669 96.942 -177.4900
76.171880 96.922 -177.5888
76.538091 96.901 -177.6826
76.904301 96.881 -177.7716
77.270512 96.861 -177.8551
77.636723 96.841 -177.9325
78.002934 96.820 -178.0025
78.369145 96.799 -178.0639
78.735356 96.777 -178.1151
79.101567 96.755 -178.1552
79.467778 96.734 -178.1846
79.833989 96.714 -178.2056
80.200200 96.694 -178.2226
80.566411 96.674 -178.2404
80.932622 96.654 -178.2628
81.298833 96.633 -178.2910
81.665044 96.609 -178.3235
82.031255 96.583 -178.3564
82.397466 96.556 -178.3852
82.763677 96.527 -178.4066
83.129888 96.498 -178.4190
83.496099 96.469 -178.4228
83.862310 96.440 -178.4198
84.228521 96.412 -178.4116
84.594732 96.384 -178.3999
84.960943 96.356 -178.3855
85.327154 96.329 -178.3696
85.693365 96.303 -178.3529
86.059576 96.277 -178.3359
86.425787 96.253 -178.3180
86.791998 96.229 -178.2970
87.158209 96.205 -178.2695
87.524420 96.180 -178.2325
87.890631 96.155 -178.1854
88.256841 96.129 -178.1311
88.623052 96.103 -178.0759
88.989263 96.075 -178.0270
89.355474 96.047 -177.9907
89.721685 96.019 -177.9691
90.087896 95.990 -177.9601
90.454107 95.962 -177.9576
90.820318 95.934 -177.9545
91.186529 95.908 -177.9440
91.552740 95.884 -177.9223
91.918951 95.861 -177.8882
92.285162 95.840 -177.8434
92.651373 95.819 -177.7912
93.017584 95.799 -177.7359
93.383795 95.778 -177.6816
93.750006 95.757 -177.6313
94.116217 95.735 -177.5862
94.482428 95.712 -177.5460
94.848639 95.689 -177.5086
95.214850 95.666 -177.4709
95.581061 95.644 -177.4298
95.947272 95.621 -177.3830
96.313483 95.598 -177.3293
96.679694 95.576 -177.2691
97.045905 95.554 -177.2037
97.412116 95.531 -177.1351
97.778327 95.509 -177.0654
98.144538 95.486 -176.9966
98.510749 95.464 -176.9300
98.876960 95.442 -176.8664
99.243170 95.420 -176.8058
99.609381 95.399 -176.7477
99.975592 95.378 -176.6910
100.341803 95.356 -176.6342
100.708014 95.335 -176.5758
101.074225 95.314 -176.5145
101.440436 95.292 -176.4495
101.806647 95.270 -176.3810
102.172858 95.249 -176.3098
102.539069 95.227 -176.2374
102.905280 95.204 -176.1653
103.271491 95.182 -176.0950
103.637702 95.160 -176.0271
104.003913 95.137 -175.9615
104.370124 95.114 -175.8972
104.736335 95.092 -175.8327
105.102546 95.069 -175.7670
105.468757 95.047 -175.6992
105.834968 95.025 -175.6293
106.201179 95.003 -175.5581
106.567390 94.982 -175.4865
106.933601 94.961 -175.4152
107.299812 94.941 -175.3449
107.666023 94.921 -175.2755
108.032234 94.901 -175.2066
108.398445 94.882 -175.1375
108.764656 94.864 -175.0673
109.130867 94.847 -174.9957
109.497078 94.830 -174.9224
109.863289 94.813 -174.8476
110.229500 94.797 -174.7722
110.595710 94.780 -174.6969
110.961921 94.762 -174.6225
111.328132 94.744 -174.5498
111.694343 94.725 -174.4788
112.060554 94.704 -174.4093
112.426765 94.683 -174.3408
112.792976 94.662 -174.2729
113.159187 94.640 -174.2048
113.525398 94.618 -174.1362
113.891609 94.597 -174.0665
114.257820 94.576 -173.9955
114.624031 94.555 -173.9229
114.990242 94.535 -173.8487
115.356453 94.515 -173.7728
115.722664 94.496 -173.6954
116.088875 94.477 -173.6165
116.455086 94.458 -173.5364
116.821297 94.439 -173.4556
117.187508 94.420 -173.3745
117.553719 94.401 -173.2936
117.919930 94.382 -173.2135
118.286141 94.362 -173.1342
118.652352 94.341 -173.0557
119.018563 94.319 -172.9773
119.384774 94.298 -172.8981
119.750985 94.275 -172.8169
120.117196 94.253 -172.7327
120.483407 94.231 -172.6444
120.849618 94.209 -172.5515
121.215829 94.188 -172.4538
121.582040 94.166 -172.3517
121.948250 94.145 -172.2460
122.314461 94.124 -172.1379
122.680672 94.104 -172.0286
123.046883 94.084 -171.9199
123.413094 94.064 -171.8132
123.779305 94.046 -171.7102
124.145516 94.028 -171.6122
124.511727 94.010 -171.5199
124.877938 93.993 -171.4333
125.244149 93.976 -171.3516
125.610360 93.959 -171.2732
125.976571 93.942 -171.1963
126.342782 93.925 -171.1192
126.708993 93.907 -171.0406
127.075204 93.890 -170.9600
127.441415 93.872 -170.8775
127.807626 93.854 -170.7933
128.173837 93.835 -170.7081
128.540048 93.817 -170.6223
128.906259 93.798 -170.5359
129.272470 93.778 -170.4488
129.638681 93.759 -170.3605
130.004892 93.739 -170.2701
130.371103 93.719 -170.1770
130.737314 93.699 -170.0804
131.103525 93.679 -169.9796
131.469736 93.660 -169.8743
131.835947 93.640 -169.7644
132.202158 93.621 -169.6503
132.568369 93.601 -169.5327
132.934579 93.581 -169.4125
133.300790 93.561 -169.2907
133.667001 93.541 -169.1685
134.033212 93.522 -169.0468
134.399423 93.503 -168.9260
134.765634 93.484 -168.8062
135.131845 93.466 -168.6868
135.498056 93.449 -168.5671
135.864267 93.432 -168.4460
136.230478 93.417 -168.3226
136.596689 93.402 -168.1960
136.962900 93.387 -168.0659
137.329111 93.372 -167.9320
137.695322 93.357 -167.7944
138.061533 93.341 -167.6531
138.427744 93.324 -167.5079
138.793955 93.307 -167.3586
139.160166 93.289 -167.2049
139.526377 93.271 -167.0469
139.892588 93.253 -166.8850
140.258799 93.235 -166.7206
140.625010 93.218 -166.5557
140.991221 93.202 -166.3931
141.357432 93.187 -166.2361
141.723643 93.172 -166.0880
142.089854 93.158 -165.9512
142.456065 93.145 -165.8276
142.822276 93.132 -165.7173
143.188487 93.119 -165.6192
143.554698 93.105 -165.5313
143.920909 93.091 -165.4505
144.287119 93.077 -165.3740
144.653330 93.062 -165.2992
145.019541 93.047 -165.2244
145.385752 93.031 -165.1486
145.751963 93.015 -165.0712
146.118174 93.000 -164.9918
146.484385 92.984 -164.9097
146.850596 92.969 -164.8237
147.216807 92.954 -164.7319
147.583018 92.940 -164.6320
147.949229 92.927 -164.5221
148.315440 92.915 -164.4005
148.681651 92.904 -164.2666
149.047862 92.895 -164.1209
149.414073 92.886 -163.9649
149.780284 92.877 -163.8009
150.146495 92.869 -163.6317
150.512706 92.860 -163.4599
150.878917 92.850 -163.2875
151.245128 92.840 -163.1160
151.611339 92.828 -162.9460
151.977550 92.816 -162.7773
152.343761 92.802 -162.6090
152.709972 92.787 -162.4405
153.076183 92.771 -162.2711
153.442394 92.754 -162.1012
153.808605 92.737 -161.9315
154.174816 92.719 -161.7638
154.541027 92.700 -161.5999
154.907238 92.682 -161.4416
155.273448 92.665 -161.2900
155.639659 92.649 -161.1450
156.005870 92.634 -161.0056
156.372081 92.620 -160.8694
156.738292 92.609 -160.7341
157.104503 92.599 -160.5972
157.470714 92.590 -160.4570
157.836925 92.582 -160.3128
158.203136 92.575 -160.1646
158.569347 92.568 -160.0134
158.935558 92.560 -159.8602
159.301769 92.552 -159.7056
159.667980 92.542 -159.5497
160.034191 92.531 -159.3920
160.400402 92.518 -159.2317
160.766613 92.504 -159.0678
161.132824 92.489 -158.9003
161.499035 92.473 -158.7299
161.865246 92.456 -158.5592
162.231457 92.440 -158.3916
162.597668 92.423 -158.2315
