* Measurement data measured by REW V5.31
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 7, 2024 12:39:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop DUSK  M1 L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 91.358 -155.6829
20.287556 91.298 -156.2383
20.434568 91.211 -156.9564
20.582645 91.116 -157.5948
20.731796 91.031 -158.0287
20.882027 90.981 -158.2059
21.033346 90.988 -158.1259
21.185763 91.067 -157.8647
21.339284 91.230 -157.5420
21.493917 91.471 -157.2836
21.649671 91.775 -157.2351
21.806553 92.120 -157.4840
21.964572 92.474 -158.0758
22.123737 92.809 -159.0143
22.284054 93.101 -160.2427
22.445534 93.327 -161.6843
22.608183 93.474 -163.2495
22.772012 93.532 -164.8167
22.937027 93.498 -166.2863
23.103238 93.374 -167.5310
23.270654 93.169 -168.4417
23.439282 92.901 -168.9254
23.609133 92.593 -168.9093
23.780215 92.276 -168.3940
23.952536 91.984 -167.4459
24.126106 91.744 -166.2136
24.300934 91.576 -164.9230
24.477028 91.478 -163.7863
24.654399 91.436 -162.9908
24.833055 91.428 -162.6044
25.013005 91.427 -162.6340
25.194260 91.415 -163.0128
25.376828 91.383 -163.6120
25.560719 91.328 -164.3133
25.745942 91.261 -165.0027
25.932508 91.193 -165.6252
26.120426 91.141 -166.1767
26.309705 91.112 -166.7036
26.500356 91.110 -167.2904
26.692388 91.126 -168.0048
26.885812 91.142 -168.8873
27.080638 91.140 -169.9057
27.276876 91.105 -170.9659
27.474535 91.028 -171.9139
27.673627 90.917 -172.5650
27.874161 90.795 -172.7442
28.076149 90.697 -172.3410
28.279600 90.672 -171.3855
28.484526 90.755 -170.0600
28.690937 90.959 -168.7062
28.898843 91.261 -167.6611
29.108256 91.612 -167.1870
29.319186 91.953 -167.3587
29.531645 92.230 -168.1164
29.745644 92.405 -169.2814
29.961193 92.458 -170.6464
30.178304 92.386 -171.9679
30.396989 92.202 -173.0455
30.617258 91.936 -173.7114
30.839123 91.633 -173.8991
31.062596 91.342 -173.6540
31.287688 91.111 -173.1714
31.514412 90.964 -172.7135
31.742778 90.903 -172.5403
31.972800 90.902 -172.7980
32.204488 90.930 -173.4840
32.437855 90.957 -174.4639
32.672913 90.967 -175.5371
32.909674 90.957 -176.5065
33.148151 90.935 -177.2157
33.388356 90.912 -177.6057
33.630302 90.901 -177.7048
33.874001 90.905 -177.6225
34.119466 90.920 -177.4895
34.366710 90.932 -177.4209
34.615745 90.928 -177.4858
34.866585 90.899 -177.6960
35.119243 90.843 -178.0254
35.373731 90.766 -178.4254
35.630064 90.678 -178.8506
35.888254 90.593 -179.2674
36.148315 90.524 -179.6576
36.410261 90.477 179.9829
36.674104 90.455 179.6505
36.939860 90.454 179.3381
37.207542 90.465 179.0392
37.477163 90.477 178.7534
37.748738 90.478 178.4926
38.022281 90.456 178.2867
38.297806 90.406 178.1855
38.575327 90.330 178.2462
38.854860 90.239 178.5131
39.136419 90.151 178.9921
39.420017 90.092 179.6227
39.705671 90.076 -179.7171
39.993395 90.108 -179.1749
40.283203 90.179 -178.8768
40.575112 90.265 -178.8859
40.869136 90.343 -179.1880
41.165290 90.392 -179.7175
41.463591 90.400 179.6111
41.764053 90.360 178.8851
42.066693 90.267 178.1941
42.371525 90.128 177.6429
42.678567 89.955 177.3620
42.987834 89.780 177.4863
43.299341 89.654 178.0921
43.613106 89.640 179.1005
43.929145 89.784 -179.7843
44.247473 90.085 -178.9971
44.568109 90.484 -178.8942
44.891068 90.893 -179.5839
45.216367 91.229 179.0758
45.544023 91.436 177.3757
45.874054 91.487 175.6509
46.206476 91.391 174.2043
46.541307 91.179 173.2441
46.878565 90.904 172.8336
47.218266 90.621 172.8710
47.560429 90.374 173.1370
47.905072 90.184 173.4070
48.252212 90.046 173.5570
48.601867 89.948 173.5935
48.954056 89.878 173.6002
49.308798 89.833 173.6479
49.666109 89.815 173.7285
50.026010 89.823 173.7501
50.388520 89.849 173.5975
50.753656 89.873 173.2185
51.121437 89.879 172.6813
51.491884 89.857 172.1639
51.865016 89.814 171.8741
52.240851 89.773 171.9337
52.619410 89.757 172.2916
53.000712 89.774 172.7414
53.384777 89.812 173.0491
53.771625 89.848 173.0985
54.161276 89.869 172.9382
54.553751 89.888 172.7087
54.949070 89.928 172.5197
55.347254 90.009 172.3692
55.748323 90.128 172.1534
56.152298 90.261 171.7311
56.559201 90.378 170.9676
56.969052 90.459 169.7419
57.381873 90.491 167.9762
57.797686 90.462 165.7294
58.216512 90.364 163.2998
58.638373 90.204 161.2254
59.063291 90.015 160.1042
59.491288 89.860 160.2659
59.922386 89.788 161.4971
60.356608 89.786 163.1525
60.793977 89.788 164.6469
61.234515 89.732 165.8038
61.678246 89.619 166.7339
62.125192 89.508 167.4775
62.575377 89.463 167.8202
63.028824 89.487 167.5057
63.485557 89.521 166.5830
63.945599 89.512 165.4500
64.408975 89.451 164.5740
64.875709 89.368 164.1954
65.345825 89.288 164.2814
65.819348 89.208 164.7131
66.296302 89.112 165.4263
66.776713 89.004 166.3043
67.260604 88.899 167.0409
67.748002 88.807 167.2836
68.238932 88.760 166.9241
68.733420 88.839 166.1003
69.231490 89.123 164.8933
69.733170 89.568 163.2358
70.238485 89.988 161.2610
70.747463 90.191 159.5475
71.260128 90.097 158.8724
71.776508 89.775 159.6733
72.296630 89.383 161.4861
72.820521 89.051 163.0741
73.348209 88.813 163.5395
73.879720 88.656 163.0895
74.415083 88.589 162.5256
74.954326 88.620 162.3383
75.497475 88.697 162.4688
76.044561 88.748 162.6740
76.595612 88.734 162.8031
77.150655 88.671 162.7902
77.709720 88.602 162.6225
78.272837 88.557 162.3763
78.840034 88.544 162.1778
79.411342 88.547 162.0756
79.986789 88.535 162.0019
80.566406 88.479 161.8702
81.150224 88.380 161.6660
81.738272 88.268 161.4462
82.330581 88.183 161.2993
82.927182 88.150 161.3295
83.528107 88.163 161.6009
84.133386 88.200 162.0017
84.743051 88.229 162.2122
85.357134 88.211 161.9572
85.975667 88.136 161.2881
86.598682 88.036 160.5644
87.226212 87.966 160.1708
87.858289 87.941 160.3176
88.494946 87.937 160.9806
89.136217 87.933 161.8119
89.782135 87.913 162.2035
90.432733 87.857 161.7653
91.088046 87.767 160.7628
91.748108 87.689 159.8680
92.412952 87.669 159.4973
93.082615 87.698 159.5623
93.757130 87.722 159.7889
94.436533 87.713 159.9924
95.120859 87.680 160.0890
95.810144 87.641 160.1189
96.504423 87.607 160.2059
97.203734 87.583 160.3384
97.908112 87.557 160.2994
98.617595 87.511 159.9166
99.332219 87.442 159.2742
100.052021 87.368 158.6521
100.777039 87.306 158.3454
101.507311 87.263 158.4878
102.242875 87.239 158.9278
102.983769 87.232 159.3003
103.730032 87.236 159.3022
104.481702 87.244 158.9202
105.238820 87.253 158.4218
106.001424 87.265 158.1525
106.769554 87.281 158.3188
107.543250 87.282 158.9174
108.322553 87.219 159.7475
109.107503 87.068 160.3538
109.898141 86.891 160.1457
110.694508 86.846 159.0543
111.496646 87.029 158.1758
112.304596 87.306 159.0148
113.118402 87.409 161.8304
113.938104 87.163 165.0335
114.763747 86.578 166.0566
115.595372 85.903 163.5735
116.433024 85.606 159.7328
117.276746 85.926 158.0729
118.126581 86.537 158.8391
118.982575 87.010 160.4499
119.844772 87.160 162.1752
120.713217 86.987 163.5704
121.587954 86.584 163.4148
122.469031 86.160 160.5625
123.356492 86.045 156.2180
124.250384 86.346 153.7234
125.150753 86.754 154.6022
126.057647 86.942 157.3322
126.971113 86.826 159.5427
127.891198 86.573 159.9124
128.817950 86.451 158.5706
129.751418 86.503 157.4231
130.691651 86.602 158.3570
131.638696 86.616 160.4431
132.592604 86.459 161.6910
133.553425 86.241 161.4044
134.521208 86.132 160.3788
135.496004 86.156 160.3483
136.477864 86.240 161.3912
137.466839 86.283 161.6661
138.462981 86.238 160.7193
139.466340 86.163 160.2123
140.476971 86.121 160.8989
141.494925 86.054 161.4110
142.520256 85.904 161.1778
143.553016 85.772 161.4205
144.593260 85.771 162.3004
145.641043 85.818 162.0222
146.696418 85.773 160.1489
147.759441 85.664 158.9581
148.830166 85.638 159.8961
149.908651 85.732 161.2594
150.994951 85.865 161.4672
152.089123 85.958 160.9973
153.191223 85.943 160.5550
154.301310 85.798 160.0314
155.419441 85.572 159.4535
156.545674 85.311 159.4457
157.680069 85.078 160.2823
158.822683 84.993 161.4267
159.973578 85.108 162.2242
161.132813 85.311 162.3447
162.300447 85.493 161.7088
163.476543 85.635 160.6011
164.661162 85.724 159.6577
165.854364 85.725 159.2864
167.056213 85.621 159.4040
168.266772 85.439 159.6174
169.486102 85.260 159.5540
170.714268 85.164 159.3559
171.951334 85.167 159.4534
173.197364 85.237 159.8599
174.452424 85.346 160.4021
175.716578 85.464 161.1934
176.989893 85.514 162.2772
178.272434 85.430 163.3141
179.564270 85.252 163.8814
180.865467 85.101 163.9321
182.176092 85.048 164.0299
183.496216 85.053 164.6193
184.825905 85.046 165.4507
186.165229 85.011 165.9728
187.514259 84.963 165.9106
188.873065 84.916 165.4789
190.241717 84.872 165.3007
191.620287 84.790 165.7126
193.008847 84.661 165.8971
194.407468 84.581 165.0590
195.816225 84.626 164.0786
197.235190 84.723 164.0413
198.664438 84.782 164.6149
200.104042 84.784 165.3143
201.554078 84.728 166.0223
203.014622 84.631 166.4400
204.485750 84.541 166.5696
205.967538 84.496 166.8003
207.460064 84.496 167.1564
208.963405 84.522 167.2971
210.477640 84.553 167.1632
212.002848 84.578 167.0023
213.539108 84.581 167.0087
215.086500 84.563 167.0797
216.645105 84.542 167.1117
218.215005 84.532 167.1615
219.796281 84.526 167.2574
221.389015 84.517 167.3947
222.993292 84.504 167.5764
224.609193 84.489 167.7559
226.236804 84.473 167.8603
227.876209 84.456 167.9178
229.527494 84.437 167.9850
231.190745 84.424 168.0905
232.866048 84.417 168.2299
234.553491 84.405 168.4211
236.253163 84.392 168.6483
237.965150 84.379 168.8715
239.689544 84.374 169.1022
241.426433 84.379 169.3276
243.175909 84.393 169.4962
244.938062 84.411 169.5817
246.712984 84.423 169.6288
248.500768 84.427 169.7556
250.301507 84.438 170.2026
252.115295 84.477 170.9044
253.942226 84.525 171.4655
255.782396 84.540 171.7691
257.635901 84.508 171.9056
259.502837 84.443 171.8312
261.383301 84.370 171.5168
263.277392 84.313 171.0820
265.185209 84.280 170.8361
267.106850 84.265 171.0242
269.042417 84.249 171.4539
270.992009 84.213 171.6630
272.955729 84.166 171.5199
274.933678 84.130 171.3408
276.925961 84.116 171.3541
278.932681 84.108 171.4207
280.953942 84.103 171.4344
282.989850 84.102 171.5551
285.040511 84.095 171.7772
287.106032 84.085 171.9188
289.186521 84.080 172.0657
291.282086 84.076 172.2822
293.392836 84.074 172.4901
295.518881 84.068 172.6693
297.660333 84.052 172.7801
299.817302 84.036 172.9255
301.989902 84.025 173.1508
304.178245 84.023 173.3788
306.382446 84.023 173.5080
308.602620 84.020 173.5371
310.838882 84.010 173.5458
313.091348 83.990 173.5961
315.360137 83.968 173.7437
317.645367 83.950 173.9456
319.947156 83.940 174.1546
322.265625 83.938 174.3936
324.600895 83.941 174.5917
326.953086 83.946 174.7181
329.322323 83.952 174.8263
331.708729 83.963 174.9677
334.112427 83.975 175.1210
336.533543 83.976 175.2144
338.972204 83.961 175.3188
341.428536 83.937 175.5118
343.902668 83.923 175.8379
346.394729 83.938 176.2436
348.904848 83.986 176.5919
351.433156 84.055 176.7297
353.979786 84.126 176.6523
356.544869 84.180 176.4856
359.128540 84.203 176.3705
361.730934 84.194 176.3496
364.352185 84.166 176.4624
366.992431 84.136 176.7256
369.651810 84.106 177.1034
372.330459 84.069 177.4969
375.028519 84.023 177.8031
377.746130 83.975 177.8811
380.483434 83.945 177.7679
383.240574 83.939 177.6606
386.017693 83.949 177.6833
388.814937 83.964 177.8171
