* Measurement data measured by REW V5.31
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 7, 2024 12:40:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop DUSK  M1 R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 91.961 10.4801
20.287556 91.821 12.0862
20.434568 91.659 15.0532
20.582645 91.586 19.3374
20.731796 91.699 24.5984
20.882027 92.052 30.0968
21.033346 92.643 35.0387
21.185763 93.389 38.8172
21.339284 94.191 41.1623
21.493917 94.982 42.1607
21.649671 95.697 42.0012
21.806553 96.303 40.9108
21.964572 96.780 39.1339
22.123737 97.119 36.8536
22.284054 97.316 34.2423
22.445534 97.371 31.4652
22.608183 97.286 28.6357
22.772012 97.067 25.9095
22.937027 96.719 23.3989
23.103238 96.255 21.2399
23.270654 95.694 19.5600
23.439282 95.061 18.4437
23.609133 94.394 17.9505
23.780215 93.736 18.0250
23.952536 93.136 18.4933
24.126106 92.629 19.0809
24.300934 92.238 19.4125
24.477028 91.958 19.1896
24.654399 91.769 18.1970
24.833055 91.649 16.3976
25.013005 91.577 13.9059
25.194260 91.546 10.9272
25.376828 91.561 7.7619
25.560719 91.634 4.6817
25.745942 91.778 1.9400
25.932508 92.002 -0.3267
26.120426 92.303 -2.0898
26.309705 92.662 -3.4167
26.500356 93.044 -4.4378
26.692388 93.408 -5.2608
26.885812 93.708 -5.9571
27.080638 93.907 -6.5132
27.276876 93.973 -6.8479
27.474535 93.891 -6.8151
27.673627 93.659 -6.2250
27.874161 93.299 -4.8882
28.076149 92.853 -2.6723
28.279600 92.395 0.3482
28.484526 91.998 3.8313
28.690937 91.723 7.0833
28.898843 91.583 9.3703
29.108256 91.543 10.1139
29.319186 91.547 9.1508
29.531645 91.548 6.6427
29.745644 91.522 3.0664
29.961193 91.471 -0.9734
30.178304 91.422 -4.7361
30.396989 91.417 -7.6124
30.617258 91.505 -9.1902
30.839123 91.729 -9.4638
31.062596 92.092 -8.7765
31.287688 92.547 -7.7213
31.514412 93.015 -6.7846
31.742778 93.403 -6.2258
31.972800 93.637 -6.0091
32.204488 93.675 -5.9115
32.437855 93.504 -5.5777
32.672913 93.155 -4.6416
32.909674 92.698 -2.8319
33.148151 92.247 -0.1691
33.388356 91.920 2.8628
33.630302 91.789 5.4149
33.874001 91.835 6.6457
34.119466 91.971 6.2238
34.366710 92.100 4.3166
34.615745 92.153 1.4593
34.866585 92.109 -1.7242
35.119243 91.984 -4.6464
35.373731 91.829 -6.8462
35.630064 91.709 -8.1624
35.888254 91.679 -8.7540
36.148315 91.758 -8.9080
36.410261 91.911 -8.9590
36.674104 92.084 -9.0651
36.939860 92.228 -9.1688
37.207542 92.324 -9.0640
37.477163 92.388 -8.5927
37.748738 92.451 -7.7696
38.022281 92.536 -6.8279
38.297806 92.628 -6.1325
38.575327 92.681 -5.9432
38.854860 92.634 -6.2934
39.136419 92.443 -6.9685
39.420017 92.107 -7.5637
39.705671 91.687 -7.6824
39.993395 91.301 -7.1518
40.283203 91.094 -6.2360
40.575112 91.150 -5.6379
40.869136 91.416 -6.0134
41.165290 91.753 -7.4822
41.463591 92.018 -9.6394
41.764053 92.127 -11.8002
42.066693 92.060 -13.2239
42.371525 91.873 -13.3499
42.678567 91.673 -12.0565
42.987834 91.571 -9.8296
43.299341 91.617 -7.6363
43.613106 91.768 -6.3965
43.929145 91.927 -6.4724
44.247473 92.015 -7.6125
44.568109 92.008 -9.2417
44.891068 91.939 -10.7721
45.216367 91.868 -11.8186
45.544023 91.854 -12.3162
45.874054 91.912 -12.4891
46.206476 92.007 -12.6533
46.541307 92.076 -12.9864
46.878565 92.062 -13.4339
47.218266 91.947 -13.7805
47.560429 91.761 -13.8085
47.905072 91.568 -13.4608
48.252212 91.438 -12.9271
48.601867 91.409 -12.5691
48.954056 91.466 -12.6998
49.308798 91.557 -13.3910
49.666109 91.630 -14.4554
50.026010 91.653 -15.5757
50.388520 91.628 -16.4684
50.753656 91.579 -17.0070
51.121437 91.534 -17.2581
51.491884 91.504 -17.4108
51.865016 91.482 -17.6382
52.240851 91.451 -17.9919
52.619410 91.400 -18.3996
53.000712 91.333 -18.7521
53.384777 91.258 -18.9989
53.771625 91.176 -19.1748
54.161276 91.076 -19.3387
54.553751 90.934 -19.4826
54.949070 90.740 -19.4971
55.347254 90.511 -19.2293
55.748323 90.292 -18.6036
56.152298 90.140 -17.7200
56.559201 90.098 -16.8386
56.969052 90.169 -16.2483
57.381873 90.323 -16.1334
57.797686 90.511 -16.5350
58.216512 90.681 -17.3724
58.638373 90.783 -18.4509
59.063291 90.784 -19.4596
59.491288 90.687 -20.0216
59.922386 90.536 -19.8538
60.356608 90.406 -18.9885
60.793977 90.351 -17.8524
61.234515 90.370 -17.0156
61.678246 90.417 -16.8148
62.125192 90.452 -17.2364
62.575377 90.470 -18.0994
63.028824 90.484 -19.2495
63.485557 90.491 -20.5506
63.945599 90.455 -21.7457
64.408975 90.347 -22.4210
64.875709 90.178 -22.2054
65.345825 90.000 -21.0888
65.819348 89.873 -19.5695
66.296302 89.821 -18.3946
66.776713 89.836 -18.0993
67.260604 89.906 -18.8053
67.748002 90.011 -20.2988
68.238932 90.116 -22.1452
68.733420 90.172 -23.7762
69.231490 90.160 -24.6669
69.733170 90.111 -24.6474
70.238485 90.081 -24.1215
70.747463 90.082 -23.8368
71.260128 90.073 -24.2529
71.776508 90.007 -25.1967
72.296630 89.892 -26.1177
72.820521 89.788 -26.6051
73.348209 89.750 -26.7100
73.879720 89.777 -26.8194
74.415083 89.811 -27.2422
74.954326 89.779 -27.8993
75.497475 89.643 -28.3317
76.044561 89.428 -27.9833
76.595612 89.230 -26.6483
77.150655 89.151 -24.8120
77.709720 89.215 -23.3608
78.272837 89.353 -22.7938
78.840034 89.473 -22.9177
79.411342 89.511 -23.1941
79.986789 89.446 -23.1448
80.566406 89.316 -22.6250
81.150224 89.216 -22.0572
81.738272 89.235 -22.3662
82.330581 89.348 -24.1409
82.927182 89.426 -26.7809
83.528107 89.361 -28.7758
84.133386 89.159 -28.8499
84.743051 88.929 -27.0518
85.357134 88.763 -24.8246
85.975667 88.677 -23.6539
86.598682 88.660 -23.8051
87.226212 88.703 -24.5851
87.858289 88.763 -25.1939
88.494946 88.756 -25.1701
89.136217 88.654 -24.5140
89.782135 88.527 -23.8280
90.432733 88.458 -23.9878
91.088046 88.446 -25.1476
91.748108 88.445 -26.4232
92.412952 88.445 -26.9336
93.082615 88.456 -26.7634
93.757130 88.467 -26.6390
94.436533 88.445 -26.8855
95.120859 88.393 -27.1225
95.810144 88.342 -26.9056
96.504423 88.308 -26.3032
97.203734 88.282 -25.7838
97.908112 88.263 -25.7788
98.617595 88.256 -26.3659
99.332219 88.247 -27.1121
100.052021 88.225 -27.3563
100.777039 88.217 -26.9742
101.507311 88.247 -26.6382
102.242875 88.290 -26.9212
102.983769 88.298 -27.4857
103.730032 88.252 -27.5258
104.481702 88.166 -26.8437
105.238820 88.071 -26.2091
106.001424 87.999 -26.2770
106.769554 88.022 -26.4976
107.543250 88.183 -25.6859
108.322553 88.400 -23.1287
109.107503 88.590 -19.3651
109.898141 88.735 -16.7888
110.694508 88.752 -17.4201
111.496646 88.595 -20.0996
112.304596 88.397 -22.2582
113.118402 88.269 -23.4174
113.938104 88.092 -24.8379
114.763747 87.740 -26.7118
115.595372 87.327 -27.7558
116.433024 87.109 -27.2095
117.276746 87.144 -26.0716
118.126581 87.252 -25.5041
118.982575 87.284 -25.7289
119.844772 87.180 -26.0844
120.713217 86.989 -25.8456
121.587954 86.768 -25.7751
122.469031 86.462 -26.8149
123.356492 86.142 -28.1471
124.250384 86.090 -28.6056
125.150753 86.422 -28.1106
126.057647 86.912 -27.5960
126.971113 87.216 -27.8833
127.891198 87.177 -28.3015
128.817950 86.949 -28.1256
129.751418 86.721 -27.8176
130.691651 86.573 -27.4005
131.638696 86.587 -27.0948
132.592604 86.707 -27.1319
133.553425 86.870 -26.0180
134.521208 87.084 -23.3532
135.496004 87.230 -20.3237
136.477864 87.214 -17.9811
137.466839 87.031 -17.5591
138.462981 86.714 -19.1018
139.466340 86.404 -21.5077
140.476971 86.208 -23.8251
141.494925 86.131 -25.2421
142.520256 86.155 -25.8041
143.553016 86.204 -26.2437
144.593260 86.219 -26.5602
145.641043 86.219 -26.5088
146.696418 86.195 -26.3555
147.759441 86.122 -26.1744
148.830166 86.056 -25.9877
149.908651 86.046 -26.1733
150.994951 86.067 -26.8257
152.089123 86.096 -27.4802
153.191223 86.107 -27.6272
154.301310 86.058 -26.9648
155.419441 85.984 -25.9702
156.545674 85.909 -25.5548
157.680069 85.818 -25.4167
158.822683 85.739 -25.2108
159.973578 85.719 -25.0745
161.132813 85.759 -25.0616
162.300447 85.805 -24.9317
163.476543 85.853 -24.5403
164.661162 85.878 -23.7118
165.854364 85.815 -22.4264
167.056213 85.661 -21.6717
168.266772 85.550 -21.7667
169.486102 85.596 -21.8819
170.714268 85.694 -21.5938
171.951334 85.728 -21.1954
173.197364 85.710 -21.0472
174.452424 85.673 -21.1112
175.716578 85.618 -21.3180
176.989893 85.555 -21.5217
178.272434 85.523 -21.5598
179.564270 85.529 -21.5716
180.865467 85.534 -21.6490
182.176092 85.519 -21.7244
183.496216 85.491 -21.7302
184.825905 85.451 -21.6223
186.165229 85.395 -21.4853
187.514259 85.348 -21.4262
188.873065 85.337 -21.4243
190.241717 85.344 -21.3388
191.620287 85.323 -20.9802
193.008847 85.261 -20.4191
194.407468 85.173 -20.0357
195.816225 85.077 -19.9568
197.235190 84.998 -20.0730
198.664438 84.966 -20.2054
200.104042 84.979 -20.2119
201.554078 85.007 -20.1152
203.014622 85.023 -20.0373
204.485750 85.032 -20.0125
205.967538 85.045 -19.9346
207.460064 85.053 -19.7016
208.963405 85.030 -19.4476
210.477640 84.983 -19.4130
212.002848 84.948 -19.5792
213.539108 84.940 -19.6757
215.086500 84.934 -19.5862
216.645105 84.907 -19.4720
218.215005 84.873 -19.4244
219.796281 84.849 -19.3440
221.389015 84.840 -19.1811
222.993292 84.837 -19.0437
224.609193 84.831 -18.9589
226.236804 84.817 -18.8778
227.876209 84.797 -18.7854
229.527494 84.776 -18.6755
231.190745 84.753 -18.4937
232.866048 84.725 -18.2274
234.553491 84.693 -17.9116
236.253163 84.659 -17.5984
237.965150 84.620 -17.2966
239.689544 84.579 -17.0279
241.426433 84.535 -16.8249
243.175909 84.488 -16.7159
244.938062 84.443 -16.7249
246.712984 84.409 -16.8422
248.500768 84.398 -16.9569
250.301507 84.405 -16.9137
252.115295 84.418 -16.6618
253.942226 84.419 -16.2704
255.782396 84.399 -15.8350
257.635901 84.361 -15.4500
259.502837 84.312 -15.2012
261.383301 84.267 -15.0976
263.277392 84.242 -15.1228
265.185209 84.240 -15.1658
267.106850 84.248 -15.0647
269.042417 84.249 -14.7659
270.992009 84.236 -14.3921
272.955729 84.217 -14.1435
274.933678 84.201 -14.1382
276.925961 84.181 -14.2470
278.932681 84.152 -14.1447
280.953942 84.125 -13.7125
282.989850 84.111 -13.2438
285.040511 84.106 -13.0341
287.106032 84.099 -12.9780
289.186521 84.092 -12.7748
291.282086 84.090 -12.4027
293.392836 84.091 -12.1221
295.518881 84.091 -12.0458
297.660333 84.085 -12.0152
299.817302 84.073 -11.8839
301.989902 84.059 -11.6464
304.178245 84.050 -11.3446
306.382446 84.043 -11.0144
308.602620 84.036 -10.6765
310.838882 84.024 -10.3561
313.091348 84.006 -10.0963
315.360137 83.984 -9.9492
317.645367 83.970 -9.9281
319.947156 83.972 -9.9621
322.265625 83.992 -9.9281
324.600895 84.019 -9.7487
326.953086 84.038 -9.4695
329.322323 84.043 -9.2327
331.708729 84.041 -9.1292
334.112427 84.045 -9.1066
336.533543 84.055 -9.0421
338.972204 84.062 -8.9242
341.428536 84.062 -8.8541
